"AccountId","Description","PrimaryContactId","RetailStoreGroup_Description","Account_Type","Account_Parent_Account_NamesPath","RetailStoreGroup_Name","Account_Phone","PrimaryContact_Description","Name","Location_Address_City","StoreType","Location_Address_Country","OwnerId","RetailStoreGroup_Id","RetailLocationGroupId","Account_Name","PrimaryContact_Name","Location_Name","DeliveryMethod","PrimaryContact_Email","Location_Address_PostalCode","Priority","LocationId","LastProcessedDate","Location_Address_State","PrimaryContact_MobilePhone","PrimaryContact_Department","Account_Parent_Account_Names","RetailStoreGroupName_Custom","Location_Address_Name","Product_Id_with_Name","Account_Industry","CreatedDate","Dummy_Key","Id","PrimaryContact_Phone","Account_AccountSource","Promotion_Id","Account_AnnualRevenue","DeliveryFrequency","Location_LocationLevel"
"001B000001LahY9IAJ",,"003B000000HndC7IAJ","Description of Dmart Location Group 1",,"Northern Trail Outfitters","Bay Area",,,"NTO Store - Alameda","Kulpsville","Regular","Montgomery","005B0000007GkqyIAC","0Y2B00000004DVzKAM","0Y2B00000004DVzKAM","Northern Trail Outfitters","Yuki Whobrey","Dmart Location 4","Van","yuki_whobrey@aol.com","19443","Low","131B00000000uJ4IAI","2021-01-26","PA",,,"Northern Trail Outfitters","Bay Area","A00000011","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E0rOAE","313-288-7937",,"0c8B00000004De3IAE",0,3,1
"001B000001LahYFIAZ",,"003B000000HndBwIAJ","Description of Dmart Location Group 4",,"Alpine Nutrition/Northern Trail Outfitters","South",,,"Nutrition Stop - Gainesville","Middle Island","Regular","Suffolk","005B0000007GkqyIAC","0Y2B00000004DW0KAM","0Y2B00000004DW0KAM","Alpine Nutrition","Leota Dilliard","Dmart Location 5","Van","leota@hotmail.com","11953","Low","131B00000000uJ8IAI","2021-01-26","NY",,,"Alpine Nutrition","South","A00000012","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Transportation","2021-04-21","NA","0YQB00000004E0sOAE","408-752-3500",,"0c8B00000004De3IAE",0,7,1
"001B000001LahY9IAJ",,"003B000000HndBpIAJ","Description of Dmart Location Group 3",,"Northern Trail Outfitters","Northeast",,,"Rondel Store - San Francisco Central","Los Angeles","Regular","Los Angeles","005B0000007GkqyIAC","0Y2B00000004DVwKAM","0Y2B00000004DVwKAM","Northern Trail Outfitters","James Butt","Dmart Location 6","Van","jbutt@gmail.com","90034","High","131B00000000uJ9IAI","2021-01-26","CA",,,"Northern Trail Outfitters","Northeast","A00000013","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E0tOAE","504-621-8927",,"0c8B00000004De3IAE",0,1,1
"001B000001LahYHIAZ",,"003B000000HndC8IAJ","Description of Dmart Location Group 2",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","Midwest",,,"Rondel Store - Austin East","Chagrin Falls","Regular","Geauga","005B0000007GkqyIAC","0Y2B00000004DVxKAM","0Y2B00000004DVxKAM","Rondel","Fletcher Flosi","Dmart Location 7","Van","fletcher.flosi@yahoo.com","44023","Medium","131B00000000uJAIAY","2021-01-26","OH",,,"Alpine Nutrition","Midwest","A00000014","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Food & Beverage","2021-04-21","NA","0YQB00000004E0uOAE","815-828-2147",,"0c8B00000004De3IAE",0,3,1
"001B000001LahYHIAZ",,"003B000000HndCDIAZ","Description of Dmart Location Group 5",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","West",,,"Rondel Store - Chicago Streeterville","Laredo","Regular","Webb","005B0000007GkqyIAC","0Y2B00000004DVyKAM","0Y2B00000004DVyKAM","Rondel","Alisha Slusarski","Dmart Location 8","Van","alisha@slusarski.com","78045","Low","131B00000000uJBIAY","2021-01-26","TX",,,"Alpine Nutrition","West","A00000015","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Food & Beverage","2021-04-21","NA","0YQB00000004E0vOAE","732-658-3154",,"0c8B00000004De3IAE",0,5,1
"001B000001LahYGIAZ",,"003B000000HndCCIAZ","Description of Dmart Location Group 1",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","Bay Area",,,"Rondel Store - Chicago South Loop","Phoenix","Regular","Maricopa","005B0000007GkqyIAC","0Y2B00000004DVzKAM","0Y2B00000004DVzKAM","Nutrition Stop","Maryann Royster","Dmart Location 9","Van","mroyster@royster.com","85013","Low","131B00000000uJCIAY","2021-01-26","AZ",,,"Alpine Nutrition","Bay Area","A00000016","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Construction","2021-04-21","NA","0YQB00000004E0wOAE","518-966-7987",,"0c8B00000004De3IAE",0,5,1
"001B000001LahYGIAZ",,"003B000000HndC2IAJ","Description of Dmart Location Group 4",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","South",,,"Rondel Store - Evanston","Mc Minnville","Regular","Warren","005B0000007GkqyIAC","0Y2B00000004DW0KAM","0Y2B00000004DW0KAM","Nutrition Stop","Graciela Ruta","Dmart Location 10","Truck","gruta@cox.net","37110","High","131B00000000uJDIAY","2021-01-26","TN",,,"Alpine Nutrition","South","A00000017","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Construction","2021-04-21","NA","0YQB00000004E0xOAE","440-780-8425",,"0c8B00000004De3IAE",0,2,1
"001B000001LahYEIAZ",,"003B000000HndBvIAJ","Description of Dmart Location Group 2",,"Alpine Nutrition/Northern Trail Outfitters","Midwest",,,"Alpine Nutrition - Glendale","Taylor","Regular","Wayne","005B0000007GkqyIAC","0Y2B00000004DVxKAM","0Y2B00000004DVxKAM","Fare Merchants","Mitsue Tollner","Dmart Location 12","Van","mitsue_tollner@yahoo.com","48180","Low","131B00000000uJFIAY","2021-01-26","MI",,,"Alpine Nutrition","Midwest","A00000019","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Finance","2021-04-21","NA","0YQB00000004E0yOAE","773-573-6914",,"0c8B00000004De3IAE",0,3,1
"001B000001LahYEIAZ",,"003B000000HndC0IAJ","Description of Dmart Location Group 5",,"Alpine Nutrition/Northern Trail Outfitters","West",,,"Alpine Nutrition - Noe Valley","Rockford","Regular","Winnebago","005B0000007GkqyIAC","0Y2B00000004DVyKAM","0Y2B00000004DVyKAM","Fare Merchants","Abel Maclead","Dmart Location 13","Van","amaclead@gmail.com","61109","Low","131B00000000uJ6IAI","2021-01-26","IL",,,"Alpine Nutrition","West","A00000020","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Finance","2021-04-21","NA","0YQB00000004E0zOAE","631-335-3414",,"0c8B00000004De3IAE",0,7,1
"001B000001LahYFIAZ",,"003B000000HndC1IAJ","Description of Dmart Location Group 1",,"Alpine Nutrition/Northern Trail Outfitters","Bay Area",,,"NTO Store - Noe Valley",,"Regular",,"005B0000007GkqyIAC","0Y2B00000004DVzKAM","0Y2B00000004DVzKAM","Alpine Nutrition","Kiley Caldarera","Location","Van","kiley.caldarera@aol.com",,"High","131B00000000uJGIAY","2021-01-26",,,,"Alpine Nutrition","Bay Area",,"01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Transportation","2021-04-21","NA","0YQB00000004E10OAE","310-498-5651",,"0c8B00000004De3IAE",0,1,1
"001B000001LahYGIAZ",,"003B000000HndBxIAJ","Description of Dmart Location Group 4",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","South",,,"Alpine Nutrition Outlet (Hayward)","San Jose","Regular","Santa Clara","005B0000007GkqyIAC","0Y2B00000004DW0KAM","0Y2B00000004DW0KAM","Nutrition Stop","Sage Wieser","Dmart Location 15","Van","sage_wieser@cox.net","95111","Medium","131B00000000uJHIAY","2021-01-26","CA",,,"Alpine Nutrition","South","A00000022","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Construction","2021-04-21","NA","0YQB00000004E11OAE","605-414-2147",,"0c8B00000004De3IAE",0,3,1
"001B000001LahYGIAZ",,"003B000000HndByIAJ","Description of Dmart Location Group 3",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","Northeast",,,"Alpine Nutrition - San Francisco","Irving","Regular","Dallas","005B0000007GkqyIAC","0Y2B00000004DVwKAM","0Y2B00000004DVwKAM","Nutrition Stop","Kris Marrier","Dmart Location 16","Van","kris@gmail.com","75062","Low","131B00000000uJIIAY","2021-01-26","TX",,,"Alpine Nutrition","Northeast","A00000023","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Construction","2021-04-21","NA","0YQB00000004E12OAE","410-655-8723",,"0c8B00000004De3IAE",0,5,1
"001B000001LahYGIAZ",,"003B000000HndBsIAJ","Description of Dmart Location Group 2",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","Midwest",,,"Nutrition Stop - Hillsdale","Albany","Regular","Albany","005B0000007GkqyIAC","0Y2B00000004DVxKAM","0Y2B00000004DVxKAM","Nutrition Stop","Lenna Paprocki","Dmart Location 25","Van","lpaprocki@hotmail.com","12204","Low","131B00000000uJJIAY","2021-01-26","NY",,,"Alpine Nutrition","Midwest","A00000024","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Construction","2021-04-21","NA","0YQB00000004E13OAE","907-385-4412",,"0c8B00000004De3IAE",0,5,1
"001B000001LahYHIAZ",,"003B000000HndBtIAJ","Description of Dmart Location Group 5",,"Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","West",,,"Nutrition Stop - Kennesaw","San Jose","Regular","Santa Clara","005B0000007GkqyIAC","0Y2B00000004DVyKAM","0Y2B00000004DVyKAM","Rondel","Donette Foller","Dmart Location 17","Truck","donette.foller@cox.net","95111","High","131B00000000uJKIAY","2021-01-26","CA",,,"Alpine Nutrition","West","A00000008","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Food & Beverage","2021-04-21","NA","0YQB00000004E14OAE","513-570-1893",,"0c8B00000004De3IAE",0,2,1
"001B000001LahYFIAZ",,"003B000000HndCBIAZ","Description of Dmart Location Group 1",,"Alpine Nutrition/Northern Trail Outfitters","Bay Area",,,"Nutrition Stop - Elkhorn","Chicago","Regular","Cook","005B0000007GkqyIAC","0Y2B00000004DVzKAM","0Y2B00000004DVzKAM","Alpine Nutrition","Willard Kolmetz","Dmart Location 18","Truck","willard@hotmail.com","60632","Medium","131B00000000uJLIAY","2021-01-26","IL",,,"Alpine Nutrition","Bay Area","A00000007","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Transportation","2021-04-21","NA","0YQB00000004E15OAE","972-303-9197",,"0c8B00000004De3IAE",0,10,1
"001B000001LahYFIAZ",,"003B000000HndC6IAJ","Description of Dmart Location Group 4",,"Alpine Nutrition/Northern Trail Outfitters","South",,,"NTO Store - Dublin","Ashland","Regular","Ashland","005B0000007GkqyIAC","0Y2B00000004DW0KAM","0Y2B00000004DW0KAM","Alpine Nutrition","Gladys Rim","Dmart Location 19","Van","gladys.rim@rim.org","44805","Low","131B00000000uJMIAY","2021-01-26","OH",,,"Alpine Nutrition","South","A00000006","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Transportation","2021-04-21","NA","0YQB00000004E16OAE","414-661-9598",,"0c8B00000004De3IAE",0,3,1
"001B000001LahYEIAZ",,"003B000000HndCAIAZ","Description of Dmart Location Group 3",,"Alpine Nutrition/Northern Trail Outfitters","Northeast",,,"Fare Merchants - Irving","Hamilton","Regular","Butler","005B0000007GkqyIAC","0Y2B00000004DVwKAM","0Y2B00000004DVwKAM","Fare Merchants","Veronika Inouye","Dmart Location 20","Van","vinouye@aol.com","45011","Low","131B00000000uJNIAY","2021-01-26","OH",,,"Alpine Nutrition","Northeast","A00000005","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Finance","2021-04-21","NA","0YQB00000004E17OAE","408-540-1785",,"0c8B00000004De3IAE",0,7,1
"001B000001LahYEIAZ",,"003B000000HndC5IAJ","Description of Dmart Location Group 2",,"Alpine Nutrition/Northern Trail Outfitters","Midwest",,,"NTO Store - Ferry Plaza Market","Anchorage","Regular","Anchorage","005B0000007GkqyIAC","0Y2B00000004DVxKAM","0Y2B00000004DVxKAM","Fare Merchants","Meaghan Garufi","Dmart Location 21","Van","meaghan@hotmail.com","99501","High","131B00000000uJOIAY","2021-01-26","AK",,,"Alpine Nutrition","Midwest","A00000004","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Finance","2021-04-21","NA","0YQB00000004E18OAE","931-313-9635",,"0c8B00000004De3IAE",0,1,1
"001B000001LahY9IAJ",,"003B000000HndBzIAJ","Description of Dmart Location Group 5",,"Northern Trail Outfitters","West",,,"Fare Merchants - Chelsea","Bridgeport","Regular","Gloucester","005B0000007GkqyIAC","0Y2B00000004DVyKAM","0Y2B00000004DVyKAM","Northern Trail Outfitters","Minna Amigon","Dmart Location 22","Van","minna_amigon@yahoo.com","8014","Medium","131B00000000uJPIAY","2021-01-26","NJ",,,"Northern Trail Outfitters","West","A00000003","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E19OAE","215-874-1229",,"0c8B00000004De3IAE",0,3,1
"001B000001LahY9IAJ",,"003B000000HndBuIAJ","Description of Dmart Location Group 1",,"Northern Trail Outfitters","Bay Area",,,"NTO Store - Presidio","Brighton","Regular","Livingston","005B0000007GkqyIAC","0Y2B00000004DVzKAM","0Y2B00000004DVzKAM","Northern Trail Outfitters","Simona Morasca","Dmart Location 23","Van","simona@morasca.com","48116","Low","131B00000000uJQIAY","2021-01-26","MI",,,"Northern Trail Outfitters","Bay Area","A00000002","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Manufacturing","2021-04-21","NA","0YQB00000004E1AOAU","419-503-2484",,"0c8B00000004De3IAE",0,5,1
"001B000001LahYEIAZ",,"003B000000HndBqIAJ","Description of Dmart Location Group 4",,"Alpine Nutrition/Northern Trail Outfitters","South",,,"Fare Merchants - Austin","Middlesex","Regular","Middlesex","005B0000007GkqyIAC","0Y2B00000004DW0KAM","0Y2B00000004DW0KAM","Fare Merchants","Josephine Darakjy","Dmart Location 24","Van","josephine_darakjy@darakjy.org","8846","Low","131B00000000uJRIAY","2021-01-26","NJ",,,"Alpine Nutrition","South","A00000025","01tB0000000qbGrIAI_Alpine Energy Premium Smart Dispenser","Finance","2021-04-21","NA","0YQB00000004E1BOAU","810-292-9388",,"0c8B00000004De3IAE",0,5,1
