ACCOUNTAUM,ACCOUNTID,ACCOUNTINVESTMENTEXPERIENCE,ACCOUNTINVESTMENTOBJECTIVES,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACCOUNTOWNERNAME,ACCOUNTRECORDTYPENAME,ACCOUNTSERVICEMODEL,ACCOUNTTYPE,ACTIVITYDATE,CREATEDDATE,EVENTSUBTYPE,ID,OWNERCITY,OWNEREMAIL,OWNERID,OWNERNAME,OWNERROLENAME,OWNERSMALLPHOTOURL,OWNERSTATE,PRIORITY,RECORDTYPENAME,REGARDING,STATUS,SUBJECT,TASKSUBTYPE,TYPE,LastProcessedDate
691163.0,0011U00000KuFXTQA3,Inexperienced,Aggressive Growth,High Net Worth Families,Aquila Mejia,Mark Garet,Household,Tier 1,Customer,2018-11-20,2018-12-17,Event,Activity-0-0011U00000KuFXTQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Client Retention,Event,Sync Up,Event,Other,2020-05-25
459880.0,0011U00000KuFXUQA3,Moderately Experienced,Growth,Millennials,Britanni Garcia,Allen Advisor,Individual,Tier 1,Customer,2018-12-02,2018-12-17,Event,Activity-0-0011U00000KuFXUQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Onboarding,Event,Evaluate Refinancing Loan,Event,Meeting,2020-05-25
453966.0,0011U00000KuFXXQA3,Experienced,Growth,Mass Market,Brenda Graham,Allen Advisor,Individual,Tier 3,Customer,2018-12-06,2018-12-17,Event,Activity-0-0011U00000KuFXXQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Normal,Advisor Task,Prospecting,Open,Sync Up,Task,Email,2020-05-25
542371.0,0011U00000KuFXaQAN,Inexperienced,Aggressive Growth,Millennials,Lucius Fry,Chelsea Advisor,Person Account,Tier 2,Customer,2018-11-25,2018-12-17,Event,Activity-0-0011U00000KuFXaQAN,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Event,Advisor Event,Prospecting,Event,Send Birthday Gift,Event,Other,2020-05-25
325281.0,0011U00000KuFXjQAN,Inexperienced,Aggressive Growth,Mass Market,Dorian Newton,Brenda Banker,Person Account,Tier 2,Customer,2018-12-04,2018-12-17,Event,Activity-0-0011U00000KuFXjQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Normal,Advisor Task,Prospecting,Open,Discussion,Task,Other,2020-05-25
296353.0,0011U00000KuFXoQAN,Inexperienced,Income,High Net Worth Families,Meredith Lowe,Allen Advisor,Person Account,Tier 1,Customer,2018-11-23,2018-12-17,Event,Activity-0-0011U00000KuFXoQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,High,Advisor Task,Prospecting,In Progress,Quarterly Earnings Summary,Task,Meeting,2020-05-25
714714.0,0011U00000KuFXpQAN,Inexperienced,Income,High Net Worth Families,Cooper Flowers,Allen Advisor,Person Account,Tier 3,Customer,2018-12-09,2018-12-17,Event,Activity-0-0011U00000KuFXpQAN,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Event,Advisor Event,Prospecting,Event,Send Birthday Gift,Event,Other,2020-05-25
403850.0,0011U00000KuFXsQAN,Moderately Inexperienced,Aggressive Growth,Affluent Professionals,Harlan Mcgowan,Allen Advisor,Person Account,Tier 3,Customer,2018-11-28,2018-12-17,Event,Activity-0-0011U00000KuFXsQAN,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,Event,Advisor Event,Service,Event,Send Birthday Gift,Event,Email,2020-05-25
674169.0,0011U00000KuFXuQAN,Experienced,Aggressive Growth,Mass Market,Marvin Garcia,Allen Advisor,Person Account,Tier 1,Customer,2018-11-22,2018-12-17,Event,Activity-0-0011U00000KuFXuQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Client Retention,Event,Send Birthday Gift,Event,Other,2020-05-25
338177.0,0011U00000KuFXwQAN,Moderately Inexperienced,Balanced Growth,Retired,Genevieve Bauer,Brenda Banker,Individual,Tier 3,Customer,2018-12-06,2018-12-17,Call,Activity-0-0011U00000KuFXwQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Onboarding,Event,Call Genevieve Bauer,Event,Call,2020-05-25
548058.0,0011U00000KuFY0QAN,Moderately Experienced,Income,Affluent Professionals,Orla Weeks,Allen Advisor,Individual,Tier 3,Customer,2018-12-13,2018-12-17,Call,Activity-0-0011U00000KuFY0QAN,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,Event,Advisor Event,Client Retention,Event,Call Orla Weeks,Event,Call,2020-05-25
463883.0,0011U00000KuFY1QAN,Inexperienced,Growth,Mass Market,Yoko Marshall,Brenda Banker,Individual,Tier 1,Customer,2018-11-28,2018-12-17,Event,Activity-0-0011U00000KuFY1QAN,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Event,Advisor Event,Onboarding,Event,Send Birthday Gift,Event,Other,2020-05-25
769141.0,0011U00000KuFY3QAN,Experienced,Aggressive Growth,High Net Worth Families,Amos May,Brenda Banker,Person Account,Tier 2,Customer,2018-12-12,2018-12-17,Event,Activity-0-0011U00000KuFY3QAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Normal,Advisor Task,Onboarding,Completed,Call Amos May,Call,Call,2020-05-25
490440.0,0011U00000KuFYDQA3,Moderately Inexperienced,Growth,Affluent Professionals,Ulysses Hale,Brenda Banker,Person Account,Tier 2,Customer,2018-11-25,2018-12-17,Event,Activity-0-0011U00000KuFYDQA3,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,High,Advisor Task,Client Retention,In Progress,Sync Up,Task,Meeting,2020-05-25
329452.0,0011U00000KuFYFQA3,Experienced,Aggressive Growth,Affluent Professionals,Chloe Knox,Allen Advisor,Person Account,Tier 1,Customer,2018-11-25,2018-12-17,Event,Activity-0-0011U00000KuFYFQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Service,Event,Sync Up,Event,Other,2020-05-25
540876.0,0011U00000KuFYGQA3,Inexperienced,Income,Millennials,Caleb Mccray,Allen Advisor,Household,Tier 2,Customer,2018-12-09,2018-12-17,Event,Activity-0-0011U00000KuFYGQA3,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Event,Advisor Event,Client Retention,Event,Discussion,Event,Other,2020-05-25
65780.0,0011U00000KuFYHQA3,Inexperienced,Aggressive Growth,Millennials,Shelly Fowler,Mark Garet,Person Account,Tier 1,Customer,2018-11-21,2018-12-17,Event,Activity-0-0011U00000KuFYHQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Normal,Advisor Task,Service,Completed,Call Shelly Fowler,Call,Call,2020-05-25
649182.0,0011U00000KuFYIQA3,Moderately Inexperienced,Growth,High Net Worth Families,Rigel Joyner,Allen Advisor,Person Account,Tier 1,Customer,2018-12-06,2018-12-17,Event,Activity-0-0011U00000KuFYIQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Service,Event,Quarterly Earnings Summary,Event,Other,2020-05-25
126509.0,0011U00000KuFYLQA3,Moderately Experienced,Income,High Net Worth Families,Bell Solis,Chelsea Advisor,Household,Tier 1,Customer,2018-12-07,2018-12-17,Event,Activity-0-0011U00000KuFYLQA3,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Event,Advisor Event,Prospecting,Event,Discussion,Event,Email,2020-05-25
396090.0,0011U00000KuFYSQA3,Moderately Experienced,Income,Affluent Professionals,Nicole Savage,Chelsea Advisor,Individual,Tier 1,Customer,2018-12-14,2018-12-17,Event,Activity-0-0011U00000KuFYSQA3,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Event,Advisor Event,Prospecting,Event,Summit,Event,Other,2020-05-25
577497.0,0011U00000KuFYWQA3,Moderately Inexperienced,Aggressive Growth,High Net Worth Families,Brian Williamson,Allen Advisor,Person Account,Tier 1,Customer,2018-12-07,2018-12-17,Event,Activity-0-0011U00000KuFYWQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Normal,Advisor Task,Service,In Progress,Quarterly Earnings Summary,Task,Email,2020-05-25
53475.0,0011U00000KuFYaQAN,Moderately Inexperienced,Income,Mass Market,Drake Branch,Brenda Banker,Individual,Tier 2,Customer,2018-11-26,2018-12-17,Event,Activity-0-0011U00000KuFYaQAN,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Normal,Advisor Task,Service,Completed,Evaluate Refinancing Loan,Task,Meeting,2020-05-25
332144.0,0011U00000KuFYbQAN,Experienced,Aggressive Growth,Millennials,Penelope Briggs,Allen Advisor,Person Account,Tier 3,Customer,2018-12-07,2018-12-17,Call,Activity-0-0011U00000KuFYbQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Service,Event,Call Penelope Briggs,Event,Call,2020-05-25
469597.0,0011U00000KuFYiQAN,Experienced,Aggressive Growth,Retired,Selma Dodson,Brenda Banker,Household,Tier 2,Customer,2018-12-03,2018-12-17,Event,Activity-0-0011U00000KuFYiQAN,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Event,Advisor Event,Prospecting,Event,Quarterly Earnings Summary,Event,Other,2020-05-25
684703.0,0011U00000KuFYkQAN,Inexperienced,Balanced Growth,Affluent Professionals,Harlan Noel,Allen Advisor,Household,Tier 1,Customer,2018-11-27,2018-12-17,Call,Activity-0-0011U00000KuFYkQAN,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,Event,Advisor Event,Client Retention,Event,Call Harlan Noel,Event,Call,2020-05-25
646349.0,0011U00000KuFXfQAN,Moderately Experienced,Aggressive Growth,Retired,Xanthus Wilkins,Brenda Banker,Individual,Tier 3,Customer,2018-12-14,2018-12-17,Event,Activity-0-0011U00000KuFXfQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,High,Advisor Task,Onboarding,Not Started,Call Xanthus Wilkins,Call,Call,2020-05-25
704087.0,0011U00000KuFXkQAN,Inexperienced,Aggressive Growth,Affluent Professionals,Idola Le,Allen Advisor,Person Account,Tier 2,Customer,2018-11-23,2018-12-17,Event,Activity-0-0011U00000KuFXkQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,High,Advisor Task,Onboarding,Open,Call Idola Le,Call,Call,2020-05-25
341419.0,0011U00000KuFYjQAN,Experienced,Balanced Growth,Affluent Professionals,Abraham Tyler,Allen Advisor,Household,Tier 3,Customer,2018-11-22,2018-12-17,Event,Activity-0-0011U00000KuFYjQAN,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Event,Advisor Event,Service,Event,Quarterly Earnings Summary,Event,Other,2020-05-25
340327.0,0011U00000KuFYlQAN,Experienced,Income,High Net Worth Families,Maryam Ramsey,Brenda Banker,Person Account,Tier 3,Customer,2018-11-19,2018-12-17,Event,Activity-0-0011U00000KuFYlQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Client Retention,Event,Sync Up,Event,Other,2020-05-25
1824105.0,0011U00000Kcp1LQAR,Experienced,Aggressive Growth,Millennials,Neil Symonds,Chelsea Advisor,Individual,Tier 2,Customer,2018-12-19,2019-01-14,Event,Activity-0-0011U00000Kcp1LQAR,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Event,Advisor Event,Client Retention,Event,Sync Up,Event,Email,2020-05-25
1241238.0,0011U00000Kcp1NQAR,Moderately Inexperienced,Balanced Growth,Millennials,Rachel Adams,Brenda Banker,Person Account,Tier 2,Customer,2018-12-23,2019-01-14,Event,Activity-0-0011U00000Kcp1NQAR,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Prospecting,Event,Lunch Meeting,Event,Email,2020-05-25
226509.0,0011U00000Kss4jQAB,Inexperienced,Balanced Growth,Mass Market,Jinni Boyd,Allen Advisor,Individual,Tier 1,Customer,2019-01-03,2019-01-14,Event,Activity-0-0011U00000Kss4jQAB,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,High,Advisor Task,Prospecting,Not Started,Quarterly Earnings Summary,Task,Other,2020-05-25
418161.0,0011U00000KuWpYQAV,Moderately Inexperienced,Growth,Affluent Professionals,Fredericka Mccullough,Allen Advisor,Person Account,Tier 3,Customer,2018-12-20,2019-01-14,Call,Activity-1-0011U00000KuWpYQAV,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Client Retention,Event,Call Fredericka Mccullough,Event,Call,2020-05-25
0.0,0011U00000KuFXHQA3,Experienced,Income,Affluent Professionals,Hedley Church,Allen Advisor,Individual,Tier 1,Customer,2019-01-04,2019-01-14,Event,Activity-0-0011U00000KuFXHQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,High,Advisor Task,Service,Open,Send Birthday Gift,Task,Email,2020-05-25
65210.0,0011U00000KuFXIQA3,Moderately Experienced,Income,Mass Market,Wallace Summers,Allen Advisor,Person Account,Tier 3,Customer,2019-01-09,2019-01-14,Event,Activity-0-0011U00000KuFXIQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Event,Advisor Event,Service,Event,Discussion,Event,Email,2020-05-25
953177.0,0011U00000KuFXJQA3,Moderately Inexperienced,Growth,Mass Market,Zane Cervantes,Allen Advisor,Household,Tier 1,Customer,2019-01-09,2019-01-14,Event,Activity-1-0011U00000KuFXJQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,High,Advisor Task,Service,In Progress,Call Zane Cervantes,Call,Call,2020-05-25
294810.0,0011U00000KuFXKQA3,Experienced,Balanced Growth,Affluent Professionals,Carissa Mckee,Allen Advisor,Person Account,Tier 2,Customer,2018-12-27,2019-01-14,Event,Activity-1-0011U00000KuFXKQA3,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,Event,Advisor Event,Client Retention,Event,Evaluate Refinancing Loan,Event,Meeting,2020-05-25
173982.0,0011U00000KuFXLQA3,Moderately Experienced,Aggressive Growth,Mass Market,Akeem Head,Brenda Banker,Person Account,Tier 3,Customer,2018-12-25,2019-01-14,Event,Activity-0-0011U00000KuFXLQA3,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,High,Advisor Task,Service,Open,Discussion,Task,Email,2020-05-25
560377.0,0011U00000KuFXPQA3,Inexperienced,Income,Retired,Erich Grimes,Allen Advisor,Household,Tier 1,Customer,2019-01-05,2019-01-14,Event,Activity-0-0011U00000KuFXPQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Prospecting,Event,Discussion,Event,Other,2020-05-25
376353.0,0011U00000KuFXQQA3,Inexperienced,Income,Mass Market,Ebony Ramsey,Allen Advisor,Person Account,Tier 3,Customer,2018-12-29,2019-01-14,Event,Activity-0-0011U00000KuFXQQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,High,Advisor Task,Onboarding,In Progress,Quarterly Earnings Summary,Task,Email,2020-05-25
329549.0,0011U00000KuFXSQA3,Moderately Experienced,Growth,Affluent Professionals,Zeph Mcmahon,Allen Advisor,Individual,Tier 3,Customer,2019-01-04,2019-01-14,Event,Activity-0-0011U00000KuFXSQA3,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,High,Advisor Task,Prospecting,Open,Call Zeph Mcmahon,Call,Call,2020-05-25
461042.0,0011U00000KuFXUQA3,Moderately Experienced,Growth,Millennials,Britanni Garcia,Allen Advisor,Individual,Tier 1,Customer,2019-01-02,2019-01-14,Event,Activity-1-0011U00000KuFXUQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Normal,Advisor Task,Service,In Progress,Lunch Meeting,Task,Meeting,2020-05-25
721821.0,0011U00000KuFXVQA3,Moderately Experienced,Aggressive Growth,Mass Market,Abel Sanchez,Brenda Banker,Person Account,Tier 2,Customer,2019-01-10,2019-01-14,Event,Activity-0-0011U00000KuFXVQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Normal,Advisor Task,Prospecting,Completed,Call Abel Sanchez,Call,Call,2020-05-25
301487.0,0011U00000KuFXWQA3,Inexperienced,Growth,Mass Market,Grant Cline,Mark Garet,Individual,Tier 1,Customer,2018-12-24,2019-01-14,Call,Activity-0-0011U00000KuFXWQA3,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,Event,Advisor Event,Onboarding,Event,Call Grant Cline,Event,Call,2020-05-25
544334.0,0011U00000KuFXaQAN,Inexperienced,Aggressive Growth,Millennials,Lucius Fry,Chelsea Advisor,Person Account,Tier 2,Customer,2018-12-25,2019-01-14,Event,Activity-1-0011U00000KuFXaQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Onboarding,Event,Discussion,Event,Meeting,2020-05-25
491092.0,0011U00000KuFXdQAN,Moderately Inexperienced,Income,Mass Market,Penelope Solis,Brenda Banker,Person Account,Tier 1,Customer,2018-12-31,2019-01-14,Event,Activity-0-0011U00000KuFXdQAN,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,Event,Advisor Event,Client Retention,Event,Send Birthday Gift,Event,Meeting,2020-05-25
218266.0,0011U00000KuFXeQAN,Experienced,Income,Affluent Professionals,Ramona Hamilton,Allen Advisor,Person Account,Tier 3,Customer,2019-01-12,2019-01-14,Event,Activity-0-0011U00000KuFXeQAN,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,Event,Advisor Event,Prospecting,Event,Evaluate Refinancing Loan,Event,Email,2020-05-25
