ACCOUNTNUMBER,AGEBUCKET,AUA,AUM,AUMBUCKET,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,CLIENTCATEGORY,CLIENTCATEGORYCUSTOM,CREATEDDATE,CUSTOMERSEGMENT,DAYSSINCELASTINTERACTION,FINANCIALINTERESTS,HELDAWAY,HOUSEHOLDCOMPUTED,HOUSEHOLDSIZE,HOUSEHOLDSIZETEXT,ID,INVESTMENTEXPERIENCE,INVESTMENTOBJECTIVES,LASTINTERACTION,LASTREVIEW,LEADORCONTACTID,MARKETINGSEGMENT,NAME,NETWORTH,NETWORTHBUCKET,NEXTREVIEW,OWNERCITY,OWNEREMAIL,OWNERID,OWNERNAME,OWNERROLENAME,OWNERSMALLPHOTOURL,OWNERSTATE,PHONE,PRIMARYCONTACTAGE,PRIMARYCONTACTANNUALINCOME,PRIMARYCONTACTEMAIL,PRIMARYCONTACTGENDER,RECORDTYPENAME,RELATIONSHIPSTARTDATE,REVIEWFREQUENCY,RISKTOLERANCE,ROLLUPHOUSEHOLDNAME,SAMPLEACCOUNT,SERVICEMODEL,TOTALAUMJOINTOWNER,TOTALAUMPRIMARYOWNER,TOTALFINACCTSJOINTOWNER,TOTALFINACCTSPRIMARYOWNER,TOTALFINANCIALACCOUNTS,TOTALHELDFINACCTSJOINTOWNER,TOTALHELDFINACCTSPRIMARYOWNER,TOTALNUMBEROFFINACCOUNTSPRIMARYOWNER,WALLETSHARE,YEARSSINCECLIENT,YEARSSINCECLIENTBUCKET,LastProcessedDate
13,3. 30-49,423823.89999999997,979379.0,2. Between 500K and 2M,USA,96109,CA,Silver,3 - Silver,2018-11-26,Long Term Growth,24,Fixed Income,423823.89999999997,Zane Cervantes,4,4,0011U00000KuFXJQA3,Moderately Inexperienced,Growth,2020-05-01,2020-04-14,0011U00000KulRbQAJ,Mass Market,Zane Cervantes,1403202.9,2. Between 500K and 2M,2020-05-20,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,283-507-6730,44,57253.0,user-13@fsc-demo.com,Female,Household,2017-07-16,Monthly,Moderate,Zane Cervantes,false,Tier 1,0.0,979379.0,0.0,1403202.9,1403202.9,0.0,423823.89999999997,5.0,0.3020403535368976,1,2. Between 1 and 3 years,2020-05-25
15,3. 30-49,245486.0,182826.0,1. Less than 500K,USA,8030,NJ,Platinum,1 - Platinum,2018-11-26,Mass Affluent,550,Fixed Income,245486.0,,0,0,0011U00000KuFXLQA3,Moderately Experienced,Aggressive Growth,2018-11-22,2018-11-02,0031U00000MrehAQAR,Mass Market,Akeem Head,428312.0,1. Less than 500K,2018-12-11,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,449-489-7767,34,191895.0,user-15@fsc-demo.com,Male,Person Account,2012-07-31,Quarterly,Aggresive,,false,Tier 3,0.0,182826.0,0.0,428312.0,428312.0,0.0,245486.0,2.0,0.5731476120211435,6,4. Between 5 and 10 Years,2020-05-25
16,3. 30-49,358652.82999999996,254886.0,1. Less than 500K,USA,15610,PA,Gold,2 - Gold,2018-11-26,Long Term Growth,553,College Planning,358652.82999999996,,0,0,0011U00000KuFXMQA3,Inexperienced,Growth,2018-11-19,2018-11-14,0031U00000MrehBQAR,Retired,Quinn Cummings,613538.83,2. Between 500K and 2M,2018-12-22,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,236-474-6365,47,194677.0,user-16@fsc-demo.com,Male,Person Account,2017-05-30,Annually,None,,false,Tier 1,0.0,254886.0,0.0,613538.83,613538.83,0.0,358652.82999999996,4.0,0.5845641913161388,1,2. Between 1 and 3 years,2020-05-25
18,4. 50-69,287951.4,388677.0,1. Less than 500K,USA,32617,FL,Gold,2 - Gold,2018-11-26,Mass Affluent,9,Retirement,287951.4,,0,0,0011U00000KuFXOQA3,Experienced,Balanced Growth,2020-05-16,2020-05-07,0011U00000KulRbQAJ,High Net Worth Families,Alfreda Pierce,676628.4,2. Between 500K and 2M,2020-06-10,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,462-204-8581,51,216556.0,user-18@fsc-demo.com,Female,Person Account,2015-05-09,Quarterly,Moderate,,false,Tier 3,0.0,388677.0,0.0,676628.4,676628.4,0.0,287951.4,3.0,0.4255680074912611,3,3. Between 3 and 5 years,2020-05-25
21,4. 50-69,303131.0,686143.0,2. Between 500K and 2M,USA,75001,TX,Silver,3 - Silver,2018-11-26,Long Term Growth,546,Municipal Bonds,303131.0,,0,0,0011U00000KuFXRQA3,Moderately Inexperienced,Growth,2018-11-26,2018-11-14,0031U00000MrehEQAR,Affluent Professionals,Sloane Holland,989274.0,2. Between 500K and 2M,2018-12-13,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,432-171-1351,66,134386.0,user-21@fsc-demo.com,Female,Person Account,2018-04-07,Quarterly,None,,false,Tier 1,0.0,686143.0,0.0,989274.0,989274.0,0.0,303131.0,4.0,0.3064176355590059,0,1. Less than 1 year,2020-05-25
24,4. 50-69,303182.9,478126.0,1. Less than 500K,USA,75750,TX,Platinum,1 - Platinum,2018-11-26,Mass Affluent,553,Municipal Bonds,303182.9,,0,0,0011U00000KuFXUQA3,Moderately Experienced,Growth,2018-11-19,2018-11-05,0011U00000KulRbQAJ,Millennials,Britanni Garcia,781308.9,2. Between 500K and 2M,2018-12-16,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,324-128-9188,59,108264.0,user-24@fsc-demo.com,Female,Individual,2014-03-27,Monthly,None,,false,Tier 1,0.0,478126.0,0.0,781308.9,781308.9,0.0,303182.9,4.0,0.3880448565221771,4,3. Between 3 and 5 years,2020-05-25
28,3. 30-49,230731.0,421883.0,1. Less than 500K,USA,8219,NJ,Silver,3 - Silver,2018-11-26,Mass Affluent,548,College Planning,230731.0,,0,0,0011U00000KuFXYQA3,Inexperienced,Growth,2018-11-24,2018-10-28,0011U00000KulRbQAJ,Mass Market,Elizabeth Avila,652614.0,2. Between 500K and 2M,2018-12-21,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,246-987-6407,38,169338.0,user-28@fsc-demo.com,Female,Individual,2013-01-15,Quarterly,Conservative,,false,Tier 3,0.0,421883.0,0.0,652614.0,652614.0,0.0,230731.0,4.0,0.35354895849614015,5,4. Between 5 and 10 Years,2020-05-25
31,3. 30-49,312156.0,164510.0,1. Less than 500K,USA,32329,FL,Platinum,1 - Platinum,2018-11-26,Long Term Growth,546,Energy,312156.0,,0,0,0011U00000KuFXbQAN,Inexperienced,Aggressive Growth,2018-11-26,2018-11-20,0011U00000KulRbQAJ,Millennials,Kato Vega,476666.0,1. Less than 500K,2018-12-25,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,537-383-7832,35,112865.0,user-31@fsc-demo.com,Female,Person Account,2014-08-23,Annually,Moderate,,false,Tier 1,0.0,164510.0,0.0,476666.0,476666.0,0.0,312156.0,3.0,0.6548736431799206,4,3. Between 3 and 5 years,2020-05-25
32,3. 30-49,468343.1,613820.0,2. Between 500K and 2M,USA,75750,TX,Silver,3 - Silver,2018-11-26,Mass Affluent,547,Municipal Bonds,468343.1,Travis Jacobson,2,2,0011U00000KuFXcQAN,Experienced,Income,2018-11-25,2018-11-19,0011U00000KulRbQAJ,Mass Market,Travis Jacobson,1082163.1,2. Between 500K and 2M,2018-12-14,New York,mark.garet@example.com,0051U000005KhW6QAK,Mark Garet,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,NY,238-195-1222,37,172395.0,user-32@fsc-demo.com,Female,Household,2013-12-09,Quarterly,Moderate,Travis Jacobson,false,Tier 3,0.0,613820.0,0.0,1082163.1,1082163.1,0.0,468343.1,3.0,0.4327842078518478,4,3. Between 3 and 5 years,2020-05-25
33,2. 18-29,293051.8,503587.0,2. Between 500K and 2M,USA,8032,NJ,Gold,2 - Gold,2018-11-26,Mass Affluent,546,Municipal Bonds,293051.8,,0,0,0011U00000KuFXdQAN,Moderately Inexperienced,Income,2018-11-26,2018-11-10,0031U00000MrehJQAR,Mass Market,Penelope Solis,796638.8,2. Between 500K and 2M,2018-12-21,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,388-645-6749,23,248033.0,user-33@fsc-demo.com,Male,Person Account,2010-09-06,Annually,Aggresive,,false,Tier 1,0.0,503587.0,0.0,796638.8,796638.8,0.0,293051.8,4.0,0.36786031511395123,8,4. Between 5 and 10 Years,2020-05-25
34,4. 50-69,177003.0,225191.0,1. Less than 500K,USA,8038,NJ,Silver,3 - Silver,2018-11-26,Long Term Growth,547,Technology,177003.0,,0,0,0011U00000KuFXeQAN,Experienced,Income,2018-11-25,2018-11-24,0031U00000MrehKQAR,Affluent Professionals,Ramona Hamilton,402194.0,1. Less than 500K,2018-12-21,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,551-260-1941,57,183295.0,user-34@fsc-demo.com,Male,Person Account,2011-02-17,Annually,Conservative,,false,Tier 3,0.0,225191.0,0.0,402194.0,402194.0,0.0,177003.0,2.0,0.4400935866770762,7,4. Between 5 and 10 Years,2020-05-25
36,3. 30-49,112419.0,184790.0,1. Less than 500K,USA,10457,NY,Gold,2 - Gold,2018-11-26,Long Term Growth,563,College Planning,112419.0,,0,0,0011U00000KuFXgQAN,Inexperienced,Balanced Growth,2018-11-09,2018-10-31,0011U00000KulRbQAJ,Millennials,Palmer Macdonald,297209.0,1. Less than 500K,2018-12-26,Florida,ryan.dobson@example.com,0051U000005L6eJQAS,Chelsea Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,401-708-1443,30,211846.0,user-36@fsc-demo.com,Male,Person Account,2009-02-24,Quarterly,Aggresive,,false,Tier 1,0.0,184790.0,0.0,297209.0,297209.0,0.0,112419.0,3.0,0.3782489763096003,9,4. Between 5 and 10 Years,2020-05-25
39,2. 18-29,252356.19999999998,336729.0,1. Less than 500K,USA,10454,NY,Gold,2 - Gold,2018-11-26,Long Term Growth,548,Technology,252356.19999999998,,0,0,0011U00000KuFXjQAN,Inexperienced,Aggressive Growth,2018-11-24,2018-11-16,0031U00000MrehMQAR,Mass Market,Dorian Newton,589085.2,2. Between 500K and 2M,2018-12-18,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,303-417-9970,20,238222.0,user-39@fsc-demo.com,Female,Person Account,2013-03-25,Quarterly,Aggresive,,false,Tier 2,0.0,336729.0,0.0,589085.2,589085.2,0.0,252356.19999999998,3.0,0.4283865899194208,5,4. Between 5 and 10 Years,2020-05-25
40,5. > 69,435025.6,720957.0,2. Between 500K and 2M,USA,75926,TX,Platinum,1 - Platinum,2018-11-26,Mass Affluent,569,College Planning,435025.6,,0,0,0011U00000KuFXkQAN,Inexperienced,Aggressive Growth,2018-11-03,2018-10-28,0031U00000MrehNQAR,Affluent Professionals,Idola Le,1155982.6,2. Between 500K and 2M,2018-12-20,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,490-625-9605,71,111473.0,user-40@fsc-demo.com,Female,Person Account,2012-05-30,Monthly,Moderate,,false,Tier 2,0.0,720957.0,0.0,1155982.6,1155982.6,0.0,435025.6,4.0,0.37632538759666445,6,4. Between 5 and 10 Years,2020-05-25
42,3. 30-49,291111.0,388920.0,1. Less than 500K,USA,10452,NY,Silver,3 - Silver,2018-11-26,Mass Affluent,5,Technology,291111.0,Ferris King,2,2,0011U00000KuFXmQAN,Inexperienced,Balanced Growth,2020-05-20,2020-05-07,0031U00000MrehPQAR,Mass Market,Ferris King,680031.0,2. Between 500K and 2M,2020-06-20,San Francisco,sunil.dixit@example.com,0051U000005L4E9QAK,Brenda Banker,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,227-105-3815,35,214096.0,user-42@fsc-demo.com,Male,Household,2016-05-06,Monthly,None,Ferris King,false,Tier 3,0.0,388920.0,0.0,680031.0,680031.0,0.0,291111.0,3.0,0.42808489612973527,2,2. Between 1 and 3 years,2020-05-25
43,3. 30-49,393908.3,838692.0,2. Between 500K and 2M,USA,96101,CA,Platinum,1 - Platinum,2018-11-26,Mass Affluent,554,Energy,393908.3,,0,0,0011U00000KuFXnQAN,Moderately Experienced,Income,2018-11-18,2018-11-02,0031U00000MrehQQAR,Mass Market,TaShya Perez,1232600.3,2. Between 500K and 2M,2018-12-23,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,525-358-7472,41,116718.0,user-43@fsc-demo.com,Female,Person Account,2012-01-21,Quarterly,None,,false,Tier 3,0.0,838692.0,0.0,1232600.3,1232600.3,0.0,393908.3,4.0,0.3195750479697271,6,4. Between 5 and 10 Years,2020-05-25
45,2. 18-29,571723.3999999999,740735.0,2. Between 500K and 2M,USA,96140,CA,Silver,3 - Silver,2018-11-26,Long Term Growth,551,Energy,571723.3999999999,,0,0,0011U00000KuFXpQAN,Inexperienced,Income,2018-11-21,2018-11-08,0031U00000MrehRQAR,High Net Worth Families,Cooper Flowers,1312458.4,2. Between 500K and 2M,2018-12-11,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,310-738-6625,20,195055.0,user-45@fsc-demo.com,Female,Person Account,2014-09-18,Monthly,Conservative,,false,Tier 3,0.0,740735.0,0.0,1312458.4,1312458.4,0.0,571723.3999999999,5.0,0.4356125877970684,4,3. Between 3 and 5 years,2020-05-25
46,5. > 69,297546.5,483840.0,1. Less than 500K,USA,10460,NY,Platinum,1 - Platinum,2018-11-26,Long Term Growth,567,Retirement,297546.5,Ryder Velez,3,3,0011U00000KuFXqQAN,Moderately Experienced,Income,2018-11-05,2018-10-31,0031U00000MrehSQAR,Mass Market,Ryder Velez,781386.5,2. Between 500K and 2M,2018-12-16,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,272-846-6478,70,197419.0,user-46@fsc-demo.com,Male,Household,2011-12-30,Annually,Moderate,Ryder Velez,false,Tier 2,0.0,483840.0,0.0,781386.5,781386.5,0.0,297546.5,4.0,0.380792987849163,6,4. Between 5 and 10 Years,2020-05-25
48,3. 30-49,197783.1,415890.0,1. Less than 500K,USA,8038,NJ,Gold,2 - Gold,2018-11-26,Mass Affluent,548,Energy,197783.1,,0,0,0011U00000KuFXsQAN,Moderately Inexperienced,Aggressive Growth,2018-11-24,2018-10-29,0011U00000KulRbQAJ,Affluent Professionals,Harlan Mcgowan,613673.1,2. Between 500K and 2M,2018-12-22,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,467-645-4075,43,112993.0,user-48@fsc-demo.com,Male,Person Account,2015-03-27,Quarterly,Moderate,,false,Tier 3,0.0,415890.0,0.0,613673.1,613673.1,0.0,197783.1,3.0,0.32229390533820046,3,3. Between 3 and 5 years,2020-05-25
50,4. 50-69,413678.1,688877.0,2. Between 500K and 2M,USA,10452,NY,Platinum,1 - Platinum,2018-11-26,Mass Affluent,555,Fixed Income,413678.1,,0,0,0011U00000KuFXuQAN,Experienced,Aggressive Growth,2018-11-17,2018-11-08,0031U00000MrehUQAR,Mass Market,Marvin Garcia,1102555.1,2. Between 500K and 2M,2018-12-13,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,301-384-6257,52,223919.0,user-50@fsc-demo.com,Male,Person Account,2017-08-13,Quarterly,None,,false,Tier 1,0.0,688877.0,0.0,1102555.1,1102555.1,0.0,413678.1,4.0,0.37519947982645036,1,2. Between 1 and 3 years,2020-05-25
51,4. 50-69,470597.0,599330.0,2. Between 500K and 2M,USA,96107,CA,Platinum,1 - Platinum,2018-11-26,Long Term Growth,548,Fixed Income,470597.0,,0,0,0011U00000KuFXvQAN,Moderately Inexperienced,Income,2018-11-24,2018-11-13,0031U00000MrehVQAR,High Net Worth Families,Odysseus Grimes,1069927.0,2. Between 500K and 2M,2018-12-26,Chicago,allen.advisor@example.com,0051U000005JQyrQAG,Allen Advisor,Manager,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,522-669-4898,63,134548.0,user-51@fsc-demo.com,Female,Person Account,2013-02-17,Annually,None,,false,Tier 3,0.0,599330.0,0.0,1069927.0,1069927.0,0.0,470597.0,5.0,0.43984028816919285,5,4. Between 5 and 10 Years,2020-05-25
