CAMPAIGNID,CAMPAIGNISACTIVE,CAMPAIGNNAME,CAMPAIGNSTARTDATE,CAMPAIGNSTATUS,CAMPAIGNTYPE,CONTACTEMAIL,CONTACTMOBILEPHONE,CONTACTNAME,HASRESPONDED,ID,LEADEMAIL,LEADNAME,LEADPHONE,NAME,TYPE,LastProcessedDate
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oCX2QAM,kartergarner@example.com,Karter Garner,(1102)-537-1102,Karter Garner,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCX3QAM,tyrellsmith@example.com,Tyrell Smith,(5445)-258-5445,Tyrell Smith,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,guillermomccoy@example.com,(7479)-373-7479,Guillermo Mccoy,false,00v1U000000oCX4QAM,,,,Guillermo Mccoy,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,billyholder@example.com,(5072)-770-5072,Billy Holder,true,00v1U000000oCX5QAM,,,,Billy Holder,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,keenanpetty@example.com,(8012)-687-8012,Keenan Petty,true,00v1U000000oCX6QAM,,,,Keenan Petty,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,zanearroyo@example.com,(1415)-482-1415,Zane Arroyo,false,00v1U000000oCX7QAM,,,,Zane Arroyo,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,nathanhenry@example.com,(7831)-102-7831,Nathan Henry,true,00v1U000000oCX8QAM,,,,Nathan Henry,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,austinharvey@example.com,(1255)-406-1255,Austin Harvey,false,00v1U000000oCX9QAM,,,,Austin Harvey,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,kasenmclean@example.com,(3317)-512-3317,Kasen Mclean,true,00v1U000000oCXAQA2,,,,Kasen Mclean,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,nigelgibbs@example.com,(9354)-486-9354,Nigel Gibbs,false,00v1U000000oCXBQA2,,,,Nigel Gibbs,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,quintonharrell@example.com,(1230)-627-1230,Quinton Harrell,true,00v1U000000oCXCQA2,,,,Quinton Harrell,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,stephenharrell@example.com,(2495)-859-2495,Stephen Harrell,false,00v1U000000oCXDQA2,,,,Stephen Harrell,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,sidneyabbott@example.com,(6925)-686-6925,Sidney Abbott,false,00v1U000000oCXEQA2,,,,Sidney Abbott,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,alejandrobates@example.com,(4053)-641-4053,Alejandro Bates,false,00v1U000000oCXFQA2,,,,Alejandro Bates,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,kameronporter@example.com,(1718)-749-1718,Kameron Porter,false,00v1U000000oCXGQA2,,,,Kameron Porter,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,emiliomurillo@example.com,(2561)-233-2561,Emilio Murillo,true,00v1U000000oCXHQA2,,,,Emilio Murillo,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,andreasroy@example.com,(3851)-983-3851,Andreas Roy,true,00v1U000000oCXIQA2,,,,Andreas Roy,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,agustinhodges@example.com,(1013)-827-1013,Agustin Hodges,true,00v1U000000oCXJQA2,,,,Agustin Hodges,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,deangeloelliott@example.com,(5150)-732-5150,Deangelo Elliott,false,00v1U000000oCXKQA2,,,,Deangelo Elliott,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,davondavid@example.com,(1619)-365-1619,Davon David,true,00v1U000000oCXLQA2,,,,Davon David,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,casonbullock@example.com,(4867)-610-4867,Cason Bullock,false,00v1U000000oCXMQA2,,,,Cason Bullock,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,geraldwoodward@example.com,(5562)-937-5562,Gerald Woodward,false,00v1U000000oCXNQA2,,,,Gerald Woodward,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,mathewibarra@example.com,(7217)-211-7217,Mathew Ibarra,true,00v1U000000oCXOQA2,,,,Mathew Ibarra,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXPQA2,remingtoncowan@example.com,Remington Cowan,(3795)-620-3795,Remington Cowan,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,chadjohnson@example.com,(3528)-519-3528,Chad Johnson,true,00v1U000000oCXQQA2,,,,Chad Johnson,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,skylarrodriguez@example.com,(4766)-120-4766,Skylar Rodriguez,true,00v1U000000oCXRQA2,,,,Skylar Rodriguez,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXSQA2,arthurmcclure@example.com,Arthur Mcclure,(4634)-513-4634,Arthur Mcclure,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oCXTQA2,kodycharles@example.com,Kody Charles,(2626)-767-2626,Kody Charles,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,noelbradshaw@example.com,(9013)-468-9013,Noel Bradshaw,false,00v1U000000oCXUQA2,,,,Noel Bradshaw,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,juliusoneill@example.com,(8781)-420-8781,Julius Oneill,false,00v1U000000oCXVQA2,,,,Julius Oneill,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,fisherarias@example.com,(2756)-173-2756,Fisher Arias,false,00v1U000000oCXWQA2,,,,Fisher Arias,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,connerlynch@example.com,(5137)-350-5137,Conner Lynch,true,00v1U000000oCXXQA2,,,,Conner Lynch,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,arymdiamond@example.com,(9135)-616-9135,Arym Diamond,false,00v1U000000oCXYQA2,,,,Arym Diamond,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,sergiohoffman@example.com,(9286)-502-9286,Sergio Hoffman,true,00v1U000000oCXZQA2,,,,Sergio Hoffman,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXaQAM,marvinstephenson@example.com,Marvin Stephenson,(4651)-634-4651,Marvin Stephenson,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oCXbQAM,daviontownsend@example.com,Davion Townsend,(5027)-389-5027,Davion Townsend,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oCXcQAM,jovanytaylor@example.com,Jovany Taylor,(9824)-956-9824,Jovany Taylor,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oCXdQAM,tristenharding@example.com,Tristen Harding,(4769)-178-4769,Tristen Harding,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXeQAM,joshuamcknight@example.com,Joshua Mcknight,(5793)-741-5793,Joshua Mcknight,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,ernestpeck@example.com,(7888)-299-7888,Ernest Peck,false,00v1U000000oCXfQAM,,,,Ernest Peck,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,howardsandoval@example.com,(1851)-847-1851,Howard Sandoval,true,00v1U000000oCXgQAM,,,,Howard Sandoval,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,jadongarcia@example.com,(8202)-752-8202,Jadon Garcia,false,00v1U000000oCXhQAM,,,,Jadon Garcia,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,terrellvalencia@example.com,(3656)-679-3656,Terrell Valencia,false,00v1U000000oCXiQAM,,,,Terrell Valencia,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,aedanmiranda@example.com,(6909)-522-6909,Aedan Miranda,true,00v1U000000oCXjQAM,,,,Aedan Miranda,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oCXkQAM,alissonlynn@example.com,Alisson Lynn,(3777)-417-3777,Alisson Lynn,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,breannamclean@example.com,(8795)-236-8795,Breanna Mclean,true,00v1U000000oCXlQAM,,,,Breanna Mclean,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,caitlynruiz@example.com,(8059)-606-8059,Caitlyn Ruiz,false,00v1U000000oCXmQAM,,,,Caitlyn Ruiz,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,jovanallen@example.com,(8467)-372-8467,Jovan Allen,false,00v1U000000oCXnQAM,,,,Jovan Allen,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXoQAM,keyonbullock@example.com,Keyon Bullock,(6680)-933-6680,Keyon Bullock,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXpQAM,petersalas@example.com,Peter Salas,(7307)-164-7307,Peter Salas,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,gokulrao@example.com,(7247)-466-7247,Gokul Rao,true,00v1U000000oCXqQAM,,,,Gokul Rao,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXrQAM,sandrabush@example.com,Sandra Bush,(4885)-684-4885,Sandra Bush,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,hectorhernandez@example.com,(6447)-307-6447,Hector Hernandez,true,00v1U000000oCXsQAM,,,,Hector Hernandez,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,addysonknight@example.com,(8135)-516-8135,Addyson Knight,false,00v1U000000oCXtQAM,,,,Addyson Knight,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXuQAM,camillacross@example.com,Camilla Cross,(6822)-904-6822,Camilla Cross,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,brunoibarra@example.com,(8530)-495-8530,Bruno Ibarra,false,00v1U000000oCXvQAM,,,,Bruno Ibarra,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,jaylingill@example.com,(7430)-324-7430,Jaylin Gill,true,00v1U000000oCXwQAM,,,,Jaylin Gill,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,kylerhodes@example.com,(4718)-725-4718,Kyle Rhodes,true,00v1U000000oCXxQAM,,,,Kyle Rhodes,Prospect,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCXyQAM,rebeccaberger@example.com,Rebecca Berger,(5906)-173-5906,Rebecca Berger,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,marchays@example.com,(1830)-234-1830,Marc Hays,true,00v1U000000oCXzQAM,,,,Marc Hays,Contact,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oCY0QAM,elizabethsanford@example.com,Elizabeth Sanford,(2681)-437-2681,Elizabeth Sanford,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCY1QAM,jalensavage@example.com,Jalen Savage,(8555)-345-8555,Jalen Savage,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,false,00v1U000000oCY2QAM,jaydinherrera@example.com,Jaydin Herrera,(7756)-253-7756,Jaydin Herrera,Lead and Referral,2020-05-25
7011U000000ULoUQAW,false,Retirement Campaign,2019-02-11,Aborted,Event,,,,true,00v1U000000oCY3QAM,devenmurray@example.com,Deven Murray,(7236)-409-7236,Deven Murray,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,brayanarroyo@example.com,(1590)-765-1590,Brayan Arroyo,false,00v1U000000oCY4QAM,,,,Brayan Arroyo,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,aydanbates@example.com,(6524)-980-6524,Aydan Bates,true,00v1U000000oCY5QAM,,,,Aydan Bates,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,matthiasmathis@example.com,(9339)-102-9339,Matthias Mathis,false,00v1U000000oCY6QAM,,,,Matthias Mathis,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,mayraarmstrong@example.com,(2386)-189-2386,Mayra Armstrong,false,00v1U000000oCY7QAM,,,,Mayra Armstrong,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,amirahbolton@example.com,(2392)-252-2392,Amirah Bolton,false,00v1U000000oCY8QAM,,,,Amirah Bolton,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,gwendolynbaker@example.com,(8662)-110-8662,Gwendolyn Baker,false,00v1U000000oCY9QAM,,,,Gwendolyn Baker,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,keelylutz@example.com,(5733)-599-5733,Keely Lutz,true,00v1U000000oCYAQA2,,,,Keely Lutz,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,true,00v1U000000oCYBQA2,kenyonhays@example.com,Kenyon Hays,(8047)-781-8047,Kenyon Hays,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,jaylonstevenson@example.com,(9291)-505-9291,Jaylon Stevenson,true,00v1U000000oCYCQA2,,,,Jaylon Stevenson,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,aryannahobbs@example.com,(2535)-961-2535,Aryanna Hobbs,false,00v1U000000oCYDQA2,,,,Aryanna Hobbs,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,kirablack@example.com,(6468)-947-6468,Kira Black,true,00v1U000000oCYEQA2,,,,Kira Black,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,maryfrey@example.com,(8498)-920-8498,Mary Frey,true,00v1U000000oCYFQA2,,,,Mary Frey,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,rydermills@example.com,(9808)-852-9808,Ryder Mills,true,00v1U000000oCYGQA2,,,,Ryder Mills,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,true,00v1U000000oCYHQA2,mosesschneider@example.com,Moses Schneider,(3499)-137-3499,Moses Schneider,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,true,00v1U000000oCYIQA2,victormurray@example.com,Victor Murray,(3435)-364-3435,Victor Murray,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,reaganbond@example.com,(1533)-938-1533,Reagan Bond,true,00v1U000000oCYJQA2,,,,Reagan Bond,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,shaunduran@example.com,(5734)-537-5734,Shaun Duran,true,00v1U000000oCYKQA2,,,,Shaun Duran,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,giovannyavila@example.com,(6776)-990-6776,Giovanny Avila,false,00v1U000000oCYLQA2,,,,Giovanny Avila,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,raidapotts@example.com,(9293)-593-9293,Raida Potts,true,00v1U000000oCYMQA2,,,,Raida Potts,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,true,00v1U000000oCYNQA2,alessandroparrish@example.com,Alessandro Parrish,(9014)-971-9014,Alessandro Parrish,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,samaracampos@example.com,(2757)-409-2757,Samara Campos,true,00v1U000000oCYOQA2,,,,Samara Campos,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,emmajacobson@example.com,(7680)-552-7680,Emma Jacobson,true,00v1U000000oCYPQA2,,,,Emma Jacobson,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,racheladamssample@example.com,(3939)-408-3939,Rachel Adams (Sample),true,00v1U000000oCS4QAM,,,,Rachel Adams (Sample),Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,neilsymondssample@example.com,(4236)-995-4236,Neil Symonds (Sample),true,00v1U000000oCS5QAM,,,,Neil Symonds (Sample),Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,nigeladamssample@example.com,(9391)-943-9391,Nigel Adams (Sample),false,00v1U000000oCS6QAM,,,,Nigel Adams (Sample),Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,martinyoung@example.com,(6823)-477-6823,Martin Young,true,00v1U000000oCS7QAM,,,,Martin Young,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,justinsmith@example.com,(6630)-706-6630,Justin Smith,false,00v1U000000oCS8QAM,,,,Justin Smith,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,jinniboyd@example.com,(5454)-162-5454,Jinni Boyd,true,00v1U000000oCS9QAM,,,,Jinni Boyd,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,williehester@example.com,(8804)-448-8804,Willie Hester,true,00v1U000000oCSAQA2,,,,Willie Hester,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,reubenholder@example.com,(6007)-820-6007,Reuben Holder,true,00v1U000000oCSBQA2,,,,Reuben Holder,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,deshawnbaldwin@example.com,(6049)-371-6049,Deshawn Baldwin,true,00v1U000000oCSCQA2,,,,Deshawn Baldwin,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,isaacmolina@example.com,(5833)-278-5833,Isaac Molina,true,00v1U000000oCSDQA2,,,,Isaac Molina,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,true,00v1U000000oCSEQA2,kartergarner@example.com,Karter Garner,(9758)-572-9758,Karter Garner,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,tyrellsmith@example.com,(8980)-222-8980,Tyrell Smith,false,00v1U000000oCSFQA2,,,,Tyrell Smith,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,false,00v1U000000oCSGQA2,guillermomccoy@example.com,Guillermo Mccoy,(3360)-567-3360,Guillermo Mccoy,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,billyholder@example.com,(5262)-556-5262,Billy Holder,false,00v1U000000oCSHQA2,,,,Billy Holder,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,true,00v1U000000oCSIQA2,keenanpetty@example.com,Keenan Petty,(5531)-556-5531,Keenan Petty,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,zanearroyo@example.com,(8588)-260-8588,Zane Arroyo,false,00v1U000000oCSJQA2,,,,Zane Arroyo,Contact,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,nathanhenry@example.com,(8038)-228-8038,Nathan Henry,false,00v1U000000oCSKQA2,,,,Nathan Henry,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,false,00v1U000000oCSLQA2,austinharvey@example.com,Austin Harvey,(3607)-180-3607,Austin Harvey,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,kasenmclean@example.com,(4425)-440-4425,Kasen Mclean,false,00v1U000000oCSMQA2,,,,Kasen Mclean,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,nigelgibbs@example.com,(4220)-566-4220,Nigel Gibbs,false,00v1U000000oCSNQA2,,,,Nigel Gibbs,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,true,00v1U000000oCSOQA2,quintonharrell@example.com,Quinton Harrell,(2985)-490-2985,Quinton Harrell,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,stephenharrell@example.com,(8123)-673-8123,Stephen Harrell,true,00v1U000000oCSPQA2,,,,Stephen Harrell,Prospect,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,,,,false,00v1U000000oCSQQA2,sidneyabbott@example.com,Sidney Abbott,(2178)-236-2178,Sidney Abbott,Lead and Referral,2020-05-25
7011U000000UMJiQAO,false,Get Well Campaign,2019-04-08,Aborted,Seminar / Conference,alejandrobates@example.com,(2194)-889-2194,Alejandro Bates,false,00v1U000000oCSRQA2,,,,Alejandro Bates,Prospect,2020-05-25
