Expected_Arrival,Company,VIP_Level,Email,Address,Propert.Last_Stay_at_Property,Ambassador,Birthday,Propert.Check_In_Date,Stay_Preferences,Salesforce_Record_ID,Reservation_ID1,Floor_Preference,Reservation_Status,id,Rate_Code,Reservation_ID,City,Travel_Alert,Check_In_Time,State,Rewards_Number,Country,Check_Out_Time,Assigned_Room,Elevator_Preference,Room_Pool,Checked_In,Market_Code,Guest_Country,Reservation_Comments,First_Name,Full_Name,Property_MARSHA,PMS_Status,Salesforce_Property_ID,Guest_UGI_ID,Last_Stay_Property,Pillow_Preference,Bed_Preference,Guest_Comments,SPG_Number,Propert.Check_Out_Date,ETA,Salesforce_Stay_ID,UGI_ID,Last_Name,Last_Stay_Date,Property_Name,Property_Visits_YTD,Projected_Stay_Value,Total_Stays_YTD,Total_Value_Lifetime,Chats,Property_Revenue_Lifetime,Rate,Total_Value_YTD,Adults,Total_Nights_YTD,Moments_Scheduled,Guest_Engagement_Score,Service_Requests,Children,Preferences,Total_Nights_Lifetime,Property_Visits_Lifetime,Nights,Property_Revenue_YTD,Upgrade_Ranking,Total_Stays_Lifetime
Next 1-3 Hours,Cummings-Bins,Silver,gattargea@blogspot.com,61 Dexter Street,10/07/2013,No,08/22/1958,11/06/2017,non pretium quis,003D56056757653,R49984353,No Preference,Upcoming,22,ABQFDOE,,Saint Louis,No,,MO,M08018649,United States,,,No Preference,PIUB,No,EFGT,Vietnam,donec vitae nisi nam ultrices libero,Genovera,Genovera Attarge,CHICO,,a27395554971503,U76576873877638,Golden Monarch Motel,Feather,No Preference,nec condimentum neque sapien,S09410277852,11/10/2017,,a2W368426548931,U77946067450918,Lawrence,09/16/2004,Mellow Gorge Resort & Spa,6,2548,13,248976,0,31739.4,528.99,2834,1,13,1,42,3,0,1,936,60,4,3173.94,24,468
Next 1-3 Hours,Dietrich and Sons,Silver,dbeeversb@stumbleupon.com,15 Chive Plaza,03/29/2008,No,01/10/1978,11/06/2017,in faucibus orci,003D06196630353,R21513699,High,Upcoming,43,IORHXGN,,Tampa,No,,FL,M31797576,United States,,,No Preference,DIQR,Yes,SQEF,Bolivia,turpis donec posuere,Dahlia,Dahlia Beevers,CHINR,,a27597694450197,U67168357080927,Saffron Emperor Resort & Spa,Foam,1 King,volutpat quam pede lobortis ligula,S42445534019,11/09/2017,,a2W479373609380,U63215711608758,Sanchez,05/09/2002,Pacific Blossom Resort,5,1749,6,22200,3,33333.3,740.74,4512,2,12,1,71,1,1,19,60,45,3,3703.7,44,60
Later,,Platinum,rearsmanc@vimeo.com,8 West Center,07/05/2016,No,10/31/1999,11/06/2017,velit,003D78671880929,R52607028,Low,Upcoming,58,XHCSAEL,,Gaithersburg,No,,MD,M34487530,United States,,,No Preference,VYWI,Yes,GMHR,China,,Roldan,Roldan Earsman,CHIJW,,a27718567278547,U85311396965680,Seaside Hotel,Foam,No Preference,ligula vehicula consequat morbi a,S78459151041,11/07/2017,,a2W549177503005,U39063996047955,Marshall,01/09/2008,Seaside Hotel,8,5146,17,402339,1,7321.44,152.53,2941,1,17,0,36,0,0,26,1173,48,1,1220.24,20,391
Later,Kuhic-Brakus,Gold,omoyerd@wiley.com,94 Holy Cross Place,04/27/2013,No,02/01/1995,11/06/2017,at ipsum ac,003D74495525109,R51565003,High,Upcoming,34,OLMQVHK,,Saint Paul,No,,MN,M33565291,United States,,,No Preference,TKUN,Yes,WNXA,Denmark,lectus suspendisse,Olly,Olly Moyer,CHIDT,,a27597872295411,U78585354225302,Mellow Gorge Resort & Spa,No Preference,No Preference,blandit lacinia erat vestibulum sed magna,S16913443233,11/10/2017,,a2W017159244871,U42096829684055,Richards,06/09/2004,Asylum Hotel,0,2283,8,131040,0,0,386.18,1296,2,8,1,45,1,2,35,624,0,4,0,26,312
Next 1-3 Hours,,Platinum,mspinckee@whitehouse.gov,5 Warbler Trail,02/14/2010,No,07/24/1985,11/06/2017,nulla sed accumsan felis,003D70312072719,R80303108,No Preference,Canceled,49,DQRPCLX,,Omaha,No,,NE,M64912649,United States,,,Near,ODZA,No,YCLP,France,,Meggy,Meggy Spincke,CHIAC,,a27239121177069,U21787914448349,Diamond Hotel & Spa,No Preference,No Preference,hendrerit at vulputate vitae,S70799351073,11/08/2017,,a2W916044320533,U61569611010709,Taylor,02/27/2006,Celestial Hotel,1,1862,5,76950,2,1167.87,389.29,3555,1,15,0,94,2,2,4,270,3,2,389.29,4,90
Later,Kuvalis-Dickens,Gold,hjuzekf@sfgate.com,475 Esch Hill,10/15/2014,No,04/27/1973,11/06/2017,id consequat in,003D80006428842,R46116759,Low,Upcoming,59,KQGETZY,,Young America,Yes,,MN,M86662482,United States,,,No Preference,OSNF,No,ZRBX,Jamaica,gravida nisi at nibh in hac,Humphrey,Humphrey Juzek,CHIRH,,a27781111455576,U19084716446135,Rain Hotel & Spa,Feather,No Preference,dui proin leo odio,S88027402554,11/08/2017,,a2W393376528612,U25140942528277,Fisher,01/06/2015,Rain Hotel & Spa,8,985,10,62640,1,10011.36,417.14,6030,2,30,3,60,2,2,50,360,24,2,3337.12,32,120
Next 1-3 Hours,Brekke-Mertz,Silver,fclipstong@pen.io,04 Hovde Circle,12/29/2002,No,12/18/1966,11/06/2017,luctus tincidunt nulla,003D53870133244,R29790779,No Preference,Upcoming,52,YLVNABO,,Van Nuys,No,,CA,M45767494,United States,,,Away From,ROPM,No,GJRO,China,aliquet ultrices erat,Fayette,Fayette Clipston,CHIWB,,a27599828725569,U63093603597242,Summer Bay Hotel,No Preference,2 Queens,congue elementum,S33784574144,11/07/2017,,a2W093715835389,U82442591041463,Holmes,08/20/2003,Golden Monarch Motel,2,756,20,32760,2,7921,396.05,3900,1,20,0,42,1,1,23,180,20,1,792.1,39,60
Next 1-3 Hours,Franecki Inc,Platinum,cmaxstedh@about.me,97 Eagle Crest Pass,10/01/2003,No,12/12/1991,11/06/2017,diam erat fermentum,003D42071411187,R62808646,No Preference,Upcoming,5,ERMYLNB,,Pueblo,No,,CO,M66480267,United States,,,Away From,ERSV,No,CGZO,Yemen,eu tincidunt,Carolann,Carolann Maxsted,CHIAC,,a27756170894362,U57370924661045,Triple Nimbus Motel,Feather,1 King,vivamus metus arcu,S07646566579,11/07/2017,,a2W838267412208,U91775121137838,Sanders,05/23/2016,Triple Nimbus Motel,7,5290,18,413100,0,23866.92,568.26,8694,2,18,0,56,0,1,11,1620,42,1,3977.82,11,540
Later,,Silver,ktroweri@amazon.de,66363 Carpenter Center,07/21/2012,No,04/10/1987,11/06/2017,ridiculus,003D23162799169,R03721643,Low,Upcoming,1,VSPIFMD,,Phoenix,No,,AZ,M56561148,United States,,,No Preference,SPZN,No,PNLE,Indonesia,,Kim,Kim Trower,CHIMQ,,a27218355389303,U41637680449873,Sunny Cottage Motel,No Preference,1 King,in quis justo maecenas,S62621925975,11/07/2017,,a2W763389062927,U55133147810492,Fowler,08/04/2016,Sunny Cottage Motel,3,1906,15,121950,2,3542.04,196.78,15030,2,45,3,93,1,0,40,450,18,1,590.34,51,150
Later,,Gold,agillerj@live.com,67 Hagan Street,07/05/2003,No,08/31/1949,11/06/2017,nisl ut volutpat sapien,003D73581314934,R87914353,Low,Canceled,30,IWAFPTH,,Washington,No,,DC,M32794954,United States,,,Near,MLOK,No,KDYX,China,,Audrye,Audrye Giller,CHIWB,,a27929236573682,U85796690530831,Freedom Hotel,Feather,1 King,porttitor lacus,S60025577487,11/10/2017,,a2W150519380500,U02336059288771,Gomez,03/02/2009,Freedom Hotel,4,2315,18,53244,1,4625.44,289.09,17532,1,36,3,64,2,2,24,522,16,4,1156.36,55,522
Later,,Silver,tgoochk@furl.net,25 Londonderry Lane,12/08/2006,No,06/13/1986,11/06/2017,felis ut,003D81669425880,R05710909,High,Canceled,6,VRNZTYI,,Houston,No,,TX,M12906019,United States,,,No Preference,ICUG,No,XHLD,Honduras,,Towney,Towney Gooch,CHIAX,,a27344109921101,U18396765701669,Riverside Flower Hotel,Foam,1 King,vestibulum vestibulum ante,S72406116126,11/12/2017,,a2W642409377926,U12276707642477,Thomas,04/05/2016,Riverside Flower Hotel,3,1240,15,20250,1,819.36,136.56,2250,1,15,1,74,3,1,5,45,6,6,409.68,60,15
Later,,None,dnanettil@cafepress.com,16 Marquette Hill,03/07/2005,No,04/24/1988,11/06/2017,metus sapien ut,003D04240428117,R44077957,Low,Upcoming,26,QAFJSKO,,Dallas,No,,TX,M28085101,United States,,,Away From,AVGE,No,XPFL,Ireland,,Dorette,Dorette Nanetti,CHIRZ,,a27709384817318,U04855987950987,Southern Season Resort & Spa,Feather,No Preference,hac habitasse,S88982411960,11/11/2017,,a2W630077442175,U64619294132023,Watkins,02/07/2002,Southern Season Resort & Spa,1,4349,6,137700,3,695.16,695.16,2442,2,6,1,74,0,1,15,324,1,5,695.16,27,108
Later,,Gold,jfarrentm@alibaba.com,4028 Waubesa Place,05/02/2002,No,11/12/1983,11/06/2017,vestibulum ante ipsum primis,003D88915961133,R27453164,No Preference,Canceled,9,AYESZWC,,Tacoma,No,,WA,M10583169,United States,,,Away From,EMCK,No,BPAF,Japan,,Justina,Justina Farrent,CHIFD,,a27857410593149,U96622062511069,Monsoon Motel,Feather,No Preference,sagittis sapien,S36533890918,11/10/2017,,a2W452834585200,U07859268726602,Sims,05/15/2014,Crown Lagoon Hotel & Spa,4,5029,14,204120,0,18642.96,665.82,5796,1,28,1,42,0,0,26,504,28,4,2663.28,21,504
Later,"Weissnat, Heidenreich and McLaughlin",Gold,rveelern@ucoz.com,51 Maywood Center,10/24/2015,No,09/09/1956,11/06/2017,sed sagittis nam,003D35110010273,R17896924,No Preference,Upcoming,4,XRKFYJE,,Aurora,No,,CO,M98996759,United States,,,Near,CKVN,No,MWGJ,Russia,diam vitae,Rebe,Rebe Veeler,CHIRZ,,a27403156221218,U71827810945767,Onyx Beach Hotel,Foam,No Preference,in tempus sit,S39881381121,11/07/2017,,a2W761809883416,U11673957454666,Dean,10/11/2015,Onyx Beach Hotel,7,2327,1,640,0,37212.56,664.51,1434,1,3,0,84,0,0,27,2,56,1,4651.57,61,1
Next Hour,Botsford Group,Platinum,hjeynesso@reference.com,4695 Oakridge Plaza,03/02/2009,No,07/09/1969,11/06/2017,pede,003D75997091193,R63466582,Low,Upcoming,31,NGJOKVW,,Memphis,No,,TN,M85394811,United States,,,Away From,PVUF,No,SDLI,Honduras,convallis eget eleifend,Helaine,Helaine Jeyness,CHIFD,,a27589872498057,U99924508836696,Primal Peak Resort,Feather,2 Queens,sociis natoque penatibus et magnis dis,S20010353276,11/09/2017,,a2W395895948874,U31441162606917,Wheeler,02/15/2007,Primal Peak Resort,8,3992,14,134820,2,16084.8,502.65,18942,1,42,0,72,2,2,35,1260,32,3,4021.2,14,420
Next 1-3 Hours,Heidenreich Inc,Gold,cmarousekp@spotify.com,65742 Schmedeman Hill,07/01/2005,No,01/18/1982,11/06/2017,nunc purus phasellus in,003D41120843044,R56569729,No Preference,Upcoming,37,VCEGYFL,,Tacoma,Yes,,WA,M28726308,United States,,,No Preference,PFNL,No,HCNP,Philippines,sem fusce consequat,Corbie,Corbie Marousek,CHIRH,,a27056928924718,U93390026836363,Celestial Hotel & Spa,Feather,2 Queens,vitae mattis nibh ligula nec sem,S56727640253,11/08/2017,,a2W459445320508,U67864563582724,Torres,08/26/2011,Grandiose Raven Hotel,8,2439,6,28872,1,13932.48,580.52,2394,1,18,0,96,1,1,19,72,24,2,4644.16,48,36
Later,,Platinum,epullarq@amazon.co.uk,17 Old Gate Center,03/03/2007,No,06/06/1934,11/06/2017,dolor quis,003D32652051992,R42630446,No Preference,Upcoming,48,FVDNRHP,,Wilmington,No,,NC,M77694799,United States,,,Near,WLUK,No,IGVR,China,,Emelda,Emelda Pullar,CHIRZ,,a27441697756768,U09915538939898,Asylum Hotel,Foam,1 King,ridiculus mus,S35346991039,11/12/2017,,a2W287335774407,U98750855940516,Kelley,06/15/2001,Muse Motel,2,3082,4,19844,2,4402.68,733.78,880,2,8,0,73,0,0,5,44,6,6,1467.56,3,44
Later,Walker-Nader,Platinum,mcorrr@xinhuanet.com,910 Holy Cross Road,07/25/2007,No,03/24/1957,11/06/2017,a suscipit,003D26665739029,R62819286,No Preference,Upcoming,44,HTDCZGV,,Naples,No,,FL,M89363375,United States,,,No Preference,NQAI,Yes,GXOJ,China,consequat nulla nisl nunc,Mirabelle,Mirabelle Corr,CHICO,,a27724389045889,U10831214001987,Silver Phoenix Hotel & Spa,Foam,2 Queens,vulputate nonummy maecenas tincidunt,S21291834831,11/09/2017,,a2W987702787299,U27537165476419,Roberts,02/16/2013,Northern Tundra Resort & Spa,7,1952,12,270720,0,5549.6,99.1,7416,2,24,1,43,1,0,45,576,56,3,693.7,2,288
Next 1-3 Hours,"Murray, Bernhard and Lesch",None,meyrls@bravesites.com,40 Pleasure Junction,10/10/2011,No,08/08/1957,11/06/2017,luctus,003D40432685462,R99796006,Low,Upcoming,53,CZEPJAM,,Tulsa,No,,OK,M74366980,United States,,,Away From,EWTO,Yes,VNFB,Mongolia,sapien dignissim vestibulum vestibulum ante,Mariele,Mariele Eyrl,CHIFD,,a27587697633164,U28766342412061,Supreme Cloak Hotel,Foam,1 King,fusce lacus purus aliquet at feugiat,S48504167882,11/07/2017,,a2W753721057259,U20472111102483,Mcdonald,12/24/2007,Supreme Cloak Hotel,0,843,3,38280,2,0,451.88,2604,1,6,1,79,0,1,40,174,0,1,0,43,87
Next Hour,,Gold,rsammondst@mac.com,7601 Carpenter Circle,11/27/2014,No,06/06/1963,11/06/2017,quis augue,003D22978964977,R52535267,No Preference,Upcoming,39,YZHSEWL,,Bellevue,No,,WA,M51908717,United States,,,No Preference,INSY,No,DLMO,United Kingdom,,Reynolds,Reynolds Sammonds,CHIBR,,a27662915587623,U13982534489097,Cinnamon Resort,Feather,1 King,rhoncus aliquam,S85400567276,11/11/2017,,a2W394576942477,U91255039634795,Chapman,03/25/2004,Monsoon Motel,3,2710,9,40590,1,8308.8,692.4,1359,2,9,0,56,2,0,49,99,12,5,2077.2,35,99
Next Hour,,Gold,jserotskyu@dell.com,92966 Pleasure Court,06/21/2010,No,11/06/1972,11/06/2017,consequat,003D61688002062,R23689331,High,Upcoming,47,UHNKCYI,,San Antonio,No,,TX,M63656106,United States,,,Near,KOCH,No,MLFU,Indonesia,,Jarib,Jarib Serotsky,CHIRL,,a27569073527793,U13812890663477,Wanderlust Hotel & Spa,No Preference,1 King,rhoncus mauris enim leo,S53764945503,11/10/2017,,a2W135270904073,U09770080401044,Fisher,07/07/2013,Windmill Hotel & Spa,5,2786,15,18585,0,6780,452,3000,2,30,0,93,0,1,19,45,15,4,2260,50,15
Next 1-3 Hours,,None,clethieulierv@spotify.com,55 Northport Way,03/12/2005,No,07/24/1953,11/06/2017,id,003D00960782783,R11346750,No Preference,Upcoming,55,AMJBUVD,,Bridgeport,No,,CT,M68921605,United States,,,Near,EMIA,No,QTNY,France,,Cece,Cece Lethieulier,CHIDM,,a27813639448406,U99774565179213,White Gorge Resort,Foam,1 King,a suscipit nulla elit ac nulla,S10964876219,11/13/2017,,a2W177106832960,U77785350246208,Andrews,07/18/2010,White Gorge Resort,7,4741,2,48824,1,14795.2,211.36,338,1,2,2,89,1,0,34,136,70,7,1479.52,41,68
Next 1-3 Hours,"Muller, Tromp and Hirthe",None,mnisiusw@nba.com,2774 Northland Alley,02/11/2009,No,07/15/1969,11/06/2017,pede morbi porttitor lorem,003D74022086283,R47034038,High,Upcoming,46,MWHBUIC,,Sacramento,No,,CA,M40975694,United States,,,No Preference,ZCGS,No,ORXV,China,metus vitae ipsum,Martha,Martha Nisius,,,a27451607132390,U05763530600047,Sunrise Chasm Resort,Foam,No Preference,pede posuere nonummy,S10234776730,11/11/2017,,a2W191174267002,U08395760254785,Griffin,07/13/2003,Brass Seashore Resort,5,795,7,107604,2,5896.25,235.85,1596,1,14,1,40,0,0,21,294,25,5,1179.25,23,98
Later,Bogisich-Windler,Silver,wluchellix@ftc.gov,772 Dennis Terrace,02/11/2002,No,05/02/1992,11/06/2017,nascetur ridiculus mus etiam,003D39243644975,R07782579,No Preference,Upcoming,36,QKEIXVP,,Tacoma,No,,WA,M70656491,United States,,,Near,LFXM,No,TULA,China,sit amet eleifend pede,Wald,Wald Luchelli,CHIJW,,a27535887903490,U35200517205007,Crimson Gulf Resort,Feather,2 Queens,elit proin interdum,S48771045141,11/07/2017,,a2W808381329337,U26863386315749,Nichols,10/30/2014,Seacoast Hotel,0,586,6,8730,1,0,577.54,6606,2,18,0,54,3,2,45,30,0,1,0,58,30
Next 1-3 Hours,,Platinum,cthompsony@pagesperso-orange.fr,55 Oxford Avenue,11/20/2003,No,10/12/1932,11/06/2017,amet justo morbi,003D96413385432,R13963072,No Preference,Canceled,28,SRHVYCX,,Bradenton,No,,FL,M53930604,United States,,,No Preference,BCLA,Yes,HVGC,Ukraine,,Constantine,Constantine Thompson,CHIAX,,a27778925620707,U55811359269404,Expedition Hotel,Foam,No Preference,id pretium iaculis,S33690645091,11/11/2017,,a2W020713856260,U51353227182103,Simmons,11/14/2014,Expedition Hotel,6,1093,1,4116,2,1503.6,125.3,388,2,2,0,56,1,2,8,42,12,5,751.8,12,21
Next 1-3 Hours,Jast-Wolf,Platinum,dmeekinsz@epa.gov,43 Jenifer Parkway,08/14/2011,No,07/05/1942,11/06/2017,augue a,003D56536156581,R47910170,High,Upcoming,29,IGKEUFY,,Kansas City,No,,MO,M22759508,United States,,,Near,XPSR,No,PCQZ,Lithuania,in sapien iaculis congue vivamus metus,Deeann,Deeann Meekins,CHIMM,,a27450031014640,U36946854818665,Stellar Hotel,Feather,2 Queens,sit amet consectetuer adipiscing elit proin,S42073379245,11/07/2017,,a2W862098318022,U91561239936047,Martinez,01/05/2009,Stellar Hotel,5,1674,4,64560,3,28383.3,630.74,1064,2,8,0,79,3,0,40,240,45,1,3153.7,13,80
Later,Rohan-Maggio,Gold,jmccolm10@sbwire.com,05 Mallory Park,08/28/2007,No,03/26/1968,11/06/2017,ut tellus nulla ut,003D04228992086,R94961314,High,Upcoming,13,YISEMNQ,,New Haven,No,,CT,M96706897,United States,,,Away From,ZQXF,No,VUWQ,United States,nunc rhoncus dui vel sem,Jodie,Jodie McColm,CHIAP,,a27463273967516,U89174571058671,Pacific Blossom Resort,No Preference,2 Queens,lobortis sapien sapien,S93242473843,11/10/2017,,a2W799922236731,U99794048392325,Reyes,10/17/2006,Cinnamon Resort,7,1981,13,229320,0,45485.3,649.79,5187,2,13,2,34,1,0,15,1092,70,4,4548.53,49,364
Later,Fahey LLC,None,nsibborn11@businessweek.com,4523 Prairie Rose Plaza,12/02/2007,No,11/05/1963,11/06/2017,vel enim,003D96409241438,R24412647,Low,Upcoming,54,TIPSNQZ,,Santa Clara,No,,CA,M44659397,United States,,,No Preference,RSZF,No,AVJP,Bosnia and Herzegovina,ut blandit non interdum,Noak,Noak Sibborn,CHIFT,,a27449457517989,U14482492070545,Parallel River Resort,Feather,2 Queens,vulputate justo in blandit,S78042034412,11/12/2017,,a2W992757110274,U04298075301201,Snyder,04/29/2012,Parallel River Resort,6,1539,8,13184,1,13629.24,378.59,5552,1,16,0,87,0,1,15,64,36,6,2271.54,59,32
