"Role.RoleNames","UniqueUserName","AccountId","UserRoleId","IsActive","Role.ParentRoleId","Role.RolePath","Role.ParentRole.ForecastManager.UniqueUserName","ForecastEnabled","Name","Role.ForecastManager.UniqueUserName","Role.ParentRole.ForecastManager.Name","isDuplicate","Role.DeveloperName","SmallPhotoUrl","FirstName","Role.ParentRole.Name","Role.ForecastManager.ForecastEnabled","Role.ForecastManager.Name","Role.RoleNamesPath","Username","Role.Name","Role.Roles","Id","LastName","Role.ParentRole.DeveloperName","ManagerId"
"Adam Schmidt","Adam Schmidt",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Adam Schmidt",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXh/T","Adam","RVP East",,,"Adam Schmidt/Andrew Malone/Elliot Shapiro/Admin","aschmidt1489180173123@demo.user","East Sales","00EB0000000azEDMAY","005B00000034W1GIAU","Schmidt","RVPEast","N/A"
"Admin","Stephanie Garza",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Stephanie Garza",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Stephanie","RVP East",,,"Stephanie Garza/Andrew Malone/Elliot Shapiro/Admin","sgarza21489180173123@demo.user","East Sales","00EB0000000azEDMAY","005B00000034W1HIAU","Garza","RVPEast","N/A"
"Admin","Russell Hudson",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Russell Hudson",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Russell","RVP East",,,"Russell Hudson/Andrew Malone/Elliot Shapiro/Admin","rhudson71489180173123@demo.user","East Sales","00EB0000000azEDMAY","005B00000034W1PIAU","Hudson","RVPEast","N/A"
"Admin","Barbara Andrews",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Barbara Andrews",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXw/T","Barbara","RVP East",,,"Barbara Andrews/Andrew Malone/Elliot Shapiro/Admin","bandrews1489180173123@demo.user","East Sales","00EB0000000azEDMAY","005B00000034W1jIAE","Andrews","RVPEast","N/A"
"Admin","Paul Russell",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Paul Russell",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYz/T","Paul","RVP East",,,"Paul Russell/Andrew Malone/Elliot Shapiro/Admin","prussell1489180174123@demo.user","East Sales","00EB0000000azEDMAY","005B00000034W1oIAE","Russell","RVPEast","N/A"
"Admin","Ashley Harvey",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Ashley Harvey",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXr/T","Ashley","RVP East",,,"Ashley Harvey/Andrew Malone/Elliot Shapiro/Admin","aharveye1489180174123@demo.user","East Sales","00EB0000000azEDMAY","005B00000034W1tIAE","Harvey","RVPEast","N/A"
"Admin","Frank Turner",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Frank Turner",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYG/T","Frank","RVP East",,,"Frank Turner/Andrew Malone/Elliot Shapiro/Admin","fturnerg1489180174123@demo.user","East Sales","00EB0000000azEDMAY","005B00000034W1yIAE","Turner","RVPEast","N/A"
"Admin","Howard Lewis",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Howard Lewis",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYQ/T","Howard","RVP East",,,"Howard Lewis/Andrew Malone/Elliot Shapiro/Admin","hlewish1489180174123@demo.user","East Sales","00EB0000000azEDMAY","005B00000034W28IAE","Lewis","RVPEast","N/A"
"Admin","Stephen Synder",,"00EB0000000azEFMAY","true","00EB0000000azEIMAY","00EB0000000azEFMAY/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","Stephen Synder",,"Tyler Parker",,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0T/T","Stephen","RVP West",,,"Stephen Synder/Tyler Parker/Elliot Shapiro/Admin","ssnyder51489180173123@demo.user","West Sales","00EB0000000azEFMAY","005B00000034W2DIAU","Synder","RVPWest","N/A"
"Admin","David Meyer",,"00EB0000000azEFMAY","true","00EB0000000azEIMAY","00EB0000000azEFMAY/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","David Meyer",,"Tyler Parker",,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0Y/T","David","RVP West",,,"David Meyer/Tyler Parker/Elliot Shapiro/Admin","dmeyer61489180173123@demo.user","West Sales","00EB0000000azEFMAY","005B00000034W2IIAU","Meyer","RVPWest","N/A"
"Admin","Lisa Lewis",,"00EB0000000azEFMAY","true","00EB0000000azEIMAY","00EB0000000azEFMAY/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","Lisa Lewis",,"Tyler Parker",,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0e/T","Lisa","RVP West",,,"Lisa Lewis/Tyler Parker/Elliot Shapiro/Admin","llewisa1489180174123@demo.user","West Sales","00EB0000000azEFMAY","005B00000034W2NIAU","Lewis","RVPWest","N/A"
"Admin","Janice Thomas",,"00EB0000000azEFMAY","true","00EB0000000azEIMAY","00EB0000000azEFMAY/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","Janice Thomas",,"Tyler Parker",,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0i/T","Janice","RVP West",,,"Janice Thomas/Tyler Parker/Elliot Shapiro/Admin","jthomasc1489180174123@demo.user","West Sales","00EB0000000azEFMAY","005B00000034W2SIAU","Thomas","RVPWest","N/A"
"Admin","Alice Burton",,"00EB0000000azEFMAY","true","00EB0000000azEIMAY","00EB0000000azEFMAY/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","Alice Burton",,"Tyler Parker",,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0d/T","Alice","RVP West",,,"Alice Burton/Tyler Parker/Elliot Shapiro/Admin","aburtonf14891801742123@demo.user","West Sales","00EB0000000azEFMAY","005B00000034W2XIAU","Burton","RVPWest","N/A"
"Admin","Randy Medina",,"00EB0000000azEFMAY","true","00EB0000000azEIMAY","00EB0000000azEFMAY/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","Randy Medina",,"Tyler Parker",,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0s/T","Randy","RVP West",,,"Randy Medina/Tyler Parker/Elliot Shapiro/Admin","rmedinai1489180174123@demo.user","West Sales","00EB0000000azEFMAY","005B00000034W2cIAE","Medina","RVPWest","N/A"
"Admin","Paul Jones",,"00EB0000000azEFMAY","true","00EB0000000azEIMAY","00EB0000000azEFMAY/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","Paul Jones",,"Tyler Parker",,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0n/T","Paul","RVP West",,,"Paul Jones/Tyler Parker/Elliot Shapiro/Admin","pjonesj1489180174123@demo.user","West Sales","00EB0000000azEFMAY","005B00000034W2hIAE","Jones","RVPWest","N/A"
"Tom Reseller","Tom Reseller",,,"false",,,,"true","Tom Reseller",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVk/T","Tom",,,,"Tom Reseller","old_treseller.zynxenit5lbq.lpuogsdaulmv@saleswave.demo",,,"005B000000389UXIAY","Reseller",,"N/A"
"Jamie Belton","Jamie Belton","001B000000RAXN8IAP","00EB0000000azEGMAY","true","00EB0000000azEtMAI","00EB0000000azEGMAY/00EB0000000azEtMAI/00EB0000000azEsMAI/00EB0000000azEPMAY/00EB0000000azEKMAY/00EB0000000azEQMAY",,"true","Jamie Belton",,,,"CTWResellersPartnerUser","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVs/T","Jamie","Summit Resellers Partner Manager",,,"Jamie Belton","jbelton@saleswave.demo","Summit Resellers Partner User","00EB0000000azEGMAY","005B000000389UYIAY","Belton","CTWResellersPartnerManager","N/A"
"Admin","Paul Greene","001B000000RAXNBIA5","00EB0000000azEOMAY","true","00EB0000000azEPMAY","00EB0000000azEOMAY/00EB0000000azEPMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Vance Turner","true","Paul Greene",,"Vance Turner",,"AcmeResellersPartnerExecutive","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW0/T","Paul","Director of Channel Sales",,,"Paul Greene/Vance Turner/Elliot Shapiro/Admin","pgreene@saleswave.demo","Acme Partners Partner Executive","00EB0000000azEKMAY","005B000000389UZIAY","Greene","DirChannel","005B000000389UmIAI"
"Admin","Bill Anderson",,"00EB0000000EnvJMAS","true","00EB0000000azEIMAY","00EB0000000EnvJMAS/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","Bill Anderson",,"Tyler Parker",,"West_Manager","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVr/T","Bill","RVP West",,,"Bill Anderson/Tyler Parker/Elliot Shapiro/Admin","bwest.f7ii5orwkjz2@demo.user","West Manager","00EB0000000EnvJMAS","005B000000389UaIAI","Anderson","RVPWest","005B000000389UcIAI"
"Barry Brown","Barry Brown","001B000000RAXNAIA5","00EB0000000azENMAY","true","00EB0000000azEvMAI","00EB0000000azENMAY/00EB0000000azEvMAI/00EB0000000azEuMAI/00EB0000000azEPMAY/00EB0000000azEKMAY/00EB0000000azEQMAY",,"true","Barry Brown",,,,"BronzePartnersPartnerUser","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVz/T","Barry","Meridian Partners Partner Manager",,,"Barry Brown","bbrown@saleswave.demo","Meridian Partners Partner User","00EB0000000azEKMAY","005B000000389UbIAI","Brown","BronzePartnersPartnerManager","N/A"
"Admin","Vince Rivera",,"00EB0000000azEIMAY","true","00EB0000000azEKMAY","00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Elliot Shapiro","true","Vince Rivera","Tyler Parker","Elliot Shapiro",,"RVPWest","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVu/T","Vince","VP of Sales","true","Tyler Parker","Vince Rivera/Elliot Shapiro/Admin","vrivera@saleswave.demo","RVP West","00EB0000000azEIMAY","005B000000389UcIAI","Rivera","VPSales","005B000000389UoIAI"
"Admin","Elliot Shapiro",,"00EB0000000azEKMAY","true","00EB0000000azEQMAY","00EB0000000azEKMAY/00EB0000000azEQMAY","Admin","true","Elliot Shapiro","Elliot Shapiro","Admin",,"VPSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVw/T","Elliot","CEO","true","Elliot Shapiro","Elliot Shapiro/Admin","eexeczb4ipe9fmt9c@saleswave.demo","VP of Sales","00EB0000000azEKMAY","005B000000389UdIAI","Shapiro","CEO","N/A"
"Admin","Ely Erickson",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Ely Erickson",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYB/T","Ely","RVP East",,,"Ely Erickson/Andrew Malone/Elliot Shapiro/Admin","eeast.mksaf8agjyeg@demo.user","East Sales","00EB0000000azEDMAY","005B000000389UeIAI","Erickson","RVPEast","005B000000389UhIAI"
"Admin","Wendy Weisman",,"00EB0000000azEFMAY","true","00EB0000000azEIMAY","00EB0000000azEFMAY/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Tyler Parker","true","Wendy Weisman",,"Tyler Parker",,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVo/T","Wendy","RVP West",,,"Wendy Weisman/Tyler Parker/Elliot Shapiro/Admin","wwest@demo.user","West Sales","00EB0000000azEFMAY","005B000000389UfIAI","Weisman","RVPWest","005B000000389UcIAI"
"Admin","Kasey Lind",,"00EB0000000azECMAY","true","00EB0000000azELMAY","00EB0000000azECMAY/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Barton","true","Kasey Lind",,"Andrew Barton",,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVl/T","Kasey","RVP Central",,,"Kasey Lind/Andrew Barton/Elliot Shapiro/Admin","kcentral.rlvszwbxpdsa@demo.user","Central Sales","00EB0000000azECMAY","005B000000389UgIAI","Lind","RVPCentral","005B000000389UiIAI"
"Admin","Valerie Hays",,"00EB0000000azEHMAY","true","00EB0000000azEKMAY","00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Elliot Shapiro","true","Valerie Hays","Andrew Malone","Elliot Shapiro",,"RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVt/T","Valerie","VP of Sales","true","Andrew Malone","Valerie Hays/Elliot Shapiro/Admin","veast.itqs78yvvkmk.wwnzuxqdvbkc@saleswave.demo","RVP East","00EB0000000azEHMAY","005B000000389UhIAI","Hays","VPSales","005B000000389UoIAI"
"Admin","Vanessa Maurice",,"00EB0000000azELMAY","true","00EB0000000azEKMAY","00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Elliot Shapiro","true","Vanessa Maurice","Andrew Barton","Elliot Shapiro",,"RVPCentral","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVx/T","Vanessa","VP of Sales","true","Andrew Barton","Vanessa Maurice/Elliot Shapiro/Admin","vmaurice@sales.demo","RVP Central","00EB0000000azEKMAY","005B000000389UiIAI","Maurice","VPSales","005B000000389UoIAI"
"Admin","Cindy Stevenson",,"00EB0000000azECMAY","true","00EB0000000azELMAY","00EB0000000azECMAY/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Barton","true","Cindy Stevenson",,"Andrew Barton",,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVq/T","Cindy","RVP Central",,,"Cindy Stevenson/Andrew Barton/Elliot Shapiro/Admin","cstevenson@demo.user","Central Sales","00EB0000000azECMAY","005B000000389UjIAI","Stevenson","RVPCentral","005B00000034KssIAE"
"Admin","Ricky Owens",,"00EB0000000azEDMAY","true","00EB0000000azEHMAY","00EB0000000azEDMAY/00EB0000000azEHMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Andrew Malone","true","Ricky Owens",,"Andrew Malone",,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVp/T","Ricky","RVP East",,,"Ricky Owens/Andrew Malone/Elliot Shapiro/Admin","reast.os4jvddurhpu@demo.user","East Sales","00EB0000000azEDMAY","005B000000389UkIAI","Owens","RVPEast","005B00000034KssIAE"
"Sean Silver","Sean Silver","001B000000RAXN9IAP","00EB0000000azEMMAY","true","00EB0000000azExMAI","00EB0000000azEMMAY/00EB0000000azExMAI/00EB0000000azEwMAI/00EB0000000azEPMAY/00EB0000000azEKMAY/00EB0000000azEQMAY",,"true","Sean Silver",,,,"SilverPartnersPartnerUser","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVy/T","Sean","Pinnacle Partners Partner Manager",,,"Sean Silver","ssilver@saleswave.demo","Pinnacle Partners Partner User","00EB0000000azEKMAY","005B000000389UlIAI","Silver","SilverPartnersPartnerManager","N/A"
"Admin","Vance Turner",,"00EB0000000azEPMAY","true","00EB0000000azEKMAY","00EB0000000azEPMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Elliot Shapiro","true","Vance Turner","Vance Turner","Elliot Shapiro",,"DirChannel","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW1/T","Vance","VP of Sales","true","Vance Turner","Vance Turner/Elliot Shapiro/Admin","vturner@saleswave.demo","Director of Channel Sales","00EB0000000azEKMAY","005B000000389UmIAI","Turner","VPSales","005B00000034KssIAE"
,"Ted Data",,"00EB0000000azEEMAY","true","00EB0000000azElMAI","00EB0000000azEEMAY/00EB0000000azElMAI/00EB0000000azEQMAY",,"false","Ted Data",,,,"DirFinance","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVn/T","Ted","VP of Operations",,,,"tdata.gcepz0hlikbw.py3cdpy8t9ay@saleswave.demo","Director of Finance","00EB0000000azEEMAY","005B000000389UnIAI","Data","VPOperations","005B000000389UdIAI"
"Admin","Gordon Reeves",,"00EB0000000azEJMAY","true","00EB0000000azEKMAY","00EB0000000azEJMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Elliot Shapiro","true","Gordon Reeves",,"Elliot Shapiro",,"BDDirector","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVv/T","Gordon","VP of Sales",,,"Gordon Reeves/Elliot Shapiro/Admin","greeves.4vfuy5bn6wbw.batl4d8hs2ci@saleswave.demo","Business Development Director","00EB0000000azEJMAY","005B000000389UoIAI","Reeves","VPSales","005B00000034KssIAE"
"SDO_mj","SDO_mj",,,"true",,,,"true","SDO_mj",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW2/T",,,,,"SDO_mj","sdo_mj.jt3whvlcmkx8.sftj0hdjjpwi@saleswave.demo",,,"005B000000389UpIAI","SDO_mj",,"N/A"
,"SDO_A3",,,"true",,,,"false","SDO_A3",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW3/T",,,,,,"sdo_a3.hdjmkx6rd8ef.1h51a2soeeqm@saleswave.demo",,,"005B000000389UqIAI","SDO_A3",,"005B000000389UdIAI"
,"SDO_A2",,"00EB0000000azEQMAY","true","NA","00EB0000000azEQMAY",,"false","SDO_A2","Admin",,,"CEO","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW5/T",,,"true","Admin",,"sdo_a2.vsfsdihxalfz.muehnkpguuyg@saleswave.demo","CEO","00EB0000000azEQMAY","005B000000389UrIAI","SDO_A2",,"N/A"
,"SDO_vh",,,"true",,,,"false","SDO_vh",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW4/T",,,,,,"sdo_vh.j0ksvrle9czt.tiys9vnoc4jl@saleswave.demo",,,"005B000000389UsIAI","SDO_vh",,"N/A"
,"SDO_A4",,,"true",,,,"false","SDO_A4",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW6/T",,,,,,"sdo_a4.pjjhugplwyu0.dzuzzqmxic3p@saleswave.demo",,,"005B000000389UtIAI","SDO_A4",,"N/A"
,"Integration User",,,"true",,,,"false","Integration User",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW7/T",,,,,,"integration@00db0000000idblmak.com",,,"005B000000389UuIAI","Integration User",,"N/A"
,"SDO_de",,,"true",,,,"false","SDO_de",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW8/T",,,,,,"sdo_de.jrwdvpycg8vm.3ihf1ptcwqdw@saleswave.demo",,,"005B000000389UvIAI","SDO_de",,"N/A"
,"Automated Process",,,"true",,,,"false","Automated Process",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Automated",,,,,"autoproc@00db0000000idblmak",,,"005B000000389UwIAI","Process",,"N/A"
"Andrea Admin","Andrea Admin",,"00EB0000000azERMAY","true","00EB0000000azElMAI","00EB0000000azERMAY/00EB0000000azElMAI/00EB0000000azEQMAY",,"true","Andrea Admin",,,,"DirectorHR","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW9/T","Andrea","VP of Operations",,,"Andrea Admin","aadmin.1hz85v56vhl7.cm2de75d9fxk@saleswave.demo","Director of Human Resources","00EB0000000azEQMAY","005B000000389UyIAI","Admin","VPOperations","005B000000389UdIAI"
,"SDO_A1",,,"true",,,,"false","SDO_A1",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWA/T",,,,,,"sdo_a1.qqidzqy404od.tlwbmpjuvxlp@saleswave.demo",,,"005B000000389UzIAI","SDO_A1",,"N/A"
,"SDO_A5",,,"true",,,,"false","SDO_A5",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWB/T",,,,,,"sdo_a5.bmflne9somj2.te8e0wlok1nx@saleswave.demo",,,"005B000000389V1IAI","SDO_A5",,"N/A"
,"Security User",,,"true",,,,"false","Security User",,,,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWC/T",,,,,,"insightssecurity@00db0000000idblmak.com",,,"005B000000389V2IAI","Security User",,"N/A"
,"Tim Mills",,"00EB0000000azESMAY","true","00EB0000000azEZMAY","00EB0000000azESMAY/00EB0000000azEZMAY/00EB0000000azETMAY/00EB0000000azEQMAY",,"false","Tim Mills",,,,"CSAgent","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWD/T","Tim","Customer Service Manager",,,,"tmills@saleswave.demo","Customer Service Agent","00EB0000000azEQMAY","005B000000389V3IAI","Mills","CSM","005B000000389VEIAY"
