"Owner_SmallPhotoUrl","Status","Owner","LeadSource","IsConverted","Rating","CreatedDate","Name","Owner_Name","LeadActivities","ConvertedOppAmount"
"Sofia Lopez","Working","R CSEG","Other","FALSE","Hot","2020-12-22","Annalee Beadell","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,29000
"Thomas Oliver","Nurturing","G M","Purchased List","FALSE","Cold","2020-12-26","Hank Hillett","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",21,50000
"Tawnia Williams","Qualified","Deepu CSEG ","Other","FALSE","Warm","2020-12-10","Augustus Simonaitis","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",15,49000
"Justin Chen","Working  - Contacted","Qianwen Dong","Employee Referral","TRUE","Hot","2020-12-21","Jocelyn Badwick","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",25,0
"Sofia Lopez","New","R CSEG","Advertisement","FALSE","Warm","2020-11-05","Nathalia Bestwerthick","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",16,0
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Warm","2020-12-23","Pippo Bosche","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",10,0
"Thomas Oliver","Nurturing - Contacted","G M","Other","TRUE","Cold","2020-12-21","Carly Cruikshanks","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",5,0
"Justin Chen","Converted","Qianwen Dong","Employee Referral","FALSE","Warm","2020-12-06","Joanna Dhenin","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",12,18000
"Thomas Oliver","Working  - Contacted","G M","Trade Show","FALSE","Hot","2020-12-21","Byran Vankin","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,0
"Tawnia Williams","Working","Deepu CSEG ","Purchased List","FALSE","Warm","2020-11-06","Williams","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",7,0
"Sofia Lopez","Nurturing","R CSEG","Advertisement","TRUE","Cold","2020-12-28","Catha Randell","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",19,17500
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Hot","2020-11-25","Dong Investment 1","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","FALSE","Warm","2020-12-19","Abbe Roncelli","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",8,0
"Justin Chen","Converted","Qianwen Dong","Other","FALSE","Warm","2020-11-05","Peria Foukx","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",15,0
"Thomas Oliver","Converted","G M","Employee Referral","FALSE","Hot","2020-12-23","Dede Connors","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",23,63800
"Sofia Lopez","Nurturing - Contacted","R CSEG","Other","TRUE","Warm","2020-12-04","Sylvester Chittem","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,0
"Thomas Oliver","Working  - Contacted","G M","Other","FALSE","Cold","2020-12-23","Camile Knolles-Green","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",11,0
"Tawnia Williams","New","Deepu CSEG ","Other","FALSE","Warm","2020-11-06","Shena Bard","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",11,0
"Sofia Lopez","Working","R CSEG","Purchased List","TRUE","Hot","2020-12-01","Simeon While","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",8,0
"Sofia Lopez","Nurturing","R CSEG","Advertisement","FALSE","Warm","2020-12-24","Kaitlin Karlik","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,30000
"Justin Chen","Qualified","Qianwen Dong","Other","FALSE","Cold","2020-12-19","Osbert Rabier","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",16,95000
"Thomas Oliver","Converted","G M","Employee Referral","FALSE","Warm","2020-12-18","Emmy Mc Elory","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",11,0
"Sofia Lopez","Converted","R CSEG","Other","TRUE","Hot","2020-11-19","Norina Bartoli","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",12,0
"Thomas Oliver","Nurturing - Contacted","G M","Employee Referral","FALSE","Warm","2020-12-06","Sabra Dobrowski","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Sofia Lopez","Working  - Contacted","R CSEG","Advertisement","FALSE","Hot","2020-12-17","Hadrian Selcraig","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",11,0
"Justin Chen","Qualified","Qianwen Dong","Other","FALSE","Warm","2020-12-26","Shirline Cranney","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",6,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","TRUE","Cold","2020-11-23","Godard Starmont","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,0
"Thomas Oliver","Converted","G M","Advertisement","FALSE","Warm","2020-12-18","Tully Bilovus","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",8,94000
"Tawnia Williams","New","Deepu CSEG ","Trade Show","FALSE","Hot","2020-11-06","Clinton","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",6,0
"Justin Chen","Working  - Contacted","Qianwen Dong","Employee Referral","FALSE","Warm","2020-12-26","Preston Rudkin","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",14,0
"Tawnia Williams","Working","Deepu CSEG ","Purchased List","TRUE","Cold","2020-12-08","Junina Howieson","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",24,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Other","FALSE","Warm","2020-12-29","Starla Sissel","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",19,0
"Sofia Lopez","Converted","R CSEG","Advertisement","FALSE","Hot","2020-11-15","Aldwin Barrabeale","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",22,39000
"Thomas Oliver","Working","G M","Other","FALSE","Cold","2020-12-21","Baillie Lowman","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",10,0
"Sofia Lopez","Qualified","R CSEG","Other","TRUE","Hot","2020-11-25","Lev Hellewell","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,0
"Thomas Oliver","Nurturing","G M","Employee Referral","FALSE","Warm","2020-12-22","Jorge Zoellner","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",11,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Other","FALSE","Warm","2020-11-06","Fonz Kahler","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",15,0
"Tawnia Williams","Converted","Deepu CSEG ","Other","FALSE","Warm","2020-12-29","Nikaniki McRory","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",12,144000
"Thomas Oliver","Nurturing","G M","Advertisement","TRUE","Hot","2020-12-20","Maison Clutten","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",17,10800
"Sofia Lopez","New","R CSEG","Employee Referral","FALSE","Cold","2020-12-24","Janina Barensen","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,0
"Justin Chen","Qualified","Qianwen Dong","Trade Show","FALSE","Warm","2020-11-22","Jami Pallant","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",13,0
"Sofia Lopez","Working  - Contacted","R CSEG","Employee Referral","FALSE","Warm","2020-12-27","Andy Smith (Sample)","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",25,0
"Thomas Oliver","Nurturing - Contacted","G M","Purchased List","FALSE","Hot","2020-11-27","Aubry Hartil","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",16,0
"Sofia Lopez","Working","R CSEG","Other","TRUE","Cold","2020-12-19","Kidman","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",5,47000
"Tawnia Williams","Nurturing","Deepu CSEG ","Other","FALSE","Warm","2020-11-11","Meara MacGuffog","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",7,0
"Sofia Lopez","Qualified","R CSEG","Advertisement","FALSE","Warm","2020-11-17","Kristofor Straine","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",12,0
"Thomas Oliver","Converted","G M","Employee Referral","FALSE","Hot","2020-12-20","Calley Sawdy","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,0
"Justin Chen","Converted","Qianwen Dong","Other","TRUE","Cold","2020-12-26","Janeczka Woollett","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",12,0
"Sofia Lopez","Working  - Contacted","R CSEG","Other","FALSE","Warm","2020-12-05","Elladine Williams","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",8,0
"Thomas Oliver","Converted","G M","Purchased List","FALSE","Warm","2020-12-23","Boote Tweddle","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",13,0
"Sofia Lopez","New","R CSEG","Other","TRUE","Hot","2020-12-22","Jamison McCrillis","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,136000
"Sofia Lopez","Working","R CSEG","Advertisement","FALSE","Warm","2020-11-29","Ronnie Coatham","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",12,0
"Tawnia Williams","Qualified","Deepu CSEG ","Employee Referral","FALSE","Cold","2020-11-12","Danit Marchant","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",5,0
"Thomas Oliver","Nurturing","G M","Other","FALSE","Hot","2020-12-28","Marci Scarsbrooke","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",5,29000
"Justin Chen","Converted","Qianwen Dong","Employee Referral","FALSE","Warm","2020-12-21","Sherri Westell","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",0,55000
"Sofia Lopez","Converted","R CSEG","Other","TRUE","Hot","2020-11-16","Demetre Tivenan","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Employee Referral","FALSE","Warm","2020-12-29","Mindy Mariot","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",23,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Advertisement","FALSE","Warm","2020-12-02","Monroe","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",16,0
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Cold","2020-12-20","Paco Oakenfull","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,0
"Thomas Oliver","Working","G M","Purchased List","TRUE","Warm","2020-11-19","Penelope Beagles","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Trade Show","FALSE","Hot","2020-12-05","Mayne Maha","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",10,0
"Thomas Oliver","Converted","G M","Employee Referral","FALSE","Cold","2020-12-22","Olivier Ellerker","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",10,0
"Justin Chen","Nurturing","Qianwen Dong","Advertisement","TRUE","Hot","2020-11-28","Abbe Folds","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",25,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","FALSE","Warm","2020-11-05","Gayelord Battin","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",17,0
"Sofia Lopez","New","R CSEG","Other","FALSE","Warm","2020-12-28","Brynna Chritchley","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,0
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Hot","2020-12-23","Fknnedy","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",25,37500
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Other","FALSE","Cold","2020-12-18","Kipp Brunskill","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",10,0
"Thomas Oliver","Working","G M","Advertisement","TRUE","Warm","2020-11-04","Barthel Serot","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",10,0
"Justin Chen","Working  - Contacted","Qianwen Dong","Employee Referral","FALSE","Warm","2020-12-10","Marti Simmig","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",18,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Purchased List","FALSE","Warm","2020-12-25","Alyosha Ivanin","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",8,38000
"Thomas Oliver","Nurturing - Contacted","G M","Other","TRUE","Hot","2020-12-09","Chaddie Bwye","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,12000
"Sofia Lopez","Qualified","R CSEG","Employee Referral","FALSE","Cold","2020-12-26","Phaedra Childers","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",11,0
"Thomas Oliver","Working  - Contacted","G M","Advertisement","FALSE","Warm","2020-11-04","Marianna Tume","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",11,0
"Justin Chen","Nurturing","Qianwen Dong","Other","FALSE","Warm","2020-12-17","Munmro Lockney","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",8,0
"Tawnia Williams","Converted","Deepu CSEG ","Trade Show","TRUE","Hot","2020-11-28","Janice Petchell","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",14,45000
"Sofia Lopez","Working","R CSEG","Other","FALSE","Cold","2020-12-16","Sigismund Fort","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",9,0
"Sofia Lopez","New","R CSEG","Employee Referral","FALSE","Warm","2020-12-22","Jaquelyn Boow","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Warm","2020-12-24","Barthel Wettern","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",0,0
"Thomas Oliver","Converted","G M","Other","TRUE","Hot","2020-11-25","Matteo Rizzi","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",14,0
"Justin Chen","Converted","Qianwen Dong","Purchased List","FALSE","Warm","2020-12-23","Iorgos Cramphorn","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",10,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Employee Referral","FALSE","Hot","2020-12-19","Margo Polle","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",18,100000
"Tawnia Williams","Nurturing","Deepu CSEG ","Employee Referral","FALSE","Cold","2020-11-03","Albertina Gosforth","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",21,100000
"Sofia Lopez","Working  - Contacted","R CSEG","Advertisement","FALSE","Warm","2020-12-07","Dale Spurdle","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",25,0
"Justin Chen","Working","Qianwen Dong","Other","TRUE","Warm","2020-12-29","Saxon Chawner","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",5,0
"Thomas Oliver","Converted","G M","Advertisement","FALSE","Hot","2020-12-22","Casar Wallhead","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",22,0
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Cold","2020-11-10","Madison Dancey","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",17,0
"Thomas Oliver","Nurturing - Contacted","G M","Other","FALSE","Hot","2020-12-29","Mollie McAlinion","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",15,0
"Sofia Lopez","Nurturing","R CSEG","Employee Referral","TRUE","Warm","2020-11-22","Renaud Harborow","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,19000
"Thomas Oliver","Converted","G M","Purchased List","FALSE","Warm","2020-11-17","Enrica Colafate","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",22,0
"Justin Chen","New","Qianwen Dong","Employee Referral","FALSE","Cold","2020-12-20","Rachael Le Huquet","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",16,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Trade Show","TRUE","Warm","2020-12-03","Heda Grimshaw","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",0,0
"Sofia Lopez","Qualified","R CSEG","Advertisement","FALSE","Hot","2020-11-16","Nicko Keilloh","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,0
"Sofia Lopez","Qualified","R CSEG","Other","FALSE","Warm","2020-12-17","Alvina Alywen","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",15,0
"Thomas Oliver","Working  - Contacted","G M","Other","FALSE","Hot","2020-12-28","Niki Grigorkin","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Employee Referral","TRUE","Warm","2020-12-25","Dylan Steutly","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",9,0
"Thomas Oliver","Nurturing","G M","Advertisement","FALSE","Cold","2020-11-27","Toe","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,63000
"Tawnia Williams","Converted","Deepu CSEG ","Employee Referral","FALSE","Warm","2020-11-16","Darwin","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",14,0
"Justin Chen","Working","Qianwen Dong","Other","FALSE","Hot","2020-12-18","Pooh Bennit","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",17,46000
"Sofia Lopez","Qualified","R CSEG","Purchased List","TRUE","Warm","2020-12-24","Lothario Thomton","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",0,0
"Sofia Lopez","Working","R CSEG","Advertisement","FALSE","Cold","2020-12-21","Carolus Aleksich","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,0
"Justin Chen","Working  - Contacted","Qianwen Dong","Employee Referral","FALSE","Warm","2020-11-16","Vivienne Daddow","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",19,0
"Thomas Oliver","Converted","G M","Other","FALSE","Hot","2020-12-08","Berni Brantzen","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,0
"Sofia Lopez","Converted","R CSEG","Other","TRUE","Warm","2020-11-20","Frederic Antal","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",23,12500
"Thomas Oliver","Nurturing - Contacted","G M","Other","FALSE","Cold","2020-12-23","Mateo Beig","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,63000
"Sofia Lopez","Nurturing","R CSEG","Other","FALSE","Warm","2020-12-21","Lem Emmison","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",15,0
"Tawnia Williams","New","Deepu CSEG ","Advertisement","FALSE","Hot","2020-11-15","Janka Cisar","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",24,0
"Justin Chen","Working","Qianwen Dong","Trade Show","FALSE","Warm","2020-11-21","Fee","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",5,73000
"Sofia Lopez","Working  - Contacted","R CSEG","Employee Referral","TRUE","Hot","2020-12-24","Genna Lepard","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",19,0
"Tawnia Williams","Nurturing - Contacted","Deepu CSEG ","Other","FALSE","Cold","2020-11-19","Gris Brisker","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",9,27000
"Thomas Oliver","New","G M","Other","FALSE","Warm","2020-12-22","Channa Tamsett","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",23,0
