"MortgageProgramType","Owner_SmallPhotoUrl","Status","LastModifiedDate","LoanBucket","Is1MplusLoanInNewStatusFor30Days","NumActivitiesBucket","Account_FinancialAccount_Id","LoanPurpose","Name","Owner_Name","OpportunityId","HasMissingDocs","CreatedDate","Id","Opportunity_StageName","DocumentChecklistItem_MissingDoc","Opportunity_Amount","LoanApplicationFinancial_LoanAmount","Activities_RLARelatedActivity","OwnerId","DaysSinceCreated"
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-08","1. < 500k","FALSE","None",,"Other","Julius Oneill ","Sofia Lopez","0066g0000392rFjAAI","Yes","2020-12-08","0cd6g000000gEu6AAE","Client Presentation",2,500000,100000,0,3,45
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-30","1. < 500k","FALSE","None","0cd6g000000gEuCAAUT","Purchase","Maximo Rangel ","Justin Chen","0066g0000392rDZAAY","Yes","2020-11-30","0cd6g000000gEuCAAU","Discovery",2,1900000,470000,0,4,53
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-12-07","1. < 500k","FALSE","None",,"Purchase","Casey Sloan ","Justin Chen","0066g0000392rEfAAI","Yes","2020-12-07","0cd6g000000gEszAAE","Qualification",2,400000,375000,0,4,46
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-22","1. < 500k","FALSE","None",,"Purchase","Issac Murray ","Justin Chen","0066g0000392rFwAAI","Yes","2020-11-22","0cd6g000000gEwcAAE","Qualification",1,1500000,320000,0,4,61
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Pending","2020-11-14","2. 500k-999k","FALSE","None",,"Purchase","Richard Bennett Mortgage Application","Sofia Lopez","0066g0000392rM4AAI","Yes","2020-11-11","0cd4x000000wmu1AAA","Qualification",5,1900000,500000,0,3,69
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","New","2020-12-06","1. < 500k","FALSE","None",,"Refinance","Colton Brady ","Thomas Oliver","0066g0000392rLfAAI","Yes","2020-12-06","0cd6g000000gEvqAAE","Qualification",1,1500000,385000,0,1,47
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","New","2020-11-19","2. 500k-999k","FALSE","None",,"Purchase","Allen Davila ","Sofia Lopez","0066g0000392rEuAAI","No","2020-11-19","0cd6g000000gEy1AAE","Client Presentation",0,1300000,925000,0,3,64
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2020-11-25","2. 500k-999k","FALSE","None",,"Purchase","Jordyn Guerra Refinance Home Loan","Sofia Lopez","0066g0000392rJuAAI","Yes","2020-11-25","0cd6g000000gEuVAAU","Discovery",2,600000,990000,0,3,58
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-25","2. 500k-999k","FALSE","None",,"Refinance","Fletcher Miranda ","Sofia Lopez","0066g0000392rDfAAI","Yes","2020-11-25","0cd6g000000gEuwAAE","Discovery",2,1200000,680000,0,3,58
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-17","2. 500k-999k","FALSE","None",,"Purchase","Ramiro Munoz Refinance Home Loan","Justin Chen","0066g0000392rEiAAI","Yes","2020-11-17","0cd6g000000gEwMAAU","Qualification",1,1100000,680000,0,4,66
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-07","1. < 500k","FALSE","None","0cd6g000000gEvpAAET","Purchase","Reese Carpenter ","Sofia Lopez","0066g0000392rFHAAY","Yes","2020-12-07","0cd6g000000gEvpAAE","Qualification",1,500000,345000,0,3,46
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-08","1. < 500k","FALSE","None",,"Other","Davis Castillo ","Sofia Lopez","0066g0000392rDqAAI","Yes","2020-12-08","0cd6g000000gEweAAE","Client Presentation",1,800000,480000,0,3,45
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-18","1. < 500k","FALSE","None",,"Refinance","Odin Hernandez ","Sofia Lopez","0066g0000392rFDAAY","Yes","2020-11-18","0cd6g000000gEu4AAE","Client Presentation",2,300000,495000,0,3,65
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","New","2020-11-27","2. 500k-999k","FALSE","None",,"Purchase","Finnegan Deleon Refinance Home Loan","Tawnia Williams","0066g0000392rDvAAI","Yes","2020-11-27","0cd6g000000gEsHAAU","Develop Proposal",2,1700000,680000,0,2,56
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-21","2. 500k-999k","FALSE","None",,"Purchase","Noel Bradshaw ","Tawnia Williams","0066g0000392rFWAAY","Yes","2020-11-21","0cd6g000000gEu5AAE","Qualification",2,1200000,540000,0,2,62
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-12","1. < 500k","FALSE","None",,"Purchase","Keely Lutz ","Thomas Oliver","0066g0000392rG0AAI","Yes","2020-11-12","0cd6g000000gEsnAAE","Client Presentation",2,1800000,450000,0,1,71
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Pending","2020-11-29","1. < 500k","FALSE","None",,"Refinance","Dong Q ","Thomas Oliver","0066g0000392rG2AAI","Yes","2020-11-29","0cd6g000000gEsdAAE","Client Presentation",2,1900000,415000,0,1,54
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-12-08","2. 500k-999k","FALSE","None",,"Purchase","Alena Cortez ","Thomas Oliver","0066g0000392rKVAAY","No","2020-12-08","0cd6g000000gEwxAAE","Discovery",0,1800000,625000,0,1,45
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-12-08","2. 500k-999k","FALSE","None",,"Refinance","Cali Hull ","Tawnia Williams","0066g0000392rFmAAI","No","2020-12-08","0cd6g000000gEx0AAE","Client Presentation",0,900000,900000,0,2,45
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-25","1. < 500k","FALSE","None",,"Purchase","Lia Myers ","Sofia Lopez","0066g0000392rLhAAI","Yes","2020-11-25","0cd6g000000gEtGAAU","Client Presentation",2,1800000,495000,0,3,58
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-23","1. < 500k","FALSE","None",,"Purchase","Edwin Jordan ","Thomas Oliver","0066g0000392rKkAAI","No","2020-11-23","0cd6g000000gExsAAE","Develop Proposal",0,1600000,410000,0,1,60
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-19","1. < 500k","FALSE","None","0cd6g000000gEtLAAUT","Purchase","Alejandro Bates ","Sofia Lopez","0066g0000392rL7AAI","Yes","2020-11-19","0cd6g000000gEtLAAU","Discovery",2,500000,420000,0,3,51
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","New","2020-11-20","1. < 500k","FALSE","None",,"Other","Audrina Lynn ","Justin Chen","0066g0000392rJoAAI","No","2020-11-20","0cd6g000000gExpAAE","Discovery",0,1800000,460000,0,4,63
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-17","2. 500k-999k","FALSE","None",,"Purchase","Jayce Dickson ","Sofia Lopez","0066g0000392rMBAAY","Yes","2020-11-17","0cd6g000000gEuiAAE","Client Presentation",2,300000,730000,0,3,66
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-22","1. < 500k","FALSE","None",,"Refinance","Colten Maxwell ","Tawnia Williams","0066g0000392rEJAAY","No","2020-11-22","0cd6g000000gExtAAE","Qualification",0,200000,435000,0,2,61
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Pending","2020-12-07","1. < 500k","FALSE","None",,"Purchase","Brittany Mcfarland Other Home Loan","Justin Chen","0066g0000392rE1AAI","Yes","2020-12-07","0cd6g000000gEubAAE","Discovery",2,900000,385000,0,4,46
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-30","2. 500k-999k","FALSE","None",,"Purchase","Nigel Gibbs ","Justin Chen","0066g0000392rJRAAY","Yes","2020-11-30","0cd6g000000gErjAAE","Client Presentation",2,1900000,600000,0,4,53
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-11","1. < 500k","FALSE","None",,"Refinance","Hazel Bennett ","Sofia Lopez","0066g0000392rFYAAY","Yes","2020-11-11","0cd6g000000gEuZAAU","Discovery",2,1000000,465000,0,3,72
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","New","2020-11-28","1. < 500k","FALSE","None",,"Purchase","Araceli Fritz ","Sofia Lopez","0066g0000392rDYAAY","Yes","2020-11-28","0cd6g000000gEtbAAE","Client Presentation",2,400000,335000,0,3,55
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-23","1. < 500k","FALSE","None",,"Purchase","Kymani Villarreal ","Justin Chen","0066g0000392rLHAAY","No","2020-11-23","0cd6g000000gExMAAU","Client Presentation",0,300000,305000,0,4,60
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-28","2. 500k-999k","FALSE","None","0cd6g000000gEvbAAET","Purchase","Chace Espinoza ","Tawnia Williams","0066g0000392rEhAAI","Yes","2020-11-28","0cd6g000000gEvbAAE","Discovery",1,1100000,660000,0,2,55
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-08","1. < 500k","FALSE","None",,"Refinance","Whitney Villanueva ","Sofia Lopez","0066g0000392rL2AAI","Yes","2020-12-08","0cd6g000000gEtjAAE","Discovery",2,600000,325000,0,3,45
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-07","1. < 500k","FALSE","None",,"Other","Travis Adkins ","Sofia Lopez","0066g0000392rL1AAI","No","2020-12-07","0cd6g000000gEy3AAE","Client Presentation",0,700000,460000,0,3,46
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-16","2. 500k-999k","FALSE","None",,"Purchase","Ernesto Herman ","Thomas Oliver","0066g0000392rDpAAI","Yes","2020-11-16","0cd6g000000gEvrAAE","Client Presentation",1,1200000,855000,0,1,67
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-18","1. < 500k","FALSE","None",,"Purchase","Leah Padilla Refinance Home Loan","Tawnia Williams","0066g0000392rKsAAI","Yes","2020-11-18","0cd6g000000gEtlAAE","Client Presentation",2,500000,350000,0,2,65
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-04","2. 500k-999k","FALSE","None",,"Refinance","Madilyn Campos ","Sofia Lopez","0066g0000392rKKAAY","Yes","2020-12-04","0cd6g000000gEuMAAU","Develop Proposal",2,400000,800000,0,3,49
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2020-11-25","1. < 500k","FALSE","None",,"Purchase","Kieran Hays ","Sofia Lopez","0066g0000392rKvAAI","Yes","2020-11-25","0cd6g000000gEtXAAU","Discovery",2,1700000,420000,0,3,58
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-24","1. < 500k","FALSE","None",,"Purchase","Kathy Hobbs ","Tawnia Williams","0066g0000392rFgAAI","Yes","2020-11-24","0cd6g000000gEt5AAE","Qualification",2,400000,310000,0,2,59
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-26","1. < 500k","FALSE","None",,"Purchase","Trent Hobbs ","Justin Chen","0066g0000392rEVAAY","No","2020-11-26","0cd6g000000gEwkAAE","Client Presentation",0,800000,255000,0,4,57
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-12-08","1. < 500k","FALSE","None",,"Refinance","Curtis Crawford ","Thomas Oliver","0066g0000392rF1AAI","Yes","2020-12-08","0cd6g000000gEudAAE","Discovery",2,1700000,300000,0,1,45
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-22","1. < 500k","FALSE","None",,"Other","Aaron Thompson ","Thomas Oliver","0066g0000392rE9AAI","Yes","2020-11-22","0cd6g000000gEscAAE","Develop Proposal",2,1600000,320000,0,1,61
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-13","1. < 500k","FALSE","None","0cd6g000000gEw2AAET","Purchase","Christian Strickland ","Sofia Lopez","0066g0000392rK6AAI","Yes","2020-11-13","0cd6g000000gEw2AAE","Client Presentation",1,800000,350000,0,3,70
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-12-03","3. 1M+","FALSE","None",,"Purchase","Ross Blanchard Other Home Loan","Tawnia Williams","0066g0000392rKtAAI","Yes","2020-12-03","0cd6g000000gEtrAAE","Qualification",2,1400000,1100000,0,2,50
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-20","1. < 500k","FALSE","None",,"Refinance","Kobe Thornton ","Justin Chen","0066g0000392rEBAAY","No","2020-11-20","0cd6g000000gExbAAE","Qualification",0,1500000,415000,0,4,63
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-30","1. < 500k","FALSE","None",,"Purchase","Carsen Yu ","Sofia Lopez","0066g0000392rFqAAI","Yes","2020-11-30","0cd6g000000gEuvAAE","Discovery",2,1400000,460000,0,3,53
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-28","1. < 500k","FALSE","None",,"Purchase","Bryson Osborn ","Sofia Lopez","0066g0000392rFbAAI","No","2020-11-28","0cd6g000000gEwzAAE","Qualification",0,1000000,390000,0,3,55
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","New","2020-12-02","1. < 500k","FALSE","None",,"Refinance","Raquel Owen ","Sofia Lopez","0066g0000392rGHAAY","Yes","2020-12-02","0cd6g000000gErqAAE","Qualification",2,400000,420000,0,3,51
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-19","1. < 500k","FALSE","None",,"Purchase","Terrence Allen ","Thomas Oliver","0066g0000392rKiAAI","Yes","2020-11-19","0cd6g000000gEroAAE","Discovery",2,1000000,415000,0,1,64
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-13","2. 500k-999k","FALSE","None",,"Purchase","Blaze Hoffman Other Home Loan","Tawnia Williams","0066g0000392rJhAAI","Yes","2020-11-13","0cd6g000000gEuyAAE","Discovery",2,800000,935000,0,2,70
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-18","1. < 500k","FALSE","None",,"Purchase","Tristian Rich ","Thomas Oliver","0066g0000392rGGAAY","No","2020-11-18","0cd6g000000gEwtAAE","Develop Proposal",0,800000,345000,0,1,58
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2020-12-08","1. < 500k","FALSE","None","0cd6g000000gEw0AAET","Other","Jose Gill ","Sofia Lopez","0066g0000392rDOAAY","Yes","2020-12-08","0cd6g000000gEw0AAE","Client Presentation",1,400000,420000,0,3,45
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-12","2. 500k-999k","FALSE","None",,"Purchase","Deangelo Elliott ","Sofia Lopez","0066g00002nh1QUAAY","Yes","2020-11-12","0cd6g000000gEtWAAU","Qualification",2,825000,725000,0,3,71
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-12-05","2. 500k-999k","FALSE","None",,"Refinance","Jamir Harrison ","Thomas Oliver","0066g0000392rKjAAI","Yes","2020-12-05","0cd6g000000gEsIAAU","Qualification",2,1100000,650000,0,1,48
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2020-11-26","1. < 500k","FALSE","None",,"Purchase","Karla Harper ","Sofia Lopez","0066g0000392rELAAY","Yes","2020-11-26","0cd6g000000gEumAAE","Discovery",2,1100000,365000,0,3,57
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-24","1. < 500k","FALSE","None",,"Refinance","Dillan Johnson ","Justin Chen","0066g0000392rJ6AAI","Yes","2020-11-24","0cd6g000000gEuGAAU","Qualification",2,1100000,310000,0,4,59
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2020-11-19","1. < 500k","FALSE","None",,"Purchase","Averi Horne ","Sofia Lopez","0066g0000392rL9AAI","Yes","2020-11-19","0cd6g000000gEuXAAU","Develop Proposal",2,900000,320000,0,3,64
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-25","1. < 500k","FALSE","None",,"Purchase","Maia Cantrell ","Tawnia Williams","0066g0000392rFyAAI","Yes","2020-11-25","0cd6g000000gEvjAAE","Qualification",1,800000,200000,0,2,58
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-07","2. 500k-999k","FALSE","None",,"Purchase","Jasper Powell ","Sofia Lopez","0066g0000392rEoAAI","Yes","2020-12-07","0cd6g000000gEsBAAU","Closed Won",2,800000,500000,0,3,46
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-20","1. < 500k","FALSE","None",,"Purchase","Steve Lynch ","Tawnia Williams","0066g0000392rDPAAY","Yes","2020-11-20","0cd6g000000gEvaAAE","Qualification",1,500000,310000,0,2,63
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-12-02","1. < 500k","FALSE","None",,"Refinance","Alijah Combs Refinance Home Loan","Justin Chen","0066g0000392rFNAAY","Yes","2020-12-02","0cd6g000000gEtOAAU","Client Presentation",2,1600000,415000,0,4,51
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-16","1. < 500k","FALSE","None","0cd6g000000gEw7AAET","Purchase","Lance Whitaker ","Justin Chen","0066g0000392rE2AAI","Yes","2020-11-16","0cd6g000000gEw7AAE","Qualification",1,800000,410000,0,4,67
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-01","1. < 500k","FALSE","None",,"Purchase","Jazmine Herman ","Sofia Lopez","0066g0000392rKuAAI","Yes","2020-12-01","0cd6g000000gEurAAE","Client Presentation",2,400000,390000,0,3,52
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-21","2. 500k-999k","FALSE","None",,"Refinance","Rocco Miller Refinance Home Loan","Thomas Oliver","0066g0000392rEGAAY","No","2020-11-21","0cd6g000000gEx6AAE","Qualification",0,800000,745000,0,1,62
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-12-06","1. < 500k","FALSE","None",,"Other","Raphael Barajas Refinance Home Loan","Sofia Lopez","0066g0000392rJTAAY","Yes","2020-12-06","0cd6g000000gEwjAAE","Qualification",1,1400000,305000,0,3,47
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-26","3. 1M+","FALSE","None",,"Purchase","Justus Turner ","Thomas Oliver","0066g0000392rKrAAI","Yes","2020-11-26","0cd6g000000gEsxAAE","Client Presentation",2,1000000,1040000,0,1,57
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2020-11-13","1. < 500k","FALSE","None",,"Purchase","James Potts ","Justin Chen","0066g0000392rK5AAI","Yes","2020-11-13","0cd6g000000gEwNAAU","Qualification",1,1400000,420000,0,4,70
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-20","1. < 500k","FALSE","None",,"Purchase","Alexa Callahan ","Sofia Lopez","0066g0000392rJbAAI","Yes","2020-11-20","0cd6g000000gEvRAAU","Discovery",1,500000,480000,0,3,63
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-25","1. < 500k","FALSE","None",,"Purchase","Quinton Harrell ","Tawnia Williams","0066g0000392rG5AAI","Yes","2020-11-25","0cd6g000000gErnAAE","Develop Proposal",2,1500000,200000,0,2,58
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-12-05","1. < 500k","FALSE","None",,"Refinance","Aiden Wallace Other Home Loan","Thomas Oliver","0066g0000392rDSAAY","Yes","2020-12-05","0cd6g000000gEsNAAU","Closed Won",2,600000,360000,0,1,48
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-15","2. 500k-999k","FALSE","None",,"Purchase","Allen Davila ","Tawnia Williams","0066g0000392rM9AAI","No","2020-11-15","0cd6g000000gEy1AAE","Client Presentation",0,1000000,715000,0,2,68
