"MortgageProgramType","Owner_SmallPhotoUrl","Status","LastModifiedDate","LoanBucket","Is1MplusLoanInNewStatusFor30Days","LastProcessedDate","NumActivitiesBucket","Account_FinancialAccount_Id","LoanPurpose","Name","Owner_Name","OwnerId","OpportunityId","HasMissingDocs","CreatedDate","Id","Opportunity_StageName","DocumentChecklistItem_MissingDoc","Opportunity_Amount","LoanApplicationFinancial_LoanAmount","Activities_RLARelatedActivity","DaysSinceCreated"
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-12","2. 500k-999k","FALSE","2021-01-26","None",,"Refinance","Connor Mcgee ","Tawnia Williams","a","0066g0000392rF0AAI","Yes","2021-01-12","0cd6g000000gErtAAE","Client Presentation",2,600000,540000,0,14
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-12","2. 500k-999k","FALSE","2021-01-26","None","0cd6g000000gEwXAAUT","Purchase","Marvin Stephenson ","Thomas Oliver","a","0066g0000392rG2AAI","Yes","2021-01-12","0cd6g000000gEwXAAU","Client Presentation",1,1900000,745000,0,14
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-13","1. < 500k","FALSE","2021-01-26","1-2",,"Purchase","Kenley Wells ","Thomas Oliver","a","0066g0000392rE4AAI","Yes","2021-01-13","0cd6g000000gEwYAAU","Client Presentation",1,800000,340000,2,13
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-13","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Dean Walton ","Justin Chen","a","0066g0000392rJtAAI","Yes","2021-01-13","0cd6g000000gEsGAAU","Client Presentation",2,1400000,320000,0,13
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-13","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Enzo Barrera ","Tawnia Williams","a","0066g0000392rJQAAY","Yes","2021-01-13","0cd6g000000gEwBAAU","Qualification",1,1200000,435000,0,13
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-14","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Deacon Doyle ","Thomas Oliver","a","0066g0000392rG9AAI","Yes","2021-01-14","0cd6g000000gEvwAAE","Client Presentation",1,600000,320000,0,12
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-14","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Mia Castillo ","Sofia Lopez","a","0066g0000392rFaAAI","Yes","2021-01-14","0cd6g000000gEvkAAE","Client Presentation",1,1000000,700000,0,12
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-14","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Mathew Ibarra ","Thomas Oliver","a","0066g0000392rK9AAI","Yes","2021-01-14","0cd6g000000gEtoAAE","Qualification",2,500000,410000,0,12
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-14","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Tyree Michael ","Justin Chen","a","0066g0000392rItAAI","Yes","2021-01-14","0cd6g000000gEtCAAU","Closed Won",2,1400000,305000,0,12
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-15","1. < 500k","FALSE","2021-01-26","None","0cd6g000000gExFAAUT","Other","Adriel Alvarez ","Tawnia Williams","a","0066g0000392rDyAAI","No","2021-01-15","0cd6g000000gExFAAU","Client Presentation",0,1200000,310000,0,11
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-15","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Cason Bullock ","Justin Chen","a","0066g0000392rKhAAI","Yes","2021-01-15","0cd6g000000gEv4AAE","Client Presentation",2,400000,310000,0,11
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Pending","2021-01-15","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Andreas Roy Other Home Loan","Sofia Lopez","a","0066g0000392rJbAAI","Yes","2021-01-15","0cd6g000000gEtUAAU","Discovery",2,500000,990000,0,11
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-15","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Aydan Bates ","Sofia Lopez","a","0066g0000392rLnAAI","Yes","2021-01-15","0cd6g000000gEs7AAE","Qualification",2,1900000,680000,0,11
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-16","1. < 500k","FALSE","2021-01-26","3-4","0cd6g000000gExoAAET","Refinance","Layton Ford ","Sofia Lopez","a","0066g0000392rM3AAI","No","2021-01-16","0cd6g000000gExoAAE","Qualification",0,1600000,978000,4,10
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Pending","2021-01-16","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Jorge Wu ","Sofia Lopez","a","0066g0000392rESAAY","Yes","2021-01-16","0cd6g000000gErsAAE","Client Presentation",2,1300000,420000,0,10
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-16","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Gretchen Hill ","Tawnia Williams","a","0066g0000392rK7AAI","Yes","2021-01-16","0cd6g000000gEuqAAE","Discovery",2,1400000,200000,0,10
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-16","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Kaylen Coffey ","Tawnia Williams","a","0066g0000392rFCAAY","Yes","2021-01-16","0cd6g000000gEuOAAU","Qualification",2,300000,200000,0,10
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-17","1. < 500k","FALSE","2021-01-26","None","0cd6g000000gEy3AAET","Other","Travis Adkins ","Justin Chen","a","0066g0000392rErAAI","No","2021-01-17","0cd6g000000gEy3AAE","Qualification",0,800000,255000,0,9
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Pending","2021-01-17","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Luke Rowland ","Sofia Lopez","a","0066g0000392rKNAAY","Yes","2021-01-17","0cd6g000000gEvuAAE","Qualification",1,1600000,365000,0,9
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-17","3. 1M+","FALSE","2021-01-26","None",,"Purchase","Leo Harris ","Thomas Oliver","a","0066g0000392rKxAAI","Yes","2021-01-17","0cd6g000000gEveAAE","Qualification",1,1300000,1040000,0,9
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","New","2021-01-17","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Allen Davila ","Tawnia Williams","a","0066g0000392rK3AAI","No","2021-01-17","0cd6g000000gEy1AAE","Client Presentation",0,500000,680000,0,9
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","New","2021-01-18","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Maximo Rangel ","Sofia Lopez","a","0066g0000392rJgAAI","Yes","2021-01-18","0cd6g000000gEuCAAU","Client Presentation",2,300000,335000,0,8
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2021-01-01","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Raj Varma Residential Loan Application","Sofia Lopez","a","0066g0000392rE1AAI","Yes","2021-01-01","0cd6g000000LBBYAA4","Discovery",1,900000,660000,0,25
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-18","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Simon Stein ","Sofia Lopez","a","0066g0000392rJ9AAI","No","2021-01-18","0cd6g000000gExHAAU","Qualification",0,700000,390000,0,8
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Pending","2021-01-18","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Emiliano Poole ","Thomas Oliver","a","0066g0000392rEdAAI","Yes","2021-01-18","0cd6g000000gEuzAAE","Qualification",2,600000,415000,0,8
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-19","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Monique Newton ","Sofia Lopez","a","0066g0000392rJ8AAI","Yes","2021-01-19","0cd6g000000gEsTAAU","Qualification",2,1400000,600000,0,7
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-19","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Harley Valdez ","Justin Chen","a","0066g0000392rFmAAI","Yes","2021-01-19","0cd6g000000gEvJAAU","Client Presentation",1,900000,470000,0,7
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-20","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Malaki Shaffer ","Justin Chen","a","0066g0000392rDwAAI","Yes","2021-01-20","0cd6g000000gEutAAE","Qualification",2,1400000,600000,0,6
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-20","1. < 500k","FALSE","2021-01-26","None","0cd6g000000gEt2AAET","Purchase","Muhammad Marshall ","Sofia Lopez","a","0066g0000392rGQAAY","Yes","2021-01-20","0cd6g000000gEt2AAE","Client Presentation",2,200000,352000,0,6
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Pending","2021-01-21","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Leonel Arnold Leonel Arnold ","Tawnia Williams","a","0066g0000392rKqAAI","Yes","2021-01-21","0cd6g000000gEv3AAE","Qualification",2,1400000,825000,0,5
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-21","2. 500k-999k","FALSE","2021-01-26","None",,"Refinance","Helena Jordan Refinance Home Loan","Thomas Oliver","a","0066g0000392rFuAAI","Yes","2021-01-21","0cd6g000000gEt6AAE","Qualification",2,1200000,685000,0,5
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-22","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Gerald Woodward ","Sofia Lopez","a","0066g0000392rJ5AAI","Yes","2021-01-22","0cd6g000000gEv8AAE","Discovery",1,400000,390000,0,4
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Pending","2021-01-22","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Jazmine Herman ","Thomas Oliver","a","0066g0000392rKzAAI","Yes","2021-01-22","0cd6g000000gEurAAE","Client Presentation",2,800000,425000,0,4
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","New","2021-01-22","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Kaley Mcge ","Sofia Lopez","a","0066g0000392rFiAAI","Yes","2021-01-22","0cd6g000000gEt4AAE","Client Presentation",2,600000,420000,0,4
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-22","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Amani Landry ","Justin Chen","a","0066g0000392rGLAAY","No","2021-01-22","0cd6g000000gExJAAU","Client Presentation",0,1300000,415000,0,4
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-23","3. 1M+","FALSE","2021-01-26","None",,"Purchase","Brittany Mcfarland Other Home Loan","Tawnia Williams","a","0066g0000392rFAAAY","Yes","2021-01-23","0cd6g000000gEubAAE","Qualification",2,300000,1100000,0,3
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-23","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Jasiah Swanson ","Sofia Lopez","a","0066g0000392rKVAAY","Yes","2021-01-23","0cd6g000000gEv9AAE","Discovery",1,1800000,800000,0,3
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","New","2021-01-23","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Jean Ryan ","Tawnia Williams","a","0066g0000392rKBAAY","No","2021-01-23","0cd6g000000gExjAAE","Client Presentation",0,1200000,485000,0,3
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-23","2. 500k-999k","FALSE","2021-01-26","None",,"Refinance","Frankie Meyers ","Thomas Oliver","a","0066g0000392rKsAAI","Yes","2021-01-23","0cd6g000000gEw8AAE","Client Presentation",1,500000,650000,0,3
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-23","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Zaire Mckay ","Thomas Oliver","a","0066g0000391ROdAAM","Yes","2021-01-23","0cd6g000000gEtRAAU","Client Presentation",2,1750000,360000,0,3
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-25","1. < 500k","FALSE","2021-01-26","None",,"Purchase","King Ritter ","Thomas Oliver","a","0066g0000392rJLAAY","No","2021-01-25","0cd6g000000gEwuAAE","Qualification",0,1500000,385000,0,1
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Pending","2021-01-25","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Bianca Haley ","Sofia Lopez","a","0066g0000392rGCAAY","Yes","2021-01-25","0cd6g000000gEsRAAU","Client Presentation",2,1700000,305000,0,1
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-25","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Bryson Osborn ","Justin Chen","a","0066g0000392rFJAAY","No","2021-01-25","0cd6g000000gEwzAAE","Client Presentation",0,300000,375000,0,1
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2021-01-25","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Richard Bennett Mortgage Application","Sofia Lopez","a","0066g0000392rL8AAI","Yes","2021-01-25","0cd4x000000oPXlAAM","Qualification",5,1200000,345000,0,1
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-25","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Daniella Wallace ","Justin Chen","a","0066g0000392rJyAAI","Yes","2021-01-07","0cd6g000000gEtgAAE","Qualification",2,500000,730000,0,1
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-25","2. 500k-999k","FALSE","2021-01-26","None","0cd6g000000gEtHAAUT","Other","Madeleine Nicholson ","Sofia Lopez","a","0066g0000392rL1AAI","Yes","2021-01-25","0cd6g000000gEtHAAU","Client Presentation",2,700000,760000,0,1
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-26","2. 500k-999k","FALSE","2021-01-26","None",,"Refinance","Gustavo Mcclain ","Sofia Lopez","a","0066g0000392rF2AAI","Yes","2021-01-26","0cd6g000000gEtaAAE","Qualification",2,1700000,500000,0,0
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-26","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Dillan Johnson ","Sofia Lopez","a","0066g0000392rElAAI","Yes","2021-01-26","0cd6g000000gEuGAAU","Qualification",2,1500000,100000,0,0
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-26","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Keira Parker ","Sofia Lopez","a","0066g0000392rEWAAY","No","2021-01-26","0cd6g000000gEwyAAE","Client Presentation",0,300000,480000,0,0
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-26","2. 500k-999k","FALSE","2021-01-26","None",,"Refinance","Omari Roberts ","Thomas Oliver","a","0066g0000392rJIAAY","Yes","2021-01-26","0cd6g000000gEvMAAU","Discovery",1,1600000,625000,0,0
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-26","2. 500k-999k","FALSE","2021-01-26","None",,"Other","Keyon Bullock ","Tawnia Williams","a","0066g0000392rLcAAI","No","2021-01-26","0cd6g000000gEwrAAE","Qualification",0,1000000,900000,0,0
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-25","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Chace Espinoza ","Sofia Lopez","a","0066g0000392rKDAAY","Yes","2021-01-25","0cd6g000000gEvbAAE","Client Presentation",1,1700000,325000,0,1
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-24","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Harold Coffey ","Thomas Oliver","a","0066g0000392rJ7AAI","Yes","2021-01-24","0cd6g000000gEsrAAE","Develop Proposal",2,1600000,300000,0,2
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2021-01-25","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Emilia Mcclain ","Sofia Lopez","a","0066g0000392rL4AAI","Yes","2021-01-25","0cd6g000000gEsXAAU","Client Presentation",2,300000,100000,0,1
