"ProcessName","AccountId","InteractionId","InteractionDate","CustomerInteractionId","InteractionTopic","LastProcessedDate","CaseId","OrderNumber","SubscriptionName","OrderId","AccountStatus","OrderStatus","SubscriptionId","SubscriptionStatus","Outcome","CaseStatus","CaseNumber","CaseReason","DurationInMinute"
"Request SIM Replacement","0014x00000Abb2sAAB","a1R4x000000AFjnEAG","2021-03-03","a1S4x000000AeO9EAK","a1R4x000000AFjn","2021-07-12",,,,,"Active",,,,"Canceled",,,,41
"Number change request","0014x00000Abb2sAAB","a1R4x000000AFjoEAG","2021-03-03","a1S4x000000AeO9EAK","a1R4x000000AFjo","2021-07-12",,"00000820","Marie Watson","8014x000001KaQjAAK","Active","Activated","3030214444","Inactive","Successful",,,,41
"Change Personal Details","0014x00000Abb2sAAB","a1R4x000000AFjpEAG","2021-03-03","a1S4x000000AeO9EAK","a1R4x000000AFjp","2021-07-12",,,,,"Active",,,,"Successful",,,,41
"Request SIM Replacement","0014x00000Abb2qAAB","a1R4x000000AFjqEAG","2021-03-04","a1S4x000000AeOAEA0","a1R4x000000AFjq","2021-07-12",,,,,"Active",,,,"Canceled",,,,38
"Manage Features","0014x00000Abb2qAAB","a1R4x000000AFjrEAG","2021-03-04","a1S4x000000AeOAEA0","a1R4x000000AFjr","2021-07-12",,,,,"Active",,,,"Canceled",,,,38
"Buy add-ons","0014x00000Abb2qAAB","a1R4x000000AFjsEAG","2021-03-04","a1S4x000000AeOAEA0","a1R4x000000AFjs","2021-07-12",,,,,"Active",,,,"Canceled",,,,38
"Request SIM Replacement","0014x00000Abb2qAAB","a1R4x000000AFjtEAG","2021-03-04","a1S4x000000AeOBEA0","a1R4x000000AFjt","2021-07-12",,,,,"Active",,,,"Canceled",,,,28
"Request SIM Replacement","0014x00000Abb2qAAB","a1R4x000000AFjuEAG","2021-03-04","a1S4x000000AeOBEA0","a1R4x000000AFju","2021-07-12",,,,,"Active",,,,"Canceled",,,,28
"Request SIM Replacement","0014x00000Abb2qAAB","a1R4x000000AFjyEAG","2021-03-04","a1S4x000000AeOBEA0","a1R4x000000AFjy","2021-07-12",,,,,"Active",,,,"Canceled",,,,28
"Request SIM Replacement","0014x00000Abb2qAAB","a1R4x000000AFjzEAG","2021-03-04","a1S4x000000AeOBEA0","a1R4x000000AFjz","2021-07-12",,,,,"Active",,,,"Canceled",,,,28
"Request SIM Replacement","0014x00000Abb2qAAB","a1R4x000000AFk0EAG","2021-03-04","a1S4x000000AeOBEA0","a1R4x000000AFk0","2021-07-12",,,,,"Active",,,,"Canceled",,,,28
"Request SIM Replacement","0014x00000Abb2qAAB","a1R4x000000AFk1EAG","2021-03-04","a1S4x000000AeOBEA0","a1R4x000000AFk1","2021-07-12",,,,,"Active",,,,"Canceled",,,,28
"Request SIM Replacement","0014x00000Abb2sAAB","a1R4x000000AFjvEAG","2021-03-04","a1S4x000000AeOCEA0","a1R4x000000AFjv","2021-07-12",,"00000821","Marie Watson","8014x000001KaQkAAK","Active","Activated","3030218888","Active","Successful",,,,13
"Voucher top up","0014x00000Abb2sAAB","a1R4x000000AFjwEAG","2021-03-04","a1S4x000000AeOCEA0","a1R4x000000AFjw","2021-07-12",,,"Marie Watson",,"Active",,"3030218888","Active","Successful",,,,13
"Cash top up","0014x00000Abb2sAAB","a1R4x000000AFjxEAG","2021-03-04","a1S4x000000AeOCEA0","a1R4x000000AFjx","2021-07-12","5004x000002XYmcAAG",,"Marie Watson",,"Active",,"3030214444","Inactive","Successful","New","00001012",,13
,,"a1R4x000000AFiyEAG","2020-10-15","a1S4x000000AeOFEA0","a1R4x000000AFiy","2021-07-12",,,,,,,,,,,,,390298
,,"a1R4x000000AFizEAG","2020-10-15","a1S4x000000AeOFEA0","a1R4x000000AFiz","2021-07-12",,,,,,,,,,,,,390298
,,"a1R4x000000AFj0EAG","2020-10-15","a1S4x000000AeOGEA0","a1R4x000000AFj0","2021-07-12",,,,,,,,,,,,,390274
,,"a1R4x000000AFj1EAG","2020-10-15","a1S4x000000AeOGEA0","a1R4x000000AFj1","2021-07-12",,,,,,,,,,,,,390274
,,"a1R4x000000AFj2EAG","2020-10-15","a1S4x000000AeOHEA0","a1R4x000000AFj2","2021-07-12",,,,,,,,,,,,,390224
,,"a1R4x000000AFj3EAG","2020-10-15","a1S4x000000AeOIEA0","a1R4x000000AFj3","2021-07-12",,,,,,,,,,,,,390214
,,"a1R4x000000AFj4EAG","2020-10-15","a1S4x000000AeOJEA0","a1R4x000000AFj4","2021-07-12",,,,,,,,,,,,,390211
,,"a1R4x000000AFj5EAG","2020-10-15","a1S4x000000AeOJEA0","a1R4x000000AFj5","2021-07-12",,,,,,,,,,,,,390211
,,"a1R4x000000AFj6EAG","2020-10-15","a1S4x000000AeOJEA0","a1R4x000000AFj6","2021-07-12",,,,,,,,,,,,,390211
,,"a1R4x000000AFj7EAG","2020-10-15","a1S4x000000AeOKEA0","a1R4x000000AFj7","2021-07-12",,,,,,,,,,,,,390206
,,"a1R4x000000AFj8EAG","2020-10-15","a1S4x000000AeOLEA0","a1R4x000000AFj8","2021-07-12",,,,,,,,,,,,,390204
,,"a1R4x000000AFj9EAG","2020-10-15","a1S4x000000AeOLEA0","a1R4x000000AFj9","2021-07-12",,,,,,,,,,,,,390204
,,"a1R4x000000AFjAEAW","2020-10-15","a1S4x000000AeOLEA0","a1R4x000000AFjA","2021-07-12",,,,,,,,,,,,,390204
,,"a1R4x000000AFjBEAW","2020-10-15","a1S4x000000AeOLEA0","a1R4x000000AFjB","2021-07-12",,,,,,,,,,,,,390204
,,"a1R4x000000AFjCEAW","2020-10-15","a1S4x000000AeOLEA0","a1R4x000000AFjC","2021-07-12",,,,,,,,,,,,,390204
,,"a1R4x000000AFjDEAW","2020-10-15","a1S4x000000AeOLEA0","a1R4x000000AFjD","2021-07-12",,,,,,,,,,,,,390204
,,"a1R4x000000AFjEEAW","2020-10-15","a1S4x000000AeOLEA0","a1R4x000000AFjE","2021-07-12",,,,,,,,,,,,,390204
,,"a1R4x000000AFjFEAW","2020-10-16","a1S4x000000AeOMEA0","a1R4x000000AFjF","2021-07-12",,,,,,,,,,,,,389019
,,"a1R4x000000AFjGEAW","2020-10-16","a1S4x000000AeONEA0","a1R4x000000AFjG","2021-07-12",,,,,,,,,,,,,388919
,,"a1R4x000000AFjHEAW","2020-10-16","a1S4x000000AeOOEA0","a1R4x000000AFjH","2021-07-12",,,,,,,,,,,,,388917
,,"a1R4x000000AFjIEAW","2020-10-16","a1S4x000000AeOOEA0","a1R4x000000AFjI","2021-07-12",,,,,,,,,,,,,388917
,,"a1R4x000000AFjJEAW","2020-10-16","a1S4x000000AeOOEA0","a1R4x000000AFjJ","2021-07-12",,,,,,,,,,,,,388917
,,"a1R4x000000AFjKEAW","2020-10-16","a1S4x000000AeOOEA0","a1R4x000000AFjK","2021-07-12",,,,,,,,,,,,,388917
,,"a1R4x000000AFjLEAW","2020-10-16","a1S4x000000AeOOEA0","a1R4x000000AFjL","2021-07-12",,,,,,,,,,,,,388917
,,"a1R4x000000AFjMEAW","2020-10-16","a1S4x000000AeOOEA0","a1R4x000000AFjM","2021-07-12",,,,,,,,,,,,,388917
,,"a1R4x000000AFjNEAW","2020-10-16","a1S4x000000AeOOEA0","a1R4x000000AFjN","2021-07-12",,,,,,,,,,,,,388917
,,"a1R4x000000AFjOEAW","2020-10-16","a1S4x000000AeOOEA0","a1R4x000000AFjO","2021-07-12",,,,,,,,,,,,,388917
,,"a1R4x000000AFjPEAW","2020-11-09","a1S4x000000AeOPEA0","a1R4x000000AFjP","2021-07-12",,,,,,,,,,,,,354312
,,"a1R4x000000AFjQEAW","2020-11-30","a1S4x000000AeOQEA0","a1R4x000000AFjQ","2021-07-12",,,,,,,,,,,,,323779
,,"a1R4x000000AFjREAW","2020-11-30","a1S4x000000AeOQEA0","a1R4x000000AFjR","2021-07-12",,,,,,,,,,,,,323779
"Join",,"a1R4x000000AFjSEAW","2021-03-03","a1S4x000000AeOREA0","a1R4x000000AFjS","2021-07-12",,,,,,,,,"Successful",,,,190084
"Join",,"a1R4x000000AFjTEAW","2021-03-03","a1S4x000000AeOSEA0","a1R4x000000AFjT","2021-07-12",,,,,,,,,"Successful",,,,190057
"Join",,"a1R4x000000AFjUEAW","2021-03-03","a1S4x000000AeOTEA0","a1R4x000000AFjU","2021-07-12",,,,,,,,,"Successful",,,,190053
"Join",,"a1R4x000000AFjVEAW","2021-03-03","a1S4x000000AeOUEA0","a1R4x000000AFjV","2021-07-12",,,,,,,,,"Successful",,,,189985
"Join",,"a1R4x000000AFjWEAW","2021-03-03","a1S4x000000AeOVEA0","a1R4x000000AFjW","2021-07-12",,,,,,,,,"Successful",,,,189977
"Join",,"a1R4x000000AFjXEAW","2021-03-03","a1S4x000000AeOWEA0","a1R4x000000AFjX","2021-07-12",,,,,,,,,"Successful",,,,189940
"Join",,"a1R4x000000AFjYEAW","2021-03-03","a1S4x000000AeOXEA0","a1R4x000000AFjY","2021-07-12",,,,,,,,,"Successful",,,,189925
"Cash top up","0014x00000Abb2qAAB","a1R4x000000AFxJEAW","2021-03-09","a1S4x000000AenvEAC","a1R4x000000AFxJ","2021-07-12",,,"John Baker",,"Active",,"3040394276","Active","Canceled",,,,1
"Voucher top up","0014x00000Abb2qAAB","a1R4x000000AFxOEAW","2021-03-09","a1S4x000000Aeo0EAC","a1R4x000000AFxO","2021-07-12",,,"John Baker",,"Active",,"3040394276","Active","Canceled",,,,1
"Join","0014x00000AKffcAAD","a1R4x000000AGmeEAG","2021-03-09","a1S4x000000AgIDEA0","a1R4x000000AGme","2021-07-12",,"00000856",,"8014x000000cSJJAA2","Active","Activated",,,"Successful",,,,180935
"Cash top up","0014x00000AKffcAAD","a1R4x000000AGuzEAG","2021-03-09","a1S4x000000AgIIEA0","a1R4x000000AGuz","2021-07-12",,,,,"Active",,,,"Failed",,,,180934
"Cash top up","0014x00000AKffcAAD","a1R4x000000AGv0EAG","2021-03-09","a1S4x000000AgIIEA0","a1R4x000000AGv0","2021-07-12",,,,,"Active",,,,"Failed",,,,180934
"Join","0014x00000AKhAVAA1","a1R4x000000AHBfEAO","2021-03-09","a1S4x000000AgloEAC","a1R4x000000AHBf","2021-07-12",,"00000857",,"8014x000000cSJdAAM","Active","Activated",,,"Successful",,,,180866
"Join","0014x00000AKpTOAA1","a1R4x000000AHr2EAG","2021-03-10","a1S4x000000AhdyEAC","a1R4x000000AHr2","2021-07-12",,"00000858",,"8014x000000cSLFAA2","Active","Activated",,,"Successful",,,,180372
"Cash top up","0014x00000AKpTOAA1","a1R4x000000AHr3EAG","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHr3","2021-07-12",,,"John Conner",,"Active",,"3035556555","Active","Successful",,,,140
"Cash top up","0014x00000AKpTOAA1","a1R4x000000AHr7EAG","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHr7","2021-07-12",,,"John Conner",,"Active",,"3035556555","Active","Canceled",,,,140
"Buy add-ons","0014x00000AKpTOAA1","a1R4x000000AHrCEAW","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHrC","2021-07-12",,"00000860","John Conner","8014x000000cSLLAA2","Active","Activated","3035556555","Active","Successful",,,,140
"Manage Features","0014x00000AKpTOAA1","a1R4x000000AHrHEAW","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHrH","2021-07-12",,"00000861","John Conner","8014x000000cSLPAA2","Active","Activated","3035556555","Active","Successful",,,,140
"Voucher top up","0014x00000AKpTOAA1","a1R4x000000AHrIEAW","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHrI","2021-07-12",,,"John Conner",,"Active",,"3035556555","Active","Successful",,,,140
"Manage lost SIM or device - Resume SIM","0014x00000AKpTOAA1","a1R4x000000AHrMEAW","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHrM","2021-07-12",,"00000863","John Conner","8014x000000cSLjAAM","Active","Activated","3035556555","Active","Successful",,,,140
"Request SIM Replacement","0014x00000AKpTOAA1","a1R4x000000AHrREAW","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHrR","2021-07-12",,"00000864","John Conner","8014x000000cSLkAAM","Active","Activated","3035556555","Active","Successful",,,,140
"Request SIM Replacement","0014x00000AKpTOAA1","a1R4x000000AHveEAG","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHve","2021-07-12",,,"John Conner",,"Active",,"3035556555","Active","Failed",,,,140
"Number change request","0014x00000AKpTOAA1","a1R4x000000AHvjEAG","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHvj","2021-07-12",,"00000865","John Conner","8014x000000cSO9AAM","Active","Activated","3035556555","Active","Successful",,,,140
"Change Personal Details","0014x00000AKpTOAA1","a1R4x000000AHvoEAG","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHvo","2021-07-12",,,,,"Active",,,,"Successful",,,,140
"Change Personal Details","0014x00000AKpTOAA1","a1R4x000000AHvpEAG","2021-03-10","a1S4x000000Ahe3EAC","a1R4x000000AHvp","2021-07-12",,,,,"Active",,,,"Canceled",,,,140
"Join","0014x00000AKvcQAAT","a1R4x000000AIISEA4","2021-03-10","a1S4x000000AiFmEAK","a1R4x000000AIIS","2021-07-12",,"00000868",,"8014x000000cTGJAA2","Active","Activated",,,"Successful",,,,179922
"Cash top up","0014x00000AKvcQAAT","a1R4x000000AIQnEAO","2021-03-10","a1S4x000000AiFrEAK","a1R4x000000AIQn","2021-07-12",,,"Chris James",,"Active",,"3031379560","Inactive","Successful",,,,50
"Voucher top up","0014x00000AKvcQAAT","a1R4x000000AIQsEAO","2021-03-10","a1S4x000000AiFrEAK","a1R4x000000AIQs","2021-07-12",,,"Chris James",,"Active",,"3031379560","Inactive","Successful",,,,50
"Buy add-ons","0014x00000AKvcQAAT","a1R4x000000AIQxEAO","2021-03-10","a1S4x000000AiFrEAK","a1R4x000000AIQx","2021-07-12",,"00000869","Chris James","8014x000000cTOWAA2","Active","Activated","3031379560","Inactive","Successful",,,,50
"Request SIM Unlock Code","0014x00000AKvcQAAT","a1R4x000000AIR2EAO","2021-03-10","a1S4x000000AiFrEAK","a1R4x000000AIR2","2021-07-12",,,"Chris James",,"Active",,"3031379560","Inactive","Successful",,,,50
"Manage lost or stolen device or SIM","0014x00000AKvcQAAT","a1R4x000000AQniEAG","2021-03-15","a1S4x000000AtAGEA0","a1R4x000000AQni","2021-07-12",,,"Chris James",,"Active",,"3030247777","Active","Canceled",,,,172696
"Request SIM Unlock Code","0014x00000AKvcQAAT","a1R4x000000AQnnEAG","2021-03-15","a1S4x000000AtAGEA0","a1R4x000000AQnn","2021-07-12",,,"Chris James",,"Active",,"3030247777","Active","Failed",,,,172696
"Request SIM Unlock Code","0014x00000AKvcQAAT","a1R4x000000AQnoEAG","2021-03-15","a1S4x000000AtAGEA0","a1R4x000000AQno","2021-07-12",,,"Chris James",,"Active",,"3030247777","Active","Canceled",,,,172696
"Request SIM Unlock Code","0014x00000AKvcQAAT","a1R4x000000AUDHEA4","2021-03-15","a1S4x000000AtAGEA0","a1R4x000000AUDH","2021-07-12",,,"Chris James",,"Active",,"3030247777","Active","Canceled",,,,172696
"Request SIM Unlock Code","0014x00000AKffcAAD","a1R4x000000AULcEAO","2021-03-16","a1S4x000000AweoEAC","a1R4x000000AULc","2021-07-12",,,"Maria Iglesias",,"Active",,"3031358792","Active","Failed",,,,24803
"Request SIM Unlock Code","0014x00000AKffcAAD","a1R4x000000AUolEAG","2021-03-16","a1S4x000000AweoEAC","a1R4x000000AUol","2021-07-12",,,"Maria Iglesias",,"Active",,"3031358792","Active","Canceled",,,,24803
"Request SIM Unlock Code","0014x00000AKffcAAD","a1R4x000000AZu1EAG","2021-03-16","a1S4x000000AweoEAC","a1R4x000000AZu1","2021-07-12",,,"Maria Iglesias",,"Active",,"3031358792","Active","Canceled",,,,24803
"Request SIM Unlock Code","0014x00000AKffcAAD","a1R4x000000AfEaEAK","2021-03-16","a1S4x000000AweoEAC","a1R4x000000AfEa","2021-07-12",,,"Maria Iglesias",,"Active",,"3031358792","Active","Canceled",,,,24803
"Request SIM Unlock Code","0014x00000AKffcAAD","a1R4x000000Ah32EAC","2021-03-16","a1S4x000000AweoEAC","a1R4x000000Ah32","2021-07-12",,,"Maria Iglesias",,"Active",,"3031358792","Active","Canceled",,,,24803
"Cash top up","0014x00000CkntvAAB","a1R4x000000AraxEAC","2021-03-29","a1S4x000000BOgrEAG","a1R4x000000Arax","2021-07-12",,,"William Smith",,"Active",,"3031430728","Active","Canceled",,,,5933
"Cash top up","0014x00000CkntvAAB","a1R4x000000At4VEAS","2021-03-29","a1S4x000000BOgrEAG","a1R4x000000At4V","2021-07-12",,,"William Smith",,"Active",,"3031430728","Active","Canceled",,,,5933
"Cash top up","0014x00000CkntvAAB","a1R4x000000At92EAC","2021-03-29","a1S4x000000BOgrEAG","a1R4x000000At92","2021-07-12",,,"William Smith",,"Active",,"3031430728","Active","Canceled",,,,5933
"Cash top up","0014x00000CkntvAAB","a1R4x000000AvTREA0","2021-03-29","a1S4x000000BOgrEAG","a1R4x000000AvTR","2021-07-12",,,"William Smith",,"Active",,"3031430728","Active","Canceled",,,,5933
"Change Personal Details","0014x00000EGX5CAAX","a1R4x000000AyP4EAK","2021-04-02","a1S4x000000BYv7EAG","a1R4x000000AyP4","2021-07-12",,,,,"Active",,,,"Canceled",,,,112
"Change Personal Details","0014x00000EGX7OAAX","a1R4x000000AyPEEA0","2021-04-02","a1S4x000000BYwZEAW","a1R4x000000AyPE","2021-07-12",,,,,"Active",,,,"Successful",,,,1
"Cash top up","001B000001Mt1y8IAB","a1R4x000000BFOsEAO","2021-04-21","a1S4x000000BdKZEA0","a1R4x000000BFOs","2021-07-12",,,"Miley Murray",,"Active",,"5922433602","Active","Canceled",,,,119274
"Cash top up","0014x00000AKffcAAD","a1R4x000000BFP7EAO","2021-04-21","a1S4x000000BdKfEAK","a1R4x000000BFP7","2021-07-12",,,"Maria Iglesias",,"Active",,"3031358792","Active","Canceled",,,,70
"Cash top up","001B000001Mt1y8IAB","a1R4x000000BFOxEAO","2021-04-21","a1S4x000000BdKjEAK","a1R4x000000BFOx","2021-07-12",,,"Miley Murray",,"Active",,"5922433602","Active","Canceled",,,,119270
"Buy add-ons","001B000001Mt1y8IAB","a1R4x000000BFP2EAO","2021-04-21","a1S4x000000BdKjEAK","a1R4x000000BFP2","2021-07-12",,,"Miley Murray",,"Active",,"5922433602","Active","Canceled",,,,119270
"Cash top up","001B000001Mt1y8IAB","a1R4x000000BFOtEAO","2021-04-21","a1S4x000000BdL3EAK","a1R4x000000BFOt","2021-07-12",,,"Miley Murray",,"Active",,"5922433602","Active","Canceled",,,,73
"Manage Features","001B000001Mt1y8IAB","a1R4x000000BFPCEA4","2021-04-21","a1S4x000000BdL3EAK","a1R4x000000BFPC","2021-07-12",,"00001045","Miley Murray","8014x000000dQLMAA2","Active","Activated","5922433602","Active","Successful",,,,73
"Change Personal Details","0014x00000FbQudAAF","a1R4x000000BFPDEA4","2021-04-21","a1S4x000000BdLXEA0","a1R4x000000BFPD","2021-07-12",,,,,"Active",,,,"Successful",,,,5
"Change Personal Details","0014x00000FbQudAAF","a1R4x000000BFPHEA4","2021-04-21","a1S4x000000BdLXEA0","a1R4x000000BFPH","2021-07-12",,,,,"Active",,,,"Successful",,,,5
"Cash top up","0014x00000AKhAVAA1","a1R4x000000BFSlEAO","2021-04-23","a1S4x000000BdbzEAC","a1R4x000000BFSl","2021-07-12",,,"Isabel Bozzo",,"Active",,"3031359420","Active","Failed",,,,117307
"Buy add-ons","0014x00000AKhAVAA1","a1R4x000000BFSqEAO","2021-04-23","a1S4x000000BdbzEAC","a1R4x000000BFSq","2021-07-12",,,"Isabel Bozzo",,"Active",,"3031359420","Active","Canceled",,,,117307
"Buy add-ons","0014x00000AKhAVAA1","a1R4x000000BFSrEAO","2021-04-23","a1S4x000000BdbzEAC","a1R4x000000BFSr","2021-07-12",,,,,"Active",,,,"Canceled",,,,117307
"Buy add-ons","0014x00000AKhAVAA1","a1R4x000000BFSvEAO","2021-04-23","a1S4x000000BdbzEAC","a1R4x000000BFSv","2021-07-12",,,,,"Active",,,,"Canceled",,,,117307
"Cash top up","001B000001Mt1xKIAR","a1R4x000000BFSsEAO","2021-04-23","a1S4x000000Bdc0EAC","a1R4x000000BFSs","2021-07-12",,,"William Ryan",,"Active",,"5922433592","Active","Canceled",,,,117295
"Cash top up","001B000001Mt1y8IAB","a1R4x000000BFT0EAO","2021-04-23","a1S4x000000Bdc1EAC","a1R4x000000BFT0","2021-07-12",,,"Miley Murray",,"Active",,"5922433602","Active","Canceled",,,,117290
"Buy add-ons","001B000001Mt1y8IAB","a1R4x000000BFT5EAO","2021-04-23","a1S4x000000Bdc1EAC","a1R4x000000BFT5","2021-07-12",,,"Miley Murray",,"Active",,"5922433602","Active","Canceled",,,,117290
"Manage Features","001B000001Mt1ufIAB","a1R4x000000BFTAEA4","2021-04-23","a1S4x000000BdcYEAS","a1R4x000000BFTA","2021-07-12",,"00001046","Amelia Phillips","8014x000000dRzrAAE","Active","Activated","5922433555","Active","Successful",,,,4
"Change Personal Details","0014x00000FbQqvAAF","a1R4x000000BFTFEA4","2021-04-23","a1S4x000000BdcYEAS","a1R4x000000BFTF","2021-07-12",,,,,"Active",,,,"Successful",,,,4
"Buy add-ons","001B000001Mt1vTIAR","a1R4x000000BFStEAO","2021-04-23","a1S4x000000BdcdEAC","a1R4x000000BFSt","2021-07-12",,,"Edith Taylor",,"Active",,"5922433566","Active","Canceled",,,,4
"Cash top up","001B000001Mt1vTIAR","a1R4x000000BFTKEA4","2021-04-23","a1S4x000000BdcdEAC","a1R4x000000BFTK","2021-07-12",,,"Edith Taylor",,"Active",,"5922433566","Active","Canceled",,,,4
"Cash top up","001B000001Mt1ufIAB","a1R4x000000BFTVEA4","2021-04-23","a1S4x000000BdceEAC","a1R4x000000BFTV","2021-07-12",,,"Amelia Phillips",,"Active",,"5922433555","Active","Canceled",,,,1
"Change Personal Details","0014x00000FbQs3AAF","a1R4x000000BFTMEA4","2021-04-23","a1S4x000000BdcjEAC","a1R4x000000BFTM","2021-07-12",,,,,"Active",,,,"Successful",,,,2
"Change Personal Details","0014x00000FbQs3AAF","a1R4x000000BFTUEA4","2021-04-23","a1S4x000000BdcjEAC","a1R4x000000BFTU","2021-07-12",,,,,"Active",,,,"Canceled",,,,2
"Manage Features","001B000001Mt1vsIAB","a1R4x000000BFTZEA4","2021-04-23","a1S4x000000BdcjEAC","a1R4x000000BFTZ","2021-07-12",,"00001048","Adele Bailey","8014x000000dS01AAE","Active","Activated","5922433571","Active","Successful",,,,2
"Request SIM Replacement","0014x00000FbQrPAAV","a1R4x000000BFTWEA4","2021-04-23","a1S4x000000BdckEAC","a1R4x000000BFTW","2021-07-12",,,,,"Active",,,,"Canceled",,,,3
"Change Personal Details","0014x00000FbQrPAAV","a1R4x000000BFTbEAO","2021-04-23","a1S4x000000BdckEAC","a1R4x000000BFTb","2021-07-12",,,,,"Active",,,,"Successful",,,,3
"Number change request","001B000001Mt1uzIAB","a1R4x000000BFTeEAO","2021-04-23","a1S4x000000BdckEAC","a1R4x000000BFTe","2021-07-12",,"00001050","Amy Nelson","8014x000000dS06AAE","Active","Activated","5922433560","Active","Successful",,,,3
"Number change request","001B000001Mt1uzIAB","a1R4x000000BFTjEAO","2021-04-23","a1S4x000000BdckEAC","a1R4x000000BFTj","2021-07-12",,"00001051","Amy Nelson","8014x000000dS0BAAU","Active","Activated","5922433560","Active","Successful",,,,3
"Cash top up","001B000001Mt1vsIAB","a1R4x000000BFTaEAO","2021-04-23","a1S4x000000BdcnEAC","a1R4x000000BFTa","2021-07-12",,,"Adele Bailey",,"Active",,"5922433571","Active","Canceled",,,,1
"Change Personal Details","0014x00000FbQtfAAF","a1R4x000000BFTCEA4","2021-04-23","a1S4x000000BdcsEAC","a1R4x000000BFTC","2021-07-12",,,,,"Active",,,,"Successful",,,,1
