"DataThresholdFlag","Subscription_vlocity_cmt_AccountId__c","Subscription_vlocity_cmt_ServiceAccountId__c","Subscription_Account_vlocity_cmt_Status__c","VoiceThresholdFlag","Subscription_vlocity_cmt_SuspendDate__c","Subscription_CreatedDate","Subscription_vlocity_cmt_SubscriptionNumber__c","Subscription_IsDeleted","SMSThresholdFlag","Subscription_Account_vlocity_cmt_CustomerSinceDate__c","Subscription_Account_Name","Subscription_Account_vlocity_cmt_Active__c","Subscription_vlocity_cmt_EndDate__c","Subscription_vlocity_cmt_Status__c","ActivityDate","LastProcessedDate","Subscription_vlocity_cmt_ServiceIdentifier__c","SubscriptionID","Subscription_Name","Subscription_vlocity_cmt_StartDate__c","Subscription_Id","Subscription_vlocity_cmt_ServiceContactId__c","Subscription_Account_MonthsSinceCustomer","Subscription_DaysSinceSubscription","Subscription_Account_vlocity_cmt_CLTV__c","TopupAmount","VoiceUsageInMinutes","SMSUsage","DataUsageInGB","Subscription_Account_DaysSinceCustomer","Subscription_vlocity_cmt_OldMSISDN__c"
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-d3ef59b1-76c3-4880-d5ea-e4f9f55ffb27","false","n","2016-08-12","Marie Watson","Yes",,"Inactive","2021-03-04","2021-07-12","3030214444","a4a4x000000ULTDAA4","Marie Watson",,"a4a4x000000ULTDAA4",,59,126,4200,0,26,1,0.9,1797,3035552555
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-d3ef59b1-76c3-4880-d5ea-e4f9f55ffb27","false","n","2016-08-12","Marie Watson","Yes",,"Inactive","2021-03-30","2021-07-12","3030214444","a4a4x000000ULTDAA4","Marie Watson",,"a4a4x000000ULTDAA4",,59,126,4200,0,12,2,0.9,1797,3035552555
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-d3ef59b1-76c3-4880-d5ea-e4f9f55ffb27","false","n","2016-08-12","Marie Watson","Yes",,"Inactive","2021-04-15","2021-07-12","3030214444","a4a4x000000ULTDAA4","Marie Watson",,"a4a4x000000ULTDAA4",,59,126,4200,20,12,2,0.6,1797,3035552555
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-d3ef59b1-76c3-4880-d5ea-e4f9f55ffb27","false","n","2016-08-12","Marie Watson","Yes",,"Inactive","2021-04-27","2021-07-12","3030214444","a4a4x000000ULTDAA4","Marie Watson",,"a4a4x000000ULTDAA4",,59,126,4200,0,10,0,1.4,1797,3035552555
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-d3ef59b1-76c3-4880-d5ea-e4f9f55ffb27","false","n","2016-08-12","Marie Watson","Yes",,"Inactive","2021-05-04","2021-07-12","3030214444","a4a4x000000ULTDAA4","Marie Watson",,"a4a4x000000ULTDAA4",,59,126,4200,20,10,0,1,1797,3035552555
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-01-19","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,5,18,2,0.9,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-01-21","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,0,15,1,0.5,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-02-10","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,15,15,1,1,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-03-09","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,20,13,0,0.8,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-03-12","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,0,26,1,0.5,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-03-31","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,10,12,2,0.2,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-04-14","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,0,12,2,0.6,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-04-27","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,0,10,0,1,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-05-10","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,20,10,0,1.8,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-05-21","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,20,40,3,0.8,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-06-14","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,0,21,2,0.58,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-06-24","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,10,15,1,1,1797,
"n","0014x00000Abb2sAAB","0014x00000Abb2sAAB","Active","n",,"2021-03-10","Sub-688cc54a-db14-6ced-e7f1-235cf3479f47","false","n","2016-08-12","Marie Watson","Yes",,"Active","2021-06-26","2021-07-12","3030218888","a4a4x000000ULTEAA4","Marie Watson",,"a4a4x000000ULTEAA4",,59,126,4200,0,40,8,0.85,1797,
"n","0014x00000AKffcAAD","0014x00000AKffcAAD","Active","n",,"2021-03-10","Sub-93255396-9d4e-2c37-ecf5-64ac104bf023","false","n","2016-06-04","Maria Iglesias","Yes",,"Active","2021-01-20","2021-07-12","3031358792","a4a4x000000ULvcAAG","Maria Iglesias",,"a4a4x000000ULvcAAG",,61,126,360,0,15,1,2,1866,
"n","0014x00000AKffcAAD","0014x00000AKffcAAD","Active","n",,"2021-03-10","Sub-93255396-9d4e-2c37-ecf5-64ac104bf023","false","n","2016-06-04","Maria Iglesias","Yes",,"Active","2021-02-03","2021-07-12","3031358792","a4a4x000000ULvcAAG","Maria Iglesias",,"a4a4x000000ULvcAAG",,61,126,360,10,15,1,1.5,1866,
"n","0014x00000AKffcAAD","0014x00000AKffcAAD","Active","n",,"2021-03-10","Sub-93255396-9d4e-2c37-ecf5-64ac104bf023","false","n","2016-06-04","Maria Iglesias","Yes",,"Active","2021-03-02","2021-07-12","3031358792","a4a4x000000ULvcAAG","Maria Iglesias",,"a4a4x000000ULvcAAG",,61,126,360,30,13,0,1.1,1866,
"n","0014x00000AKffcAAD","0014x00000AKffcAAD","Active","n",,"2021-03-10","Sub-93255396-9d4e-2c37-ecf5-64ac104bf023","false","n","2016-06-04","Maria Iglesias","Yes",,"Active","2021-03-04","2021-07-12","3031358792","a4a4x000000ULvcAAG","Maria Iglesias",,"a4a4x000000ULvcAAG",,61,126,360,0,26,1,0.9,1866,
"n","0014x00000AKffcAAD","0014x00000AKffcAAD","Active","n",,"2021-03-10","Sub-93255396-9d4e-2c37-ecf5-64ac104bf023","false","n","2016-06-04","Maria Iglesias","Yes",,"Active","2021-03-30","2021-07-12","3031358792","a4a4x000000ULvcAAG","Maria Iglesias",,"a4a4x000000ULvcAAG",,61,126,360,0,12,2,0.9,1866,
"n","0014x00000AKffcAAD","0014x00000AKffcAAD","Active","n",,"2021-03-10","Sub-93255396-9d4e-2c37-ecf5-64ac104bf023","false","n","2016-06-04","Maria Iglesias","Yes",,"Active","2021-04-15","2021-07-12","3031358792","a4a4x000000ULvcAAG","Maria Iglesias",,"a4a4x000000ULvcAAG",,61,126,360,20,12,2,0.6,1866,
"n","0014x00000AKffcAAD","0014x00000AKffcAAD","Active","n",,"2021-03-10","Sub-93255396-9d4e-2c37-ecf5-64ac104bf023","false","n","2016-06-04","Maria Iglesias","Yes",,"Active","2021-04-30","2021-07-12","3031358792","a4a4x000000ULvcAAG","Maria Iglesias",,"a4a4x000000ULvcAAG",,61,126,360,0,10,0,1.4,1866,
"n","0014x00000AKffcAAD","0014x00000AKffcAAD","Active","n",,"2021-03-10","Sub-93255396-9d4e-2c37-ecf5-64ac104bf023","false","n","2016-06-04","Maria Iglesias","Yes",,"Active","2021-05-08","2021-07-12","3031358792","a4a4x000000ULvcAAG","Maria Iglesias",,"a4a4x000000ULvcAAG",,61,126,360,20,10,0,1,1866,
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-01-17","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,15,7,3,0.5,289,3030241111
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-02-05","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,10,7,2,0.8,289,3030241111
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-02-27","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,10,9,2,0.3,289,3030241111
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-03-22","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,10,9,2,0.4,289,3030241111
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-03-26","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,15,8,3,0.5,289,3030241111
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-04-09","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,15,8,2,0.9,289,3030241111
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-05-13","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,10,8,2,0.4,289,3030241111
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-06-17","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,10,8,2,0.7,289,3030241111
"n","0014x00000AKpTOAA1","0014x00000AKpTOAA1","Active","n",,"2021-03-11","Sub-7e6c8174-12f2-71a6-0884-75d4ba42deff","false","n","2020-09-28","John Conner","Yes",,"Active","2021-07-02","2021-07-12","3035556555","a4a4x000000UMIBAA4","John Conner","2019-04-09 19:00:00","a4a4x000000UMIBAA4",,10,125,2300,20,7,3,0.4,289,3030241111
"n","0014x00000CkntvAAB","0014x00000CkntvAAB","Active","n",,"2021-03-20","Sub-583f4542-f95a-c3ca-0598-89faf3d444b7","false","n","2018-11-27","William Smith","Yes",,"Active","2021-03-23","2021-07-12","3031430728","a4a4x000000UZVUAA4","William Smith",,"a4a4x000000UZVUAA4",,32,116,5200,0,12,2,0.2,960,
"n","0014x00000EGX3VAAX","0014x00000EGX3VAAX","Active","n",,"2021-04-03","Sub-2c9f27e5-4e4b-2479-2511-f7666a252fdb","false","n","2020-10-24","Abigail Riley",,,"Active","2021-01-16","2021-07-12","5922433291","a4a4x000000UoutAAC","Abigail Riley",,"a4a4x000000UoutAAC",,9,102,220,20,9,11,0.7,263,
"n","0014x00000EGX3VAAX","0014x00000EGX3VAAX","Active","n",,"2021-04-03","Sub-2c9f27e5-4e4b-2479-2511-f7666a252fdb","false","n","2020-10-24","Abigail Riley",,,"Active","2021-02-06","2021-07-12","5922433291","a4a4x000000UoutAAC","Abigail Riley",,"a4a4x000000UoutAAC",,9,102,220,10,9,10,0.7,263,
"n","0014x00000EGX3VAAX","0014x00000EGX3VAAX","Active","n",,"2021-04-03","Sub-2c9f27e5-4e4b-2479-2511-f7666a252fdb","false","n","2020-10-24","Abigail Riley",,,"Active","2021-02-21","2021-07-12","5922433291","a4a4x000000UoutAAC","Abigail Riley",,"a4a4x000000UoutAAC",,9,102,220,10,8,9,0.4,263,
"n","0014x00000EGX3VAAX","0014x00000EGX3VAAX","Active","n",,"2021-04-03","Sub-2c9f27e5-4e4b-2479-2511-f7666a252fdb","false","n","2020-10-24","Abigail Riley",,,"Active","2021-03-21","2021-07-12","5922433291","a4a4x000000UoutAAC","Abigail Riley",,"a4a4x000000UoutAAC",,9,102,220,10,8,7,0.5,263,
"n","0014x00000EGX3VAAX","0014x00000EGX3VAAX","Active","n",,"2021-04-03","Sub-2c9f27e5-4e4b-2479-2511-f7666a252fdb","false","n","2020-10-24","Abigail Riley",,,"Active","2021-04-10","2021-07-12","5922433291","a4a4x000000UoutAAC","Abigail Riley",,"a4a4x000000UoutAAC",,9,102,220,10,7,7,0.5,263,
"n","0014x00000EGX3VAAX","0014x00000EGX3VAAX","Active","n",,"2021-04-03","Sub-2c9f27e5-4e4b-2479-2511-f7666a252fdb","false","n","2020-10-24","Abigail Riley",,,"Active","2021-05-01","2021-07-12","5922433291","a4a4x000000UoutAAC","Abigail Riley",,"a4a4x000000UoutAAC",,9,102,220,10,7,7,0.4,263,
"n","0014x00000EGX3VAAX","0014x00000EGX3VAAX","Active","n",,"2021-04-03","Sub-2c9f27e5-4e4b-2479-2511-f7666a252fdb","false","n","2020-10-24","Abigail Riley",,,"Active","2021-05-21","2021-07-12","5922433291","a4a4x000000UoutAAC","Abigail Riley",,"a4a4x000000UoutAAC",,9,102,220,20,12,14,1.2,263,
"n","0014x00000EGX3VAAX","0014x00000EGX3VAAX","Active","n",,"2021-04-03","Sub-2c9f27e5-4e4b-2479-2511-f7666a252fdb","false","n","2020-10-24","Abigail Riley",,,"Active","2021-06-05","2021-07-12","5922433291","a4a4x000000UoutAAC","Abigail Riley",,"a4a4x000000UoutAAC",,9,102,220,20,14,12,0.8,263,
"n","0014x00000EGX3gAAH","0014x00000EGX3gAAH","Active","n",,"2021-04-03","Sub-db7b14bb-ff2c-3b20-bd30-46e1ed636fed","false","n","2019-02-25","James West",,,"Active","2021-01-17","2021-07-12","6722433300","a4a4x000000Uov9AAC","James West","2020-10-28 19:00:00","a4a4x000000Uov9AAC",,29,102,260,15,7,3,0.5,870,
"n","0014x00000EGX3gAAH","0014x00000EGX3gAAH","Active","n",,"2021-04-03","Sub-db7b14bb-ff2c-3b20-bd30-46e1ed636fed","false","n","2019-02-25","James West",,,"Active","2021-02-05","2021-07-12","6722433300","a4a4x000000Uov9AAC","James West","2020-10-28 19:00:00","a4a4x000000Uov9AAC",,29,102,260,10,7,2,0.3,870,
"n","0014x00000EGX3gAAH","0014x00000EGX3gAAH","Active","n",,"2021-04-03","Sub-db7b14bb-ff2c-3b20-bd30-46e1ed636fed","false","n","2019-02-25","James West",,,"Active","2021-02-27","2021-07-12","6722433300","a4a4x000000Uov9AAC","James West","2020-10-28 19:00:00","a4a4x000000Uov9AAC",,29,102,260,10,9,2,0.3,870,
"n","0014x00000EGX3gAAH","0014x00000EGX3gAAH","Active","n",,"2021-04-03","Sub-db7b14bb-ff2c-3b20-bd30-46e1ed636fed","false","n","2019-02-25","James West",,,"Active","2021-03-22","2021-07-12","6722433300","a4a4x000000Uov9AAC","James West","2020-10-28 19:00:00","a4a4x000000Uov9AAC",,29,102,260,10,9,2,0.4,870,
"n","0014x00000EGX3gAAH","0014x00000EGX3gAAH","Active","n",,"2021-04-03","Sub-db7b14bb-ff2c-3b20-bd30-46e1ed636fed","false","n","2019-02-25","James West",,,"Active","2021-04-09","2021-07-12","6722433300","a4a4x000000Uov9AAC","James West","2020-10-28 19:00:00","a4a4x000000Uov9AAC",,29,102,260,15,8,2,0.2,870,
"n","0014x00000EGX3gAAH","0014x00000EGX3gAAH","Active","n",,"2021-04-03","Sub-db7b14bb-ff2c-3b20-bd30-46e1ed636fed","false","n","2019-02-25","James West",,,"Active","2021-05-13","2021-07-12","6722433300","a4a4x000000Uov9AAC","James West","2020-10-28 19:00:00","a4a4x000000Uov9AAC",,29,102,260,10,8,2,0.1,870,
"n","0014x00000EGX3gAAH","0014x00000EGX3gAAH","Active","n",,"2021-04-03","Sub-db7b14bb-ff2c-3b20-bd30-46e1ed636fed","false","n","2019-02-25","James West",,,"Active","2021-06-17","2021-07-12","6722433300","a4a4x000000Uov9AAC","James West","2020-10-28 19:00:00","a4a4x000000Uov9AAC",,29,102,260,10,8,2,0.7,870,
"n","0014x00000EGX3gAAH","0014x00000EGX3gAAH","Active","n",,"2021-04-03","Sub-db7b14bb-ff2c-3b20-bd30-46e1ed636fed","false","n","2019-02-25","James West",,,"Active","2021-07-02","2021-07-12","6722433300","a4a4x000000Uov9AAC","James West","2020-10-28 19:00:00","a4a4x000000Uov9AAC",,29,102,260,20,7,3,0.4,870,
"n","0014x00000EGX6ZAAX","0014x00000EGX6ZAAX","Active","n",,"2021-04-03","Sub-f49cd0f0-a478-74c5-6680-3d1264112045","false","n","2019-12-11","Dominik Harris",,,"Active","2021-01-21","2021-07-12","6922433299","a4a4x000000Uoy2AAC","Dominik Harris",,"a4a4x000000Uoy2AAC",,19,102,2300,25,34,15,1.4,581,
"n","0014x00000EGX6ZAAX","0014x00000EGX6ZAAX","Active","n",,"2021-04-03","Sub-f49cd0f0-a478-74c5-6680-3d1264112045","false","n","2019-12-11","Dominik Harris",,,"Active","2021-02-05","2021-07-12","6922433299","a4a4x000000Uoy2AAC","Dominik Harris",,"a4a4x000000Uoy2AAC",,19,102,2300,30,54,15,1.7,581,
"n","0014x00000EGX6ZAAX","0014x00000EGX6ZAAX","Active","n",,"2021-04-03","Sub-f49cd0f0-a478-74c5-6680-3d1264112045","false","n","2019-12-11","Dominik Harris",,,"Active","2021-03-04","2021-07-12","6922433299","a4a4x000000Uoy2AAC","Dominik Harris",,"a4a4x000000Uoy2AAC",,19,102,2300,25,27,15,1.8,581,
"n","0014x00000EGX6ZAAX","0014x00000EGX6ZAAX","Active","n",,"2021-04-03","Sub-f49cd0f0-a478-74c5-6680-3d1264112045","false","n","2019-12-11","Dominik Harris",,,"Active","2021-03-19","2021-07-12","6922433299","a4a4x000000Uoy2AAC","Dominik Harris",,"a4a4x000000Uoy2AAC",,19,102,2300,35,54,15,2,581,
