"Status","AccountCustomerSinceDate","AccountId","CreatedDate","LastProcessedDate","ServiceIdentifier","AccountName","TopUpAndUsage_CLTV","CLTV","Account_LastOrder_ActivationDuration_InSeconds","Subscription_LastOrder_Order_ActivationDuration_InSeconds","MonthsSinceCustomer"
"Active",,,"2021-06-08","2021-07-14","5922433301",,0,0,0,2852,0
"Active","2020-08-11","0014x00000EGX4xAAH","2021-06-08","2021-07-14","6499912304","Miranda Payne",0,800,4611,4611,13
"Active","2020-06-11","0014x00000EGX52AAH","2021-06-08","2021-07-14","6491232004","Honey Chapman",0,360,1538488,1538488,15
"Active",,,"2021-06-08","2021-07-14","6412390968",,0,0,0,0,0
"Active","2020-10-15","0014x00000EGX5CAAX","2021-06-08","2021-07-14","6412390968","Andrew Hunt",0,1.8,1464,1464,11
"Active",,,"2021-06-08","2021-07-14","6922433291",,0,0,0,0,0
"Active","2020-05-29","0014x00000EGX5MAAX","2021-06-08","2021-07-14","6922433291","Lydia Baker",0,320,3967,3967,16
"Active",,,"2021-06-08","2021-07-14","6922433292",,0,0,0,0,0
"Active","2020-07-07","0014x00000EGX5WAAX","2021-06-08","2021-07-14","6922433292","Stella Kelley",0,1.3,7363,7363,14
"Active","2020-05-28","0014x00000EGX5bAAH","2021-06-08","2021-07-14","6922433293","Victor Jones",0,460,7670,7670,16
"Active",,,"2021-06-08","2021-07-14","6922433294",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","6922433294",,0,0,0,0,0
"Active","2016-09-13","0014x00000EGWiKAAX","2021-06-08","2021-07-14","6922433296","Oliver Sullivan",0,840,5060,5060,60
"Active","2019-02-25","0014x00000EGX5lAAH","2021-06-08","2021-07-14","6922433295","Olivia Grant",0,760,4884,4884,31
"Active",,,"2021-06-08","2021-07-14","6922433295",,0,0,0,0,0
"Active","2019-07-21","0014x00000EGX5rAAH","2021-06-08","2021-07-14","5722433298","Alberta Williams",0,1.82,36,36,26
"Active",,,"2021-06-08","2021-07-14","6922433296",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","6922433297",,0,0,0,0,0
"Active","2016-11-07","0014x00000EGX6AAAX","2021-06-08","2021-07-14","6922433297","Paul Phillips",0,1.9,4931,4931,58
"Active",,,"2021-06-08","2021-07-14","6922433298",,0,0,0,0,0
"Active","2020-12-18","0014x00000EGX6KAAX","2021-06-08","2021-07-14","6922433298","Dominik Cameron",0,250,3171,3171,9
"Active",,,"2021-06-08","2021-07-14","6922433299",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5722433300",,0,0,0,0,0
"Active","2020-02-15","0014x00000EGX6ZAAX","2021-06-08","2021-07-14","6922433299","Dominik Harris",520,2.3,3225,3225,19
"Active","2019-01-20","0014x00000EGX6eAAH","2021-06-08","2021-07-14","6922433300","Frederick Richards",0,1.9,1538395,1538395,32
"Active",,,"2021-06-08","2021-07-14","5722433301",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","6922433300",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","6922433301",,0,0,0,0,0
"Active","2016-11-15","0014x00000EGX6tAAH","2021-06-08","2021-07-14","6922433301","Michael Hawkins",0,830,1538350,1538350,58
"Active",,,"2021-06-08","2021-07-14","6722433298",,0,0,0,0,0
"Active","2020-09-18","0014x00000EGX73AAH","2021-06-08","2021-07-14","6722433298","Walter Perry",0,280,7713,7713,12
"Active","2019-10-10","0014x00000EGX78AAH","2021-06-08","2021-07-14","6722433299","Eric Montgomery",0,1.44,1538315,1538315,23
"Active",,,"2021-06-08","2021-07-14","6722433299",,0,0,0,0,0
"Active","2020-08-11","0014x00000EGX7IAAX","2021-06-08","2021-07-14","6722433301","Robert Elliott",0,260,1538291,1538291,13
"Active",,,"2021-06-08","2021-07-14","6722433301",,0,0,0,0,0
"Active","2018-04-11","0014x00000EGX7OAAX","2021-06-08","2021-07-14","5722433297","Adelaide Miller",0,800,949,949,41
"Active","2018-05-06","0014x00000EGX7SAAX","2021-06-08","2021-07-14","5722433296","Eric Moore",0,800,3473,3473,40
"Active",,,"2021-06-08","2021-07-14","5722433296",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5722433297",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5722433298",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5722433299",,0,0,0,0,0
"Active","2017-08-08","0014x00000EGX7hAAH","2021-06-08","2021-07-14","3043485071","Arnold Carter",0,2.1,18,18,49
"Active","2018-06-22","0014x00000EGX7rAAH","2021-06-08","2021-07-14","5722433300","Andrew Wilson",0,2.1,1538332,1538332,39
"Active","2020-11-26","0014x00000EGX7wAAH","2021-06-08","2021-07-14","5722433301","Adrian Farrell",0,840,1051,1051,10
"Active",,,"2020-10-05","2021-07-14","6799912304",,0,0,0,0,0
"Active","2018-06-11","001B000001MtuWiIAJ","2020-10-05","2021-07-14","6799912304","Carlos Foster",430,1.44,51,51,39
"Active",,,"2021-06-08","2021-07-14","6791232004",,0,0,0,4590,0
"Active",,,"2021-06-08","2021-07-14","6791232004",,0,0,0,0,0
"Active","2016-06-27","0014x00000EGX8LAAX","2021-06-08","2021-07-14","6712390968","Thomas Phillips",0,480,7671,7671,63
"Active","2018-05-31","0014x00000EGX8QAAX","2021-06-08","2021-07-14","6722433291","Eddy Baker",0,2.1,1538495,1538495,40
"Active",,,"2021-06-08","2021-07-14","6722433291",,0,0,0,0,0
"Active","2020-11-28","0014x00000EGX8aAAH","2021-06-08","2021-07-14","6722433292","Kellan Mason",0,220,3752,3752,10
"Active",,,"2021-06-08","2021-07-14","6722433292",,0,0,0,0,0
"Active",,,"2021-06-26","2021-07-14","8000000001",,0,0,0,0,0
"Active",,,"2021-06-26","2021-07-14","8000000001",,0,0,0,0,0
"Active",,,"2021-06-26","2021-07-14","8000000002",,0,0,0,0,0
"Active",,,"2021-06-26","2021-07-14","8000000003",,0,0,0,0,0
"Active",,,"2021-06-26","2021-07-14","8000000004",,0,0,0,0,0
"Active",,,"2021-06-26","2021-07-14","8000000005",,0,0,0,0,0
"Active",,,"2021-06-26","2021-07-14","8000000006",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","8000000007",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","8000000008",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","8000000009",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561500",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561501",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561596",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561597",,0,0,0,0,0
"Active","2019-03-19","0014x00000FbPRaAAN","2021-06-27","2021-07-14","4499912311","Ray Wit",0,360,0,0,30
"Active","2021-03-09","0014x00000FbPRfAAN","2021-06-27","2021-07-14","4491232022","Sun Man",0,830,0,0,6
"Active","2016-05-17","0014x00000FbPRkAAN","2021-06-27","2021-07-14","6412390933","Black Don",0,830,0,0,64
"Active",,,"2021-06-27","2021-07-14","9829999992",,0,0,0,0,0
"Active","2020-10-13","001B000001Mt1vJIAR","2021-06-27","2021-07-14","5922433564","Preston Bailey",0,320,16,16,11
"Active",,,"2021-06-27","2021-07-14","7894561562",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561563",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561564",,0,0,0,0,0
"Active","2016-04-30","001B000001Mt1vdIAB","2021-06-27","2021-07-14","5922433568","Emma Harrison",0,220,19,19,65
"Active",,,"2021-06-27","2021-07-14","7894561565",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561566",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561567",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561568",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561569",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561570",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561571",,0,0,0,0,0
"Active",,,"2021-06-27","2021-07-14","7894561572",,0,0,0,0,0
"Active","2018-05-13","001B000001Mt1wCIAR","2021-06-27","2021-07-14","5922433576","Luke Nelson",0,1.9,16,16,40
"Active",,,"2021-06-27","2021-07-14","7894561573",,0,0,0,0,0
"Active","2017-01-08","001B000001Mt1uHIAR","2021-06-27","2021-07-14","5922433550","Kevin Fowler",0,800,17,17,56
"Active","2020-02-29","001B000001Mt1uIIAR","2021-06-27","2021-07-14","5922433551","Lana Chapman",0,1.82,17,17,19
"Active","2019-05-16","001B000001Mt1wgIAB","2021-06-27","2021-07-14","5922433586","Sophia Parker",0,2.3,38,38,28
"Active","2016-05-05","001B000001Mt1uVIAR","2021-06-27","2021-07-14","5922433552","Maximilian Miller",0,2.1,10,10,64
"Active","2016-08-15","001B000001Mt1pbIAB","2021-06-27","2021-07-14","5922433553","Alexia Gibson",0,1.9,25,25,61
"Active","2021-03-11","001B000001Mt1uaIAB","2021-01-07","2021-07-14","5922433554","Elian Crawford",140,830,8,8,6
"Active","2017-10-16","001B000001Mt1ufIAB","2021-06-27","2021-07-14","5922433555","Amelia Phillips",0,760,34,34,47
"Active","2016-07-30","001B000001Mt1ukIAB","2021-06-27","2021-07-14","5922433556","Max Stewart",0,420,48,48,62
"Active","2020-07-04","001B000001Mt1upIAB","2021-06-27","2021-07-14","5922433557","Justin Edwards",0,830,18,18,14
"Active","2016-10-01","001B000001Mt1uuIAB","2021-06-27","2021-07-14","5922433558","Lily Mitchell",0,760,25,25,60
"Active","2020-12-05","001B000001Mt1ulIAB","2021-06-27","2021-07-14","5922433559","Nicole Dixon",0,340,19,19,9
"Active","2021-03-21","001B000001Mt1uzIAB","2021-01-11","2021-07-14","5922433560","Amy Nelson",170,260,7,7,6
"Active","2020-12-31","001B000001Mt1v4IAB","2021-06-27","2021-07-14","5922433561","Preston Cameron",0,730,23,23,9
"Active","2016-12-21","001B000001Mt1v9IAB","2021-06-27","2021-07-14","5922433562","Maya Riley",0,2.1,17,17,57
"Active","2020-04-29","001B000001Mt1vEIAR","2021-06-27","2021-07-14","5922433563","Grace Turner",0,730,46,46,17
"Active","2017-08-18","001B000001Mt1vOIAR","2021-06-27","2021-07-14","5922433565","Edgar Armstrong",0,1.3,8,8,49
"Active","2016-09-12","001B000001Mt1vTIAR","2021-06-27","2021-07-14","5922433566","Edith Taylor",0,2.1,17,17,60
"Active","2019-06-20","001B000001Mt1vYIAR","2021-06-27","2021-07-14","5922433567","Bruce Barrett",0,220,34,34,27
"Active","2017-12-27","001B000001Mt1viIAB","2021-06-27","2021-07-14","5922433569","Violet Alexander",0,800,17,17,45
"Active","2018-08-19","001B000001Mt1vnIAB","2021-06-27","2021-07-14","5922433570","Brooke Richards",0,480,17,17,37
"Active","2020-03-20","001B000001Mt1vsIAB","2021-06-27","2021-07-14","5922433571","Adele Bailey",0,2.1,13,13,18
"Active","2018-04-09","001B000001Mt1vxIAB","2021-06-27","2021-07-14","5922433572","Brianna Scott",0,600,31,31,41
"Active","2021-05-07","001B000001Mt1w2IAB","2021-06-27","2021-07-14","5922433573","Albert Murray",120,760,9,9,4
"Active","2020-04-12","001B000001Mt1w3IAB","2021-06-27","2021-07-14","5922433574","Anna Warren",0,1.3,19,19,17
"Active","2019-11-14","001B000001Mt1w7IAB","2021-06-27","2021-07-14","5922433575","Freddie Mitchell",0,760,51,51,22
"Active","2017-02-01","001B000001Mt1myIAB","2021-06-27","2021-07-14","5922433577","Fenton Wilson",0,1.82,18,18,56
"Active","2020-12-14","001B000001Mt1u7IAB","2021-06-27","2021-07-14","5922433578","Eric Morgan",255,175,38,38,9
"Active","2017-04-13","001B000001Mt1wHIAR","2021-06-27","2021-07-14","5922433579","Emma Craig",0,480,47,47,53
"Active","2020-10-28","001B000001Mt1wDIAR","2021-06-27","2021-07-14","5922433580","Julia Morris",0,2.1,46,46,11
"Active","2017-01-22","001B000001Mt1wMIAR","2021-06-27","2021-07-14","5922433581","Fenton Taylor",0,840,22,22,56
"Active","2020-11-14","001B000001Mt1wRIAR","2021-06-27","2021-07-14","5922433582","Alissa Dixon",260,730,6,6,10
"Active","2019-06-20","001B000001Mt1wNIAR","2021-06-27","2021-07-14","5922433583","Daisy Rogers",0,1.9,20,20,27
"Active","2017-12-19","001B000001Mt1wWIAR","2021-06-27","2021-07-14","5922433584","Rebecca Warren",0,760,19,19,45
"Active","2020-06-16","001B000001Mt1wbIAB","2021-06-27","2021-07-14","5922433585","Ada Campbell",0,1.44,19,19,15
"Active","2017-08-14","001B000001Mt1wlIAB","2021-06-27","2021-07-14","5922433587","Emily Dixon",0,600,16,16,49
"Active","2020-02-28","001B000001Mt1wqIAB","2021-06-27","2021-07-14","5922433588","Maddie Payne",0,730,19,19,19
"Active","2020-03-20","001B000001Mt1wvIAB","2021-06-27","2021-07-14","5922433589","Deanna Miller",0,360,24,24,18
"Active","2017-04-21","001B000001Mt1x0IAB","2021-06-27","2021-07-14","5922433590","Spike Kelly",0,2.1,19,19,53
"Active","2019-04-20","001B000001Mt1x5IAB","2021-06-27","2021-07-14","5922433591","Mary Morrison",0,2.3,19,19,29
"Active","2020-10-20","001B000001Mt1xKIAR","2021-06-27","2021-07-14","5922433592","William Ryan",0,870,25,25,11
"Active","2019-11-12","001B000001Mt1xPIAR","2021-06-27","2021-07-14","5922433593","Gianna Holmes",0,320,17,17,22
"Active","2017-04-09","001B000001Mt1xZIAR","2021-06-27","2021-07-14","5922433594","William Mason",0,430,29,29,53
"Active","2019-07-22","001B000001Mt1xeIAB","2021-06-27","2021-07-14","5922433595","Vivian Howard",0,320,16,16,26
"Active","2020-08-13","001B000001Mt1xjIAB","2021-06-27","2021-07-14","5922433596","Kate Morrison",0,600,16,16,13
"Active","2019-08-30","001B000001Mt1xoIAB","2021-06-27","2021-07-14","5922433597","Tess Gray",0,600,18,18,25
"Active","2018-09-20","001B000001Mt1xtIAB","2021-06-27","2021-07-14","5922433598","Deanna Spencer",0,760,17,17,36
"Active","2019-07-19","001B000001Mt1xyIAB","2021-06-27","2021-07-14","5922433599","Daryl Taylor",0,730,19,19,26
"Active","2019-07-30","001B000001Mt1y3IAB","2021-06-27","2021-07-14","5922433600","Kate Roberts",0,480,17,17,26
"Active","2018-08-02","001B000001Mt1xuIAB","2021-06-27","2021-07-14","5922433601","Clark Barrett",385,1.82,19,19,38
"Active","2017-06-02","001B000001Mt1y8IAB","2021-06-27","2021-07-14","5922433602","Miley Murray",0,480,9,9,52
"Pending","2021-02-04","0014x00000FcIkFAAV","2021-07-02","2021-07-14","3042075416","Andrew  Raineri",0,2.7,0,0,7
"Pending","2021-02-04","0014x00000FcIkFAAV","2021-07-02","2021-07-14","3042076893","Andrew  Raineri",0,2.7,0,0,7
"Pending","2021-02-04","0014x00000FcIkFAAV","2021-07-02","2021-07-14","3042078146","Andrew  Raineri",0,2.7,0,0,7
"Pending","2021-02-04","0014x00000FcIkFAAV","2021-07-02","2021-07-14","3042083596","Andrew  Raineri",0,2.7,0,0,7
