"Type","AgeBucket","FirstName","State","Channel","Stage","Gender","LastName","ChannelOrder","AgeBucketOrder","StageOrder","Age"
"Detractor","18-25","Noreen","Oklahoma","App","Claims","Male","Ferrierio",2,2,3,29
"Promoter","36-50","Crosby","North Dakota","App","Claims","Female","Stollard",2,4,3,24
"Passive","26-35","Gris","Illinois","Call Center","Acquisition","Male","Kinchington",3,3,1,58
"Promoter","26-35","Gray","California","Website","Onboarding","NA","Hooks",1,3,2,15
"Detractor","18-25","Lyon","Arizona","App","Renewal","Female","Kunath",2,2,5,18
"Detractor","36-50","Malanie","Florida","Website","Claims","NA","Cowl",1,4,3,38
"Passive","18-25","Cathryn","Alaska","Website","Routine Services","Male","Seebert",1,2,4,33
"Promoter","0-17","Ellene","Minnesota","App","Acquisition","Female","Climpson",2,1,1,23
"Passive","18-25","Lorianna","Oregon","Website","Renewal","NA","Burland",1,2,5,44
"Detractor","26-35","Orin","Ohio","Call Center","Routine Services","Male","Cyster",3,3,4,39
"Promoter","26-35","Hortense","Missouri","Call Center","Renewal","Female","Liversley",3,3,5,20
"Passive","NA","Corey","Tennessee","Chat","Onboarding","NA","Lecordier",5,5,2,73
"Detractor","36-50","Demetris","Louisiana","App","Claims","Male","Woodroffe",2,4,3,67
"Detractor","18-25","Esteban","Arizona","Call Center","Claims","Female","Meaddowcroft",3,2,3,32
"Promoter","26-35","Cosetta","Georgia","Website","Renewal","Male","Hassur",1,3,5,24
"Passive","36-50","Travus","Virginia","Store","Onboarding","NA","Reynish",4,4,2,22
"Detractor","0-17","Gabriela","Alabama","Website","Routine Services","Female","McGannon",1,1,4,42
"Promoter","26-35","Charleen","Indiana","App","Acquisition","NA","Fetherstone",2,3,1,57
"Passive","36-50","Chevy","Colorado","Chat","Renewal","Male","O'Dowgaine",5,4,5,36
"Detractor","26-35","Arly","Nevada","App","Acquisition","Female","Conrath",2,3,1,10
"Promoter","18-25","Christophorus","Oklahoma","Website","Onboarding","Male","McLemon",1,2,2,50
"Passive","18-25","Cobbie","Massachusetts","Email","Claims","NA","Lisciardelli",6,2,3,32
"Detractor","36-50","Alyson","Michigan","App","Claims","Female","Shawley",2,4,3,46
"Detractor","26-35","Wanda","Delaware","Call Center","Routine Services","NA","Haslewood",3,3,4,33
"Promoter","18-25","Brynna","Georgia","Call Center","Renewal","Male","Doidge",3,2,5,32
"Passive","26-35","Aridatha","Washington","App","Onboarding","Female","Lumm",2,3,2,20
"Detractor","NA","Otha","Kentucky","Call Center","Claims","NA","Shuard",3,5,3,45
"Promoter","0-17","Immanuel","North Carolina","Website","Acquisition","Male","Borrie",1,1,1,38
"Detractor","36-50","Naoma","Washington","Call Center","Claims","Female","Kelleher",3,4,3,21
"Passive","18-25","Angy","Virginia","Chat","Renewal","Male","Rothman",5,2,5,26
"Promoter","26-35","Bonnee","District of Columbia","App","Routine Services","NA","Storr",2,3,4,59
"Detractor","18-25","Kerby","California","Website","Onboarding","Female","Swatten",1,2,2,29
"Passive","36-50","Lorrayne","Colorado","Website","Claims","Male","Tussaine",1,4,3,52
"Promoter","18-25","Fields","California","App","Acquisition","NA","Canton",2,2,1,48
"Detractor","26-35","Taryn","New York","Call Center","Renewal","Female","Cakebread",3,3,5,30
"Passive","36-50","Danita","Wisconsin","Store","Claims","NA","Helsby",4,4,3,27
"Detractor","18-25","Tammy","Texas","Chat","Renewal","Male","Robbert",5,2,5,35
"Promoter","0-17","Sascha","Illinois","App","Routine Services","Female","Vose",2,1,4,37
"Passive","NA","Monica","Iowa","Website","Acquisition","NA","Cantero",1,5,1,28
"Detractor","36-50","Reine","Connecticut","Call Center","Claims","Male","Hanbridge",3,4,3,22
"Promoter","26-35","Boone","Arizona","Call Center","Onboarding","Female","Shipman",3,3,2,75
"Detractor","26-35","Harbert","Pennsylvania","Email","Renewal","Male","Criag",6,3,5,36
"Passive","18-25","Clayborne","New York","App","Onboarding","NA","Matschuk",2,2,2,49
"Passive","26-35","Germana","Texas","Call Center","Routine Services","Female","Soonhouse",3,3,4,20
"Detractor","36-50","Wanids","Texas","App","Renewal","Male","Eisikowitz",2,4,5,39
"Promoter","18-25","Windham","California","Website","Acquisition","NA","Darke",1,2,1,33
"Promoter","18-25","Lettie","Colorado","Call Center","Claims","Female","Ferron",3,2,3,12
"Detractor","0-17","Goddart","North Carolina","Chat","Claims","NA","Thuillier",5,1,3,41
"Passive","36-50","Oralia","Texas","App","Onboarding","Male","Schohier",2,4,2,23
"Detractor","18-25","Clair","Nevada","Website","Claims","Female","Bleibaum",1,2,3,26
"Passive","26-35","Wilie","Texas","Website","Renewal","NA","Bettlestone",1,3,5,10
"Promoter","NA","Cedric","District of Columbia","Call Center","Acquisition","Male","Ducker",3,5,1,34
"Detractor","36-50","Alessandro","New York","Website","Routine Services","Female","Dobey",1,4,4,40
"Passive","18-25","Alyson","South Carolina","App","Claims","Male","Cissen",2,2,3,25
"Promoter","26-35","Angy","Florida","Chat","Onboarding","NA","Cyster",5,3,2,24
"Detractor","26-35","Gale","California","App","Acquisition","Female","Adao",2,3,1,27
"Passive","36-50","Kennan","New York","Website","Routine Services","Male","Cronchey",1,4,4,19
"Detractor","26-35","Rubetta","Florida","Email","Renewal","NA","Hooks",6,3,5,49
"Promoter","0-17","Sammy","Minnesota","Store","Renewal","Female","Fasham",4,1,5,33
"Passive","26-35","Taryn","Maryland","Call Center","Onboarding","NA","Rothman",3,3,2,76
"Promoter","18-25","Gabi","Florida","App","Claims","Male","Storr",2,2,3,35
"Detractor","26-35","Tammy","California","Call Center","Claims","Female","Block",3,3,3,44
"Detractor","36-50","Cathleen","Indiana","Call Center","Acquisition","NA","Asche",3,4,1,43
"Passive","18-25","Jillene","New York","App","Renewal","Male","Pearle",2,2,5,31
"Promoter","18-25","Gale","Missouri","App","Onboarding","Female","Allaway",2,2,2,47
"Detractor","NA","Cedric","Ohio","Website","Routine Services","NA","Coldridge",1,5,4,28
"Promoter","18-25","Oralia","Illinois","Website","Renewal","Male","Helsby",1,2,5,29
"Passive","26-35","Charleen","Florida","Call Center","Claims","Female","Hassur",3,3,3,42
"Detractor","0-17","Alvina","Ohio","Chat","Claims","Male","Riolfi",5,1,3,10
"Passive","36-50","Harbert","Ohio","Website","Acquisition","NA","Cantero",1,4,1,22
"Promoter","26-35","Taryn","Ohio","Call Center","Onboarding","Female","Riolfi",3,3,2,24
"Detractor","18-25","Noreen","Oregon","App","Renewal","Male","Chatwin",2,2,5,11
"Passive","26-35","Lyon","Alabama","App","Claims","NA","Allaway",2,3,3,10
"Promoter","18-25","Onfroi","Florida","Website","Routine Services","Female","Allaway",1,2,4,25
"Detractor","36-50","Monica","Colorado","Chat","Claims","Male","Ferron",5,4,3,29
"Detractor","26-35","Charleen","Louisiana","App","Acquisition","NA","Storr",2,3,1,20
"Passive","36-50","Esteban","Georgia","Store","Renewal","Female","Cronchey",4,4,5,10
"Promoter","18-25","Sascha","California","Call Center","Claims","NA","Haslewood",3,2,3,15
"Detractor","26-35","Roberto","California","Website","Routine Services","Male","Matschuk",1,3,4,46
"Passive","0-17","Clayborne","Tennessee","App","Onboarding","Female","Benz",2,1,2,33
"Detractor","36-50","Crosby","Texas","Website","Acquisition","NA","Robbert",1,4,1,43
"Promoter","NA","Esteban","West Virginia","Call Center","Renewal","Male","Sargant",3,5,5,34
"Passive","18-25","Malanie","New Jersey","Email","Onboarding","Female","Rehme",6,2,2,26
"Detractor","26-35","Boone","Pennsylvania","App","Renewal","Male","Pickover",2,3,5,32
"Promoter","18-25","Malanie","Florida","Chat","Routine Services","NA","Soonhouse",5,2,4,47
"Passive","36-50","Kerby","Kentucky","Call Center","Claims","Female","Raynard",3,4,3,62
"Detractor","36-50","Chevy","North Carolina","App","Claims","NA","Lumm",2,4,3,27
"Promoter","18-25","Wanids","California","Call Center","Acquisition","Male","Mingaud",3,2,1,30
"Passive","26-35","Hortense","Massachusetts","Website","Renewal","Female","Dayce",1,3,5,31
"Detractor","0-17","Jereme","Oklahoma","Call Center","Onboarding","Male","Robbert",3,1,2,23
"Promoter","18-25","Ernestus","Utah","Website","Acquisition","NA","Helsby",1,2,1,23
"Detractor","36-50","Bonnee","California","Chat","Routine Services","Female","Naisbet",5,4,4,45
"Passive","26-35","Chevy","Arizona","Call Center","Onboarding","NA","McLemon",3,3,2,28
"Detractor","NA","Gale","Washington","App","Claims","Male","Aldcorne",2,5,3,25
"Promoter","26-35","Aridatha","New York","App","Renewal","Female","Naisbet",2,3,5,31
"Passive","18-25","Eachelle","Kansas","Call Center","Claims","NA","Soonhouse",3,2,3,25
"Promoter","26-35","Hortense","California","App","Acquisition","Male","Ledley",2,3,1,42
"Detractor","26-35","Connie","Georgia","Store","Onboarding","Female","Brantl",4,3,2,19
"Detractor","36-50","Monica","Florida","Call Center","Renewal","NA","Hassur",3,4,5,35
"Passive","0-17","Wanda","Michigan","Website","Claims","Male","Vose",1,1,3,26
"Promoter","26-35","Clayborne","Illinois","Email","Claims","Female","Hassur",6,3,3,29
"Passive","36-50","Chevy","Florida","Chat","Renewal","NA","Benz",5,4,5,49
"Detractor","18-25","Clair","Michigan","Call Center","Routine Services","Male","McIlherran",3,2,4,33
"Detractor","36-50","Cedric","Virginia","App","Onboarding","Female","Ramelet",2,4,2,30
"Promoter","26-35","Clair","California","Website","Acquisition","NA","Reynish",1,3,1,25
"Passive","18-25","Alford","Ohio","App","Claims","Male","McIlherran",2,2,3,49
"Detractor","18-25","Alford","Florida","Call Center","Routine Services","Female","Hooks",3,2,4,21
"Promoter","26-35","Otha","Nebraska","Website","Renewal","Male","Benz",1,3,5,20
"Passive","18-25","Sammy","Virginia","Website","Onboarding","NA","Dayce",1,2,2,25
"Detractor","NA","Lorianna","Louisiana","Website","Claims","Female","Ramelet",1,5,3,35
"Promoter","0-17","Gabi","Texas","Call Center","Claims","Male","Royce",3,1,3,31
"Detractor","26-35","Ernestus","California","App","Routine Services","NA","Cowl",2,3,4,10
"Passive","36-50","Boone","Florida","App","Acquisition","Female","Hassur",2,4,1,36
"Promoter","18-25","Wells","Alabama","Website","Renewal","NA","Woodroffe",1,2,5,24
"Passive","18-25","Chevy","Wisconsin","Call Center","Claims","Male","Mingaud",3,2,3,50
"Detractor","36-50","Orin","Connecticut","App","Renewal","Female","Lecordier",2,4,5,40
"Promoter","36-50","Immanuel","Indiana","Chat","Acquisition","NA","Ramelet",5,4,1,44
"Passive","26-35","Ky","Florida","Website","Claims","Male","Lehon",1,3,3,39
"Detractor","26-35","Gabi","Tennessee","Call Center","Routine Services","Female","Kelleher",3,3,4,22
"Detractor","18-25","Cathryn","New York","Chat","Renewal","Male","Allaway",5,2,5,14
"Passive","0-17","Roxi","Arizona","Store","Onboarding","NA","Sevitt",4,1,2,21
"Promoter","26-35","Celka","Missouri","Call Center","Onboarding","Female","McLemon",3,3,2,19
"Detractor","NA","Cosetta","Virginia","Email","Claims","NA","Block",6,5,3,10
"Passive","36-50","Clair","Washington","App","Acquisition","Male","Seebert",2,4,1,18
"Promoter","26-35","Jillene","Colorado","App","Renewal","Female","Storr",2,3,5,32
"Detractor","36-50","Clayborne","Florida","Website","Claims","Male","McIlherran",1,4,3,30
"Promoter","18-25","Harbert","Texas","Call Center","Onboarding","NA","Lecordier",3,2,2,45
"Detractor","18-25","Cobbie","California","App","Acquisition","Female","Matschuk",2,2,1,34
"Passive","18-25","Trumaine","Mississippi","Call Center","Claims","Male","Meaddowcroft",3,2,3,21
"Promoter","36-50","Rubetta","Texas","Website","Routine Services","NA","Lisciardelli",1,4,4,13
"Passive","0-17","Lorrayne","Nevada","Website","Renewal","Female","Royce",1,1,5,31
"Detractor","26-35","Wanids","Ohio","App","Onboarding","NA","Stollard",2,3,2,23
"Detractor","18-25","Rubetta","Minnesota","Call Center","Routine Services","Male","Naisbet",3,2,4,20
"Passive","26-35","Mercie","Pennsylvania","App","Renewal","Female","Nerney",2,3,5,10
"Promoter","26-35","Travus","District of Columbia","Chat","Claims","Male","Dobey",5,3,3,29
"Detractor","36-50","Alessandro","Illinois","Website","Renewal","NA","Bleibaum",1,4,5,22
"Promoter","18-25","Elke","New York","Call Center","Claims","Female","McLemon",3,2,3,32
"Detractor","26-35","Cass","Florida","Chat","Onboarding","NA","Klicher",5,3,2,20
"Passive","NA","Goddart","Iowa","Store","Acquisition","Male","Shawley",4,5,1,24
"Passive","36-50","Wanids","District of Columbia","App","Renewal","Female","Haslewood",2,4,5,50
"Promoter","18-25","Jillene","Pennsylvania","Call Center","Claims","NA","Worgen",3,2,3,10
"Detractor","26-35","Lorrayne","California","App","Acquisition","Male","Robbert",2,3,1,22
"Detractor","36-50","Cobbie","South Carolina","Email","Onboarding","Female","Doidge",6,4,2,48
"Promoter","26-35","Wanda","Kansas","Website","Claims","Male","Block",1,3,3,47
"Passive","18-25","Otha","Oklahoma","Website","Renewal","NA","Aldcorne",1,2,5,30
"Detractor","18-25","Welby","District of Columbia","Call Center","Routine Services","Female","Lisciardelli",3,2,4,37
"Passive","36-50","Ky","Georgia","App","Acquisition","NA","Seebert",2,4,1,23
"Detractor","0-17","Gray","Texas","App","Onboarding","Male","Ledley",2,1,2,21
"Promoter","26-35","Lorrayne","Florida","Website","Renewal","Female","Tussaine",1,3,5,41
"Passive","26-35","Danita","California","Chat","Routine Services","NA","Nerney",5,3,4,27
"Detractor","18-25","Gale","Delaware","App","Claims","Male","Canton",2,2,3,35
"Promoter","36-50","Sascha","Colorado","Website","Claims","Female","Hooks",1,4,3,10
"Passive","NA","Amelina","Virginia","Call Center","Renewal","Male","Fasham",3,5,5,37
"Detractor","18-25","Wells","New Mexico","Call Center","Acquisition","NA","Asche",3,2,1,46
"Promoter","0-17","Werner","Massachusetts","Website","Claims","Female","Canton",1,1,3,49
"Detractor","26-35","Gabriela","Idaho","App","Routine Services","NA","Kelleher",2,3,4,38
"Promoter","36-50","Naoma","Maryland","Call Center","Acquisition","Male","Paddington",3,4,1,18
"Passive","26-35","Gris","Texas","Chat","Onboarding","Female","Borrie",5,3,2,28
"Detractor","18-25","Martguerita","Minnesota","Store","Renewal","Male","Lisciardelli",4,2,5,30
"Promoter","18-25","Oralia","Florida","App","Routine Services","NA","Meaddowcroft",2,2,4,26
"Detractor","26-35","Elsey","Michigan","Call Center","Claims","Female","Seebert",3,3,3,12
"Passive","36-50","Otha","Indiana","Email","Onboarding","NA","Cummins",6,4,2,10
"Passive","18-25","Danita","Alabama","Call Center","Renewal","Male","Seebert",3,2,5,20
"Promoter","NA","Chevy","New Jersey","App","Acquisition","Female","Eisikowitz",2,5,1,10
"Detractor","26-35","Farlay","Arizona","Website","Onboarding","NA","Bleibaum",1,3,2,31
"Detractor","0-17","Reine","Hawaii","Chat","Claims","Male","Deamer",5,1,3,16
"Passive","36-50","Jenica","California","App","Renewal","Female","Longthorne",2,4,5,17
"Promoter","18-25","Wells","Louisiana","Website","Claims","Male","Liversley",1,2,3,50
"Detractor","36-50","Goddart","Kentucky","App","Routine Services","NA","Conrath",2,4,4,28
"Passive","26-35","Alfred","Utah","Call Center","Onboarding","Female","Sargant",3,3,2,31
"Promoter","26-35","Trumaine","Missouri","Website","Renewal","Male","Shuard",1,3,5,48
"Detractor","18-25","Clair","Illinois","Call Center","Claims","NA","Reynish",3,2,3,22
"Passive","18-25","Eachelle","Texas","App","Claims","Female","Kunath",2,2,3,39
"Detractor","26-35","Cynthea","Oregon","Chat","Routine Services","NA","Borrie",5,3,4,28
"Promoter","0-17","Onfroi","Pennsylvania","Website","Renewal","Male","Ramelet",1,1,5,44
"Passive","26-35","Cobbie","Texas","Call Center","Onboarding","Female","Raynard",3,3,2,32
"Detractor","36-50","Otha","Georgia","Website","Claims","NA","Doidge",1,4,3,42
"Promoter","18-25","Celka","Florida","Store","Acquisition","Male","Swatten",4,2,1,19
"Detractor","NA","Bonnee","California","App","Acquisition","Female","Hanbridge",2,5,1,35
"Passive","26-35","Cedric","Washington","App","Renewal","Male","Messent",2,3,5,34
"Promoter","36-50","Carlyn","West Virginia","Website","Acquisition","NA","Eisikowitz",1,4,1,43
"Passive","36-50","Elke","New York","Call Center","Routine Services","Female","Nerney",3,4,4,28
"Detractor","18-25","Lorrayne","Wisconsin","App","Onboarding","Male","Abreheart",2,2,2,10
"Promoter","26-35","Cosetta","North Carolina","Email","Claims","NA","Shawley",6,3,3,29
"Passive","18-25","Skell","North Carolina","Website","Claims","Female","Eisikowitz",1,2,3,26
"Detractor","0-17","Cynthea","Tennessee","Chat","Renewal","NA","Nerney",5,1,5,19
"Detractor","26-35","Fields","District of Columbia","Call Center","Onboarding","Male","Pearle",3,3,2,40
"Promoter","18-25","Cathleen","Florida","Website","Renewal","Female","Liversley",1,2,5,23
"Passive","26-35","Cobbie","District of Columbia","App","Acquisition","Male","Rehme",2,3,1,33
"Detractor","36-50","Christophorus","Virginia","App","Routine Services","NA","Cissen",2,4,4,32
"Promoter","36-50","Gris","New York","Call Center","Claims","Female","Asche",3,4,3,23
"Detractor","NA","Roberto","Colorado","Website","Claims","Male","Paddington",1,5,3,20
"Promoter","26-35","Ellene","California","Chat","Onboarding","NA","Noades",5,3,2,19
"Passive","36-50","Eachelle","New York","Call Center","Renewal","Female","Hassur",3,4,5,38
"Passive","18-25","Trumaine","Ohio","Call Center","Routine Services","Male","Doidge",3,2,4,45
"Detractor","18-25","Boone","Florida","Call Center","Claims","NA","Ledley",3,2,3,36
"Promoter","18-25","Cobbie","Ohio","Website","Renewal","Female","McIlherran",1,2,5,32
"Passive","26-35","Stoddard","Connecticut","App","Acquisition","NA","Seebert",2,3,1,49
"Detractor","0-17","Cedric","Michigan","Store","Claims","Male","Cronchey",4,1,3,18
"Promoter","26-35","Kennan","New York","Website","Onboarding","Female","Darke",1,3,2,15
"Detractor","36-50","Harbert","Pennsylvania","App","Acquisition","Male","Dayce",2,4,1,11
"Passive","18-25","Corey","Oklahoma","App","Routine Services","NA","Hooks",2,2,4,21
"Detractor","36-50","Cedric","California","Chat","Renewal","Female","Cakebread",5,4,5,50
"Promoter","26-35","Monica","North Carolina","Website","Claims","Male","Brantl",1,3,3,33
"Detractor","0-17","Esteban","Iowa","App","Acquisition","NA","Shawley",2,1,1,46
"Passive","NA","Harbert","Florida","Email","Renewal","Female","Ferrierio",6,5,5,18
"Promoter","26-35","Boone","New York","Call Center","Claims","Male","Kinchington",3,3,3,33
"Passive","18-25","Malanie","Illinois","App","Onboarding","NA","Cissen",2,2,2,31
"Detractor","26-35","Charleen","California","Call Center","Onboarding","Female","Canton",3,3,2,27
"Detractor","18-25","Farlay","Indiana","Website","Claims","Male","Cantero",1,2,3,29
"Promoter","18-25","Lorrayne","Missouri","Chat","Renewal","NA","Cakebread",5,2,5,21
"Passive","26-35","Wilie","Texas","Call Center","Acquisition","Female","Brantl",3,3,1,43
"Promoter","36-50","Brynna","Massachusetts","App","Routine Services","NA","Coldridge",2,4,4,47
"Detractor","18-25","Boone","Nevada","Website","Claims","Male","Climpson",1,2,3,30
"Passive","36-50","Onfroi","New York","App","Onboarding","Female","Climpson",2,4,2,28
"Detractor","0-17","Alvina","District of Columbia","Website","Acquisition","Male","Vose",1,1,1,26
"Promoter","36-50","Windham","Kentucky","Call Center","Claims","NA","O'Dowgaine",3,4,3,33
"Passive","26-35","Reine","Ohio","Call Center","Renewal","Female","Mingaud",3,3,5,37
"Detractor","26-35","Claybourne","Louisiana","Call Center","Renewal","NA","McIlherran",3,3,5,40
"Promoter","18-25","Malanie","Minnesota","App","Claims","Male","Reynish",2,2,3,19
"Passive","36-50","Alfred","Alabama","Store","Onboarding","Female","Ramelet",4,4,2,50
"Detractor","18-25","Cathryn","Texas","Website","Acquisition","NA","Adao",1,2,1,23
"Promoter","26-35","Jereme","Florida","App","Routine Services","Male","Raper",2,3,4,34
"Detractor","NA","Gabriela","California","Call Center","Renewal","Female","McIlherran",3,5,5,29
"Passive","0-17","Sascha","Georgia","Email","Routine Services","Male","McIlherran",6,1,4,44
"Detractor","18-25","Cecil","California","Website","Claims","NA","Thuillier",1,2,3,35
"Promoter","26-35","Martguerita","New York","Chat","Renewal","Female","Naisbet",5,3,5,18
"Passive","36-50","Brynna","Arizona","App","Claims","NA","McLemon",2,4,3,21
"Detractor","18-25","Farlay","New York","Call Center","Acquisition","Male","Bamborough",3,2,1,42
"Promoter","36-50","Naoma","Virginia","Call Center","Onboarding","Female","Kinchington",3,4,2,19
"Detractor","26-35","Welby","California","Website","Renewal","Male","Thuillier",1,3,5,41
"Passive","18-25","Cass","Washington","App","Onboarding","NA","Cissen",2,2,2,21
"Promoter","36-50","Charleen","Colorado","Website","Routine Services","Female","Shipman",1,4,4,27
"Detractor","NA","Lyon","Tennessee","Call Center","Acquisition","NA","Dobey",3,5,1,32
"Passive","0-17","Jereme","Texas","Chat","Claims","Male","Asche",5,1,3,33
"Detractor","26-35","Lyon","California","App","Renewal","Female","Nerney",2,3,5,28
"Passive","36-50","Cass","South Carolina","Website","Routine Services","NA","Hooks",1,4,4,10
"Promoter","18-25","Ronnie","California","Call Center","Onboarding","Male","Soonhouse",3,2,2,38
"Detractor","26-35","Alyson","Florida","Store","Claims","Female","Vanni",4,3,3,45
"Passive","18-25","Cosetta","Texas","Chat","Claims","Male","Messent",5,2,3,35
"Detractor","26-35","Goddart","California","Website","Renewal","NA","Doidge",1,3,5,39
"Promoter","36-50","Flory","Florida","Call Center","Acquisition","Female","Asche",3,4,1,18
"Promoter","18-25","Harbert","Pennsylvania","App","Claims","NA","Chatwin",2,2,3,24
"Detractor","26-35","Celka","Illinois","Call Center","Routine Services","Male","Waterstone",3,3,4,25
"Passive","18-25","Aeriel","New York","App","Renewal","Female","Cronchey",2,2,5,18
"Passive","36-50","Elsey","Virginia","Email","Onboarding","Male","Bamborough",6,4,2,48
"Detractor","26-35","Lorrayne","California","Website","Claims","NA","Ferrierio",1,3,3,25
"Promoter","26-35","Elke","California","App","Onboarding","Female","Helsby",2,3,2,25
"Passive","0-17","Bonnee","California","Chat","Renewal","NA","Rehme",5,1,5,19
"Promoter","36-50","Gris","North Carolina","Call Center","Routine Services","Male","Toop",3,4,4,20
"Detractor","18-25","Ronnie","Kansas","App","Acquisition","Female","Asche",2,2,1,30
"Detractor","NA","Malanie","Ohio","Call Center","Claims","Male","Ducker",3,5,3,20
"Promoter","26-35","Sascha","California","Website","Renewal","NA","Noades",1,3,5,27
"Detractor","18-25","Skell","Michigan","Website","Onboarding","Female","Cakebread",1,2,2,26
"Passive","26-35","Clair","Arizona","App","Acquisition","Male","Lumm",2,3,1,49
"Passive","18-25","Hortense","California","App","Claims","NA","Soonhouse",2,2,3,42
"Detractor","36-50","Oralia","Florida","Call Center","Renewal","Female","Reynish",3,4,5,30
"Promoter","36-50","Cecil","Georgia","Website","Routine Services","Male","Swatten",1,4,4,27
"Passive","18-25","Elke","Nebraska","Chat","Onboarding","NA","Benz",5,2,2,21
"Detractor","26-35","Germana","Wisconsin","Call Center","Acquisition","Female","Canton",3,3,1,32
"Promoter","26-35","Otha","Minnesota","Website","Claims","Male","Ledley",1,3,3,35
"Detractor","NA","Ky","District of Columbia","Store","Renewal","NA","Longthorne",4,5,5,29
"Promoter","36-50","Alfred","Maryland","Call Center","Routine Services","Female","Woodroffe",3,4,4,10
"Passive","18-25","Cass","Mississippi","App","Acquisition","Male","Dobey",2,2,1,18
"Detractor","0-17","Martino","Texas","App","Claims","NA","Reynish",2,1,3,31
