OperationalDrivers,ClaimsBucket,PreviousRenewalDate,NameInsuredId,Status,TypePrediction,LastProcessedDate,RenewalChannel,RenewalDate,Type,IsRenewedPolicy,ExpirationDate,EffectiveDate,PremiumAmount,Passive,RenewalRate,Rating,Name,NPS,Promoter,Detractor,OwnerId,MyContactCenterNPS,PredictedDistribution,CustomerEngagement,NumberOfClaims,Commit,BestCase,GrossWrittenPremium,ValuePrediction,NPS_All_Contact_Centers,TotalStandardAmount
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2021-11-22,Existing Business,FALSE,2021-11-23,2020-11-23,64000,,80,7.8,10858945525428,41,,,1234567,39,58,18,2,,,769000,18,41,68000
Agent Comunication,4 - 5 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-01-25,New Business,FALSE,2022-01-26,2021-01-26,81000,,88,7.6,19723506560702,43,,,1234567,40,95,15,5,,,854000,6,42,84000
Agent Experience,0 - 1 Claims,,Carl,For Renewal,Period,2021-04-26,,2022-05-18,Services,FALSE,2022-05-19,2021-05-19,75000,55,79,7.2,14189213004308,43.5,95,15,1234567,40,95,17,1,,,804000,9,43,72000
Wait Time,6 or More Claims,,Steven,For Renewal,NPS,2021-04-26,,2022-04-16,New Business,FALSE,2022-04-17,2021-04-17,87000,,88,8.6,14801255274269,39,,,1234567,37,58,19,7,88,,760000,32,39,77000
Employee Satisfaction,6 or More Claims,,Mary,For Renewal,Amount,2021-04-26,,2022-03-07,Existing Business,FALSE,2022-03-08,2021-03-08,19000,,88,7.4,15458205831268,43,,,1234567,38,12,17,7,,,919000,6,42,37000
Agent Comunication,4 - 5 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-02-24,Existing Business,FALSE,2022-02-25,2021-02-25,66000,,90,7.4,5421417315229,43,,,1234567,38,25,17,4,,,870000,18,42,99000
Wait Time,6 or More Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-06-14,New Business,FALSE,2022-06-15,2021-06-15,13000,58,74,7.8,5884406327287,39,90,25,1234567,39,25,17,7,,79.92,672000,23,42,32000
Employee Satisfaction,0 - 1 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-03-03,Services,FALSE,2022-03-04,2021-03-04,73000,,88,7.4,10701246655533,43,,,1234567,38,75,15,1,,,524000,18,42,34000
Agent Experience,2 - 3 Claims,,Steven,Not Renewed,NumberOfClaims,2021-04-26,,2022-04-19,Services,FALSE,2022-04-20,2021-04-20,59000,,88,6.3,18946490997481,39,,,1234567,37,55,15,2,,,851000,23,39,44000
Wait Time,2 - 3 Claims,,John,For Renewal,NPS,2021-04-26,,2022-01-08,Existing Business,FALSE,2022-01-09,2021-01-09,91000,,88,8.1,2018752605358,43,,,1234567,40,70,17,2,,,858000,32,42,81000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,Amount,2021-04-26,,2022-02-04,New Business,FALSE,2022-02-05,2021-02-05,48000,,90,7.5,5173798224768,43,,,1234567,38,15,19,2,,,885000,6,42,53000
Agent Comunication,0 - 1 Claims,,Mary,For Renewal,Period,2021-04-26,,2021-10-14,Existing Business,FALSE,2021-10-15,2020-10-15,17000,,85,6.9,14522583420741,39,,,1234567,37,95,20,1,,,615000,9,43,46000
Agent Experience,4 - 5 Claims,,Brian,For Renewal,Amount,2021-04-26,,2022-05-06,Services,FALSE,2022-05-07,2021-05-07,29000,55,79,7.6,12056241391344,43.5,95,15,1234567,39,55,17,4,,,522000,6,42,14000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2022-07-14,New Business,FALSE,2022-07-15,2021-07-15,54000,58,65,6.7,3981333306895,43,95,12,1234567,40,75,15,3,59.15,70.2,560000,9,41,27000
Agent Comunication,0 - 1 Claims,,Steven,For Renewal,NPS,2021-04-26,,2021-12-06,Existing Business,FALSE,2021-12-07,2020-12-07,27000,,85,7.6,3548020609431,43.5,,,1234567,41,95,16,1,,,654000,32,43,41000
Agent Experience,2 - 3 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2021-11-28,New Business,FALSE,2021-11-29,2020-11-29,22000,,80,7,13803373353439,41,,,1234567,39,70,16,2,,,492000,23,41,54000
Wait Time,4 - 5 Claims,,Mary,Not Renewed,TimeToResolve,2021-04-26,,2022-07-01,Services,FALSE,2022-07-02,2021-07-02,39000,58,65,8.5,7194579654502,41,95,12,1234567,38,58,20,4,59.15,70.2,771000,18,39,77000
Wait Time,2 - 3 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-03-30,Services,FALSE,2022-03-31,2021-03-31,90000,,88,8.4,19548182385619,43,,,1234567,38,25,15,3,,,889000,23,42,44000
Employee Satisfaction,2 - 3 Claims,,John,For Renewal,TimeToResolve,2021-04-26,,2022-02-12,New Business,FALSE,2022-02-13,2021-02-13,12000,,90,7.5,3880218483636,43,,,1234567,38,12,16,2,,,632000,18,42,17000
Agent Experience,0 - 1 Claims,,Mary,For Renewal,NPS,2021-04-26,,2021-11-24,Existing Business,FALSE,2021-11-25,2020-11-25,69000,,80,7,8922701058022,41,,,1234567,39,15,17,1,,,459000,32,41,30000
Agent Comunication,0 - 1 Claims,,Brian,For Renewal,Period,2021-04-26,,2022-04-03,Services,FALSE,2022-04-04,2021-04-04,70000,,88,7.1,2985026086098,39,,,1234567,37,58,20,1,,88,554000,9,39,41000
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,Amount,2021-04-26,,2021-12-13,New Business,FALSE,2021-12-14,2020-12-14,86000,,85,7.6,1977317361638,43.5,,,1234567,41,75,16,3,,,763000,6,43,72000
Agent Experience,6 or More Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2021-10-26,Existing Business,FALSE,2021-10-27,2020-10-27,48000,,79,7.1,17592285070302,43,,,1234567,41,55,17,7,,,504000,18,39,18000
Employee Satisfaction,6 or More Claims,,Mary,For Renewal,Period,2021-04-26,,2022-05-22,New Business,FALSE,2022-05-23,2021-05-23,10000,55,79,7.5,18646945224102,43.5,95,15,1234567,38,15,18,6,,85.32,880000,9,41,33000
Wait Time,0 - 1 Claims,,Brian,Not Renewed,NumberOfClaims,2021-04-26,,2022-06-02,Existing Business,FALSE,2022-06-03,2021-06-03,11000,58,74,7,12922612925745,39,90,25,1234567,39,95,18,1,67.34,,794000,23,42,21000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-01-11,Services,FALSE,2022-01-12,2021-01-12,30000,,88,6.9,16657053709486,43,,,1234567,40,58,20,3,,,564000,6,42,62000
Agent Comunication,4 - 5 Claims,,John,For Renewal,NPS,2021-04-26,,2022-07-22,Services,FALSE,2022-07-23,2021-07-23,11000,58,65,6.3,10854067764326,41,95,12,1234567,37,58,18,5,59.15,70.2,891000,32,43,87000
Wait Time,4 - 5 Claims,,John,For Renewal,NPS,2021-04-26,,2022-03-22,Existing Business,FALSE,2022-03-23,2021-03-23,17000,,88,8.4,12497602650178,43,,,1234567,38,75,16,4,,,926000,32,42,64000
Employee Satisfaction,4 - 5 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-01-28,New Business,FALSE,2022-01-29,2021-01-29,33000,,88,7.8,11339758045238,43,,,1234567,40,12,16,4,,,440000,23,42,54000
Wait Time,2 - 3 Claims,,Carl,For Renewal,Amount,2021-04-26,,2021-11-23,Services,FALSE,2021-11-24,2020-11-24,78000,,80,8.2,14508648144196,41,,,1234567,39,25,18,3,,,730000,6,41,93000
Agent Comunication,2 - 3 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-06-13,Existing Business,FALSE,2022-06-14,2021-06-14,87000,58,74,8.6,14064285040797,39,90,25,1234567,40,70,16,2,,,663000,18,43,40000
Employee Satisfaction,0 - 1 Claims,,Mary,For Renewal,Period,2021-04-26,,2021-12-02,New Business,FALSE,2021-12-03,2020-12-03,90000,,85,7.8,613845235531,43.5,,,1234567,41,15,20,1,,,670000,9,43,85000
Agent Experience,2 - 3 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2022-05-18,Existing Business,FALSE,2022-05-19,2021-05-19,17000,55,79,7.2,1538935025046,41,95,15,1234567,41,75,20,3,,,925000,23,41,26000
Agent Experience,0 - 1 Claims,,John,Not Renewed,Amount,2021-04-26,,2022-06-04,New Business,FALSE,2022-06-05,2021-06-05,58000,58,74,6.5,14631358960451,43.5,90,25,1234567,38,95,18,1,,,511000,6,39,78000
Agent Comunication,4 - 5 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-02-18,Services,FALSE,2022-02-19,2021-02-19,47000,,90,7.4,6251845221371,43,,,1234567,38,95,20,4,,,854000,18,42,85000
Wait Time,2 - 3 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-04-20,Existing Business,FALSE,2022-04-21,2021-04-21,86000,,88,8.6,8139538909615,39,,,1234567,37,55,16,2,,88,686000,32,39,91000
Employee Satisfaction,2 - 3 Claims,,Brian,For Renewal,Period,2021-04-26,,2022-07-05,Services,FALSE,2022-07-06,2021-07-06,19000,58,65,7.4,9710748409776,43,95,12,1234567,39,75,15,2,,70.2,597000,9,42,94000
Wait Time,2 - 3 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-03-01,New Business,FALSE,2022-03-02,2021-03-02,90000,,88,8.4,11445397271172,43,,,1234567,38,70,15,2,,,607000,23,42,68000
Agent Comunication,2 - 3 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-06-11,Services,FALSE,2022-06-12,2021-06-12,54000,58,74,8.4,9548107909026,43.5,90,25,1234567,37,70,16,2,67.34,79.92,471000,18,41,89000
Employee Satisfaction,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2022-05-22,New Business,FALSE,2022-05-23,2021-05-23,61000,55,79,8.1,5235224645980,39,95,15,1234567,40,75,16,2,,,589000,9,43,38000
Agent Experience,0 - 1 Claims,,Steven,For Renewal,NPS,2021-04-26,,2021-12-03,Existing Business,FALSE,2021-12-04,2020-12-04,34000,,85,6.9,12277917844663,43.5,,,1234567,41,95,18,1,,,861000,32,43,99000
Wait Time,6 or More Claims,,Brian,Not Renewed,Amount,2021-04-26,,2021-11-11,New Business,FALSE,2021-11-12,2020-11-12,36000,,80,8.2,7374924505660,41,,,1234567,39,70,16,6,,,829000,6,41,64000
Agent Comunication,2 - 3 Claims,,Brian,For Renewal,NPS,2021-04-26,,2022-04-28,Existing Business,FALSE,2022-04-29,2021-04-29,25000,,88,7.1,4527513913300,39,,,1234567,37,75,20,2,88,,595000,32,39,43000
Agent Experience,6 or More Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2021-10-14,Services,FALSE,2021-10-15,2020-10-15,11000,,80,6.7,16309111347463,41,,,1234567,41,15,18,7,,,820000,23,39,10000
Employee Satisfaction,4 - 5 Claims,,Carl,For Renewal,Period,2021-04-26,,2021-10-22,New Business,FALSE,2021-10-23,2020-10-23,46000,,88,6.5,1400300228484,43,,,1234567,38,25,19,5,,,860000,9,42,98000
Employee Satisfaction,2 - 3 Claims,,John,For Renewal,Amount,2021-04-26,,2022-01-30,Existing Business,FALSE,2022-01-31,2021-01-31,68000,,88,7.8,3304625203024,43,,,1234567,40,12,19,3,,,626000,6,42,70000
Wait Time,0 - 1 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-02-08,Services,FALSE,2022-02-09,2021-02-09,89000,,90,8.5,5355173848934,43,,,1234567,38,55,16,1,,,500000,18,42,49000
Agent Experience,2 - 3 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2022-07-27,Existing Business,FALSE,2022-07-28,2021-07-28,99000,58,65,8.6,15049501603865,43.5,95,12,1234567,37,75,15,2,,70.2,888000,23,41,31000
Agent Comunication,2 - 3 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-03-13,Services,FALSE,2022-03-14,2021-03-14,81000,,88,7.1,13187660337328,43,,,1234567,38,58,16,2,,,581000,9,42,52000
Wait Time,0 - 1 Claims,,Brian,Not Renewed,NPS,2021-04-26,,2022-05-31,New Business,FALSE,2022-06-01,2021-06-01,89000,58,74,7.1,12083170997667,41,90,25,1234567,40,95,18,1,,,699000,32,39,20000
Agent Experience,2 - 3 Claims,,John,For Renewal,Amount,2021-04-26,,2022-05-14,Services,FALSE,2022-05-15,2021-05-15,98000,55,79,6.9,9211407728656,39,95,15,1234567,39,75,15,3,71.89,85.32,812000,6,42,100000
Employee Satisfaction,4 - 5 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-01-06,New Business,FALSE,2022-01-07,2021-01-07,96000,,88,7.8,14825540728555,43,,,1234567,40,55,18,4,,,786000,18,42,83000
Agent Comunication,2 - 3 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-04-20,Existing Business,FALSE,2022-04-21,2021-04-21,21000,,88,7.1,18605083945563,39,,,1234567,37,95,17,3,,88,501000,23,39,38000
Agent Experience,4 - 5 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-02-24,Services,FALSE,2022-02-25,2021-02-25,39000,,90,6.7,13547843968052,43,,,1234567,38,15,17,4,,,488000,9,42,72000
Agent Comunication,2 - 3 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2021-11-04,New Business,FALSE,2021-11-05,2020-11-05,17000,,80,7.8,15967167277163,41,,,1234567,39,75,18,2,,,759000,18,41,86000
Wait Time,2 - 3 Claims,,Mary,For Renewal,NPS,2021-04-26,,2021-10-24,Existing Business,FALSE,2021-10-25,2020-10-25,65000,,90,7.6,2899870624818,43,,,1234567,41,12,18,2,,,726000,32,43,27000
Employee Satisfaction,0 - 1 Claims,,Carl,For Renewal,Amount,2021-04-26,,2021-12-28,Existing Business,FALSE,2021-12-29,2020-12-29,94000,,85,7.8,17403843905076,43.5,,,1234567,41,58,20,1,,,626000,6,43,25000
Agent Experience,0 - 1 Claims,,Carl,For Renewal,Amount,2021-04-26,,2022-04-09,Services,FALSE,2022-04-10,2021-04-10,65000,,88,6.3,19233565034319,39,,,1234567,37,25,19,1,88,88,751000,6,39,88000
Employee Satisfaction,2 - 3 Claims,,Brian,Not Renewed,NPS,2021-04-26,,2022-02-02,New Business,FALSE,2022-02-03,2021-02-03,68000,,90,7.5,12657716155189,43,,,1234567,38,70,16,2,,,528000,32,42,90000
Wait Time,2 - 3 Claims,,Steven,For Renewal,TimeToResolve,2021-04-26,,2022-03-15,Services,FALSE,2022-03-16,2021-03-16,51000,,88,8.4,16250271771142,43,,,1234567,38,12,17,3,,,895000,18,42,21000
Agent Comunication,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2022-01-09,New Business,FALSE,2022-01-10,2021-01-10,83000,,88,7.6,13255362636712,43,,,1234567,40,70,17,3,,,832000,9,42,90000
Employee Satisfaction,4 - 5 Claims,,Mary,For Renewal,NumberOfClaims,2021-04-26,,2021-10-20,Existing Business,FALSE,2021-10-21,2020-10-21,90000,,74,7.5,9344036455045,41,,,1234567,40,58,20,4,,,605000,23,41,73000
Agent Comunication,0 - 1 Claims,,Carl,For Renewal,NPS,2021-04-26,,2022-05-03,Existing Business,FALSE,2022-05-04,2021-05-04,13000,55,79,8.2,7998499965959,39,95,15,1234567,41,95,16,1,71.89,,702000,32,43,13000
Agent Experience,4 - 5 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-07-08,New Business,FALSE,2022-07-09,2021-07-09,83000,58,65,7.2,15241364425403,43,95,12,1234567,38,58,17,5,59.15,,482000,6,39,16000
Wait Time,2 - 3 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2021-11-19,Services,FALSE,2021-11-20,2020-11-20,39000,,80,8.2,6563267413424,41,,,1234567,39,55,16,2,,,590000,18,41,65000
Employee Satisfaction,0 - 1 Claims,,Mary,For Renewal,Period,2021-04-26,,2021-12-27,New Business,FALSE,2021-12-28,2020-12-28,84000,,85,7.8,12983526426448,43.5,,,1234567,41,25,19,1,,,866000,9,43,91000
Agent Experience,6 or More Claims,,John,Not Renewed,NumberOfClaims,2021-04-26,,2022-07-12,Existing Business,FALSE,2022-07-13,2021-07-13,72000,58,65,6.3,17345433402138,43.5,95,12,1234567,39,12,16,7,59.15,70.2,438000,23,42,43000
Wait Time,4 - 5 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2022-03-25,Services,FALSE,2022-03-26,2021-03-26,78000,,88,8.4,10179450138346,43,,,1234567,38,15,15,4,,,668000,18,42,14000
Agent Comunication,0 - 1 Claims,,Brian,For Renewal,NPS,2021-04-26,,2022-04-08,Services,FALSE,2022-04-09,2021-04-09,75000,,88,7.1,18022149424468,39,,,1234567,37,95,15,1,,,984000,32,39,54000
Agent Comunication,6 or More Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-02-23,New Business,FALSE,2022-02-24,2021-02-24,29000,,90,7.4,10114170569264,43,,,1234567,38,75,17,6,,,923000,23,42,85000
Wait Time,6 or More Claims,,Mary,For Renewal,Amount,2021-04-26,,2021-09-30,Existing Business,FALSE,2021-10-01,2020-10-01,15000,,79,7.2,5357472414022,41,,,1234567,37,75,16,7,,,821000,6,39,80000
