OwnerName,AccountId,ForecastCategory,IsClosed,Manager,PredictedWinRate,PipeGenerated,PipeCoverage,EventCount,TaskCount,AccountName,ActivitiesBucket,ActivityCount,Amount,CallCount,CloseDate,ClosedWon,CreatedDate,EmailCount,IsWon,LastProcessedDate,OpportunityName,OpportunityId,OwnerId,Probability,Role,SmallPhotoUrl,WinRate
Erica Fletcher,,Closed,true,Mary Eng,68,"$4,200,000.00",2.5,2,3,Critigen,0 - 5,13,"$73,000.00",3,2020-09-14,"$2,900,000.00",2020-06-29,5,false,2021-06-02,Critigen 11,,005B0000006zLBdIAM,100,RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,67
Kylie Cannon,,Closed,true,Dean Pierce,78,"$3,800,000.00",2.06,6,5,Dotlogix Inc,4 - 8,25,"$77,000.00",6,2021-01-03,"$1,500,000.00",2020-11-24,8,true,2021-06-02,Dotlogix Inc 12,,,100,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,76
Karen Mccann,,Commit,false,Gary Hill,66,"$4,450,000.00",2.39,11,12,Copper Mountain Networks Inc,8 - 12,46,"$100,000.00",12,2020-09-05,"$1,500,000.00",2020-07-06,11,false,2021-06-02,Copper Mountain Networks Inc 13,,,80,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,67
Amy Thomas,,Closed,true,Gary Hill,71,"$4,200,000.00",2.52,10,10,Construction Systems Associates,8 - 12,42,"$99,000.00",10,2021-06-29,"$1,500,000.00",2021-05-01,12,true,2021-06-02,Construction Systems Associates 14,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,68
Rebecca Espinoza,,Best Case,false,Gary Hill,87,"$4,150,000.00",2.61,7,5,3D Systems,4 - 8,24,"$86,000.00",6,2021-02-03,"$1,500,000.00",2020-12-20,6,true,2021-06-02,3D Systems 15,,,60,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,87
Nicole Bowers,,Pipeline,true,Dean Pierce,56,"$4,200,000.00",2.5,12,12,Future Planning Associates,8 - 12,46,"$77,000.00",10,2020-12-19,"$2,900,000.00",2020-11-09,12,false,2021-06-02,Future Planning Associates 16,,,55,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,54
Jeremiah Ballard,,Closed,true,Brian Chandler,77,"$4,200,000.00",2.51,11,11,ConnectInc.com,8 - 12,46,"$79,000.00",12,2021-06-27,"$1,500,000.00",2021-03-29,12,false,2021-06-02,ConnectInc.com 17,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,77
Ebony Ali,,Commit,false,Gary Hill,70,"$3,650,000.00",2,6,6,Disha Technologies,4 - 8,28,"$68,000.00",8,2020-11-27,"$1,500,000.00",2020-10-05,8,true,2021-06-02,Disha Technologies 18,,,70,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,73
Beth Malone,,Closed,true,Gary Hill,61,"$3,650,000.00",2.3,10,9,Comsearch,8 - 12,41,"$84,000.00",11,2021-05-30,"$1,500,000.00",2021-04-11,11,false,2021-06-02,Comsearch 19,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,63
Devin Washington,,Commit,true,Brian Chandler,76,"$4,200,000.00",2.5,11,8,Directed Electronics,8 - 12,37,"$48,000.00",8,2021-03-31,"$2,900,000.00",2021-01-27,10,true,2021-06-02,Directed Electronics 20,,,70,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,79
Austin Le,,Commit,true,Brian Chandler,87,"$4,450,000.00",2.77,4,8,Conner Inc [889],4 - 8,21,"$35,000.00",5,2020-07-16,"$1,500,000.00",2020-04-22,4,true,2021-06-02,Conner Inc [889] 21,,,75,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,86
Patricia Shepard,,Closed,true,Brian Chandler,52,"$4,450,000.00",2.68,9,9,ColdCypress,8 - 12,37,"$28,000.00",8,2021-03-24,"$1,500,000.00",2021-01-02,11,false,2021-06-02,ColdCypress 22,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,50
Brian Chandler,,Best Case,false,Mary Eng,54,"$3,600,000.00",2.29,8,9,Carlson Inc [2094],8 - 12,34,"$78,000.00",8,2021-02-07,"$1,500,000.00",2020-12-12,9,false,2021-06-02,Carlson Inc [2094] 23,,005B0000006zLFOIA2,60,RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,57
Ebony Ali,,Closed,true,Gary Hill,90,"$3,750,000.00",2.19,9,10,Ab Incorporated,8 - 12,40,"$39,000.00",11,2020-09-24,"$1,500,000.00",2020-07-27,10,true,2021-06-02,Ab Incorporated 24,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,88
Devin Washington,,Pipeline,true,Brian Chandler,58,"$4,200,000.00",2.5,4,5,Digitron Media   Inc,4 - 8,20,"$90,000.00",5,2021-04-24,"$2,900,000.00",2021-02-23,6,true,2021-06-02,Digitron Media   Inc 25,,,50,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,60
Karen Mccann,,Commit,false,Gary Hill,79,"$3,500,000.00",2.47,10,12,Cortez Inc [2182],8 - 12,44,"$29,000.00",11,2021-06-08,"$1,500,000.00",2021-05-09,11,false,2021-06-02,Cortez Inc [2182] 26,,,85,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,76
Jane Martin,,Commit,false,Dean Pierce,76,"$3,550,000.00",2.54,8,9,DuMonde Solutions,8 - 12,36,"$79,000.00",11,2020-08-28,"$1,500,000.00",2020-07-27,8,false,2021-06-02,DuMonde Solutions 27,,,85,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,78
Dean Pierce,,Closed,true,Mary Eng,84,"$3,000,000.00",2.32,6,8,Educational Housing Services,4 - 8,26,"$31,000.00",5,2021-01-13,"$1,500,000.00",2020-12-04,7,true,2021-06-02,Educational Housing Services 28,,005B0000006zLDrIAM,100,RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,87
Mary Eng,,Best Case,true,,90,"$4,200,000.00",2.5,11,11,Fujitsu Computer Products of America,8 - 12,44,"$75,000.00",11,2020-09-02,"$2,900,000.00",2020-07-20,11,true,2021-06-02,Fujitsu Computer Products of America 29,,005B0000006zLGfIAM,60,VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,90
Kylie Cannon,,Closed,true,Dean Pierce,54,"$3,350,000.00",2.62,10,8,Eclipsys Corporation,8 - 12,38,"$98,000.00",10,2020-11-11,"$1,500,000.00",2020-10-06,10,false,2021-06-02,Eclipsys Corporation 30,,,100,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,52
Erica Fletcher,,Commit,false,Mary Eng,72,"$4,200,000.00",2.5,5,5,Computercare,0 - 5,19,"$91,000.00",4,2021-03-15,"$2,900,000.00",2021-01-15,5,true,2021-06-02,Computercare 31,,005B0000006zLBdIAM,80,RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,72
Beth Malone,,Pipeline,true,Gary Hill,64,"$3,550,000.00",2.28,4,6,Creative Training,4 - 8,23,"$97,000.00",7,2021-03-15,"$1,500,000.00",2021-01-03,6,false,2021-06-02,Creative Training 32,,,50,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,62
Lucas Baxter,,Closed,true,Brian Chandler,58,"$3,950,000.00",2.79,8,11,Caskey Achievement Strategies,8 - 12,39,"$54,000.00",8,2021-02-10,"$1,500,000.00",2020-11-23,12,false,2021-06-02,Caskey Achievement Strategies 33,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,55
Jeremiah Ballard,,Commit,true,Brian Chandler,77,"$3,650,000.00",2.31,12,9,Celanese Chemicals,8 - 12,41,"$72,000.00",12,2021-02-08,"$1,500,000.00",2020-12-05,8,true,2021-06-02,Celanese Chemicals 34,,,70,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,74
Rebecca Espinoza,,Closed,true,Gary Hill,82,"$4,200,000.00",2.5,4,5,Barrett Inc [240],4 - 8,23,"$83,000.00",6,2021-04-08,"$2,900,000.00",2021-01-26,8,true,2021-06-02,Barrett Inc [240] 35,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,84
Elizabeth Lewis,,Best Case,false,Dean Pierce,73,"$3,250,000.00",2.78,10,10,Baton Rouge International,8 - 12,41,"$86,000.00",9,2020-09-25,"$1,500,000.00",2020-08-25,12,false,2021-06-02,Baton Rouge International 36,,,50,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,75
Oscar Anthony,,Commit,false,Brian Chandler,57,"$3,350,000.00",2.61,11,9,Computerworld,8 - 12,40,"$87,000.00",10,2020-07-30,"$1,500,000.00",2020-05-09,10,false,2021-06-02,Computerworld 37,,,85,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,58
Nicole Bowers,,Pipeline,true,Dean Pierce,59,"$3,350,000.00",2.85,8,8,Acorn Technowlogies,4 - 8,25,"$33,000.00",5,2020-11-16,"$1,500,000.00",2020-08-28,4,true,2021-06-02,Acorn Technowlogies 38,,,65,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,60
Austin Le,,Closed,true,Brian Chandler,54,"$4,200,000.00",2.5,9,10,Capture Technologies,8 - 12,38,"$73,000.00",10,2020-08-06,"$2,900,000.00",2020-05-10,9,true,2021-06-02,Capture Technologies 39,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,56
Amy Johnson,,Commit,false,Gary Hill,80,"$3,850,000.00",2.58,10,8,EDP Consulting Inc,8 - 12,38,"$95,000.00",9,2020-08-07,"$1,500,000.00",2020-05-28,11,false,2021-06-02,EDP Consulting Inc 40,,,70,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,77
Amy Thomas,,Closed,true,Gary Hill,87,"$3,850,000.00",2.84,6,6,Compuwave,4 - 8,27,"$91,000.00",7,2020-12-02,"$1,500,000.00",2020-10-22,8,false,2021-06-02,Compuwave 41,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,84
Gary Hill,,Pipeline,true,Mary Eng,73,"$3,800,000.00",2.31,11,11,CardCare,8 - 12,42,"$94,000.00",8,2021-03-20,"$1,500,000.00",2021-01-21,12,true,2021-06-02,CardCare 42,,005B0000006zLFqIAM,50,RVP West,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,70
Patricia Shepard,,Closed,true,Brian Chandler,60,"$4,200,000.00",2.04,12,8,Catalina Marketing Corporation,8 - 12,39,"$46,000.00",10,2021-07-13,"$1,500,000.00",2021-04-22,9,true,2021-06-02,Catalina Marketing Corporation 43,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,61
Kylie Cannon,,Commit,true,Dean Pierce,70,"$4,200,000.00",2.5,4,4,Eagle Investment Systems Corporation,4 - 8,16,"$100,000.00",4,2021-04-24,"$2,900,000.00",2021-02-23,4,false,2021-06-02,Eagle Investment Systems Corporation 44,,,75,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,74
Karen Mccann,,Best Case,false,Gary Hill,58,"$3,950,000.00",2.55,12,12,Baldwin &amp; Clarke Advisory Svc,8 - 12,46,"$51,000.00",11,2021-02-28,"$1,500,000.00",2021-01-01,11,false,2021-06-02,Baldwin &amp; Clarke Advisory Svc 45,,,50,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,56
Rebecca Espinoza,,Closed,true,Gary Hill,79,"$4,150,000.00",2.38,11,9,Carbonite,8 - 12,41,"$65,000.00",9,2021-04-04,"$1,500,000.00",2021-01-18,12,true,2021-06-02,Carbonite 46,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,78
Jeremiah Ballard,,Closed,true,Brian Chandler,88,"$4,200,000.00",2.28,12,9,Copernus,8 - 12,41,"$25,000.00",12,2020-09-21,"$1,500,000.00",2020-08-03,8,false,2021-06-02,Copernus 47,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,88
Devin Washington,,Pipeline,true,Brian Chandler,83,"$4,200,000.00",2.5,6,5,Contec Corp,4 - 8,24,"$65,000.00",7,2021-01-10,"$2,900,000.00",2020-12-01,6,true,2021-06-02,Contec Corp 48,,,60,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,82
Oscar Anthony,,Best Case,false,Brian Chandler,79,"$4,200,000.00",2.7,8,8,Corestaff Services LP,8 - 12,34,"$33,000.00",8,2020-08-23,"$1,500,000.00",2020-06-28,10,true,2021-06-02,Corestaff Services LP 49,,,65,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,78
Gary Hill,,Commit,false,Mary Eng,52,"$3,950,000.00",2.29,9,12,Certek Software Designs Inc,8 - 12,45,"$83,000.00",12,2021-07-09,"$1,500,000.00",2021-05-31,12,false,2021-06-02,Certek Software Designs Inc 50,,005B0000006zLFqIAM,70,RVP West,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,50
Jane Martin,,Commit,true,Dean Pierce,56,"$3,950,000.00",2.66,8,4,Credit Acceptance Corporation,4 - 8,25,"$97,000.00",5,2021-04-01,"$1,500,000.00",2021-01-28,8,false,2021-06-02,Credit Acceptance Corporation 51,,,70,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,57
Lucas Baxter,,Closed,true,Brian Chandler,51,"$3,350,000.00",2.01,8,12,BeON.com,8 - 12,38,"$49,000.00",9,2020-11-28,"$1,500,000.00",2020-09-27,9,true,2021-06-02,BeON.com 52,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,54
Brian Chandler,,Closed,true,Mary Eng,77,"$4,200,000.00",2.5,12,8,Dimare Fresh Inc,8 - 12,42,"$86,000.00",10,2021-05-24,"$2,900,000.00",2021-04-02,12,false,2021-06-02,Dimare Fresh Inc 53,,005B0000006zLFOIA2,100,RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,76
Nicole Bowers,,Commit,false,Dean Pierce,87,"$3,750,000.00",2.3,8,7,"Dime Community Bancshares, Inc",4 - 8,28,"$41,000.00",6,2021-03-23,"$1,500,000.00",2021-02-10,7,true,2021-06-02,"Dime Community Bancshares, Inc 54",,,90,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,86
Amy Johnson,,Closed,true,Gary Hill,76,"$4,500,000.00",2.31,11,12,Cortez Inc [2810],8 - 12,43,"$72,000.00",10,2021-04-15,"$1,500,000.00",2021-01-26,10,true,2021-06-02,Cortez Inc [2810] 55,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,79
Amy Thomas,,Pipeline,true,Gary Hill,52,"$3,900,000.00",2.39,10,11,Distrigas Of Massachusetts,8 - 12,40,"$69,000.00",9,2021-03-17,"$1,500,000.00",2021-01-25,10,false,2021-06-02,Distrigas Of Massachusetts 56,,,65,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,50
Mary Eng,,Best Case,false,,50,"$4,200,000.00",2.5,5,5,CellExchange,4 - 8,21,"$77,000.00",6,2021-02-12,"$2,900,000.00",2020-12-04,5,false,2021-06-02,CellExchange 57,,005B0000006zLGfIAM,60,VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,51
Ebony Ali,,Commit,true,Gary Hill,66,"$3,950,000.00",2,11,10,Convergent Outsourcing,8 - 12,39,"$60,000.00",9,2021-02-01,"$1,500,000.00",2020-11-29,9,true,2021-06-02,Convergent Outsourcing 58,,,85,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,69
Austin Le,,Closed,true,Brian Chandler,59,"$3,750,000.00",2.08,11,8,CashFlowSystems,8 - 12,37,"$66,000.00",9,2021-01-13,"$1,500,000.00",2020-12-10,9,false,2021-06-02,CashFlowSystems 59,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,59
Erica Fletcher,,Commit,true,Mary Eng,72,"$4,200,000.00",2.5,1,1,Corexpand,0 - 5,10,"$79,000.00",4,2021-06-07,"$2,900,000.00",2021-03-21,4,true,2021-06-02,Corexpand 60,,005B0000006zLBdIAM,75,RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,75
Elizabeth Lewis,,Closed,true,Dean Pierce,81,"$4,250,000.00",2.82,4,4,Convergys Corp,4 - 8,17,"$82,000.00",4,2021-05-19,"$1,500,000.00",2021-04-08,5,true,2021-06-02,Convergys Corp 61,,,100,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,83
Beth Malone,,Pipeline,false,Gary Hill,69,"$3,900,000.00",2.47,8,12,Career Rewards Inc,8 - 12,42,"$57,000.00",11,2021-04-07,"$1,500,000.00",2021-02-17,11,false,2021-06-02,Career Rewards Inc 62,,,60,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,69
Dean Pierce,,Best Case,true,Mary Eng,60,"$4,200,000.00",2.5,10,10,Alpine Networking Solutions,8 - 12,38,"$58,000.00",8,2021-05-21,"$2,900,000.00",2021-04-15,10,false,2021-06-02,Alpine Networking Solutions 63,,005B0000006zLDrIAM,65,RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,58
Mary Eng,,Commit,false,,54,"$3,100,000.00",2.06,7,7,Coherity,4 - 8,23,"$51,000.00",4,2021-04-18,"$1,500,000.00",2021-01-28,5,true,2021-06-02,Coherity 64,,005B0000006zLGfIAM,75,VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,51
Jeremiah Ballard,,Closed,true,Brian Chandler,80,"$4,350,000.00",2.09,11,10,Collins Inc [1460],8 - 12,41,"$97,000.00",12,2021-01-08,"$1,500,000.00",2020-11-24,8,true,2021-06-02,Collins Inc [1460] 65,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,82
Kylie Cannon,,Commit,false,Dean Pierce,62,"$3,200,000.00",2.76,9,12,Cellular Technologies Inc,8 - 12,40,"$71,000.00",11,2021-03-11,"$1,500,000.00",2021-02-01,8,false,2021-06-02,Cellular Technologies Inc 66,,,90,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,61
Devin Washington,,Closed,true,Brian Chandler,78,"$4,200,000.00",2.5,7,8,Cox Inc [949],4 - 8,27,"$90,000.00",7,2021-03-28,"$2,900,000.00",2020-12-31,5,false,2021-06-02,Cox Inc [949] 67,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,79
Brian Chandler,,Closed,true,Mary Eng,93,"$4,200,000.00",2.05,12,10,Centery Bussiness Services Inc,8 - 12,43,"$30,000.00",9,2021-01-30,"$1,500,000.00",2020-12-30,12,true,2021-06-02,Centery Bussiness Services Inc 68,,005B0000006zLFOIA2,100,RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,94
Amy Johnson,,Pipeline,true,Gary Hill,67,"$4,250,000.00",2.53,10,9,Clayton Inc [2220],8 - 12,41,"$45,000.00",12,2021-03-07,"$1,500,000.00",2021-01-08,10,true,2021-06-02,Clayton Inc [2220] 69,,,60,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,65
Erica Fletcher,,Best Case,true,Mary Eng,84,"$4,200,000.00",2.5,5,4,Cormac Corporation,0 - 5,15,"$94,000.00",3,2020-10-01,"$2,900,000.00",2020-08-19,3,false,2021-06-02,Cormac Corporation 70,,005B0000006zLBdIAM,55,RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,85
Patricia Shepard,,Commit,false,Brian Chandler,52,"$3,500,000.00",2.72,11,8,Credit Control Services,8 - 12,38,"$81,000.00",10,2021-06-13,"$1,500,000.00",2021-04-10,9,false,2021-06-02,Credit Control Services 71,,,90,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,53
Lucas Baxter,,Closed,true,Brian Chandler,76,"$3,950,000.00",2.14,6,6,Cortez Inc [1658],4 - 8,22,"$65,000.00",6,2021-03-16,"$1,500,000.00",2021-01-31,4,true,2021-06-02,Cortez Inc [1658] 72,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,74
Jane Martin,,Closed,true,Dean Pierce,69,"$4,200,000.00",2.5,9,11,Casey Inc [2543],8 - 12,42,"$36,000.00",10,2021-04-21,"$2,900,000.00",2021-03-03,12,true,2021-06-02,Casey Inc [2543] 73,,,100,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,70
Elizabeth Lewis,,Commit,false,Dean Pierce,81,"$4,350,000.00",2.72,11,9,Cenquest,8 - 12,44,"$30,000.00",12,2020-11-30,"$1,500,000.00",2020-09-21,12,false,2021-06-02,Cenquest 74,,,90,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,80
Austin Le,,Closed,true,Brian Chandler,76,"$4,450,000.00",2.42,6,5,Cerulean Technology,4 - 8,20,"$40,000.00",4,2021-05-08,"$1,500,000.00",2021-04-08,5,false,2021-06-02,Cerulean Technology 75,,,100,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,76
Dean Pierce,,Commit,true,Mary Eng,60,"$3,750,000.00",2.45,9,11,Digital Excellence,8 - 12,38,"$97,000.00",8,2021-07-08,"$1,500,000.00",2021-05-06,10,true,2021-06-02,Digital Excellence 76,,005B0000006zLDrIAM,75,RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,57
Amy Thomas,,Pipeline,true,Gary Hill,69,"$4,200,000.00",2.5,9,8,3core Software Corporation,8 - 12,37,"$49,000.00",10,2021-04-30,"$2,900,000.00",2021-03-30,10,true,2021-06-02,3core Software Corporation 77,,,50,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,66
Rebecca Espinoza,,Closed,true,Gary Hill,66,"$3,450,000.00",2.54,8,7,Boomerangit,4 - 8,28,"$76,000.00",7,2021-04-27,"$1,500,000.00",2021-02-25,6,false,2021-06-02,Boomerangit 78,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,66
Gary Hill,,Commit,false,Mary Eng,78,"$4,400,000.00",2.49,12,10,Centric Group,8 - 12,46,"$67,000.00",12,2021-04-05,"$1,500,000.00",2021-01-08,12,false,2021-06-02,Centric Group 79,,005B0000006zLFqIAM,85,RVP West,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,81
Oscar Anthony,,Best Case,true,Brian Chandler,87,"$4,100,000.00",2.79,12,10,Freeport-McMoran Copper and Gold,8 - 12,40,"$85,000.00",9,2021-06-19,"$1,500,000.00",2021-04-03,9,true,2021-06-02,Freeport-McMoran Copper and Gold 80,,,60,East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,84
Beth Malone,,Closed,true,Gary Hill,78,"$4,050,000.00",2.25,7,5,Core Strategies,4 - 8,24,"$80,000.00",5,2020-07-12,"$1,500,000.00",2020-05-06,7,true,2021-06-02,Core Strategies 81,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,76
Nicole Bowers,,Best Case,false,Dean Pierce,53,"$4,200,000.00",2.5,8,10,Cognex Corporation,8 - 12,39,"$91,000.00",9,2020-07-10,"$2,900,000.00",2020-06-02,12,false,2021-06-02,Cognex Corporation 82,,,65,Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,54
Karen Mccann,,Closed,true,Gary Hill,79,"$3,900,000.00",2.24,10,8,Computer Extension Professionals,8 - 12,39,"$54,000.00",11,2021-03-20,"$1,500,000.00",2020-12-28,10,true,2021-06-02,Computer Extension Professionals 83,,,100,West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,77
