"User.Role.RoleNamesPath","IsAmount","User.Role.ForecastManager.UniqueUserName","User.SmallPhotoUrl","User.UserRoleId","HasAdjustment","User.Role.ParentRole.ForecastManager.UniqueUserName","ForecastingType.MasterLabel","User.Role.ParentRole.DeveloperName","User.Role.DeveloperName","ForecastingType.IsAmount","OwnerId","User.Role.ForecastManager.Name","User.Username","User.Role.Name","User.Role.ForecastManager.ForecastEnabled","User.Role.ParentRole.Name","Period.IsForecastPeriod","ForecastingType.DeveloperName","User.Name","User.Role.RoleNames","User.LastName","Period.Type","Period.EndDate","PeriodId","User.UniqueUserName","ForecastingType.IsActive","User.Role.ParentRoleId","ForecastingTypeId","Period.StartDate","User.Role.ParentRole.ForecastManager.Name","User.Role.Roles","HasOwnerAdjustment","User.ForecastEnabled","Id","ForecastingType.IsQuantity","ForecastCategoryName","User.Role.RolePath","AmountWithoutOwnerAdjustment","AmountWithoutManagerAdjustment","AmountWithoutAdjustments","ForecastAmount"
"Amartya Sen","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVLIA0","Mary Eng","asen.hzrt3sjezvqv.ctxeq0yeuh1t.v2wwcuhdzhia.ciczvotmc.lwq3igz2jkjv@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Amartya Sen","Amartya Sen","Sen","Month","2020-07-31","026B0000000kC3VIAU","Amartya Sen","true",,"0DbB0000001948lKAA","2020-07-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEA8KAM","false","Pipeline","00EB0000000lg9lMAA",7926012,7926012,7926012,7926012
"Amartya Sen","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVLIA0","Mary Eng","asen.hzrt3sjezvqv.ctxeq0yeuh1t.v2wwcuhdzhia.ciczvotmc.lwq3igz2jkjv@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Amartya Sen","Amartya Sen","Sen","Month","2020-07-31","026B0000000kC3VIAU","Amartya Sen","true",,"0DbB0000001948lKAA","2020-07-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEA9KAM","false","Best Case","00EB0000000lg9lMAA",176179,176179,176179,176179
"Amartya Sen","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVLIA0","Mary Eng","asen.hzrt3sjezvqv.ctxeq0yeuh1t.v2wwcuhdzhia.ciczvotmc.lwq3igz2jkjv@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Amartya Sen","Amartya Sen","Sen","Month","2020-07-31","026B0000000kC3VIAU","Amartya Sen","true",,"0DbB0000001948lKAA","2020-07-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAAKA2","false","Commit","00EB0000000lg9lMAA",18690,18690,18690,18690
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2020-04-30","026B0000000kC3SIAU","Mary Eng","true",,"0DbB0000001948lKAA","2020-04-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEACKA2","false","Pipeline","00EB0000000lg9lMAA",142117,142117,142117,142117
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-10-31","026B0000000kC3HIAU","Mary Eng","true",,"0DbB0000001948lKAA","2019-10-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAHKA2","false","Closed","00EB0000000lg9lMAA",3817983,3817983,3817983,3817983
"Amartya Sen","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVLIA0","Mary Eng","asen.hzrt3sjezvqv.ctxeq0yeuh1t.v2wwcuhdzhia.ciczvotmc.lwq3igz2jkjv@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Amartya Sen","Amartya Sen","Sen","Month","2020-02-29","026B0000000kC3QIAU","Amartya Sen","true",,"0DbB0000001948lKAA","2020-02-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAIKA2","false","Closed","00EB0000000lg9lMAA",14540848,14540848,14540848,14540848
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-04-30","026B0000000kC3BIAU","Mary Eng","true",,"0DbB0000001948lKAA","2019-04-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAMKA2","false","Closed","00EB0000000lg9lMAA",3490122,3490122,3490122,3490122
"Amartya Sen","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVLIA0","Mary Eng","asen.hzrt3sjezvqv.ctxeq0yeuh1t.v2wwcuhdzhia.ciczvotmc.lwq3igz2jkjv@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Amartya Sen","Amartya Sen","Sen","Month","2019-02-28","026B0000000kC39IAE","Amartya Sen","true",,"0DbB0000001948lKAA","2019-02-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEANKA2","false","Closed","00EB0000000lg9lMAA",15648452,15648452,15648452,15648452
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2019-02-28","026B0000000kC39IAE","Emily Dickinson","true",,"0DbB0000001948lKAA","2019-02-01",,,"false","true","0G3B0000006lEAOKA2","false","Closed",,16484474,16484474,16484474,16484474
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2019-03-31","026B0000000kC3AIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2019-03-01",,,"false","true","0G3B0000006lEAPKA2","false","Closed",,27276633,27276633,27276633,27276633
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"false","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2018-08-31","026B0000000kC4LIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2018-08-01",,,"false","true","0G3B0000006lEAQKA2","false","Closed",,2798209,2798209,2798209,2798209
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-12-31","026B0000000kC3JIAU","Mary Eng","true",,"0DbB0000001948lKAA","2019-12-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEARKA2","false","Closed","00EB0000000lg9lMAA",3253256,3253256,3253256,3253256
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2020-03-31","026B0000000kC3RIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2020-03-01",,,"false","true","0G3B0000006lEASKA2","false","Pipeline",,9462306,9462306,9462306,9462306
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2020-02-29","026B0000000kC3QIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2020-02-01",,,"false","true","0G3B0000006lEATKA2","false","Closed",,13473110,13473110,13473110,13473110
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2020-03-31","026B0000000kC3RIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2020-03-01",,,"false","true","0G3B0000006lEAUKA2","false","Best Case",,3730777,3730777,3730777,3730777
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2020-03-31","026B0000000kC3RIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2020-03-01",,,"false","true","0G3B0000006lEAVKA2","false","Closed",,1992175,1992175,1992175,1992175
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-02-28","026B0000000kC39IAE","Mary Eng","true",,"0DbB0000001948lKAA","2019-02-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAWKA2","false","Closed","00EB0000000lg9lMAA",6336082,6336082,6336082,6336082
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-06-30","026B0000000kC3DIAU","Mary Eng","true",,"0DbB0000001948lKAA","2019-06-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAbKAM","false","Closed","00EB0000000lg9lMAA",3817436,3817436,3817436,3817436
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2020-01-31","026B0000000kC3PIAU","Mary Eng","true",,"0DbB0000001948lKAA","2020-01-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAgKAM","false","Closed","00EB0000000lg9lMAA",1918153,1918153,1918153,1918153
"Jahnavi Reddy","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAUMAY","false",,"Opportunity Revenue",,"CEO","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","CEO",,,"true","OpportunityRevenue","Jahnavi Reddy","Jahnavi Reddy","Reddy","Month","2019-07-31","026B0000000kC3EIAU","Jahnavi Reddy","true",,"0DbB0000001948lKAA","2019-07-01",,"00EB0000000lgAUMAY","false","true","0G3B0000006lEAlKAM","false","Closed","00EB0000000lgAUMAY",107028,107028,107028,107028
"Dean Pierce/Mary Eng","true","Dean Pierce","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9qMAA","false","Mary Eng","Opportunity Revenue","VP_of_Sales","RVP_Central","true","005B0000006s9ehIAA","Dean Pierce","dpierce1600302444899@demo.user","RVP Central","true","VP of Sales","true","OpportunityRevenue","Dean Pierce","Dean Pierce","Pierce","Month","2019-07-31","026B0000000kC3EIAU","Dean Pierce","true","00EB0000000lg9lMAA","0DbB0000001948lKAA","2019-07-01","Mary Eng","00EB0000000lg9lMAA","false","true","0G3B0000006lEAmKAM","false","Closed","00EB0000000lg9qMAA/00EB0000000lg9lMAA",359296,359296,359296,359296
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2019-07-31","026B0000000kC3EIAU","Mary Eng","true",,"0DbB0000001948lKAA","2019-07-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAnKAM","false","Closed","00EB0000000lg9lMAA",1711653,1711653,1711653,1711653
"Grace Hopper","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAZMAY","false",,"Opportunity Revenue","CEO","CS_Director","true","005B0000006YzVOIA0",,"ghopper.wvyn8r31z2wl.xfcmvqcjzkhx.lawd5kfgnkqi.lxaegsszqjbm.xvtnujjmtiic@gs0.org","CS Director",,"CEO","true","OpportunityRevenue","Grace Hopper","Grace Hopper","Hopper","Month","2020-06-30","026B0000000kC3UIAU","Grace Hopper","true","00EB0000000lgAUMAY","0DbB0000001948lKAA","2020-06-01",,"00EB0000000lgAUMAY","false","true","0G3B0000006lEAoKAM","false","Best Case","00EB0000000lgAZMAY/00EB0000000lgAUMAY",2996483,2996483,2996483,2996483
"Grace Hopper","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAZMAY","false",,"Opportunity Revenue","CEO","CS_Director","true","005B0000006YzVOIA0",,"ghopper.wvyn8r31z2wl.xfcmvqcjzkhx.lawd5kfgnkqi.lxaegsszqjbm.xvtnujjmtiic@gs0.org","CS Director",,"CEO","true","OpportunityRevenue","Grace Hopper","Grace Hopper","Hopper","Month","2020-06-30","026B0000000kC3UIAU","Grace Hopper","true","00EB0000000lgAUMAY","0DbB0000001948lKAA","2020-06-01",,"00EB0000000lgAUMAY","false","true","0G3B0000006lEApKAM","false","Pipeline","00EB0000000lgAZMAY/00EB0000000lgAUMAY",9854296,9854296,9854296,9854296
"Jahnavi Reddy","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAUMAY","false",,"Opportunity Revenue",,"CEO","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","CEO",,,"true","OpportunityRevenue","Jahnavi Reddy","Jahnavi Reddy","Reddy","Month","2020-09-30","026B0000000kC3XIAU","Jahnavi Reddy","true",,"0DbB0000001948lKAA","2020-09-01",,"00EB0000000lgAUMAY","false","true","0G3B0000006lEAqKAM","false","Pipeline","00EB0000000lgAUMAY",0,0,0,0
"Dean Pierce/Mary Eng","true","Dean Pierce","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9qMAA","false","Mary Eng","Opportunity Revenue","VP_of_Sales","RVP_Central","true","005B0000006s9ehIAA","Dean Pierce","dpierce1600302444899@demo.user","RVP Central","true","VP of Sales","true","OpportunityRevenue","Dean Pierce","Dean Pierce","Pierce","Month","2020-09-30","026B0000000kC3XIAU","Dean Pierce","true","00EB0000000lg9lMAA","0DbB0000001948lKAA","2020-09-01","Mary Eng","00EB0000000lg9lMAA","false","true","0G3B0000006lEArKAM","false","Pipeline","00EB0000000lg9qMAA/00EB0000000lg9lMAA",10000,10000,10000,10000
"Mary Eng","true","Mary Eng","https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lg9lMAA","false",,"Opportunity Revenue",,"VP_of_Sales","true","005B0000006YzVQIA0","Mary Eng","astar.ghnhcy3ndl74.kgfv11rbklry.5k3xuhrh2dmx.lyr7dhsw.iq7fuiyjqelq@gs0.org","VP of Sales","true",,"true","OpportunityRevenue","Mary Eng","Mary Eng","Eng","Month","2020-09-30","026B0000000kC3XIAU","Mary Eng","true",,"0DbB0000001948lKAA","2020-09-01",,"00EB0000000lg9lMAA","false","true","0G3B0000006lEAsKAM","false","Pipeline","00EB0000000lg9lMAA",12325,12325,12325,12325
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"true","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2020-06-30","026B0000000kC3UIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2020-06-01",,,"false","true","0G3B0000006lEAtKAM","false","Pipeline",,9959327,9959327,9959327,9959327
"Emily Dickinson","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,"false",,"Opportunity Revenue",,,"true","005B0000006YzVPIA0",,"edickinson.2ou2hzestkvu.iakevcirz6it.esteqqdjq5iq.fl1kscwpqdhh@gs0.org",,,,"false","OpportunityRevenue","Emily Dickinson","Emily Dickinson","Dickinson","Month","2018-12-31","026B0000000kC4PIAU","Emily Dickinson","true",,"0DbB0000001948lKAA","2018-12-01",,,"false","true","0G3B0000006lEAuKAM","false","Closed",,15282129,15282129,15282129,15282129
"Jahnavi Reddy","true",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","00EB0000000lgAUMAY","false",,"Opportunity Revenue",,"CEO","true","005B0000006bm5AIAQ",,"jreddy@gs0.org","CEO",,,"false","OpportunityRevenue","Jahnavi Reddy","Jahnavi Reddy","Reddy","Month","2018-11-30","026B0000000kC4OIAU","Jahnavi Reddy","true",,"0DbB0000001948lKAA","2018-11-01",,"00EB0000000lgAUMAY","false","true","0G3B0000006lEAvKAM","false","Closed","00EB0000000lgAUMAY",471799,471799,471799,471799
