SnapshotTextDate,OwnerName,AccountId,SmallPhotoUrl,ForecastCategory,PredictedWinRate,WinRate,Amount,AccountName,CloseDate,CreatedDate,IsClosed,IsWon,LastProcessedDate,Manager,OpportunityName,OpportunityId,OwnerId,PeriodEndDate,PeriodStartDate,Role,SnapshotDate,SnapshotName
2021-03-12,Erica Fletcher,,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Closed,80,82,"$505,500.00",24-7 Financial.com,2020-10-17,2020-08-19,false,false,2021-06-09,Mary Eng,24-7 Financial.com 19,,005B0000006zLBdIAM,2021-03-19,2021-02-20,RVP Central,2021-03-12,3 Months Ago
2021-06-09,Jeremiah Ballard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,62,64,"$565,000.00",Actavis - Watson Pharma,2021-07-12,2021-04-13,true,true,2021-06-09,Brian Chandler,Actavis - Watson Pharma 20,,,2021-06-19,2021-05-20,East Sales,2021-06-09,Today
2021-04-09,Elizabeth Lewis,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,82,80,"$737,500.00",Draper Fisher Jurvetson,2021-05-18,2021-03-08,false,false,2021-06-09,Dean Pierce,Draper Fisher Jurvetson 21,,,2021-04-19,2021-03-20,Central Sales,2021-04-09,2 Months Ago
2021-05-10,Jeremiah Ballard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,80,77,"$743,000.00",Bain & Company,2020-08-27,2020-06-20,true,true,2021-06-09,Brian Chandler,Bain & Company 22,,,2021-05-19,2021-04-20,East Sales,2021-05-10,1 Month Ago
2021-06-09,Patricia Shepard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,66,61,"$724,000.00",Casey Inc [2543],2020-08-26,2020-06-28,false,false,2021-06-09,Brian Chandler,Casey Inc [2543] 23,,,2021-06-19,2021-05-20,East Sales,2021-06-09,Today
2021-03-12,Amy Johnson,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,59,59,"$708,000.00",Barrett Inc [353],2020-07-20,2020-04-22,true,true,2021-06-09,Gary Hill,Barrett Inc [353] 24,,,2021-03-19,2021-02-20,West Sales,2021-03-12,3 Months Ago
2021-06-09,Rebecca Espinoza,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,76,77,"$649,500.00",Capitolimpact,2020-12-10,2020-09-14,true,true,2021-06-09,Gary Hill,Capitolimpact 25,,,2021-06-19,2021-05-20,West Sales,2021-06-09,Today
2021-03-12,Dean Pierce,,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Pipeline,91,91,"$747,500.00",Catalyst Product Development Group,2021-07-16,2021-06-07,false,false,2021-06-09,Mary Eng,Catalyst Product Development Group 26,,005B0000006zLDrIAM,2021-03-19,2021-02-20,RVP Central,2021-03-12,3 Months Ago
2021-04-09,Kylie Cannon,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,64,61,"$554,500.00",Disney Institute,2021-06-27,2021-04-09,true,true,2021-06-09,Dean Pierce,Disney Institute 27,,,2021-04-19,2021-03-20,Central Sales,2021-04-09,2 Months Ago
2021-05-10,Amy Thomas,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,74,77,"$522,500.00",Cenquest,2020-08-12,2020-05-27,false,false,2021-06-09,Gary Hill,Cenquest 28,,,2021-05-19,2021-04-20,West Sales,2021-05-10,1 Month Ago
2021-04-09,Elizabeth Lewis,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,68,71,"$648,000.00",Directed Electronics,2021-05-30,2021-03-07,true,false,2021-06-09,Dean Pierce,Directed Electronics 29,,,2021-04-19,2021-03-20,Central Sales,2021-04-09,2 Months Ago
2021-05-10,Brian Chandler,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Pipeline,81,79,"$536,000.00",Carolina Biological Supply Co.,2021-05-17,2021-03-03,false,true,2021-06-09,Mary Eng,Carolina Biological Supply Co. 30,,005B0000006zLFOIA2,2021-05-19,2021-04-20,RVP East,2021-05-10,1 Month Ago
2021-03-12,Devin Washington,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,54,51,"$546,000.00",Chipdata Inc,2021-07-18,2021-05-19,false,true,2021-06-09,Brian Chandler,Chipdata Inc 31,,,2021-03-19,2021-02-20,East Sales,2021-03-12,3 Months Ago
2021-06-09,Jane Martin,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,71,74,"$511,500.00",ComTecAC-000036329,2020-08-30,2020-07-12,true,false,2021-06-09,Dean Pierce,ComTecAC-000036329 32,,,2021-06-19,2021-05-20,Central Sales,2021-06-09,Today
2021-03-12,Austin Le,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,54,52,"$650,500.00",Carrefour Technologies,2021-01-31,2020-11-08,false,false,2021-06-09,Brian Chandler,Carrefour Technologies 33,,,2021-03-19,2021-02-20,East Sales,2021-03-12,3 Months Ago
2021-04-09,Karen Mccann,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,83,85,"$631,500.00",Cohu,2021-01-19,2020-11-16,true,true,2021-06-09,Gary Hill,Cohu 34,,,2021-04-19,2021-03-20,West Sales,2021-04-09,2 Months Ago
2021-05-10,Lucas Baxter,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,79,77,"$563,000.00",Education Interface,2021-05-24,2021-03-13,false,false,2021-06-09,Brian Chandler,Education Interface 35,006B0000005ruOKIAY,,2021-05-19,2021-04-20,East Sales,2021-05-10,1 Month Ago
2021-06-09,Erica Fletcher,,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Best Case,69,68,"$686,500.00",Dimensional Insight Incorporated,2021-07-06,2021-04-28,true,true,2021-06-09,Mary Eng,Dimensional Insight Incorporated 36,,005B0000006zLBdIAM,2021-06-19,2021-05-20,RVP Central,2021-06-09,Today
2021-06-09,Gary Hill,,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Closed,66,67,"$650,000.00",Computer Network Solutions,2020-08-29,2020-06-30,true,false,2021-06-09,Mary Eng,Computer Network Solutions 37,,005B0000006zLFqIAM,2021-06-19,2021-05-20,RVP West,2021-06-09,Today
2021-04-09,Oscar Anthony,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,61,62,"$537,000.00",Career Rewards Inc,2021-04-29,2021-02-28,false,true,2021-06-09,Brian Chandler,Career Rewards Inc 38,,,2021-04-19,2021-03-20,East Sales,2021-04-09,2 Months Ago
2021-05-10,Nicole Bowers,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,76,74,"$735,500.00",Barringa,2020-11-26,2020-10-10,true,false,2021-06-09,Dean Pierce,Barringa 39,,,2021-05-19,2021-04-20,Central Sales,2021-05-10,1 Month Ago
2021-03-12,Mary Eng,,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Commit,51,49,"$587,000.00",Chiquita Brands International,2021-03-02,2021-01-27,false,true,2021-06-09,,Chiquita Brands International 40,,005B0000006zLGfIAM,2021-03-19,2021-02-20,VP of Sales,2021-03-12,3 Months Ago
2021-06-09,Ebony Ali,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,82,81,"$710,000.00",Castle Holding Corp.,2021-01-06,2020-11-16,true,true,2021-06-09,Gary Hill,Castle Holding Corp. 41,,,2021-06-19,2021-05-20,West Sales,2021-06-09,Today
2021-04-09,Beth Malone,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,70,69,"$729,500.00",EaseMD Systems,2020-12-05,2020-09-22,false,false,2021-06-09,Gary Hill,EaseMD Systems 42,,,2021-04-19,2021-03-20,West Sales,2021-04-09,2 Months Ago
2021-03-12,Amy Johnson,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,74,73,"$684,000.00",Cargill Meat Solutions,2021-01-26,2020-12-05,true,true,2021-06-09,Gary Hill,Cargill Meat Solutions 43,,,2021-03-19,2021-02-20,West Sales,2021-03-12,3 Months Ago
2021-05-10,Brian Chandler,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Best Case,51,53,"$665,000.00",Crawford Inc [2822],2021-07-02,2021-04-21,false,false,2021-06-09,Mary Eng,Crawford Inc [2822] 44,,005B0000006zLFOIA2,2021-05-19,2021-04-20,RVP East,2021-05-10,1 Month Ago
2021-05-10,Devin Washington,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,93,92,"$725,500.00","Dime Community Bancshares, Inc",2021-03-30,2021-01-21,true,false,2021-06-09,Brian Chandler,"Dime Community Bancshares, Inc 45",,,2021-05-19,2021-04-20,East Sales,2021-05-10,1 Month Ago
2021-03-12,Jeremiah Ballard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,61,57,"$679,500.00",BoldFish  aquired,2021-06-24,2021-05-22,false,true,2021-06-09,Brian Chandler,BoldFish  aquired 46,,,2021-03-19,2021-02-20,East Sales,2021-03-12,3 Months Ago
2021-04-09,Karen Mccann,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,75,76,"$748,500.00",Discover Products,2021-01-01,2020-10-05,true,true,2021-06-09,Gary Hill,Discover Products 47,,,2021-04-19,2021-03-20,West Sales,2021-04-09,2 Months Ago
2021-06-09,Nicole Bowers,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,64,59,"$668,000.00",Chaney Brooks & Co,2020-10-21,2020-08-24,false,false,2021-06-09,Dean Pierce,Chaney Brooks & Co 48,,,2021-06-19,2021-05-20,Central Sales,2021-06-09,Today
2021-06-09,Amy Thomas,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,53,55,"$632,000.00","Crow Holdings Capital Partners, L.L.C.",2020-10-16,2020-07-19,false,true,2021-06-09,Gary Hill,"Crow Holdings Capital Partners, L.L.C. 49",,,2021-06-19,2021-05-20,West Sales,2021-06-09,Today
2021-05-10,Austin Le,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,77,76,"$563,000.00",CellTrax,2020-12-19,2020-09-21,true,false,2021-06-09,Brian Chandler,CellTrax 50,,,2021-05-19,2021-04-20,East Sales,2021-05-10,1 Month Ago
2021-03-12,Oscar Anthony,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,62,61,"$525,500.00",Counsel Springwell Capital Partners,2021-01-25,2020-11-17,true,false,2021-06-09,Brian Chandler,Counsel Springwell Capital Partners 51,,,2021-03-19,2021-02-20,East Sales,2021-03-12,3 Months Ago
2021-04-09,Gary Hill,,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Pipeline,78,81,"$598,500.00",Cogent,2021-02-07,2020-12-24,false,true,2021-06-09,Mary Eng,Cogent 52,,005B0000006zLFqIAM,2021-04-19,2021-03-20,RVP West,2021-04-09,2 Months Ago
2021-06-09,Mary Eng,,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Closed,84,81,"$695,500.00",Edwards Brothers,2020-11-14,2020-09-25,true,false,2021-06-09,,Edwards Brothers 53,,005B0000006zLGfIAM,2021-06-19,2021-05-20,VP of Sales,2021-06-09,Today
2021-05-10,Patricia Shepard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,83,83,"$647,000.00",Fuller Marketing Inc,2020-10-11,2020-08-03,false,true,2021-06-09,Brian Chandler,Fuller Marketing Inc 54,,,2021-05-19,2021-04-20,East Sales,2021-05-10,1 Month Ago
2021-04-09,Ebony Ali,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,86,87,"$514,500.00",Cortez Inc [2182],2021-05-02,2021-02-21,false,true,2021-06-09,Gary Hill,Cortez Inc [2182] 55,,,2021-04-19,2021-03-20,West Sales,2021-04-09,2 Months Ago
2021-03-12,Beth Malone,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,50,49,"$639,000.00",Disha Technologies,2021-06-03,2021-03-18,true,false,2021-06-09,Gary Hill,Disha Technologies 56,,,2021-03-19,2021-02-20,West Sales,2021-03-12,3 Months Ago
2021-05-10,Lucas Baxter,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,69,72,"$621,500.00",Cerner Radiology Info Systems,2020-12-24,2020-09-29,true,false,2021-06-09,Brian Chandler,Cerner Radiology Info Systems 57,,,2021-05-19,2021-04-20,East Sales,2021-05-10,1 Month Ago
2021-04-09,Elizabeth Lewis,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,61,59,"$706,000.00",Chandler Inc [184],2021-01-21,2020-11-19,false,true,2021-06-09,Dean Pierce,Chandler Inc [184] 58,,,2021-04-19,2021-03-20,Central Sales,2021-04-09,2 Months Ago
2021-06-09,Rebecca Espinoza,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,72,70,"$529,500.00",Crane Aerospace Division / Hydro  Aire,2020-08-11,2020-06-21,true,false,2021-06-09,Gary Hill,Crane Aerospace Division / Hydro  Aire 59,,,2021-06-19,2021-05-20,West Sales,2021-06-09,Today
2021-03-12,Erica Fletcher,,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Closed,53,51,"$738,500.00",Boone Inc [775],2021-04-27,2021-03-23,false,true,2021-06-09,Mary Eng,Boone Inc [775] 60,,005B0000006zLBdIAM,2021-03-19,2021-02-20,RVP Central,2021-03-12,3 Months Ago
2021-05-10,Dean Pierce,,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Closed,77,76,"$736,500.00",Digital River,2020-08-28,2020-05-30,false,true,2021-06-09,Mary Eng,Digital River 61,,005B0000006zLDrIAM,2021-05-19,2021-04-20,RVP Central,2021-05-10,1 Month Ago
2021-04-09,Jane Martin,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,81,79,"$652,000.00",ESPN PARENT,2021-05-04,2021-02-27,true,false,2021-06-09,Dean Pierce,ESPN PARENT 62,,,2021-04-19,2021-03-20,Central Sales,2021-04-09,2 Months Ago
2021-03-12,Kylie Cannon,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,76,74,"$500,000.00",Covega Corp.,2020-12-14,2020-09-15,false,false,2021-06-09,Dean Pierce,Covega Corp. 63,,,2021-03-19,2021-02-20,Central Sales,2021-03-12,3 Months Ago
2021-06-09,Ebony Ali,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,50,52,"$706,500.00",Connections for Business,2020-10-01,2020-07-22,true,true,2021-06-09,Gary Hill,Connections for Business 64,,,2021-06-19,2021-05-20,West Sales,2021-06-09,Today
2021-05-10,Amy Thomas,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,60,61,"$612,500.00",ConAgra Mills,2021-03-17,2021-01-02,false,true,2021-06-09,Gary Hill,ConAgra Mills 65,,,2021-05-19,2021-04-20,West Sales,2021-05-10,1 Month Ago
2021-03-12,Gary Hill,,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Closed,73,76,"$537,000.00",Boone Inc [1309],2020-12-15,2020-10-13,true,false,2021-06-09,Mary Eng,Boone Inc [1309] 66,,005B0000006zLFqIAM,2021-03-19,2021-02-20,RVP West,2021-03-12,3 Months Ago
2021-04-09,Karen Mccann,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,95,97,"$587,000.00",Comac,2021-07-14,2021-05-27,true,true,2021-06-09,Gary Hill,Comac 67,,,2021-04-19,2021-03-20,West Sales,2021-04-09,2 Months Ago
2021-06-09,Brian Chandler,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Closed,67,65,"$629,000.00",Colorado Springs Utilities,2021-02-09,2020-12-13,false,false,2021-06-09,Mary Eng,Colorado Springs Utilities 68,,005B0000006zLFOIA2,2021-06-19,2021-05-20,RVP East,2021-06-09,Today
2021-05-10,Nicole Bowers,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,86,83,"$577,000.00",Boston Institutional Svc Inc,2021-01-09,2020-11-16,false,true,2021-06-09,Dean Pierce,Boston Institutional Svc Inc 69,,,2021-05-19,2021-04-20,Central Sales,2021-05-10,1 Month Ago
2021-03-12,Oscar Anthony,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,78,76,"$665,500.00",Conversus Group,2021-05-02,2021-03-18,true,false,2021-06-09,Brian Chandler,Conversus Group 70,,,2021-03-19,2021-02-20,East Sales,2021-03-12,3 Months Ago
2021-04-09,Lucas Baxter,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,51,53,"$645,500.00",Cenatek,2020-11-22,2020-08-26,false,false,2021-06-09,Brian Chandler,Cenatek 71,,,2021-04-19,2021-03-20,East Sales,2021-04-09,2 Months Ago
2021-06-09,Patricia Shepard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,67,67,"$625,500.00",Centon Electronics,2021-03-21,2021-02-07,true,true,2021-06-09,Brian Chandler,Centon Electronics 72,,,2021-06-19,2021-05-20,East Sales,2021-06-09,Today
2021-03-12,Amy Johnson,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,56,59,"$643,000.00",Digital Office Products,2020-10-05,2020-07-17,false,true,2021-06-09,Gary Hill,Digital Office Products 73,,,2021-03-19,2021-02-20,West Sales,2021-03-12,3 Months Ago
2021-04-09,Beth Malone,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,73,71,"$644,500.00",Critigen,2021-02-01,2020-12-02,true,false,2021-06-09,Gary Hill,Critigen 74,,,2021-04-19,2021-03-20,West Sales,2021-04-09,2 Months Ago
2021-06-09,Erica Fletcher,,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Pipeline,87,86,"$542,500.00",Centaur Building Services,2021-07-19,2021-05-13,true,false,2021-06-09,Mary Eng,Centaur Building Services 75,,005B0000006zLBdIAM,2021-06-19,2021-05-20,RVP Central,2021-06-09,Today
2021-05-10,Dean Pierce,,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Closed,54,52,"$624,000.00",Cognitive Arts Corp,2021-06-09,2021-05-04,false,true,2021-06-09,Mary Eng,Cognitive Arts Corp 76,,005B0000006zLDrIAM,2021-05-19,2021-04-20,RVP Central,2021-05-10,1 Month Ago
2021-06-09,Devin Washington,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,58,61,"$742,000.00",Future Computing Solutions,2021-01-23,2020-11-10,false,true,2021-06-09,Brian Chandler,Future Computing Solutions 77,,,2021-06-19,2021-05-20,East Sales,2021-06-09,Today
2021-04-09,Austin Le,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,78,78,"$559,000.00",Compx International,2021-05-01,2021-02-10,true,false,2021-06-09,Brian Chandler,Compx International 78,,,2021-04-19,2021-03-20,East Sales,2021-04-09,2 Months Ago
2021-03-12,Jeremiah Ballard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,80,80,"$619,500.00",Celanese Chemicals,2021-03-13,2021-02-04,true,false,2021-06-09,Brian Chandler,Celanese Chemicals 79,,,2021-03-19,2021-02-20,East Sales,2021-03-12,3 Months Ago
2021-05-10,Mary Eng,,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Commit,51,50,"$701,500.00",Capture Technologies,2020-11-12,2020-08-26,false,true,2021-06-09,,Capture Technologies 80,,005B0000006zLGfIAM,2021-05-19,2021-04-20,VP of Sales,2021-05-10,1 Month Ago
2021-05-10,Kylie Cannon,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,60,56,"$661,000.00",CarbonMedia,2020-12-19,2020-10-26,true,true,2021-06-09,Dean Pierce,CarbonMedia 81,,,2021-05-19,2021-04-20,Central Sales,2021-05-10,1 Month Ago
2021-06-09,Jane Martin,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,58,55,"$561,500.00",Careopia!,2021-03-05,2021-01-16,false,false,2021-06-09,Dean Pierce,Careopia! 82,,,2021-06-19,2021-05-20,Central Sales,2021-06-09,Today
2021-04-09,Elizabeth Lewis,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,81,83,"$663,500.00",Contract Management Solutions,2021-06-29,2021-05-19,false,false,2021-06-09,Dean Pierce,Contract Management Solutions 83,,,2021-04-19,2021-03-20,Central Sales,2021-04-09,2 Months Ago
2021-03-12,Rebecca Espinoza,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,56,53,"$647,000.00",Coldwell Banker,2021-07-23,2021-05-25,true,true,2021-06-09,Gary Hill,Coldwell Banker 84,,,2021-03-19,2021-02-20,West Sales,2021-03-12,3 Months Ago
2021-06-09,Devin Washington,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,73,72,"$570,500.00",Cognex Corporation,2020-08-15,2020-06-17,false,false,2021-06-09,Brian Chandler,Cognex Corporation 85,,,2021-06-19,2021-05-20,East Sales,2021-06-09,Today
2021-03-12,Mary Eng,,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Best Case,71,68,"$622,500.00",Ceeva Inc,2021-02-11,2020-12-25,true,true,2021-06-09,,Ceeva Inc 86,,005B0000006zLGfIAM,2021-03-19,2021-02-20,VP of Sales,2021-03-12,3 Months Ago
2021-04-09,Patricia Shepard,,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,83,85,"$563,000.00",Distrigas Of Massachusetts,2021-01-11,2020-10-15,false,false,2021-06-09,Brian Chandler,Distrigas Of Massachusetts 87,,,2021-04-19,2021-03-20,East Sales,2021-04-09,2 Months Ago
