LastProcessedDate,Manager,OwnerId,OwnerName,PeriodAuxDate,PeriodName,QuotaAmount,Role,SmallPhotoUrl,StartDate
2021-05-13,Gary Hill,,Beth Malone,2021-04-26,1 Month Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Gary Hill,,Amy Thomas,2021-04-17,1 Month Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Gary Hill,,Ebony Ali,2021-04-09,1 Month Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Gary Hill,,Amy Johnson,2021-04-15,1 Month Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Dean Pierce,,Kylie Cannon,2021-04-04,1 Month Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Dean Pierce,,Jane Martin,2021-04-24,1 Month Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Brian Chandler,,Lucas Baxter,2021-04-15,1 Month Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Brian Chandler,,Austin Le,2021-04-25,1 Month Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Mary Eng,,Gary Hill,2021-04-30,1 Month Ago,"$600,000.00",RVP West,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Brian Chandler,,Patricia Shepard,2021-04-15,1 Month Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,,,Mary Eng,2021-04-27,1 Month Ago,"$600,000.00",VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Brian Chandler,,Oscar Anthony,2021-04-19,1 Month Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Brian Chandler,,Jeremiah Ballard,2021-04-29,1 Month Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Dean Pierce,,Nicole Bowers,2021-04-12,1 Month Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Dean Pierce,,Elizabeth Lewis,2021-03-01,2 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Gary Hill,,Amy Johnson,2021-03-19,2 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Brian Chandler,,Jeremiah Ballard,2021-03-14,2 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Gary Hill,,Rebecca Espinoza,2021-03-26,2 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Dean Pierce,,Nicole Bowers,2021-03-05,2 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Brian Chandler,,Oscar Anthony,2021-03-14,2 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Gary Hill,,Ebony Ali,2021-03-08,2 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Mary Eng,,Brian Chandler,2021-03-18,2 Months Ago,"$600,000.00",RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Brian Chandler,,Patricia Shepard,2021-03-23,2 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Brian Chandler,,Devin Washington,2021-03-17,2 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Gary Hill,,Amy Thomas,2021-03-09,2 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Brian Chandler,,Lucas Baxter,2021-03-16,2 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Mary Eng,,Erica Fletcher,2021-03-11,2 Months Ago,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Mary Eng,,Dean Pierce,2021-03-15,2 Months Ago,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Gary Hill,,Karen Mccann,2021-03-08,2 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Dean Pierce,,Kylie Cannon,2021-03-28,2 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Brian Chandler,,Austin Le,2021-03-18,2 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Dean Pierce,,Jane Martin,2021-03-01,2 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Mary Eng,,Gary Hill,2021-03-16,2 Months Ago,"$600,000.00",RVP West,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,,,Mary Eng,2021-03-22,2 Months Ago,"$600,000.00",VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Gary Hill,,Beth Malone,2021-03-14,2 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-03-01
2021-05-13,Dean Pierce,,Kylie Cannon,2021-02-02,3 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Mary Eng,,Brian Chandler,2021-02-20,3 Months Ago,"$600,000.00",RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Brian Chandler,,Lucas Baxter,2021-02-25,3 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Dean Pierce,,Jane Martin,2021-02-08,3 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Gary Hill,,Amy Johnson,2021-02-19,3 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Dean Pierce,,Elizabeth Lewis,2021-02-03,3 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Gary Hill,,Karen Mccann,2021-02-08,3 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Gary Hill,,Amy Thomas,2021-02-19,3 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Brian Chandler,,Oscar Anthony,2021-02-25,3 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Mary Eng,,Gary Hill,2021-02-17,3 Months Ago,"$600,000.00",RVP West,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Brian Chandler,,Austin Le,2021-02-07,3 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Gary Hill,,Beth Malone,2021-02-21,3 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Brian Chandler,,Devin Washington,2021-02-18,3 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Brian Chandler,,Patricia Shepard,2021-02-10,3 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Dean Pierce,,Nicole Bowers,2021-02-07,3 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Gary Hill,,Ebony Ali,2021-02-14,3 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Mary Eng,,Dean Pierce,2021-02-10,3 Months Ago,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Mary Eng,,Erica Fletcher,2021-02-26,3 Months Ago,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Gary Hill,,Rebecca Espinoza,2021-02-21,3 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Brian Chandler,,Jeremiah Ballard,2021-02-18,3 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,,,Mary Eng,2021-02-27,3 Months Ago,"$600,000.00",VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-02-01
2021-05-13,Mary Eng,,Gary Hill,2021-01-12,4 Months Ago,"$600,000.00",RVP West,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Brian Chandler,,Devin Washington,2021-01-22,4 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Gary Hill,,Karen Mccann,2021-01-09,4 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Brian Chandler,,Patricia Shepard,2021-01-29,4 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Mary Eng,,Erica Fletcher,2021-01-20,4 Months Ago,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Dean Pierce,,Kylie Cannon,2021-01-29,4 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Gary Hill,,Beth Malone,2021-01-21,4 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Mary Eng,,Dean Pierce,2021-01-27,4 Months Ago,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Gary Hill,,Rebecca Espinoza,2021-01-17,4 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Brian Chandler,,Austin Le,2021-01-18,4 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,,,Mary Eng,2021-01-21,4 Months Ago,"$600,000.00",VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Gary Hill,,Ebony Ali,2021-01-21,4 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Mary Eng,,Brian Chandler,2021-01-06,4 Months Ago,"$600,000.00",RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Dean Pierce,,Jane Martin,2021-01-08,4 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Brian Chandler,,Jeremiah Ballard,2021-01-23,4 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Dean Pierce,,Elizabeth Lewis,2021-01-06,4 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Gary Hill,,Amy Thomas,2021-01-26,4 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Brian Chandler,,Lucas Baxter,2021-01-12,4 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Gary Hill,,Amy Johnson,2021-01-31,4 Months Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Brian Chandler,,Oscar Anthony,2021-01-31,4 Months Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,Dean Pierce,,Nicole Bowers,2021-01-14,4 Months Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-01-01
2021-05-13,,,Mary Eng,2020-12-09,5 Months Ago,"$170,000.00",VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Mary Eng,,Gary Hill,2020-12-18,5 Months Ago,"$150,000.00",RVP West,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Mary Eng,,Brian Chandler,2020-12-15,5 Months Ago,"$220,000.00",RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Dean Pierce,,Elizabeth Lewis,2020-12-20,5 Months Ago,"$224,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Dean Pierce,,Jane Martin,2020-12-28,5 Months Ago,"$150,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Dean Pierce,,Nicole Bowers,2020-12-20,5 Months Ago,"$158,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Brian Chandler,,Patricia Shepard,2020-12-12,5 Months Ago,"$166,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Dean Pierce,,Kylie Cannon,2020-12-14,5 Months Ago,"$112,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Brian Chandler,,Jeremiah Ballard,2020-12-09,5 Months Ago,"$198,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Brian Chandler,,Lucas Baxter,2020-12-04,5 Months Ago,"$139,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Brian Chandler,,Oscar Anthony,2020-12-28,5 Months Ago,"$198,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Gary Hill,,Ebony Ali,2020-12-23,5 Months Ago,"$220,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Gary Hill,,Beth Malone,2020-12-04,5 Months Ago,"$153,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Gary Hill,,Amy Thomas,2020-12-06,5 Months Ago,"$114,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Mary Eng,,Erica Fletcher,2020-12-21,5 Months Ago,"$181,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Brian Chandler,,Devin Washington,2020-12-19,5 Months Ago,"$123,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Gary Hill,,Rebecca Espinoza,2020-12-01,5 Months Ago,"$210,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Mary Eng,,Dean Pierce,2020-12-18,5 Months Ago,"$246,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Brian Chandler,,Austin Le,2020-12-09,5 Months Ago,"$227,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Gary Hill,,Karen Mccann,2020-12-13,5 Months Ago,"$179,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
2021-05-13,Gary Hill,,Amy Johnson,2020-12-08,5 Months Ago,"$166,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2020-12-01
