"Opportunity.Owner.UniqueUserName","Account.Owner.Role.RolePath","Account.LastReferencedDate","Account.Owner.UniqueUserName","Opportunity.IsWon","Quote.SBQQ__Status__c","Quote.SBQQ__Primary__c","Owner.Role.ParentRole.Name","Quote.SBQQ__SalesRep__c","Account.SBQQ__AssetQuantitiesCombined__c","Opportunity.SBQQ__Renewal__c","Account.BillingPostalCode","Owner.Username","Account.SBQQ__PriceHoldEnd__c","Quote.SBQQ__BillingPostalCode__c","Quote.SBQQ__ContractingMethod__c","Opportunity.SBQQ__Contracted__c","IsDeleted","StatusPreviousValue","Account.SBQQ__RenewalPricingMethod__c","Opportunity.Owner.Name","Owner.Role.RolePath","Quote.SBQQ__EmailTemplateId__c","Quote.SBQQ__ShippingName__c","Approvals.SubmittedBy.UniqueUserName","Quote.LastReferencedDate","Account.SBQQ__CoTermedContractsCombined__c","Quote.SBQQ__LineItemsGrouped__c","Account.BillingGeocodeAccuracy","Account.BillingCountry","Opportunity.LastModifiedDate","Quote.SBQQ__BillingCountry__c","Id","Quote.SBQQ__QuoteProcessId__c","Quote.LastViewedDate","Account.LastActivityDate","Owner.Role.RoleNames","Owner.UniqueUserName","Quote.SBQQ__ExpirationDate__c","Owner.FullPhotoUrl","Quote.SBQQ__QuoteTemplateId__c","Quote.SBQQ__ShippingState__c","Account.Id","Opportunity.LastActivityDate","Quote.SBQQ__ShippingPostalCode__c","Opportunity.Owner.Role.Name","Quote.SBQQ__ShippingCountry__c","Account.BillingCity","Opportunity.SBQQ__QuotePricebookId__c","Quote.SBQQ__Ordered__c","Opportunity.HasOpenActivity","ParentId","Opportunity.Name","Owner.Name","Opportunity.CloseDate","Quote.SBQQ__EndDate__c","Account.BillingState","Account.LastViewedDate","Account.Owner.Name","Opportunity.HasOverdueTask","Quote.SBQQ__FirstSegmentTermEndDate__c","Quote.SBQQ__Introduction__c","Quote.SBQQ__WatermarkShown__c","Account.SBQQ__ContractCoTermination__c","Approvals.Approver.UniqueUserName","Opportunity.CreatedDate","Quote.LastActivityDate","Quote.SBQQ__Key__c","Quote.SBQQ__GenerateContractedPrice__c","Quote.SBQQ__BillingName__c","Quote.SBQQ__ShippingStreet__c","Quote.SBQQ__ShippingCity__c","Quote.Id","Opportunity.SBQQ__CreateContractedPrices__c","Quote.Name","OldValue","Account.ShippingCountry","Opportunity.SBQQ__Ordered__c","Quote.SBQQ__DocumentStatus__c","Quote.SBQQ__PricebookId__c","Quote.IsDeleted","Owner.Role.Hierarchy_RoleNames","CreatedById","Opportunity.Owner.Role.RolePath","Account.ShippingCity","Owner.Role.Name","Account.Owner.Role.Roles","Opportunity.LastReferencedDate","Opportunity.StageName","Owner.Role.DeveloperName","Account.CreatedDate","Owner.Role.RoleNamesPath","Opportunity.Owner.Role.ParentRoleId","Account.SBQQ__CoTerminationEvent__c","Quote.LastModifiedDate","Quote.SBQQ__Opportunity2__c","Quote.SBQQ__BillingCity__c","Opportunity.Id","Opportunity.IsClosed","Quote.SBQQ__Notes__c","Quote.SBQQ__LineItemsPrinted__c","CreatedDate","NewValue","StatusValue","Opportunity.AccountId","Account.SBQQ__RenewalModel__c","Quote.SBQQ__BillingStreet__c","Account.ShippingState","Quote.SBQQ__DeliveryMethod__c","Quote.SBQQ__StartDate__c","Account.Owner.Role.Name","Opportunity.ForecastCategoryName","Account.ShippingGeocodeAccuracy","Owner.SmallPhotoUrl","Owner.Role.ParentRoleId","NextCreatedDate","Field","Account.SBQQ__PreserveBundle__c","Quote.SBQQ__PaymentTerms__c","Quote.SBQQ__BillingState__c","Opportunity.ForecastCategory","Account.PhotoUrl","Opportunity.LastViewedDate","Opportunity.Owner.Role.Roles","Owner.UserRoleId","Quote.CreatedDate","Quote.SBQQ__Type__c","Account.Owner.Role.ParentRoleId","Quote.SBQQ__BillingFrequency__c","Account.BillingStreet","Account.ShippingStreet","Owner.Role.Roles","Owner.Role.ParentRole.DeveloperName","Account.ShippingPostalCode","Account.LastModifiedDate","Account.Name","Account.SBQQ__IgnoreParentContractedPrices__c","Account.ShippingLongitude","Account.BillingLatitude","TimePerStatus","Quote.SBQQ__PartnerDiscount__c","Quote.SBQQ__RegularAmount__c","Quote.SBQQ__DistributorDiscount__c","Quote.SBQQ__DaysQuoteOpen__c","Quote.SBQQ__LineItemCount__c","Opportunity.Probability","Quote.SBQQ__TargetCustomerAmount__c","Quote.SBQQ__NetAmount__c","Account.BillingLongitude","Quote.SBQQ__TotalCustomerDiscountAmount__c","Quote.SBQQ__CustomerAmount__c","Quote.SBQQ__AdditionalDiscountAmount__c","Quote.SBQQ__AveragePartnerDiscount__c","Quote.SBQQ__AverageCustomerDiscount__c","Quote.SBQQ__SubscriptionTerm__c","Quote.SBQQ__ListAmount__c","Quote.SBQQ__CustomerDiscount__c","Account.ShippingLatitude","Quote.SBQQ__MarkupRate__c","Opportunity.Amount"
"Joseph Zomayah",,,"Joseph Zomayah","true","Draft","true",,"005B0000004ixyLIAQ","false","false","39832","mayah1536693294190@demo.user",,"39832","By Subscription End Date","true","false","Draft","Same","Joseph Zomayah",,,"Mr. Sparkle",,,"false","false",,"USA","2018-09-24T16:37:27.000Z","USA","a91B00000008OSTIA2","a2aB00000009J0TIAU",,,,"Joseph Zomayah","2018-06-12","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"Georgia","001B000000nQA06IAG",,"39832",,"USA","Savannah","01sB0000001KrsAIAS","false","false","a2dB0000000B7UhIAK","Spring 2018","Joseph Zomayah","2018-07-22",,"Georgia",,"Joseph Zomayah","false",,"Greetings Homer Satoshi,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your","true","Prompt",,"2018-06-06T01:49:56.000Z",,,,"Mr. Sparkle","8645 Green Rabbit Row","Savannah","a2dB0000000B7UhIAK","false","Q-00649",,"USA","true",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Savannah",,,,"Closed Won",,"2017-10-17T21:56:28.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6L9IAK","Savannah","006B0000004P6L9IAK","true",,"true","2018-06-06T01:51:07.000Z",,"Draft","001B000000nQA06IAG","Contract Based","8645 Green Rabbit Row","Georgia",,"2018-06-05",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","false","Net 30","Georgia","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"8645 Green Rabbit Row","8645 Green Rabbit Row",,,"39832","2018-09-11T19:15:37.000Z","Mr. Sparkle","false",0,0,3967733,0,3390343.6,0,20,17,100,3000000,3000000,0,483400.45,3000000,390343.6,0,13.9,36,3483400.45,0,0,0,3000000
"Jamie Trigg",,,"Jamie Trigg","true","Draft","true",,"005B0000004ixxXIAQ","false","false","W6 0QW","jamie1536693294136@demo.user",,"W6 0QW","By Subscription End Date","true","false","Draft","Same","Jamie Trigg",,,"Zaptech",,,"true","false",,"United Kingdom","2018-09-24T16:37:34.000Z","United Kingdom","a91B00000008OSUIA2","a2aB00000009J0TIAU",,,,"Jamie Trigg","2018-07-09","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,,"001B000000nQ9xDIAS",,"W6 0QW",,"United Kingdom","London","01sB0000001KrsAIAS","false","false","a2dB0000000B7VVIA0","new","Jamie Trigg","2018-09-26",,,,"Jamie Trigg","false",,"Greetings Igor Guzvinec,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your","true","Always",,"2018-07-02T16:08:40.000Z",,,,"Zaptech","100 King Street","London","a2dB0000000B7VVIA0","false","Q-00699",,"United Kingdom","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"London",,,,"Closed Won",,"2018-04-20T14:13:40.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6MdIAK","London","006B0000004P6MdIAK","true",,"true","2018-07-02T16:08:53.000Z",,"Draft","001B000000nQ9xDIAS","Contract Based","100 King Street",,,"2018-08-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","true","Net 30",,"Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"100 King Street","100 King Street",,,"W6 0QW","2018-09-11T19:15:37.000Z","Zaptech","false",0,0,7372267,0,793401.2,0,20,9,100,0,793401.2,0,11998.95,793401.2,0,0,1.5,12,805400.15,0,0,0,793401.2
"Chris Robison",,,"Chris Robison","false","Draft","true",,"005B0000004ixy9IAA","true","false","27502","bison1536693294173@demo.user",,"27502","By Subscription End Date","false","false","Draft","Uplift","Chris Robison",,,"Dave's Documents",,,"true","false",,"United States","2018-09-24T16:37:34.000Z","United States","a91B00000008OSVIA2",,,,,"Chris Robison","2018-04-19","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"NC","001B000000nQ9x4IAC",,"27614",,"United States","Apex","01sB0000001KrsAIAS","false","false","a2dB0000000B7TOIA0","First Purchase","Chris Robison","2018-10-07",,"NC",,"Chris Robison","false",,"Yo Dave - let's play paintball this week!


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. ","true","Always",,"2018-04-13T00:41:09.000Z",,,,"Dave's Documents","10600 Hanarry Court","Raleigh","a2dB0000000B7TOIA0","false","Q-00568",,"United States","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Raleigh",,,,"Proposal/Price Quote",,"2018-04-13T00:38:34.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6NQIA0","Apex","006B0000004P6NQIA0","false",,"true","2018-04-13T00:41:20.000Z",,"Draft","001B000000nQ9x4IAC","Contract Based","311 Cameron Glen Drive","NC",,"2018-05-01",,"Pipeline",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","true","Net 60","NC","Pipeline",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"311 Cameron Glen Drive","10600 Hanarry Court",,,"27614","2018-09-11T19:15:37.000Z","Dave's Documents","false",0,0,15018028,0,439888,0,20,19,75,0,439888,0,0.15,439888,0,0,0,12,439888.15,0,0,0,439888
"Shea Maunsell",,,"Shea Maunsell","true","Draft","true",,"005B0000004ixxmIAA","false","false","60654","shea1536693294149@demo.user",,"60654","By Subscription End Date","true","false","Draft","Same","Shea Maunsell",,,"Wall-e",,,"false","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008OSWIA2","a2aB00000009J0TIAU",,,,"Shea Maunsell","2018-06-26","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"IL","001B000000nQA0SIAW",,"60654",,"United States","Chicago","01sB0000001KrsAIAS","false","false","a2dB0000000B7XDIA0","Securities","Shea Maunsell","2018-05-05",,"IL",,"Shea Maunsell","false",,"Greetings Wall E,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help a","true","Never",,"2018-06-19T22:58:50.000Z",,,,"Wall-e","111 West Illinois Street","Chicago","a2dB0000000B7XDIA0","false","Q-00805",,,"false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,,,,,"Closed Won",,"2018-06-19T22:54:43.000Z",,,,"2018-09-23T22:03:30.000Z","006B0000004P6LPIA0","Chicago","006B0000004P6LPIA0","true",,"true","2018-06-19T22:59:06.000Z",,"Draft","001B000000nQA0SIAW","Contract Based","111 West Illinois Street",,,"2018-07-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","true","Net 30","IL","Closed",,,,"000000000000000AAA","2018-09-11T15:44:29.000Z","Quote",,,"111 West Illinois Street",,,,,"2018-09-11T19:15:38.000Z","Wall-e","false",0,0,-3970746,0,647600,0,20,11,100,0,647600,0,0.15,647600,0,0,0,12,647600.15,0,0,0,647600
"Martin Manager",,,"Martin Manager","true","Accepted","true",,"005B0000004ixnIIAQ","true","false","97223","manager1536693294085@demo.user",,"97223","By Subscription End Date","true","false","Draft","Same","Martin Manager",,,"School District",,,"true","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008OSXIA2","a2aB00000009J0TIAU",,,,"Martin Manager","2018-06-28","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"OR","001B000000nQ9xBIAS",,"97223",,"United States","Tigard","01sB0000001KrsAIAS","false","false","a2dB0000000B7X8IAK","Demo Opportunity","Martin Manager","2018-01-20",,"OR",,"Martin Manager","false",,"Greetings Chrissy Thompson,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, y","false","Always",,"2018-06-22T02:33:25.000Z",,,,"School District","12375 Southwest Hall Boulevard","Tigard","a2dB0000000B7X8IAK","false","Q-00800",,"United States","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Tigard",,,,"Closed Won",,"2018-06-22T02:22:50.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6KKIA0","Tigard","006B0000004P6KKIA0","true",,"true","2018-06-22T02:34:02.000Z",,"Draft","001B000000nQ9xBIAS","Contract Based","12375 Southwest Hall Boulevard","OR",,"2018-07-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,"2018-06-22T02:39:55.000Z","created","true","Net 30","OR","Closed",,,,"000000000000000AAA","2018-09-11T15:44:29.000Z","Quote",,,"12375 Southwest Hall Boulevard","12375 Southwest Hall Boulevard",,,"97223","2018-09-11T19:15:37.000Z","School District","false",0,0,353,0,20000,0,0,4,100,0,20000,0,0,20000,0,0,0,12,20000,0,0,0,20000
"KayLeigh Dent",,,"KayLeigh Dent","false","Approved","true",,"005B0000004ixyBIAQ","true","false","92660","kdent1536693294176@demo.user",,"92660","By Subscription End Date","true","false","Draft","List","KayLeigh Dent",,,"Irvine Company","KayLeigh Dent",,"true","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008OSYIA2","a2aB00000009J0TIAU",,,,"KayLeigh Dent","2018-09-06","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"CA","001B000000nQA14IAG",,"92660",,"United States","Newport Beach","01sB0000001KrsAIAS","false","false","a2dB0000000B7UwIAK","Solution Opportunity","KayLeigh Dent","2018-07-13",,"CA",,"KayLeigh Dent","false",,"Greetings Irvine Company ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo","true","Always","KayLeigh Dent","2018-08-30T05:43:11.000Z",,,,"Irvine Company","550 Newport Center Drive","Newport Beach","a2dB0000000B7UwIAK","false","Q-00664",,"United States","true",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Newport Beach",,,,"Proposal/Price Quote",,"2017-11-29T07:54:46.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6LoIAK","Newport Beach","006B0000004P6LoIAK","false",,"true","2018-08-31T05:12:09.000Z",,"Draft","001B000000nQA14IAG","Contract Based","550 Newport Center Drive","CA",,"2018-09-01",,"Pipeline",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,"2018-09-01T04:51:59.000Z","created","true","Net 30","CA","Pipeline",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"550 Newport Center Drive","550 Newport Center Drive",,,"92660","2018-09-11T19:15:38.000Z","Irvine Company","false",0,0,85190,0,1461194.74,0,20,11,75,0,1461194.74,0,149800.86,1461194.74,0,0,9.3,24,1610995.6,0,0,0,1461194.74
"Joel Garrett",,,"Ronald Scott","true","Draft","true",,"005B0000004ixyHIAQ","false","false","89950","rrett1536693294184@demo.user",,"89950","By Subscription End Date","true","false","Draft","Same","Joel Garrett",,,"Acme Corp",,,"false","false",,"USA","2018-09-24T16:37:27.000Z","USA","a91B00000008OSZIA2","a2aB00000009J0TIAU",,,,"Joel Garrett","2018-07-06","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"Nevada","001B000000nQ9z2IAC",,"89950",,"USA","Reno","01sB0000001KrsAIAS","false","false","a2dB0000000B7W3IAK","test oppty","Joel Garrett","2018-09-25",,"Nevada",,"Ronald Scott","false",,"Greetings Elliot Alderson,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo","true","Never",,"2018-06-30T02:05:58.000Z",,,,"Acme Corp","6027 Honey Terrace","Reno","a2dB0000000B7W3IAK","false","Q-00733",,"USA","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Reno",,,,"Closed Won",,"2017-10-17T21:56:28.000Z",,,,"2018-09-23T22:03:32.000Z","006B0000004P6M8IAK","Reno","006B0000004P6M8IAK","true",,"true","2018-06-30T02:06:08.000Z",,"Draft","001B000000nQ9z2IAC","Contract Based","6027 Honey Terrace","Nevada",,"2018-07-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","false","Net 30","Nevada","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"6027 Honey Terrace","6027 Honey Terrace",,,"89950","2018-09-11T19:15:37.000Z","Acme Corp","false",0,0,7509232,0,674120,0,20,9,100,0,674120,0,0.15,674120,0,0,0,12,674120.15,0,0,0,674120
,,,,,"Draft","true",,,,,,,,,"By Subscription End Date",,"false","Draft",,,,,,,,,"false",,,,,"a91B00000008OSaIAM","a2aB00000009J0TIAU",,,,,"2018-09-06",,,,,,,,,,,"false",,"a2dB0000000B7UxIAK",,,,,,,,,,"Greetings  ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and gu","true",,,,,,,,,,"a2dB0000000B7UxIAK",,"Q-00665",,,,,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,,,,,,,,,,,"2018-09-23T22:03:30.000Z",,,,,,"true","2018-08-31T06:31:09.000Z",,"Draft",,,,,,"2018-08-31",,,,,,,"created",,"Net 30",,,,,,,"2018-09-11T15:44:27.000Z","Quote",,,,,,,,,,,0,0,2901039,0,0,0,20,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"Josh Horn",,,"Josh Horn","true","Draft","true",,"005B0000004ixySIAQ","true","false","94105","jhorn1536693294199@demo.user",,"94105","By Subscription End Date","false","false","Draft","Same","Josh Horn",,,"Dragon Support",,,"true","false",,"United States","2018-09-24T16:37:34.000Z","United States","a91B00000008OSbIAM","a2aB00000009J0TIAU",,,,"Josh Horn","2018-09-06","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"CA","001B000000nQA0YIAW",,"94105",,"United States","San Francisco","01sB0000001KrsAIAS","false","false","a2dB0000000B7UQIA0","Amendment for contract #00001083","Josh Horn","2018-11-12","2018-09-30","CA",,"Josh Horn","false",,"Greetings Dragon Support ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo","true","Prompt",,"2018-08-31T05:19:58.000Z",,,,"Dragon Support","50 Fremont Street","San Francisco","a2dB0000000B7UQIA0","false","Q-00632",,"United States","true",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"San Francisco",,,,"Closed Won",,"2018-01-27T04:33:57.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6MjIAK","San Francisco","006B0000004P6MjIAK","true",,"true","2018-08-31T05:20:01.000Z",,"Draft","001B000000nQA0YIAW","Contract Based","50 Fremont Street","CA",,"2018-09-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","true","Net 30","CA","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Amendment",,,"50 Fremont Street","50 Fremont Street",,,"94105","2018-09-11T19:15:38.000Z","Dragon Support","false",0,0,6287999,0,-2980.46,0,20,7,100,0,-2980.45,0,-199.55,-2980.45,-0.01,0,6.3,12,-3180,0,0,0,-2980.45
"Martin Manager",,,"Martin Manager","true","Accepted","true",,,"true","false","97223",,,,"By Subscription End Date","true","false","Draft","Same","Martin Manager",,,,,,"true","false",,"United States","2018-09-24T16:37:27.000Z",,"a91B00000008OScIAM","a2aB00000009J0TIAU",,,,,"2018-06-28",,,,"001B000000nQ9xBIAS",,,,,"Tigard","01sB0000001KrsAIAS","false","false","a2dB0000000B7X7IAK","Invoicing Opportunity",,"2018-12-01",,"OR",,"Martin Manager","false",,"Greetings Chrissy Thompson,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, y","false","Always",,"2018-06-22T03:23:57.000Z",,,,,,,"a2dB0000000B7X7IAK","false","Q-00799",,"United States","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Tigard",,,,"Closed Won",,"2018-06-22T02:22:50.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6KMIA0",,"006B0000004P6KMIA0","true",,"true","2018-06-22T03:19:48.000Z",,"Draft","001B000000nQ9xBIAS","Contract Based",,"OR",,"2018-06-21",,"Closed",,,,"2018-06-22T03:22:12.000Z","created","true","Net 30",,"Closed",,,,,"2018-09-11T15:44:29.000Z","Quote",,,"12375 Southwest Hall Boulevard","12375 Southwest Hall Boulevard",,,"97223","2018-09-11T19:15:37.000Z","School District","false",0,0,144,0,138760,0,0,5,100,0,138760,0,0,138760,0,0,0,12,138760,0,0,0,138760
"Joel Garrett",,,"Joel Garrett","true","Draft","true",,"005B0000004ixyHIAQ","true","false","60654","rrett1536693294184@demo.user",,"60654","By Subscription End Date","true","false","Draft","Same","Joel Garrett",,,"Mr. Robot Inc.",,,"true","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008OSdIAM","a2aB00000009J0TIAU",,,,"Joel Garrett","2018-08-20","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"IL","001B000000nQ9xiIAC",,"60654",,"United States","Chicago","01sB0000001KrsAIAS","false","false","a2dB0000000B7W6IAK","Security Solution","Joel Garrett","2018-07-09",,"IL",,"Joel Garrett","false",,"Greetings Mr. Robot Inc. ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo","true","Always",,"2018-08-14T03:37:06.000Z",,,,"Mr. Robot Inc.","111 W Illinois St","Chicago","a2dB0000000B7W6IAK","false","Q-00736",,"United States","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Chicago",,,,"Closed Won",,"2018-02-06T23:41:03.000Z",,,"Add-on","2018-09-23T22:03:32.000Z","006B0000004P6L0IAK","Chicago","006B0000004P6L0IAK","true",,"true","2018-08-14T03:37:30.000Z",,"Draft","001B000000nQ9xiIAC","Contract Based","111 W Illinois St","IL",,"2018-09-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","true","Net 30","IL","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"111 W Illinois St","111 W Illinois St",,,"60654","2018-09-11T19:15:37.000Z","Mr. Robot Inc.","false",0,0,-3123450,0,625600,0,20,8,100,0,625600,0,0.15,625600,0,0,0,12,625600.15,0,0,0,625600
"Phil Bredeson",,,"Phil Bredeson","true","Draft","true",,"005B0000004ixy8IAA","true","false","78712","deson1536693294172@demo.user",,"78712","By Subscription End Date","false","false","Draft","Uplift","Phil Bredeson",,,"University of Texas System",,,"true","false",,"United States","2018-09-24T16:37:34.000Z","United States","a91B00000008OSeIAM","a2aB00000009J0TIAU",,,,"Phil Bredeson","2018-09-06","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"TX","001B000000nQA0ZIAW",,"78712",,"United States","Austin","01sB0000001KrsAIAS","false","false","a2dB0000000B7ULIA0","Initial Opportunity","Phil Bredeson","2018-09-25",,"TX",,"Phil Bredeson","false",,"Greetings John McClane,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your ","true","Prompt",,"2018-08-31T00:27:36.000Z",,,,"University of Texas System","116 Inner Campus Drive","Austin","a2dB0000000B7ULIA0","false","Q-00627",,"United States","true",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Austin",,,,"Closed Won",,"2018-04-02T23:09:02.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6McIAK","Austin","006B0000004P6McIAK","true",,"true","2018-08-31T00:28:35.000Z",,"Draft","001B000000nQA0ZIAW","Contract Based","116 Inner Campus Drive","TX",,"2018-09-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","true","Net 30","TX","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"116 Inner Campus Drive","116 Inner Campus Drive",,,"78712","2018-09-11T19:15:38.000Z","University of Texas System","false",0,0,2158285,0,96580,0,20,11,100,0,96580,0,1,96580,0,0,0,12,96581,0,0,0,96580
"Arian Van de Carr",,,"Arian Van de Carr","true","Draft","true",,"005B0000004ixxPIAQ","true","false","94105","avan1536693294125@demo.user",,"94105","By Subscription End Date","true","false","Draft","Same","Arian Van de Carr",,,"IT CPQ Demo",,,"true","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008OSfIAM","a2aB00000009J0TIAU",,,,"Arian Van de Carr","2018-08-21","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"CA","001B000000nQA0pIAG",,"94111",,"United States","San Francisco","01sB0000001KrsAIAS","false","false","a2dB0000000B7URIA0","First Sale","Arian Van de Carr","2018-12-03","2019-07-31","CA",,"Arian Van de Carr","false",,"Greetings IT CPQ Demo ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your ","true","Always",,"2018-07-06T23:35:38.000Z",,,,"IT CPQ Demo","350 Market Street","San Francisco","a2dB0000000B7URIA0","false","Q-00633",,"United States","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"San Francisco",,,,"Closed Won",,"2018-07-06T01:11:44.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6LBIA0","San Francisco","006B0000004P6LBIA0","true",,"true","2018-08-15T02:23:51.000Z",,"Draft","001B000000nQA0pIAG","Contract Based","350 Mission Street","CA",,"2018-09-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"created","true","Net 30","CA","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"350 Mission Street","350 Market Street",,,"94111","2018-09-11T19:15:38.000Z","IT CPQ Demo","false",0,0,9495369,0,8096915.53,0,20,15,100,70000000,70000000,0,-47854766.53,70000000,-61903084.47,0,-216.1,12,22145233.47,10,0,0,70000000
