ACTIVITYDATE,LEADCREATEDDATE,LEADID,LEADOWNERCITY,LEADOWNERID,LEADOWNERNAME,LEADOWNERSTATE,OWNERCITY,OWNERID,OWNERNAME,OWNERSTATE,TOUCHES,LastProcessedDate
2020-05-04,2020-04-24,00Q1U000006DmDnUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,3,2020-05-25
2020-05-26,2020-03-02,00Q1U000006DmDoUAK,New York,0051U000005KhW6QAK,Mark Garet,NY,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,7,2020-05-25
2020-06-27,2020-05-09,00Q1U000006DmDpUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,4,2020-05-25
2020-05-23,2020-05-13,00Q1U000006DmDqUAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-07-08,2020-04-14,00Q1U000006DmDrUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,New York,0051U000005KhW6QAK,Mark Garet,NY,6,2020-05-25
2020-06-27,2020-05-13,00Q1U000006Mv0FUAS,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
2020-07-15,2020-04-25,00Q1U000006DmDsUAK,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,7,2020-05-25
2020-08-30,2020-05-14,00Q1U000006DmDtUAK,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,3,2020-05-25
2020-04-25,2020-04-08,00Q1U000006DmDuUAK,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,3,2020-05-25
2020-05-12,2020-04-25,00Q1U000006DmDvUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,3,2020-05-25
2020-05-16,2020-04-03,00Q1U000006DmDwUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-05-15,2020-04-29,00Q1U000006DmDxUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,8,2020-05-25
2020-08-04,2020-05-23,00Q1U000006DmDyUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,5,2020-05-25
2020-06-22,2020-03-09,00Q1U000006DmDzUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,7,2020-05-25
2020-04-21,2020-04-16,00Q1U000006DmE0UAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,4,2020-05-25
2020-07-23,2020-05-25,00Q1U000006Mv0FUAS,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
2020-06-13,2020-04-08,00Q1U000006DmE1UAK,New York,0051U000005KhW6QAK,Mark Garet,NY,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,10,2020-05-25
2020-07-07,2020-04-28,00Q1U000006DmE2UAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,3,2020-05-25
2020-08-09,2020-05-03,00Q1U000006DmE3UAK,New York,0051U000005KhW6QAK,Mark Garet,NY,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,4,2020-05-25
2020-08-10,2020-04-09,00Q1U000006DmE4UAK,New York,0051U000005KhW6QAK,Mark Garet,NY,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,6,2020-05-25
2020-08-17,2020-04-24,00Q1U000006DmE5UAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,4,2020-05-25
2020-03-02,2020-02-18,00Q1U000006DmE6UAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,10,2020-05-25
2020-07-18,2020-05-09,00Q1U000006DmE7UAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,3,2020-05-25
2020-06-09,2020-05-14,00Q1U000006Mv0FUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-08-05,2020-04-12,00Q1U000006DmE8UAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
2020-07-01,2020-05-22,00Q1U000006DmE9UAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,New York,0051U000005KhW6QAK,Mark Garet,NY,10,2020-05-25
2020-08-19,2020-04-04,00Q1U000006DmEAUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,7,2020-05-25
2020-05-20,2020-05-12,00Q1U000006DmEBUA0,New York,0051U000005KhW6QAK,Mark Garet,NY,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-07-13,2020-04-27,00Q1U000006DmECUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,10,2020-05-25
2020-08-02,2020-04-16,00Q1U000006DmEDUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,10,2020-05-25
2020-07-23,2020-03-26,00Q1U000006DmEEUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,3,2020-05-25
2020-07-27,2020-05-07,00Q1U000006DmEFUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-08-11,2020-05-24,00Q1U000006DmEGUA0,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,4,2020-05-25
2020-07-12,2020-04-02,00Q1U000006DmEHUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,6,2020-05-25
2020-08-29,2020-05-01,00Q1U000006DmEIUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,6,2020-05-25
2020-07-27,2020-05-03,00Q1U000006DmEJUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,9,2020-05-25
2020-06-20,2020-04-17,00Q1U000006DmEKUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,4,2020-05-25
2020-05-30,2020-05-21,00Q1U000006DmELUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-07-01,2020-04-26,00Q1U000006DmEMUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
