"date","Case_Type","Photo","Name","States","Car_Type","Education","Opportunity_Name","Patent_Activity","Einstein_Prediction","Categories","Call_Resolution","Conversion","Owner_Name","CompanyLogo","Customer_Type","Mobile_App_Usage","Forecast","Country","Region","Attrition_Details","Factory","Projects","Business_Segment","Segment","Mobility_Breakdown","Recommendations","DummyImage","Tenure","Lead","Awarness","Family_Type","Sentiment","App_Usage_Categories","OpportunityStage","Year","Roles_in_Demand","Job_Role","Stock_Price","Revenue_Target","Percentage_of_Calls","Capacity","Patents_Filed","Production","Profit","Stock_High","Employee_Count","Engagement_Industry","Case_Resolution","Open_Role_Days","Engagement_National","Net_Retention","Case_Handle_Time_in_Minutes","Sentiment_Score","Patents_Awarded","Facebook_Followers","Volume","Revenue","CSAT","Week","Inventory","Margin","Customer_Acquisition_Costs","NPS","Engagement","Revenue_Percentage","Purchases","Stock_Low","Instagram_Followers","Case_Length","Customer_Acquisition_Cost","Drive_Count"
"8/3/2017","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Hybrid","High School Grad","Bins-Crooks","1_Rejected","At Risk","Cars","First Call","No","Marnia Allawy","https://randomuser.me/api/portraits/men/60.jpg","Retained","Mostly App","Closed","Japan","Asia Pacific","Growth Prospects","Nanjing","Project G","> 500K","Mobility 4.0","Private Car","Offer co-marketing program","http://dummyimage.com/147x180.bmp/cc0000/ffffff","3 - 5 Years","Third party directories","Paid Search","Non-Family","Negative","Service Appointments","Stage 1","Year2017","Cybersecurity","Automotive technician",17.31,52044.120726,45,1774,14.68,2573,2.9,17.4635,9,0,12.571429,10,1,60,506,79,5.017992,1064,930000,30000,66,82017,30000,0.096672,55,59,2,11,9,16.924833,2033,10,76,15000
"7/4/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxg/M","Sonya Renner",,"Gasoline","High School Grad","Bayer LLC","3_Filed","On Target","Cars","First Call","No","Bartel Dommerque","https://randomuser.me/api/portraits/men/16.jpg","New","Mostly App","Expected to Close","Ukraine","Europe","Compensation","Tofas","Project I","< 250K","Fleet","Bike","Meet 1:1 with top decision maker","http://dummyimage.com/186x224.bmp/dddddd/000000","> 10 Years","Networking events","Email","All","Neutral","Service Appointments","Stage 2","Year2018","AI Engineering","Automobile designer",18.61,40356.567358,25,4416,16.78,1378,8.556,18.642832,9,-1,8.571429,19,0,60,895,78,3.512732,1064,1782000,54000,64,72018,54000,0.158443,3,61,1,65,7,18.476616,2033,10,75,27000
"11/28/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Hybrid","Some College","Johns, Rodriguez and Koelpin","3_Filed","At Risk","Cars","UnResolved","Yes","Mirabelle Dufton","https://randomuser.me/api/portraits/men/26.jpg","New","Others","Forecast","Vietnam","Europe","Compensation","Tychy","Project G","> 500K","RideShare","Private Car","Partner with a ride share company","http://dummyimage.com/141x243.jpg/ff4444/ffffff","5 - 10 Years","Social network","Organic Search","All","Positive","Support","Stage 1","Year2018","Full Stack Developer","Sales Representative",16.02,109474.579623,89,4739,16.71,2148,6.864,16.16995,5,-1,7.428571,25,0,61,971,78,5.867701,1064,1152000,72000,68,112018,72000,0.095335,4,59,2,59,8,15.992986,2033,10,74,36000
"7/9/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Bachelor","Streich, Abernathy and Herman","3_Filed","At Risk","Cars","Third Call or more","No","Dione Spadollini","https://randomuser.me/api/portraits/men/28.jpg","Attrition","Mostly App","Expected to Close","Palestinian Territory","Europe","Compensation","Tychy","Project N","< 250K","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/142x146.png/5fa2dd/ffffff","> 10 Years","Networking events","Organic Search","All","Positive","Features","Stage 1","Year2018","AI Engineering","Automobile designer",15.48,19624.640016,62,2143,17.3,2161,2.868,15.657113,7,1,8,19,-1,59,523,77,7.100291,1064,2268000,54000,69,72018,54000,0.053108,96,62,-1,95,5,15.075188,2032,11,74,27000
"4/28/2016","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","High School Grad","Williamson LLC","2_Awarded","At Risk","SUV","First Call","No","Andi Kremer","https://randomuser.me/api/portraits/men/24.jpg","Retained","Others","Expected to Close","Vietnam","Europe","Personal","Tychy","Project X","> 500K","Fleet","Bike","Partner with a ride share company","http://dummyimage.com/230x199.bmp/dddddd/000000","> 10 Years","Referrals","Organic Search","All","Positive","Features","Stage 4","Year2016","AI Engineering","Body & paint specialist",16.6,15779.104137,45,516,15.07,2238,1.53,16.980871,4,1,40,5,1,60,680,80,5.103443,1064,750000,15000,70,42016,15000,0.102003,23,61,1,85,10,16.513175,2033,10,75,7500
"12/29/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Gasoline","High School Grad","Daniel LLC","3_Filed","At Risk","Cross Over","UnResolved","No","Tarrance Figiovanni","https://randomuser.me/api/portraits/men/73.jpg","Converted","Mostly App","Closed","Argentina","Europe","Management Discretion","Tychy","Project N","250K to 500K","Fleet","Private Car","Offer co-marketing program","http://dummyimage.com/145x133.bmp/cc0000/ffffff","< 3 Years","Third party directories","Organic Search","All","Positive","Service Appointments","Stage 1","Year2017","AI Engineering","Automotive technician",19.26,51639.109309,33,3475,17.88,2254,5.707,19.598485,21,0,9.714286,11,1,61,309,76,4.952836,1064,512000,32000,68,122017,32000,0.178335,55,60,0,77,8,18.954951,2033,12,76,16000
"9/26/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxd/M","Will Marvin",,"Plug in Hybrid","Graduate","Gislason Inc","2_Awarded","At Risk","Cross Over","First Call","Yes","Aviva Dessaur","https://randomuser.me/api/portraits/men/29.jpg","New","Mostly App","Closed","Equatorial Guinea","South America","Personal","Minas Gerais","Project L","> 1MM","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/250x229.jpg/cc0000/ffffff","> 10 Years","Paid campaigns","Paid Search","All","Positive","Features","Stage 2","Year2017","Cybersecurity","Sales Executive",16.97,57700.597969,14,2842,15.04,2572,3.686,17.170658,15,-2,12.857143,11,1,61,604,76,7.433225,1063,1085000,31000,69,92017,31000,0.118919,12,59,-1,1,8,16.5573,2033,10,76,15500
"9/1/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Hybrid","High School Grad","Schowalter Inc","3_Filed","At Risk","Cross Over","Second Call","No","Cassandre Ghio","https://randomuser.me/api/portraits/men/30.jpg","Retained","Mostly App","Forecast","China","North America","Personal","Hermosillo","Project M","> 500K","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/245x103.jpg/cc0000/ffffff","< 3 Years","Third party directories","Email","All","Positive","Service Appointments","Stage 2","Year2018","AI Engineering","Sales Executive",17.21,70068.331622,83,1421,19.51,2816,4.093,17.514352,5,1,7.714286,22,0,61,217,77,7.108017,1065,2432000,64000,67,92018,64000,0.063952,26,60,1,37,8,16.804549,2033,10,75,32000
"10/9/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Graduate","Morar Inc","3_Filed","At Risk","SUV","Second Call","No","Lorri Daldan","https://randomuser.me/api/portraits/men/24.jpg","New","Mostly App","Forecast","Liberia","Europe","Compensation","Tychy","Project K","< 250K","RideShare","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/123x106.bmp/5fa2dd/ffffff","> 10 Years","Networking events","Email","Non-Family","Positive","Features","Stage 1","Year2018","Full Stack Developer","Manager",16.91,31034.537615,20,3468,18.05,626,6.425,17.289607,23,0,7.428571,27,-1,60,313,75,4.920462,1065,3276000,78000,67,102018,78000,0.082368,2,59,0,69,6,16.844283,2032,10,75,39000
"12/7/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxg/M","Sonya Renner",,"Plug in Hybrid","Less than High School","Jakubowski-Lueilwitz","3_Filed","At Risk","Trucks","First Call","No","Skipp Paradin","https://randomuser.me/api/portraits/men/19.jpg","Attrition","Others","Closed","China","Europe","Compensation","Tychy","Project F","250K to 500K","RideShare","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/128x230.png/dddddd/000000","< 3 Years","Networking events","Social Media","Non-Family","Positive","Features","Stage 3","Year2019","Cybersecurity","Body & paint specialist",15.04,151888.023709,97,2427,19.6,1036,19.817,15.197758,3,1,4.571429,57,1,59,389,76,4.006551,1061,3200000,160000,70,122019,160000,0.123855,75,61,0,39,7,14.749598,2033,10,77,160000
"1/24/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Bachelor","Moore, Stiedemann and Stark","3_Filed","On Target","Trucks","First Call","No","Bettye Uzielli","https://randomuser.me/api/portraits/men/8.jpg","Converted","Mostly App","Expected to Close","Peru","South America","Personal","Minas Gerais","Project Neo","< 250K","Mobility 4.0","Private Car","Partner with a ride share company","http://dummyimage.com/218x179.jpg/cc0000/ffffff","3 - 5 Years","Referrals","Social Media","Married","Neutral","Service Appointments","GTM","Year2018","Full Stack Developer","Sales Executive",18.78,53660.883014,78,3349,24.65,1827,2.914,18.833945,2,-1,9.142857,11,1,61,584,81,6.799287,1065,576000,32000,66,12018,32000,0.091049,12,59,0,39,8,18.306498,2033,11,75,16000
"7/3/2017","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxg/M","Sonya Renner",,"Hybrid","High School Grad","Huels LLC","2_Awarded","At Risk","Cars","First Call","No","Tamarah Hunt","https://randomuser.me/api/portraits/men/73.jpg","Retained","Mostly App","Forecast","China","Europe","Compensation","Tofas","Project K","250K to 500K","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/187x142.jpg/ff4444/ffffff","> 10 Years","Referrals","Organic Search","Married","Positive","Features","Stage 1","Year2017","Cybersecurity","Automobile designer",16.41,29652.086879,22,4316,14.02,1498,2.132,16.518637,7,1,12.857143,10,1,60,465,80,3.89904,1065,435000,29000,67,72017,29000,0.073525,60,58,-1,30,8,16.31181,2033,11,75,14500
"9/29/2019","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Gasoline","Graduate","Greenholt-Skiles","3_Filed","At Risk","Minivans","First Call","Yes","Tracie Crehan","https://randomuser.me/api/portraits/men/86.jpg","Retained","Others","Forecast","Greece","Europe","Management Discretion","Tychy","Project F","250K to 500K","Fleet","Private Car","Offer co-marketing program","http://dummyimage.com/123x118.png/cc0000/ffffff","5 - 10 Years","Networking events","Social Media","All","Negative","New Sales Appointments","Stage 4","Year2019","Cybersecurity","Automotive technician",16.99,103465.901123,74,4471,17.85,1463,20.579,17.01097,7,-2,3.714286,53,-1,59,6,79,5.157132,1064,3576000,149000,65,92019,149000,0.138111,51,61,2,20,8,16.739068,2032,11,74,149000
"4/30/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Graduate","Padberg-Fahey","3_Filed","At Risk","Cars","UnResolved","No","Lynde Kendred","https://randomuser.me/api/portraits/men/32.jpg","Retained","Mostly App","Closed","Costa Rica","Asia Pacific","Personal","Samutprakarn","Project H","> 500K","Fleet","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/104x191.bmp/cc0000/ffffff","5 - 10 Years","Pay per lead","Display Advertising","All","Positive","Service Appointments","Stage 2","Year2018","AI Engineering","Sales Representative",15.86,38955.140407,56,2949,19.57,473,7.869,16.062431,8,0,8.857143,15,2,60,186,75,5.647744,1063,1974000,42000,68,42018,42000,0.187348,59,60,1,8,6,15.821879,2034,8,75,21000
"3/16/2016","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Less than High School","King-Monahan","3_Filed","On Target","SUV","Third Call or more","No","Clarice Hryniewicz","https://randomuser.me/api/portraits/men/74.jpg","Retained","Mostly App","Closed","Brazil","South America","Compensation","Minas Gerais","Project H","250K to 500K","RideShare","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/153x184.bmp/dddddd/000000","> 10 Years","Third party directories","Paid Search","All","Neutral","Service Appointments","Stage 1","Year2016","AI Engineering","Automotive technician",16.21,4511.287094,68,5001,17.91,1256,1.152,16.378104,7,2,37.142857,3,0,59,984,77,3.394005,1063,539000,11000,70,32016,11000,0.10475,47,59,1,1,9,15.956293,2033,10,75,5500
"3/2/2018","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Gasoline","Less than High School","Volkman and Sons","2_Awarded","On Target","Cross Over","Third Call or more","Yes","Dannye Beech","https://randomuser.me/api/portraits/men/42.jpg","Retained","Mostly App","Forecast","Brazil","North America","Management Discretion","Hermosillo","Project K","< 250K","Public Transport","Private Car","Offer co-marketing program","http://dummyimage.com/103x104.png/ff4444/ffffff","< 3 Years","Networking events","Email","Non-Family","Positive","Service Appointments","Stage 4","Year2018","AI Engineering","Sales Representative",18.64,14246.485009,36,4311,16.26,568,6.224,18.886085,13,1,9.142857,12,0,61,684,78,4.891655,1063,1044000,36000,63,32018,36000,0.17289,99,60,-1,56,7,18.355584,2033,10,74,18000
"3/24/2017","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxg/M","Sonya Renner",,"Plug in Hybrid","High School Grad","Reilly, Connelly and Ullrich","3_Filed","On Target","Cars","UnResolved","Yes","Thedric McKibbin","https://randomuser.me/api/portraits/men/67.jpg","Retained","Mostly App","Forecast","Brazil","Europe","Compensation","Tychy","Project P","250K to 500K","RideShare","Train","Partner with a ride share company","http://dummyimage.com/216x165.png/cc0000/ffffff","5 - 10 Years","Blog posts","Email","All","Positive","Service Appointments","Stage 3","Year2017","Cybersecurity","Automotive technician",16.71,14290.237815,31,2542,14.44,326,1.934,17.097793,23,0,23.428571,8,-1,59,708,82,5.58912,1065,360000,24000,62,32017,24000,0.080582,52,61,0,89,7,16.634794,2034,10,78,12000
"8/10/2016","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","Bachelor","Jakubowski, Denesik and Ritchie","3_Filed","At Risk","Cars","First Call","No","Cathleen Roycraft","https://randomuser.me/api/portraits/men/92.jpg","Attrition","Mostly App","Expected to Close","Indonesia","Europe","Compensation","Tofas","Project K","250K to 500K","Fleet","Private Car","Offer co-marketing program","http://dummyimage.com/135x230.jpg/ff4444/ffffff","> 10 Years","Paid campaigns","Email","Non-Family","Positive","Support","Stage 3","Year2016","AI Engineering","Automotive technician",14.92,11899.203831,15,1103,11.96,555,1.208,15.225423,10,1,36.285714,3,1,62,399,77,2.660917,1064,500000,10000,68,82016,10000,0.120816,50,60,-1,40,8,14.785429,2032,10,74,5000
"2/12/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore","Porto","Gasoline","Bachelor","Kunde Inc","3_Filed","At Risk","Cars","Third Call or more","Yes","Karia Everal","https://randomuser.me/api/portraits/men/88.jpg","Retained","Mostly App","Forecast","Portugal","Europe","Compensation","Tychy","Project M","> 500K","Mobility 4.0","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/114x196.png/cc0000/ffffff","< 3 Years","Blog posts","Paid Search","All","Positive","Service Appointments","GTM","Year2019","AI Engineering","Automotive technician",15.85,75407.380254,79,3396,18.29,1651,9.758,15.885944,1,0,6.285714,35,0,60,727,80,4.99064,1063,4312000,98000,67,22019,98000,0.099572,9,60,0,81,6,15.45339,2032,10,74,98000
"8/6/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxh/M","Doug Koepp",,"Gasoline","Graduate","Willms, Will and Harvey","3_Filed","At Risk","Cars","First Call","No","Petronille Ewan","https://randomuser.me/api/portraits/men/39.jpg","Retained","Others","Forecast","Thailand","Europe","Compensation","Tofas","Project K","< 250K","Fleet","Private Car","Partner with a ride share company","http://dummyimage.com/162x170.bmp/ff4444/ffffff","> 10 Years","Third party directories","Display Advertising","All","Negative","Support","Stage 2","Year2019","AI Engineering","Sales Representative",19.75,161264.014873,67,918,17.93,621,15.555,19.797448,18,2,2.857143,54,1,61,432,77,7.751386,1064,4712000,152000,67,82019,152000,0.102333,82,59,1,98,7,19.503955,2034,10,75,152000
"1/13/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxf/M","Dylan Moore",,"Gasoline","Bachelor","Jacobi, Kerluke and Keebler","2_Awarded","On Target","SUV","Third Call or more","Yes","Florenza Rubinlicht","https://randomuser.me/api/portraits/men/90.jpg","Attrition","Mostly App","Forecast","China","South America","Management Discretion","Minas Gerais","Project K","250K to 500K","Fleet","Bus","Offer co-marketing program","http://dummyimage.com/134x189.jpg/cc0000/ffffff","5 - 10 Years","Pay per lead","Display Advertising","Non-Family","Positive","Features","Stage 1","Year2019","AI Engineering","Diesel mechanic",16.97,53722.412109,54,569,17.59,798,4.875,17.156628,8,0,4.571429,31,2,61,2,79,5.774592,1065,2492000,89000,66,12019,89000,0.054781,51,60,2,97,7,16.954444,2035,11,74,89000
"11/2/2019","Open","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","High School Grad","Marvin and Sons","1_Rejected","At Risk","SUV","Second Call","Yes","Audrie Rozzell","https://randomuser.me/api/portraits/men/72.jpg","Attrition","Mostly App","Forecast","Ukraine","Europe","Management Discretion","Tofas","Project K","> 500K","Mobility 4.0","Bus","Partner with a ride share company","http://dummyimage.com/191x158.bmp/5fa2dd/ffffff","> 10 Years","Third party directories","Social Media","All","Positive","Service Appointments","Stage 1","Year2019","AI Engineering","Automotive technician",17.23,246338.96937,74,3078,19.1,1390,7.777,17.275781,25,0,3.428571,55,1,61,955,81,6.759196,1063,6820000,155000,67,112019,155000,0.050175,3,61,1,65,8,17.056462,2032,11,74,155000
"11/1/2019","Closed","https://df19-ea-keynote--c.documentforce.com/profilephoto/729B0000000YIxe/M","Katlynn Pouros",,"Gasoline","High School Grad","Purdy-Boyer","2_Awarded","On Target","SUV","First Call","Yes","Taddeo Matuszkiewicz","https://randomuser.me/api/portraits/men/85.jpg","Attrition","Mostly App","Expected to Close","Tajikistan","Europe","Compensation","Tychy","Project N","> 1MM","Public Transport","Private Car","Meet 1:1 with top decision maker","http://dummyimage.com/246x179.png/dddddd/000000","5 - 10 Years","Networking events","Display Advertising","All","Positive","Service Appointments","Stage 4","Year2019","AI Engineering","Automotive technician",16.94,160575.685658,11,2800,21.01,2033,9.978,17.121549,13,1,2.571429,55,1,60,254,77,5.565,1065,4185000,155000,68,112019,155000,0.064373,94,60,1,90,10,16.869968,2032,11,74,155000
