"Hierarchy_RoleNamesPath","UniqueUserName","UserRoleId","IsActive","Role.ParentRoleId","Role.ParentRole.ForecastManager.UniqueUserName","ForecastEnabled","Name","Role.ForecastManager.UniqueUserName","RoleNames","Role.ParentRole.ForecastManager.Name","isDuplicate","SmallPhotoUrl","FirstName","Role.ParentRole.Name","RoleNamesPath","Role.ForecastManager.Name","FullPhotoUrl","Username","Role.Name","Hierarchy_RoleNames","Id","LastName","UserType","ManagerId"
"Adam Schmidt/Andrew Malone/Elliot Shapiro/Admin","Adam Schmidt","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Adam Schmidt",,"Adam Schmidt","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXh/T","Adam","RVP East","Adam Schmidt/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXh/F","aschmidt1489180173123@demo.user","East Sales","Adam Schmidt","005B00000034W1GIAU","Schmidt","Standard","N/A"
"Stephanie Garza/Andrew Malone/Elliot Shapiro/Admin","Stephanie Garza","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Stephanie Garza",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Stephanie","RVP East","Stephanie Garza/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/F","sgarza21489180173123@demo.user","East Sales","Admin","005B00000034W1HIAU","Garza","Standard","N/A"
"Russell Hudson/Andrew Malone/Elliot Shapiro/Admin","Russell Hudson","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Russell Hudson",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Russell","RVP East","Russell Hudson/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/F","rhudson71489180173123@demo.user","East Sales","Admin","005B00000034W1PIAU","Hudson","Standard","N/A"
"Barbara Andrews/Andrew Malone/Elliot Shapiro/Admin","Barbara Andrews","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Barbara Andrews",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXw/T","Barbara","RVP East","Barbara Andrews/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXw/F","bandrews1489180173123@demo.user","East Sales","Admin","005B00000034W1jIAE","Andrews","Standard","N/A"
"Paul Russell/Andrew Malone/Elliot Shapiro/Admin","Paul Russell","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Paul Russell",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYz/T","Paul","RVP East","Paul Russell/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYz/F","prussell1489180174123@demo.user","East Sales","Admin","005B00000034W1oIAE","Russell","Standard","N/A"
"Ashley Harvey/Andrew Malone/Elliot Shapiro/Admin","Ashley Harvey","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Ashley Harvey",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXr/T","Ashley","RVP East","Ashley Harvey/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXr/F","aharveye1489180174123@demo.user","East Sales","Admin","005B00000034W1tIAE","Harvey","Standard","N/A"
"Frank Turner/Andrew Malone/Elliot Shapiro/Admin","Frank Turner","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Frank Turner",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYG/T","Frank","RVP East","Frank Turner/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYG/F","fturnerg1489180174123@demo.user","East Sales","Admin","005B00000034W1yIAE","Turner","Standard","N/A"
"Howard Lewis/Andrew Malone/Elliot Shapiro/Admin","Howard Lewis","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Howard Lewis",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYQ/T","Howard","RVP East","Howard Lewis/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYQ/F","hlewish1489180174123@demo.user","East Sales","Admin","005B00000034W28IAE","Lewis","Standard","N/A"
"Stephen Synder/Tyler Parker/Elliot Shapiro/Admin","Stephen Synder","00EB0000000azEFMAY","true","00EB0000000azEIMAY","Tyler Parker","true","Stephen Synder",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0T/T","Stephen","RVP West","Stephen Synder/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0T/F","ssnyder51489180173123@demo.user","West Sales","Admin","005B00000034W2DIAU","Synder","Standard","N/A"
"David Meyer/Tyler Parker/Elliot Shapiro/Admin","David Meyer","00EB0000000azEFMAY","true","00EB0000000azEIMAY","Tyler Parker","true","David Meyer",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0Y/T","David","RVP West","David Meyer/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0Y/F","dmeyer61489180173123@demo.user","West Sales","Admin","005B00000034W2IIAU","Meyer","Standard","N/A"
"Lisa Lewis/Tyler Parker/Elliot Shapiro/Admin","Lisa Lewis","00EB0000000azEFMAY","true","00EB0000000azEIMAY","Tyler Parker","true","Lisa Lewis",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0e/T","Lisa","RVP West","Lisa Lewis/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0e/F","llewisa1489180174123@demo.user","West Sales","Admin","005B00000034W2NIAU","Lewis","Standard","N/A"
"Janice Thomas/Tyler Parker/Elliot Shapiro/Admin","Janice Thomas","00EB0000000azEFMAY","true","00EB0000000azEIMAY","Tyler Parker","true","Janice Thomas",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0i/T","Janice","RVP West","Janice Thomas/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0i/F","jthomasc1489180174123@demo.user","West Sales","Admin","005B00000034W2SIAU","Thomas","Standard","N/A"
"Alice Burton/Tyler Parker/Elliot Shapiro/Admin","Alice Burton","00EB0000000azEFMAY","true","00EB0000000azEIMAY","Tyler Parker","true","Alice Burton",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0d/T","Alice","RVP West","Alice Burton/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0d/F","aburtonf14891801742123@demo.user","West Sales","Admin","005B00000034W2XIAU","Burton","Standard","N/A"
"Randy Medina/Tyler Parker/Elliot Shapiro/Admin","Randy Medina","00EB0000000azEFMAY","true","00EB0000000azEIMAY","Tyler Parker","true","Randy Medina",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0s/T","Randy","RVP West","Randy Medina/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0s/F","rmedinai1489180174123@demo.user","West Sales","Admin","005B00000034W2cIAE","Medina","Standard","N/A"
"Paul Jones/Tyler Parker/Elliot Shapiro/Admin","Paul Jones","00EB0000000azEFMAY","true","00EB0000000azEIMAY","Tyler Parker","true","Paul Jones",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0n/T","Paul","RVP West","Paul Jones/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0n/F","pjonesj1489180174123@demo.user","West Sales","Admin","005B00000034W2hIAE","Jones","Standard","N/A"
"Tom Reseller","Tom Reseller",,"false",,,"true","Tom Reseller",,"Tom Reseller",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVk/T","Tom",,"Tom Reseller",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVk/F","old_treseller.zynxenit5lbq.lpuogsdaulmv@saleswave.demo",,"Tom Reseller","005B000000389UXIAY","Reseller","PowerPartner","N/A"
"Jamie Belton","Jamie Belton","00EB0000000azEGMAY","true","00EB0000000azEtMAI",,"true","Jamie Belton",,"Jamie Belton",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVs/T","Jamie","Summit Resellers Partner Manager","Jamie Belton",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVs/F","jbelton@saleswave.demo","Summit Resellers Partner User","Jamie Belton","005B000000389UYIAY","Belton","PowerPartner","N/A"
"Paul Greene/Vance Turner/Elliot Shapiro/Admin","Paul Greene","00EB0000000azEOMAY","true","00EB0000000azEPMAY","Vance Turner","true","Paul Greene",,"Admin","Vance Turner",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW0/T","Paul","Director of Channel Sales","Paul Greene/Vance Turner/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW0/F","pgreene@saleswave.demo","Acme Partners Partner Executive","Admin","005B000000389UZIAY","Greene","PowerPartner","005B000000389UmIAI"
"Bill Anderson/Tyler Parker/Elliot Shapiro/Admin","Bill Anderson","00EB0000000EnvJMAS","true","00EB0000000azEIMAY","Tyler Parker","true","Bill Anderson",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVr/T","Bill","RVP West","Bill Anderson/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVr/F","bwest.f7ii5orwkjz2@demo.user","West Manager","Admin","005B000000389UaIAI","Anderson","Standard","005B000000389UcIAI"
"Barry Brown","Barry Brown","00EB0000000azENMAY","true","00EB0000000azEvMAI",,"true","Barry Brown",,"Barry Brown",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVz/T","Barry","Meridian Partners Partner Manager","Barry Brown",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVz/F","bbrown@saleswave.demo","Meridian Partners Partner User","Barry Brown","005B000000389UbIAI","Brown","PowerPartner","N/A"
"Vince Rivera/Elliot Shapiro/Admin","Vince Rivera","00EB0000000azEIMAY","true","00EB0000000azEKMAY","Elliot Shapiro","true","Vince Rivera","Tyler Parker","Admin","Elliot Shapiro",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVu/T","Vince","VP of Sales","Vince Rivera/Elliot Shapiro/Admin","Tyler Parker","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVu/F","vrivera@saleswave.demo","RVP West","Admin","005B000000389UcIAI","Rivera","Standard","005B000000389UoIAI"
"Elliot Shapiro/Admin","Elliot Shapiro","00EB0000000azEKMAY","true","00EB0000000azEQMAY","Admin","true","Elliot Shapiro","Elliot Shapiro","Admin","Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVw/T","Elliot","CEO","Elliot Shapiro/Admin","Elliot Shapiro","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVw/F","eexeczb4ipe9fmt9c@saleswave.demo","VP of Sales","Admin","005B000000389UdIAI","Shapiro","Standard","N/A"
"Ely Erickson/Andrew Malone/Elliot Shapiro/Admin","Ely Erickson","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Ely Erickson",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYB/T","Ely","RVP East","Ely Erickson/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYB/F","eeast.mksaf8agjyeg@demo.user","East Sales","Admin","005B000000389UeIAI","Erickson","Standard","005B000000389UhIAI"
"Wendy Weisman/Tyler Parker/Elliot Shapiro/Admin","Wendy Weisman","00EB0000000azEFMAY","true","00EB0000000azEIMAY","Tyler Parker","true","Wendy Weisman",,"Admin","Tyler Parker",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVo/T","Wendy","RVP West","Wendy Weisman/Tyler Parker/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVo/F","wwest@demo.user","West Sales","Admin","005B000000389UfIAI","Weisman","Standard","005B000000389UcIAI"
"Kasey Lind/Andrew Barton/Elliot Shapiro/Admin","Kasey Lind","00EB0000000azECMAY","true","00EB0000000azELMAY","Andrew Barton","true","Kasey Lind",,"Admin","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVl/T","Kasey","RVP Central","Kasey Lind/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVl/F","kcentral.rlvszwbxpdsa@demo.user","Central Sales","Admin","005B000000389UgIAI","Lind","Standard","005B000000389UiIAI"
"Valerie Hays/Elliot Shapiro/Admin","Valerie Hays","00EB0000000azEHMAY","true","00EB0000000azEKMAY","Elliot Shapiro","true","Valerie Hays","Andrew Malone","Admin","Elliot Shapiro",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVt/T","Valerie","VP of Sales","Valerie Hays/Elliot Shapiro/Admin","Andrew Malone","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVt/F","veast.itqs78yvvkmk.wwnzuxqdvbkc@saleswave.demo","RVP East","Admin","005B000000389UhIAI","Hays","Standard","005B000000389UoIAI"
"Vanessa Maurice/Elliot Shapiro/Admin","Vanessa Maurice","00EB0000000azELMAY","true","00EB0000000azEKMAY","Elliot Shapiro","true","Vanessa Maurice","Andrew Barton","Admin","Elliot Shapiro",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVx/T","Vanessa","VP of Sales","Vanessa Maurice/Elliot Shapiro/Admin","Andrew Barton","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVx/F","vmaurice@sales.demo","RVP Central","Admin","005B000000389UiIAI","Maurice","Standard","005B000000389UoIAI"
"Cindy Stevenson/Andrew Barton/Elliot Shapiro/Admin","Cindy Stevenson","00EB0000000azECMAY","true","00EB0000000azELMAY","Andrew Barton","true","Cindy Stevenson",,"Admin","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVq/T","Cindy","RVP Central","Cindy Stevenson/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVq/F","cstevenson@demo.user","Central Sales","Admin","005B000000389UjIAI","Stevenson","Standard","005B00000034KssIAE"
"Ricky Owens/Andrew Malone/Elliot Shapiro/Admin","Ricky Owens","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Ricky Owens",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVp/T","Ricky","RVP East","Ricky Owens/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVp/F","reast.os4jvddurhpu@demo.user","East Sales","Admin","005B000000389UkIAI","Owens","Standard","005B00000034KssIAE"
"Sean Silver","Sean Silver","00EB0000000azEMMAY","true","00EB0000000azExMAI",,"true","Sean Silver",,"Sean Silver",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVy/T","Sean","Pinnacle Partners Partner Manager","Sean Silver",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVy/F","ssilver@saleswave.demo","Pinnacle Partners Partner User","Sean Silver","005B000000389UlIAI","Silver","PowerPartner","N/A"
"Vance Turner/Elliot Shapiro/Admin","Vance Turner","00EB0000000azEPMAY","true","00EB0000000azEKMAY","Elliot Shapiro","true","Vance Turner","Vance Turner","Admin","Elliot Shapiro",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW1/T","Vance","VP of Sales","Vance Turner/Elliot Shapiro/Admin","Vance Turner","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW1/F","vturner@saleswave.demo","Director of Channel Sales","Admin","005B000000389UmIAI","Turner","Standard","005B00000034KssIAE"
"Gordon Reeves/Elliot Shapiro/Admin","Gordon Reeves","00EB0000000azEJMAY","true","00EB0000000azEKMAY","Elliot Shapiro","true","Gordon Reeves",,"Admin","Elliot Shapiro",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVv/T","Gordon","VP of Sales","Gordon Reeves/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVv/F","greeves.4vfuy5bn6wbw.batl4d8hs2ci@saleswave.demo","Business Development Director","Admin","005B000000389UoIAI","Reeves","Standard","005B00000034KssIAE"
"SDO_mj","SDO_mj",,"true",,,"true","SDO_mj",,"SDO_mj",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW2/T",,,"SDO_mj",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW2/F","sdo_mj.jt3whvlcmkx8.sftj0hdjjpwi@saleswave.demo",,"SDO_mj","005B000000389UpIAI","SDO_mj","Standard","N/A"
"Andrea Admin","Andrea Admin","00EB0000000azERMAY","true","00EB0000000azElMAI",,"true","Andrea Admin",,"Andrea Admin",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW9/T","Andrea","VP of Operations","Andrea Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW9/F","aadmin.1hz85v56vhl7.cm2de75d9fxk@saleswave.demo","Director of Human Resources","Andrea Admin","005B000000389UyIAI","Admin","Standard","005B000000389UdIAI"
"Chet Callaghan/Elliot Shapiro/Admin","Chet Callaghan","00EB0000000azEPMAY","true","00EB0000000azEKMAY","Elliot Shapiro","true","Chet Callaghan","Vance Turner","Admin","Elliot Shapiro",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWE/T","Chet","VP of Sales","Chet Callaghan/Elliot Shapiro/Admin","Vance Turner","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWE/F","ccallaghan@saleswave.demo","Director of Channel Sales","Admin","005B000000389V5IAI","Callaghan","Standard","005B000000389UmIAI"
"Olivia Young/Andrew Barton/Elliot Shapiro/Admin","Olivia Young","00EB0000000azECMAY","true","00EB0000000azELMAY","Andrew Barton","true","Olivia Young",,"Admin","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWF/T","Olivia","RVP Central","Olivia Young/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWF/F","oorder.iiibfvlww225@demo.user","Central Sales","Admin","005B000000389V6IAI","Young","Standard","005B000000389VEIAY"
"Alf Operations/Admin","Alf Operations","00EB0000000azETMAY","true","00EB0000000azEQMAY","Admin","true","Alf Operations",,"Admin","Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWJ/T","Alf","CEO","Alf Operations/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWJ/F","aoperationsxog9msuyo5h4@saleswave.demo","VP of Customer Service","Admin","005B000000389VCIAY","Operations","Standard","005B000000389UdIAI"
"Brenda Service","Brenda Service","00EB0000000azEZMAY","true","00EB0000000azETMAY",,"true","Brenda Service",,"Brenda Service",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWS/T","Brenda","VP of Customer Service","Brenda Service",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWS/F","bservice@saleswave.demo","Customer Service Manager","Brenda Service","005B000000389VPIAY","Service","Standard","005B000000389VEIAY"
"Jay Llyod","Jay Llyod","00EB0000000azEZMAY","true","00EB0000000azETMAY",,"true","Jay Llyod",,"Jay Llyod",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYa/T","Jay","VP of Customer Service","Jay Llyod",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYa/F","jllyod@saleswave.demo","Customer Service Manager","Jay Llyod","005B000000389VQIAY","Llyod","Standard","005B000000389VEIAY"
"Linda Service","Linda Service","00EB0000000azESMAY","true","00EB0000000azEZMAY",,"true","Linda Service",,"Linda Service",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWU/T","Linda","Customer Service Manager","Linda Service",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWU/F","lservice@saleswave.demo","Customer Service Agent","Linda Service","005B000000389VRIAY","Service","Standard","005B000000389VEIAY"
"Jigsaw","Jigsaw","00EB0000000azEQMAY","false","NA",,"true","Jigsaw","Admin","Jigsaw",,,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWX/T",,,"Jigsaw","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bWX/F","jigsaw.zaw7wsptkur4.luou3mmjdjtx@saleswave.demo","CEO","Jigsaw","005B000000389VjIAI","Jigsaw","Standard","N/A"
"Allison Allen/Andrew Malone/Elliot Shapiro/Admin","Allison Allen","00EB0000000azEDMAY","true","00EB0000000azEHMAY","Andrew Malone","true","Allison Allen",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2v/T","Allison","RVP East","Allison Allen/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2v/F","aallen1547565044053@demo.user","East Sales","Admin","005B0000003CnfGIAS","Allen","Standard","005B0000003JbhdIAC"
