"Category","Ship_Date","Customer_Name","Product_ID","Segment","Ship_Mode","Order_ID","Sub_Category","Product_Name","City","Order_Date","Customer_ID","State","Country","Region","Row_ID","Discount","Profit_Percent","Sales_Goal","Discount_Goal","Quantity_Percent","Sales","Postal_Code","Profit","Sales_Percent","Quantity_Left","Profit_Goal","Discount_Left","Quantity_Goal","Quantity","Profit_Left","Sales_Left","Discount_Percent"
"Technology","11/28/17","Janet Martin","TEC-PH-10002844","Consumer","Standard Class","CA-2017-119004","Phones","Speck Products Candyshell Flip Case","Charlotte","11/23/17","JM-15250","North Carolina","United States","South",108,0.2,103.1,78.3776,1.578,94.3,27.992,28205,2.0994,35.7,0.06,2.036418,1.378,1.06,1,-0.062982,50.3856,12.7
"Office Supplies","11/28/17","Janet Martin","OFF-AR-10000390","Consumer","Standard Class","CA-2017-119004","Art","Newell Chalk Holder","Charlotte","11/23/17","JM-15250","North Carolina","United States","South",109,0.2,51.5,4.2952,1.44,96.2,3.304,28205,1.0738,76.9,0.04,2.083172,1.24,1.04,1,1.009372,0.9912,13.9
"Technology","10/20/15","Pete Armstrong","TEC-AC-10000844","Home Office","Standard Class","CA-2015-129476","Accessories","Logitech�Gaming G510s - Keyboard","Orland Park","10/15/15","PA-19060","Illinois","United States","Central",110,0.2,53.2,414.7512,0.916,102,339.96,60462,67.992,82,-0.1,127.82496,0.716,4.9,5,59.83296,74.7912,21.8
"Furniture","12/28/14","Alan Dominguez","FUR-CH-10004063","Home Office","Second Class","US-2014-152030","Chairs","Global Deluxe High-Back Manager's Chair","Houston","12/26/14","AD-10180","Texas","United States","Central",125,0.3,83.3,1056.98208,2.526,67.1,600.558,77041,-8.5794,56.8,1.47,-10.29528,2.226,4.47,3,-1.71588,456.42408,11.9
"Office Supplies","10/19/16","Lena Creighton","OFF-BI-10004781","Consumer","Standard Class","CA-2016-145583","Binders","GBC Wire Binding Strips","Roseville","10/13/16","LC-16885","California","United States","West",138,0.2,95.2,208.72224,0.91,66.7,76.176,95661,26.6616,36.5,1.5,27.99468,0.71,4.5,3,1.33308,132.54624,22
"Furniture","10/28/14","Maureen Gastineau","FUR-FU-10000521","Home Office","Standard Class","CA-2014-110072","Furnishings","Seth Thomas 14"" Putty-Colored Wall Clock","Newark","10/22/14","MG-17680","Ohio","United States","East",147,0.2,55.6,140.832,1.494,101,93.888,43055,12.9096,66.7,-0.04,23.23728,1.294,3.96,4,10.32768,46.944,13.4
"Technology","12/31/15","Eric Murdock","TEC-AC-10003657","Consumer","Second Class","CA-2015-119697","Accessories","Lenovo 17-Key USB Numeric Keypad","Philadelphia","12/28/15","EM-13960","Pennsylvania","United States","East",162,0.2,82.6,169.67808,0.986,94.3,54.384,19134,1.3596,32.1,0.12,1.645116,0.786,2.12,2,0.285516,115.29408,20.3
"Furniture","11/23/15","Joel Eaton","FUR-CH-10004698","Consumer","Second Class","US-2015-101511","Chairs","Padded Folding Chairs, Black, 4/Carton","Newark","11/21/15","JE-15745","Ohio","United States","East",178,0.3,61,1249.9263,2.388,100,396.802,43055,-11.3372,31.7,0,-18.593008,2.088,7,7,-7.255808,853.1243,12.6
"Office Supplies","11/23/15","Joel Eaton","OFF-SU-10002189","Consumer","Second Class","US-2015-101511","Supplies","Acme Rosewood Handle Letter Opener","Newark","11/21/15","JE-15745","Ohio","United States","East",179,0.2,89.3,19.2148,1.214,79.4,15.88,43055,-3.7715,82.6,1.3,-4.22408,1.014,6.3,5,-0.45258,3.3348,16.5
"Furniture","10/14/15","Mark Packer","FUR-BO-10002613","Home Office","First Class","CA-2015-102281","Bookcases","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","New York City","10/12/15","MP-17470","New York","United States","East",190,0.2,56.2,1303.7472,1.144,104.2,899.136,10035,112.392,69,-0.16,200.05776,0.944,3.84,4,87.66576,404.6112,17.5
"Furniture","10/14/15","Mark Packer","FUR-BO-10002545","Home Office","First Class","CA-2015-102281","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","New York City","10/12/15","MP-17470","New York","United States","East",193,0.2,70.9,989.63616,1.798,93.5,626.352,10035,46.9764,63.3,0.21,66.236724,1.598,3.21,3,19.260324,363.28416,11.1
"Office Supplies","12/21/17","Logan Currie","OFF-AP-10003217","Consumer","Second Class","US-2017-116701","Appliances","Eureka Sanitaire  Commercial Upright","Dallas","12/17/17","LC-17140","Texas","United States","Central",204,0.8,60.2,176.97828,3.688,73,66.284,75220,-178.9668,37.5,0.74,-297.084888,2.888,2.74,2,-118.118088,110.69428,21.7
"Office Supplies","12/27/15","Joni Blumstein","OFF-FA-10000585","Consumer","First Class","CA-2015-169397","Fasteners","OIC Bulk Pack Metal Binder Clips","Dublin","12/24/15","JB-15925","Ohio","United States","East",220,0.2,101,12.73152,0.908,78.1,5.584,43017,1.8148,43.9,0.56,1.796652,0.708,2.56,2,-0.018148,7.14752,22
"Office Supplies","12/27/15","Joni Blumstein","OFF-PA-10004000","Consumer","First Class","CA-2015-169397","Paper","While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle","Dublin","12/24/15","JB-15925","Ohio","United States","East",221,0.2,109.9,37.91568,0.98,97.1,22.704,43017,8.2302,59.9,0.18,7.489482,0.78,6.18,6,-0.740718,15.21168,20.4
"Office Supplies","12/27/15","Joni Blumstein","OFF-BI-10002852","Consumer","First Class","CA-2015-169397","Binders","Ibico Standard Transparent Covers","Dublin","12/24/15","JB-15925","Ohio","United States","East",222,0.7,97.1,56.55936,3.731,93.5,19.776,43017,-13.8432,35,0.28,-14.258496,3.031,4.28,4,-0.415296,36.78336,18.8
"Furniture","12/27/15","Joni Blumstein","FUR-FU-10000087","Consumer","First Class","CA-2015-169397","Furnishings","Executive Impressions 14"" Two-Color Numerals Wall Clock","Dublin","12/24/15","JB-15925","Ohio","United States","East",223,0.2,81.3,289.36192,1.156,79.4,72.704,43017,19.0848,25.1,1.04,23.474304,0.956,5.04,4,4.389504,216.65792,17.3
"Technology","12/27/15","Joni Blumstein","TEC-MA-10001148","Consumer","First Class","CA-2015-169397","Machines","Swingline SM12-08 MicroCut Jam Free Shredder","Dublin","12/24/15","JB-15925","Ohio","United States","East",224,0.7,100,1353.56616,4.606,69.4,479.988,43017,-383.9904,35.5,1.76,-383.9904,3.906,5.76,4,0,873.57816,15.2
"Office Supplies","12/27/15","Joni Blumstein","OFF-AR-10001958","Consumer","First Class","CA-2015-169397","Art","Stanley Bostitch Contemporary Electric Pencil Sharpeners","Dublin","12/24/15","JB-15925","Ohio","United States","East",225,0.2,54.6,66.83328,1.274,75.8,27.168,43017,2.7168,40.7,0.64,4.971744,1.074,2.64,2,2.254944,39.66528,15.7
"Furniture","12/15/16","Logan Haushalter","FUR-CH-10002965","Consumer","Second Class","CA-2016-154739","Chairs","Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black","San Francisco","12/10/16","LH-17155","California","United States","West",250,0.2,68,556.31264,1.262,71.9,321.568,94109,28.1372,57.8,0.78,41.361684,1.062,2.78,2,13.224484,234.74464,15.8
"Office Supplies","10/17/17","Andrew Gjertsen","OFF-PA-10000673","Corporate","Standard Class","CA-2017-132976","Paper","Post-it �Important Message� Note Pad, Neon Colors, 50 Sheets/Pad","Philadelphia","10/13/17","AG-10495","Pennsylvania","United States","East",277,0.2,53.5,26.90688,1.43,83.3,11.648,19140,4.0768,43.3,0.4,7.623616,1.23,2.4,2,3.546816,15.25888,14
"Office Supplies","10/17/17","Andrew Gjertsen","OFF-PA-10004470","Corporate","Standard Class","CA-2017-132976","Paper","Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages","Philadelphia","10/13/17","AG-10495","Pennsylvania","United States","East",278,0.2,75.2,46.3488,1.522,106.4,18.176,19140,5.9072,39.2,-0.24,7.856576,1.322,3.76,4,1.949376,28.1728,13.1
"Office Supplies","10/17/17","Andrew Gjertsen","OFF-ST-10000876","Corporate","Standard Class","CA-2017-132976","Storage","Eldon Simplefile Box Office","Philadelphia","10/13/17","AG-10495","Pennsylvania","United States","East",279,0.2,50.5,110.4672,1.598,71.9,59.712,19140,5.9712,54.1,2.34,11.822976,1.398,8.34,6,5.851776,50.7552,12.5
"Office Supplies","10/17/17","Andrew Gjertsen","OFF-LA-10002043","Corporate","Standard Class","CA-2017-132976","Labels","Avery 489","Philadelphia","10/13/17","AG-10495","Pennsylvania","United States","East",280,0.2,91.7,34.5276,0.992,101,24.84,19140,8.694,71.9,-0.03,9.47646,0.792,2.97,3,0.78246,9.6876,20.2
"Office Supplies","12/20/16","Alan Haines","OFF-BI-10000778","Corporate","Second Class","CA-2016-112697","Binders","GBC VeloBinder Electric Binding Machine","Tamarac","12/18/16","AH-10195","Florida","United States","South",287,0.7,65.4,381.087,3.675,84.7,254.058,33319,-169.372,66.7,1.26,-259.13916,2.975,8.26,7,-89.76716,127.029,19
"Office Supplies","12/20/16","Alan Haines","OFF-AP-10002684","Corporate","Second Class","CA-2016-112697","Appliances","Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","Tamarac","12/18/16","AH-10195","Florida","United States","South",288,0.2,82.6,756.71392,0.814,68.5,194.528,33319,24.316,25.7,0.92,29.42236,0.614,2.92,2,5.10636,562.18592,24.6
"Office Supplies","12/20/16","Alan Haines","OFF-SU-10000646","Corporate","Second Class","CA-2016-112697","Supplies","Premier Automatic Letter Opener","Tamarac","12/18/16","AH-10195","Florida","United States","South",289,0.2,75.2,3586.3204,1.236,69.4,961.48,33319,-204.3145,26.8,2.2,-271.738285,1.036,7.2,5,-67.423785,2624.8404,16.2
"Office Supplies","11/24/16","Nick Zandusky","OFF-FA-10002983","Home Office","Second Class","CA-2016-110772","Fasteners","Advantus SlideClip Paper Clips","Columbus","11/20/16","NZ-18565","Ohio","United States","East",290,0.2,58.1,60.53432,1.642,69,19.096,43229,6.6836,31.5,3.15,11.495792,1.442,10.15,7,4.812192,41.43832,12.2
"Office Supplies","11/24/16","Nick Zandusky","OFF-LA-10004689","Home Office","Second Class","CA-2016-110772","Labels","Avery 512","Columbus","11/20/16","NZ-18565","Ohio","United States","East",291,0.2,71.9,36.43712,0.908,71.9,18.496,43229,6.2424,50.8,3.12,8.676936,0.708,11.12,8,2.434536,17.94112,22
"Technology","11/24/16","Nick Zandusky","TEC-AC-10002001","Home Office","Second Class","CA-2016-110772","Accessories","Logitech Wireless Gaming Headset G930","Columbus","11/20/16","NZ-18565","Ohio","United States","East",292,0.2,82,340.45872,1.77,80.6,255.984,43229,54.3966,75.2,0.48,66.363852,1.57,2.48,2,11.967252,84.47472,11.3
"Furniture","11/24/16","Nick Zandusky","FUR-BO-10004709","Home Office","Second Class","CA-2016-110772","Bookcases","Bush Westfield Collection Bookcases, Medium Cherry Finish","Columbus","11/20/16","NZ-18565","Ohio","United States","East",293,0.5,51.3,331.3557,4.165,68,86.97,43229,-48.7032,26.2,1.41,-94.97124,3.665,4.41,3,-46.26804,244.3857,12
"Furniture","12/28/14","Kelly Lampkin","FUR-FU-10004091","Corporate","First Class","CA-2014-111451","Furnishings","Howard Miller 13"" Diameter Goldtone Round Wall Clock","Colorado Springs","12/26/14","KL-16555","Colorado","United States","West",294,0.2,59.5,702.97344,1.072,73,300.416,80906,78.8592,42.7,2.96,132.483456,0.872,10.96,8,53.624256,402.55744,18.7
"Furniture","12/28/14","Kelly Lampkin","FUR-CH-10001891","Corporate","First Class","CA-2014-111451","Chairs","Global Deluxe Office Fabric Chairs","Colorado Springs","12/26/14","KL-16555","Colorado","United States","West",295,0.2,56.5,702.5736,1.116,69,230.352,80906,20.1558,32.8,1.35,35.675766,0.916,4.35,3,15.519966,472.2216,17.9
"Furniture","12/28/14","Kelly Lampkin","FUR-FU-10002918","Corporate","First Class","CA-2014-111451","Furnishings","Eldon ClusterMat Chair Mat with Cordless Antistatic Protection","Colorado Springs","12/26/14","KL-16555","Colorado","United States","West",296,0.2,65.8,646.32192,1.414,84,218.352,80906,-24.5646,33.8,0.57,-37.338192,1.214,3.57,3,-12.773592,427.96992,14.1
"Office Supplies","12/28/14","Kelly Lampkin","OFF-BI-10004593","Corporate","First Class","CA-2014-111451","Binders","Ibico Laser Imprintable Binding System Covers","Colorado Springs","12/26/14","KL-16555","Colorado","United States","West",297,0.7,58.5,304.182,6.3,87,78.6,80906,-62.88,25.8,0.75,-107.5248,5.6,5.75,5,-44.6448,225.582,11.1
"Office Supplies","12/28/14","Kelly Lampkin","OFF-FA-10004854","Corporate","First Class","CA-2014-111451","Fasteners","Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box","Colorado Springs","12/26/14","KL-16555","Colorado","United States","West",298,0.2,96.2,107.4528,0.804,87,27.552,80906,9.2988,25.6,0.45,9.670752,0.604,3.45,3,0.371952,79.9008,24.9
"Furniture","11/23/17","Jonathan Howell","FUR-TA-10002533","Consumer","Standard Class","US-2017-152380","Tables","BPI Conference Tables","Chicago","11/19/17","JH-15910","Illinois","United States","Central",304,0.5,51.8,624.36375,3.06,96.2,219.075,60623,-131.445,35.1,0.12,-253.68885,2.56,3.12,3,-122.24385,405.28875,16.3
"Office Supplies","12/30/14","Sung Pak","OFF-AR-10003373","Corporate","First Class","CA-2014-164259","Art","Boston School Pro Electric Pencil Sharpener, 1670","Philadelphia","12/28/14","SP-20860","Pennsylvania","United States","East",317,0.2,62.9,170.51392,1.64,67.1,99.136,19143,8.6744,58.1,1.96,13.792296,1.44,5.96,4,5.117896,71.37792,12.2
"Office Supplies","12/24/15","Chad Sievert","OFF-ST-10000107","Consumer","Standard Class","US-2015-120712","Storage","Fellowes Super Stor/Drawer","Austin","12/20/15","CS-12130","Texas","United States","Central",345,0.2,89.3,228.216,1.604,108.7,88.8,78745,-2.22,38.9,-0.32,-2.4864,1.404,3.68,4,-0.2664,139.416,12.5
"Office Supplies","10/29/16","Alejandro Savely","OFF-BI-10002225","Corporate","First Class","CA-2016-134775","Binders","Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""","San Francisco","10/28/16","AS-10285","California","United States","West",383,0.2,60.6,179.32032,0.9,72.5,49.536,94109,17.3376,27.6,1.14,28.60704,0.7,4.14,3,11.26944,129.78432,22.2
"Office Supplies","11/26/14","Nathan Gelder","OFF-AR-10004757","Consumer","First Class","CA-2014-115973","Art","Crayola Colored Pencils","Cincinnati","11/24/14","NG-18430","Ohio","United States","East",389,0.2,75.2,6.37632,1.768,69,2.624,45231,0.4264,41.2,0.45,0.567112,1.568,1.45,1,0.140712,3.75232,11.3
"Office Supplies","12/15/17","Mike Vittorini","OFF-BI-10000050","Consumer","Standard Class","CA-2017-101798","Binders","Angle-D Binders with Locking Rings, Label Holders","New York City","12/11/17","MV-18190","New York","United States","East",390,0.2,51.8,67.9776,1.042,75.2,23.36,10009,7.884,34.4,1.32,15.21612,0.842,5.32,4,7.33212,44.6176,19.2
"Office Supplies","12/26/14","Luke Foster","OFF-PA-10001947","Consumer","First Class","CA-2014-113166","Paper","Xerox 1974","Miami","12/24/14","LF-17185","Florida","United States","South",403,0.2,64.5,18.08352,1.572,96.2,9.568,33180,3.4684,52.9,0.08,5.37602,1.372,2.08,2,1.90762,8.51552,12.7
"Office Supplies","12/25/14","Mike Kennedy","OFF-BI-10000773","Consumer","Standard Class","US-2014-150574","Binders","Insertable Tab Post Binder Dividers","Jacksonville","12/19/14","MK-18160","Florida","United States","South",435,0.7,108.7,9.1428,5.46,90.1,4.812,32216,-3.6892,52.6,0.22,-3.394064,4.76,2.22,2,0.295136,4.3308,12.8
"Technology","12/25/14","Mike Kennedy","TEC-AC-10002600","Consumer","Standard Class","US-2014-150574","Accessories","Belkin QODE FastFit Bluetooth Keyboard","Jacksonville","12/19/14","MK-18160","Florida","United States","South",436,0.2,69,854.91,1.712,102,247.8,32216,-18.585,29,-0.1,-26.94825,1.512,4.9,5,-8.36325,607.11,11.7
"Furniture","10/24/17","Ed Braxton","FUR-TA-10001539","Corporate","Standard Class","CA-2017-147277","Tables","Chromcraft Rectangular Conference Tables","Akron","10/20/17","EB-13705","Ohio","United States","East",454,0.4,81.3,844.56108,1.672,70.4,284.364,44312,-75.8304,33.7,0.84,-93.271392,1.272,2.84,2,-17.440992,560.19708,23.9
"Office Supplies","10/24/17","Ed Braxton","OFF-ST-10000142","Corporate","Standard Class","CA-2017-147277","Storage","Deluxe Rollaway Locking File with Drawer","Akron","10/20/17","EB-13705","Ohio","United States","East",455,0.2,56.8,2348.89024,1.446,102,665.408,44312,66.5408,28.3,-0.04,117.111808,1.246,1.96,2,50.571008,1683.48224,13.8
"Office Supplies","12/22/15","Joseph Holt","OFF-BI-10001098","Consumer","Standard Class","CA-2015-109638","Binders","Acco D-Ring Binder w/DublLock","Seattle","12/15/15","JH-15985","Washington","United States","West",462,0.2,78.1,53.8776,1.246,78.1,51.312,98115,18.6006,95.2,0.84,23.808768,1.046,3.84,3,5.208168,2.5656,16.1
"Office Supplies","12/20/16","Craig Carreira","OFF-BI-10002194","Consumer","Second Class","US-2016-100419","Binders","Cardinal Hold-It CD Pocket","Chicago","12/16/16","CC-12670","Illinois","United States","Central",470,0.8,82,5.45832,4.704,66.7,4.788,60610,-7.9002,87.7,1.5,-9.638244,3.904,4.5,3,-1.738044,0.67032,17
"Technology","10/31/14","Sue Ann Reed","TEC-PH-10001363","Consumer","First Class","CA-2014-154627","Phones","Apple iPhone 5S","Chicago","10/29/14","SA-20830","Illinois","United States","Central",488,0.2,79.4,9876.78672,1.46,85.5,2735.952,60610,341.994,27.7,1.02,430.91244,1.26,7.02,6,88.91844,7140.83472,13.7
"Office Supplies","11/15/17","Ed Braxton","OFF-BI-10003274","Corporate","Second Class","CA-2017-134978","Binders","Avery Durable Slant Ring Binders, No Labels","New York City","11/12/17","EB-13705","New York","United States","East",506,0.2,71.4,39.6408,0.874,75.8,15.92,10024,5.373,40.2,1.6,7.5222,0.674,6.6,5,2.1492,23.7208,22.9
"Office Supplies","10/23/16","Luke Foster","OFF-AR-10002053","Consumer","First Class","CA-2016-106341","Art","Premium Writing Pencils, Soft, #2 by Central Association for the Blind","Newark","10/20/16","LF-17185","Ohio","United States","East",513,0.2,58.1,16.87872,1.378,73.5,7.152,43055,0.7152,42.4,1.08,1.230144,1.178,4.08,3,0.514944,9.72672,14.5
"Furniture","10/26/17","Patricia Hirasaki","FUR-CH-10003379","Home Office","Standard Class","CA-2017-113558","Chairs","Global Commerce Series High-Back Swivel/Tilt Chairs","Lakeland","10/21/17","PH-18790","Florida","United States","South",527,0.2,54.6,2359.6344,1.63,70.9,683.952,33801,42.747,29,1.23,78.22701,1.43,4.23,3,35.48001,1675.6824,12.3
"Furniture","10/26/17","Patricia Hirasaki","FUR-FU-10001756","Home Office","Standard Class","CA-2017-113558","Furnishings","Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","Lakeland","10/21/17","PH-18790","Florida","United States","South",528,0.2,52.9,110.58432,1.016,82,45.696,33801,5.1408,41.3,0.66,9.716112,0.816,3.66,3,4.575312,64.88832,19.7
"Office Supplies","12/23/15","Liz MacKendrick","OFF-ST-10001809","Consumer","Standard Class","US-2015-120161","Storage","Fellowes Officeware Wire Shelving","Springfield","12/18/15","LM-17065","Ohio","United States","East",543,0.2,90.1,2522.4264,1.426,72.5,646.776,45503,-145.5246,25.6,3.42,-161.532306,1.226,12.42,9,-16.007706,1875.6504,14
"Office Supplies","11/22/17","Adrian Shami","OFF-BI-10000404","Home Office","First Class","CA-2017-162929","Binders","Avery Printable Repositionable Plastic Tabs","New York City","11/19/17","AS-10135","New York","United States","East",547,0.2,76.3,106.9152,1.56,82.6,41.28,10035,13.932,38.6,1.26,18.25092,1.36,7.26,6,4.31892,65.6352,12.8
"Office Supplies","11/17/15","Dean Katz","OFF-ST-10000604","Corporate","Second Class","CA-2015-113173","Storage","Home/Office Personal File Carts","Chicago","11/15/15","DK-13225","Illinois","United States","Central",549,0.2,51.3,505.54944,0.884,80.6,250.272,60653,15.642,49.5,2.16,30.5019,0.684,11.16,9,14.8599,255.27744,22.6
"Office Supplies","11/17/15","Dean Katz","OFF-BI-10004738","Corporate","Second Class","CA-2015-113173","Binders","Flexible Leather- Look Classic Collection Ring Binder","Chicago","11/15/15","DK-13225","Illinois","United States","Central",550,0.8,80.6,33.29652,4.8,69.9,11.364,60653,-17.046,34.1,1.29,-21.13704,4,4.29,3,-4.09104,21.93252,16.7
"Office Supplies","11/17/15","Dean Katz","OFF-SU-10001935","Corporate","Second Class","CA-2015-113173","Supplies","Staple remover","Chicago","11/15/15","DK-13225","Illinois","United States","Central",551,0.2,71.9,12.3824,1.018,75.2,8.72,60653,-1.744,70.4,1.65,-2.42416,0.818,6.65,5,-0.68016,3.6624,19.6
"Office Supplies","11/28/17","Greg Tran","OFF-FA-10004248","Consumer","Standard Class","CA-2017-101945","Fasteners","Advantus T-Pin Paper Clips","Houston","11/24/17","GT-14710","Texas","United States","Central",554,0.2,91.7,39.39936,0.802,103.1,10.824,77070,2.5707,27.5,-0.09,2.802063,0.602,2.91,3,0.231363,28.57536,24.9
"Office Supplies","11/22/17","Liz Pelletier","OFF-BI-10000069","Consumer","Second Class","CA-2017-118731","Binders","GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb","San Francisco","11/20/17","LP-17080","California","United States","West",561,0.2,64.1,199.21272,1.692,78.7,84.056,94110,27.3182,42.2,1.89,42.616392,1.492,8.89,7,15.298192,115.15672,11.8
"Technology","11/17/17","Clytie Kelty","TEC-PH-10000011","Consumer","Second Class","CA-2017-138611","Phones","PureGear Roll-On Screen Protector","Grove City","11/14/17","CK-12595","Ohio","United States","East",615,0.4,96.2,185.907,2.076,73,119.94,43123,15.992,64.5,3.7,16.63168,1.676,13.7,10,0.63968,65.967,19.3
