"Opportunity.Competitor_EDD_c__c","Origin","LastModifiedDate","Account.Type","AccountId","Account.Owner.Role.RolePath","Account.Owner.UniqueUserName","Account.Owner.Role.Roles","CurrentDate","Status","Opportunity.Predicted_Close_Date__c","Account.Owner.UserManager.UniqueUserName","IsEscalated","CreatedDate","Account.OwnerId","Id","Account.ShippingState","Opportunity.EDD_CreatedDate__c","Account.Owner.UserManagerNames","Account.Owner.Role.Name","Account.Owner.UserManager.Name","ContactId","IsClosed","Account.Industry","Opportunity.DemoShow__c","OwnerId","Account.Parent.ParentAccount.ShippingState","CaseNumber","Account.AccountSource","Account.Owner.Role.ParentRoleId","Account.Parent.ParentAccount.BillingState","Account.Parent.ParentAccount.OwnerId","Opportunity.Discount_Approved__c","Account.BillingState","Account.Parent.ParentAccount.Name","Account.Owner.Name","Opportunity.EDD_Leading_Causes__c","Subject","Opportunity.EDD_Prescription__c","Type","Account.Parent.AccountParents","Account.Name","ClosedDate","DurationCalculatedField","Account.AnnualRevenue","Account.NumberOfEmployees","Opportunity.EDD_Outcome__c","Opportunity.Amount","Opportunity.EDD_Age__c","Opportunity.Close_Date_Difference__c"
"","Facebook","2020-07-01T08:04:27.000Z","Corporate","001B000000sxHkhIAE","","Ann Jones","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-03-25T07:00:00.000Z","005B0000003CnfWIAS","500B0000002pIOlIAM","","","Ann Jones","West Sales","","003B000000EfVTiIAN",True,"Engineering","","005B0000003CnfWIAS","",5972,"Referral","00EB0000000azEIMAY","NM","005B0000003CnfWIAS","","NM","Ideatorium","Ann Jones","","Need guidance getting started with my installation","","Account Support","001B000000sxHkhIAE","Ideatorium","2019-03-25T07:00:00.000Z",0.0,2997000,76,0,0,0,0
"","Twitter","2020-07-01T08:04:27.000Z","Corporate","001B000000WJDvfIAH","","Ann Jones","","2020-07-13T20:29:06.055Z","Closed","2018-10-18","",False,"2018-10-28T07:00:00.000Z","005B0000003CnfWIAS","500B0000002pIOmIAM","","","Ann Jones","West Sales","","003B0000008xfSeIAI",True,"Other",True,"005B0000003CnfWIAS","",5973,"Website","00EB0000000azEIMAY","OR","005B0000003CnfWIAS","","OR","Payment Plus","Ann Jones","+14.534 because Lead Source is Reseller and Region is Midwest
+7.990 because Sales Stage Count is 1 to 2 and Lead Source is Reseller
+6.449 because Amount is 19998 to 29998 and Product Name is Exterior Accessories
-1.152 because of other factors
from the ","Is my personal information safe?","-4.688 if you change Interactive Demo to true
-4.019 if you change Executive Meeting to true","General","001B000000WJDvfIAH","Payment Plus","2018-11-01T07:00:00.000Z",4.0,2456000,152,188,40501,0,98
"","Q&A","2020-07-01T08:04:27.000Z","Corporate","001B000000SS3OxIAL","","Ann Jones","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-06-09T08:00:00.000Z","005B0000003CnfWIAS","500B0000002pIOpIAM","","","Ann Jones","West Sales","","003B0000007vC5sIAE",True,"Construction","","005B0000003CnfWIAS","",5976,"Inbound Call","00EB0000000azEIMAY","WA","005B0000003CnfWIAS","","WA","Greenleaf Produce","Ann Jones","","Product manual is missing","","Technical Issue","001B000000SS3OxIAL","Greenleaf Produce","2020-06-13T08:00:00.000Z",4.0,2102000,156,0,0,0,0
"","Facebook","2020-07-01T08:04:27.000Z","Corporate","001B000000SS3OxIAL","","Ann Jones","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-07-02T08:00:00.000Z","005B0000003CnfWIAS","500B0000002pIOqIAM","","","Ann Jones","West Sales","","003B0000007vC5sIAE",True,"Construction","","005B0000003CnfWIAS","",5977,"Inbound Call","00EB0000000azEIMAY","WA","005B0000003CnfWIAS","","WA","Greenleaf Produce","Ann Jones","","Expediting my order?","","Account Support","001B000000SS3OxIAL","Greenleaf Produce","2020-07-02T08:00:00.000Z",0.0,2102000,156,0,0,0,0
"","Chat","2020-07-01T08:04:27.000Z","Corporate","001B000000SS3P0IAL","","Ann Jones","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-03-15T07:00:00.000Z","005B0000003CnfWIAS","500B0000002pIOsIAM","","","Ann Jones","West Sales","","003B0000007vC5vIAE",True,"Apparel","","005B0000003CnfWIAS","",5979,"Inbound Call","00EB0000000azEIMAY","HI","005B0000003CnfWIAS","","HI","Rcf Information Systems","Ann Jones","","What’s the product warranty policy?","","General","001B000000SS3P0IAL","Rcf Information Systems","2019-03-22T07:00:00.000Z",7.0,2094000,44,0,0,0,0
"","Community","2020-07-01T08:04:27.000Z","Corporate","001B000000SS3P1IAL","","Jordan Wolf","","2020-07-13T20:29:06.055Z","Closed","2019-05-30","",False,"2019-05-14T08:00:00.000Z","005B0000003CnfQIAS","500B0000002pIOtIAM","","","Jordan Wolf","West Sales","","003B0000007vC5wIAE",True,"Financial Services",True,"005B0000003CnfQIAS","",5980,"Partner","00EB0000000azEIMAY","AZ","005B0000003CnfQIAS","","AZ","Centerfield Technology Inc","Jordan Wolf","+14.534 because Lead Source is Reseller and Region is Northwest
+7.990 because Sales Stage Count is 1 to 2 and Lead Source is Reseller
+6.449 because Amount is 10534 to 19997 and Product Name is RV Shelters
-10.024 because of other factors
from the baseli","Purchase order question","-3.988 if you change Interactive Demo to true","Technical Issue","001B000000SS3P1IAL","Centerfield Technology Inc","2019-05-22T08:00:00.000Z",8.0,7836000,245,89,13157,0,49
"","Email","2020-07-01T08:04:27.000Z","Corporate","001B000000lwNn6IAE","","Rachel Reilly","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-01-02T07:00:00.000Z","005B0000003CnfYIAS","500B0000002pIOuIAM","","","Rachel Reilly","Central Sales","","003B000000D8KCzIAN",True,"Hospitality","","005B0000003CnfYIAS","",5981,"Marketing Event","00EB0000000azELMAY","IL","005B0000003CnfYIAS","","IL","Education Interface","Rachel Reilly","","I have a product suggestion.","","Technical Issue","001B000000lwNn6IAE","Education Interface","2020-01-11T07:00:00.000Z",9.0,2618000,60,0,0,0,0
"","Q&A","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn7IAE","","Ann Jones","","2020-07-13T20:29:06.055Z","Closed","2020-02-09","",False,"2020-07-02T08:00:00.000Z","005B0000003CnfWIAS","500B0000002pIOvIAM","","","Ann Jones","West Sales","","003B000000D8KD0IAN",True,"Environmental",True,"005B0000003CnfWIAS","",5982,"Data.com","00EB0000000azEIMAY","AK","005B0000003CnfWIAS","","AK","North Hills Signal Processing Corp","Ann Jones","+14.534 because Lead Source is Reseller and Region is Midwest
-8.006 because Sales Stage Count is 6 to 23 and Lead Source is Reseller
+6.449 because Amount is 10534 to 19997 and Product Name is Motorcycle Parts
+2.903 because of other factors
from the bas","How do I become a partner?","-7.959 if you change Executive Meeting to true
-4.031 if you change Interactive Demo to true","General","001B000000lwNn7IAE","North Hills Signal Processing Corp","2020-07-02T08:00:00.000Z",0.0,7923000,156,86,12263,0,-96
"","Email","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn8IAE","","Beth Crawford","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-11-06T07:00:00.000Z","005B0000003CnfKIAS","500B0000002pIOwIAM","","","Beth Crawford","West Sales","","003B000000D8KD1IAN",True,"Biotechnology","","005B0000003CnfKIAS","",5983,"Cold Call","00EB0000000azEIMAY","AK","005B0000003CnfKIAS","","AK","MHM Services","Beth Crawford","","Problem with my bill","","Product Support","001B000000lwNn8IAE","MHM Services","2019-11-12T07:00:00.000Z",6.0,8962000,244,0,0,0,0
"","Instagram","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn8IAE","","Beth Crawford","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-10-10T07:00:00.000Z","005B0000003CnfKIAS","500B0000002pIOxIAM","","","Beth Crawford","West Sales","","003B000000D8KD1IAN",True,"Biotechnology","","005B0000003CnfKIAS","",5984,"Cold Call","00EB0000000azEIMAY","AK","005B0000003CnfKIAS","","AK","MHM Services","Beth Crawford","","Customer called to make a payment","","General","001B000000lwNn8IAE","MHM Services","2019-10-16T07:00:00.000Z",6.0,8962000,244,0,0,0,0
"","Q&A","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn8IAE","","Beth Crawford","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-10-16T07:00:00.000Z","005B0000003CnfKIAS","500B0000002pIOyIAM","","","Beth Crawford","West Sales","","003B000000D8KD1IAN",True,"Biotechnology","","005B0000003CnfKIAS","",5985,"Cold Call","00EB0000000azEIMAY","AK","005B0000003CnfKIAS","","AK","MHM Services","Beth Crawford","","How do I become a partner?","","General","001B000000lwNn8IAE","MHM Services","2019-10-16T07:00:00.000Z",0.0,8962000,244,0,0,0,0
"","Google","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn8IAE","","Beth Crawford","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-09-30T07:00:00.000Z","005B0000003CnfKIAS","500B0000002pIOzIAM","","","Beth Crawford","West Sales","","003B000000D8KD1IAN",True,"Biotechnology","","005B0000003CnfKIAS","",5986,"Cold Call","00EB0000000azEIMAY","AK","005B0000003CnfKIAS","","AK","MHM Services","Beth Crawford","","Assembly instruction help","","Account Support","001B000000lwNn8IAE","MHM Services","2019-10-06T07:00:00.000Z",6.0,8962000,244,0,0,0,0
"","Q&A","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn9IAE","","Sheri Nunez","","2020-07-13T20:29:06.055Z","Closed","2018-10-22","",False,"2018-10-05T07:00:00.000Z","005B0000003CnfTIAS","500B0000002pIP0IAM","","","Sheri Nunez","Central Sales","","003B000000D8KD2IAN",True,"Government",True,"005B0000003CnfTIAS","",5987,"Community","00EB0000000azELMAY","OH","005B0000003CnfTIAS","","OH","Dominion Digital","Sheri Nunez","+14.534 because Lead Source is Reseller and Region is Pacific
+7.841 because Product Name is Exterior Accessories and Region is Pacific
+6.449 because Amount is 4999 to 10533 and Product Name is Exterior Accessories
-4.093 because of other factors
from th","How do I exchange a product?","-4.894 if you change Interactive Demo to true
-3.225 if you change Executive Meeting to true","General","001B000000lwNn9IAE","Dominion Digital","2018-10-12T07:00:00.000Z",7.0,6318000,82,94,7353,0,49
"","Instagram","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn9IAE","","Sheri Nunez","","2020-07-13T20:29:06.055Z","Closed","2018-10-22","",False,"2018-10-16T07:00:00.000Z","005B0000003CnfTIAS","500B0000002pIP1IAM","","","Sheri Nunez","Central Sales","","003B000000D8KD2IAN",True,"Government",True,"005B0000003CnfTIAS","",5988,"Community","00EB0000000azELMAY","OH","005B0000003CnfTIAS","","OH","Dominion Digital","Sheri Nunez","+14.534 because Lead Source is Reseller and Region is Pacific
+7.841 because Product Name is Exterior Accessories and Region is Pacific
+6.449 because Amount is 4999 to 10533 and Product Name is Exterior Accessories
-4.093 because of other factors
from th","Bill payment clarification.","-4.894 if you change Interactive Demo to true
-3.225 if you change Executive Meeting to true","General","001B000000lwNn9IAE","Dominion Digital","2018-10-23T07:00:00.000Z",7.0,6318000,82,94,7353,0,49
"","LinkedIn","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn9IAE","","Sheri Nunez","","2020-07-13T20:29:06.055Z","Closed","2018-10-22","",False,"2018-11-02T07:00:00.000Z","005B0000003CnfTIAS","500B0000002pIP2IAM","","","Sheri Nunez","Central Sales","","003B000000D8KD2IAN",True,"Government",True,"005B0000003CnfTIAS","",5989,"Community","00EB0000000azELMAY","OH","005B0000003CnfTIAS","","OH","Dominion Digital","Sheri Nunez","+14.534 because Lead Source is Reseller and Region is Pacific
+7.841 because Product Name is Exterior Accessories and Region is Pacific
+6.449 because Amount is 4999 to 10533 and Product Name is Exterior Accessories
-4.093 because of other factors
from th","How much do I owe on my bill?","-4.894 if you change Interactive Demo to true
-3.225 if you change Executive Meeting to true","Technical Issue","001B000000lwNn9IAE","Dominion Digital","2018-11-09T07:00:00.000Z",7.0,6318000,82,94,7353,0,49
"","Community","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNn9IAE","","Sheri Nunez","","2020-07-13T20:29:06.055Z","Closed","2018-10-22","",False,"2018-10-17T07:00:00.000Z","005B0000003CnfTIAS","500B0000002pIP3IAM","","","Sheri Nunez","Central Sales","","003B000000D8KD2IAN",True,"Government",True,"005B0000003CnfTIAS","",5990,"Community","00EB0000000azELMAY","OH","005B0000003CnfTIAS","","OH","Dominion Digital","Sheri Nunez","+14.534 because Lead Source is Reseller and Region is Pacific
+7.841 because Product Name is Exterior Accessories and Region is Pacific
+6.449 because Amount is 4999 to 10533 and Product Name is Exterior Accessories
-4.093 because of other factors
from th","How do I become a partner?","-4.894 if you change Interactive Demo to true
-3.225 if you change Executive Meeting to true","Account Support","001B000000lwNn9IAE","Dominion Digital","2018-10-17T07:00:00.000Z",0.0,6318000,82,94,7353,0,49
"","Email","2020-07-01T08:04:25.000Z","Corporate","001B000000SS3PAIA1","","Jordan Wolf","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-07-02T08:00:00.000Z","005B0000003CnfQIAS","500B0000002pIP8IAM","","","Jordan Wolf","West Sales","","003B0000007vC65IAE",True,"Entertainment","","005B0000003CnfQIAS","",5995,"Inbound Call","00EB0000000azEIMAY","AK","005B0000003CnfQIAS","","AK","The Stop & Shop Supermarket Company","Jordan Wolf","","How do I become a partner?","","Account Support","001B000000SS3PAIA1","The Stop & Shop Supermarket Company","2020-07-02T08:00:00.000Z",0.0,7105000,194,0,0,0,0
"","Mobile Device","2020-07-01T08:04:25.000Z","Corporate","001B000000WJDvmIAH","","Alyssa Williams","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-07-02T08:00:00.000Z","005B0000003CnfXIAS","500B0000002pIP9IAM","","","Alyssa Williams","Central Sales","","003B0000008xfSlIAI",True,"Recreation","","005B0000003CnfXIAS","",5996,"Partner","00EB0000000azELMAY","MI","005B0000003CnfXIAS","","MI","Rofin-Sinar Technologies","Alyssa Williams","","How is my password stored?","","General","001B000000WJDvmIAH","Rofin-Sinar Technologies","2020-07-02T08:00:00.000Z",0.0,8032000,106,0,0,0,0
"","Website","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNnCIAU","","Alyssa Williams","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-10-02T07:00:00.000Z","005B0000003CnfXIAS","500B0000002pIPAIA2","","","Alyssa Williams","Central Sales","","003B000000D8KD5IAN",True,"Machinery","","005B0000003CnfXIAS","",5997,"Social Media","00EB0000000azELMAY","KS","005B0000003CnfXIAS","","KS","Product Development Consulting","Alyssa Williams","","Can't understand installation instructions","","General","001B000000lwNnCIAU","Product Development Consulting","2019-10-07T07:00:00.000Z",5.0,8469000,163,0,0,0,0
"","Community","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNnCIAU","","Alyssa Williams","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-10-22T07:00:00.000Z","005B0000003CnfXIAS","500B0000002pIPBIA2","","","Alyssa Williams","Central Sales","","003B000000D8KD5IAN",True,"Machinery","","005B0000003CnfXIAS","",5998,"Social Media","00EB0000000azELMAY","KS","005B0000003CnfXIAS","","KS","Product Development Consulting","Alyssa Williams","","Does your app work on my mobile device?","","General","001B000000lwNnCIAU","Product Development Consulting","2019-10-23T07:00:00.000Z",1.0,8469000,163,0,0,0,0
"","Website","2020-07-01T08:04:25.000Z","Corporate","001B000000SS3PDIA1","","Alicia Harrison","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-04-21T07:00:00.000Z","005B0000003CnfZIAS","500B0000002pIPDIA2","","","Alicia Harrison","Central Sales","","003B0000007vC68IAE",True,"Hospitality","","005B0000003CnfZIAS","",6000,"Partner","00EB0000000azELMAY","SD","005B0000003CnfZIAS","","SD","Boston Scientific","Alicia Harrison","","Product is shutting down intermittently","","Product Support","001B000000SS3PDIA1","Boston Scientific","2019-04-30T08:00:00.000Z",9.04,7752000,119,0,0,0,0
"","Facebook","2020-07-01T08:04:25.000Z","Corporate","001B000000SS3PDIA1","","Alicia Harrison","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-04-07T07:00:00.000Z","005B0000003CnfZIAS","500B0000002pIPEIA2","","","Alicia Harrison","Central Sales","","003B0000007vC68IAE",True,"Hospitality","","005B0000003CnfZIAS","",6001,"Partner","00EB0000000azELMAY","SD","005B0000003CnfZIAS","","SD","Boston Scientific","Alicia Harrison","","Where can I purchase your products?","","General","001B000000SS3PDIA1","Boston Scientific","2019-04-14T07:00:00.000Z",7.0,7752000,119,0,0,0,0
"","Website","2020-07-01T08:04:25.000Z","Corporate","001B000000SS3PDIA1","","Alicia Harrison","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-04-12T07:00:00.000Z","005B0000003CnfZIAS","500B0000002pIPFIA2","","","Alicia Harrison","Central Sales","","003B0000007vC68IAE",True,"Hospitality","","005B0000003CnfZIAS","",6002,"Partner","00EB0000000azELMAY","SD","005B0000003CnfZIAS","","SD","Boston Scientific","Alicia Harrison","","Projector getting over heated","","Product Support","001B000000SS3PDIA1","Boston Scientific","2019-04-13T07:00:00.000Z",1.0,7752000,119,0,0,0,0
"","Community","2020-07-01T08:04:25.000Z","Corporate","001B000000bwMR9IAM","","Kristen Hughes","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-09-17T07:00:00.000Z","005B0000003CnfSIAS","500B0000002pIPHIA2","","","Kristen Hughes","West Sales","","003B000000A9t1EIAR",True,"Banking","","005B0000003CnfSIAS","",6004,"Community","00EB0000000azEIMAY","OR","005B0000003CnfSIAS","","OR","Gemco  Ware","Kristen Hughes","","Please change my contact information.","","Account Support","001B000000bwMR9IAM","Gemco  Ware","2019-09-26T07:00:00.000Z",9.0,3042000,101,0,0,0,0
"","Twitter","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNnDIAU","","Ann Jones","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-01-21T07:00:00.000Z","005B0000003CnfWIAS","500B0000002pIPIIA2","","","Ann Jones","West Sales","","003B000000D8KD6IAN",True,"Utilities","","005B0000003CnfWIAS","",6005,"Data.com","00EB0000000azEIMAY","NV","005B0000003CnfWIAS","","NV","The Surfside Group","Ann Jones","","Billing address change","","Product Support","001B000000lwNnDIAU","The Surfside Group","2020-01-26T07:00:00.000Z",5.0,5750000,0,0,0,0,0
"","Mobile Device","2020-07-01T08:04:25.000Z","Corporate","001B000000lwNnDIAU","","Ann Jones","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-12-05T07:00:00.000Z","005B0000003CnfWIAS","500B0000002pIPJIA2","","","Ann Jones","West Sales","","003B000000D8KD6IAN",True,"Utilities","","005B0000003CnfWIAS","",6006,"Data.com","00EB0000000azEIMAY","NV","005B0000003CnfWIAS","","NV","The Surfside Group","Ann Jones","","Initiating return process.","","General","001B000000lwNnDIAU","The Surfside Group","2019-12-10T07:00:00.000Z",5.0,5750000,0,0,0,0,0
"","Chat","2020-07-01T08:04:25.000Z","Corporate","001B000000WJDvpIAH","","Alyssa Williams","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-05-09T08:00:00.000Z","005B0000003CnfXIAS","500B0000002pIPLIA2","","","Alyssa Williams","Central Sales","","003B0000008xfSoIAI",True,"Shipping","","005B0000003CnfXIAS","",6008,"Marketing Event","00EB0000000azELMAY","WI","005B0000003CnfXIAS","","WI","Oklahoma Department of Commerce","Alyssa Williams","","Please send shipping confirmation.","","General","001B000000WJDvpIAH","Oklahoma Department of Commerce","2020-05-15T08:00:00.000Z",6.0,8744000,74,0,0,0,0
