"Opportunity.Competitor_EDD_c__c","UserManager.Username","Role.ParentRoleId","Role.RolePath","UserManager.FullPhotoUrl","UserManager.UniqueUserName","Name","UserManager.Id","Role.ForecastManager.UniqueUserName","UserManager.SmallPhotoUrl","Opportunity.Predicted_Close_Date__c","hasOpportunity","Role.Name","Id","LastName","UserType","ManagerId","Role.RoleNames","UniqueUserName","Opportunity.EDD_CreatedDate__c","UserRoleId","IsActive","UserManager.Name","Role.ParentRole.ForecastManager.UniqueUserName","ForecastEnabled","Opportunity.DemoShow__c","Role.ParentRole.ForecastManager.Name","isDuplicate","Opportunity.Name","Role.DeveloperName","SmallPhotoUrl","ManagerNamesPath","Opportunity.Discount_Approved__c","FirstName","UserManager.UserRoleId","Role.ParentRole.Name","Role.ForecastManager.ForecastEnabled","Opportunity.EDD_Leading_Causes__c","Role.ForecastManager.Name","Role.RoleNamesPath","Opportunity.EDD_Prescription__c","CustomFilter","FullPhotoUrl","Username","Role.Roles","Role.Hierarchy_RoleNames","Role.ParentRole.DeveloperName","UserManagerNames","Opportunity.EDD_Outcome__c","Opportunity.EDD_Age__c","Opportunity.Close_Date_Difference__c"
,,"00EB0000000azEHMAY",,,,"Adam Schmidt",,,,,"false","East Sales","005B00000034W1GIAU","Schmidt","Standard","N/A","Adam Schmidt","Adam Schmidt",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXh/T","Adam Schmidt",,"Adam",,"RVP East",,,,"Adam Schmidt/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXh/F","aschmidt1489180173123@demo.user",,"Adam Schmidt","RVPEast","Adam Schmidt",0,0,0
,,"00EB0000000azEHMAY",,,,"Stephanie Garza",,,,,"false","East Sales","005B00000034W1HIAU","Garza","Standard","N/A","Admin","Stephanie Garza",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Stephanie Garza",,"Stephanie",,"RVP East",,,,"Stephanie Garza/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/005/F","sgarza21489180173123@demo.user",,"Admin","RVPEast","Stephanie Garza",0,0,0
,,"00EB0000000azEHMAY",,,,"Russell Hudson",,,,,"false","East Sales","005B00000034W1PIAU","Hudson","Standard","N/A","Admin","Russell Hudson",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Russell Hudson",,"Russell",,"RVP East",,,,"Russell Hudson/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/005/F","rhudson71489180173123@demo.user",,"Admin","RVPEast","Russell Hudson",0,0,0
,,"00EB0000000azEHMAY",,,,"Barbara Andrews",,,,,"false","East Sales","005B00000034W1jIAE","Andrews","Standard","N/A","Admin","Barbara Andrews",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXw/T","Barbara Andrews",,"Barbara",,"RVP East",,,,"Barbara Andrews/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXw/F","bandrews1489180173123@demo.user",,"Admin","RVPEast","Barbara Andrews",0,0,0
,,"00EB0000000azEHMAY",,,,"Paul Russell",,,,,"false","East Sales","005B00000034W1oIAE","Russell","Standard","N/A","Admin","Paul Russell",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYz/T","Paul Russell",,"Paul",,"RVP East",,,,"Paul Russell/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYz/F","prussell1489180174123@demo.user",,"Admin","RVPEast","Paul Russell",0,0,0
,,"00EB0000000azEHMAY",,,,"Ashley Harvey",,,,,"false","East Sales","005B00000034W1tIAE","Harvey","Standard","N/A","Admin","Ashley Harvey",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXr/T","Ashley Harvey",,"Ashley",,"RVP East",,,,"Ashley Harvey/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXr/F","aharveye1489180174123@demo.user",,"Admin","RVPEast","Ashley Harvey",0,0,0
,,"00EB0000000azEHMAY",,,,"Frank Turner",,,,,"false","East Sales","005B00000034W1yIAE","Turner","Standard","N/A","Admin","Frank Turner",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYG/T","Frank Turner",,"Frank",,"RVP East",,,,"Frank Turner/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYG/F","fturnerg1489180174123@demo.user",,"Admin","RVPEast","Frank Turner",0,0,0
,,"00EB0000000azEHMAY",,,,"Howard Lewis",,,,,"false","East Sales","005B00000034W28IAE","Lewis","Standard","N/A","Admin","Howard Lewis",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYQ/T","Howard Lewis",,"Howard",,"RVP East",,,,"Howard Lewis/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYQ/F","hlewish1489180174123@demo.user",,"Admin","RVPEast","Howard Lewis",0,0,0
,,"00EB0000000azEIMAY",,,,"Stephen Synder",,,,,"false","West Sales","005B00000034W2DIAU","Synder","Standard","N/A","Admin","Stephen Synder",,"00EB0000000azEFMAY","true",,"Tyler Parker","true",,"Tyler Parker",,,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0T/T","Stephen Synder",,"Stephen",,"RVP West",,,,"Stephen Synder/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0T/F","ssnyder51489180173123@demo.user",,"Admin","RVPWest","Stephen Synder",0,0,0
,,"00EB0000000azEIMAY",,,,"David Meyer",,,,,"false","West Sales","005B00000034W2IIAU","Meyer","Standard","N/A","Admin","David Meyer",,"00EB0000000azEFMAY","true",,"Tyler Parker","true",,"Tyler Parker",,,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0Y/T","David Meyer",,"David",,"RVP West",,,,"David Meyer/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0Y/F","dmeyer61489180173123@demo.user",,"Admin","RVPWest","David Meyer",0,0,0
,,"00EB0000000azEIMAY",,,,"Lisa Lewis",,,,,"false","West Sales","005B00000034W2NIAU","Lewis","Standard","N/A","Admin","Lisa Lewis",,"00EB0000000azEFMAY","true",,"Tyler Parker","true",,"Tyler Parker",,,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0e/T","Lisa Lewis",,"Lisa",,"RVP West",,,,"Lisa Lewis/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0e/F","llewisa1489180174123@demo.user",,"Admin","RVPWest","Lisa Lewis",0,0,0
,,"00EB0000000azEIMAY",,,,"Janice Thomas",,,,,"false","West Sales","005B00000034W2SIAU","Thomas","Standard","N/A","Admin","Janice Thomas",,"00EB0000000azEFMAY","true",,"Tyler Parker","true",,"Tyler Parker",,,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0i/T","Janice Thomas",,"Janice",,"RVP West",,,,"Janice Thomas/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0i/F","jthomasc1489180174123@demo.user",,"Admin","RVPWest","Janice Thomas",0,0,0
,,"00EB0000000azEIMAY",,,,"Alice Burton",,,,,"false","West Sales","005B00000034W2XIAU","Burton","Standard","N/A","Admin","Alice Burton",,"00EB0000000azEFMAY","true",,"Tyler Parker","true",,"Tyler Parker",,,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0d/T","Alice Burton",,"Alice",,"RVP West",,,,"Alice Burton/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0d/F","aburtonf14891801742123@demo.user",,"Admin","RVPWest","Alice Burton",0,0,0
,,"00EB0000000azEIMAY",,,,"Randy Medina",,,,,"false","West Sales","005B00000034W2cIAE","Medina","Standard","N/A","Admin","Randy Medina",,"00EB0000000azEFMAY","true",,"Tyler Parker","true",,"Tyler Parker",,,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0s/T","Randy Medina",,"Randy",,"RVP West",,,,"Randy Medina/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0s/F","rmedinai1489180174123@demo.user",,"Admin","RVPWest","Randy Medina",0,0,0
,,"00EB0000000azEIMAY",,,,"Paul Jones",,,,,"false","West Sales","005B00000034W2hIAE","Jones","Standard","N/A","Admin","Paul Jones",,"00EB0000000azEFMAY","true",,"Tyler Parker","true",,"Tyler Parker",,,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0n/T","Paul Jones",,"Paul",,"RVP West",,,,"Paul Jones/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Cf0n/F","pjonesj1489180174123@demo.user",,"Admin","RVPWest","Paul Jones",0,0,0
,,"00EB0000000azEtMAI",,,,"Jamie Belton",,,,,"false","Summit Resellers Partner User","005B000000389UYIAY","Belton","PowerPartner","N/A","Jamie Belton","Jamie Belton",,"00EB0000000azEGMAY","true",,,"true",,,,,"CTWResellersPartnerUser","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVs/T","Jamie Belton",,"Jamie",,"Summit Resellers Partner Manager",,,,"Jamie Belton",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVs/F","jbelton@saleswave.demo",,"Jamie Belton","CTWResellersPartnerManager","Jamie Belton",0,0,0
,,"00EB0000000azEPMAY",,,,"Paul Greene",,,,,"false","Acme Partners Partner Executive","005B000000389UZIAY","Greene","PowerPartner","005B000000389UmIAI","Admin","Paul Greene",,"00EB0000000azEOMAY","true",,"Vance Turner","true",,"Vance Turner",,,"AcmeResellersPartnerExecutive","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW0/T","Paul Greene",,"Paul",,"Director of Channel Sales",,,,"Paul Greene/Vance Turner/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bW0/F","pgreene@saleswave.demo",,"Admin","DirChannel","Paul Greene",0,0,0
,,"00EB0000000azEIMAY",,,,"Bill Anderson",,,,,"false","West Manager","005B000000389UaIAI","Anderson","Standard","005B000000389UcIAI","Admin","Bill Anderson",,"00EB0000000EnvJMAS","true",,"Tyler Parker","true",,"Tyler Parker",,,"West_Manager","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVr/T","Bill Anderson",,"Bill",,"RVP West",,,,"Bill Anderson/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVr/F","bwest.f7ii5orwkjz2@demo.user",,"Admin","RVPWest","Bill Anderson",0,0,0
,,"00EB0000000azEvMAI",,,,"Barry Brown",,,,,"false","Meridian Partners Partner User","005B000000389UbIAI","Brown","PowerPartner","N/A","Barry Brown","Barry Brown",,"00EB0000000azENMAY","true",,,"true",,,,,"BronzePartnersPartnerUser","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVz/T","Barry Brown",,"Barry",,"Meridian Partners Partner Manager",,,,"Barry Brown",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVz/F","bbrown@saleswave.demo",,"Barry Brown","BronzePartnersPartnerManager","Barry Brown",0,0,0
,"bwest.f7ii5orwkjz2@demo.user","00EB0000000azEKMAY",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVr/F","Bill Anderson","Vince Rivera","005B000000389UaIAI","Tyler Parker","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVr/T",,"false","RVP West","005B000000389UcIAI","Rivera","Standard","005B000000389UoIAI","Admin","Vince Rivera",,"00EB0000000azEIMAY","true","Bill Anderson","Elliot Shapiro","true",,"Elliot Shapiro",,,"RVPWest","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVu/T","Vince Rivera/Bill Anderson",,"Vince","00EB0000000EnvJMAS","VP of Sales","true",,"Tyler Parker","Vince Rivera/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVu/F","vrivera@saleswave.demo",,"Admin","VPSales","Bill Anderson",0,0,0
,"admin@sales.analytics.demo","00EB0000000azEQMAY",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/F","Admin","Elliot Shapiro","005B00000034KssIAE","Elliot Shapiro","https://sales-ed--c.gus.content.force.com/profilephoto/005/T",,"false","VP of Sales","005B000000389UdIAI","Shapiro","Standard","N/A","Admin","Elliot Shapiro",,"00EB0000000azEKMAY","true","Admin","Admin","true",,"Admin",,,"VPSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVw/T","Elliot Shapiro/Admin/Cindy Stevenson",,"Elliot","00EB0000000azEQMAY","CEO","true",,"Elliot Shapiro","Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVw/F","eexeczb4ipe9fmt9c@saleswave.demo",,"Admin","CEO","Admin",0,0,0
,,"00EB0000000azEHMAY",,,,"Ely Erickson",,,,,"false","East Sales","005B000000389UeIAI","Erickson","Standard","005B000000389UhIAI","Admin","Ely Erickson",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYB/T","Ely Erickson",,"Ely",,"RVP East",,,,"Ely Erickson/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYB/F","eeast.mksaf8agjyeg@demo.user",,"Admin","RVPEast","Ely Erickson",0,0,0
,,"00EB0000000azEIMAY",,,,"Wendy Weisman",,,,,"false","West Sales","005B000000389UfIAI","Weisman","Standard","005B000000389UcIAI","Admin","Wendy Weisman",,"00EB0000000azEFMAY","true",,"Tyler Parker","true",,"Tyler Parker",,,"WestSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVo/T","Wendy Weisman",,"Wendy",,"RVP West",,,,"Wendy Weisman/Tyler Parker/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVo/F","wwest@demo.user",,"Admin","RVPWest","Wendy Weisman",0,0,0
,,"00EB0000000azELMAY",,,,"Kasey Lind",,,,,"false","Central Sales","005B000000389UgIAI","Lind","Standard","005B000000389UiIAI","Admin","Kasey Lind",,"00EB0000000azECMAY","true",,"Andrew Barton","true",,"Andrew Barton",,,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVl/T","Kasey Lind",,"Kasey",,"RVP Central",,,,"Kasey Lind/Andrew Barton/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVl/F","kcentral.rlvszwbxpdsa@demo.user",,"Admin","RVPCentral","Kasey Lind",0,0,0
,"amills@sales.demo","00EB0000000azEKMAY",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000HqHw/F","Amanda Mills","Valerie Hays","005B00000034W0XIAU","Andrew Malone","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000HqHw/T",,"false","RVP East","005B000000389UhIAI","Hays","Standard","005B000000389UoIAI","Admin","Valerie Hays",,"00EB0000000azEHMAY","true","Amanda Mills","Elliot Shapiro","true",,"Elliot Shapiro",,,"RVPEast","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVt/T","Valerie Hays/Amanda Mills",,"Valerie","00EB0000000azEIMAY","VP of Sales","true",,"Andrew Malone","Valerie Hays/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVt/F","veast.itqs78yvvkmk.wwnzuxqdvbkc@saleswave.demo",,"Admin","VPSales","Amanda Mills",0,0,0
,"kcentral.rlvszwbxpdsa@demo.user","00EB0000000azEKMAY",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVl/F","Kasey Lind","Vanessa Maurice","005B000000389UgIAI","Andrew Barton","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVl/T",,"false","RVP Central","005B000000389UiIAI","Maurice","Standard","005B000000389UoIAI","Admin","Vanessa Maurice",,"00EB0000000azELMAY","true","Kasey Lind","Elliot Shapiro","true",,"Elliot Shapiro",,,"RVPCentral","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVx/T","Vanessa Maurice/Kasey Lind",,"Vanessa","00EB0000000azECMAY","VP of Sales","true",,"Andrew Barton","Vanessa Maurice/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVx/F","vmaurice@sales.demo",,"Admin","VPSales","Kasey Lind",0,0,0
,,"00EB0000000azELMAY",,,,"Cindy Stevenson",,,,"2020-03-15","true","Central Sales","005B000000389UjIAI","Stevenson","Standard","005B00000034KssIAE","Admin","Cindy Stevenson",,"00EB0000000azECMAY","true",,"Andrew Barton","true","true","Andrew Barton",,"Advanced Management Solutions 255","CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVq/T","Cindy Stevenson",,"Cindy",,"RVP Central",,"+14.534 because Lead Source is Reseller and Region is Southeast
+7.990 because Sales Stage Count is 1 to 2 and Lead Source is Reseller
+6.449 because Amount is 61499 to 100000 and Product Name is Motorcycle Parts
-8.551 because of other factors
from the b",,"Cindy Stevenson/Andrew Barton/Elliot Shapiro/Admin","-6.009 if you change Executive Meeting to true
-5.034 if you change Interactive Demo to true","true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVq/F","cstevenson@demo.user",,"Admin","RVPCentral","Cindy Stevenson",90,0,-35
,,"00EB0000000azEHMAY",,,,"Ricky Owens",,,,,"false","East Sales","005B000000389UkIAI","Owens","Standard","005B00000034KssIAE","Admin","Ricky Owens",,"00EB0000000azEDMAY","true",,"Andrew Malone","true",,"Andrew Malone",,,"EastSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVp/T","Ricky Owens",,"Ricky",,"RVP East",,,,"Ricky Owens/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVp/F","reast.os4jvddurhpu@demo.user",,"Admin","RVPEast","Ricky Owens",0,0,0
,,"00EB0000000azExMAI",,,,"Sean Silver",,,,,"false","Pinnacle Partners Partner User","005B000000389UlIAI","Silver","PowerPartner","N/A","Sean Silver","Sean Silver",,"00EB0000000azEMMAY","true",,,"true",,,,,"SilverPartnersPartnerUser","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVy/T","Sean Silver",,"Sean",,"Pinnacle Partners Partner Manager",,,,"Sean Silver",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVy/F","ssilver@saleswave.demo",,"Sean Silver","SilverPartnersPartnerManager","Sean Silver",0,0,0
