"Wellness_Priority__c","NOCONVERT","Created_Date__c","Gender__c","isParent__c","Sponsors__c","Name","Lead_Status__c","Sponsor_Level__c","State__c","Age__c","Target_Weight_Difference__c","Target_Weight__c","Weight__c"
"Athletic Fitness","x","2017-08-17T09:44:45.630+00:00","M","Yes","Sherrie Hernandez","Mrs. Selina Nitzsche","Customer","Active Supervisor","New Hampshire",46,48,212,260
"Athletic Fitness",,"2016-11-09T12:21:55.434+00:00","F","Yes","Lauren Boyle","Rodolfo McKenzie","Customer","Active Supervisor","North Dakota",44,66,220,286
"Athletic Fitness","x","2017-07-07T20:02:48.428+00:00","M","No","Stephanie Curran","Curtis Rau","Lead","Active Supervisor","Rhode Island",26,65,158,223
"Athletic Fitness","x","2016-08-19T07:24:28.482+00:00","M","Yes","Lisa Jones","Margaret Schowalter","Customer","Active Supervisor","South Carolina",55,25,161,186
"Athletic Fitness","x","2015-11-30T20:59:20.012+00:00","M","No","Sherrie Hernandez","Keshaun Denesik","Lead","Active Supervisor","Wyoming",26,162,173,335
"Athletic Fitness","x","2015-10-05T15:24:14.064+00:00","M","No","Stephanie Curran","Devyn Schumm","Lead","Active Supervisor","New Mexico",24,105,201,306
"Athletic Fitness",,"2015-10-01T09:35:55.266+00:00","F","Yes","Lauren Boyle","Mr. Corine Ortiz","Customer","Active Supervisor","Hawaii",32,117,168,285
"Athletic Fitness",,"2017-05-07T10:02:16.922+00:00","M","No","Sherrie Hernandez","Dr. Desmond Runolfsdottir","Customer","Active Supervisor","California",35,-10,198,188
"Athletic Fitness",,"2015-11-23T21:12:26.371+00:00","M","No","Tim Carter","Hildegard Osinski","Customer","Active Supervisor","New Mexico",47,11,185,196
"Athletic Fitness",,"2017-08-11T05:05:58.881+00:00","M","Yes","Mark Metz","Hillard Crona","Customer","Active Supervisor","Tennessee",60,128,214,342
"Athletic Fitness",,"2016-09-03T20:24:30.085+00:00","F","Yes","Mark Metz","Kaley Willms","Customer","Active Supervisor","Virginia",44,-13,201,188
"Athletic Fitness",,"2017-02-11T17:12:35.333+00:00","F","Yes","Jamie Wu","Kattie Collins","Lead","Active Supervisor","Kansas",46,126,151,277
"Athletic Fitness","x","2017-07-20T11:04:22.941+00:00","M","Yes","James Chan","Hans Harvey","Customer","Active Supervisor","Mississippi",29,101,191,292
"Athletic Fitness",,"2016-06-19T11:34:42.013+00:00","F","Yes","Jamie Wu","Lillie Halvorson","Customer","Active Supervisor","Hawaii",34,168,167,335
"Athletic Fitness","x","2016-10-23T06:06:50.759+00:00","M","No","Jamie Wu","Yoshiko Mraz","Lead","Active Supervisor","Alabama",27,107,190,297
"Athletic Fitness",,"2017-03-06T16:18:36.387+00:00","F","Yes","Jim Albose","Pearl Rempel","Customer","Active Supervisor","New York",53,96,185,281
"Athletic Fitness",,"2015-12-29T17:36:54.485+00:00","M","Yes","Mark Metz","Lucas Prohaska","Customer","Active Supervisor","Oklahoma",58,-12,224,212
"Athletic Fitness",,"2017-06-05T18:07:53.821+00:00","F","Yes","Lisa Jones","Burley Reinger","Lead","Active Supervisor","Maryland",31,128,194,322
"Athletic Fitness",,"2015-12-27T00:01:11.611+00:00","M","No","Lisa Jones","Filomena Schamberger IV","Lead","Active Supervisor","New Mexico",47,32,171,203
"Athletic Fitness",,"2017-07-26T04:43:37.112+00:00","F","Yes","Lisa Jones","Mr. Cheyanne Hegmann","Lead","Active Supervisor","Louisiana",52,64,194,258
"Athletic Fitness",,"2016-03-06T05:47:08.090+00:00","F","Yes","Dawn Distributor","Mrs. Lurline Botsford","Lead","Active Supervisor","Oregon",40,49,185,234
"Athletic Fitness",,"2017-02-06T22:38:27.351+00:00","M","Yes","Dawn Distributor","Dr. Jordan Bergnaum","Customer","Active Supervisor","South Dakota",33,83,187,270
"Athletic Fitness",,"2017-03-28T14:40:04.215+00:00","F","Yes","Mark Metz","Barbara Purdy","Customer","Active Supervisor","Washington",43,117,195,312
"Athletic Fitness","x","2015-10-22T03:10:45.096+00:00","M","Yes","Jamie Wu","Kennith Adams","Customer","Active Supervisor","Arizona",23,-29,213,184
"Athletic Fitness",,"2016-04-14T12:03:45.335+00:00","F","Yes","Sherrie Hernandez","Sabryna Rohan","Customer","Active Supervisor","Ohio",57,125,210,335
"Athletic Fitness","x","2016-06-04T17:39:10.004+00:00","F","No","Sherrie Hernandez","Enid Quitzon","Customer","Active Supervisor","New York",44,58,221,279
"Athletic Fitness",,"2015-11-17T04:09:57.887+00:00","F","Yes","Dawn Distributor","Julia Stark","Lead","Active Supervisor","Minnesota",56,99,220,319
"Athletic Fitness","x","2015-11-07T06:54:42.365+00:00","M","Yes","Mary Johnson","Ms. Tyreek Bradtke","Lead","Active Supervisor","Arkansas",38,149,194,343
"Athletic Fitness",,"2017-03-19T05:21:37.340+00:00","F","Yes","Stephanie Curran","Zane Keeling","Lead","Active Supervisor","New Jersey",35,65,201,266
"Athletic Fitness",,"2016-03-31T09:29:50.439+00:00","F","Yes","Tim Carter","Miss Louie Stiedemann","Lead","Active Supervisor","Idaho",44,50,152,202
"Athletic Fitness","x","2017-05-28T21:36:47.223+00:00","M","Yes","Jamie Wu","Clotilde Smitham","Lead","Active Supervisor","Maryland",23,93,162,255
"Athletic Fitness",,"2017-01-14T18:25:05.838+00:00","F","Yes","Lauren Boyle","Osbaldo Streich II","Lead","Active Supervisor","Tennessee",43,6,174,180
"Athletic Fitness",,"2016-07-05T10:16:58.782+00:00","F","Yes","Tim Carter","Buford Breitenberg","Lead","Active Supervisor","Minnesota",34,15,225,240
"Athletic Fitness",,"2016-08-04T19:24:05.799+00:00","F","Yes","Mary Johnson","Destany Heaney","Customer","Active Supervisor","Rhode Island",18,142,194,336
"Athletic Fitness",,"2015-12-08T22:46:24.136+00:00","M","No","Jim Albose","Domingo Hegmann DVM","Customer","Active Supervisor","Wisconsin",62,12,168,180
"Athletic Fitness",,"2017-05-25T19:50:35.425+00:00","F","No","Dawn Distributor","Karlee Hagenes","Customer","Active Supervisor","Arkansas",61,155,150,305
"Athletic Fitness",,"2016-08-01T18:10:35.038+00:00","F","Yes","Lisa Jones","Timmy Heathcote","Lead","Active Supervisor","Maine",51,95,175,270
"Athletic Fitness","x","2015-11-22T11:12:30.636+00:00","F","No","Sherrie Hernandez","Bret Kovacek","Customer","Active Supervisor","Kentucky",19,30,173,203
"Athletic Fitness",,"2017-05-29T04:42:48.268+00:00","F","Yes","Lauren Boyle","Ms. Giovanny Daugherty","Lead","Active Supervisor","New Hampshire",37,94,194,288
"Athletic Fitness",,"2016-10-16T10:02:59.056+00:00","F","Yes","Lisa Jones","Fernando Gulgowski","Customer","Active Supervisor","South Dakota",52,87,189,276
"Athletic Fitness",,"2016-09-26T19:20:06.634+00:00","F","Yes","Stephanie Curran","Fabian Jacobs","Lead","Active Supervisor","Arizona",32,99,161,260
"Athletic Fitness",,"2017-07-05T17:26:20.450+00:00","M","No","Mary Johnson","Favian Hilpert","Customer","Active Supervisor","Louisiana",56,43,166,209
"Athletic Fitness",,"2017-06-07T04:54:48.767+00:00","F","No","Dawn Distributor","Madeline Legros","Lead","Active Supervisor","Arkansas",56,85,219,304
"Athletic Fitness","x","2016-03-25T13:17:47.923+00:00","M","No","James Chan","Garrett Fay","Customer","Active Supervisor","Pennsylvania",40,58,160,218
"Athletic Fitness","x","2015-10-03T13:40:17.204+00:00","M","Yes","James Chan","Mrs. Noble Beier","Lead","Active Supervisor","Wyoming",36,2,216,218
"Athletic Fitness",,"2016-12-12T06:22:38.056+00:00","F","Yes","Lisa Jones","Mavis Hansen MD","Lead","Active Supervisor","Illinois",38,136,160,296
"Athletic Fitness","x","2017-04-19T02:34:50.879+00:00","M","No","Mary Johnson","Christian Hirthe","Lead","Active Supervisor","South Dakota",42,98,197,295
"Athletic Fitness",,"2016-11-08T13:43:26.093+00:00","F","Yes","Tim Carter","Alexander Kerluke MD","Lead","Active Supervisor","Maine",57,83,224,307
"Athletic Fitness","x","2016-04-11T19:45:36.585+00:00","M","Yes","Dawn Distributor","Catharine Boyer","Lead","Active Supervisor","North Dakota",23,74,179,253
"Athletic Fitness","x","2016-03-01T14:18:38.591+00:00","F","No","Tim Carter","Rosemary Zemlak","Customer","Active Supervisor","Delaware",37,131,204,335
"Athletic Fitness",,"2017-05-02T06:33:02.628+00:00","F","Yes","Dawn Distributor","Jimmie Leffler","Lead","Active Supervisor","Utah",49,31,209,240
"Athletic Fitness","x","2015-12-04T12:18:48.730+00:00","F","No","Jamie Wu","Gabe Gleason Jr.","Customer","Active Supervisor","Mississippi",22,23,160,183
"Athletic Fitness","x","2015-10-06T05:15:00.605+00:00","F","No","Lauren Boyle","Israel Crooks","Customer","Active Supervisor","Maine",26,25,198,223
"Athletic Fitness",,"2016-07-10T17:41:48.403+00:00","F","Yes","John Smith","King Hintz","Lead","Active Supervisor","West Virginia",30,119,206,325
"Athletic Fitness",,"2016-05-29T20:43:21.543+00:00","M","No","Jamie Wu","Hyman Hagenes","Lead","Active Supervisor","Iowa",32,166,172,338
"Athletic Fitness",,"2016-01-17T22:41:59.869+00:00","F","No","Lisa Jones","Ima Schmeler V","Customer","Active Supervisor","Louisiana",43,87,175,262
"Athletic Fitness",,"2016-12-22T20:48:09.955+00:00","M","Yes","Dawn Distributor","Brittany Parisian","Customer","Active Supervisor","Alabama",36,45,151,196
"Athletic Fitness",,"2015-11-05T11:42:29.749+00:00","F","Yes","John Smith","Issac Douglas","Customer","Active Supervisor","Colorado",50,-13,220,207
"Athletic Fitness",,"2015-10-05T02:38:09.045+00:00","M","Yes","Jamie Wu","Lillie Botsford","Customer","Active Supervisor","Utah",49,-29,221,192
"Athletic Fitness",,"2016-06-24T15:12:48.651+00:00","M","Yes","Dawn Distributor","Quinn MacGyver","Customer","Active Supervisor","Alaska",56,126,188,314
"Athletic Fitness",,"2017-03-22T22:45:02.909+00:00","F","Yes","Lisa Jones","Olaf Haley","Customer","Active Supervisor","New Mexico",59,125,221,346
"Athletic Fitness",,"2015-11-13T15:43:15.522+00:00","M","Yes","Anne Frost","Vladimir Pagac","Customer","Active Supervisor","Alabama",32,-12,193,181
"Athletic Fitness",,"2017-08-11T00:46:43.555+00:00","F","No","Jamie Wu","Nikki Volkman","Lead","Active Supervisor","South Carolina",57,116,213,329
"Athletic Fitness",,"2017-02-05T13:11:02.092+00:00","F","Yes","Anne Frost","Ms. Gerson Funk","Customer","Active Supervisor","South Dakota",45,96,198,294
"Athletic Fitness",,"2015-09-23T21:04:30.406+00:00","F","No","John Smith","Elva Klocko Jr.","Lead","Active Supervisor","South Dakota",57,40,198,238
"Athletic Fitness",,"2016-05-22T22:37:58.635+00:00","F","Yes","Lisa Jones","Jayden Stracke I","Customer","Active Supervisor","Delaware",52,34,202,236
"Athletic Fitness","x","2017-07-16T03:56:04.453+00:00","F","No","Lisa Jones","Mrs. Erik Bechtelar","Lead","Active Supervisor","New Mexico",19,174,151,325
"Athletic Fitness",,"2017-05-10T14:44:12.075+00:00","M","No","Lisa Jones","Brendon Price Sr.","Lead","Active Supervisor","Wyoming",56,16,176,192
"Athletic Fitness",,"2015-09-13T03:56:36.036+00:00","F","No","Stephanie Curran","Mason McGlynn MD","Customer","Active Supervisor","South Dakota",37,-11,216,205
"Athletic Fitness",,"2016-08-26T00:45:25.844+00:00","F","Yes","Jim Albose","Ezra Schmeler","Customer","Active Supervisor","Arizona",25,85,214,299
"Athletic Fitness",,"2016-09-12T19:20:39.564+00:00","M","Yes","Tim Carter","Margot Becker","Customer","Active Supervisor","Minnesota",56,75,216,291
"Athletic Fitness",,"2016-09-04T22:25:15.114+00:00","F","No","Stephanie Curran","Clair Hackett III","Lead","Active Supervisor","Mississippi",43,-9,224,215
"Athletic Fitness",,"2016-09-24T01:34:04.512+00:00","F","Yes","Lauren Boyle","Kaleb Crooks","Lead","Active Supervisor","Texas",47,-14,195,181
"Athletic Fitness",,"2016-03-04T18:24:18.175+00:00","F","No","Stephanie Curran","Francisco Bahringer","Customer","Active Supervisor","Virginia",45,63,181,244
"Athletic Fitness",,"2016-07-15T18:05:30.303+00:00","M","Yes","Mark Metz","Mafalda Franecki","Lead","Active Supervisor","New York",40,74,186,260
"Athletic Fitness","x","2016-05-22T12:56:36.773+00:00","F","No","Dawn Distributor","Wilhelmine Gusikowski","Lead","Active Supervisor","Nebraska",35,-13,197,184
"Athletic Fitness","x","2016-02-20T22:43:12.394+00:00","F","No","Jim Albose","Rocky Roob","Customer","Active Supervisor","South Carolina",43,138,172,310
"Athletic Fitness","x","2016-07-03T04:21:26.658+00:00","F","No","Tim Carter","Agustina Eichmann II","Lead","Active Supervisor","South Dakota",36,187,153,340
"Athletic Fitness",,"2017-09-01T16:22:56.152+00:00","M","Yes","Tim Carter","Brandyn Schultz","Lead","Active Supervisor","Illinois",54,69,162,231
"Athletic Fitness",,"2016-04-04T19:34:28.308+00:00","F","Yes","Stephanie Curran","Layne Cole","Lead","Active Supervisor","Pennsylvania",59,94,206,300
"Athletic Fitness",,"2016-05-18T01:17:55.850+00:00","M","Yes","Mark Metz","Ms. Gregg Corwin","Lead","Active Supervisor","Louisiana",38,30,198,228
"Athletic Fitness",,"2016-08-18T22:02:59.418+00:00","F","No","Jim Albose","Roman Roberts","Lead","Active Supervisor","Delaware",46,13,220,233
"Athletic Fitness",,"2015-09-15T04:55:55.434+00:00","M","No","Anne Frost","Lauriane Rodriguez","Customer","Active Supervisor","Massachusetts",32,117,176,293
"Athletic Fitness",,"2016-09-07T15:15:49.231+00:00","F","Yes","Jamie Wu","Maurine Roob","Lead","Active Supervisor","Hawaii",28,39,203,242
"Athletic Fitness",,"2015-10-17T13:20:42.034+00:00","M","No","Stephanie Curran","Katharina Schultz","Lead","Active Supervisor","Indiana",51,4,212,216
"Athletic Fitness","x","2015-09-20T17:55:56.328+00:00","M","Yes","Jim Albose","Phoebe Fahey","Lead","Active Supervisor","Missouri",21,158,186,344
"Athletic Fitness",,"2015-12-13T08:43:31.904+00:00","F","Yes","Jim Albose","Mara Gorczany V","Customer","Active Supervisor","Texas",34,51,224,275
"Athletic Fitness",,"2017-07-05T11:18:21.006+00:00","F","No","James Chan","Rebeka Weber","Lead","Active Supervisor","Arkansas",39,87,153,240
"Athletic Fitness",,"2016-04-21T05:01:22.680+00:00","F","Yes","Lauren Boyle","Delphine Windler Jr.","Customer","Active Supervisor","Arizona",29,99,178,277
"Athletic Fitness",,"2017-03-19T03:45:22.098+00:00","F","Yes","Anne Frost","Diego Tremblay","Lead","Active Supervisor","New Mexico",31,142,153,295
"Athletic Fitness",,"2017-06-04T00:09:26.875+00:00","M","No","John Smith","Faustino Zieme","Lead","Active Supervisor","Vermont",44,37,155,192
"Athletic Fitness",,"2016-04-29T22:13:16.329+00:00","F","Yes","Tim Carter","Will Dibbert Jr.","Lead","Active Supervisor","Minnesota",41,77,182,259
"Athletic Fitness",,"2017-02-21T15:29:37.188+00:00","F","No","Stephanie Curran","Dr. Brittany Keebler","Lead","Active Supervisor","Mississippi",36,39,198,237
"Athletic Fitness",,"2015-12-07T02:57:47.047+00:00","F","Yes","Lauren Boyle","Zander Veum","Customer","Active Supervisor","Iowa",24,96,156,252
"Athletic Fitness",,"2017-09-11T22:04:05.277+00:00","F","Yes","Tim Carter","Leif Reynolds","Customer","Active Supervisor","Maryland",57,81,206,287
"Athletic Fitness",,"2016-09-22T11:16:07.317+00:00","F","Yes","Stephanie Curran","Ben Jones","Lead","Active Supervisor","Utah",27,52,168,220
"Athletic Fitness",,"2016-08-31T14:22:29.797+00:00","F","Yes","John Smith","Mrs. Kaitlyn Wilderman","Customer","Active Supervisor","Utah",34,2,185,187
"Athletic Fitness","x","2015-10-30T08:47:05.444+00:00","M","Yes","Lisa Jones","Tania Marks","Lead","Active Supervisor","Tennessee",19,70,215,285
"Athletic Fitness",,"2016-02-28T02:55:42.950+00:00","M","No","Jim Albose","Gilberto Gutmann Sr.","Customer","Active Supervisor","West Virginia",32,186,155,341
"Athletic Fitness",,"2016-02-26T12:30:34.397+00:00","M","Yes","Dawn Distributor","Miss Elmer Dare","Customer","Active Supervisor","Alaska",50,116,223,339
"Athletic Fitness",,"2016-09-26T06:30:46.852+00:00","F","Yes","Mark Metz","Devante Torphy","Customer","Active Supervisor","North Carolina",25,165,166,331
"Athletic Fitness",,"2015-11-09T11:21:12.112+00:00","M","Yes","James Chan","Adrain Smith Jr.","Lead","Active Supervisor","Wisconsin",53,44,196,240
"Athletic Fitness","x","2017-09-04T22:43:16.367+00:00","M","Yes","John Smith","Miss Theresa Rath","Customer","Active Supervisor","Hawaii",18,0,183,183
"Athletic Fitness",,"2017-08-12T20:04:56.787+00:00","M","No","Stephanie Curran","Miss Camille Armstrong","Customer","Active Supervisor","South Dakota",38,164,173,337
"Athletic Fitness",,"2016-06-28T00:44:56.377+00:00","F","No","Sherrie Hernandez","Jany Hammes","Lead","Active Supervisor","Colorado",35,57,171,228
"Athletic Fitness",,"2016-10-08T14:04:44.719+00:00","F","Yes","Jim Albose","Demarco Vandervort","Lead","Active Supervisor","Tennessee",43,-9,199,190
"Athletic Fitness",,"2016-03-15T23:03:02.796+00:00","F","Yes","Anne Frost","Mr. Dennis Feeney","Customer","Active Supervisor","Indiana",61,39,218,257
"Athletic Fitness","x","2017-08-07T14:03:45.101+00:00","M","Yes","Mark Metz","Deondre Collins","Customer","Active Supervisor","Tennessee",22,97,213,310
"Athletic Fitness",,"2016-05-26T18:59:16.317+00:00","M","Yes","Stephanie Curran","Meggie Corwin","Lead","Active Supervisor","Hawaii",37,163,155,318
"Athletic Fitness",,"2017-01-01T13:57:10.528+00:00","F","Yes","Lisa Jones","Fleta Miller","Customer","Active Supervisor","Oregon",18,103,151,254
"Athletic Fitness",,"2017-09-11T04:44:20.555+00:00","F","No","Lisa Jones","Marguerite Grant","Customer","Active Supervisor","Illinois",28,75,165,240
"Athletic Fitness",,"2017-01-27T17:51:17.015+00:00","F","No","Jim Albose","Dr. Raul Rohan","Lead","Active Supervisor","Georgia",42,157,160,317
"Athletic Fitness",,"2016-09-21T04:12:31.209+00:00","F","Yes","Mary Johnson","Maxime McClure","Lead","Active Supervisor","Alabama",50,-31,220,189
"Athletic Fitness",,"2017-02-17T15:42:56.289+00:00","F","Yes","Jim Albose","Loy Feil","Lead","Active Supervisor","Illinois",43,120,162,282
"Athletic Fitness",,"2017-07-28T17:18:32.564+00:00","M","Yes","James Chan","Gay Mraz","Lead","Active Supervisor","New Hampshire",44,4,178,182
"Athletic Fitness","x","2015-09-21T14:47:04.914+00:00","M","Yes","Jim Albose","Hertha Glover","Customer","Active Supervisor","Pennsylvania",25,91,196,287
"Athletic Fitness",,"2016-04-25T02:41:22.650+00:00","F","Yes","Tim Carter","Lydia Schoen","Customer","Active Supervisor","Missouri",26,-10,209,199
"Athletic Fitness",,"2017-03-08T00:37:51.623+00:00","F","No","Lauren Boyle","Mrs. Idell Ondricka","Lead","Active Supervisor","Wisconsin",53,133,196,329
"Athletic Fitness",,"2016-09-13T18:58:55.680+00:00","F","Yes","Anne Frost","Dr. Kaitlin Davis","Lead","Active Supervisor","Florida",47,14,196,210
"Athletic Fitness",,"2016-03-06T15:55:49.155+00:00","F","Yes","Anne Frost","Kay Heller","Customer","Active Supervisor","Mississippi",26,179,151,330
"Athletic Fitness",,"2017-03-21T21:15:17.505+00:00","M","Yes","Jamie Wu","Winston Weber MD","Customer","Active Supervisor","Delaware",59,30,184,214
"Athletic Fitness",,"2016-11-03T23:57:29.838+00:00","F","Yes","Stephanie Curran","Francisca Konopelski","Lead","Active Supervisor","Indiana",52,140,186,326
"Athletic Fitness",,"2017-01-10T03:46:43.927+00:00","M","No","Lisa Jones","Isobel Swift MD","Customer","Active Supervisor","Hawaii",37,149,172,321
"Athletic Fitness",,"2016-07-28T09:23:33.829+00:00","F","No","Stephanie Curran","Darius Blick","Lead","Active Supervisor","Iowa",51,21,174,195
"Athletic Fitness",,"2017-08-06T02:10:55.864+00:00","F","No","Jim Albose","Mariana Quitzon","Customer","Active Supervisor","New Hampshire",58,31,153,184
"Athletic Fitness",,"2016-02-12T14:11:06.693+00:00","M","Yes","Lauren Boyle","Holly Kassulke","Customer","Active Supervisor","West Virginia",19,28,215,243
"Athletic Fitness",,"2015-11-26T19:40:54.419+00:00","M","Yes","Lauren Boyle","Jaycee Nienow","Lead","Active Supervisor","Arizona",37,57,151,208
"Athletic Fitness",,"2016-03-02T09:22:16.021+00:00","F","No","Stephanie Curran","Howell Rohan","Customer","Active Supervisor","Maryland",59,5,224,229
"Athletic Fitness",,"2015-10-17T14:02:51.562+00:00","F","Yes","Tim Carter","Sheridan Kertzmann III","Customer","Active Supervisor","Utah",52,170,152,322
"Athletic Fitness",,"2015-09-28T11:04:47.289+00:00","F","No","Anne Frost","Miss Reina Jacobi","Customer","Active Supervisor","Louisiana",34,101,158,259
"Athletic Fitness","x","2016-10-25T13:47:46.661+00:00","M","No","Mary Johnson","Rossie Bechtelar","Lead","Active Supervisor","Louisiana",20,35,217,252
"Athletic Fitness","x","2015-10-19T10:31:12.428+00:00","M","No","Mark Metz","Imogene Yundt","Lead","Active Supervisor","Michigan",21,52,220,272
"Athletic Fitness",,"2017-02-01T05:42:38.680+00:00","F","Yes","Lisa Jones","Nasir Wuckert","Customer","Active Supervisor","New Jersey",52,104,217,321
