"Last_Activity_Date__c","Shake_Recipies__c","Training__c","Activity__c","Created_Date__c","Gender__c","isParent__c","Product_Ordered__c","Sponsors__c","Name","Customer_ID__c","Lead_Status__c","Last_Order_Date__c","Events__c","Email_Frequency__c","Sponsor_Level__c","State__c","Age__c","Club_Visits__c","Order_Amount__c","Order_Score__c","Conversion_Score__c"
"2017-03-13T04:34:40.774+00:00","Wild Berry and Pina Colada","Meal Replacements","Buying Product","2016-03-02T18:17:38.813+00:00","F","Yes","Formula 1 Express Meal Bar","Tim Carter","Dr. Shyanne Smith","15085","Customer","2017-04-16T16:55:08.213+00:00","STS","3x/Month","Presidents Team - 50k President","Nevada",55,0,27,13,62
"2017-03-13T05:05:22.106+00:00","Cafe Latte","Advertising 101","Website Visit","2017-03-18T08:08:41.584+00:00","F","No","Roasted Soy Nuts","Jim Albose","Ruth Parisian","49984-7679","Lead","2017-07-14T09:47:10.683+00:00","Extravaganza","1x/Month","Active Supervisor","Pennsylvania",32,17,55,61,32
"2017-03-13T05:09:49.079+00:00","Chocolate","Meal Replacements","Website Visit","2016-07-19T04:54:46.344+00:00","F","No","Cell-U-Loss","Lisa Jones","Rowan Beahan","98362-4842","Lead","2017-06-08T18:09:17.135+00:00","Extravaganza","2x/Month","Senior Consultant","Idaho",45,16,23,88,86
"2017-03-13T05:21:58.323+00:00","Wild Berry and Pina Colada","Meal Replacements","Buying Product","2016-06-07T03:08:48.113+00:00","F","No","Male Factor 1000","Anne Frost","Yessenia Emmerich Sr.","63155","Customer","2017-05-26T21:13:07.602+00:00","Extravaganza","2x/Month","Herbalife Advantage Plan Distributor (HAP)","Texas",23,18,33,50,84
"2017-03-13T05:36:04.204+00:00","Pumpkin Spice","Health Evaluations & Nutrition Programs","Open Emails","2017-01-14T05:24:26.584+00:00","M","No","Total Control","Lisa Jones","Mrs. Jazmyne Raynor","32798","Customer","2017-03-31T21:37:49.164+00:00","Leadership Development Weekend","2x/Month","Senior Consultant","Tennessee",26,15,45,28,41
"2017-03-13T05:38:50.073+00:00","Chocolate","Health Evaluations & Nutrition Programs","Buying Product","2016-11-01T22:57:07.365+00:00","M","Yes","Herbal Tea Concentrate","Stephanie Curran","Rosemary Schiller","16645-8875","Lead","2017-06-26T22:05:06.922+00:00","STS","3x/Month","Distributor","Idaho",29,5,51,44,51
"2017-03-13T06:47:45.844+00:00","Vanilla","Hosting a HOM","Buying Product","2015-12-26T10:40:51.899+00:00","F","No","Roasted Soy Nuts","Tim Carter","Mrs. Jeremie Tremblay","88313-5775","Lead","2017-04-14T22:03:52.525+00:00","STS","2x/Month","Presidents Team - 50k President","Missouri",59,15,22,60,46
"2017-03-13T07:44:12.183+00:00","Pumpkin Spice","The Social Revolution","Website Visit","2017-01-08T23:29:37.106+00:00","M","Yes","Formula 1 Healthy Meal Nutritional Shake Mix","Stephanie Curran","Nora Fisher","94087-5517","Lead","2017-06-02T08:05:20.092+00:00","Leadership Development Weekend","3x/Month","Distributor","California",20,14,51,24,56
"2017-03-13T07:54:57.815+00:00","Vanilla","Hosting a HOM","Website Visit","2016-12-03T13:09:27.750+00:00","M","No","Roasted Soy Nuts","Mary Johnson","Carson Sauer","86579","Lead","2017-05-21T07:54:01.537+00:00","Leadership Development Weekend","1x/Month","Millionaire Team","Rhode Island",32,12,39,54,51
"2017-03-13T08:27:10.022+00:00","Wild Berry and Pina Colada","Meal Replacements","Open Emails","2016-11-19T11:37:03.273+00:00","F","Yes","Herbal Aloe Powder","Mary Johnson","Lenna Beatty","72408","Lead","2017-09-01T11:11:05.924+00:00","STS","2x/Month","Millionaire Team","Louisiana",54,7,44,21,80
"2017-03-13T10:04:07.974+00:00","Cafe Latte","Hosting a HOM","Buying Product","2016-03-28T09:24:12.654+00:00","M","No","Protien Bar Deluxe","Stephanie Curran","Dr. Dave Walker","13055","Customer","2017-06-14T01:28:51.378+00:00","Leadership Development Weekend","3x/Month","Distributor","Florida",35,1,52,11,91
"2017-03-13T10:15:21.710+00:00","Chocolate","Advertising 101","Open Emails","2016-06-17T09:36:01.585+00:00","M","No","Male Factor 1000","Mark Metz","Skye Brakus Sr.","85867","Customer","2017-05-22T15:07:34.200+00:00","Extravaganza","3x/Month","Success Builder","Connecticut",18,17,39,37,22
"2017-03-13T10:28:18.962+00:00","Cafe Latte","Health Evaluations & Nutrition Programs","Website Visit","2017-01-30T00:17:49.500+00:00","F","Yes","Total Control","Tim Carter","Rafael Emard","32734","Customer","2017-03-26T08:59:11.549+00:00","Leadership Development Weekend","2x/Month","Presidents Team - 50k President","Idaho",42,19,19,62,27
"2017-03-13T11:18:49.478+00:00","Pumpkin Spice","Meal Replacements","Buying Product","2017-06-18T17:21:54.866+00:00","F","No","Formula 2 Multivitamin Complex","Sherrie Hernandez","Mrs. Danny Reinger","48667","Lead","2017-09-04T01:53:50.916+00:00","Extravaganza","3x/Month","Global Expansion Team","Tennessee",25,1,35,8,54
"2017-03-13T11:47:18.599+00:00","Chocolate","Meal Replacements","Buying Product","2017-09-03T07:40:53.372+00:00","F","No","Thermo Bond","Mary Johnson","Ludwig Powlowski","23375-4832","Customer","2017-03-26T22:58:18.282+00:00","Leadership Development Weekend","2x/Month","Millionaire Team","Vermont",23,6,25,42,46
"2017-03-13T12:41:23.954+00:00","Cafe Latte","Health Evaluations & Nutrition Programs","Buying Product","2016-05-12T21:51:14.537+00:00","M","Yes","Formula 1 Healthy Meal Nutritional Shake Mix","Tim Carter","Holly Brekke V","13276-2340","Lead","2017-06-06T15:59:16.353+00:00","Leadership Development Weekend","2x/Month","Presidents Team - 50k President","Colorado",29,15,28,79,15
"2017-03-13T12:41:55.934+00:00","Pumpkin Spice","Hosting a HOM","Open Emails","2016-04-27T14:14:21.703+00:00","F","Yes","Personalized Protein Powder","Anne Frost","Mellie Lehner","88583","Lead","2017-05-07T04:00:07.383+00:00","Leadership Development Weekend","3x/Month","Herbalife Advantage Plan Distributor (HAP)","North Carolina",47,16,26,26,88
"2017-03-13T13:39:44.270+00:00","Cafe Latte","Meal Replacements","Website Visit","2017-03-27T03:39:06.281+00:00","F","Yes","Total Control","Lauren Boyle","Elsie Zboncak","53465-5711","Lead","2017-08-14T20:01:21.903+00:00","Extravaganza","1x/Month","Presidents Team - 30k President","North Carolina",29,22,21,48,68
"2017-03-13T14:07:16.793+00:00","Pumpkin Spice","Hosting a HOM","Buying Product","2017-05-20T04:35:30.383+00:00","M","Yes","Cell-U-Loss","Mary Johnson","Kaycee McDermott","36683","Lead","2017-07-30T01:34:57.652+00:00","STS HOM","1x/Month","Millionaire Team","Vermont",54,1,51,62,37
"2017-03-13T14:35:03.183+00:00","Cafe Latte","Health Evaluations & Nutrition Programs","Website Visit","2016-03-14T10:52:38.765+00:00","F","No","Protien Bar Deluxe","Tim Carter","Camron Barton","75115","Customer","2017-04-10T23:59:10.354+00:00","Extravaganza","2x/Month","Presidents Team - 50k President","Oregon",51,4,38,86,32
"2017-03-13T15:18:57.360+00:00","Cookies 'n Cream","Advertising 101","Open Emails","2016-09-06T04:24:32.689+00:00","F","No","Male Factor 1000","Anne Frost","Juliana Doyle","88644","Lead","2017-03-19T22:30:10.625+00:00","STS","2x/Month","Herbalife Advantage Plan Distributor (HAP)","California",55,22,26,54,30
"2017-03-13T15:28:40.469+00:00","Chocolate","Health Evaluations & Nutrition Programs","Website Visit","2017-01-23T23:54:46.507+00:00","M","Yes","Cell-U-Loss","Sherrie Hernandez","Miss Mafalda Christiansen","45407-9018","Customer","2017-07-20T03:51:31.738+00:00","STS HOM","3x/Month","Global Expansion Team","Minnesota",54,14,30,75,33
"2017-03-13T15:57:53.571+00:00","Pumpkin Spice","The Social Revolution","Buying Product","2016-08-15T22:57:34.966+00:00","F","Yes","Total Control","Mark Metz","Miguel Koepp II","19221-0284","Lead","2017-04-22T17:34:06.672+00:00","Leadership Development Weekend","3x/Month","Success Builder","Arkansas",49,8,54,63,23
"2017-03-13T16:35:18.270+00:00","Pumpkin Spice","The Social Revolution","Buying Product","2017-07-27T10:27:19.717+00:00","M","No","Formula 1 Healthy Meal Nutritional Shake Mix","Dawn Distributor","Ms. Damaris Kilback","66433","Customer","2017-07-01T06:01:22.908+00:00","STS HOM","3x/Month","Active World Team","Pennsylvania",18,22,53,75,5
"2017-03-13T18:43:22.827+00:00","Chocolate","Hosting a HOM","Open Emails","2017-05-14T00:04:56.677+00:00","M","Yes","Formula 1 Healthy Meal Nutritional Shake Mix","Jamie Wu","Augustus Daniel","17451-8822","Customer","2017-05-22T14:23:06.821+00:00","Leadership Development Weekend","1x/Month","Supervisor","Michigan",38,9,31,46,73
"2017-03-13T18:48:36.841+00:00","Pumpkin Spice","Meal Replacements","Open Emails","2016-12-24T05:13:35.504+00:00","M","No","Male Factor 1000","Lisa Jones","Akeem Bernier","99142","Customer","2017-05-12T03:01:23.026+00:00","STS","1x/Month","Senior Consultant","Texas",58,18,27,92,78
"2017-03-13T19:05:47.928+00:00","Cookies 'n Cream","Advertising 101","Website Visit","2016-08-07T02:59:40.708+00:00","F","No","Total Control","Jim Albose","Marlon McKenzie","55720-3910","Lead","2017-05-06T06:24:49.605+00:00","Leadership Development Weekend","3x/Month","Active Supervisor","Mississippi",30,3,42,58,51
"2017-03-13T19:15:52.152+00:00","Vanilla","The Social Revolution","Buying Product","2016-12-03T04:15:31.928+00:00","M","No","Personalized Protein Powder","Stephanie Curran","Vada Barton II","30108-7715","Customer","2017-04-13T22:44:32.296+00:00","Extravaganza","1x/Month","Distributor","West Virginia",45,19,30,58,65
"2017-03-13T19:23:04.220+00:00","Wild Berry and Pina Colada","Advertising 101","Open Emails","2017-03-28T04:25:12.892+00:00","F","Yes","Protien Bar Deluxe","Jamie Wu","Juston Kuhlman","72140","Customer","2017-08-17T20:40:01.586+00:00","Extravaganza","3x/Month","Supervisor","Connecticut",34,2,46,51,23
"2017-03-13T19:25:00.894+00:00","Pumpkin Spice","Hosting a HOM","Website Visit","2016-08-01T21:37:32.911+00:00","F","Yes","Herbal Aloe Concentrate","Stephanie Curran","Andres Berge","50317","Lead","2017-04-11T03:39:38.419+00:00","STS HOM","3x/Month","Distributor","New Hampshire",20,15,55,36,48
"2017-03-13T19:32:14.005+00:00","Vanilla","The Social Revolution","Buying Product","2017-06-16T12:05:42.755+00:00","M","Yes","Total Control","Stephanie Curran","Simeon Schneider V","89855","Lead","2017-06-02T08:00:47.732+00:00","STS HOM","3x/Month","Distributor","Ohio",58,22,35,86,45
"2017-03-13T19:40:04.873+00:00","Vanilla","Advertising 101","Open Emails","2015-11-08T14:02:22.461+00:00","F","Yes","Roasted Soy Nuts","Anne Frost","Talia Kuphal","45607","Customer","2017-09-08T20:26:43.404+00:00","Extravaganza","3x/Month","Herbalife Advantage Plan Distributor (HAP)","Wyoming",23,12,22,89,6
"2017-03-13T20:55:52.337+00:00","Vanilla","Advertising 101","Buying Product","2016-05-22T22:52:17.297+00:00","M","Yes","Herbal Aloe Powder","Tim Carter","Gloria Dibbert Sr.","41311-2229","Customer","2017-04-24T17:52:25.018+00:00","STS HOM","1x/Month","Presidents Team - 50k President","Wyoming",40,21,19,31,54
"2017-03-13T22:13:21.068+00:00","Vanilla","The Social Revolution","Open Emails","2016-04-03T07:32:46.307+00:00","F","No","Male Factor 1000","Tim Carter","Lavada Medhurst","17694-0595","Lead","2017-08-08T17:53:22.291+00:00","STS HOM","1x/Month","Presidents Team - 50k President","Nebraska",35,21,41,16,10
