"TransactionJournal_ActivityDate","LastModifiedDate","ExpiryDate","EventType","TransactionJournal_LoyaltyProgramMember_LeadOrContactId","TransactionJournal_LoyaltyProgramMember_Referrer_Contact_Name","LoyaltyTierMember_LoyaltyTier_LoyaltyTierGroup_Name","TransactionJournal_LoyaltyProgramMember_Referrer_Contact_MobilePhone","LoyaltyTierMember_LoyaltyTier_Name","CreatedById","TransactionJournal_LoyaltyProgramMember_MembershipEndDate","TransactionJournal_Brand","TransactionJournalId","User_UniqueUserName","TransactionJournal_JournalDate","TransactionJournal_LoyaltyProgramPartner_Partner_Name","IsDeleted","TransactionJournal_LoyaltyProgramMember_EnrollmentDate","AdditionalNotes","ActivityDate","TransactionJournal_Product_or_ProductCategory_ID","TransactionJournal_UsageType","TransactionJournal_LoyaltyProgramMember_MemberName","TransactionJournal_Channel","TransactionJournal_LoyaltyProgramPartner_PartnerIndustry","TransactionJournal_TransactionLocation","TransactionJournal_LoyaltyProgramMember_MembershipNumber","TransactionJournal_MemberId","CreatedDate","LoyaltyProgramCurrency_CurrencyType","TransactionJournal_LoyaltyProgramPartner_PartnerCategory","TransactionJournal_ProductCategory_Name","Id","LoyaltyProgramCurrency_NQP_Currency","User_FullPhotoUrl","TransactionJournal_Product_Name","TransactionJournal_LoyaltyProgramMember_LastActivityDate","TransactionJournal_LoyaltyProgramMember_Contact_Birthdate","Correlation","TransactionJournal_LoyaltyProgramMember_Contact_MobilePhone","TransactionType","TransactionJournal_Product_ProductCode","TransactionJournal_LoyaltyProgramMember_MemberType","User_SmallPhotoUrl","LoyaltyProgramCurrency_QP_Currency","LoyaltyProgramCurrencyId","TransactionJournal_LoyaltyProgramMember_Account_Name","TransactionJournal_JournalType_Name","TransactionJournal_PartnerId","TransactionJournal_Industry","TransactionJournal_LoyaltyProgramMember_LeadOrContactName","TransactionJournal_LoyaltyProgramMember_ProgramId","TransactionJournal_JournalSubType_Name","TransactionJournal_LoyaltyProgramMember_IsReferral","TransactionJournal_LoyaltyProgramMember_LoyaltyProgram_Name","TransactionJournal_Status","TransactionJournal_LoyaltyProgramMember_AccountContact_Id","TransactionJournal_LoyaltyProgramMember_MemberStatus","TransactionJournal_LoyaltyProgramPartner_PartnerType","LastProcessedDate","LoyaltyProgramMemberId","TransactionJournal_LoyaltyProgramMember_EnrollmentChannel","TransactionJournal_QuantityUnitOfMeasureId","User_Username","TransactionJournal_Product_Family","Flow","SystemModstamp","TransactionJournal_LoyaltyProgramMember_Contact_Name","TransactionJournal_LoyaltyProgramPartner_Partner_Type","TransactionJournal_LoyaltyProgramMember_Referrer_Contact_Birthdate","TransactionJournal_Product_or_ProductCategory","LastModifiedById","Total_Accrued_Points","TransactionJournal_Quantity","Points","TransactionJournal_TransactionAmount"
"2021-03-05","2021-01-18",,"Debit","003B000000HtVtxIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQv6MAG","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-14","Product is not good","2021-03-02T12:05:12.000Z",,"Loyalty","Grady Adjei",,,,"IndivAiK_UIDbabefgad_b_ga","0lMB00000004GEXMA2","2021-01-18","Qualifying",,,"05wB0000000Rp4MIAS",,"https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"AccrualReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Number of Transactions","0lcB00000004CXWIA2",,"Accrual Reversal",,,"Grady Adjei","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GEXMA2","POS",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Grady Adjei",,,,"005B0000007PfK9IAK",0,0,1665,0
"2021-03-05","2021-01-18",,"Debit","003B000000HtVtxIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQv6MAG","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-14","Product is not good","2021-03-02T12:05:12.000Z",,"Loyalty","Grady Adjei",,,,"IndivAiK_UIDbabefgad_b_ga","0lMB00000004GEXMA2","2021-01-18","NonQualifying",,,"05wB0000000Rp4NIAS","Nights Stayed","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"AccrualReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T",,"0lcB00000004CXXIA2",,"Accrual Reversal",,,"Grady Adjei","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GEXMA2","POS",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Grady Adjei",,,,"005B0000007PfK9IAK",0,0,1550,0
"2021-03-05","2021-01-18","2021-03-12","Credit","003B000000HtVtxIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQv7MAG","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-14","Damaged product delivered","2021-03-02T12:05:38.000Z",,"Loyalty","Grady Adjei",,,,"IndivAiK_UIDbabefgad_b_ga","0lMB00000004GEXMA2","2021-01-18","NonQualifying",,,"05wB0000000Rp4OIAS","Nights Stayed","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"RedemptionReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T",,"0lcB00000004CXXIA2",,"Redemption Reversal",,,"Grady Adjei","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GEXMA2","POS",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Grady Adjei",,,,"005B0000007PfK9IAK",0,0,910,0
"2021-03-05","2021-01-18",,"Debit","003B000000HtVrvIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQv8MAG","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-25","Cancel","2021-03-02T12:07:12.000Z",,"Loyalty","Hayden Abramowitz",,,,"IndivAiK_UIDbabefgad_b_big","0lMB00000004GCVMA2","2021-01-18","Qualifying",,,"05wB0000000Rp4PIAS",,"https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"AccrualReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Number of Transactions","0lcB00000004CXWIA2",,"Accrual Reversal",,,"Hayden Abramowitz","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GCVMA2","Web",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Hayden Abramowitz",,,,"005B0000007PfK9IAK",0,0,1211,0
"2021-03-05","2021-01-18",,"Debit","003B000000HtVrvIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQv8MAG","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-25","Cancel","2021-03-02T12:07:12.000Z",,"Loyalty","Hayden Abramowitz",,,,"IndivAiK_UIDbabefgad_b_big","0lMB00000004GCVMA2","2021-01-18","NonQualifying",,,"05wB0000000Rp4QIAS","Nights Stayed","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"AccrualReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T",,"0lcB00000004CXXIA2",,"Accrual Reversal",,,"Hayden Abramowitz","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GCVMA2","Web",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Hayden Abramowitz",,,,"005B0000007PfK9IAK",0,0,787,0
"2021-03-05","2021-01-18","2021-03-17","Credit","003B000000HtVrvIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQvAMAW","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-25","Cancel","2021-03-02T12:07:39.000Z",,"Loyalty","Hayden Abramowitz",,,,"IndivAiK_UIDbabefgad_b_big","0lMB00000004GCVMA2","2021-01-18","NonQualifying",,,"05wB0000000Rp4RIAS","Nights Stayed","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"RedemptionReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T",,"0lcB00000004CXXIA2",,"Redemption Reversal",,,"Hayden Abramowitz","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GCVMA2","Web",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Hayden Abramowitz",,,,"005B0000007PfK9IAK",0,0,885,0
"2021-03-05","2021-01-18",,"Debit","003B000000HtVrvIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQv9MAG","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-25","Cancel","2021-03-02T12:07:24.000Z",,"Loyalty","Hayden Abramowitz",,,,"IndivAiK_UIDbabefgad_b_big","0lMB00000004GCVMA2","2021-01-18","Qualifying",,,"05wB0000000Rp4SIAS",,"https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"AccrualReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Number of Transactions","0lcB00000004CXWIA2",,"Accrual Reversal",,,"Hayden Abramowitz","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GCVMA2","Web",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Hayden Abramowitz",,,,"005B0000007PfK9IAK",0,0,694,0
"2021-03-05","2021-01-18",,"Debit","003B000000HtVrvIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQv9MAG","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-25","Cancel","2021-03-02T12:07:24.000Z",,"Loyalty","Hayden Abramowitz",,,,"IndivAiK_UIDbabefgad_b_big","0lMB00000004GCVMA2","2021-01-18","NonQualifying",,,"05wB0000000Rp4TIAS","Nights Stayed","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"AccrualReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T",,"0lcB00000004CXXIA2",,"Accrual Reversal",,,"Hayden Abramowitz","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GCVMA2","Web",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Hayden Abramowitz",,,,"005B0000007PfK9IAK",0,0,946,0
"2021-03-05","2021-01-18",,"Debit","003B000000HtVJsIAN",,"Regular",,"Bronze","005B0000007PfKCIA0",,,"0lVB0000000HQvHMAW","Vince Breland","2021-03-05",,"FALSE","2020-05-28","Cancel","2021-03-02T12:15:02.000Z",,"Loyalty","Emberly Amspoker",,,,"IndivAiK_UIDbabedjci_b_eh","0lMB00000004FuaMAE","2021-01-18","Qualifying",,,"05wB0000000Rp4UIAS",,"https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7ru/F",,,,,,"AccrualReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7ru/T","Transaction Amount","0lcB00000004CXbIAM",,"Accrual Reversal",,,"Emberly Amspoker","0lpB00000004CexIAE",,"No","Xperience","Processed",,"Active",,"2021-03-03","0lMB00000004FuaMAE","Email",,"cnalla.jtl2ogh8lszd@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Emberly Amspoker",,,,"005B0000007PfKCIA0",0,0,1530,0
"2021-03-05","2021-01-18",,"Debit","003B000000HtVJsIAN",,"Regular",,"Bronze","005B0000007PfKCIA0",,,"0lVB0000000HQvHMAW","Vince Breland","2021-03-05",,"FALSE","2020-05-28","Cancel","2021-03-02T12:15:02.000Z",,"Loyalty","Emberly Amspoker",,,,"IndivAiK_UIDbabedjci_b_eh","0lMB00000004FuaMAE","2021-01-18","NonQualifying",,,"05wB0000000Rp4VIAS","Nights Stayed","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7ru/F",,,,,,"AccrualReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7ru/T",,"0lcB00000004CXaIAM",,"Accrual Reversal",,,"Emberly Amspoker","0lpB00000004CexIAE",,"No","Xperience","Processed",,"Active",,"2021-03-03","0lMB00000004FuaMAE","Email",,"cnalla.jtl2ogh8lszd@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Emberly Amspoker",,,,"005B0000007PfKCIA0",0,0,939,0
"2021-03-05","2021-01-18","2021-03-13","Credit","003B000000HtVrvIAF",,"Regular",,"Bronze","005B0000007PfK9IAK",,,"0lVB0000000HQvBMAW","Shelly Sheldon","2021-03-05",,"FALSE","2020-01-25","Cancel","2021-03-02T12:07:52.000Z",,"Loyalty","Hayden Abramowitz",,,,"IndivAiK_UIDbabefgad_b_big","0lMB00000004GCVMA2","2021-01-18","NonQualifying",,,"05wB0000000Rp4WIAS","Nights Stayed","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F",,,,,,"RedemptionReversal",,"Individual","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T",,"0lcB00000004CXXIA2",,"Redemption Reversal",,,"Hayden Abramowitz","0lpB00000004CeyIAE",,"No","Xplore","Processed",,"Active",,"2021-03-03","0lMB00000004GCVMA2","Web",,"divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm",,,"2021-01-15T21:58:17.000Z","Hayden Abramowitz",,,,"005B0000007PfK9IAK",0,0,1127,0
