"LoyaltyMemberTier_LoyaltyMemberCurrency_LoyaltyProgramMember_AccountContact_Id","LoyaltyMemberTier_LoyaltyTier_LoyaltyTierGroup_Name","User_SmallPhotoUrl","OldValue","LoyaltyMemberTier_LoyaltyProgramMember_Contact_Name","LoyaltyMemberTier_LoyaltyProgramMember_EnrollmentDate","LoyaltyMemberTier_LoyaltyProgramMember_MemberStatus","LoyaltyMemberTier_LoyaltyMemberId","LoyaltyMemberTier_LoyaltyProgramMember_MemberName","ReasonForChange_Field","LoyaltyMemberTier_LoyaltyProgramMember_Referrer_Contact_Name","Field","LoyaltyMemberTier_LoyaltyProgramMember_Account_Name","LoyaltyMemberTier_LoyaltyProgramMember_AccountContact_Id","CreatedById","DataType","LoyaltyMemberTier_LoyaltyTier_Name","User_UniqueUserName","ReasonForChange_NewValue","LoyaltyMemberTier_LoyaltyProgramMember_LoyaltyProgram_Name","LoyaltyMemberTier_LoyaltyProgramMember_Referrer_Account_Name","IsDeleted","LoyaltyMemberTier_LoyaltyMemberCurrency_LoyaltyProgramCurrency_NQP_Currency","LoyaltyMemberTier_Name","LastProcessedDate","LoyaltyMemberTier_LoyaltyProgramMember_IsReferral","User_Username","LoyaltyMemberTier_LoyaltyProgramMember_EnrollmentChannel","LoyaltyMemberTierId","LoyaltyMemberTier_LoyaltyMemberCurrency_LoyaltyProgramCurrency_QP_Currency","CreatedDate","LoyaltyMemberTier_LoyaltyProgramMember_MemberType","NewValue","Id","User_FullPhotoUrl"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Terrence Aleksey","2020-04-04","Active","0lMB00000004GA6MAM","Terrence Aleksey","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Gold","Shelly Sheldon","Rich Customer","Xplore",,"FALSE","Nights Stayed","Gold","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","POS","0lyB00000004IYzIAM","Number of Transactions","2021-02-18","Individual","Gold","017B00000BM9JFlIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Elin Ardner","2020-04-04","Active","0lMB00000004GLoMAM","Elin Ardner","ReasonForChange","Jairo Aleem","LoyaltyTier",,,"005B0000007PfK9IAK","Text","Gold","Shelly Sheldon","Rich Customer","Xplore",,"FALSE","Nights Stayed","Gold","2021-03-03","Yes","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Social","0lyB00000004J5zIAE","Number of Transactions","2021-02-18","Individual","Gold","017B00000BM9JFoIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Blaze Albertini","2020-04-18","Active","0lMB00000004GAYMA2","Blaze Albertini","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Platinum","Shelly Sheldon","Rich Customer","Xplore",,"FALSE","Nights Stayed","Platinum","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Email","0lyB00000004IY5IAM","Number of Transactions","2021-02-18","Individual","Platinum","017B00000BM9JFrIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Kyrie Acal","2020-06-04","Active","0lMB00000004G8RMAU","Kyrie Acal","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Quartz","Shelly Sheldon","Happy customer","Xplore",,"FALSE","Nights Stayed","Quartz","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Social","0lyB00000004IcJIAU","Number of Transactions","2021-02-18","Individual","Quartz","017B00000BM9JFvIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Sean Achziger","2020-05-03","Active","0lMB00000004G57MAE","Sean Achziger","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Silver","Shelly Sheldon","Rich Customer","Xplore",,"FALSE","Nights Stayed","Silver","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","CallCenter","0lyB00000004IixIAE","Number of Transactions","2021-02-18","Individual","Silver","017B00000BM9JFxIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Valeria Almsteadt","2020-05-05","Active","0lMB00000004G8lMAE","Valeria Almsteadt","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Gold","Shelly Sheldon","Happy customer","Xplore",,"FALSE","Nights Stayed","Gold","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Social","0lyB00000004IbfIAE","Number of Transactions","2021-02-18","Individual","Gold","017B00000BM9JG1IQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Jair Algien","2020-05-17","Active","0lMB00000004GDdMAM","Jair Algien","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Platinum","Shelly Sheldon","Happy customer","Xplore",,"FALSE","Nights Stayed","Platinum","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Web","0lyB00000004IRvIAM","Number of Transactions","2021-02-18","Individual","Platinum","017B00000BM9JG6IQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Alonso Akwei","2020-06-02","Active","0lMB00000004GAkMAM","Alonso Akwei","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Gold","Shelly Sheldon","Happy customer","Xplore",,"FALSE","Nights Stayed","Gold","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","POS","0lyB00000004IXhIAM","Number of Transactions","2021-02-18","Individual","Gold","017B00000BM9JGAIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Kasen Adolph","2020-06-18","Active","0lMB00000004GBmMAM","Kasen Adolph","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Silver","Shelly Sheldon","Happy customer","Xplore",,"FALSE","Nights Stayed","Silver","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Web","0lyB00000004IVdIAM","Number of Transactions","2021-02-18","Individual","Silver","017B00000BM9JGGIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/T","Bronze","Camryn Amedee","2020-06-04","Active","0lMB00000004FqiMAE","Camryn Amedee","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfKGIA0","Text","Silver","Ricky Coyier","happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","guptaankit.op66c3hkacje@loyaltyanalytics.tcrmpmm","Email","0lyB00000004Hl3IAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JGKIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Kaleb Abson","2020-07-03","Active","0lMB00000004GC3MAM","Kaleb Abson","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Quartz","Shelly Sheldon","Happy customer","Xplore",,"FALSE","Nights Stayed","Quartz","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","CallCenter","0lyB00000004IV5IAM","Number of Transactions","2021-01-18","Individual","Quartz","017B00000BM9JGLIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
"003B000000HtVKjIAN","Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","May Asencio","2020-01-06","Active","0lMB00000004Fd4MAE","McGill Corp","ReasonForChange",,"LoyaltyTier","McGill Corp","003B000000HtVKjIAN","005B0000007PfK9IAK","Text","Platinum","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Platinum","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Web","0lyB00000004I5fIAE","Number of Transactions","2021-01-18","Corporate","Platinum","017B00000BM9JGPIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
"003B000000HtVKeIAN","Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Hollyn Asmussen","2020-01-18","Active","0lMB00000004FfAMAU","Global Bank","ReasonForChange",,"LoyaltyTier","Global Bank","003B000000HtVKeIAN","005B0000007PfK9IAK","Text","Gold","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Gold","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Web","0lyB00000004I77IAE","Number of Transactions","2021-01-18","Corporate","Gold","017B00000BM9JGUIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Alaya Ando","2020-02-02","Active","0lMB00000004FthMAE","Alaya Ando","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Silver","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Email","0lyB00000004Hf5IAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JGYIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Avianna Amedeo","2020-02-02","Active","0lMB00000004FqhMAE","Avianna Amedeo","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Quartz","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Quartz","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Social","0lyB00000004Hl5IAE","Number of Transactions","2021-01-18","Individual","Quartz","017B00000BM9JGcIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Abril Applebaum","2020-02-03","Active","0lMB00000004FnwMAE","Abril Applebaum","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Silver","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","CallCenter","0lyB00000004HqbIAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JGgIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Diana Alsaqri","2020-02-18","Active","0lMB00000004FmzMAE","Diana Alsaqri","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Quartz","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Quartz","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Social","0lyB00000004HsVIAU","Number of Transactions","2021-01-18","Individual","Quartz","017B00000BM9JGkIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Leona Amphy","2020-03-03","Active","0lMB00000004FuqMAE","Leona Amphy","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Silver","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Web","0lyB00000004HcnIAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JGoIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
"003B000000HtVKiIAN","Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Arizona Arton","2020-03-04","Active","0lMB00000004FdPMAU","SuperStore","ReasonForChange",,"LoyaltyTier","SuperStore","003B000000HtVKiIAN","005B0000007PfK9IAK","Text","Platinum","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Platinum","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","POS","0lyB00000004I4LIAU","Number of Transactions","2021-01-18","Corporate","Platinum","017B00000BM9JGsIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Clare Angleberger","2020-03-17","Active","0lMB00000004FpHMAU","Clare Angleberger","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Silver","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","Web","0lyB00000004HnvIAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JGwIQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T","Bronze","Vada Aplington","2020-04-03","Active","0lMB00000004FsRMAU","Vada Aplington","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfK9IAK","Text","Silver","Shelly Sheldon","Happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm","POS","0lyB00000004HhbIAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JH0IQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/T","Bronze","Helena Amiri","2020-04-04","Active","0lMB00000004FvFMAU","Helena Amiri","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfKGIA0","Text","Silver","Ricky Coyier","happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","guptaankit.op66c3hkacje@loyaltyanalytics.tcrmpmm","Web","0lyB00000004HbzIAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JH4IQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/T","Bronze","Eileen Andronis","2020-05-18","Active","0lMB00000004Fl2MAE","Eileen Andronis","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfKGIA0","Text","Quartz","Ricky Coyier","happy customer","Xperience",,"FALSE","Nights Stayed","Quartz","2021-03-03","No","guptaankit.op66c3hkacje@loyaltyanalytics.tcrmpmm","CallCenter","0lyB00000004HwPIAU","Number of Transactions","2021-01-18","Individual","Quartz","017B00000BM9JH8IQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/T","Bronze","Darcy Arcia","2020-04-18","Inactive","0lMB00000004FxLMAU","Darcy Arcia","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfKGIA0","Text","Gold","Ricky Coyier","happy customer","Xperience",,"FALSE","Nights Stayed","Gold","2021-03-03","No","guptaankit.op66c3hkacje@loyaltyanalytics.tcrmpmm","Web","0lyB00000004IC7IAM","Number of Transactions","2021-01-18","Individual","Gold","017B00000BM9JH9IQN","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/T","Bronze","Kyra Andina","2020-06-18","Active","0lMB00000004FtlMAE","Kyra Andina","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfKGIA0","Text","Silver","Ricky Coyier","happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","guptaankit.op66c3hkacje@loyaltyanalytics.tcrmpmm","Social","0lyB00000004HexIAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JHDIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/T","Bronze","Kennedi Amesquieto","2020-05-03","Active","0lMB00000004FqNMAU","Kennedi Amesquieto","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfKGIA0","Text","Silver","Ricky Coyier","happy customer","Xperience",,"FALSE","Nights Stayed","Silver","2021-03-03","No","guptaankit.op66c3hkacje@loyaltyanalytics.tcrmpmm","Social","0lyB00000004HljIAE","Number of Transactions","2021-01-18","Individual","Silver","017B00000BM9JHFIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/F"
,"Regular","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/T","Bronze","Cadence Amonette","2020-05-04","Active","0lMB00000004FvDMAU","Cadence Amonette","ReasonForChange",,"LoyaltyTier",,,"005B0000007PfKGIA0","Text","Gold","Ricky Coyier","happy customer","Xperience",,"FALSE","Nights Stayed","Gold","2021-03-03","No","guptaankit.op66c3hkacje@loyaltyanalytics.tcrmpmm","Social","0lyB00000004Hc3IAE","Number of Transactions","2021-01-18","Individual","Gold","017B00000BM9JHJIQ3","https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rv/F"
