"LoyaltyProgramMember_Contact_Name","LoyaltyProgramMember_ProgramId","NextResetDate","LastResetDate","LoyaltyProgramMember_MemberName","LoyaltyProgramMember_EnrollmentDate","LoyaltyProgramCurrency_QP_Currency","LoyaltyProgramMember_IsReferral","LoyaltyProgramCurrencyId","LoyaltyProgramMember_MemberStatus","Name","LoyaltyMemberId","LoyaltyProgramMember_Account_Name","LoyaltyProgramMember_MembershipEndDate","LoyaltyProgramMember_Referrer_Account_Name","LoyaltyProgramMember_Contact_MobilePhone","LoyaltyProgramMember_EnrollmentChannel","LoyaltyProgramMember_Contact_Birthdate","LoyaltyProgramMember_Referrer_Contact_Birthdate","LoyaltyProgramMember_LeadOrContactName","LoyaltyProgramMember_Referrer_Contact_Name","LastProcessedDate","LoyaltyProgramMember_LeadOrContactId","LoyaltyProgramMember_Referrer_Contact_MobilePhone","LoyaltyProgramMember_LoyaltyProgram_Name","LoyaltyProgramMember_MembershipNumber","LoyaltyProgramMember_LastActivityDate","LoyaltyProgramMember_MemberType","LoyaltyProgramCurrency_CurrencyType","LoyaltyProgramMember_AccountContact_Id","Id","LoyaltyProgramCurrency_NQP_Currency","LastExpirationProcessRunDate","LoyaltyProgramCurrency_Id","TotalPointsExpired","ExpirablePoints","TotalPointsRedeemed","TotalPointsAccrued","PointsBalance","BalanceBeforeReset"
"Kelsi Choi","0lpB00000004CeyIAE",,,"Kelsi Choi","2020-05-23",,"No","0lcB00000004CXXIA2","Active","Nights Stayed","0lMB00000004GNcMAM",,,,,"CallCenter",,,"Kelsi Choi",,"2021-03-03","003B000000HtW7BIAV",,"Xplore","3656757",,"Individual","NonQualifying",,"0lzB00000004KPRIA2","Nights Stayed",,"0lcB00000004CXXIA2",0,0,0,0,0,0
"Kelsi Choi","0lpB00000004CeyIAE","2020-11-23",,"Kelsi Choi","2020-05-23","Transaction Amount","No","0lcB00000004CXYIA2","Active","Transaction Amount","0lMB00000004GNcMAM",,,,,"CallCenter",,,"Kelsi Choi",,"2021-03-03","003B000000HtW7BIAV",,"Xplore","3656757",,"Individual","Qualifying",,"0lzB00000004KPSIA2",,,"0lcB00000004CXYIA2",0,0,0,0,0,0
"Tera Ahsan","0lpB00000004CeyIAE","2022-01-13",,"Tera Ahsan","2019-12-31","Number of Transactions","No","0lcB00000004CXWIA2","Active","Number of Transactions","0lMB00000004GNdMAM",,,,,"Social",,,"Tera Ahsan",,"2021-03-03","003B000000HtW7CIAV",,"Xplore","3436759",,"Individual","Qualifying",,"0lzB00000004KPTIA2",,,"0lcB00000004CXWIA2",0,0,0,0,0,0
"Tera Ahsan","0lpB00000004CeyIAE",,,"Tera Ahsan","2019-12-31",,"No","0lcB00000004CXXIA2","Active","Nights Stayed","0lMB00000004GNdMAM",,,,,"Social",,,"Tera Ahsan",,"2021-03-03","003B000000HtW7CIAV",,"Xplore","3436759",,"Individual","NonQualifying",,"0lzB00000004KPUIA2","Nights Stayed",,"0lcB00000004CXXIA2",0,0,0,0,0,0
"Tera Ahsan","0lpB00000004CeyIAE","2020-08-31",,"Tera Ahsan","2019-12-31","Transaction Amount","No","0lcB00000004CXYIA2","Active","Transaction Amount","0lMB00000004GNdMAM",,,,,"Social",,,"Tera Ahsan",,"2021-03-03","003B000000HtW7CIAV",,"Xplore","3436759",,"Individual","Qualifying",,"0lzB00000004KPVIA2",,,"0lcB00000004CXYIA2",0,0,0,0,0,0
"Debbra Emard","0lpB00000004CexIAE","2022-01-19",,"Debbra Emard","2020-06-04","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004GNiMAM",,,,,"Email",,,"Debbra Emard",,"2021-03-03","003B000000HtW7HIAV",,"Xperience","2457578",,"Individual","Qualifying",,"0lzB00000004KPWIA2",,,"0lcB00000004CXZIA2",0,0,0,0,0,0
"Debbra Emard","0lpB00000004CexIAE",,,"Debbra Emard","2020-06-04",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004GNiMAM",,,,,"Email",,,"Debbra Emard",,"2021-03-03","003B000000HtW7HIAV",,"Xperience","2457578",,"Individual","NonQualifying",,"0lzB00000004KPXIA2","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,0,0,0
"Debbra Emard","0lpB00000004CexIAE","2020-12-04",,"Debbra Emard","2020-06-04","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004GNiMAM",,,,,"Email",,,"Debbra Emard",,"2021-03-03","003B000000HtW7HIAV",,"Xperience","2457578",,"Individual","Qualifying",,"0lzB00000004KPYIA2",,,"0lcB00000004CXbIAM",0,0,0,0,0,0
"Billi Towber","0lpB00000004CeyIAE","2022-01-13",,"Billi Towber","2020-01-18","Number of Transactions","No","0lcB00000004CXWIA2","Active","Number of Transactions","0lMB00000004GNeMAM",,,,,"Social",,,"Billi Towber",,"2021-03-03","003B000000HtW7DIAV",,"Xplore","9734528",,"Individual","Qualifying",,"0lzB00000004KPZIA2",,,"0lcB00000004CXWIA2",0,0,0,0,0,0
"Billi Towber","0lpB00000004CeyIAE",,,"Billi Towber","2020-01-18",,"No","0lcB00000004CXXIA2","Active","Nights Stayed","0lMB00000004GNeMAM",,,,,"Social",,,"Billi Towber",,"2021-03-03","003B000000HtW7DIAV",,"Xplore","9734528",,"Individual","NonQualifying",,"0lzB00000004KPaIAM","Nights Stayed",,"0lcB00000004CXXIA2",0,0,0,0,0,0
"Billi Towber","0lpB00000004CeyIAE","2020-07-18",,"Billi Towber","2020-01-18","Transaction Amount","No","0lcB00000004CXYIA2","Active","Transaction Amount","0lMB00000004GNeMAM",,,,,"Social",,,"Billi Towber",,"2021-03-03","003B000000HtW7DIAV",,"Xplore","9734528",,"Individual","Qualifying",,"0lzB00000004KPbIAM",,,"0lcB00000004CXYIA2",0,0,0,0,0,0
"Merrill Thorn","0lpB00000004CexIAE","2022-01-19",,"Merrill Thorn","2020-08-04","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004GNfMAM",,,,,"POS",,,"Merrill Thorn",,"2021-03-03","003B000000HtW7EIAV",,"Xperience","2039582",,"Individual","Qualifying",,"0lzB00000004KPcIAM",,,"0lcB00000004CXZIA2",0,0,0,0,0,0
"Merrill Thorn","0lpB00000004CexIAE",,,"Merrill Thorn","2020-08-04",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004GNfMAM",,,,,"POS",,,"Merrill Thorn",,"2021-03-03","003B000000HtW7EIAV",,"Xperience","2039582",,"Individual","NonQualifying",,"0lzB00000004KPdIAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,0,0,0
"Merrill Thorn","0lpB00000004CexIAE","2021-02-04",,"Merrill Thorn","2020-08-04","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004GNfMAM",,,,,"POS",,,"Merrill Thorn",,"2021-03-03","003B000000HtW7EIAV",,"Xperience","2039582",,"Individual","Qualifying",,"0lzB00000004KPeIAM",,,"0lcB00000004CXbIAM",0,0,0,0,0,0
"Leona Mattie","0lpB00000004CexIAE","2022-01-19",,"Leona Mattie","2020-07-04","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004GNgMAM",,,,,"Web",,,"Leona Mattie",,"2021-03-03","003B000000HtW7FIAV",,"Xperience","2957573",,"Individual","Qualifying",,"0lzB00000004KPfIAM",,,"0lcB00000004CXZIA2",0,0,0,0,0,0
"Leona Mattie","0lpB00000004CexIAE",,,"Leona Mattie","2020-07-04",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004GNgMAM",,,,,"Web",,,"Leona Mattie",,"2021-03-03","003B000000HtW7FIAV",,"Xperience","2957573",,"Individual","NonQualifying",,"0lzB00000004KPgIAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,0,0,0
"Leona Mattie","0lpB00000004CexIAE","2021-01-04",,"Leona Mattie","2020-07-04","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004GNgMAM",,,,,"Web",,,"Leona Mattie",,"2021-03-03","003B000000HtW7FIAV",,"Xperience","2957573",,"Individual","Qualifying",,"0lzB00000004KPhIAM",,,"0lcB00000004CXbIAM",0,0,0,0,0,0
"Cory Mcmicheal","0lpB00000004CexIAE","2022-01-19",,"Cory Mcmicheal","2020-05-04","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004GNhMAM",,,,,"CallCenter",,,"Cory Mcmicheal",,"2021-03-03","003B000000HtW7GIAV",,"Xperience","6588392",,"Individual","Qualifying",,"0lzB00000004KPiIAM",,,"0lcB00000004CXZIA2",0,0,0,0,0,0
"Cory Mcmicheal","0lpB00000004CexIAE",,,"Cory Mcmicheal","2020-05-04",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004GNhMAM",,,,,"CallCenter",,,"Cory Mcmicheal",,"2021-03-03","003B000000HtW7GIAV",,"Xperience","6588392",,"Individual","NonQualifying",,"0lzB00000004KPjIAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,0,0,0
"Cory Mcmicheal","0lpB00000004CexIAE","2020-11-04",,"Cory Mcmicheal","2020-05-04","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004GNhMAM",,,,,"CallCenter",,,"Cory Mcmicheal",,"2021-03-03","003B000000HtW7GIAV",,"Xperience","6588392",,"Individual","Qualifying",,"0lzB00000004KPkIAM",,,"0lcB00000004CXbIAM",0,0,0,0,0,0
"Wyatt Arendall","0lpB00000004CexIAE","2022-01-19",,"Wyatt Arendall","2020-01-04","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004GNjMAM",,,,,"Social",,,"Wyatt Arendall",,"2021-03-03","003B000000HtW7IIAV",,"Xperience","2945712",,"Individual","Qualifying",,"0lzB00000004KPlIAM",,,"0lcB00000004CXZIA2",0,0,0,0,0,0
"Wyatt Arendall","0lpB00000004CexIAE",,,"Wyatt Arendall","2020-01-04",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004GNjMAM",,,,,"Social",,,"Wyatt Arendall",,"2021-03-03","003B000000HtW7IIAV",,"Xperience","2945712",,"Individual","NonQualifying",,"0lzB00000004KPmIAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,0,0,0
"Wyatt Arendall","0lpB00000004CexIAE","2020-07-04",,"Wyatt Arendall","2020-01-04","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004GNjMAM",,,,,"Social",,,"Wyatt Arendall",,"2021-03-03","003B000000HtW7IIAV",,"Xperience","2945712",,"Individual","Qualifying",,"0lzB00000004KPnIAM",,,"0lcB00000004CXbIAM",0,0,0,0,0,0
"Jody Koening","0lpB00000004CexIAE","2022-01-19",,"Jody Koening","2019-12-05","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004GNkMAM",,,,,"Email",,,"Jody Koening",,"2021-03-03","003B000000HtW7JIAV",,"Xperience","349685",,"Individual","Qualifying",,"0lzB00000004KPoIAM",,,"0lcB00000004CXZIA2",0,0,0,0,0,0
"Jody Koening","0lpB00000004CexIAE",,,"Jody Koening","2019-12-05",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004GNkMAM",,,,,"Email",,,"Jody Koening",,"2021-03-03","003B000000HtW7JIAV",,"Xperience","349685",,"Individual","NonQualifying",,"0lzB00000004KPpIAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,0,0,0
"Jody Koening","0lpB00000004CexIAE","2020-08-04",,"Jody Koening","2019-12-05","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004GNkMAM",,,,,"Email",,,"Jody Koening",,"2021-03-03","003B000000HtW7JIAV",,"Xperience","349685",,"Individual","Qualifying",,"0lzB00000004KPqIAM",,,"0lcB00000004CXbIAM",0,0,0,0,0,0
"Sierra Amin","0lpB00000004CexIAE","2022-01-19",,"Sierra Amin","2021-08-07","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004FsvMAE",,,,,"POS",,,"Sierra Amin",,"2021-03-03","003B000000HtVIDIA3",,"Xperience","IndivAiK_UIDbabedjci_b_a",,"Individual","Qualifying",,"0lzB00000004KPrIAM",,,"0lcB00000004CXZIA2",0,0,0,23073,23073,0
"Sierra Amin","0lpB00000004CexIAE",,,"Sierra Amin","2021-08-07",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004FsvMAE",,,,,"POS",,,"Sierra Amin",,"2021-03-03","003B000000HtVIDIA3",,"Xperience","IndivAiK_UIDbabedjci_b_a",,"Individual","NonQualifying",,"0lzB00000004KPsIAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,21476,21476,0
"Sierra Amin","0lpB00000004CexIAE","2022-02-07",,"Sierra Amin","2021-08-07","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004FsvMAE",,,,,"POS",,,"Sierra Amin",,"2021-03-03","003B000000HtVIDIA3",,"Xperience","IndivAiK_UIDbabedjci_b_a",,"Individual","Qualifying",,"0lzB00000004KPtIAM",,,"0lcB00000004CXbIAM",0,0,0,1442,1442,0
"Kathryn Amini","0lpB00000004CexIAE","2022-01-19",,"Kathryn Amini","2020-12-09","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004FvKMAU",,,,,"Web",,,"Kathryn Amini",,"2021-03-03","003B000000HtVKcIAN",,"Xperience","IndivAiK_UIDbabedjci_b_b",,"Individual","Qualifying",,"0lzB00000004KPuIAM",,,"0lcB00000004CXZIA2",0,0,0,3190,3190,0
"Kathryn Amini","0lpB00000004CexIAE",,,"Kathryn Amini","2020-12-09",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004FvKMAU",,,,,"Web",,,"Kathryn Amini",,"2021-03-03","003B000000HtVKcIAN",,"Xperience","IndivAiK_UIDbabedjci_b_b",,"Individual","NonQualifying",,"0lzB00000004KPvIAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,22183,22183,0
"Kathryn Amini","0lpB00000004CexIAE","2021-06-09",,"Kathryn Amini","2020-12-09","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004FvKMAU",,,,,"Web",,,"Kathryn Amini",,"2021-03-03","003B000000HtVKcIAN",,"Xperience","IndivAiK_UIDbabedjci_b_b",,"Individual","Qualifying",,"0lzB00000004KPwIAM",,,"0lcB00000004CXbIAM",0,0,0,22030,22030,0
"Rosemary Aminov","0lpB00000004CexIAE","2022-01-19",,"Rosemary Aminov","2020-12-05","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004FvJMAU",,,,,"Email",,,"Rosemary Aminov",,"2021-03-03","003B000000HtVKbIAN",,"Xperience","IndivAiK_UIDbabedjci_b_c",,"Individual","Qualifying",,"0lzB00000004KPxIAM",,,"0lcB00000004CXZIA2",0,0,0,21589,21589,0
"Rosemary Aminov","0lpB00000004CexIAE",,,"Rosemary Aminov","2020-12-05",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004FvJMAU",,,,,"Email",,,"Rosemary Aminov",,"2021-03-03","003B000000HtVKbIAN",,"Xperience","IndivAiK_UIDbabedjci_b_c",,"Individual","NonQualifying",,"0lzB00000004KPyIAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,21959,21959,0
"Rosemary Aminov","0lpB00000004CexIAE","2021-06-05",,"Rosemary Aminov","2020-12-05","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004FvJMAU",,,,,"Email",,,"Rosemary Aminov",,"2021-03-03","003B000000HtVKbIAN",,"Xperience","IndivAiK_UIDbabedjci_b_c",,"Individual","Qualifying",,"0lzB00000004KPzIAM",,,"0lcB00000004CXbIAM",0,0,0,2885,2885,0
"Jolene Amiot","0lpB00000004CexIAE","2022-01-19",,"Jolene Amiot","2020-12-10","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004FvIMAU",,,,,"Social",,,"Jolene Amiot",,"2021-03-03","003B000000HtVKaIAN",,"Xperience","IndivAiK_UIDbabedjci_b_d",,"Individual","Qualifying",,"0lzB00000004KQ0IAM",,,"0lcB00000004CXZIA2",0,0,0,3866,3866,0
"Jolene Amiot","0lpB00000004CexIAE",,,"Jolene Amiot","2020-12-10",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004FvIMAU",,,,,"Social",,,"Jolene Amiot",,"2021-03-03","003B000000HtVKaIAN",,"Xperience","IndivAiK_UIDbabedjci_b_d",,"Individual","NonQualifying",,"0lzB00000004KQ1IAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,20366,20366,0
"Jolene Amiot","0lpB00000004CexIAE","2021-06-10",,"Jolene Amiot","2020-12-10","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004FvIMAU",,,,,"Social",,,"Jolene Amiot",,"2021-03-03","003B000000HtVKaIAN",,"Xperience","IndivAiK_UIDbabedjci_b_d",,"Individual","Qualifying",,"0lzB00000004KQ2IAM",,,"0lcB00000004CXbIAM",0,0,0,18990,18990,0
"Alondra Amir","0lpB00000004CexIAE","2022-01-19",,"Alondra Amir","2020-07-05","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004FvHMAU",,,,,"CallCenter",,,"Alondra Amir",,"2021-03-03","003B000000HtVKZIA3",,"Xperience","IndivAiK_UIDbabedjci_b_e",,"Individual","Qualifying",,"0lzB00000004KQ3IAM",,,"0lcB00000004CXZIA2",0,0,0,18081,18081,0
"Alondra Amir","0lpB00000004CexIAE",,,"Alondra Amir","2020-07-05",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004FvHMAU",,,,,"CallCenter",,,"Alondra Amir",,"2021-03-03","003B000000HtVKZIA3",,"Xperience","IndivAiK_UIDbabedjci_b_e",,"Individual","NonQualifying",,"0lzB00000004KQ4IAM","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,21025,21025,0
"Alondra Amir","0lpB00000004CexIAE","2021-01-05",,"Alondra Amir","2020-07-05","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004FvHMAU",,,,,"CallCenter",,,"Alondra Amir",,"2021-03-03","003B000000HtVKZIA3",,"Xperience","IndivAiK_UIDbabedjci_b_e",,"Individual","Qualifying",,"0lzB00000004KQ5IAM",,,"0lcB00000004CXbIAM",0,0,0,4579,4579,0
"Elisa Amirault","0lpB00000004CexIAE","2022-01-19",,"Elisa Amirault","2020-03-11","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004FvGMAU",,,,,"POS",,,"Elisa Amirault",,"2021-03-03","003B000000HtVKYIA3",,"Xperience","IndivAiK_UIDbabedjci_b_f",,"Individual","Qualifying",,"0lzB00000004KQ6IAM",,,"0lcB00000004CXZIA2",0,0,0,4427,4427,0
"Elisa Amirault","0lpB00000004CexIAE",,,"Elisa Amirault","2020-03-11",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004FvGMAU",,,,,"POS",,,"Elisa Amirault",,"2021-03-03","003B000000HtVKYIA3",,"Xperience","IndivAiK_UIDbabedjci_b_f",,"Individual","NonQualifying",,"0lzB00000004KQ7IAM","Nights Stayed","2020-10-22","0lcB00000004CXaIAM",1675,1675,0,22401,20726,0
"Elisa Amirault","0lpB00000004CexIAE","2020-09-11",,"Elisa Amirault","2020-03-11","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004FvGMAU",,,,,"POS",,,"Elisa Amirault",,"2021-03-03","003B000000HtVKYIA3",,"Xperience","IndivAiK_UIDbabedjci_b_f",,"Individual","Qualifying",,"0lzB00000004KQ8IAM",,,"0lcB00000004CXbIAM",0,0,0,0,0,0
"Helena Amiri","0lpB00000004CexIAE","2022-01-19",,"Helena Amiri","2020-04-04","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004FvFMAU",,,,,"Web",,,"Helena Amiri",,"2021-03-03","003B000000HtVKXIA3",,"Xperience","IndivAiK_UIDbabedjci_b_g",,"Individual","Qualifying",,"0lzB00000004KQ9IAM",,,"0lcB00000004CXZIA2",0,0,1999,23933,21934,0
"Helena Amiri","0lpB00000004CexIAE",,,"Helena Amiri","2020-04-04",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004FvFMAU",,,,,"Web",,,"Helena Amiri",,"2021-03-03","003B000000HtVKXIA3",,"Xperience","IndivAiK_UIDbabedjci_b_g",,"Individual","NonQualifying",,"0lzB00000004KQAIA2","Nights Stayed","2020-10-22","0lcB00000004CXaIAM",3274,3274,1487,22341,17580,0
"Helena Amiri","0lpB00000004CexIAE","2020-10-04",,"Helena Amiri","2020-04-04","Transaction Amount","No","0lcB00000004CXbIAM","Active","Transaction Amount","0lMB00000004FvFMAU",,,,,"Web",,,"Helena Amiri",,"2021-03-03","003B000000HtVKXIA3",,"Xperience","IndivAiK_UIDbabedjci_b_g",,"Individual","Qualifying",,"0lzB00000004KQBIA2",,,"0lcB00000004CXbIAM",0,0,0,0,0,0
"Charleigh Amirian","0lpB00000004CexIAE","2022-01-19",,"Charleigh Amirian","2021-05-12","Number of Transactions","No","0lcB00000004CXZIA2","Active","Number of Transactions","0lMB00000004FvEMAU",,,,,"Email",,,"Charleigh Amirian",,"2021-03-03","003B000000HtVKWIA3",,"Xperience","IndivAiK_UIDbabedjci_b_h",,"Individual","Qualifying",,"0lzB00000004KQCIA2",,,"0lcB00000004CXZIA2",0,0,0,4282,4282,0
"Charleigh Amirian","0lpB00000004CexIAE",,,"Charleigh Amirian","2021-05-12",,"No","0lcB00000004CXaIAM","Active","Nights Stayed","0lMB00000004FvEMAU",,,,,"Email",,,"Charleigh Amirian",,"2021-03-03","003B000000HtVKWIA3",,"Xperience","IndivAiK_UIDbabedjci_b_h",,"Individual","NonQualifying",,"0lzB00000004KQDIA2","Nights Stayed",,"0lcB00000004CXaIAM",0,0,0,20306,20306,0
