"LoyaltyProgramMember_Contact_Name","LoyaltyProgramMember_ProgramId","LoyaltyTierId","LoyaltyTier_LoyaltyTierGroup_Name","LoyaltyProgramMember_MemberName","LoyaltyProgramMember_EnrollmentDate","LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_MobilePhone","LoyaltyProgramMember_IsReferral","LoyaltyProgramMember_MemberStatus","Name","LoyaltyMemberId","LoyaltyProgramMember_Account_Name","LoyaltyProgramMember_MembershipEndDate","LoyaltyMemberCurrency_LoyaltyProgramMember_AccountContact_Id","LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_Birthdate","LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_Birthdate","LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_MobilePhone","LoyaltyProgramMember_MemberTenureBucket","LoyaltyProgramMember_Referrer_Account_Name","ReasonForChange","LoyaltyProgramMember_Contact_MobilePhone","LoyaltyProgramMember_EnrollmentChannel","LoyaltyProgramMember_TransactionJournal_SecondAccrualDate","LoyaltyProgramMember_MembershipLastRenewalDate","LoyaltyTier_Name","LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_Name","LoyaltyProgramMember_Contact_Birthdate","LoyaltyProgramMember_LeadOrContactName","LoyaltyProgramMember_Referrer_Contact_Name","LastProcessedDate","LoyaltyTierGroupId","TierExpirationDate","LoyaltyProgramMember_LeadOrContactId","LoyaltyMemberCurrency_LoyaltyProgramCurrency_QP_Currency","LoyaltyMemberCurrency_LoyaltyProgramCurrency_NQP_Currency","LoyaltyProgramMember_LoyaltyProgram_Name","LoyaltyProgramMember_MembershipNumber","LoyaltyProgramMember_TransactionJournal_FirstAccrualDate","LoyaltyProgramMember_MemberType","LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_Name","LoyaltyProgramMember_AccountContact_Id","Id","LoyaltyProgramMember_ReferredById","EffectiveDate","LoyaltyTier_SequenceNumber"
"Debbra Emard","0lpB00000004CexIAE","0lgB00000004CdsIAE","Regular","Debbra Emard","2020-06-04",,"No","Active","Platinum","0lMB00000004GNiMAM",,,,,,,"4.6-9 months",,"manual tier change",,"Email",,,"Platinum","Debbra Emard",,"Debbra Emard",,"2021-03-03","0ltB00000004CbZIAU","2021-11-07","003B000000HtW7HIAV","Number of Transactions","Nights Stayed","Xperience","2457578",,"Individual",,,"0lyB00000004HbZIAU",,"2020-11-07",4
"Debbra Emard","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Debbra Emard","2020-06-04",,"No","Active","Premium","0lMB00000004GNiMAM",,,,,,,"4.6-9 months",,,,"Email",,,"Premium","Debbra Emard",,"Debbra Emard",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtW7HIAV","Number of Transactions","Nights Stayed","Xperience","2457578",,"Individual",,,"0lyB00000004HbaIAE",,,1
"Billi Towber","0lpB00000004CeyIAE","0lgB00000004CduIAE","Regular","Billi Towber","2020-01-18",,"No","Active","Bronze","0lMB00000004GNeMAM",,,,,,,"6.1-2 years",,,,"Social",,,"Bronze","Billi Towber",,"Billi Towber",,"2021-03-03","0ltB00000004CbbIAE",,"003B000000HtW7DIAV","Number of Transactions","Nights Stayed","Xplore","9734528","2020-06-05","Individual",,,"0lyB00000004HbbIAE",,,1
"Billi Towber","0lpB00000004CeyIAE","0lgB00000004CdqIAE","Lifetime","Billi Towber","2020-01-18",,"No","Active","Premium","0lMB00000004GNeMAM",,,,,,,"6.1-2 years",,,,"Social",,,"Premium","Billi Towber",,"Billi Towber",,"2021-03-03","0ltB00000004CbcIAE",,"003B000000HtW7DIAV","Number of Transactions","Nights Stayed","Xplore","9734528","2020-06-05","Individual",,,"0lyB00000004HbcIAE",,,1
"Merrill Thorn","0lpB00000004CexIAE","0lgB00000004CdsIAE","Regular","Merrill Thorn","2020-08-04",,"No","Active","Platinum","0lMB00000004GNfMAM",,,,,,,"3.3-6 months",,"manual tier change",,"Email",,,"Platinum","Merrill Thorn",,"Merrill Thorn",,"2021-03-03","0ltB00000004CbZIAU","2021-11-07","003B000000HtW7EIAV","Number of Transactions","Nights Stayed","Xperience","2039582",,"Individual",,,"0lyB00000004HbdIAE",,"2020-11-07",4
"Merrill Thorn","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Merrill Thorn","2020-08-04",,"No","Active","Premium","0lMB00000004GNfMAM",,,,,,,"3.3-6 months",,,,"Email",,,"Premium","Merrill Thorn",,"Merrill Thorn",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtW7EIAV","Number of Transactions","Nights Stayed","Xperience","2039582",,"Individual",,,"0lyB00000004HbeIAE",,,1
"Leona Mattie","0lpB00000004CexIAE","0lgB00000004CdvIAE","Regular","Leona Mattie","2020-07-04",,"No","Active","Quartz","0lMB00000004GNgMAM",,,,,,,"4.6-9 months",,"manual tier change",,"Web",,,"Quartz","Leona Mattie",,"Leona Mattie",,"2021-03-03","0ltB00000004CbZIAU","2021-11-07","003B000000HtW7FIAV","Number of Transactions","Nights Stayed","Xperience","2957573",,"Individual",,,"0lyB00000004HbfIAE",,"2020-11-07",5
"Leona Mattie","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Leona Mattie","2020-07-04",,"No","Active","Premium","0lMB00000004GNgMAM",,,,,,,"4.6-9 months",,,,"Web",,,"Premium","Leona Mattie",,"Leona Mattie",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtW7FIAV","Number of Transactions","Nights Stayed","Xperience","2957573",,"Individual",,,"0lyB00000004HbgIAE",,,1
"Cory Mcmicheal","0lpB00000004CexIAE","0lgB00000004CdvIAE","Regular","Cory Mcmicheal","2020-05-04",,"No","Active","Quartz","0lMB00000004GNhMAM",,,,,,,"4.6-9 months",,"manual tier change",,"CallCenter",,,"Quartz","Cory Mcmicheal",,"Cory Mcmicheal",,"2021-03-03","0ltB00000004CbZIAU","2021-11-07","003B000000HtW7GIAV","Number of Transactions","Nights Stayed","Xperience","6588392",,"Individual",,,"0lyB00000004HbhIAE",,"2020-11-07",5
"Cory Mcmicheal","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Cory Mcmicheal","2020-05-04",,"No","Active","Premium","0lMB00000004GNhMAM",,,,,,,"4.6-9 months",,,,"CallCenter",,,"Premium","Cory Mcmicheal",,"Cory Mcmicheal",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtW7GIAV","Number of Transactions","Nights Stayed","Xperience","6588392",,"Individual",,,"0lyB00000004HbiIAE",,,1
"Wyatt Arendall","0lpB00000004CexIAE","0lgB00000004CdvIAE","Regular","Wyatt Arendall","2020-01-04",,"No","Active","Quartz","0lMB00000004GNjMAM",,,,,,,"6.1-2 years",,"Upgrade",,"Social",,,"Quartz","Wyatt Arendall",,"Wyatt Arendall",,"2021-03-03","0ltB00000004CbZIAU","2021-12-09","003B000000HtW7IIAV","Number of Transactions","Nights Stayed","Xperience","2945712","2020-05-19","Individual",,,"0lyB00000004HbjIAE",,"2020-12-10",5
"Wyatt Arendall","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Wyatt Arendall","2020-01-04",,"No","Active","Premium","0lMB00000004GNjMAM",,,,,,,"6.1-2 years",,,,"Social",,,"Premium","Wyatt Arendall",,"Wyatt Arendall",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtW7IIAV","Number of Transactions","Nights Stayed","Xperience","2945712","2020-05-19","Individual",,,"0lyB00000004HbkIAE",,,1
"Jody Koening","0lpB00000004CexIAE","0lgB00000004CdsIAE","Regular","Jody Koening","2019-12-05",,"No","Active","Platinum","0lMB00000004GNkMAM",,,,,,,"6.1-2 years",,"Upgrade",,"Email",,,"Platinum","Jody Koening",,"Jody Koening",,"2021-03-03","0ltB00000004CbZIAU","2021-12-09","003B000000HtW7JIAV","Number of Transactions","Nights Stayed","Xperience","349685","2020-04-28","Individual",,,"0lyB00000004HblIAE",,"2020-12-10",4
"Jody Koening","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Jody Koening","2019-12-05",,"No","Active","Premium","0lMB00000004GNkMAM",,,,,,,"6.1-2 years",,,,"Email",,,"Premium","Jody Koening",,"Jody Koening",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtW7JIAV","Number of Transactions","Nights Stayed","Xperience","349685","2020-04-28","Individual",,,"0lyB00000004HbmIAE",,,1
"Sierra Amin","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Sierra Amin","2021-08-07",,"No","Active","Bronze","0lMB00000004FsvMAE",,,,,,,"9.NA",,,,"Email","2022-07-18","2022-08-07","Bronze","Sierra Amin",,"Sierra Amin",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVIDIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_a","2022-01-08","Individual",,,"0lyB00000004HbnIAE",,,1
"Sierra Amin","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Sierra Amin","2021-08-07",,"No","Active","Premium","0lMB00000004FsvMAE",,,,,,,"9.NA",,,,"Email","2022-07-18","2022-08-07","Premium","Sierra Amin",,"Sierra Amin",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVIDIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_a","2022-01-08","Individual",,,"0lyB00000004HboIAE",,,1
"Kathryn Amini","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Kathryn Amini","2020-12-09",,"No","Active","Bronze","0lMB00000004FvKMAU",,,,,,,"2.1-3 months",,,,"Web","2022-02-24","2021-12-09","Bronze","Kathryn Amini",,"Kathryn Amini",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKcIAN","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_b","2021-05-31","Individual",,,"0lyB00000004HbpIAE",,,1
"Kathryn Amini","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Kathryn Amini","2020-12-09",,"No","Active","Premium","0lMB00000004FvKMAU",,,,,,,"2.1-3 months",,,,"Web","2022-02-24","2021-12-09","Premium","Kathryn Amini",,"Kathryn Amini",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKcIAN","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_b","2021-05-31","Individual",,,"0lyB00000004HbqIAE",,,1
"Rosemary Aminov","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Rosemary Aminov","2020-12-05",,"No","Active","Bronze","0lMB00000004FvJMAU",,,,,,,"2.1-3 months",,,,"Email","2022-01-14","2021-12-05","Bronze","Rosemary Aminov",,"Rosemary Aminov",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKbIAN","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_c","2021-04-27","Individual",,,"0lyB00000004HbrIAE",,,1
"Rosemary Aminov","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Rosemary Aminov","2020-12-05",,"No","Active","Premium","0lMB00000004FvJMAU",,,,,,,"2.1-3 months",,,,"Email","2022-01-14","2021-12-05","Premium","Rosemary Aminov",,"Rosemary Aminov",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKbIAN","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_c","2021-04-27","Individual",,,"0lyB00000004HbsIAE",,,1
"Jolene Amiot","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Jolene Amiot","2020-12-10",,"No","Active","Bronze","0lMB00000004FvIMAU",,,,,,,"2.1-3 months",,,,"Social","2021-10-28","2021-12-10","Bronze","Jolene Amiot",,"Jolene Amiot",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKaIAN","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_d","2021-06-15","Individual",,,"0lyB00000004HbtIAE",,,1
"Jolene Amiot","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Jolene Amiot","2020-12-10",,"No","Active","Premium","0lMB00000004FvIMAU",,,,,,,"2.1-3 months",,,,"Social","2021-10-28","2021-12-10","Premium","Jolene Amiot",,"Jolene Amiot",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKaIAN","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_d","2021-06-15","Individual",,,"0lyB00000004HbuIAE",,,1
"Alondra Amir","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Alondra Amir","2020-07-05",,"No","Active","Bronze","0lMB00000004FvHMAU",,,,,,,"4.6-9 months",,,,"CallCenter",,"2021-07-05","Bronze","Alondra Amir",,"Alondra Amir",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKZIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_e","2020-12-10","Individual",,,"0lyB00000004HbvIAE",,,1
"Alondra Amir","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Alondra Amir","2020-07-05",,"No","Active","Premium","0lMB00000004FvHMAU",,,,,,,"4.6-9 months",,,,"CallCenter",,"2021-07-05","Premium","Alondra Amir",,"Alondra Amir",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKZIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_e","2020-12-10","Individual",,,"0lyB00000004HbwIAE",,,1
"Elisa Amirault","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Elisa Amirault","2020-03-11",,"No","Active","Bronze","0lMB00000004FvGMAU",,,,,,,"5.9-12 months",,,,"Email","2021-02-25","2021-03-11","Bronze","Elisa Amirault",,"Elisa Amirault",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKYIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_f","2020-08-19","Individual",,,"0lyB00000004HbxIAE",,,1
"Elisa Amirault","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Elisa Amirault","2020-03-11",,"No","Active","Premium","0lMB00000004FvGMAU",,,,,,,"5.9-12 months",,,,"Email","2021-02-25","2021-03-11","Premium","Elisa Amirault",,"Elisa Amirault",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKYIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_f","2020-08-19","Individual",,,"0lyB00000004HbyIAE",,,1
"Helena Amiri","0lpB00000004CexIAE","0lgB00000004CdxIAE","Regular","Helena Amiri","2020-04-04",,"No","Active","Silver","0lMB00000004FvFMAU",,,,,,,"5.9-12 months",,"happy customer",,"Web","2020-11-17","2021-04-04","Silver","Helena Amiri",,"Helena Amiri",,"2021-03-03","0ltB00000004CbZIAU","2021-10-22","003B000000HtVKXIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_g","2020-08-22","Individual",,,"0lyB00000004HbzIAE",,"2020-10-22",2
"Helena Amiri","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Helena Amiri","2020-04-04",,"No","Active","Premium","0lMB00000004FvFMAU",,,,,,,"5.9-12 months",,,,"Web","2020-11-17","2021-04-04","Premium","Helena Amiri",,"Helena Amiri",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKXIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_g","2020-08-22","Individual",,,"0lyB00000004Hc0IAE",,,1
"Charleigh Amirian","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Charleigh Amirian","2021-05-12",,"No","Active","Bronze","0lMB00000004FvEMAU",,,,,,,"9.NA",,,,"Email","2022-07-23","2022-05-12","Bronze","Charleigh Amirian",,"Charleigh Amirian",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKWIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_h","2021-10-20","Individual",,,"0lyB00000004Hc1IAE",,,1
"Charleigh Amirian","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Charleigh Amirian","2021-05-12",,"No","Active","Premium","0lMB00000004FvEMAU",,,,,,,"9.NA",,,,"Email","2022-07-23","2022-05-12","Premium","Charleigh Amirian",,"Charleigh Amirian",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKWIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_h","2021-10-20","Individual",,,"0lyB00000004Hc2IAE",,,1
"Cadence Amonette","0lpB00000004CexIAE","0lgB00000004CdyIAE","Regular","Cadence Amonette","2020-05-04",,"No","Active","Gold","0lMB00000004FvDMAU",,,,,,,"4.6-9 months",,"happy customer",,"Social","2021-08-06","2021-05-04","Gold","Cadence Amonette",,"Cadence Amonette",,"2021-03-03","0ltB00000004CbZIAU","2021-10-22","003B000000HtVKVIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_i","2020-10-17","Individual",,,"0lyB00000004Hc3IAE",,"2020-10-22",3
"Cadence Amonette","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Cadence Amonette","2020-05-04",,"No","Active","Premium","0lMB00000004FvDMAU",,,,,,,"4.6-9 months",,,,"Social","2021-08-06","2021-05-04","Premium","Cadence Amonette",,"Cadence Amonette",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKVIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_i","2020-10-17","Individual",,,"0lyB00000004Hc4IAE",,,1
"Matilda Amons","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Matilda Amons","2020-04-05",,"No","Active","Bronze","0lMB00000004FvCMAU",,,,,,,"5.9-12 months",,,,"CallCenter","2021-04-17","2021-04-05","Bronze","Matilda Amons",,"Matilda Amons",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKUIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_j","2020-10-21","Individual",,,"0lyB00000004Hc5IAE",,,1
"Matilda Amons","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Matilda Amons","2020-04-05",,"No","Active","Premium","0lMB00000004FvCMAU",,,,,,,"5.9-12 months",,,,"CallCenter","2021-04-17","2021-04-05","Premium","Matilda Amons",,"Matilda Amons",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKUIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_j","2020-10-21","Individual",,,"0lyB00000004Hc6IAE",,,1
"Sylvia Amor","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Sylvia Amor","2020-06-13",,"No","Active","Bronze","0lMB00000004FvBMAU",,,,,,,"4.6-9 months",,,,"Email","2020-12-16","2021-06-13","Bronze","Sylvia Amor",,"Sylvia Amor",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKTIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_ba","2020-10-30","Individual",,,"0lyB00000004Hc7IAE",,,1
"Sylvia Amor","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Sylvia Amor","2020-06-13",,"No","Active","Premium","0lMB00000004FvBMAU",,,,,,,"4.6-9 months",,,,"Email","2020-12-16","2021-06-13","Premium","Sylvia Amor",,"Sylvia Amor",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKTIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_ba","2020-10-30","Individual",,,"0lyB00000004Hc8IAE",,,1
"Myra Amore","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Myra Amore","2020-09-24",,"No","Active","Bronze","0lMB00000004FvAMAU",,,,,,,"3.3-6 months",,,,"Web","2021-06-02","2021-09-24","Bronze","Myra Amore",,"Myra Amore",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKSIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_bb","2021-02-28","Individual",,,"0lyB00000004Hc9IAE",,,1
"Myra Amore","0lpB00000004CexIAE","0lgB00000004CdtIAE","Lifetime","Myra Amore","2020-09-24",,"No","Active","Premium","0lMB00000004FvAMAU",,,,,,,"3.3-6 months",,,,"Web","2021-06-02","2021-09-24","Premium","Myra Amore",,"Myra Amore",,"2021-03-03","0ltB00000004CbaIAE",,"003B000000HtVKSIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_bb","2021-02-28","Individual",,,"0lyB00000004HcAIAU",,,1
"Fernanda Amorello","0lpB00000004CexIAE","0lgB00000004CdwIAE","Regular","Fernanda Amorello","2020-06-24",,"No","Active","Bronze","0lMB00000004Fv9MAE",,,,,,,"4.6-9 months",,,,"Email",,"2021-06-24","Bronze","Fernanda Amorello",,"Fernanda Amorello",,"2021-03-03","0ltB00000004CbZIAU",,"003B000000HtVKRIA3","Number of Transactions","Nights Stayed","Xperience","IndivAiK_UIDbabedjci_b_bc","2020-11-07","Individual",,,"0lyB00000004HcBIAU",,,1
