ACCOUNTID,ACCOUNTINVESTMENTOBJECTIVES,ACCOUNTLASTINTERACTION,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACCOUNTSERVICEMODEL,CREATEDDATE,ID,PRIORITY,LastProcessedDate
0011U00000KuFXPQA3,Income,2018-11-09,Retired,Erich Grimes,Tier 1,2018-12-04,Case-1-0011U00000KuFXPQA3,High,2020-05-25
0011U00000KuFXPQA3,Income,2018-11-09,Retired,Erich Grimes,Tier 1,2018-12-04,Case-2-0011U00000KuFXPQA3,Medium,2020-05-25
0011U00000KuFXQQA3,Income,2018-11-23,Mass Market,Ebony Ramsey,Tier 3,2018-12-06,Case-0-0011U00000KuFXQQA3,High,2020-05-25
0011U00000KuFXSQA3,Growth,2018-11-16,Affluent Professionals,Zeph Mcmahon,Tier 3,2018-12-08,Case-2-0011U00000KuFXSQA3,High,2020-05-25
0011U00000KuFXSQA3,Growth,2018-11-16,Affluent Professionals,Zeph Mcmahon,Tier 3,2018-12-07,Case-3-0011U00000KuFXSQA3,High,2020-05-25
0011U00000KuFXYQA3,Growth,2018-11-24,Mass Market,Elizabeth Avila,Tier 3,2018-12-09,Case-1-0011U00000KuFXYQA3,Medium,2020-05-25
0011U00000KuFXcQAN,Income,2018-11-25,Mass Market,Travis Jacobson,Tier 3,2018-12-08,Case-1-0011U00000KuFXcQAN,Medium,2020-05-25
0011U00000KuFXcQAN,Income,2018-11-25,Mass Market,Travis Jacobson,Tier 3,2018-12-09,Case-2-0011U00000KuFXcQAN,Low,2020-05-25
0011U00000KuFXgQAN,Balanced Growth,2018-11-09,Millennials,Palmer Macdonald,Tier 1,2018-12-07,Case-0-0011U00000KuFXgQAN,Low,2020-05-25
0011U00000KuFXiQAN,Growth,2018-11-18,Millennials,Ocean Mccullough,Tier 3,2018-12-09,Case-0-0011U00000KuFXiQAN,Medium,2020-05-25
0011U00000KuFXiQAN,Growth,2018-11-18,Millennials,Ocean Mccullough,Tier 3,2018-12-08,Case-1-0011U00000KuFXiQAN,Medium,2020-05-25
0011U00000KuFXkQAN,Aggressive Growth,2018-11-03,Affluent Professionals,Idola Le,Tier 2,2018-12-07,Case-0-0011U00000KuFXkQAN,Medium,2020-05-25
0011U00000KuFXlQAN,Growth,2018-11-17,Mass Market,Wade Greer,Tier 3,2018-12-09,Case-1-0011U00000KuFXlQAN,Low,2020-05-25
0011U00000KuFXlQAN,Growth,2018-11-17,Mass Market,Wade Greer,Tier 3,2018-12-04,Case-2-0011U00000KuFXlQAN,High,2020-05-25
0011U00000KuFXmQAN,Balanced Growth,2018-11-09,Mass Market,Ferris King,Tier 3,2018-12-09,Case-0-0011U00000KuFXmQAN,Low,2020-05-25
0011U00000KuFXqQAN,Income,2018-11-05,Mass Market,Ryder Velez,Tier 2,2018-12-06,Case-1-0011U00000KuFXqQAN,High,2020-05-25
0011U00000KuFXqQAN,Income,2018-11-05,Mass Market,Ryder Velez,Tier 2,2018-12-04,Case-2-0011U00000KuFXqQAN,Medium,2020-05-25
0011U00000KuFXtQAN,Balanced Growth,2018-11-10,Millennials,Blaze Pennington,Tier 1,2018-12-09,Case-2-0011U00000KuFXtQAN,Medium,2020-05-25
0011U00000KuFXwQAN,Balanced Growth,2018-11-23,Retired,Genevieve Bauer,Tier 3,2018-12-09,Case-1-0011U00000KuFXwQAN,High,2020-05-25
0011U00000KuFXxQAN,Income,2018-11-17,Millennials,Lael Rutledge,Tier 1,2018-12-05,Case-1-0011U00000KuFXxQAN,Medium,2020-05-25
0011U00000KuFXyQAN,Growth,2018-11-22,Millennials,Tatum Holt,Tier 3,2018-12-08,Case-0-0011U00000KuFXyQAN,Low,2020-05-25
0011U00000KuFXzQAN,Growth,2018-11-25,Millennials,Seth Frost,Tier 1,2018-12-04,Case-0-0011U00000KuFXzQAN,High,2020-05-25
0011U00000KuFY0QAN,Income,2018-11-25,Affluent Professionals,Orla Weeks,Tier 3,2018-12-04,Case-0-0011U00000KuFY0QAN,Medium,2020-05-25
0011U00000KuFY0QAN,Income,2018-11-25,Affluent Professionals,Orla Weeks,Tier 3,2018-12-05,Case-1-0011U00000KuFY0QAN,Low,2020-05-25
0011U00000KuFY5QAN,Aggressive Growth,2018-11-26,Millennials,Declan Leblanc,Tier 3,2018-12-08,Case-0-0011U00000KuFY5QAN,Medium,2020-05-25
0011U00000KuFY6QAN,Growth,2018-11-20,Millennials,Angelica Herman,Tier 2,2018-12-06,Case-0-0011U00000KuFY6QAN,Medium,2020-05-25
0011U00000KuFY7QAN,Income,2018-11-20,Mass Market,Brielle Lynn,Tier 2,2018-12-09,Case-2-0011U00000KuFY7QAN,High,2020-05-25
0011U00000KuFY9QAN,Income,2018-11-20,High Net Worth Families,Ruby Vargas,Tier 1,2018-12-05,Case-0-0011U00000KuFY9QAN,Low,2020-05-25
0011U00000KuFYAQA3,Income,2018-11-17,Mass Market,Asher House,Tier 1,2018-12-06,Case-0-0011U00000KuFYAQA3,High,2020-05-25
0011U00000KuFYCQA3,Aggressive Growth,2018-11-15,Millennials,Evangeline Christian,Tier 2,2018-12-08,Case-1-0011U00000KuFYCQA3,Medium,2020-05-25
0011U00000KuFYEQA3,Income,2018-11-06,Retired,Reuben Roman,Tier 1,2018-12-04,Case-1-0011U00000KuFYEQA3,Medium,2020-05-25
0011U00000KuFYEQA3,Income,2018-11-06,Retired,Reuben Roman,Tier 1,2018-12-05,Case-2-0011U00000KuFYEQA3,Medium,2020-05-25
0011U00000KuFYFQA3,Aggressive Growth,2018-11-26,Affluent Professionals,Chloe Knox,Tier 1,2018-12-04,Case-0-0011U00000KuFYFQA3,Medium,2020-05-25
0011U00000KuFYFQA3,Aggressive Growth,2018-11-26,Affluent Professionals,Chloe Knox,Tier 1,2018-12-09,Case-1-0011U00000KuFYFQA3,Medium,2020-05-25
0011U00000KuFYGQA3,Income,2018-11-15,Millennials,Caleb Mccray,Tier 2,2018-12-04,Case-0-0011U00000KuFYGQA3,Medium,2020-05-25
0011U00000KuFYGQA3,Income,2018-11-15,Millennials,Caleb Mccray,Tier 2,2018-12-04,Case-1-0011U00000KuFYGQA3,High,2020-05-25
0011U00000KuFYHQA3,Aggressive Growth,2018-11-21,Millennials,Shelly Fowler,Tier 1,2018-12-05,Case-0-0011U00000KuFYHQA3,Medium,2020-05-25
0011U00000KuFYHQA3,Aggressive Growth,2018-11-21,Millennials,Shelly Fowler,Tier 1,2018-12-04,Case-1-0011U00000KuFYHQA3,High,2020-05-25
0011U00000KuFYMQA3,Aggressive Growth,2018-11-21,Affluent Professionals,Ainsley Cotton,Tier 1,2018-12-08,Case-0-0011U00000KuFYMQA3,High,2020-05-25
0011U00000KuFYOQA3,Income,2018-11-14,Millennials,Slade Lindsay,Tier 2,2018-12-04,Case-0-0011U00000KuFYOQA3,Medium,2020-05-25
0011U00000KuFYPQA3,Growth,2018-11-19,Mass Market,Roth Guy,Tier 2,2018-12-05,Case-0-0011U00000KuFYPQA3,Low,2020-05-25
0011U00000KuFYPQA3,Growth,2018-11-19,Mass Market,Roth Guy,Tier 2,2018-12-08,Case-1-0011U00000KuFYPQA3,Medium,2020-05-25
0011U00000KuFYTQA3,Balanced Growth,2018-11-23,Millennials,Stephen Pittman,Tier 2,2018-12-06,Case-0-0011U00000KuFYTQA3,Low,2020-05-25
0011U00000KuFYTQA3,Balanced Growth,2018-11-23,Millennials,Stephen Pittman,Tier 2,2018-12-05,Case-1-0011U00000KuFYTQA3,High,2020-05-25
0011U00000KuFYUQA3,Balanced Growth,2018-11-22,High Net Worth Families,Inga Moss,Tier 1,2018-12-06,Case-0-0011U00000KuFYUQA3,Medium,2020-05-25
0011U00000KuFYUQA3,Balanced Growth,2018-11-22,High Net Worth Families,Inga Moss,Tier 1,2018-12-07,Case-1-0011U00000KuFYUQA3,High,2020-05-25
0011U00000KuFYXQA3,Balanced Growth,2018-11-25,Millennials,Tarik Mercer,Tier 3,2018-12-07,Case-1-0011U00000KuFYXQA3,Low,2020-05-25
0011U00000KuFYaQAN,Income,2018-11-23,Mass Market,Drake Branch,Tier 2,2018-12-09,Case-1-0011U00000KuFYaQAN,High,2020-05-25
0011U00000KuFYbQAN,Aggressive Growth,2018-10-28,Millennials,Penelope Briggs,Tier 3,2018-12-04,Case-0-0011U00000KuFYbQAN,Medium,2020-05-25
0011U00000KuFYgQAN,Balanced Growth,2018-11-24,Millennials,Edan Downs,Tier 1,2018-12-08,Case-2-0011U00000KuFYgQAN,Low,2020-05-25
0011U00000KuFYiQAN,Aggressive Growth,2018-11-13,Retired,Selma Dodson,Tier 2,2018-12-04,Case-0-0011U00000KuFYiQAN,Medium,2020-05-25
0011U00000KuFYiQAN,Aggressive Growth,2018-11-13,Retired,Selma Dodson,Tier 2,2018-12-05,Case-1-0011U00000KuFYiQAN,High,2020-05-25
0011U00000KuFYkQAN,Balanced Growth,2018-11-29,Affluent Professionals,Harlan Noel,Tier 1,2018-12-05,Case-0-0011U00000KuFYkQAN,High,2020-05-25
0011U00000KuFYkQAN,Balanced Growth,2018-11-29,Affluent Professionals,Harlan Noel,Tier 1,2018-12-05,Case-1-0011U00000KuFYkQAN,High,2020-05-25
0011U00000KuFYlQAN,Income,2018-11-30,High Net Worth Families,Maryam Ramsey,Tier 3,2018-12-08,Case-0-0011U00000KuFYlQAN,Low,2020-05-25
0011U00000KuFXJQA3,Growth,2018-11-23,Mass Market,Zane Cervantes,Tier 1,2018-12-07,Case-0-0011U00000KuFXJQA3,Medium,2020-05-25
0011U00000KuFXJQA3,Growth,2018-11-23,Mass Market,Zane Cervantes,Tier 1,2018-12-09,Case-1-0011U00000KuFXJQA3,Medium,2020-05-25
0011U00000KuFXVQA3,Aggressive Growth,2018-11-16,Mass Market,Abel Sanchez,Tier 2,2018-12-09,Case-0-0011U00000KuFXVQA3,Medium,2020-05-25
0011U00000KuFXdQAN,Income,2018-11-26,Mass Market,Penelope Solis,Tier 1,2018-12-04,Case-2-0011U00000KuFXdQAN,Medium,2020-05-25
0011U00000KuFXdQAN,Income,2018-11-26,Mass Market,Penelope Solis,Tier 1,2018-12-06,Case-3-0011U00000KuFXdQAN,Low,2020-05-25
0011U00000KuFXhQAN,Balanced Growth,2018-11-24,Retired,Brett Beard,Tier 1,2018-12-06,Case-2-0011U00000KuFXhQAN,Low,2020-05-25
0011U00000KuFXhQAN,Balanced Growth,2018-11-24,Retired,Brett Beard,Tier 1,2018-12-09,Case-3-0011U00000KuFXhQAN,High,2020-05-25
0011U00000KuFXnQAN,Income,2018-11-18,Mass Market,TaShya Perez,Tier 3,2018-12-09,Case-1-0011U00000KuFXnQAN,Medium,2020-05-25
0011U00000KuFXnQAN,Income,2018-11-18,Mass Market,TaShya Perez,Tier 3,2018-12-09,Case-2-0011U00000KuFXnQAN,Medium,2020-05-25
0011U00000KuFXpQAN,Income,2018-11-21,High Net Worth Families,Cooper Flowers,Tier 3,2018-12-07,Case-2-0011U00000KuFXpQAN,High,2020-05-25
0011U00000KuFXrQAN,Aggressive Growth,2018-11-26,Mass Market,Priscilla Jimenez,Tier 2,2018-12-08,Case-2-0011U00000KuFXrQAN,Low,2020-05-25
0011U00000KuFXrQAN,Aggressive Growth,2018-11-26,Mass Market,Priscilla Jimenez,Tier 2,2018-12-05,Case-3-0011U00000KuFXrQAN,Low,2020-05-25
0011U00000KuFXvQAN,Income,2018-11-24,High Net Worth Families,Odysseus Grimes,Tier 3,2018-12-08,Case-1-0011U00000KuFXvQAN,Medium,2020-05-25
0011U00000KuFY3QAN,Aggressive Growth,2018-11-22,High Net Worth Families,Amos May,Tier 2,2018-12-07,Case-0-0011U00000KuFY3QAN,High,2020-05-25
0011U00000KuFY4QAN,Aggressive Growth,2018-11-21,High Net Worth Families,Marny Ford,Tier 1,2018-12-07,Case-1-0011U00000KuFY4QAN,Medium,2020-05-25
0011U00000KuFYDQA3,Growth,2018-11-18,Affluent Professionals,Ulysses Hale,Tier 2,2018-12-08,Case-1-0011U00000KuFYDQA3,Medium,2020-05-25
0011U00000KuFYRQA3,Aggressive Growth,2018-11-11,Retired,Rafael Klein,Tier 3,2018-12-07,Case-1-0011U00000KuFYRQA3,Medium,2020-05-25
0011U00000KuFYfQAN,Aggressive Growth,2018-11-22,Mass Market,Raja Oneal,Tier 3,2018-12-04,Case-0-0011U00000KuFYfQAN,Low,2020-05-25
0011U00000Kcp1OQAR,Aggressive Growth,2018-11-24,Affluent Professionals,"Smith, Kohl and Company",Tier 3,2018-12-15,Case-1-0011U00000Kcp1OQAR,Medium,2020-05-25
0011U00000Kcp1PQAR,Income,2018-11-12,Mass Market,Symonds Household,Tier 3,2018-12-12,Case-2-0011U00000Kcp1PQAR,Medium,2020-05-25
0011U00000KuWpYQAV,Growth,2018-11-26,Affluent Professionals,Fredericka Mccullough,Tier 3,2018-12-11,Case-2-0011U00000KuWpYQAV,Low,2020-05-25
0011U00000KuWpYQAV,Growth,2018-11-26,Affluent Professionals,Fredericka Mccullough,Tier 3,2018-12-13,Case-3-0011U00000KuWpYQAV,High,2020-05-25
0011U00000KuFXIQA3,Income,2018-11-25,Mass Market,Wallace Summers,Tier 3,2018-12-14,Case-2-0011U00000KuFXIQA3,High,2020-05-25
0011U00000KuFXIQA3,Income,2018-11-25,Mass Market,Wallace Summers,Tier 3,2018-12-12,Case-3-0011U00000KuFXIQA3,Medium,2020-05-25
0011U00000KuFXJQA3,Growth,2018-12-04,Mass Market,Zane Cervantes,Tier 1,2018-12-15,Case-2-0011U00000KuFXJQA3,High,2020-05-25
0011U00000KuFXJQA3,Growth,2018-12-04,Mass Market,Zane Cervantes,Tier 1,2018-12-11,Case-3-0011U00000KuFXJQA3,High,2020-05-25
0011U00000KuFXKQA3,Balanced Growth,2018-12-17,Affluent Professionals,Carissa Mckee,Tier 2,2018-12-14,Case-2-0011U00000KuFXKQA3,Medium,2020-05-25
0011U00000KuFXKQA3,Balanced Growth,2018-12-17,Affluent Professionals,Carissa Mckee,Tier 2,2018-12-12,Case-3-0011U00000KuFXKQA3,High,2020-05-25
0011U00000KuFXLQA3,Aggressive Growth,2018-11-22,Mass Market,Akeem Head,Tier 3,2018-12-12,Case-0-0011U00000KuFXLQA3,High,2020-05-25
