"EconomicActivity","Dependants","LOYALTY","Housing","POLICY_ID","NAME","Industry","LeadSource","Education","Relationship","LOCATION_ID","AGE","SocialGrade"
"Unemployed","One","Silver","Apartment","PN04-020747","Sung S CHUNG","Education","Online","Degree","Married","LOC_ID_020","","C1"
"Other","Three","Silver","Detached","PN01-106198","Deshawn s DELACRUZ","Construction","Retail","Aprenticeship","Single","LOC_ID_022","","C1"
"Retired","One","Silver","Detached","PN-015768","Gina DELACRUZ","Education","Online","Degree","Single","LOC_ID_023","","AB"
"Self Employed","One","Platinum","Detached","PN-049373","Gretta DELACRUZ","Retail","Event","Other","Married","LOC_ID_023","","C2"
"Other","One","Gold","Apartment","PN01-056122","Jamaal DELACRUZ","Education","Refferal","Higher Education","Separated","LOC_ID_023","","C2"
"Full-Time","Three","Platinum","Detached","PN-021407","Reggie R DELACRUZ","Construction","Online","High School","Same Sex","LOC_ID_1","","C2"
"Self Employed","One","Silver","Semi-Detached	","PN-057363","Alisia GONZALES","Public Administration and Defence","Online","Degree","Divorced","LOC_ID_1","","AB"
"Other","One","Bronze","Apartment","PN-057383","Altha A GONZALES","Health","Online","Degree","Single","LOC_ID_1","","C1"
"Full-Time","Two","Bronze","Apartment","PN01-006098","Jack GONZALES","Transportation","Online","Higher Education","Married","LOC_ID_1","","DE"
"Part-Time","Three","Gold","Semi-Detached	","PN01-009091","Jc  GONZALES","Construction","Online","Degree","Single","LOC_ID_1","","C1"
"Full-Time","One","Bronze","Apartment","PN01-012104","John GONZALES","Accommodation and Food","Online","Other","Single","LOC_ID_1","","C2"
"Full-Time Student","Three","Gold","Detached","PN01-032167","Madalene M GONZALES","Water Supply","Refferal","High School","Single","LOC_ID_1","","C2"
"Part-Time","Four","Silver","Semi-Detached	","PN01-037864","Marianela e GONZALES","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1","","AB"
"Full-Time Student","Four","Gold","Apartment","PN01-058757","Pierre P GONZALES","Education","Online","Higher Education","Divorced","LOC_ID_1","","C1"
"Retired","Two","Platinum","Detached","PN01-119823","Yadira d GONZALES","Professional, Scientific and Technical","Online","Degree","Divorced","LOC_ID_1","","AB"
"Full-Time","Two","Gold","Terraces","PN01-125734","Abe HO","Manufacturing","Online","Aprenticeship","Single","LOC_ID_1","","DE"
"Full-Time","One","Platinum","Detached","PN02-006849","Billye B HO","Retail","Refferal","High School","Single","LOC_ID_1","","C2"
"Retired","Three","Gold","Apartment","PN02-007816","Bonnie HO","Professional, Scientific and Technical","Online","Other","Married","LOC_ID_1","","AB"
"Other","One","Silver","Apartment","PN02-012218","Chandra HO","Manufacturing","Refferal","Aprenticeship","Separated","LOC_ID_1","","C2"
"Other","One","Silver","Detached","PN02-029009","Gary HO","Retail","Event","High School","Divorced","LOC_ID_1","","DE"
"Full-Time","One","Bronze","Terraces","PN02-056405","Janette HO","Public Administration and Defence","Refferal","Aprenticeship","Single","LOC_ID_1","","C1"
"Full-Time","One","Gold","Apartment","PN02-056761","Jc HO","Health","Online","Higher Education","Single","LOC_ID_1","","C1"
"Full-Time","One","Platinum","Terraces","PN02-118028","Mindy HO","Manufacturing","Event","Aprenticeship","Separated","LOC_ID_1","","AB"
"Full-Time","One","Silver","Detached","PN03-003480","Patti HO","Construction","Event","Aprenticeship","Single","LOC_ID_1","","C2"
"Unemployed","One","Platinum","Terraces","PN03-037236","Wilfredo HO","Public Administration and Defence","Refferal","Higher Education","Single","LOC_ID_1","","AB"
"Full-Time","Two","Silver","Terraces","PN03-096952","Elayne HUANG","Public Administration and Defence","Online","Degree","Separated","LOC_ID_1","","AB"
"Full-Time Student","One","Silver","Apartment","PN03-124883","Galina G HUANG","Manufacturing","Online","Aprenticeship","Divorced","LOC_ID_1","","DE"
"Full-Time","One","Bronze","Terraces","PN04-004311","Jamey HUANG","Retail","Online","High School","Single","LOC_ID_1","","DE"
"Part-Time","One","Silver","Terraces","PN04-010124","Kandy HUANG","Health","Online","Other","Single","LOC_ID_1","","AB"
"Self Employed","One","Bronze","Semi-Detached	","PN01-074009","Gary HUYNH","Health","Online","Degree","Married","LOC_ID_10","","C2"
"Full-Time","One","Silver","Terraces","PN01-120968","Julian J HUYNH","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_10","","AB"
"Self Employed","One","Gold","Terraces","PN02-113862","Tommie HUYNH","Retail","Refferal","Degree","Married","LOC_ID_10","","C2"
"Full-Time","One","Platinum","Detached","PN03-073731","Earleen KAUR","Accommodation and Food","Online","Higher Education","Single","LOC_ID_10","","DE"
"Full-Time","Two","Platinum","Terraces","PN03-085638","Fairy KAUR","Health","Refferal","Degree","Married","LOC_ID_10","","C2"
"Other","Four","Platinum","Detached","PN-007624","Lashaun L KAUR","Retail","Online","High School","Divorced","LOC_ID_100","","C2"
"Self Employed","One","Silver","Apartment","PN03-121653","Viki KAUR","Accommodation and Food","Online","High School","Divorced","LOC_ID_100","","DE"
"Full-Time","Two","Gold","Apartment","PN03-126429","Walter KAUR","Health","Refferal","Degree","Widowed","LOC_ID_100","","C1"
"Unemployed","Two","Bronze","Apartment","PN04-002473","Yasuko Y KAUR","Education","Retail","Higher Education","Married","LOC_ID_100","","C1"
"Retired","One","Platinum","Terraces","PN-084200","Bettie KIM","Health","Retail","Aprenticeship","Married","LOC_ID_1000","","C2"
"Full-Time","One","Silver","Detached","PN-118472","Carlyn KIM","Accommodation and Food","Online","High School","Single","LOC_ID_1000","","C2"
"Full-Time","One","Platinum","Detached","PN01-039961","Darla D KIM","Manufacturing","Retail","High School","Married","LOC_ID_1000","","C1"
"Full-Time","Three","Platinum","Detached","PN02-103375","Julianne KIM","Public Administration and Defence","Event","Other","Single","LOC_ID_1000","","C1"
"Full-Time","Four","Bronze","Apartment","PN03-009006","Laure KIM","Education","Refferal","Aprenticeship","Married","LOC_ID_1000","","C1"
"Full-Time","One","Gold","Apartment","PN04-002797","Minna M KIM","Retail","Online","High School","Separated","LOC_ID_1000","","C2"
"Full-Time","One","Platinum","Terraces","PN02-121127","Wilhelmina W KIM","Transportation","Online","Aprenticeship","Single","LOC_ID_1001","","C2"
"Full-Time","One","Platinum","Detached","PN-084771","Devon LAM","Retail","Online","Other","Divorced","LOC_ID_1002","","DE"
"Other","Two","Silver","Semi-Detached	","PN-087766","Devorah LAM","Public Administration and Defence","Online","Aprenticeship","Single","LOC_ID_1002","","C2"
"Full-Time","One","Platinum","Terraces","PN01-018955","Elyse LAM","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1002","","AB"
"Full-Time","One","Silver","Semi-Detached	","PN01-034878","Ezequiel E LAM","Accommodation and Food","Refferal","Higher Education","Married","LOC_ID_1002","","C2"
"Full-Time","One","Platinum","Apartment","PN-003075","Quinn LAM","Retail","Online","Other","Single","LOC_ID_1003","","DE"
"Self Employed","One","Bronze","Apartment","PN-034741","Shannan LAM","Retail","Online","High School","Single","LOC_ID_1003","","DE"
"Part-Time","One","Gold","Detached","PN-042043","Sherron LAM","Construction","Online","Degree","Separated","LOC_ID_1003","","C1"
"Self Employed","One","Bronze","Detached","PN-095897","Alisia LE","Education","Online","Degree","Divorced","LOC_ID_1003","","C1"
"Full-Time","One","Gold","Terraces","PN-102871","Arlie LE","Energy Supply","Online","Degree","Single","LOC_ID_1003","","C2"
"Other","Zero","Platinum","Apartment","PN-109858","Carolyne C LE","Accommodation and Food","Event","Higher Education","Single","LOC_ID_1003","","C2"
"Retired","Two","Bronze","Apartment","PN01-069445","Ike LE","Health","Refferal","Degree","Married","LOC_ID_1003","","C1"
"Full-Time","One","Platinum","Semi-Detached	","PN01-106627","Lynn LE","Health","Online","Degree","Married","LOC_ID_1003","","C2"
"Full-Time","Two","Platinum","Apartment","PN02-080318","Sherron LE","Transportation","Event","Aprenticeship","Widowed","LOC_ID_1003","","DE"
"Full-Time","One","Platinum","Detached","PN03-054358","Clorinda o LIM","Public Administration and Defence","Online","High School","Single","LOC_ID_1003","","C1"
"Other","One","Platinum","Apartment","PN03-054819","Collette LIM","Health","Refferal","High School","Separated","LOC_ID_1003","","C1"
"Full-Time","One","Platinum","Apartment","PN03-095897","Felix F LIM","Transportation","Retail","Other","Single","LOC_ID_1003","","DE"
"Full-Time","Two","Silver","Apartment","PN03-102871","Gertrudis LIM","Professional, Scientific and Technical","Retail","Degree","Divorced","LOC_ID_1003","","AB"
"Full-Time","One","Silver","Detached","PN03-111125","Jamey LIM","Professional, Scientific and Technical","Online","Aprenticeship","Single","LOC_ID_1003","","AB"
"Retired","One","Silver","Apartment","PN04-023644","Lavern LIM","Transportation","Online","Aprenticeship","Single","LOC_ID_1003","","C2"
"Full-Time","One","Gold","Terraces","PN-102718","Marybelle LIM","Public Administration and Defence","Online","Other","Married","LOC_ID_1004","","DE"
"Other","One","Platinum","Detached","PN01-019838","Micheal LIM","Health","Online","High School","Separated","LOC_ID_1004","","C1"
"Part-Time","One","Gold","Detached","PN01-102718","Penney LIM","Professional, Scientific and Technical","Retail","Degree","Separated","LOC_ID_1004","","AB"
"Full-Time","One","Platinum","Detached","PN03-085458","Verdell LIM","Education","Online","Higher Education","Single","LOC_ID_1004","","C1"
"Retired","One","Silver","Apartment","PN-044224","Cindy LIN","Retail","Retail","High School","Married","LOC_ID_1005","","C2"
"Self Employed","One","Silver","Terraces","PN-049030","Concha n LIN","Transportation","Online","High School","Single","LOC_ID_1005","","C2"
"Full-Time","One","Gold","Terraces","PN-115261","Jacqulyn LIN","Mining/Quarrying	","Online","High School","Married","LOC_ID_1005","","C1"
"Full-Time","One","Gold","Semi-Detached	","PN01-012173","Latarsha LIN","Education","Refferal","Aprenticeship","Single","LOC_ID_1005","","C1"
"Other","One","Platinum","Detached","PN01-064451","Merri r LIN","Accommodation and Food","Refferal","Higher Education","Single","LOC_ID_1005","","DE"
"Full-Time","One","Gold","Terraces","PN01-066592","Mitsue LIN","Education","Online","Degree","Single","LOC_ID_1005","","C2"
"Full-Time","One","Bronze","Apartment","PN01-109496","Roselia R LIN","Accommodation and Food","Retail","High School","Single","LOC_ID_1005","","DE"
"Full-Time","One","Platinum","Terraces","PN01-128559","Violeta LIN","Retail","Online","Other","Married","LOC_ID_1005","","C2"
"Self Employed","One","Silver","Apartment","PN02-065523","Chauncey C LIU","Public Administration and Defence","Event","High School","Single","LOC_ID_1005","","AB"
"Full-Time","One","Silver","Detached","PN02-066855","Classie LIU","Retail","Online","High School","Single","LOC_ID_1005","","C2"
"Retired","Three","Silver","Apartment","PN03-025874","Jeanette LIU","Accommodation and Food","Online","High School","Divorced","LOC_ID_1005","","DE"
"Retired","Two","Gold","Apartment","PN04-024960","Taylor LIU","Public Administration and Defence","Refferal","Higher Education","Single","LOC_ID_1005","","AB"
"Full-Time Student","Two","Bronze","Semi-Detached	","PN-017028","Whitney LIU","Education","Refferal","Other","Single","LOC_ID_1006","","C2"
"Unemployed","Two","Gold","Apartment","PN-106152","Ferdinand F LU","Construction","Event","Higher Education","Married","LOC_ID_1006","","C2"
"Other","One","Silver","Detached","PN01-062493","Kyra LU","Accommodation and Food","Event","High School","Separated","LOC_ID_1006","","C2"
"Full-Time","Zero","Bronze","Terraces","PN01-073736","Leopoldo LU","Retail","Refferal","High School","Married","LOC_ID_1006","","DE"
"Retired","Three","Silver","Terraces","PN01-075242","Ligia L LU","Construction","Refferal","Degree","Single","LOC_ID_1006","","C1"
"Full-Time","Two","Bronze","Detached","PN01-098888","Nadene LU","Retail","Retail","Other","Single","LOC_ID_1006","","DE"
"Self Employed","One","Gold","Apartment","PN01-100567","Noreen LU","Accommodation and Food","Event","High School","Separated","LOC_ID_1006","","DE"
"Retired","Two","Platinum","Detached","PN01-101012","Olinda LU","Public Administration and Defence","Online","Aprenticeship","Divorced","LOC_ID_1006","","C1"
"Full-Time","Two","Platinum","Detached","PN01-104004","Rocco LU","Public Administration and Defence","Online","Degree","Separated","LOC_ID_1006","","AB"
"Part-Time","Two","Bronze","Apartment","PN02-097992","Cathryn C MOON","Retail","Refferal","Higher Education","Married","LOC_ID_1006","","DE"
"Full-Time","One","Silver","Semi-Detached	","PN02-107135","Devorah D MOON","Transportation","Online","Other","Married","LOC_ID_1006","","DE"
"Other","One","Gold","Apartment","PN02-112927","Elinore i MOON","Education","Online","Higher Education","Single","LOC_ID_1006","","C2"
"Full-Time","Three","Silver","Detached","PN03-103575","Margaretta M MOON","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1006","","AB"
"Full-Time Student","Two","Platinum","Semi-Detached	","PN03-105123","Meg MOON","Manufacturing","Refferal","Degree","Single","LOC_ID_1006","","DE"
"Full-Time","Two","Platinum","Apartment","PN-039701","Derick NGUYEN","Public Administration and Defence","Online","High School","Single","LOC_ID_1007","","C1"
"Other","Two","Platinum","Apartment","PN-055132","Joannie NGUYEN","Education","Online","Degree","Single","LOC_ID_1007","","C1"
"Unemployed","One","Bronze","Terraces","PN-058613","Kareen K NGUYEN","Construction","Refferal","High School","Single","LOC_ID_1007","","C1"
"Other","One","Platinum","Detached","PN-061369","Krystina y NGUYEN","Transportation","Online","Aprenticeship","Single","LOC_ID_1007","","DE"
"Part-Time","One","Platinum","Apartment","PN-071093","Marci NGUYEN","Manufacturing","Online","Aprenticeship","Single","LOC_ID_1007","","AB"
"Full-Time Student","Two","Gold","Apartment","PN-072837","Marion NGUYEN","Education","Online","Aprenticeship","Widowed","LOC_ID_1007","","C1"
"Self Employed","Two","Platinum","Semi-Detached	","PN-073594","Martin M NGUYEN","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1007","","AB"
"Full-Time","One","Silver","Apartment","PN-083389","Shala NGUYEN","Education","Online","Degree","Married","LOC_ID_1007","","C2"
"Self Employed","One","Bronze","Apartment","PN-087521","Tierra NGUYEN","Accommodation and Food","Online","High School","Married","LOC_ID_1007","","C2"
"Part-Time","One","Platinum","Apartment","PN-122750","Janett PARK","Retail","Refferal","High School","Married","LOC_ID_1007","","C2"
"Full-Time","One","Platinum","Detached","PN-122804","Jannie J PARK","Public Administration and Defence","Online","High School","Divorced","LOC_ID_1007","","C2"
"Full-Time","One","Silver","Apartment","PN01-082683","Jung J PATEL","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_1007","","AB"
"Unemployed","One","Gold","Terraces","PN01-090885","Matha PATEL","Education","Online","Degree","Single","LOC_ID_1007","","C2"
"Self Employed","One","Bronze","Terraces","PN01-091134","Megan PATEL","Retail","Online","High School","Single","LOC_ID_1007","","DE"
"Full-Time","One","Gold","Detached","PN01-097005","Oliver PATEL","Education","Online","Degree","Married","LOC_ID_1007","","C2"
"Other","Two","Platinum","Detached","PN01-097582","Oren O PATEL","Manufacturing","Event","Aprenticeship","Single","LOC_ID_1007","","DE"
"Full-Time","Three","Gold","Detached","PN01-099706","Robby PATEL","Education","Refferal","High School","Divorced","LOC_ID_1007","","C1"
"Full-Time","One","Gold","Apartment","PN01-102594","Stepanie S PATEL","Professional, Scientific and Technical","Online","Higher Education","Single","LOC_ID_1007","","AB"
"Full-Time","One","Bronze","Apartment","PN01-104254","Tori PATEL","Transportation","Online","Higher Education","Single","LOC_ID_1007","","C2"
"Full-Time","One","Bronze","Detached","PN02-003062","Ethelene h PHAM","Transportation","Event","Degree","Single","LOC_ID_1007","","DE"
"Full-Time","Four","Gold","Terraces","PN02-012493","Jamie J PHAM","Retail","Online","Higher Education","Single","LOC_ID_1007","","C2"
"Unemployed","Three","Gold","Semi-Detached	","PN02-020184","Latia L PHAM","Health","Retail","Higher Education","Single","LOC_ID_1007","","C2"
"Self Employed","One","Platinum","Apartment","PN02-022095","Lorraine PHAM","Retail","Online","Higher Education","Divorced","LOC_ID_1007","","C2"
"Full-Time Student","One","Platinum","Terraces","PN02-031822","Mikki M PHAM","Education","Online","Degree","Divorced","LOC_ID_1007","","C2"
"Full-Time","One","Silver","Apartment","PN02-043082","Shanice PHAM","Health","Online","Degree","Married","LOC_ID_1007","","C1"
"Part-Time","Two","Gold","Apartment","PN02-055801","Twanda T PHAM","Manufacturing","Online","Aprenticeship","Married","LOC_ID_1007","","C1"
"Self Employed","Two","Silver","Terraces","PN02-082958","Craig PHAN","Professional, Scientific and Technical","Retail","Degree","Married","LOC_ID_1007","","AB"
"Part-Time","One","Gold","Apartment","PN02-100115","Ike I PHAN","Professional, Scientific and Technical","Event","Degree","Married","LOC_ID_1007","","AB"
"Self Employed","One","Platinum","Terraces","PN02-107144","Lavona PHAN","Retail","Online","High School","Single","LOC_ID_1007","","C2"
"Part-Time","One","Gold","Detached","PN02-112308","Marion PHAN","Public Administration and Defence","Retail","Degree","Single","LOC_ID_1007","","AB"
"Full-Time","One","Gold","Apartment","PN03-013671","Yolanda l PHAN","Public Administration and Defence","Online","Degree","Married","LOC_ID_1007","","AB"
"Full-Time","One","Bronze","Semi-Detached	","PN03-018928","Ami A ROSARIO","Accommodation and Food","Refferal","High School","Married","LOC_ID_1007","","DE"
"Full-Time","One","Platinum","Detached","PN03-036198","Clair a ROSARIO","Public Administration and Defence","Refferal","Other","Single","LOC_ID_1007","","AB"
"Full-Time","One","Bronze","Apartment","PN03-070117","Lekisha k ROSARIO","Accommodation and Food","Online","High School","Married","LOC_ID_1007","","DE"
"Full-Time Student","One","Gold","Detached","PN03-083363","Pierre ROSARIO","Retail","Online","High School","Same Sex","LOC_ID_1007","","C2"
"Full-Time","Two","Gold","Apartment","PN03-084169","Rana ROSARIO","Transportation","Online","Aprenticeship","Widowed","LOC_ID_1007","","C2"
"Retired","Two","Silver","Terraces","PN03-085532","Rob ROSARIO","Public Administration and Defence","Online","High School","Divorced","LOC_ID_1007","","AB"
"Full-Time","Two","Gold","Apartment","PN03-089165","Siobhan S ROSARIO","Public Administration and Defence","Online","Other","Separated","LOC_ID_1007","","C1"
"Full-Time","One","Silver","Semi-Detached	","PN03-092798","Van ROSARIO","Public Administration and Defence","Event","Aprenticeship","Married","LOC_ID_1007","","AB"
"Unemployed","One","Silver","Terraces","PN03-096819","Zenaida ROSARIO","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1007","","AB"
"Unemployed","Two","Silver","Detached","PN03-099946","Annemarie SHAH","Health","Online","Degree","Married","LOC_ID_1007","","C1"
"Full-Time","Zero","Platinum","Apartment","PN03-101338","Arminda SHAH","Public Administration and Defence","Event","Higher Education","Single","LOC_ID_1007","","AB"
"Full-Time","One","Platinum","Apartment","PN03-124094","James SHAH","Education","Retail","Other","Single","LOC_ID_1007","","C2"
"Full-Time Student","One","Gold","Detached","PN03-124709","Janise J SHAH","Transportation","Online","Other","Single","LOC_ID_1007","","C2"
"Retired","One","Platinum","Terraces","PN03-124784","Janita SHAH","Retail","Event","High School","Married","LOC_ID_1007","","DE"
"Full-Time","One","Platinum","Detached","PN04-003680","Kory r SHAH","Retail","Online","Other","Single","LOC_ID_1007","","C1"
"Full-Time","One","Platinum","Terraces","PN04-009081","Love L SHAH","Accommodation and Food","Online","Higher Education","Separated","LOC_ID_1007","","DE"
"Unemployed","Three","Bronze","Semi-Detached	","PN04-016567","Merlin M SHAH","Accommodation and Food","Refferal","Higher Education","Married","LOC_ID_1007","","C2"
"Unemployed","Two","Platinum","Semi-Detached	","PN04-034317","Shizuko S SHAH","Health","Retail","Degree","Married","LOC_ID_1007","","C1"
"Full-Time","One","Platinum","Apartment","PN-036330","Tequila SHAH","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_1008","","AB"
"Full-Time","One","Bronze","Terraces","PN01-070343","Catharine SINGH","Public Administration and Defence","Online","Degree","Single","LOC_ID_1008","","DE"
"Other","One","Silver","Apartment","PN03-011127","Ema E SINGH","Health","Online","Degree","Separated","LOC_ID_1008","","C1"
"Retired","One","Gold","Terraces","PN03-086504","Hai H SINGH","Health","Refferal","Degree","Married","LOC_ID_1008","","AB"
"Full-Time","Three","Gold","Detached","PN04-010853","Isaias a SINGH","Health","Online","Higher Education","Single","LOC_ID_1008","","C2"
"Part-Time","Two","Silver","Apartment","PN-070612","Kym SINGH","Accommodation and Food","Online","High School","Separated","LOC_ID_1009","","C2"
"Part-Time","Two","Gold","Detached","PN01-034513","Melisa SINGH","Transportation","Refferal","Degree","Single","LOC_ID_1009","","C2"
"Full-Time","One","Bronze","Semi-Detached	","PN04-008862","Carie TRAN","Public Administration and Defence","Refferal","Higher Education","Married","LOC_ID_1009","","C1"
"Part-Time","Two","Gold","Detached","PN-078575","Ester E TRAN","Accommodation and Food","Online","High School","Married","LOC_ID_101","","C2"
"Unemployed","One","Platinum","Apartment","PN-092213","Hassie TRAN","Retail","Online","Other","Single","LOC_ID_101","","DE"
"Part-Time","One","Gold","Detached","PN-096112","Isabelle TRAN","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_101","","AB"
"Self Employed","Three","Gold","Apartment","PN-103469","Julian J TRAN","Public Administration and Defence","Event","Degree","Divorced","LOC_ID_101","","DE"
"Other","Two","Silver","Apartment","PN-103638","Julianne J TRAN","Professional, Scientific and Technical","Online","Other","Single","LOC_ID_101","","AB"
"Unemployed","One","Bronze","Apartment","PN-117162","Lovella TRAN","Professional, Scientific and Technical","Online","Degree","Separated","LOC_ID_101","","AB"
"Full-Time","One","Platinum","Detached","PN01-091132","Sharleen TRAN","Professional, Scientific and Technical","Event","Degree","Single","LOC_ID_101","","AB"
"Full-Time","One","Gold","Terraces","PN02-053866","Darby D TRUONG","Manufacturing","Retail","Aprenticeship","Single","LOC_ID_101","","AB"
"Full-Time","One","Platinum","Semi-Detached	","PN02-083324","Ernestina TRUONG","Retail","Online","Higher Education","Separated","LOC_ID_101","","DE"
"Full-Time","Two","Gold","Detached","PN02-107251","Judie J TRUONG","Public Administration and Defence","Online","High School","Divorced","LOC_ID_101","","DE"
"Full-Time","One","Silver","Detached","PN02-112756","Kindra TRUONG","Accommodation and Food","Refferal","Higher Education","Divorced","LOC_ID_101","","C2"
"Part-Time","One","Platinum","Detached","PN03-047159","Mariette TRUONG","Health","Refferal","Degree","Widowed","LOC_ID_101","","C1"
"Self Employed","One","Platinum","Apartment","PN03-084432","Nicole N TRUONG","Construction","Refferal","Degree","Single","LOC_ID_101","","C1"
"Self Employed","One","Gold","Apartment","PN03-124881","Willis TRUONG","Manufacturing","Refferal","Degree","Single","LOC_ID_101","","AB"
"Self Employed","Two","Silver","Apartment","PN-000999","Benjamin VO","Education","Retail","Degree","Single","LOC_ID_1010","","C2"
"Full-Time","One","Bronze","Apartment","PN-086109","Joannie a VO","Water Supply","Online","Higher Education","Single","LOC_ID_1010","","C1"
"Unemployed","One","Platinum","Semi-Detached	","PN01-086084","Stanley VO","Public Administration and Defence","Refferal","Other","Widowed","LOC_ID_1010","","C2"
"Unemployed","One","Platinum","Detached","PN01-095089","Tommie T VO","Health","Online","Higher Education","Divorced","LOC_ID_1010","","C2"
"Retired","One","Silver","Detached","PN02-015464","Carroll C WANG","Professional, Scientific and Technical","Event","Degree","Single","LOC_ID_1010","","AB"
"Full-Time","One","Platinum","Detached","PN02-024606","Cristine WANG","Transportation","Online","High School","Single","LOC_ID_1010","","C2"
"Full-Time","One","Silver","Apartment","PN02-044505","Felton WANG","Manufacturing","Event","Higher Education","Single","LOC_ID_1010","","C1"
"Other","Three","Bronze","Apartment","PN02-071615","Guadalupe WANG","Public Administration and Defence","Refferal","Higher Education","Widowed","LOC_ID_1010","","C1"
"Unemployed","One","Bronze","Apartment","PN03-016237","Mana M WANG","Health","Online","Degree","Separated","LOC_ID_1010","","C1"
"Full-Time Student","One","Bronze","Apartment","PN03-064734","Rachal WANG","Professional, Scientific and Technical","Event","Higher Education","Married","LOC_ID_1010","","AB"
"Self Employed","One","Bronze","Terraces","PN04-000188","Verna V WANG","Health","Event","Degree","Single","LOC_ID_1010","","C2"
