"LastModifiedDate","Company","ConvertedDate","Rating","ConvertedAccountShippingState","ID_Policy_BROKER_ID","ConvertedOpportunityName","Industry","ConvertedAccountName","Agent_AGENT_NAME","Agent_AGENT_GENDER","Agent_SALES_MANAGER","Agent_AGENCY_NAME","Agent_REGION","Status","ConvertedAccountBillingState","LastProcessedDate","Converted","ConvertedAccountType","OwnerID","ConvertedAccountOwnerId","FullName","Referrer","CreatedDate","Lead_Source","LeadID","ConvertedOpportunityID","UnreadByOwner","Agent_CAPTIVE_AGENT","ConvertedAccountOwnerName","ConvertedAccountIndustry","TotalOpportunityAge","ConvertedAccountAnnualRevenue","TouchesToConvert","ActivityTouchesToConvert","ActivityTouches","LeadAgeInDays"
"2019-09-12 21:00:27","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_262",,"N/A","Computer Network Solutions","Larry Bishop","Male","James Coleman","Undiro","Midwest","Pending",,"2019-10-07 14:44:49","false",,"0053s000002J4UDAA0",,"Adam Wyatt","NA","2019-09-12 21:00:27","Fields Sales","00Q3s000012xgSfEAI",,"true","Larry Bishop",,,0,0,10,10,10,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_887",,"N/A","Independent Wireless One","Elizabeth Laughlin","Female","Monica Campbell","Insurato","North East","Rejected",,"2019-10-07 14:44:49","false",,"0053s000002J4UCAA0",,"Adrian Vega","Carl Whitley","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgZQEAY",,"true","Elizabeth Laughlin",,,0,0,10,10,10,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_696",,"N/A","Altera Corp.","Kathleen Culp","Female","Justin Chen","Levin Insurance Agency","Midwest","Pending",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Aimee Schroeder","Carolyn Miller","2019-09-12 21:00:13","Fields Sales","00Q3s000012xgL9EAI",,"true","Kathleen Culp",,,0,0,8,8,8,0
"2019-09-12 21:00:22","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_565",,"N/A","BlueStep","Jamie Pendleton","Female","Evan Bullock","Crockett Partners","North East","Pending",,"2019-10-07 14:44:49","false",,"0053s000002J4UBAA0",,"Alan Ramos","Franklyn Rutter","2019-09-12 21:00:22","Reseller","00Q3s000012xgPTEAY",,"true","Jamie Pendleton",,,0,0,3,3,3,0
"2019-09-12 21:00:18","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_1390",,"N/A","BeON.com","Juliann Moore","Female","Chad Russo","Bob Jones Agency","North West","Archived",,"2019-10-07 14:44:49","false",,"0053s000002J4UEAA0",,"Alan Rodriguez","Jessie Ragan","2019-09-12 21:00:18","Reseller","00Q3s000012xgOXEAY",,"true","Juliann Moore",,,0,0,5,5,5,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_1859",,"N/A","Tri-Coastal Design Group","Leo Bench","Male","Sandra Parker","Insurato","South East","Approved",,"2019-10-07 14:44:49","false",,"0056A000001ogPWQAY",,"Albert Robbins","Francisco Berryhill","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgajEAA",,"true","Leo Bench",,,0,0,5,5,5,0
"2019-09-12 21:00:27","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_139",,"N/A","Cogent Business Applications","Faye Wilson","Female","James Coleman","Laurence Agency","Midwest","Working",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Alejandra Hernandez","Eduardo Church","2019-09-12 21:00:27","Fields Sales","00Q3s000012xgRwEAI",,"true","Faye Wilson",,,0,0,3,3,3,0
"2019-09-12 21:00:22","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1643",,"N/A","Byington Development Group","Christine Christie","Female","Sandra Parker","TapInsure","South East","Archived",,"2019-10-07 14:44:49","false",,"0056A000001ogPTQAY",,"Alejandra Horn","NA","2019-09-12 21:00:22","Reseller","00Q3s000012xgQoEAI",,"true","Christine Christie",,,0,0,4,4,4,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1417",,"N/A","ADVANCED BusinessLink","Edna Davis","Female","Sandra Parker","Bob Jones Agency","South East","Pending",,"2019-10-07 14:44:49","false",,"0053s000002J4U5AAK",,"Alex Reed","Mark Trahan","2019-09-12 21:00:13","Reseller","00Q3s000012xgJcEAI",,"true","Edna Davis",,,0,0,10,10,10,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_156",,"N/A","1199 National Benefit Fund For Health An","Whitney Falcon","Female","Amanda Long","Vaughn and Apperson","North East","Open",,"2019-10-07 14:44:49","false",,"0056A000001ogPVQAY",,"Alexa Harris","Laurie Anderson","2019-09-12 21:00:13","Reseller","00Q3s000012xgIBEAY",,"true","Whitney Falcon",,,0,0,5,5,5,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1473",,"N/A","Advanced Micro Computer Specialists","Courtney Chavarria","Female","Sandra Parker","Burns Agency","South East","Working",,"2019-10-07 14:44:49","false",,"0053s000002J4U5AAK",,"Alexa Noble","Ruth Stotts","2019-09-12 21:00:13","Fields Sales","00Q3s000012xgJiEAI",,"true","Courtney Chavarria",,,0,0,5,5,5,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_1917",,"N/A","Trinsic Communications","Sammie Bonds","Male","Meagan Combs","Ball Group","South West","Archived",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Alexa Robinson","Gloria Collier","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgasEAA",,"true","Sammie Bonds",,,0,0,7,7,7,0
"2019-09-12 21:00:18","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_1543",,"N/A","American Republic Insurance Co.","Henry Miller","Male","Matthew Hanna","ARE Agency","South East","Working",,"2019-10-07 14:44:49","false",,"0053s000002J4U6AAK",,"Alexander Cooper","Annabelle Houser","2019-09-12 21:00:18","Other","00Q3s000012xgLYEAY",,"true","Henry Miller",,,0,0,6,6,6,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_903",,"N/A","advisor square","Helen Moreno","Female","Sandra Parker","Manning and Manning","South East","Contacted",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Alexander Cruz","Benjamin Huskey","2019-09-12 21:00:13","Fields Sales","00Q3s000012xgJvEAI",,"true","Helen Moreno",,,0,0,9,9,9,0
"2019-09-12 21:00:27","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_194",,"N/A","CommerceFlow","Gwendolyn Cuevas","Female","James Coleman","ARE Agency","Midwest","New",,"2019-10-07 14:44:49","false",,"0053s000002J4UAAA0",,"Alexander Cummings","Larry Bishop","2019-09-12 21:00:27","Reseller","00Q3s000012xgSJEAY",,"true","Gwendolyn Cuevas",,,0,0,3,3,3,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_343",,"N/A","Absolute Home Security","Cornelia Wicks","Female","Jennifer Jackson","Stein Agency","Midwest","Pending",,"2019-10-07 14:44:49","false",,"0053s000002J4UFAA0",,"Alexander Johnson","Betty Bartz","2019-09-12 21:00:13","Reseller","00Q3s000012xgIpEAI",,"true","Cornelia Wicks",,,0,0,6,6,6,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_262",,"N/A","AKRON","Larry Bishop","Male","James Coleman","Undiro","Midwest","Archived",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Alexander Miller","Betty Miller","2019-09-12 21:00:13","Fields Sales","00Q3s000012xgKcEAI",,"true","Larry Bishop",,,0,0,6,6,6,0
"2019-09-12 21:00:35","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_271",,"N/A","HOPS","Harry Villegas","Male","James Coleman","Undiro","Midwest","Draft",,"2019-10-07 14:44:49","false",,"0053s000002J4U6AAK",,"Alexandra Hernandez","Joyce Curry","2019-09-12 21:00:35","Other","00Q3s000012xgXjEAI",,"true","Harry Villegas",,,0,0,7,7,7,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_398",,"N/A","Wallace  Burbank","Juan Ray","Male","James Coleman","AEV Agency","Midwest","Archived",,"2019-10-07 14:44:49","false",,"0053s000002J4U9AAK",,"Alexandra Neal","Henry Miller","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgbREAQ",,"true","Juan Ray",,,0,0,6,6,8,0
"2019-09-12 21:00:27","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_2065",,"N/A","Control Corp. America.","Troy Ford","Male","Justin Chen","Levin Insurance Agency","Midwest","Approved",,"2019-10-07 14:44:49","false",,"0056A000001ogPTQAY",,"Alexandra Sandoval","Edward Malinowski","2019-09-12 21:00:27","Fields Sales","00Q3s000012xgTREAY",,"true","Troy Ford",,,0,0,6,6,6,0
"2019-09-12 21:00:44","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_462",,"N/A","Wayside Inn","Mary Linn","Female","James Coleman","Manning and Manning","Midwest","Submitted",,"2019-10-07 14:44:49","false",,"0053s000002J4UEAA0",,"Alexandra Saunders","Dorothy Baker","2019-09-12 21:00:44","Fields Sales","00Q3s000012xgbnEAA",,"true","Mary Linn",,,0,0,10,10,10,0
"2019-09-12 21:00:35","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1603",,"N/A","ExxonMobil Global Services Company","Elizabeth Cothern","Female","Matthew Hanna","TapInsure","South East","Open",,"2019-10-07 14:44:49","false",,"0056A000001ogPVQAY",,"Alexandria Smith","Harry Sutton","2019-09-12 21:00:35","Fields Sales","00Q3s000012xgVXEAY",,"true","Elizabeth Cothern",,,0,0,9,9,9,0
"2019-09-12 21:00:27","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_1960",,"N/A","Comcast Technology Solutions","Christina Wyche","Female","Jeffrey Miranda","Nirel Agency","North West","Pending",,"2019-10-07 14:44:49","false",,"0053s000002J4U7AAK",,"Alexis Ferrell","Debbie Alsup","2019-09-12 21:00:27","Other","00Q3s000012xgSGEAY",,"true","Christina Wyche",,,0,0,6,6,6,0
"2019-09-12 21:00:27","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1541",,"N/A","Euclid Inc","Blanca Rutledge","Female","Anne Powers","ARE Agency","South East","Contacted",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Alexis Soto","Angela Felix","2019-09-12 21:00:27","Telesales","00Q3s000012xgUvEAI",,"true","Blanca Rutledge",,,0,0,9,9,9,0
"2019-09-12 21:00:22","Fujitsu Computer Products of America","2019-05-24 04:00:00","Cool",,"BROKER_1908","Fujitsu Computer Products of America 132","Government","Fujitsu Computer Products of America","Julio Hall","Male","Sandra Parker","Bob Jones Agency","South East","Qualified - Convert","WI","2019-10-07 14:44:49","true","Corporate","0053s000002J4U9AAK","0053s000002J4U9AAK","Allen Proctor","Christine Christie","2019-09-12 21:00:22","Fields Sales","00Q3s000012xgPNEAY","0063s00000DYxCCAA1","true","Julio Hall","Anne Powers","Government",-111.88,7727000,5,5,5,0
"2019-09-12 21:00:18","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_1134",,"N/A","Audio Etc","Clara Hart","Female","Lisa Lewis","ARE Agency","North West","Working",,"2019-10-07 14:44:49","false",,"0053s000002J4UEAA0",,"Allison Roberts","Nathan Robertson","2019-09-12 21:00:18","Fields Sales","00Q3s000012xgNPEAY",,"true","Clara Hart",,,0,0,3,3,3,0
"2019-09-12 21:00:18","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1421",,"N/A","Believe & Succeed","Amalia Butler","Female","Sandra Parker","Crockett Partners","South East","New",,"2019-10-07 14:44:49","false",,"0053s000002J4U6AAK",,"Alyssa Brown","Daniel Odonoghue","2019-09-12 21:00:18","Reseller","00Q3s000012xgOQEAY",,"true","Amalia Butler",,,0,0,9,9,9,0
"2019-09-12 21:00:35","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_834",,"N/A","Final Support Inc","Judy Davidson","Female","James Coleman","AEV Agency","Midwest","Approved",,"2019-10-07 14:44:49","false",,"0053s000002J4U5AAK",,"Alyssa Marsh","NA","2019-09-12 21:00:35","Fields Sales","00Q3s000012xgWEEAY",,"true","Judy Davidson",,,0,0,9,9,9,0
"2019-09-12 21:00:13","State Street Corp","2018-02-15 05:00:00","Warm",,"BROKER_1283","State Street Corp 144","Insurance","State Street Corp","Nathan Robertson","Male","Chad Russo","AEV Agency","North West","Qualified - Convert","KS","2019-10-07 14:44:49","true","Corporate","0053s000002J4UFAA0","0053s000002J4UGAA0","Alyssa Villarreal","Amy Smith","2019-09-12 21:00:13","Telesales","00Q3s000012xgIoEAI","0063s00000DYwmBAAT","true","Nathan Robertson","Amanda Long","Insurance",-454.88,2601000,5,5,5,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_401",,"N/A","Wallace Integrated Graphics","George Mitchell","Male","Melissa Neal","Atkins Agency","South West","Archived",,"2019-10-07 14:44:49","false",,"0056A000001ogPVQAY",,"Amanda Alvarez","Amanda Rice","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgbSEAQ",,"true","George Mitchell",,,0,0,9,9,9,0
"2019-09-12 21:00:35","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_1579",,"N/A","Execu Train","Clifton Cooper","Male","Justin Chen","Levin Insurance Agency","Midwest","Approved",,"2019-10-07 14:44:49","false",,"0053s000002J4U6AAK",,"Amanda Dyer","Bryan Miller","2019-09-12 21:00:35","Telesales","00Q3s000012xgVJEAY",,"true","Clifton Cooper",,,0,0,5,5,5,0
"2019-09-12 21:00:35","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_358",,"N/A","Harvard Pilgrim Health Care","Eleanor Stover","Female","James Coleman","Atkins Agency","Midwest","Pending",,"2019-10-07 14:44:49","false",,"0053s000002J4UDAA0",,"Amanda Jones","Helen Blake","2019-09-12 21:00:35","Reseller","00Q3s000012xgWbEAI",,"true","Eleanor Stover",,,0,0,9,9,9,0
"2019-09-12 21:00:44","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_808",,"N/A","Yipinet","Jessica Miller","Female","Lisa Lewis","Atkins Agency","South West","Rejected",,"2019-10-07 14:44:49","false",,"0053s000002J4U8AAK",,"Amanda Martin","Abigail Hebert","2019-09-12 21:00:44","Reseller","00Q3s000012xgcrEAA",,"true","Jessica Miller",,,0,0,4,4,4,0
"2019-09-12 21:00:35","Decision Research Corp.","2018-10-04 04:00:00","Warm",,"BROKER_2286","Decision Research Corp. 21","Other","Decision Research Corp.","Shane Gilbert","Male","Meagan Combs","Manning and Manning","South West","Qualified - Convert","NY","2019-10-07 14:44:49","true","Corporate","0053s000002J4UGAA0","0053s000002J4UGAA0","Amanda Rubio","Diane Joseph","2019-09-12 21:00:35","Fields Sales","00Q3s000012xgY6EAI","0063s00000DYxkjAAD","true","Shane Gilbert","Amanda Long","Other",-219.88,5332000,8,8,8,0
"2019-09-12 21:00:18","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_1040",,"N/A","Aronson","Debra Walker","Female","Lisa Lewis","Burns Agency","North West","Submitted",,"2019-10-07 14:44:49","false",,"0053s000002J4U5AAK",,"Amanda Taylor","Christopher Stokes","2019-09-12 21:00:18","Fields Sales","00Q3s000012xgMnEAI",,"true","Debra Walker",,,0,0,5,5,5,0
"2019-09-12 21:00:18","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_858",,"N/A","Amiad Usa Inc","Gregory Lugo","Male","Jeffrey Miranda","AEV Agency","South West","Contacted",,"2019-10-07 14:44:49","false",,"0056A000001ogPVQAY",,"Amanda Washington","Gloria Hebert","2019-09-12 21:00:18","Fields Sales","00Q3s000012xgLkEAI",,"true","Gregory Lugo",,,0,0,5,5,5,0
"2019-09-12 21:00:18","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1431",,"N/A","ARx","Helen Blake","Female","Sandra Parker","Scorsese and Sons","South East","Contacted",,"2019-10-07 14:44:49","false",,"0053s000002J4U9AAK",,"Amanda Williams","Amanda Rice","2019-09-12 21:00:18","Fields Sales","00Q3s000012xgMuEAI",,"true","Helen Blake",,,0,0,4,4,5,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_518",,"N/A","Affidia Systems","Linda Riner","Female","James Coleman","Ball Group","Midwest","New",,"2019-10-07 14:44:49","false",,"0056A000001ogPWQAY",,"Amanda Wright","Kathleen Chen","2019-09-12 21:00:13","Fields Sales","00Q3s000012xgK5EAI",,"true","Linda Riner",,,0,0,10,10,10,0
"2019-09-12 21:00:35","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_1572",,"N/A","Excel Consulting","Ernestine Raleigh","Female","Justin Chen","Levin Insurance Agency","Midwest","Working",,"2019-10-07 14:44:49","false",,"0053s000002J4UGAA0",,"Amber Long","Ivan Thomas","2019-09-12 21:00:35","Fields Sales","00Q3s000012xgVEEAY",,"true","Ernestine Raleigh",,,0,0,6,6,6,0
"2019-09-12 21:00:22","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1697",,"N/A","Business Integration Group","Carla Fischer","Female","Meagan Combs","Stein Agency","South West","Working",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Amber Martin","NA","2019-09-12 21:00:22","Reseller","00Q3s000012xgQiEAI",,"true","Carla Fischer",,,0,0,4,4,4,0
"2019-09-12 21:00:13","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_637",,"N/A","Alexis Consulting","Eva Nguyen","Female","Matthew Hanna","Vaughn and Apperson","South East","New",,"2019-10-07 14:44:49","false",,"0053s000002J4UFAA0",,"Amber Oneill","NA","2019-09-12 21:00:13","Reseller","00Q3s000012xgKnEAI",,"true","Eva Nguyen",,,0,0,4,4,4,0
"2019-09-12 21:00:13","Cmore Results Inc","2018-06-22 04:00:00","Warm",,"BROKER_1908","Cmore Results Inc 143","Recreation","Cmore Results Inc","Julio Hall","Male","Sandra Parker","Bob Jones Agency","South East","Qualified - Convert","WA","2019-10-07 14:44:49","true","Corporate","0056A000001ogPVQAY","0053s000002J4U6AAK","Amber Sanchez","Jamie Pendleton","2019-09-12 21:00:13","Reseller","00Q3s000012xgIaEAI","0063s00000DYwlEAAT","true","Julio Hall","Melissa Neal","Recreation",-313.88,4525000,4,4,4,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1824",,"N/A","TransactTools","Arlene Toussaint","Female","Sandra Parker","Manning and Manning","South East","Open",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Amber Shelton","Mary Ramos","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgaPEAQ",,"true","Arlene Toussaint",,,0,0,7,7,7,0
"2019-09-12 21:00:44","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_2289",,"N/A","WebCollage","Grace White","Female","Jeffrey Miranda","Manning and Manning","South West","Submitted",,"2019-10-07 14:44:49","false",,"0053s000002J4U9AAK",,"Amber Snyder","Helen Ramirez","2019-09-12 21:00:44","Reseller","00Q3s000012xgbwEAA",,"true","Grace White",,,0,0,8,8,8,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_903",,"N/A","I Dolls Corp","Helen Moreno","Female","Sandra Parker","Manning and Manning","South East","Pending",,"2019-10-07 14:44:49","false",,"0053s000002J4UGAA0",,"Amy Bean","NA","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgYQEAY",,"true","Helen Moreno",,,0,0,8,8,8,0
"2019-09-12 21:00:22","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_1643",,"N/A","Black & White Software","Christine Christie","Female","Sandra Parker","TapInsure","South East","Rejected",,"2019-10-07 14:44:49","false",,"0053s000002J4U6AAK",,"Amy Gallegos","Barbara Redman","2019-09-12 21:00:22","Fields Sales","00Q3s000012xgPBEAY",,"true","Christine Christie",,,0,0,4,4,6,0
"2019-09-12 21:00:27","Not Applicable","1970-01-15 00:00:00","Hot",,"BROKER_198",,"N/A","Commercial Federal Bank Inc","Ruth Poole","Female","Justin Chen","Zavesky Agency","Midwest","Contacted",,"2019-10-07 14:44:49","false",,"0053s000002J4UGAA0",,"Amy Jones","Letha Metz","2019-09-12 21:00:27","Reseller","00Q3s000012xgSKEAY",,"true","Craig Holman",,,0,0,3,3,3,0
"2019-09-12 21:00:40","Quantumhost Internet Svc","2018-10-10 04:00:00","Hot",,"BROKER_1763","Quantumhost Internet Svc 19","Recreation","Quantumhost Internet Svc","Carol Culbertson","Female","Anne Powers","AEV Agency","South East","Qualified - Convert","IN","2019-10-07 14:44:49","true","SMB","0053s000002J4U9AAK","0053s000002J4U9AAK","Amy Mcdaniel","Brianne Felix","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgYtEAI","0063s00000DYxnXAAT","true","Carol Culbertson","Anne Powers","Recreation",-193.88,38843000,5,5,5,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Warm",,"BROKER_1829",,"N/A","Transplace Texas, LP","Blake Masters","Male","Anne Powers","Manning and Manning","South East","Approved",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Amy Nelson","Luella Blackmore","2019-09-12 21:00:40","Fields Sales","00Q3s000012xgaUEAQ",,"true","Blake Masters",,,0,0,4,4,4,0
"2019-09-12 21:00:35","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_518",,"N/A","Hitachi Printing Solutions","Linda Riner","Female","James Coleman","Ball Group","Midwest","Working",,"2019-10-07 14:44:49","false",,"0056A000001ogPUQAY",,"Amy Perez","Heidi Alexander","2019-09-12 21:00:35","Fields Sales","00Q3s000012xgXWEAY",,"true","Linda Riner",,,0,0,7,7,7,0
"2019-09-12 21:00:40","Not Applicable","1970-01-15 00:00:00","Cool",,"BROKER_1753",,"N/A","Ticor Titles Company","Elaine Turgeon","Female","Matthew Hanna","AEV Agency","South East","Submitted",,"2019-10-07 14:44:49","false",,"0053s000002J4UDAA0",,"Amy Russell","NA","2019-09-12 21:00:40","Reseller","00Q3s000012xgZjEAI",,"true","Elaine Turgeon",,,0,0,7,7,7,0
