"CITY","STARTDATE","SMALLPHOTOURL","LastProcessedDate","STATE","USER","QUOTAAMOUNT"
"Florida","2019-07-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",18000
"New York","2019-06-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",30000
"San Francisco","2019-06-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",30000
"Chicago","2019-06-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",30000
"Florida","2019-06-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",30000
"New York","2019-05-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",60000
"San Francisco","2019-05-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",60000
"Chicago","2019-05-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",60000
"Florida","2019-05-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",60000
"New York","2019-04-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",18000
"San Francisco","2019-04-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",18000
"Chicago","2019-04-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",18000
"Florida","2019-04-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",18000
"New York","2019-03-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",30000
"San Francisco","2019-03-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",30000
"Chicago","2019-03-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",30000
"Florida","2019-03-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",30000
"New York","2019-02-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",60000
"San Francisco","2019-02-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",60000
"Chicago","2019-02-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",60000
"Florida","2019-02-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",60000
"New York","2019-01-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",18000
"San Francisco","2019-01-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",18000
"Chicago","2019-01-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",18000
"Florida","2019-01-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",18000
"New York","2018-12-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",30000
"San Francisco","2018-12-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",30000
"Chicago","2018-12-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",30000
"Florida","2018-12-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",30000
"New York","2018-11-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",60000
"San Francisco","2018-11-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",60000
"Chicago","2018-11-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",60000
"Florida","2018-11-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",60000
"New York","2018-10-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",18000
"San Francisco","2018-10-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",18000
"Chicago","2018-10-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",18000
"Florida","2018-10-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",18000
"New York","2018-09-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",30000
"San Francisco","2018-09-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",30000
"Chicago","2018-09-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",30000
"Florida","2018-09-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",30000
"New York","2018-08-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",60000
"San Francisco","2018-08-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",60000
"Chicago","2018-08-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",60000
"Florida","2018-08-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",60000
"New York","2018-07-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",18000
"San Francisco","2018-07-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",18000
"Chicago","2018-07-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",18000
"Florida","2018-07-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",18000
"New York","2018-06-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",30000
"San Francisco","2018-06-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",30000
"Chicago","2018-06-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",30000
"Florida","2018-06-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",30000
"New York","2018-05-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",60000
"San Francisco","2018-05-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",60000
"Chicago","2018-05-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",60000
"Florida","2018-05-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",60000
"New York","2018-04-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",18000
"San Francisco","2018-04-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",18000
"Chicago","2018-04-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",18000
"Florida","2018-04-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",18000
"New York","2018-03-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",30000
"San Francisco","2018-03-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",30000
"Chicago","2018-03-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",30000
"Florida","2018-03-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",30000
"New York","2018-02-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",60000
"San Francisco","2018-02-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",60000
"Chicago","2018-02-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",60000
"Florida","2018-02-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",60000
"New York","2018-01-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-09-11","NY","Mark Garet",18000
"San Francisco","2018-01-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-11","CA","Brenda Banker",18000
"Chicago","2018-01-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-09-11","IL","Allen Advisor",18000
"Florida","2018-01-01","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-09-11","FL","Chelsea Advisor",18000
