"HASRESPONDED","CONTACTNAME","CONTACTEMAIL","LastProcessedDate","CAMPAIGNNAME","NAME","LEADEMAIL","CAMPAIGNISACTIVE","CONTACTMOBILEPHONE","LEADNAME","CAMPAIGNSTATUS","ID","LEADPHONE","CAMPAIGNSTARTDATE","CAMPAIGNID","CAMPAIGNTYPE","TYPE"
"false","Deangelo Elliott","deangeloelliott@example.com","2020-05-25","Retirement Campaign","Deangelo Elliott",,"false","(5150)-732-5150",,"Aborted","00v1U000000oCXKQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Davon David","davondavid@example.com","2020-05-25","Retirement Campaign","Davon David",,"false","(1619)-365-1619",,"Aborted","00v1U000000oCXLQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Cason Bullock","casonbullock@example.com","2020-05-25","Retirement Campaign","Cason Bullock",,"false","(4867)-610-4867",,"Aborted","00v1U000000oCXMQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Gerald Woodward","geraldwoodward@example.com","2020-05-25","Retirement Campaign","Gerald Woodward",,"false","(5562)-937-5562",,"Aborted","00v1U000000oCXNQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"true","Mathew Ibarra","mathewibarra@example.com","2020-05-25","Retirement Campaign","Mathew Ibarra",,"false","(7217)-211-7217",,"Aborted","00v1U000000oCXOQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false",,,"2020-05-25","Retirement Campaign","Remington Cowan","remingtoncowan@example.com","false",,"Remington Cowan","Aborted","00v1U000000oCXPQA2","(3795)-620-3795","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true","Chad Johnson","chadjohnson@example.com","2020-05-25","Retirement Campaign","Chad Johnson",,"false","(3528)-519-3528",,"Aborted","00v1U000000oCXQQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Skylar Rodriguez","skylarrodriguez@example.com","2020-05-25","Retirement Campaign","Skylar Rodriguez",,"false","(4766)-120-4766",,"Aborted","00v1U000000oCXRQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false",,,"2020-05-25","Retirement Campaign","Arthur Mcclure","arthurmcclure@example.com","false",,"Arthur Mcclure","Aborted","00v1U000000oCXSQA2","(4634)-513-4634","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true",,,"2020-05-25","Retirement Campaign","Kody Charles","kodycharles@example.com","false",,"Kody Charles","Aborted","00v1U000000oCXTQA2","(2626)-767-2626","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false","Noel Bradshaw","noelbradshaw@example.com","2020-05-25","Retirement Campaign","Noel Bradshaw",,"false","(9013)-468-9013",,"Aborted","00v1U000000oCXUQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Julius Oneill","juliusoneill@example.com","2020-05-25","Retirement Campaign","Julius Oneill",,"false","(8781)-420-8781",,"Aborted","00v1U000000oCXVQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Fisher Arias","fisherarias@example.com","2020-05-25","Retirement Campaign","Fisher Arias",,"false","(2756)-173-2756",,"Aborted","00v1U000000oCXWQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Conner Lynch","connerlynch@example.com","2020-05-25","Retirement Campaign","Conner Lynch",,"false","(5137)-350-5137",,"Aborted","00v1U000000oCXXQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Arym Diamond","arymdiamond@example.com","2020-05-25","Retirement Campaign","Arym Diamond",,"false","(9135)-616-9135",,"Aborted","00v1U000000oCXYQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"true","Sergio Hoffman","sergiohoffman@example.com","2020-05-25","Retirement Campaign","Sergio Hoffman",,"false","(9286)-502-9286",,"Aborted","00v1U000000oCXZQA2",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false",,,"2020-05-25","Retirement Campaign","Marvin Stephenson","marvinstephenson@example.com","false",,"Marvin Stephenson","Aborted","00v1U000000oCXaQAM","(4651)-634-4651","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true",,,"2020-05-25","Retirement Campaign","Davion Townsend","daviontownsend@example.com","false",,"Davion Townsend","Aborted","00v1U000000oCXbQAM","(5027)-389-5027","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true",,,"2020-05-25","Retirement Campaign","Jovany Taylor","jovanytaylor@example.com","false",,"Jovany Taylor","Aborted","00v1U000000oCXcQAM","(9824)-956-9824","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true",,,"2020-05-25","Retirement Campaign","Tristen Harding","tristenharding@example.com","false",,"Tristen Harding","Aborted","00v1U000000oCXdQAM","(4769)-178-4769","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false",,,"2020-05-25","Retirement Campaign","Joshua Mcknight","joshuamcknight@example.com","false",,"Joshua Mcknight","Aborted","00v1U000000oCXeQAM","(5793)-741-5793","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false","Ernest Peck","ernestpeck@example.com","2020-05-25","Retirement Campaign","Ernest Peck",,"false","(7888)-299-7888",,"Aborted","00v1U000000oCXfQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Howard Sandoval","howardsandoval@example.com","2020-05-25","Retirement Campaign","Howard Sandoval",,"false","(1851)-847-1851",,"Aborted","00v1U000000oCXgQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Jadon Garcia","jadongarcia@example.com","2020-05-25","Retirement Campaign","Jadon Garcia",,"false","(8202)-752-8202",,"Aborted","00v1U000000oCXhQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Terrell Valencia","terrellvalencia@example.com","2020-05-25","Retirement Campaign","Terrell Valencia",,"false","(3656)-679-3656",,"Aborted","00v1U000000oCXiQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Aedan Miranda","aedanmiranda@example.com","2020-05-25","Retirement Campaign","Aedan Miranda",,"false","(6909)-522-6909",,"Aborted","00v1U000000oCXjQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true",,,"2020-05-25","Retirement Campaign","Alisson Lynn","alissonlynn@example.com","false",,"Alisson Lynn","Aborted","00v1U000000oCXkQAM","(3777)-417-3777","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true","Breanna Mclean","breannamclean@example.com","2020-05-25","Retirement Campaign","Breanna Mclean",,"false","(8795)-236-8795",,"Aborted","00v1U000000oCXlQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Caitlyn Ruiz","caitlynruiz@example.com","2020-05-25","Retirement Campaign","Caitlyn Ruiz",,"false","(8059)-606-8059",,"Aborted","00v1U000000oCXmQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false","Jovan Allen","jovanallen@example.com","2020-05-25","Retirement Campaign","Jovan Allen",,"false","(8467)-372-8467",,"Aborted","00v1U000000oCXnQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false",,,"2020-05-25","Retirement Campaign","Keyon Bullock","keyonbullock@example.com","false",,"Keyon Bullock","Aborted","00v1U000000oCXoQAM","(6680)-933-6680","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false",,,"2020-05-25","Retirement Campaign","Peter Salas","petersalas@example.com","false",,"Peter Salas","Aborted","00v1U000000oCXpQAM","(7307)-164-7307","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true","Gokul Rao","gokulrao@example.com","2020-05-25","Retirement Campaign","Gokul Rao",,"false","(7247)-466-7247",,"Aborted","00v1U000000oCXqQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false",,,"2020-05-25","Retirement Campaign","Sandra Bush","sandrabush@example.com","false",,"Sandra Bush","Aborted","00v1U000000oCXrQAM","(4885)-684-4885","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true","Hector Hernandez","hectorhernandez@example.com","2020-05-25","Retirement Campaign","Hector Hernandez",,"false","(6447)-307-6447",,"Aborted","00v1U000000oCXsQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false","Addyson Knight","addysonknight@example.com","2020-05-25","Retirement Campaign","Addyson Knight",,"false","(8135)-516-8135",,"Aborted","00v1U000000oCXtQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"false",,,"2020-05-25","Retirement Campaign","Camilla Cross","camillacross@example.com","false",,"Camilla Cross","Aborted","00v1U000000oCXuQAM","(6822)-904-6822","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false","Bruno Ibarra","brunoibarra@example.com","2020-05-25","Retirement Campaign","Bruno Ibarra",,"false","(8530)-495-8530",,"Aborted","00v1U000000oCXvQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"true","Jaylin Gill","jaylingill@example.com","2020-05-25","Retirement Campaign","Jaylin Gill",,"false","(7430)-324-7430",,"Aborted","00v1U000000oCXwQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"true","Kyle Rhodes","kylerhodes@example.com","2020-05-25","Retirement Campaign","Kyle Rhodes",,"false","(4718)-725-4718",,"Aborted","00v1U000000oCXxQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Prospect"
"false",,,"2020-05-25","Retirement Campaign","Rebecca Berger","rebeccaberger@example.com","false",,"Rebecca Berger","Aborted","00v1U000000oCXyQAM","(5906)-173-5906","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true","Marc Hays","marchays@example.com","2020-05-25","Retirement Campaign","Marc Hays",,"false","(1830)-234-1830",,"Aborted","00v1U000000oCXzQAM",,"2019-02-11","7011U000000ULoUQAW","Event","Contact"
"true",,,"2020-05-25","Retirement Campaign","Elizabeth Sanford","elizabethsanford@example.com","false",,"Elizabeth Sanford","Aborted","00v1U000000oCY0QAM","(2681)-437-2681","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false",,,"2020-05-25","Retirement Campaign","Jalen Savage","jalensavage@example.com","false",,"Jalen Savage","Aborted","00v1U000000oCY1QAM","(8555)-345-8555","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false",,,"2020-05-25","Retirement Campaign","Jaydin Herrera","jaydinherrera@example.com","false",,"Jaydin Herrera","Aborted","00v1U000000oCY2QAM","(7756)-253-7756","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"true",,,"2020-05-25","Retirement Campaign","Deven Murray","devenmurray@example.com","false",,"Deven Murray","Aborted","00v1U000000oCY3QAM","(7236)-409-7236","2019-02-11","7011U000000ULoUQAW","Event","Lead and Referral"
"false","Brayan Arroyo","brayanarroyo@example.com","2020-05-25","Get Well Campaign","Brayan Arroyo",,"false","(1590)-765-1590",,"Aborted","00v1U000000oCY4QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"true","Aydan Bates","aydanbates@example.com","2020-05-25","Get Well Campaign","Aydan Bates",,"false","(6524)-980-6524",,"Aborted","00v1U000000oCY5QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"false","Matthias Mathis","matthiasmathis@example.com","2020-05-25","Get Well Campaign","Matthias Mathis",,"false","(9339)-102-9339",,"Aborted","00v1U000000oCY6QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"false","Mayra Armstrong","mayraarmstrong@example.com","2020-05-25","Get Well Campaign","Mayra Armstrong",,"false","(2386)-189-2386",,"Aborted","00v1U000000oCY7QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"false","Amirah Bolton","amirahbolton@example.com","2020-05-25","Get Well Campaign","Amirah Bolton",,"false","(2392)-252-2392",,"Aborted","00v1U000000oCY8QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"false","Gwendolyn Baker","gwendolynbaker@example.com","2020-05-25","Get Well Campaign","Gwendolyn Baker",,"false","(8662)-110-8662",,"Aborted","00v1U000000oCY9QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Keely Lutz","keelylutz@example.com","2020-05-25","Get Well Campaign","Keely Lutz",,"false","(5733)-599-5733",,"Aborted","00v1U000000oCYAQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true",,,"2020-05-25","Get Well Campaign","Kenyon Hays","kenyonhays@example.com","false",,"Kenyon Hays","Aborted","00v1U000000oCYBQA2","(8047)-781-8047","2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Lead and Referral"
"true","Jaylon Stevenson","jaylonstevenson@example.com","2020-05-25","Get Well Campaign","Jaylon Stevenson",,"false","(9291)-505-9291",,"Aborted","00v1U000000oCYCQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"false","Aryanna Hobbs","aryannahobbs@example.com","2020-05-25","Get Well Campaign","Aryanna Hobbs",,"false","(2535)-961-2535",,"Aborted","00v1U000000oCYDQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"true","Kira Black","kirablack@example.com","2020-05-25","Get Well Campaign","Kira Black",,"false","(6468)-947-6468",,"Aborted","00v1U000000oCYEQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Mary Frey","maryfrey@example.com","2020-05-25","Get Well Campaign","Mary Frey",,"false","(8498)-920-8498",,"Aborted","00v1U000000oCYFQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Ryder Mills","rydermills@example.com","2020-05-25","Get Well Campaign","Ryder Mills",,"false","(9808)-852-9808",,"Aborted","00v1U000000oCYGQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true",,,"2020-05-25","Get Well Campaign","Moses Schneider","mosesschneider@example.com","false",,"Moses Schneider","Aborted","00v1U000000oCYHQA2","(3499)-137-3499","2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Lead and Referral"
"true",,,"2020-05-25","Get Well Campaign","Victor Murray","victormurray@example.com","false",,"Victor Murray","Aborted","00v1U000000oCYIQA2","(3435)-364-3435","2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Lead and Referral"
"true","Reagan Bond","reaganbond@example.com","2020-05-25","Get Well Campaign","Reagan Bond",,"false","(1533)-938-1533",,"Aborted","00v1U000000oCYJQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"true","Shaun Duran","shaunduran@example.com","2020-05-25","Get Well Campaign","Shaun Duran",,"false","(5734)-537-5734",,"Aborted","00v1U000000oCYKQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"false","Giovanny Avila","giovannyavila@example.com","2020-05-25","Get Well Campaign","Giovanny Avila",,"false","(6776)-990-6776",,"Aborted","00v1U000000oCYLQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Raida Potts","raidapotts@example.com","2020-05-25","Get Well Campaign","Raida Potts",,"false","(9293)-593-9293",,"Aborted","00v1U000000oCYMQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"true",,,"2020-05-25","Get Well Campaign","Alessandro Parrish","alessandroparrish@example.com","false",,"Alessandro Parrish","Aborted","00v1U000000oCYNQA2","(9014)-971-9014","2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Lead and Referral"
"true","Samara Campos","samaracampos@example.com","2020-05-25","Get Well Campaign","Samara Campos",,"false","(2757)-409-2757",,"Aborted","00v1U000000oCYOQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Emma Jacobson","emmajacobson@example.com","2020-05-25","Get Well Campaign","Emma Jacobson",,"false","(7680)-552-7680",,"Aborted","00v1U000000oCYPQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"true","Rachel Adams (Sample)","racheladamssample@example.com","2020-05-25","Get Well Campaign","Rachel Adams (Sample)",,"false","(3939)-408-3939",,"Aborted","00v1U000000oCS4QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Neil Symonds (Sample)","neilsymondssample@example.com","2020-05-25","Get Well Campaign","Neil Symonds (Sample)",,"false","(4236)-995-4236",,"Aborted","00v1U000000oCS5QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"false","Nigel Adams (Sample)","nigeladamssample@example.com","2020-05-25","Get Well Campaign","Nigel Adams (Sample)",,"false","(9391)-943-9391",,"Aborted","00v1U000000oCS6QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"true","Martin Young","martinyoung@example.com","2020-05-25","Get Well Campaign","Martin Young",,"false","(6823)-477-6823",,"Aborted","00v1U000000oCS7QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"false","Justin Smith","justinsmith@example.com","2020-05-25","Get Well Campaign","Justin Smith",,"false","(6630)-706-6630",,"Aborted","00v1U000000oCS8QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Jinni Boyd","jinniboyd@example.com","2020-05-25","Get Well Campaign","Jinni Boyd",,"false","(5454)-162-5454",,"Aborted","00v1U000000oCS9QAM",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Willie Hester","williehester@example.com","2020-05-25","Get Well Campaign","Willie Hester",,"false","(8804)-448-8804",,"Aborted","00v1U000000oCSAQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Reuben Holder","reubenholder@example.com","2020-05-25","Get Well Campaign","Reuben Holder",,"false","(6007)-820-6007",,"Aborted","00v1U000000oCSBQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true","Deshawn Baldwin","deshawnbaldwin@example.com","2020-05-25","Get Well Campaign","Deshawn Baldwin",,"false","(6049)-371-6049",,"Aborted","00v1U000000oCSCQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"true","Isaac Molina","isaacmolina@example.com","2020-05-25","Get Well Campaign","Isaac Molina",,"false","(5833)-278-5833",,"Aborted","00v1U000000oCSDQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"true",,,"2020-05-25","Get Well Campaign","Karter Garner","kartergarner@example.com","false",,"Karter Garner","Aborted","00v1U000000oCSEQA2","(9758)-572-9758","2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Lead and Referral"
"false","Tyrell Smith","tyrellsmith@example.com","2020-05-25","Get Well Campaign","Tyrell Smith",,"false","(8980)-222-8980",,"Aborted","00v1U000000oCSFQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"false",,,"2020-05-25","Get Well Campaign","Guillermo Mccoy","guillermomccoy@example.com","false",,"Guillermo Mccoy","Aborted","00v1U000000oCSGQA2","(3360)-567-3360","2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Lead and Referral"
"false","Billy Holder","billyholder@example.com","2020-05-25","Get Well Campaign","Billy Holder",,"false","(5262)-556-5262",,"Aborted","00v1U000000oCSHQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"true",,,"2020-05-25","Get Well Campaign","Keenan Petty","keenanpetty@example.com","false",,"Keenan Petty","Aborted","00v1U000000oCSIQA2","(5531)-556-5531","2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Lead and Referral"
"false","Zane Arroyo","zanearroyo@example.com","2020-05-25","Get Well Campaign","Zane Arroyo",,"false","(8588)-260-8588",,"Aborted","00v1U000000oCSJQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Contact"
"false","Nathan Henry","nathanhenry@example.com","2020-05-25","Get Well Campaign","Nathan Henry",,"false","(8038)-228-8038",,"Aborted","00v1U000000oCSKQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
"false",,,"2020-05-25","Get Well Campaign","Austin Harvey","austinharvey@example.com","false",,"Austin Harvey","Aborted","00v1U000000oCSLQA2","(3607)-180-3607","2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Lead and Referral"
"false","Kasen Mclean","kasenmclean@example.com","2020-05-25","Get Well Campaign","Kasen Mclean",,"false","(4425)-440-4425",,"Aborted","00v1U000000oCSMQA2",,"2019-04-08","7011U000000UMJiQAO","Seminar / Conference","Prospect"
