"OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","ACCOUNTSERVICEMODEL","CREATEDDATE","OWNERCITY","STATUS","ACCOUNTOWNERNAME","RECORDTYPENAME","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","ID","TYPE","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","SUBJECT","OWNEREMAIL","ACCOUNTAUM"
"0051U000005JQyrQAG","Household","Customer","IL","2018-11-20","Event","Tier 1","2018-12-17","Chicago","Event","Mark Garet","Advisor Event","Manager","Event","0011U00000KuFXTQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXTQA3","Other","Aggressive Growth","Client Retention","Event","Aquila Mejia","Inexperienced","2020-05-25","High Net Worth Families","Allen Advisor","Sync Up","allen.advisor@example.com",691163
"0051U000005JQyrQAG","Individual","Customer","IL","2018-12-02","Event","Tier 1","2018-12-17","Chicago","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXUQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXUQA3","Meeting","Growth","Onboarding","Event","Britanni Garcia","Moderately Experienced","2020-05-25","Millennials","Allen Advisor","Evaluate Refinancing Loan","allen.advisor@example.com",459880
"0051U000005JQyrQAG","Individual","Customer","IL","2018-12-06","Normal","Tier 3","2018-12-17","Chicago","Open","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXXQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXXQA3","Email","Growth","Prospecting","Task","Brenda Graham","Experienced","2020-05-25","Mass Market","Allen Advisor","Sync Up","allen.advisor@example.com",453966
"0051U000005L6eJQAS","Person Account","Customer","FL","2018-11-25","Event","Tier 2","2018-12-17","Florida","Event","Chelsea Advisor","Advisor Event","Manager","Event","0011U00000KuFXaQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000KuFXaQAN","Other","Aggressive Growth","Prospecting","Event","Lucius Fry","Inexperienced","2020-05-25","Millennials","Chelsea Advisor","Send Birthday Gift","ryan.dobson@example.com",542371
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-04","Normal","Tier 2","2018-12-17","Chicago","Open","Brenda Banker","Advisor Task","Manager","Event","0011U00000KuFXjQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXjQAN","Other","Aggressive Growth","Prospecting","Task","Dorian Newton","Inexperienced","2020-05-25","Mass Market","Allen Advisor","Discussion","allen.advisor@example.com",325281
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-11-23","High","Tier 1","2018-12-17","Chicago","In Progress","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXoQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXoQAN","Meeting","Income","Prospecting","Task","Meredith Lowe","Inexperienced","2020-05-25","High Net Worth Families","Allen Advisor","Quarterly Earnings Summary","allen.advisor@example.com",296353
"0051U000005L4E9QAK","Person Account","Customer","CA","2018-12-09","Event","Tier 3","2018-12-17","San Francisco","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXpQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFXpQAN","Other","Income","Prospecting","Event","Cooper Flowers","Inexperienced","2020-05-25","High Net Worth Families","Brenda Banker","Send Birthday Gift","sunil.dixit@example.com",714714
"0051U000005KhW6QAK","Person Account","Customer","NY","2018-11-28","Event","Tier 3","2018-12-17","New York","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXsQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","Activity-0-0011U00000KuFXsQAN","Email","Aggressive Growth","Service","Event","Harlan Mcgowan","Moderately Inexperienced","2020-05-25","Affluent Professionals","Mark Garet","Send Birthday Gift","mark.garet@example.com",403850
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-11-22","Event","Tier 1","2018-12-17","Chicago","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXuQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXuQAN","Other","Aggressive Growth","Client Retention","Event","Marvin Garcia","Experienced","2020-05-25","Mass Market","Allen Advisor","Send Birthday Gift","allen.advisor@example.com",674169
"0051U000005JQyrQAG","Individual","Customer","IL","2018-12-06","Event","Tier 3","2018-12-17","Chicago","Event","Brenda Banker","Advisor Event","Manager","Call","0011U00000KuFXwQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXwQAN","Call","Balanced Growth","Onboarding","Event","Genevieve Bauer","Moderately Inexperienced","2020-05-25","Retired","Allen Advisor","Call Genevieve Bauer","allen.advisor@example.com",338177
"0051U000005KhW6QAK","Individual","Customer","NY","2018-12-13","Event","Tier 3","2018-12-17","New York","Event","Allen Advisor","Advisor Event","Manager","Call","0011U00000KuFY0QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","Activity-0-0011U00000KuFY0QAN","Call","Income","Client Retention","Event","Orla Weeks","Moderately Experienced","2020-05-25","Affluent Professionals","Mark Garet","Call Orla Weeks","mark.garet@example.com",548058
"0051U000005L4E9QAK","Individual","Customer","CA","2018-11-28","Event","Tier 1","2018-12-17","San Francisco","Event","Brenda Banker","Advisor Event","Manager","Event","0011U00000KuFY1QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFY1QAN","Other","Growth","Onboarding","Event","Yoko Marshall","Inexperienced","2020-05-25","Mass Market","Brenda Banker","Send Birthday Gift","sunil.dixit@example.com",463883
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-12","Normal","Tier 2","2018-12-17","Chicago","Completed","Brenda Banker","Advisor Task","Manager","Event","0011U00000KuFY3QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFY3QAN","Call","Aggressive Growth","Onboarding","Call","Amos May","Experienced","2020-05-25","High Net Worth Families","Allen Advisor","Call Amos May","allen.advisor@example.com",769141
"0051U000005L6eJQAS","Person Account","Customer","FL","2018-11-25","High","Tier 2","2018-12-17","Florida","In Progress","Brenda Banker","Advisor Task","Manager","Event","0011U00000KuFYDQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000KuFYDQA3","Meeting","Growth","Client Retention","Task","Ulysses Hale","Moderately Inexperienced","2020-05-25","Affluent Professionals","Chelsea Advisor","Sync Up","ryan.dobson@example.com",490440
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-11-25","Event","Tier 1","2018-12-17","Chicago","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFYFQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFYFQA3","Other","Aggressive Growth","Service","Event","Chloe Knox","Experienced","2020-05-25","Affluent Professionals","Allen Advisor","Sync Up","allen.advisor@example.com",329452
"0051U000005L6eJQAS","Household","Customer","FL","2018-12-09","Event","Tier 2","2018-12-17","Florida","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFYGQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000KuFYGQA3","Other","Income","Client Retention","Event","Caleb Mccray","Inexperienced","2020-05-25","Millennials","Chelsea Advisor","Discussion","ryan.dobson@example.com",540876
"0051U000005L4E9QAK","Person Account","Customer","CA","2018-11-21","Normal","Tier 1","2018-12-17","San Francisco","Completed","Mark Garet","Advisor Task","Manager","Event","0011U00000KuFYHQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFYHQA3","Call","Aggressive Growth","Service","Call","Shelly Fowler","Inexperienced","2020-05-25","Millennials","Brenda Banker","Call Shelly Fowler","sunil.dixit@example.com",65780
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-06","Event","Tier 1","2018-12-17","Chicago","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFYIQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFYIQA3","Other","Growth","Service","Event","Rigel Joyner","Moderately Inexperienced","2020-05-25","High Net Worth Families","Allen Advisor","Quarterly Earnings Summary","allen.advisor@example.com",649182
"0051U000005L6eJQAS","Household","Customer","FL","2018-12-07","Event","Tier 1","2018-12-17","Florida","Event","Chelsea Advisor","Advisor Event","Manager","Event","0011U00000KuFYLQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000KuFYLQA3","Email","Income","Prospecting","Event","Bell Solis","Moderately Experienced","2020-05-25","High Net Worth Families","Chelsea Advisor","Discussion","ryan.dobson@example.com",126509
"0051U000005L6eJQAS","Individual","Customer","FL","2018-12-14","Event","Tier 1","2018-12-17","Florida","Event","Chelsea Advisor","Advisor Event","Manager","Event","0011U00000KuFYSQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000KuFYSQA3","Other","Income","Prospecting","Event","Nicole Savage","Moderately Experienced","2020-05-25","Affluent Professionals","Chelsea Advisor","Summit","ryan.dobson@example.com",396090
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-07","Normal","Tier 1","2018-12-17","Chicago","In Progress","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFYWQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFYWQA3","Email","Aggressive Growth","Service","Task","Brian Williamson","Moderately Inexperienced","2020-05-25","High Net Worth Families","Allen Advisor","Quarterly Earnings Summary","allen.advisor@example.com",577497
"0051U000005L4E9QAK","Individual","Customer","CA","2018-11-26","Normal","Tier 2","2018-12-17","San Francisco","Completed","Brenda Banker","Advisor Task","Manager","Event","0011U00000KuFYaQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFYaQAN","Meeting","Income","Service","Task","Drake Branch","Moderately Inexperienced","2020-05-25","Mass Market","Brenda Banker","Evaluate Refinancing Loan","sunil.dixit@example.com",53475
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-07","Event","Tier 3","2018-12-17","Chicago","Event","Allen Advisor","Advisor Event","Manager","Call","0011U00000KuFYbQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFYbQAN","Call","Aggressive Growth","Service","Event","Penelope Briggs","Experienced","2020-05-25","Millennials","Allen Advisor","Call Penelope Briggs","allen.advisor@example.com",332144
"0051U000005L4E9QAK","Household","Customer","CA","2018-12-03","Event","Tier 2","2018-12-17","San Francisco","Event","Brenda Banker","Advisor Event","Manager","Event","0011U00000KuFYiQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFYiQAN","Other","Aggressive Growth","Prospecting","Event","Selma Dodson","Experienced","2020-05-25","Retired","Brenda Banker","Quarterly Earnings Summary","sunil.dixit@example.com",469597
"0051U000005KhW6QAK","Household","Customer","NY","2018-11-27","Event","Tier 1","2018-12-17","New York","Event","Allen Advisor","Advisor Event","Manager","Call","0011U00000KuFYkQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","Activity-0-0011U00000KuFYkQAN","Call","Balanced Growth","Client Retention","Event","Harlan Noel","Inexperienced","2020-05-25","Affluent Professionals","Mark Garet","Call Harlan Noel","mark.garet@example.com",684703
"0051U000005JQyrQAG","Individual","Customer","IL","2018-12-14","High","Tier 3","2018-12-17","Chicago","Not Started","Brenda Banker","Advisor Task","Manager","Event","0011U00000KuFXfQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXfQAN","Call","Aggressive Growth","Onboarding","Call","Xanthus Wilkins","Moderately Experienced","2020-05-25","Retired","Allen Advisor","Call Xanthus Wilkins","allen.advisor@example.com",646349
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-11-23","High","Tier 2","2018-12-17","Chicago","Open","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXkQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXkQAN","Call","Aggressive Growth","Onboarding","Call","Idola Le","Inexperienced","2020-05-25","Affluent Professionals","Allen Advisor","Call Idola Le","allen.advisor@example.com",704087
"0051U000005L4E9QAK","Household","Customer","CA","2018-11-22","Event","Tier 3","2018-12-17","San Francisco","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFYjQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFYjQAN","Other","Balanced Growth","Service","Event","Abraham Tyler","Experienced","2020-05-25","Affluent Professionals","Brenda Banker","Quarterly Earnings Summary","sunil.dixit@example.com",341419
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-11-19","Event","Tier 3","2018-12-17","Chicago","Event","Brenda Banker","Advisor Event","Manager","Event","0011U00000KuFYlQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFYlQAN","Other","Income","Client Retention","Event","Maryam Ramsey","Experienced","2020-05-25","High Net Worth Families","Allen Advisor","Sync Up","allen.advisor@example.com",340327
"0051U000005L6eJQAS","Individual","Customer","FL","2018-12-19","Event","Tier 2","2019-01-14","Florida","Event","Chelsea Advisor","Advisor Event","Manager","Event","0011U00000Kcp1LQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000Kcp1LQAR","Email","Aggressive Growth","Client Retention","Event","Neil Symonds","Experienced","2020-05-25","Millennials","Chelsea Advisor","Sync Up","ryan.dobson@example.com",1824105
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-23","Event","Tier 2","2019-01-14","Chicago","Event","Brenda Banker","Advisor Event","Manager","Event","0011U00000Kcp1NQAR","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000Kcp1NQAR","Email","Balanced Growth","Prospecting","Event","Rachel Adams","Moderately Inexperienced","2020-05-25","Millennials","Allen Advisor","Lunch Meeting","allen.advisor@example.com",1241238
"0051U000005L6eJQAS","Individual","Customer","FL","2019-01-03","High","Tier 1","2019-01-14","Florida","Not Started","Allen Advisor","Advisor Task","Manager","Event","0011U00000Kss4jQAB","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-0-0011U00000Kss4jQAB","Other","Balanced Growth","Prospecting","Task","Jinni Boyd","Inexperienced","2020-05-25","Mass Market","Chelsea Advisor","Quarterly Earnings Summary","ryan.dobson@example.com",226509
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-20","Event","Tier 3","2019-01-14","Chicago","Event","Allen Advisor","Advisor Event","Manager","Call","0011U00000KuWpYQAV","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-1-0011U00000KuWpYQAV","Call","Growth","Client Retention","Event","Fredericka Mccullough","Moderately Inexperienced","2020-05-25","Affluent Professionals","Allen Advisor","Call Fredericka Mccullough","allen.advisor@example.com",418161
"0051U000005L4E9QAK","Individual","Customer","CA","2019-01-04","High","Tier 1","2019-01-14","San Francisco","Open","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXHQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFXHQA3","Email","Income","Service","Task","Hedley Church","Experienced","2020-05-25","Affluent Professionals","Brenda Banker","Send Birthday Gift","sunil.dixit@example.com",0
"0051U000005L4E9QAK","Person Account","Customer","CA","2019-01-09","Event","Tier 3","2019-01-14","San Francisco","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXIQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFXIQA3","Email","Income","Service","Event","Wallace Summers","Moderately Experienced","2020-05-25","Mass Market","Brenda Banker","Discussion","sunil.dixit@example.com",65210
"0051U000005JQyrQAG","Household","Customer","IL","2019-01-09","High","Tier 1","2019-01-14","Chicago","In Progress","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXJQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-1-0011U00000KuFXJQA3","Call","Growth","Service","Call","Zane Cervantes","Moderately Inexperienced","2020-05-25","Mass Market","Allen Advisor","Call Zane Cervantes","allen.advisor@example.com",953177
"0051U000005L6eJQAS","Person Account","Customer","FL","2018-12-27","Event","Tier 2","2019-01-14","Florida","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXKQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","Activity-1-0011U00000KuFXKQA3","Meeting","Balanced Growth","Client Retention","Event","Carissa Mckee","Experienced","2020-05-25","Affluent Professionals","Chelsea Advisor","Evaluate Refinancing Loan","ryan.dobson@example.com",294810
"0051U000005KhW6QAK","Person Account","Customer","NY","2018-12-25","High","Tier 3","2019-01-14","New York","Open","Brenda Banker","Advisor Task","Manager","Event","0011U00000KuFXLQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","Activity-0-0011U00000KuFXLQA3","Email","Aggressive Growth","Service","Task","Akeem Head","Moderately Experienced","2020-05-25","Mass Market","Mark Garet","Discussion","mark.garet@example.com",173982
"0051U000005JQyrQAG","Household","Customer","IL","2019-01-05","Event","Tier 1","2019-01-14","Chicago","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXPQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXPQA3","Other","Income","Prospecting","Event","Erich Grimes","Inexperienced","2020-05-25","Retired","Allen Advisor","Discussion","allen.advisor@example.com",560377
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-29","High","Tier 3","2019-01-14","Chicago","In Progress","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXQQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXQQA3","Email","Income","Onboarding","Task","Ebony Ramsey","Inexperienced","2020-05-25","Mass Market","Allen Advisor","Quarterly Earnings Summary","allen.advisor@example.com",376353
"0051U000005JQyrQAG","Individual","Customer","IL","2019-01-04","High","Tier 3","2019-01-14","Chicago","Open","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXSQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXSQA3","Call","Growth","Prospecting","Call","Zeph Mcmahon","Moderately Experienced","2020-05-25","Affluent Professionals","Allen Advisor","Call Zeph Mcmahon","allen.advisor@example.com",329549
"0051U000005L4E9QAK","Individual","Customer","CA","2019-01-02","Normal","Tier 1","2019-01-14","San Francisco","In Progress","Allen Advisor","Advisor Task","Manager","Event","0011U00000KuFXUQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-1-0011U00000KuFXUQA3","Meeting","Growth","Service","Task","Britanni Garcia","Moderately Experienced","2020-05-25","Millennials","Brenda Banker","Lunch Meeting","sunil.dixit@example.com",461042
"0051U000005L4E9QAK","Person Account","Customer","CA","2019-01-10","Normal","Tier 2","2019-01-14","San Francisco","Completed","Brenda Banker","Advisor Task","Manager","Event","0011U00000KuFXVQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFXVQA3","Call","Aggressive Growth","Prospecting","Call","Abel Sanchez","Moderately Experienced","2020-05-25","Mass Market","Brenda Banker","Call Abel Sanchez","sunil.dixit@example.com",721821
"0051U000005L4E9QAK","Individual","Customer","CA","2018-12-24","Event","Tier 1","2019-01-14","San Francisco","Event","Mark Garet","Advisor Event","Manager","Call","0011U00000KuFXWQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","Activity-0-0011U00000KuFXWQA3","Call","Growth","Onboarding","Event","Grant Cline","Inexperienced","2020-05-25","Mass Market","Brenda Banker","Call Grant Cline","sunil.dixit@example.com",301487
"0051U000005JQyrQAG","Person Account","Customer","IL","2018-12-25","Event","Tier 2","2019-01-14","Chicago","Event","Chelsea Advisor","Advisor Event","Manager","Event","0011U00000KuFXaQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-1-0011U00000KuFXaQAN","Meeting","Aggressive Growth","Onboarding","Event","Lucius Fry","Inexperienced","2020-05-25","Millennials","Allen Advisor","Discussion","allen.advisor@example.com",544334
"0051U000005KhW6QAK","Person Account","Customer","NY","2018-12-31","Event","Tier 1","2019-01-14","New York","Event","Brenda Banker","Advisor Event","Manager","Event","0011U00000KuFXdQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","Activity-0-0011U00000KuFXdQAN","Meeting","Income","Client Retention","Event","Penelope Solis","Moderately Inexperienced","2020-05-25","Mass Market","Mark Garet","Send Birthday Gift","mark.garet@example.com",491092
"0051U000005JQyrQAG","Person Account","Customer","IL","2019-01-12","Event","Tier 3","2019-01-14","Chicago","Event","Allen Advisor","Advisor Event","Manager","Event","0011U00000KuFXeQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","Activity-0-0011U00000KuFXeQAN","Email","Income","Prospecting","Event","Ramona Hamilton","Experienced","2020-05-25","Affluent Professionals","Allen Advisor","Evaluate Refinancing Loan","allen.advisor@example.com",218266
