SnapshotDate,SnapshotTextDate,Id,CreatedDate,AccountId,AccountName,AccountMarketingSegment,AccountInvestmentObjectives,AccountServiceModel,AccountOwnerName,Name,AchievedPercentage,AchievedPercentageRange,ActualValue,TargetValue,TargetDate,Type,YearsUntilTarget,LastProcessedDate
2018-12-17,2018-12-17,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXNQA3,Hasad Madden,Affluent Professionals,Income,Tier 3,Allen Advisor,Hasad Madden Education,47.555806725063576,3. 26-50%,87516,184028,2088-11-08,Education,68,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXVQA3,Abel Sanchez,Mass Market,Aggressive Growth,Tier 2,Brenda Banker,Abel Sanchez Education,29.891526629323373,3. 26-50%,33619,112470,2020-11-12,Education,0,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXfQAN,Xanthus Wilkins,Retired,Aggressive Growth,Tier 3,Brenda Banker,Xanthus Wilkins Vacation Home,76.18079189839794,5. 76-99%,91775,120470,2020-06-29,Home Purchase,0,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXfQAN,Xanthus Wilkins,Retired,Aggressive Growth,Tier 3,Brenda Banker,Xanthus Wilkins Vacation Home,64.87887511686677,4. 51-75%,70088,108029,2022-01-31,Home Purchase,1,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXtQAN,Blaze Pennington,Millennials,Balanced Growth,Tier 1,Allen Advisor,Blaze Pennington Vacation Home,39.77793700447971,3. 26-50%,68284,171663,2020-08-14,Home Purchase,0,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXzQAN,Seth Frost,Millennials,Growth,Tier 1,Chelsea Advisor,Seth Frost Retirement,19.978884272188544,2. <=25%,29331,146810,2031-11-23,Retirement,11,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXzQAN,Seth Frost,Millennials,Growth,Tier 1,Chelsea Advisor,Seth Frost Vacation Home,57.35281210076166,4. 51-75%,58809,102539,2044-11-19,Home Purchase,24,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY0QAN,Orla Weeks,Affluent Professionals,Income,Tier 3,Allen Advisor,Orla Weeks Education,41.69969380091282,3. 26-50%,36089,86545,2020-04-15,Education,0,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY2QAN,Odysseus Ortiz,Affluent Professionals,Aggressive Growth,Tier 2,Allen Advisor,Odysseus Ortiz Education,90.71863985071532,5. 76-99%,218768,241150,2020-12-21,Education,0,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY2QAN,Odysseus Ortiz,Affluent Professionals,Aggressive Growth,Tier 2,Allen Advisor,Odysseus Ortiz Education,43.34526100941727,3. 26-50%,33554,77411,2023-01-16,Education,2,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1bQAG,2018-11-26,0011U00000KuFY4QAN,Marny Ford,High Net Worth Families,Aggressive Growth,Tier 1,Allen Advisor,Marny Ford Retirement,15.316438402950922,2. <=25%,44845,292790,2048-11-18,Retirement,28,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1cQAG,2018-11-26,0011U00000KuFYKQA3,Cathleen Mcconnell,Millennials,Aggressive Growth,Tier 1,Allen Advisor,Cathleen Mcconnell Vacation Home,91.71481974663132,5. 76-99%,150150,163714,2020-08-18,Home Purchase,0,2020-05-25
2018-12-17,2018-12-17,a091U000005MX1bQAG,2018-11-26,0011U00000KuFYhQAN,Quon Holcomb,High Net Worth Families,Growth,Tier 2,Allen Advisor,Quon Holcomb Retirement,39.501994904581075,3. 26-50%,41088,104015,2055-11-17,Retirement,35,2020-05-25
2019-01-14,2019-01-14,a091U000000YJGLQA4,2018-11-26,0011U00000Kcp1LQAR,Neil Symonds,Millennials,Aggressive Growth,Tier 2,Chelsea Advisor,Retirement Goals,98.51851851851852,5. 76-99%,532000,540000,2019-12-07,Retirement,0,2020-05-25
2019-01-14,2019-01-14,a091U000000YJGJQA4,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Laura's Wedding Fund,67.0,4. 51-75%,67000,100000,2021-03-19,Other,0,2020-05-25
2019-01-14,2019-01-14,a091U000005IYW5QAO,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Retirement Fund 2050,15.0,2. <=25%,150000,1000000,2050-01-23,Retirement,29,2020-05-25
2019-01-14,2019-01-14,a091U000000YJGIQA4,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Tahoe Vacation Home,62.22222222222222,4. 51-75%,280000,450000,2022-03-20,Home Purchase,1,2020-05-25
2019-01-14,2019-01-14,a091U000000YJGKQA4,2018-11-26,0011U00000Kcp1MQAR,Nigel Adams,Mass Market,Growth,Tier 2,Allen Advisor,Education Savings for Matt,25.0,2. <=25%,75000,300000,2022-03-20,Education,1,2020-05-25
2019-01-14,2019-01-14,a091U000005IT9DQAW,2018-11-26,0011U00000KuWpYQAV,Fredericka Mccullough,Affluent Professionals,Growth,Tier 3,Allen Advisor,Home Purchase,18.5,2. <=25%,37000,200000,2021-10-26,Home Purchase,1,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXHQA3,Hedley Church,Affluent Professionals,Income,Tier 1,Allen Advisor,Hedley Church Vacation Home,16.903140164951147,2. <=25%,15535,91906,2020-04-26,Home Purchase,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXHQA3,Hedley Church,Affluent Professionals,Income,Tier 1,Allen Advisor,Hedley Church Retirement,21.661998807437254,2. <=25%,59942,276715,2031-11-23,Retirement,11,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1gQAG,2018-11-26,0011U00000KuFXJQA3,Zane Cervantes,Mass Market,Growth,Tier 1,Allen Advisor,Zane Cervantes Other,15.973864826088644,2. <=25%,8239,51578,2021-02-17,Other,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXJQA3,Zane Cervantes,Mass Market,Growth,Tier 1,Allen Advisor,Zane Cervantes Education,28.30915872358061,3. 26-50%,61479,217170,2023-05-12,Education,2,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXNQA3,Hasad Madden,Affluent Professionals,Income,Tier 3,Allen Advisor,Hasad Madden Retirement,52.45280893814479,4. 51-75%,232859,443940,2053-11-17,Retirement,33,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXNQA3,Hasad Madden,Affluent Professionals,Income,Tier 3,Allen Advisor,Hasad Madden Education,47.555806725063576,3. 26-50%,87516,184028,2088-11-08,Education,68,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXVQA3,Abel Sanchez,Mass Market,Aggressive Growth,Tier 2,Brenda Banker,Abel Sanchez Education,29.891526629323373,3. 26-50%,33619,112470,2020-11-12,Education,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXfQAN,Xanthus Wilkins,Retired,Aggressive Growth,Tier 3,Brenda Banker,Xanthus Wilkins Vacation Home,76.18079189839794,5. 76-99%,91775,120470,2020-06-29,Home Purchase,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXfQAN,Xanthus Wilkins,Retired,Aggressive Growth,Tier 3,Brenda Banker,Xanthus Wilkins Vacation Home,64.87887511686677,4. 51-75%,70088,108029,2022-01-31,Home Purchase,1,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXtQAN,Blaze Pennington,Millennials,Balanced Growth,Tier 1,Allen Advisor,Blaze Pennington Vacation Home,39.77793700447971,3. 26-50%,68284,171663,2020-08-14,Home Purchase,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXzQAN,Seth Frost,Millennials,Growth,Tier 1,Chelsea Advisor,Seth Frost Retirement,19.978884272188544,2. <=25%,29331,146810,2031-11-23,Retirement,11,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXzQAN,Seth Frost,Millennials,Growth,Tier 1,Chelsea Advisor,Seth Frost Vacation Home,57.35281210076166,4. 51-75%,58809,102539,2044-11-19,Home Purchase,24,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY0QAN,Orla Weeks,Affluent Professionals,Income,Tier 3,Allen Advisor,Orla Weeks Education,41.69969380091282,3. 26-50%,36089,86545,2020-04-15,Education,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY2QAN,Odysseus Ortiz,Affluent Professionals,Aggressive Growth,Tier 2,Allen Advisor,Odysseus Ortiz Education,90.71863985071532,5. 76-99%,218768,241150,2020-12-21,Education,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY2QAN,Odysseus Ortiz,Affluent Professionals,Aggressive Growth,Tier 2,Allen Advisor,Odysseus Ortiz Education,43.34526100941727,3. 26-50%,33554,77411,2023-01-16,Education,2,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1bQAG,2018-11-26,0011U00000KuFY4QAN,Marny Ford,High Net Worth Families,Aggressive Growth,Tier 1,Allen Advisor,Marny Ford Retirement,15.316438402950922,2. <=25%,44845,292790,2048-11-18,Retirement,28,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1cQAG,2018-11-26,0011U00000KuFYKQA3,Cathleen Mcconnell,Millennials,Aggressive Growth,Tier 1,Allen Advisor,Cathleen Mcconnell Vacation Home,91.71481974663132,5. 76-99%,150150,163714,2020-08-18,Home Purchase,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1bQAG,2018-11-26,0011U00000KuFYhQAN,Quon Holcomb,High Net Worth Families,Growth,Tier 2,Allen Advisor,Quon Holcomb Retirement,39.501994904581075,3. 26-50%,41088,104015,2055-11-17,Retirement,35,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1WQAW,2019-01-14,0011U00000KuFYxQAN,Noah Rosa,Affluent Professionals,Balanced Growth,Tier 1,Allen Advisor,Noah Rosa Education,23.951343513153336,2. <=25%,40798,170337,2020-04-22,Education,0,2020-05-25
2019-01-14,2019-01-14,a091U000005MX1cQAG,2019-01-14,0011U00000KuFYxQAN,Noah Rosa,Affluent Professionals,Balanced Growth,Tier 1,Allen Advisor,Noah Rosa Vacation Home,82.62277624198572,5. 76-99%,113275,137099,2021-07-30,Home Purchase,1,2020-05-25
2019-02-11,2019-02-11,a091U000000YJGLQA4,2018-11-26,0011U00000Kcp1LQAR,Neil Symonds,Millennials,Aggressive Growth,Tier 2,Chelsea Advisor,Retirement Goals,98.51851851851852,5. 76-99%,532000,540000,2019-12-07,Retirement,0,2020-05-25
2019-02-11,2019-02-11,a091U000000YJGJQA4,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Laura's Wedding Fund,67.0,4. 51-75%,67000,100000,2021-03-19,Other,0,2020-05-25
2019-02-11,2019-02-11,a091U000005IYW5QAO,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Retirement Fund 2050,15.0,2. <=25%,150000,1000000,2050-01-23,Retirement,29,2020-05-25
2019-02-11,2019-02-11,a091U000000YJGIQA4,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Tahoe Vacation Home,62.22222222222222,4. 51-75%,280000,450000,2022-03-20,Home Purchase,1,2020-05-25
2019-02-11,2019-02-11,a091U000000YJGKQA4,2018-11-26,0011U00000Kcp1MQAR,Nigel Adams,Mass Market,Growth,Tier 2,Allen Advisor,Education Savings for Matt,25.0,2. <=25%,75000,300000,2022-03-20,Education,1,2020-05-25
2019-02-11,2019-02-11,a091U000005IT9DQAW,2018-11-26,0011U00000KuWpYQAV,Fredericka Mccullough,Affluent Professionals,Growth,Tier 3,Allen Advisor,Home Purchase,18.5,2. <=25%,37000,200000,2021-10-26,Home Purchase,1,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXHQA3,Hedley Church,Affluent Professionals,Income,Tier 1,Allen Advisor,Hedley Church Vacation Home,16.903140164951147,2. <=25%,15535,91906,2020-04-26,Home Purchase,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXHQA3,Hedley Church,Affluent Professionals,Income,Tier 1,Allen Advisor,Hedley Church Retirement,21.661998807437254,2. <=25%,59942,276715,2031-11-23,Retirement,11,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1gQAG,2018-11-26,0011U00000KuFXJQA3,Zane Cervantes,Mass Market,Growth,Tier 1,Allen Advisor,Zane Cervantes Other,15.973864826088644,2. <=25%,8239,51578,2021-02-17,Other,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXJQA3,Zane Cervantes,Mass Market,Growth,Tier 1,Allen Advisor,Zane Cervantes Education,28.30915872358061,3. 26-50%,61479,217170,2023-05-12,Education,2,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXNQA3,Hasad Madden,Affluent Professionals,Income,Tier 3,Allen Advisor,Hasad Madden Retirement,52.45280893814479,4. 51-75%,232859,443940,2053-11-17,Retirement,33,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXNQA3,Hasad Madden,Affluent Professionals,Income,Tier 3,Allen Advisor,Hasad Madden Education,47.555806725063576,3. 26-50%,87516,184028,2088-11-08,Education,68,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXVQA3,Abel Sanchez,Mass Market,Aggressive Growth,Tier 2,Brenda Banker,Abel Sanchez Education,29.891526629323373,3. 26-50%,33619,112470,2020-11-12,Education,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXfQAN,Xanthus Wilkins,Retired,Aggressive Growth,Tier 3,Brenda Banker,Xanthus Wilkins Vacation Home,76.18079189839794,5. 76-99%,91775,120470,2020-06-29,Home Purchase,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXfQAN,Xanthus Wilkins,Retired,Aggressive Growth,Tier 3,Brenda Banker,Xanthus Wilkins Vacation Home,64.87887511686677,4. 51-75%,70088,108029,2022-01-31,Home Purchase,1,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXtQAN,Blaze Pennington,Millennials,Balanced Growth,Tier 1,Allen Advisor,Blaze Pennington Vacation Home,39.77793700447971,3. 26-50%,68284,171663,2020-08-14,Home Purchase,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXzQAN,Seth Frost,Millennials,Growth,Tier 1,Chelsea Advisor,Seth Frost Retirement,19.978884272188544,2. <=25%,29331,146810,2031-11-23,Retirement,11,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXzQAN,Seth Frost,Millennials,Growth,Tier 1,Chelsea Advisor,Seth Frost Vacation Home,57.35281210076166,4. 51-75%,58809,102539,2044-11-19,Home Purchase,24,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY0QAN,Orla Weeks,Affluent Professionals,Income,Tier 3,Allen Advisor,Orla Weeks Education,41.69969380091282,3. 26-50%,36089,86545,2020-04-15,Education,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY2QAN,Odysseus Ortiz,Affluent Professionals,Aggressive Growth,Tier 2,Allen Advisor,Odysseus Ortiz Education,90.71863985071532,5. 76-99%,218768,241150,2020-12-21,Education,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY2QAN,Odysseus Ortiz,Affluent Professionals,Aggressive Growth,Tier 2,Allen Advisor,Odysseus Ortiz Education,43.34526100941727,3. 26-50%,33554,77411,2023-01-16,Education,2,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFY4QAN,Marny Ford,High Net Worth Families,Aggressive Growth,Tier 1,Allen Advisor,Marny Ford Retirement,15.316438402950922,2. <=25%,44845,292790,2048-11-18,Retirement,28,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFYKQA3,Cathleen Mcconnell,Millennials,Aggressive Growth,Tier 1,Allen Advisor,Cathleen Mcconnell Vacation Home,91.71481974663132,5. 76-99%,150150,163714,2020-08-18,Home Purchase,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFYhQAN,Quon Holcomb,High Net Worth Families,Growth,Tier 2,Allen Advisor,Quon Holcomb Retirement,39.501994904581075,3. 26-50%,41088,104015,2055-11-17,Retirement,35,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1WQAW,2019-01-14,0011U00000KuFYxQAN,Noah Rosa,Affluent Professionals,Balanced Growth,Tier 1,Allen Advisor,Noah Rosa Education,23.951343513153336,2. <=25%,40798,170337,2020-04-22,Education,0,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1cQAG,2019-01-14,0011U00000KuFYxQAN,Noah Rosa,Affluent Professionals,Balanced Growth,Tier 1,Allen Advisor,Noah Rosa Vacation Home,82.62277624198572,5. 76-99%,113275,137099,2021-07-30,Home Purchase,1,2020-05-25
2019-02-11,2019-02-11,a091U000005MX1bQAG,2019-02-11,0011U00000KuFZ7QAN,Kirk Walton,Mass Market,Growth,Tier 1,Allen Advisor,Kirk Walton Retirement,25.58967006865487,2. <=25%,108166,422694,2031-02-08,Retirement,10,2020-05-25
2019-03-11,2019-03-11,a091U000000YJGLQA4,2018-11-26,0011U00000Kcp1LQAR,Neil Symonds,Millennials,Aggressive Growth,Tier 2,Chelsea Advisor,Retirement Goals,98.51851851851852,5. 76-99%,532000,540000,2019-12-07,Retirement,0,2020-05-25
2019-03-11,2019-03-11,a091U000000YJGJQA4,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Laura's Wedding Fund,67.0,4. 51-75%,67000,100000,2021-03-19,Other,0,2020-05-25
2019-03-11,2019-03-11,a091U000005IYW5QAO,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Retirement Fund 2050,15.0,2. <=25%,150000,1000000,2050-01-23,Retirement,29,2020-05-25
2019-03-11,2019-03-11,a091U000000YJGIQA4,2018-11-26,0011U00000Kcp1NQAR,Rachel Adams,Millennials,Balanced Growth,Tier 2,Brenda Banker,Tahoe Vacation Home,62.22222222222222,4. 51-75%,280000,450000,2022-03-20,Home Purchase,1,2020-05-25
2019-03-11,2019-03-11,a091U000000YJGKQA4,2018-11-26,0011U00000Kcp1MQAR,Nigel Adams,Mass Market,Growth,Tier 2,Allen Advisor,Education Savings for Matt,25.0,2. <=25%,75000,300000,2022-03-20,Education,1,2020-05-25
2019-03-11,2019-03-11,a091U000005IT9DQAW,2018-11-26,0011U00000KuWpYQAV,Fredericka Mccullough,Affluent Professionals,Growth,Tier 3,Allen Advisor,Home Purchase,18.5,2. <=25%,37000,200000,2021-10-26,Home Purchase,1,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXHQA3,Hedley Church,Affluent Professionals,Income,Tier 1,Allen Advisor,Hedley Church Vacation Home,16.903140164951147,2. <=25%,15535,91906,2020-04-26,Home Purchase,0,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXHQA3,Hedley Church,Affluent Professionals,Income,Tier 1,Allen Advisor,Hedley Church Retirement,21.661998807437254,2. <=25%,59942,276715,2031-11-23,Retirement,11,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1gQAG,2018-11-26,0011U00000KuFXJQA3,Zane Cervantes,Mass Market,Growth,Tier 1,Allen Advisor,Zane Cervantes Other,15.973864826088644,2. <=25%,8239,51578,2021-02-17,Other,0,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXJQA3,Zane Cervantes,Mass Market,Growth,Tier 1,Allen Advisor,Zane Cervantes Education,28.30915872358061,3. 26-50%,61479,217170,2023-05-12,Education,2,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXNQA3,Hasad Madden,Affluent Professionals,Income,Tier 3,Allen Advisor,Hasad Madden Retirement,52.45280893814479,4. 51-75%,232859,443940,2053-11-17,Retirement,33,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXNQA3,Hasad Madden,Affluent Professionals,Income,Tier 3,Allen Advisor,Hasad Madden Education,47.555806725063576,3. 26-50%,87516,184028,2088-11-08,Education,68,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFXVQA3,Abel Sanchez,Mass Market,Aggressive Growth,Tier 2,Brenda Banker,Abel Sanchez Education,29.891526629323373,3. 26-50%,33619,112470,2020-11-12,Education,0,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXfQAN,Xanthus Wilkins,Retired,Aggressive Growth,Tier 3,Brenda Banker,Xanthus Wilkins Vacation Home,76.18079189839794,5. 76-99%,91775,120470,2020-06-29,Home Purchase,0,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXfQAN,Xanthus Wilkins,Retired,Aggressive Growth,Tier 3,Brenda Banker,Xanthus Wilkins Vacation Home,64.87887511686677,4. 51-75%,70088,108029,2022-01-31,Home Purchase,1,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXtQAN,Blaze Pennington,Millennials,Balanced Growth,Tier 1,Allen Advisor,Blaze Pennington Vacation Home,39.77793700447971,3. 26-50%,68284,171663,2020-08-14,Home Purchase,0,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFXzQAN,Seth Frost,Millennials,Growth,Tier 1,Chelsea Advisor,Seth Frost Retirement,19.978884272188544,2. <=25%,29331,146810,2031-11-23,Retirement,11,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1cQAG,2018-11-26,0011U00000KuFXzQAN,Seth Frost,Millennials,Growth,Tier 1,Chelsea Advisor,Seth Frost Vacation Home,57.35281210076166,4. 51-75%,58809,102539,2044-11-19,Home Purchase,24,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY0QAN,Orla Weeks,Affluent Professionals,Income,Tier 3,Allen Advisor,Orla Weeks Education,41.69969380091282,3. 26-50%,36089,86545,2020-04-15,Education,0,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY2QAN,Odysseus Ortiz,Affluent Professionals,Aggressive Growth,Tier 2,Allen Advisor,Odysseus Ortiz Education,90.71863985071532,5. 76-99%,218768,241150,2020-12-21,Education,0,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1WQAW,2018-11-26,0011U00000KuFY2QAN,Odysseus Ortiz,Affluent Professionals,Aggressive Growth,Tier 2,Allen Advisor,Odysseus Ortiz Education,43.34526100941727,3. 26-50%,33554,77411,2023-01-16,Education,2,2020-05-25
2019-03-11,2019-03-11,a091U000005MX1bQAG,2018-11-26,0011U00000KuFY4QAN,Marny Ford,High Net Worth Families,Aggressive Growth,Tier 1,Allen Advisor,Marny Ford Retirement,15.316438402950922,2. <=25%,44845,292790,2048-11-18,Retirement,28,2020-05-25
