"OWNERID","PRIMARYCONTACTGENDER","ACCOUNTNUMBER","OWNERSTATE","RISKTOLERANCE","INVESTMENTOBJECTIVES","AUMBUCKET","RELATIONSHIPSTARTDATE","RECORDTYPENAME","OWNERROLENAME","OWNERSMALLPHOTOURL","ID","HOUSEHOLDCOMPUTED","REVIEWFREQUENCY","BILLINGSTATE","CLIENTCATEGORYCUSTOM","NEXTREVIEW","OWNERNAME","NAME","LEADORCONTACTID","NETWORTHBUCKET","OWNEREMAIL","ROLLUPHOUSEHOLDNAME","AGEBUCKET","PHONE","SERVICEMODEL","FINANCIALINTERESTS","CREATEDDATE","OWNERCITY","MARKETINGSEGMENT","SAMPLEACCOUNT","INVESTMENTEXPERIENCE","LastProcessedDate","LASTINTERACTION","PRIMARYCONTACTEMAIL","BILLINGPOSTALCODE","CLIENTCATEGORY","LASTREVIEW","BILLINGCOUNTRY","YEARSSINCECLIENTBUCKET","CUSTOMERSEGMENT","HOUSEHOLDSIZETEXT","TOTALHELDFINACCTSPRIMARYOWNER","AUA","HOUSEHOLDSIZE","AUM","YEARSSINCECLIENT","TOTALAUMPRIMARYOWNER","TOTALHELDFINACCTSJOINTOWNER","PRIMARYCONTACTAGE","WALLETSHARE","HELDAWAY","DAYSSINCELASTINTERACTION","TOTALAUMJOINTOWNER","TOTALFINACCTSJOINTOWNER","TOTALNUMBEROFFINACCOUNTSPRIMARYOWNER","PRIMARYCONTACTANNUALINCOME","TOTALFINANCIALACCOUNTS","TOTALFINACCTSPRIMARYOWNER","NETWORTH"
"0051U000005JQyrQAG","Female","13","IL","Moderate","Growth","2. Between 500K and 2M","2017-07-16","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXJQA3","Zane Cervantes","Monthly","CA","3 - Silver","2020-05-20","Allen Advisor","Zane Cervantes","0011U00000KulRbQAJ","2. Between 500K and 2M","allen.advisor@example.com","Zane Cervantes","3. 30-49","283-507-6730","Tier 1","Fixed Income","2018-11-26","Chicago","Mass Market","false","Moderately Inexperienced","2020-05-25","2020-05-01","user-13@fsc-demo.com","96109","Silver","2020-04-14","USA","2. Between 1 and 3 years","Long Term Growth","4",423823.9,423823.9,4,979379,1,979379,0,44,0.3,423823.9,24,0,0,5,57253,1403202.9,1403202.9,1403202.9
"0051U000005L4E9QAK","Male","15","CA","Aggresive","Aggressive Growth","1. Less than 500K","2012-07-31","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXLQA3",,"Quarterly","NJ","1 - Platinum","2018-12-11","Brenda Banker","Akeem Head","0031U00000MrehAQAR","1. Less than 500K","sunil.dixit@example.com",,"3. 30-49","449-489-7767","Tier 3","Fixed Income","2018-11-26","San Francisco","Mass Market","false","Moderately Experienced","2020-05-25","2018-11-22","user-15@fsc-demo.com","8030","Platinum","2018-11-02","USA","4. Between 5 and 10 Years","Mass Affluent","0",245486,245486,0,182826,6,182826,0,34,0.57,245486,550,0,0,2,191895,428312,428312,428312
"0051U000005JQyrQAG","Male","16","IL","None","Growth","1. Less than 500K","2017-05-30","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXMQA3",,"Annually","PA","2 - Gold","2018-12-22","Allen Advisor","Quinn Cummings","0031U00000MrehBQAR","2. Between 500K and 2M","allen.advisor@example.com",,"3. 30-49","236-474-6365","Tier 1","College Planning","2018-11-26","Chicago","Retired","false","Inexperienced","2020-05-25","2018-11-19","user-16@fsc-demo.com","15610","Gold","2018-11-14","USA","2. Between 1 and 3 years","Long Term Growth","0",358652.83,358652.83,0,254886,1,254886,0,47,0.58,358652.83,553,0,0,4,194677,613538.83,613538.83,613538.83
"0051U000005JQyrQAG","Female","18","IL","Moderate","Balanced Growth","1. Less than 500K","2015-05-09","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXOQA3",,"Quarterly","FL","2 - Gold","2020-06-10","Allen Advisor","Alfreda Pierce","0011U00000KulRbQAJ","2. Between 500K and 2M","allen.advisor@example.com",,"4. 50-69","462-204-8581","Tier 3","Retirement","2018-11-26","Chicago","High Net Worth Families","false","Experienced","2020-05-25","2020-05-16","user-18@fsc-demo.com","32617","Gold","2020-05-07","USA","3. Between 3 and 5 years","Mass Affluent","0",287951.4,287951.4,0,388677,3,388677,0,51,0.43,287951.4,9,0,0,3,216556,676628.4,676628.4,676628.4
"0051U000005L6eJQAS","Female","21","FL","None","Growth","2. Between 500K and 2M","2018-04-07","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXRQA3",,"Quarterly","TX","3 - Silver","2018-12-13","Chelsea Advisor","Sloane Holland","0031U00000MrehEQAR","2. Between 500K and 2M","ryan.dobson@example.com",,"4. 50-69","432-171-1351","Tier 1","Municipal Bonds","2018-11-26","Florida","Affluent Professionals","false","Moderately Inexperienced","2020-05-25","2018-11-26","user-21@fsc-demo.com","75001","Silver","2018-11-14","USA","1. Less than 1 year","Long Term Growth","0",303131,303131,0,686143,0,686143,0,66,0.31,303131,546,0,0,4,134386,989274,989274,989274
"0051U000005JQyrQAG","Female","24","IL","None","Growth","1. Less than 500K","2014-03-27","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXUQA3",,"Monthly","TX","1 - Platinum","2018-12-16","Allen Advisor","Britanni Garcia","0011U00000KulRbQAJ","2. Between 500K and 2M","allen.advisor@example.com",,"4. 50-69","324-128-9188","Tier 1","Municipal Bonds","2018-11-26","Chicago","Millennials","false","Moderately Experienced","2020-05-25","2018-11-19","user-24@fsc-demo.com","75750","Platinum","2018-11-05","USA","3. Between 3 and 5 years","Mass Affluent","0",303182.9,303182.9,0,478126,4,478126,0,59,0.39,303182.9,553,0,0,4,108264,781308.9,781308.9,781308.9
"0051U000005JQyrQAG","Female","28","IL","Conservative","Growth","1. Less than 500K","2013-01-15","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXYQA3",,"Quarterly","NJ","3 - Silver","2018-12-21","Allen Advisor","Elizabeth Avila","0011U00000KulRbQAJ","2. Between 500K and 2M","allen.advisor@example.com",,"3. 30-49","246-987-6407","Tier 3","College Planning","2018-11-26","Chicago","Mass Market","false","Inexperienced","2020-05-25","2018-11-24","user-28@fsc-demo.com","8219","Silver","2018-10-28","USA","4. Between 5 and 10 Years","Mass Affluent","0",230731,230731,0,421883,5,421883,0,38,0.35,230731,548,0,0,4,169338,652614,652614,652614
"0051U000005L4E9QAK","Female","31","CA","Moderate","Aggressive Growth","1. Less than 500K","2014-08-23","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXbQAN",,"Annually","FL","1 - Platinum","2018-12-25","Brenda Banker","Kato Vega","0011U00000KulRbQAJ","1. Less than 500K","sunil.dixit@example.com",,"3. 30-49","537-383-7832","Tier 1","Energy","2018-11-26","San Francisco","Millennials","false","Inexperienced","2020-05-25","2018-11-26","user-31@fsc-demo.com","32329","Platinum","2018-11-20","USA","3. Between 3 and 5 years","Long Term Growth","0",312156,312156,0,164510,4,164510,0,35,0.65,312156,546,0,0,3,112865,476666,476666,476666
"0051U000005KhW6QAK","Female","32","NY","Moderate","Income","2. Between 500K and 2M","2013-12-09","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXcQAN","Travis Jacobson","Quarterly","TX","3 - Silver","2018-12-14","Mark Garet","Travis Jacobson","0011U00000KulRbQAJ","2. Between 500K and 2M","mark.garet@example.com","Travis Jacobson","3. 30-49","238-195-1222","Tier 3","Municipal Bonds","2018-11-26","New York","Mass Market","false","Experienced","2020-05-25","2018-11-25","user-32@fsc-demo.com","75750","Silver","2018-11-19","USA","3. Between 3 and 5 years","Mass Affluent","2",468343.1,468343.1,2,613820,4,613820,0,37,0.43,468343.1,547,0,0,3,172395,1082163.1,1082163.1,1082163.1
"0051U000005L4E9QAK","Male","33","CA","Aggresive","Income","2. Between 500K and 2M","2010-09-06","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXdQAN",,"Annually","NJ","2 - Gold","2018-12-21","Brenda Banker","Penelope Solis","0031U00000MrehJQAR","2. Between 500K and 2M","sunil.dixit@example.com",,"2. 18-29","388-645-6749","Tier 1","Municipal Bonds","2018-11-26","San Francisco","Mass Market","false","Moderately Inexperienced","2020-05-25","2018-11-26","user-33@fsc-demo.com","8032","Gold","2018-11-10","USA","4. Between 5 and 10 Years","Mass Affluent","0",293051.8,293051.8,0,503587,8,503587,0,23,0.37,293051.8,546,0,0,4,248033,796638.8,796638.8,796638.8
"0051U000005JQyrQAG","Male","34","IL","Conservative","Income","1. Less than 500K","2011-02-17","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXeQAN",,"Annually","NJ","3 - Silver","2018-12-21","Allen Advisor","Ramona Hamilton","0031U00000MrehKQAR","1. Less than 500K","allen.advisor@example.com",,"4. 50-69","551-260-1941","Tier 3","Technology","2018-11-26","Chicago","Affluent Professionals","false","Experienced","2020-05-25","2018-11-25","user-34@fsc-demo.com","8038","Silver","2018-11-24","USA","4. Between 5 and 10 Years","Long Term Growth","0",177003,177003,0,225191,7,225191,0,57,0.44,177003,547,0,0,2,183295,402194,402194,402194
"0051U000005L6eJQAS","Male","36","FL","Aggresive","Balanced Growth","1. Less than 500K","2009-02-24","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXgQAN",,"Quarterly","NY","2 - Gold","2018-12-26","Chelsea Advisor","Palmer Macdonald","0011U00000KulRbQAJ","1. Less than 500K","ryan.dobson@example.com",,"3. 30-49","401-708-1443","Tier 1","College Planning","2018-11-26","Florida","Millennials","false","Inexperienced","2020-05-25","2018-11-09","user-36@fsc-demo.com","10457","Gold","2018-10-31","USA","4. Between 5 and 10 Years","Long Term Growth","0",112419,112419,0,184790,9,184790,0,30,0.38,112419,563,0,0,3,211846,297209,297209,297209
"0051U000005L4E9QAK","Female","39","CA","Aggresive","Aggressive Growth","1. Less than 500K","2013-03-25","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXjQAN",,"Quarterly","NY","2 - Gold","2018-12-18","Brenda Banker","Dorian Newton","0031U00000MrehMQAR","2. Between 500K and 2M","sunil.dixit@example.com",,"2. 18-29","303-417-9970","Tier 2","Technology","2018-11-26","San Francisco","Mass Market","false","Inexperienced","2020-05-25","2018-11-24","user-39@fsc-demo.com","10454","Gold","2018-11-16","USA","4. Between 5 and 10 Years","Long Term Growth","0",252356.2,252356.2,0,336729,5,336729,0,20,0.43,252356.2,548,0,0,3,238222,589085.2,589085.2,589085.2
"0051U000005JQyrQAG","Female","40","IL","Moderate","Aggressive Growth","2. Between 500K and 2M","2012-05-30","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXkQAN",,"Monthly","TX","1 - Platinum","2018-12-20","Allen Advisor","Idola Le","0031U00000MrehNQAR","2. Between 500K and 2M","allen.advisor@example.com",,"5. > 69","490-625-9605","Tier 2","College Planning","2018-11-26","Chicago","Affluent Professionals","false","Inexperienced","2020-05-25","2018-11-03","user-40@fsc-demo.com","75926","Platinum","2018-10-28","USA","4. Between 5 and 10 Years","Mass Affluent","0",435025.6,435025.6,0,720957,6,720957,0,71,0.38,435025.6,569,0,0,4,111473,1155982.6,1155982.6,1155982.6
"0051U000005L4E9QAK","Male","42","CA","None","Balanced Growth","1. Less than 500K","2016-05-06","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXmQAN","Ferris King","Monthly","NY","3 - Silver","2020-06-20","Brenda Banker","Ferris King","0031U00000MrehPQAR","2. Between 500K and 2M","sunil.dixit@example.com","Ferris King","3. 30-49","227-105-3815","Tier 3","Technology","2018-11-26","San Francisco","Mass Market","false","Inexperienced","2020-05-25","2020-05-20","user-42@fsc-demo.com","10452","Silver","2020-05-07","USA","2. Between 1 and 3 years","Mass Affluent","2",291111,291111,2,388920,2,388920,0,35,0.43,291111,5,0,0,3,214096,680031,680031,680031
"0051U000005JQyrQAG","Female","43","IL","None","Income","2. Between 500K and 2M","2012-01-21","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXnQAN",,"Quarterly","CA","1 - Platinum","2018-12-23","Allen Advisor","TaShya Perez","0031U00000MrehQQAR","2. Between 500K and 2M","allen.advisor@example.com",,"3. 30-49","525-358-7472","Tier 3","Energy","2018-11-26","Chicago","Mass Market","false","Moderately Experienced","2020-05-25","2018-11-18","user-43@fsc-demo.com","96101","Platinum","2018-11-02","USA","4. Between 5 and 10 Years","Mass Affluent","0",393908.3,393908.3,0,838692,6,838692,0,41,0.32,393908.3,554,0,0,4,116718,1232600.3,1232600.3,1232600.3
"0051U000005JQyrQAG","Female","45","IL","Conservative","Income","2. Between 500K and 2M","2014-09-18","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXpQAN",,"Monthly","CA","3 - Silver","2018-12-11","Allen Advisor","Cooper Flowers","0031U00000MrehRQAR","2. Between 500K and 2M","allen.advisor@example.com",,"2. 18-29","310-738-6625","Tier 3","Energy","2018-11-26","Chicago","High Net Worth Families","false","Inexperienced","2020-05-25","2018-11-21","user-45@fsc-demo.com","96140","Silver","2018-11-08","USA","3. Between 3 and 5 years","Long Term Growth","0",571723.4,571723.4,0,740735,4,740735,0,20,0.44,571723.4,551,0,0,5,195055,1312458.4,1312458.4,1312458.4
"0051U000005JQyrQAG","Male","46","IL","Moderate","Income","1. Less than 500K","2011-12-30","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXqQAN","Ryder Velez","Annually","NY","1 - Platinum","2018-12-16","Allen Advisor","Ryder Velez","0031U00000MrehSQAR","2. Between 500K and 2M","allen.advisor@example.com","Ryder Velez","5. > 69","272-846-6478","Tier 2","Retirement","2018-11-26","Chicago","Mass Market","false","Moderately Experienced","2020-05-25","2018-11-05","user-46@fsc-demo.com","10460","Platinum","2018-10-31","USA","4. Between 5 and 10 Years","Long Term Growth","3",297546.5,297546.5,3,483840,6,483840,0,70,0.38,297546.5,567,0,0,4,197419,781386.5,781386.5,781386.5
"0051U000005JQyrQAG","Male","48","IL","Moderate","Aggressive Growth","1. Less than 500K","2015-03-27","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXsQAN",,"Quarterly","NJ","2 - Gold","2018-12-22","Allen Advisor","Harlan Mcgowan","0011U00000KulRbQAJ","2. Between 500K and 2M","allen.advisor@example.com",,"3. 30-49","467-645-4075","Tier 3","Energy","2018-11-26","Chicago","Affluent Professionals","false","Moderately Inexperienced","2020-05-25","2018-11-24","user-48@fsc-demo.com","8038","Gold","2018-10-29","USA","3. Between 3 and 5 years","Mass Affluent","0",197783.1,197783.1,0,415890,3,415890,0,43,0.32,197783.1,548,0,0,3,112993,613673.1,613673.1,613673.1
"0051U000005JQyrQAG","Male","50","IL","None","Aggressive Growth","2. Between 500K and 2M","2017-08-13","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXuQAN",,"Quarterly","NY","1 - Platinum","2018-12-13","Allen Advisor","Marvin Garcia","0031U00000MrehUQAR","2. Between 500K and 2M","allen.advisor@example.com",,"4. 50-69","301-384-6257","Tier 1","Fixed Income","2018-11-26","Chicago","Mass Market","false","Experienced","2020-05-25","2018-11-17","user-50@fsc-demo.com","10452","Platinum","2018-11-08","USA","2. Between 1 and 3 years","Mass Affluent","0",413678.1,413678.1,0,688877,1,688877,0,52,0.38,413678.1,555,0,0,4,223919,1102555.1,1102555.1,1102555.1
"0051U000005JQyrQAG","Female","51","IL","None","Income","2. Between 500K and 2M","2013-02-17","Person Account","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXvQAN",,"Annually","CA","1 - Platinum","2018-12-26","Allen Advisor","Odysseus Grimes","0031U00000MrehVQAR","2. Between 500K and 2M","allen.advisor@example.com",,"4. 50-69","522-669-4898","Tier 3","Fixed Income","2018-11-26","Chicago","High Net Worth Families","false","Moderately Inexperienced","2020-05-25","2018-11-24","user-51@fsc-demo.com","96107","Platinum","2018-11-13","USA","4. Between 5 and 10 Years","Long Term Growth","0",470597,470597,0,599330,5,599330,0,63,0.44,470597,548,0,0,5,134548,1069927,1069927,1069927
"0051U000005L4E9QAK","Male","52","CA","Moderate","Balanced Growth","1. Less than 500K","2012-04-17","Individual","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXwQAN",,"Monthly","TX","1 - Platinum","2020-06-11","Brenda Banker","Genevieve Bauer","0031U00000MrehWQAR","2. Between 500K and 2M","sunil.dixit@example.com",,"3. 30-49","546-775-5209","Tier 3","Fixed Income","2018-11-26","San Francisco","Retired","false","Moderately Inexperienced","2020-05-25","2020-05-22","user-52@fsc-demo.com","75410","Platinum","2020-05-17","USA","4. Between 5 and 10 Years","Mass Affluent","0",265903.7,265903.7,0,350272,6,350272,0,32,0.43,265903.7,3,0,0,3,185923,616175.7,616175.7,616175.7
"0051U000005L6eJQAS","Female","55","FL","Conservative","Growth","1. Less than 500K","2016-11-06","Household","Manager","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXzQAN","Seth Frost","Annually","PA","3 - Silver","2018-12-13","Chelsea Advisor","Seth Frost","0031U00000MrehZQAR","2. Between 500K and 2M","ryan.dobson@example.com","Seth Frost","4. 50-69","307-928-8881","Tier 1","Technology","2018-11-26","Florida","Millennials","false","Experienced","2020-05-25","2018-11-25","user-55@fsc-demo.com","15610","Silver","2018-11-23","USA","2. Between 1 and 3 years","Long Term Growth","2",181525,181525,2,414283,2,414283,0,57,0.3,181525,547,0,0,3,248561,595808,595808,595808
