"LEADSOURCE","OWNERID","OWNERSTATE","FORECASTCATEGORY","STAGENAME","CREATEDDATE","OWNERCITY","RECORDTYPENAME","ISCLOSED","ACCOUNTID","OWNERSMALLPHOTOURL","CLOSEDATE","ID","OPPORTUNITYOWNER","STAGE","ACCOUNTNAME","ISWON","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","ACTIVITYID","ACCOUNTCLIENTCATEGORY","ACCOUNTINDUSTRY","OPPORTUNITYNAME","EXPECTEDREVENUE","STAGESORTORDER","AMOUNT","DAYSSINCELASTACTIVITY","TIMEINSTAGEDURATIONSECONDS","PROBABILITY","OPPORTUNITYAGE"
"Fields Sales","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-08-12","New York","Simple","true","001B000000SS4IbIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-06-21","006B00000049VTPIA2","Mark Garet","Closed Lost","Vflash","false","2020-05-25","Affluent Professionals","Activity 374","Gold","Chemicals","Vflash - 37.5k",37500,9,37500,693,10048991,0,330
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-09-15","Chicago","Simple","true","001B000000WJDz4IAH","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-02-12","006B0000003n2AAIAY","Allen Advisor","Closed Lost","Workstream","false","2020-05-25","High Net Worth Families","Activity 555","Gold","Transportation","Workstream - 175k",175000,9,175000,815,33928696,0,296
"Fields Sales","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-12-10","New York","Channel (Partner)","true","001B000000SS3izIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-01-19","006B00000049VX5IAM","Mark Garet","Closed Lost","Valley Office Equipment","false","2020-05-25","High Net Worth Families","Activity 143","Gold","Healthcare & Life Sciences","Valley Office Equipment - 50.5k",50500,9,50500,387,47974771,0,210
"Fields Sales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-09-24","San Francisco","Simple","true","001B000000SS4qPIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-09-18","006B0000003n2hfIAA","Brenda Banker","Closed Won","SoftAware Networks","true","2020-05-25","Millennials","Activity 453","Platinum","Education","SoftAware Networks - 131k",131000,8,131000,943,3923535,100,287
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-07-16","Chicago","Simple","true","001B000000SS4wAIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-05-12","006B0000003hgoDIAQ","Allen Advisor","Closed Won","Adaptive Marketing","true","2020-05-25","Mass Market","Activity 53","Gold","Shipping","Adaptive Marketing - 125k",125000,8,125000,289,17719400,100,357
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-16","Chicago","Channel (Partner)","true","001B000000SS3heIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-09-11","006B0000004t2NbIAI","Allen Advisor","Closed Lost","Alexis Consulting","false","2020-05-25","Millennials","Activity 726","Platinum","Energy","Alexis Consulting - 27.5k",27500,9,27500,878,19861983,0,204
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-08-21","Chicago","Simple","true","001B000000WJDxSIAX","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-04-26","006B0000004t2JQIAY","Allen Advisor","Closed Lost","CHEP USA","false","2020-05-25","Retired","Activity 481","Silver","Biotechnology","CHEP USA - 23k",23000,9,23000,771,22122775,0,321
"Fields Sales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-11-14","San Francisco","Simple","true","001B000000SS4pLIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-02-28","006B00000049V6yIAE","Brenda Banker","Closed Won","Electromec Sales","true","2020-05-25","High Net Worth Families","Activity 70","Silver","Engineering","Electromec Sales - 60k",60000,8,60000,360,17535395,100,236
"Reseller","0051U000005JQyrQAG","IL","Best Case","Qualification","2019-11-30","Chicago","Channel (Partner)","false","001B000000lwNt8IAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-07-22","006B00000049VBvIAM","Allen Advisor","Qualification","Virtio","false","2020-05-25","Mass Market","Activity 208","Silver","Utilities","Virtio - 29k",29000,2,29000,220,43422350,20,220
"Fields Sales","0051U000005L6eJQAS","FL","Omitted","Closed Lost","2019-09-24","Florida","Simple","true","001B000000bwMSXIA2","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-06-04","006B00000049UlPIAU","Chelsea Advisor","Closed Lost","Powerdialers Inc","false","2020-05-25","Retired","Activity 26","Platinum","Other","Powerdialers Inc - 114.5k",114500,9,114500,265,31951718,0,287
"Reseller","0051U000005KhW6QAK","NY","Closed","Closed Won","2019-10-05","New York","Simple","true","001B000000SS448IAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-11-15","006B00000049VDCIA2","Mark Garet","Closed Won","Pogo.com","true","2020-05-25","Mass Market","Activity 317","Platinum","Technology","Pogo.com - 150k",150000,8,150000,505,35753582,100,276
"Fields Sales","0051U000005L6eJQAS","FL","Omitted","Closed Lost","2019-11-22","Florida","Simple","true","001B000000SS3hKIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-06-05","006B0000003X0xAIAS","Chelsea Advisor","Closed Lost","Aon Corporation - Parent","false","2020-05-25","Millennials","Activity 617","Platinum","Healthcare & Life Sciences","Aon Corporation - Parent - 50.5k",50500,9,50500,614,5210301,0,228
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-12-19","Chicago","Simple","true","001B000000lwNqTIAU","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-02-15","006B00000049VY6IAM","Allen Advisor","Closed Lost","Sales Consultants","false","2020-05-25","Retired","Activity 66","Silver","Construction","Sales Consultants - 62.5k",62500,9,62500,355,3509838,0,201
"Reseller","0051U000005L4E9QAK","CA","Commit","Qualification","2019-10-30","San Francisco","Channel (Partner)","false","001B000000WJEFMIA5","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-11-09","006B00000049VR7IAM","Brenda Banker","Qualification","Unitec Computer Stores Inc","false","2020-05-25","Millennials","Activity 148","Gold","Hospitality","Unitec Computer Stores Inc - 125k",125000,2,125000,245,59746076,20,251
"Telesales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-08-01","Chicago","Simple","true","001B000000SS4BnIAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-02-12","006B0000003WbmRIAS","Allen Advisor","Closed Lost","Gasdat Information System","false","2020-05-25","Millennials","Activity 611","Silver","Education","Gasdat Information System - 28.5k",28500,9,28500,393,33277693,0,341
"Reseller","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-09-07","Chicago","Simple","true","001B000000sxKEqIAM","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-05-07","006B0000004t2PoIAI","Allen Advisor","Closed Won","Liberty Financial Companies","true","2020-05-25","Mass Market","Activity 486","Platinum","Food & Beverage","Liberty Financial Companies - 24.5k",24500,8,24500,722,10116946,100,304
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-11-14","Chicago","Channel (Partner)","true","001B000000lwNs3IAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2018-09-05","006B0000004t2R1IAI","Allen Advisor","Closed Lost","Willis North America Master","false","2020-05-25","Affluent Professionals","Activity 736","Gold","Telecommunications","Willis North America Master - 37.5k",37500,9,37500,910,4551171,0,236
"Reseller","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-09-03","Florida","Channel (Partner)","true","001B000000WJE5uIAH","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-05-30","006B0000003WbKaIAK","Chelsea Advisor","Closed Won","LCP Tracker","true","2020-05-25","Affluent Professionals","Activity 43","Gold","Engineering","LCP Tracker - 50k",50000,8,50000,253,38676021,100,308
"Other","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-11-16","Chicago","Advanced","true","001B000000SS423IAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-02-09","006B0000003X10ZIAS","Allen Advisor","Closed Lost","We Recruit I.T.","false","2020-05-25","Retired","Activity 595","Silver","Media","We Recruit I.T. - 162.5k",162500,9,162500,363,27120618,0,234
"Fields Sales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-12-19","Florida","Simple","true","001B000000SS43qIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-09-10","006B00000049VCwIAM","Chelsea Advisor","Closed Won","Berlin Industries","true","2020-05-25","Millennials","Activity 332","Silver","Insurance","Berlin Industries - 27.5k",27500,8,27500,513,38378472,100,201
"Reseller","0051U000005KhW6QAK","NY","Closed","Closed Won","2019-08-30","New York","Simple","true","001B000000bwMccIAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-11-21","006B0000004t2XPIAY","Mark Garet","Closed Won","BestTransport","true","2020-05-25","Millennials","Activity 653","Platinum","Financial Services","BestTransport - 59.5k",59500,8,59500,902,51744502,100,312
"Fields Sales","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-11-22","New York","Simple","true","001B000000SS4pcIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-06-04","006B0000003hgaZIAQ","Mark Garet","Closed Lost","Bank 1st Card Services","false","2020-05-25","Mass Market","Activity 387","Silver","Communications","Bank 1st Card Services - 125k",125000,9,125000,626,59456103,0,228
"Fields Sales","0051U000005JQyrQAG","IL","Best Case","Negotiation","2019-10-22","Chicago","Channel (Partner)","false","001B000000SS4GZIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2020-07-01","006B00000049VRBIA2","Allen Advisor","Negotiation","Cardiac Science","false","2020-05-25","Affluent Professionals","Activity 150","Gold","Government","Cardiac Science - 187.5k",187500,7,187500,251,20430714,90,259
"Fields Sales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-10-07","San Francisco","Channel (Partner)","true","001B000000lwNo9IAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-11","006B00000049Um1IAE","Brenda Banker","Closed Won","Indus MIS","true","2020-05-25","Mass Market","Activity 350","Gold","Biotechnology","Indus MIS - 56k",56000,8,56000,611,4044162,100,274
"Other","0051U000005L4E9QAK","CA","Best Case","Negotiation","2019-09-06","San Francisco","Simple","false","001B000000SS48PIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-07-16","006B00000049VIjIAM","Brenda Banker","Negotiation","HRB Tax Group","false","2020-05-25","Affluent Professionals","Activity 189","Gold","Environmental","HRB Tax Group - 52.5k",52500,7,52500,270,48280181,90,305
"Fields Sales","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-07-11","New York","Simple","true","001B000000SS54dIAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-01-23","006B00000049VkGIAU","Mark Garet","Closed Lost","BlastOff!","false","2020-05-25","Millennials","Activity 116","Gold","Consulting","BlastOff! - 28k",28000,9,28000,492,34399423,0,362
"Fields Sales","0051U000005JQyrQAG","IL","Commit","Negotiation","2019-09-29","Chicago","Simple","false","001B000000WJE6PIAX","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2020-07-15","006B00000049UzzIAE","Allen Advisor","Negotiation","She & She Cleaning Services In","false","2020-05-25","Millennials","Activity 233","Gold","Transportation","She & She Cleaning Services In - 52.5k",52500,7,52500,268,22990038,90,282
"Reseller","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-08-01","Chicago","Channel (Partner)","true","001B000000sxKFIIA2","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-06-05","006B0000004t2V7IAI","Allen Advisor","Closed Lost","XML Technology Partners","false","2020-05-25","Mass Market","Activity 398","Platinum","Manufacturing","XML Technology Partners - 29k",29000,9,29000,622,2261487,0,341
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-10-07","Chicago","Channel (Partner)","true","001B000000SS454IAD","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-12-02","006B00000049VEDIA2","Allen Advisor","Closed Won","H2O Technologies","true","2020-05-25","Mass Market","Activity 297","Gold","Electronics","H2O Technologies - 32k",32000,8,32000,448,56463352,100,274
"Fields Sales","0051U000005KhW6QAK","NY","Best Case","Negotiation","2019-07-10","New York","Simple","false","001B000000WJEDvIAP","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-07-26","006B00000049VMqIAM","Mark Garet","Negotiation","InfoCast Corporation","false","2020-05-25","Retired","Activity 174","Silver","Telecommunications","InfoCast Corporation - 27.5k",27500,7,27500,349,55826020,90,363
"Fields Sales","0051U000005L4E9QAK","CA","Closed","Closed Won","2019-09-02","San Francisco","Simple","true","001B000000bwMdEIAU","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-23","006B0000003WbuSIAS","Brenda Banker","Closed Won","Origin of Life","true","2020-05-25","Retired","Activity 463","Gold","Financial Services","Origin of Life - 35k",35000,8,35000,589,3781942,100,309
"Fields Sales","0051U000005L6eJQAS","FL","Omitted","Closed Lost","2019-10-09","Florida","Simple","true","001B000000lwNoxIAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-03-15","006B00000049UrcIAE","Chelsea Advisor","Closed Lost","Aim Technology Resources","false","2020-05-25","Mass Market","Activity 255","Gold","Machinery","Aim Technology Resources - 75k",75000,9,75000,386,16415568,0,272
"Other","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-10-23","San Francisco","Simple","true","001B000000WJDwIIAX","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-02-20","006B00000049UfQIAU","Brenda Banker","Closed Lost","Advantage Mobilty Outfitters","false","2020-05-25","Mass Market","Activity 74","Silver","Education","Advantage Mobilty Outfitters - 90k",90000,9,90000,362,32607983,0,258
"Telesales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-12-13","Florida","Simple","true","001B000000SS42ZIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-03-19","006B0000003hgfaIAA","Chelsea Advisor","Closed Won","Gibson Dunn & Crutcher Llp","true","2020-05-25","High Net Worth Families","Activity 542","Platinum","Financial Services","Gibson Dunn & Crutcher Llp - 30k",30000,8,30000,690,27128844,100,207
"Fields Sales","0051U000005KhW6QAK","NY","Omitted","Closed Lost","2019-07-11","New York","Simple","true","001B000000SS4GOIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2018-09-09","006B0000003WbsPIAS","Mark Garet","Closed Lost","Advenix","false","2020-05-25","Affluent Professionals","Activity 666","Gold","Consulting","Advenix - 125k",125000,9,125000,1004,43962887,0,362
"Fields Sales","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-11-14","San Francisco","Channel (Partner)","true","001B000000sxKFDIA2","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2018-12-03","006B0000004t2UbIAI","Brenda Banker","Closed Lost","Javelin Solutions","false","2020-05-25","High Net Worth Families","Activity 572","Platinum","Shipping","Javelin Solutions - 116.5k",116500,9,116500,807,36327829,0,236
"Reseller","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-09-09","Chicago","Channel (Partner)","true","001B000000bwMZeIAM","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2020-04-27","006B00000049VB4IAM","Allen Advisor","Closed Won","Kyocera America Inc","true","2020-05-25","Affluent Professionals","Activity 47","Platinum","Government","Kyocera America Inc - 65k",65000,8,65000,313,4535942,100,302
"Fields Sales","0051U000005L4E9QAK","CA","Omitted","Closed Lost","2019-09-15","San Francisco","Simple","true","001B000000SS51QIAT","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-02-17","006B0000004t2YFIAY","Brenda Banker","Closed Lost","APW Ltd","false","2020-05-25","Affluent Professionals","Activity 552","Silver","Healthcare & Life Sciences","APW Ltd - 125k",125000,9,125000,764,31471636,0,296
"Fields Sales","0051U000005L6eJQAS","FL","Closed","Closed Won","2019-09-27","Florida","Simple","true","001B000000WJEFbIAP","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2020-05-09","006B0000003n2x1IAA","Chelsea Advisor","Closed Won","Skarlet Media Inc","true","2020-05-25","High Net Worth Families","Activity 23","Silver","Insurance","Skarlet Media Inc - 35k",35000,8,35000,284,56484978,100,284
"Fields Sales","0051U000005JQyrQAG","IL","Best Case","Discovery","2019-10-13","Chicago","Simple","false","001B000000lwNvrIAE","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-10-25","006B00000049VUrIAM","Allen Advisor","Discovery","Chaney Brooks & Co","false","2020-05-25","High Net Worth Families","Activity 147","Gold","Banking","Chaney Brooks & Co - 135k",135000,0,135000,247,1068968,0,268
"Fields Sales","0051U000005JQyrQAG","IL","Omitted","Closed Lost","2019-08-28","Chicago","Simple","true","001B000000SS3UPIA1","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-06-17","006B00000049UjyIAE","Allen Advisor","Closed Lost","Pcm/Sarcom Inc","false","2020-05-25","High Net Worth Families","Activity 388","Platinum","Engineering","Pcm/Sarcom Inc - 85k",85000,9,85000,630,52143736,0,314
"Fields Sales","0051U000005JQyrQAG","IL","Closed","Closed Won","2019-07-09","Chicago","Simple","true","001B000000SS4G1IAL","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2020-06-03","006B00000049VQkIAM","Allen Advisor","Closed Won","Computer Market Source","true","2020-05-25","Retired","Activity 54","Silver","Manufacturing","Computer Market Source - 115k",115000,8,115000,345,21863254,100,364
