"OWNERID","LEADOWNERCITY","LEADOWNERSTATE","OWNERSTATE","ACTIVITYDATE","LEADOWNERNAME","LastProcessedDate","LEADID","OWNERNAME","OWNERCITY","LEADCREATEDDATE","LEADOWNERID","TOUCHES"
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-17","Allen Advisor","2020-05-25","00Q1U000006DmDUUA0","Allen Advisor","Chicago","2020-03-29","0051U000005JQyrQAG",6
"0051U000005L4E9QAK","New York","NY","CA","2020-08-14","Mark Garet","2020-05-25","00Q1U000006DmDVUA0","Brenda Banker","San Francisco","2020-05-04","0051U000005KhW6QAK",5
"0051U000005L6eJQAS","Florida","FL","FL","2020-07-24","Chelsea Advisor","2020-05-25","00Q1U000006DmDWUA0","Chelsea Advisor","Florida","2020-05-09","0051U000005L6eJQAS",9
"0051U000005L6eJQAS","Chicago","IL","FL","2020-08-07","Allen Advisor","2020-05-25","00Q1U000006Mv0FUAS","Chelsea Advisor","Florida","2020-05-20","0051U000005JQyrQAG",5
"0051U000005L4E9QAK","San Francisco","CA","CA","2020-06-23","Brenda Banker","2020-05-25","00Q1U000006DmDXUA0","Brenda Banker","San Francisco","2020-04-07","0051U000005L4E9QAK",4
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-06-30","Brenda Banker","2020-05-25","00Q1U000006DmDYUA0","Allen Advisor","Chicago","2020-05-19","0051U000005L4E9QAK",3
"0051U000005KhW6QAK","Chicago","IL","NY","2020-07-01","Allen Advisor","2020-05-25","00Q1U000006DmDZUA0","Mark Garet","New York","2020-04-20","0051U000005JQyrQAG",3
"0051U000005JQyrQAG","Florida","FL","IL","2020-08-29","Chelsea Advisor","2020-05-25","00Q1U000006DmDaUAK","Allen Advisor","Chicago","2020-05-24","0051U000005L6eJQAS",8
"0051U000005JQyrQAG","Florida","FL","IL","2020-07-27","Chelsea Advisor","2020-05-25","00Q1U000006DmDbUAK","Allen Advisor","Chicago","2020-05-05","0051U000005L6eJQAS",10
"0051U000005L6eJQAS","Chicago","IL","FL","2020-05-04","Allen Advisor","2020-05-25","00Q1U000006DmDcUAK","Chelsea Advisor","Florida","2020-01-29","0051U000005JQyrQAG",7
"0051U000005JQyrQAG","Florida","FL","IL","2020-08-06","Chelsea Advisor","2020-05-25","00Q1U000006DmDdUAK","Allen Advisor","Chicago","2020-05-08","0051U000005L6eJQAS",4
"0051U000005L4E9QAK","New York","NY","CA","2020-06-22","Mark Garet","2020-05-25","00Q1U000006DmDeUAK","Brenda Banker","San Francisco","2020-05-04","0051U000005KhW6QAK",6
"0051U000005JQyrQAG","Chicago","IL","IL","2020-06-18","Allen Advisor","2020-05-25","00Q1U000006DmDfUAK","Allen Advisor","Chicago","2020-05-25","0051U000005JQyrQAG",8
"0051U000005L6eJQAS","Chicago","IL","FL","2020-08-12","Allen Advisor","2020-05-25","00Q1U000006DmDgUAK","Chelsea Advisor","Florida","2020-04-09","0051U000005JQyrQAG",6
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-21","Allen Advisor","2020-05-25","00Q1U000006DmDhUAK","Allen Advisor","Chicago","2020-04-01","0051U000005JQyrQAG",8
"0051U000005JQyrQAG","New York","NY","IL","2020-06-18","Mark Garet","2020-05-25","00Q1U000006DmDiUAK","Allen Advisor","Chicago","2020-05-02","0051U000005KhW6QAK",6
"0051U000005L6eJQAS","Florida","FL","FL","2020-08-19","Chelsea Advisor","2020-05-25","00Q1U000006DmDjUAK","Chelsea Advisor","Florida","2020-05-19","0051U000005L6eJQAS",9
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-14","Allen Advisor","2020-05-25","00Q1U000006DmDkUAK","Allen Advisor","Chicago","2020-04-15","0051U000005JQyrQAG",5
"0051U000005L4E9QAK","Florida","FL","CA","2020-05-10","Chelsea Advisor","2020-05-25","00Q1U000006DmDlUAK","Brenda Banker","San Francisco","2020-04-29","0051U000005L6eJQAS",5
"0051U000005L4E9QAK","San Francisco","CA","CA","2020-06-11","Brenda Banker","2020-05-25","00Q1U000006DmDmUAK","Brenda Banker","San Francisco","2020-03-30","0051U000005L4E9QAK",5
"0051U000005L4E9QAK","Chicago","IL","CA","2020-05-04","Allen Advisor","2020-05-25","00Q1U000006DmDnUAK","Brenda Banker","San Francisco","2020-04-24","0051U000005JQyrQAG",3
"0051U000005L4E9QAK","New York","NY","CA","2020-05-26","Mark Garet","2020-05-25","00Q1U000006DmDoUAK","Brenda Banker","San Francisco","2020-03-02","0051U000005KhW6QAK",7
"0051U000005JQyrQAG","Chicago","IL","IL","2020-06-27","Allen Advisor","2020-05-25","00Q1U000006DmDpUAK","Allen Advisor","Chicago","2020-05-09","0051U000005JQyrQAG",4
"0051U000005JQyrQAG","Florida","FL","IL","2020-05-23","Chelsea Advisor","2020-05-25","00Q1U000006DmDqUAK","Allen Advisor","Chicago","2020-05-13","0051U000005L6eJQAS",5
"0051U000005KhW6QAK","Chicago","IL","NY","2020-07-08","Allen Advisor","2020-05-25","00Q1U000006DmDrUAK","Mark Garet","New York","2020-04-14","0051U000005JQyrQAG",6
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-06-27","Brenda Banker","2020-05-25","00Q1U000006Mv0FUAS","Allen Advisor","Chicago","2020-05-13","0051U000005L4E9QAK",8
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-07-15","Brenda Banker","2020-05-25","00Q1U000006DmDsUAK","Allen Advisor","Chicago","2020-04-25","0051U000005L4E9QAK",7
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-08-30","Brenda Banker","2020-05-25","00Q1U000006DmDtUAK","Allen Advisor","Chicago","2020-05-14","0051U000005L4E9QAK",3
"0051U000005L4E9QAK","San Francisco","CA","CA","2020-04-25","Brenda Banker","2020-05-25","00Q1U000006DmDuUAK","Brenda Banker","San Francisco","2020-04-08","0051U000005L4E9QAK",3
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-12","Allen Advisor","2020-05-25","00Q1U000006DmDvUAK","Allen Advisor","Chicago","2020-04-25","0051U000005JQyrQAG",3
"0051U000005JQyrQAG","Chicago","IL","IL","2020-05-16","Allen Advisor","2020-05-25","00Q1U000006DmDwUAK","Allen Advisor","Chicago","2020-04-03","0051U000005JQyrQAG",5
"0051U000005L4E9QAK","Chicago","IL","CA","2020-05-15","Allen Advisor","2020-05-25","00Q1U000006DmDxUAK","Brenda Banker","San Francisco","2020-04-29","0051U000005JQyrQAG",8
"0051U000005L6eJQAS","Chicago","IL","FL","2020-08-04","Allen Advisor","2020-05-25","00Q1U000006DmDyUAK","Chelsea Advisor","Florida","2020-05-23","0051U000005JQyrQAG",5
"0051U000005L4E9QAK","Chicago","IL","CA","2020-06-22","Allen Advisor","2020-05-25","00Q1U000006DmDzUAK","Brenda Banker","San Francisco","2020-03-09","0051U000005JQyrQAG",7
"0051U000005L4E9QAK","Florida","FL","CA","2020-04-21","Chelsea Advisor","2020-05-25","00Q1U000006DmE0UAK","Brenda Banker","San Francisco","2020-04-16","0051U000005L6eJQAS",4
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-07-23","Brenda Banker","2020-05-25","00Q1U000006Mv0FUAS","Allen Advisor","Chicago","2020-05-25","0051U000005L4E9QAK",8
"0051U000005L4E9QAK","New York","NY","CA","2020-06-13","Mark Garet","2020-05-25","00Q1U000006DmE1UAK","Brenda Banker","San Francisco","2020-04-08","0051U000005KhW6QAK",10
"0051U000005L4E9QAK","Chicago","IL","CA","2020-07-07","Allen Advisor","2020-05-25","00Q1U000006DmE2UAK","Brenda Banker","San Francisco","2020-04-28","0051U000005JQyrQAG",3
"0051U000005JQyrQAG","New York","NY","IL","2020-08-09","Mark Garet","2020-05-25","00Q1U000006DmE3UAK","Allen Advisor","Chicago","2020-05-03","0051U000005KhW6QAK",4
"0051U000005JQyrQAG","New York","NY","IL","2020-08-10","Mark Garet","2020-05-25","00Q1U000006DmE4UAK","Allen Advisor","Chicago","2020-04-09","0051U000005KhW6QAK",6
"0051U000005JQyrQAG","Chicago","IL","IL","2020-08-17","Allen Advisor","2020-05-25","00Q1U000006DmE5UAK","Allen Advisor","Chicago","2020-04-24","0051U000005JQyrQAG",4
"0051U000005JQyrQAG","Chicago","IL","IL","2020-03-02","Allen Advisor","2020-05-25","00Q1U000006DmE6UAK","Allen Advisor","Chicago","2020-02-18","0051U000005JQyrQAG",10
"0051U000005L4E9QAK","Chicago","IL","CA","2020-07-18","Allen Advisor","2020-05-25","00Q1U000006DmE7UAK","Brenda Banker","San Francisco","2020-05-09","0051U000005JQyrQAG",3
"0051U000005JQyrQAG","Chicago","IL","IL","2020-06-09","Allen Advisor","2020-05-25","00Q1U000006Mv0FUAS","Allen Advisor","Chicago","2020-05-14","0051U000005JQyrQAG",5
"0051U000005JQyrQAG","Florida","FL","IL","2020-08-05","Chelsea Advisor","2020-05-25","00Q1U000006DmE8UAK","Allen Advisor","Chicago","2020-04-12","0051U000005L6eJQAS",8
"0051U000005KhW6QAK","Chicago","IL","NY","2020-07-01","Allen Advisor","2020-05-25","00Q1U000006DmE9UAK","Mark Garet","New York","2020-05-22","0051U000005JQyrQAG",10
"0051U000005JQyrQAG","Chicago","IL","IL","2020-08-19","Allen Advisor","2020-05-25","00Q1U000006DmEAUA0","Allen Advisor","Chicago","2020-04-04","0051U000005JQyrQAG",7
"0051U000005JQyrQAG","New York","NY","IL","2020-05-20","Mark Garet","2020-05-25","00Q1U000006DmEBUA0","Allen Advisor","Chicago","2020-05-12","0051U000005KhW6QAK",5
"0051U000005JQyrQAG","Chicago","IL","IL","2020-07-13","Allen Advisor","2020-05-25","00Q1U000006DmECUA0","Allen Advisor","Chicago","2020-04-27","0051U000005JQyrQAG",10
"0051U000005L4E9QAK","Chicago","IL","CA","2020-08-02","Allen Advisor","2020-05-25","00Q1U000006DmEDUA0","Brenda Banker","San Francisco","2020-04-16","0051U000005JQyrQAG",10
"0051U000005L4E9QAK","Chicago","IL","CA","2020-07-23","Allen Advisor","2020-05-25","00Q1U000006DmEEUA0","Brenda Banker","San Francisco","2020-03-26","0051U000005JQyrQAG",3
"0051U000005JQyrQAG","Chicago","IL","IL","2020-07-27","Allen Advisor","2020-05-25","00Q1U000006DmEFUA0","Allen Advisor","Chicago","2020-05-07","0051U000005JQyrQAG",5
"0051U000005L4E9QAK","Florida","FL","CA","2020-08-11","Chelsea Advisor","2020-05-25","00Q1U000006DmEGUA0","Brenda Banker","San Francisco","2020-05-24","0051U000005L6eJQAS",4
"0051U000005L6eJQAS","Chicago","IL","FL","2020-07-12","Allen Advisor","2020-05-25","00Q1U000006DmEHUA0","Chelsea Advisor","Florida","2020-04-02","0051U000005JQyrQAG",6
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-08-29","Brenda Banker","2020-05-25","00Q1U000006DmEIUA0","Allen Advisor","Chicago","2020-05-01","0051U000005L4E9QAK",6
"0051U000005L6eJQAS","Chicago","IL","FL","2020-07-27","Allen Advisor","2020-05-25","00Q1U000006DmEJUA0","Chelsea Advisor","Florida","2020-05-03","0051U000005JQyrQAG",9
"0051U000005L4E9QAK","Chicago","IL","CA","2020-06-20","Allen Advisor","2020-05-25","00Q1U000006DmEKUA0","Brenda Banker","San Francisco","2020-04-17","0051U000005JQyrQAG",4
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-05-30","Brenda Banker","2020-05-25","00Q1U000006DmELUA0","Allen Advisor","Chicago","2020-05-21","0051U000005L4E9QAK",5
"0051U000005JQyrQAG","San Francisco","CA","IL","2020-07-01","Brenda Banker","2020-05-25","00Q1U000006DmEMUA0","Allen Advisor","Chicago","2020-04-26","0051U000005L4E9QAK",8
