"ChangeReasonType","EffectiveDate","Id","LoyaltyMemberCurrency.LoyaltyProgramCurrency.IsPrimary","LoyaltyMemberCurrency.LoyaltyProgramCurrency.NQP_Currency","LoyaltyMemberCurrency.LoyaltyProgramCurrency.QP_Currency","LoyaltyMemberCurrency.LoyaltyProgramMember.AccountContact.Id","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.Birthdate","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.MobilePhone","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.Name","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.Birthdate","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.MobilePhone","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.Name","LoyaltyMemberId","LoyaltyProgramMember.Account.Name","LoyaltyProgramMember.AccountContact.Id","LoyaltyProgramMember.Contact.Birthdate","LoyaltyProgramMember.Contact.MobilePhone","LoyaltyProgramMember.Contact.Name","LoyaltyProgramMember.ContactId","LoyaltyProgramMember.EnrollmentChannel","LoyaltyProgramMember.EnrollmentDate","LoyaltyProgramMember.IsReferral","LoyaltyProgramMember.LeadOrContactId","LoyaltyProgramMember.LeadOrContactName","LoyaltyProgramMember.LoyaltyProgram.Name","LoyaltyProgramMember.MemberCity","LoyaltyProgramMember.MemberCountry","LoyaltyProgramMember.MemberId","LoyaltyProgramMember.MemberName","LoyaltyProgramMember.MemberState","LoyaltyProgramMember.MemberStatus","LoyaltyProgramMember.MemberTenureBucket","LoyaltyProgramMember.MemberType","LoyaltyProgramMember.MembershipEndDate","LoyaltyProgramMember.MembershipLastRenewalDate","LoyaltyProgramMember.MembershipNumber","LoyaltyProgramMember.ProgramId","LoyaltyProgramMember.ReferredById","LoyaltyProgramMember.Referrer.Account.Name","LoyaltyProgramMember.Referrer.Contact.Name","LoyaltyProgramMember.TransactionJournal.FirstAccrualDate","LoyaltyProgramMember.TransactionJournal.SecondAccrualDate","LoyaltyTier.LoyaltyTierGroup.IsPrimary","LoyaltyTier.LoyaltyTierGroup.Name","LoyaltyTier.Name","LoyaltyTier.SequenceNumber","LoyaltyTierGroupId","LoyaltyTierId","Name","ReasonForChange","TierExpirationDate","LastProcessedDate"
"Resolve Tier Conflict",2020-11-23,"0lyB0000000RJAkIAO",FALSE,"Points","Number of Transactions",,1981-08-01,,"Q4Data333 Trail333",,,,"0lMB0000000RIEMMA4",,,1981-08-01,,"Q4Data333 Trail333","003B000000IXi8pIAD","Web",2020-11-23,"No","003B000000IXi8pIAD","Q4Data333 Trail333","NTO Insider","San Francisco","USA","003B000000IXi8pIAD","Q4Data333 Trail333","CA","Active","5.9-12 months","Individual",,,"IndivAiK_144","0lpB0000000PBdwIAG",,,,"2020-11-07T00:00:00.000Z",,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-11-23,"0lyB0000000RJAlIAO",FALSE,"Points","Number of Transactions",,1981-08-01,,"Q4Data333 Trail333",,,,"0lMB0000000RIEMMA4",,,1981-08-01,,"Q4Data333 Trail333","003B000000IXi8pIAD","Web",2020-11-23,"No","003B000000IXi8pIAD","Q4Data333 Trail333","NTO Insider","San Francisco","USA","003B000000IXi8pIAD","Q4Data333 Trail333","CA","Active","5.9-12 months","Individual",,,"IndivAiK_144","0lpB0000000PBdwIAG",,,,"2020-11-07T00:00:00.000Z",,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-06-29,"0lyB0000000RJAmIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data334 Trail334",,,,"0lMB0000000RIENMA4",,,,,"Q4Data334 Trail334","003B000000IXi8qIAD","POS",2021-06-29,"No","003B000000IXi8qIAD","Q4Data334 Trail334","NTO Insider","Toronto","Canada","003B000000IXi8qIAD","Q4Data334 Trail334","Ontario","Active","3.3-6 months","Individual",,,"IndivAiK_135","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-06-29,"0lyB0000000RJAnIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data334 Trail334",,,,"0lMB0000000RIENMA4",,,,,"Q4Data334 Trail334","003B000000IXi8qIAD","POS",2021-06-29,"No","003B000000IXi8qIAD","Q4Data334 Trail334","NTO Insider","Toronto","Canada","003B000000IXi8qIAD","Q4Data334 Trail334","Ontario","Active","3.3-6 months","Individual",,,"IndivAiK_135","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-10-13,"0lyB0000000RJAoIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data335 Trail335",,,,"0lMB0000000RIEOMA4",,,,,"Q4Data335 Trail335","003B000000IXi8rIAD","CallCenter",2020-10-13,"No","003B000000IXi8rIAD","Q4Data335 Trail335","NTO Insider","Toronto","Canada","003B000000IXi8rIAD","Q4Data335 Trail335","Ontario","Active","6.1-2 years","Individual",,,"IndivAiK_136","0lpB0000000PBdwIAG",,,,"2021-01-20T00:00:00.000Z","2021-09-21T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2020-10-13,"0lyB0000000RJApIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data335 Trail335",,,,"0lMB0000000RIEOMA4",,,,,"Q4Data335 Trail335","003B000000IXi8rIAD","CallCenter",2020-10-13,"No","003B000000IXi8rIAD","Q4Data335 Trail335","NTO Insider","Toronto","Canada","003B000000IXi8rIAD","Q4Data335 Trail335","Ontario","Active","6.1-2 years","Individual",,,"IndivAiK_136","0lpB0000000PBdwIAG",,,,"2021-01-20T00:00:00.000Z","2021-09-21T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-09-28,"0lyB0000000RJAqIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data336 Trail336",,,,"0lMB0000000RIEPMA4",,,,,"Q4Data336 Trail336","003B000000IXi8sIAD","Social",2020-09-28,"No","003B000000IXi8sIAD","Q4Data336 Trail336","NTO Insider","Toronto","Canada","003B000000IXi8sIAD","Q4Data336 Trail336","Ontario","Active","6.1-2 years","Individual",,,"IndivAiK_137","0lpB0000000PBdwIAG",,,,"2021-03-14T00:00:00.000Z","2021-08-19T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-09-28,"0lyB0000000RJArIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data336 Trail336",,,,"0lMB0000000RIEPMA4",,,,,"Q4Data336 Trail336","003B000000IXi8sIAD","Social",2020-09-28,"No","003B000000IXi8sIAD","Q4Data336 Trail336","NTO Insider","Toronto","Canada","003B000000IXi8sIAD","Q4Data336 Trail336","Ontario","Active","6.1-2 years","Individual",,,"IndivAiK_137","0lpB0000000PBdwIAG",,,,"2021-03-14T00:00:00.000Z","2021-08-19T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-06-29,"0lyB0000000RJAsIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data337 Trail337",,,,"0lMB0000000RIEQMA4",,,,,"Q4Data337 Trail337","003B000000IXi8tIAD","Email",2021-06-29,"No","003B000000IXi8tIAD","Q4Data337 Trail337","NTO Insider","New York City","USA","003B000000IXi8tIAD","Q4Data337 Trail337","NY","Active","3.3-6 months","Individual",,,"IndivAiK_138","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-06-29,"0lyB0000000RJAtIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data337 Trail337",,,,"0lMB0000000RIEQMA4",,,,,"Q4Data337 Trail337","003B000000IXi8tIAD","Email",2021-06-29,"No","003B000000IXi8tIAD","Q4Data337 Trail337","NTO Insider","New York City","USA","003B000000IXi8tIAD","Q4Data337 Trail337","NY","Active","3.3-6 months","Individual",,,"IndivAiK_138","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-08-17,"0lyB0000000RJAuIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data338 Trail338",,,,"0lMB0000000RIERMA4",,,,,"Q4Data338 Trail338","003B000000IXi8uIAD","Web",2021-08-17,"No","003B000000IXi8uIAD","Q4Data338 Trail338","NTO Insider","New York","USA","003B000000IXi8uIAD","Q4Data338 Trail338","NY","Active","2.1-3 months","Individual",,,"IndivAiK_139","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-08-17,"0lyB0000000RJAvIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data338 Trail338",,,,"0lMB0000000RIERMA4",,,,,"Q4Data338 Trail338","003B000000IXi8uIAD","Web",2021-08-17,"No","003B000000IXi8uIAD","Q4Data338 Trail338","NTO Insider","New York","USA","003B000000IXi8uIAD","Q4Data338 Trail338","NY","Active","2.1-3 months","Individual",,,"IndivAiK_139","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-11-25,"0lyB0000000RJAwIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data339 Trail339",,,,"0lMB0000000RIESMA4",,,,,"Q4Data339 Trail339","003B000000IXi8vIAD","POS",2020-11-25,"No","003B000000IXi8vIAD","Q4Data339 Trail339","NTO Insider","New York","USA","003B000000IXi8vIAD","Q4Data339 Trail339","NY","Active","5.9-12 months","Individual",,,"IndivAiK_140","0lpB0000000PBdwIAG",,,,"2021-01-08T00:00:00.000Z","2021-09-27T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-11-25,"0lyB0000000RJAxIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data339 Trail339",,,,"0lMB0000000RIESMA4",,,,,"Q4Data339 Trail339","003B000000IXi8vIAD","POS",2020-11-25,"No","003B000000IXi8vIAD","Q4Data339 Trail339","NTO Insider","New York","USA","003B000000IXi8vIAD","Q4Data339 Trail339","NY","Active","5.9-12 months","Individual",,,"IndivAiK_140","0lpB0000000PBdwIAG",,,,"2021-01-08T00:00:00.000Z","2021-09-27T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-05-17,"0lyB0000000RJAyIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data340 Trail340",,,,"0lMB0000000RIETMA4",,,,,"Q4Data340 Trail340","003B000000IXi8wIAD","CallCenter",2021-05-17,"No","003B000000IXi8wIAD","Q4Data340 Trail340","NTO Insider","San Francisco","USA","003B000000IXi8wIAD","Q4Data340 Trail340","CA","Active","3.3-6 months","Individual",,,"IndivAiK_141","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-05-17,"0lyB0000000RJAzIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data340 Trail340",,,,"0lMB0000000RIETMA4",,,,,"Q4Data340 Trail340","003B000000IXi8wIAD","CallCenter",2021-05-17,"No","003B000000IXi8wIAD","Q4Data340 Trail340","NTO Insider","San Francisco","USA","003B000000IXi8wIAD","Q4Data340 Trail340","CA","Active","3.3-6 months","Individual",,,"IndivAiK_141","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-06-22,"0lyB0000000RJB0IAO",FALSE,"Points","Number of Transactions",,,,"Q4Data341 Trail341",,,,"0lMB0000000RIEUMA4",,,,,"Q4Data341 Trail341","003B000000IXi8xIAD","Social",2021-06-22,"No","003B000000IXi8xIAD","Q4Data341 Trail341","NTO Insider","New Jersey","USA","003B000000IXi8xIAD","Q4Data341 Trail341","NJ","Active","3.3-6 months","Individual",,,"IndivAiK_142","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-06-22,"0lyB0000000RJB1IAO",FALSE,"Points","Number of Transactions",,,,"Q4Data341 Trail341",,,,"0lMB0000000RIEUMA4",,,,,"Q4Data341 Trail341","003B000000IXi8xIAD","Social",2021-06-22,"No","003B000000IXi8xIAD","Q4Data341 Trail341","NTO Insider","New Jersey","USA","003B000000IXi8xIAD","Q4Data341 Trail341","NJ","Active","3.3-6 months","Individual",,,"IndivAiK_142","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-11-28,"0lyB0000000RJB2IAO",FALSE,"Points","Number of Transactions",,,,"Q4Data342 Trail342",,,,"0lMB0000000RIEVMA4",,,,,"Q4Data342 Trail342","003B000000IXi8yIAD","Email",2020-11-28,"No","003B000000IXi8yIAD","Q4Data342 Trail342","NTO Insider","San Francisco","USA","003B000000IXi8yIAD","Q4Data342 Trail342","CA","Active","5.9-12 months","Individual",,,"IndivAiK_143","0lpB0000000PBdwIAG",,,,"2020-05-20T00:00:00.000Z","2021-04-03T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-11-28,"0lyB0000000RJB3IAO",FALSE,"Points","Number of Transactions",,,,"Q4Data342 Trail342",,,,"0lMB0000000RIEVMA4",,,,,"Q4Data342 Trail342","003B000000IXi8yIAD","Email",2020-11-28,"No","003B000000IXi8yIAD","Q4Data342 Trail342","NTO Insider","San Francisco","USA","003B000000IXi8yIAD","Q4Data342 Trail342","CA","Active","5.9-12 months","Individual",,,"IndivAiK_143","0lpB0000000PBdwIAG",,,,"2020-05-20T00:00:00.000Z","2021-04-03T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-07-29,"0lyB0000000RJB4IAO",FALSE,"Points","Number of Transactions",,,,"Q4Data343 Trail343",,,,"0lMB0000000RIEWMA4",,,,,"Q4Data343 Trail343","003B000000IXi8zIAD","Email",2021-07-29,"No","003B000000IXi8zIAD","Q4Data343 Trail343","NTO Insider","Toronto","Canada","003B000000IXi8zIAD","Q4Data343 Trail343","Ontario","Active","2.1-3 months","Individual",,,"IndivAiK_146","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-07-29,"0lyB0000000RJB5IAO",FALSE,"Points","Number of Transactions",,,,"Q4Data343 Trail343",,,,"0lMB0000000RIEWMA4",,,,,"Q4Data343 Trail343","003B000000IXi8zIAD","Email",2021-07-29,"No","003B000000IXi8zIAD","Q4Data343 Trail343","NTO Insider","Toronto","Canada","003B000000IXi8zIAD","Q4Data343 Trail343","Ontario","Active","2.1-3 months","Individual",,,"IndivAiK_146","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2021-07-20,"0lyB0000000RJB6IAO",FALSE,"Points","Number of Transactions",,,,"Perf178 Trail178",,,,"0lMB0000000RIEXMA4",,,,,"Perf178 Trail178","003B000000IXhuMIAT","Web",2021-07-20,"No","003B000000IXhuMIAT","Perf178 Trail178","NTO Insider","San Francisco","USA","003B000000IXhuMIAT","Perf178 Trail178","CA","Active","3.3-6 months","Individual",,,"IndivAiK_147","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2021-07-20,"0lyB0000000RJB7IAO",FALSE,"Points","Number of Transactions",,,,"Perf178 Trail178",,,,"0lMB0000000RIEXMA4",,,,,"Perf178 Trail178","003B000000IXhuMIAT","Web",2021-07-20,"No","003B000000IXhuMIAT","Perf178 Trail178","NTO Insider","San Francisco","USA","003B000000IXhuMIAT","Perf178 Trail178","CA","Active","3.3-6 months","Individual",,,"IndivAiK_147","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2021-03-08,"0lyB0000000RJB8IAO",FALSE,"Points","Number of Transactions",,,,"Perf179 Trail179",,,,"0lMB0000000RIEYMA4",,,,,"Perf179 Trail179","003B000000IXhuNIAT","POS",2021-03-08,"No","003B000000IXhuNIAT","Perf179 Trail179","NTO Insider","New Jersey","USA","003B000000IXhuNIAT","Perf179 Trail179","NJ","Active","4.6-9 months","Individual",,,"IndivAiK_148","0lpB0000000PBdwIAG",,,,"2020-06-21T00:00:00.000Z","2021-08-03T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2021-03-08,"0lyB0000000RJB9IAO",FALSE,"Points","Number of Transactions",,,,"Perf179 Trail179",,,,"0lMB0000000RIEYMA4",,,,,"Perf179 Trail179","003B000000IXhuNIAT","POS",2021-03-08,"No","003B000000IXhuNIAT","Perf179 Trail179","NTO Insider","New Jersey","USA","003B000000IXhuNIAT","Perf179 Trail179","NJ","Active","4.6-9 months","Individual",,,"IndivAiK_148","0lpB0000000PBdwIAG",,,,"2020-06-21T00:00:00.000Z","2021-08-03T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
