"EffectiveDate","ExpirationDate","Id","LoyaltyMemberCurrency.LoyaltyProgramCurrency.NQP_Currency","LoyaltyMemberCurrency.LoyaltyProgramCurrency.QP_Currency","LoyaltyMemberCurrency.LoyaltyProgramMember.LoyaltyProgram.Name","LoyaltyMemberCurrency.LoyaltyProgramMember.MemberName","LoyaltyMemberCurrency.LoyaltyProgramMember.MemberType","LoyaltyMemberTier.LoyaltyTier.LoyaltyTierGroup.Name","LoyaltyMemberTier.LoyaltyTier.Name","LoyaltyProgramMemberId","PromotionId","Status","TransactionJournalId","UseDate","VoucherDefinition.CostPerVoucher","VoucherDefinition.EffectiveDate","VoucherDefinition.ExpirationDate","VoucherDefinition.Type","VoucherDefinitionId","LastProcessedDate"
2020-07-31,2021-07-30,"0kDB0000000CaSOMA0","Points","Number of Transactions","NTO Insider","Perf100 Trail100","Individual","Lifetime","Premium","0lMB0000000RII9MAO","0c8B0000000GpaLIAS","Redeemed","0lVB0000000VSE6MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSPMA0","Points","Number of Transactions","NTO Insider","Perf99 Trail99","Individual","Lifetime","Premium","0lMB0000000RII8MAO","0c8B0000000GpaKIAS","Redeemed","0lVB0000000VSE5MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSQMA0","Points","Number of Transactions","NTO Insider","Perf98 Trail98","Individual","Lifetime","Premium","0lMB0000000RII7MAO","0c8B0000000GpaJIAS","Redeemed","0lVB0000000VSE4MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSRMA0","Points","Number of Transactions","NTO Insider","Perf97 Trail97","Individual","Lifetime","Elite","0lMB0000000RII6MAO","0c8B0000000GpaIIAS","Redeemed","0lVB0000000VSE3MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSSMA0","Points","Number of Transactions","NTO Insider","Perf96 Trail96","Individual","Lifetime","Premium","0lMB0000000RII5MAO","0c8B0000000GpaHIAS","Redeemed","0lVB0000000VSE2MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSTMA0","Points","Number of Transactions","NTO Insider","Perf95 Trail95","Individual","Lifetime","Premium","0lMB0000000RII4MAO","0c8B0000000GpaGIAS","Redeemed","0lVB0000000VSE1MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSUMA0","Points","Number of Transactions","NTO Insider","Perf94 Trail94","Individual","Lifetime","Premium","0lMB0000000RII3MAO","0c8B0000000GpaFIAS","Redeemed","0lVB0000000VSE0MAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSVMA0","Points","Number of Transactions","NTO Insider","Perf200 Trail200","Individual","Lifetime","Premium","0lMB0000000RII2MAO","0c8B0000000GpaEIAS","Redeemed","0lVB0000000VSDzMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSWMA0","Points","Number of Transactions","NTO Insider","Perf199 Trail199","Individual","Lifetime","Premium","0lMB0000000RII1MAO","0c8B0000000GpaDIAS","Redeemed","0lVB0000000VSDyMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSXMA0","Points","Number of Transactions","NTO Insider","Perf198 Trail198","Individual","Lifetime","Premium","0lMB0000000RII0MAO","0c8B0000000GpaCIAS","Redeemed","0lVB0000000VSDxMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSYMA0","Points","Number of Transactions","NTO Insider","Perf197 Trail197","Individual","Lifetime","Premium","0lMB0000000RIHzMAO","0c8B0000000GpaBIAS","Redeemed","0lVB0000000VSDwMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSZMA0","Points","Number of Transactions","NTO Insider","Perf196 Trail196","Individual","Lifetime","Premium","0lMB0000000RIHyMAO","0c8B0000000GpaAIAS","Redeemed","0lVB0000000VSDvMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSaMAK","Points","Number of Transactions","NTO Insider","Perf93 Trail93","Individual","Lifetime","Premium","0lMB0000000RIHxMAO","0c8B0000000Gpa9IAC","Redeemed","0lVB0000000VSDuMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSbMAK","Points","Number of Transactions","NTO Insider","Perf92 Trail92","Individual","Lifetime","Premium","0lMB0000000RIHwMAO","0c8B0000000Gpa8IAC","Redeemed","0lVB0000000VSDtMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaScMAK","Points","Number of Transactions","NTO Insider","Perf91 Trail91","Individual","Lifetime","Premium","0lMB0000000RIHvMAO","0c8B0000000GpaWIAS","Redeemed","0lVB0000000VSDsMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSdMAK","Points","Number of Transactions","NTO Insider","Perf90 Trail90","Individual","Lifetime","Premium","0lMB0000000RIHuMAO","0c8B0000000GpaaIAC","Redeemed","0lVB0000000VSDrMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSeMAK","Points","Number of Transactions","NTO Insider","Perf89 Trail89","Individual","Lifetime","Premium","0lMB0000000RIHtMAO","0c8B0000000GpabIAC","Redeemed","0lVB0000000VSDqMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSfMAK","Points","Number of Transactions","NTO Insider","Perf88 Trail88","Individual","Lifetime","Premium","0lMB0000000RIHsMAO","0c8B0000000GpacIAC","Redeemed","0lVB0000000VSDpMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSgMAK","Points","Number of Transactions","NTO Insider","Perf87 Trail87","Individual","Lifetime","Premium","0lMB0000000RIHrMAO","0c8B0000000GpadIAC","Redeemed","0lVB0000000VSDoMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaShMAK","Points","Number of Transactions","NTO Insider","Perf71 Trail71","Individual","Lifetime","Premium","0lMB0000000RIHqMAO","0c8B0000000GpaeIAC","Redeemed","0lVB0000000VSDnMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSiMAK","Points","Number of Transactions","NTO Insider","Perf86 Trail86","Individual","Lifetime","Premium","0lMB0000000RIF3MAO","0c8B0000000GpafIAC","Redeemed","0lVB0000000VSDmMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSjMAK","Points","Number of Transactions","NTO Insider","Perf85 Trail85","Individual","Lifetime","Premium","0lMB0000000RIF2MAO","0c8B0000000GpagIAC","Redeemed","0lVB0000000VSDlMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSkMAK","Points","Number of Transactions","NTO Insider","Perf84 Trail84","Individual","Lifetime","Premium","0lMB0000000RIF1MAO","0c8B0000000GpahIAC","Redeemed","0lVB0000000VSDkMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSlMAK","Points","Number of Transactions","NTO Insider","Adeline Allocco","Individual","Lifetime","Premium","0lMB0000000RIF0MAO","0c8B0000000GpaiIAC","Redeemed","0lVB0000000VSDjMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSmMAK","Points","Number of Transactions","NTO Insider","Perf82 Trail82","Individual","Lifetime","Premium","0lMB0000000RIEzMAO","0c8B0000000GpajIAC","Redeemed","0lVB0000000VSDiMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSnMAK","Points","Number of Transactions","NTO Insider","Perf81 Trail81","Individual","Lifetime","Premium","0lMB0000000RIEyMAO","0c8B0000000GpakIAC","Redeemed","0lVB0000000VSDhMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSoMAK","Points","Number of Transactions","NTO Insider","Perf80 Trail80","Individual","Lifetime","Premium","0lMB0000000RIExMAO","0c8B0000000GpalIAC","Redeemed","0lVB0000000VSDgMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSpMAK","Points","Number of Transactions","NTO Insider","Perf79 Trail79","Individual","Lifetime","Premium","0lMB0000000RIEwMAO","0c8B0000000GpamIAC","Redeemed","0lVB0000000VSDfMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSqMAK","Points","Number of Transactions","NTO Insider","Perf78 Trail78","Individual","Lifetime","Premium","0lMB0000000RIEvMAO","0c8B0000000GpanIAC","Redeemed","0lVB0000000VSDeMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSrMAK","Points","Number of Transactions","NTO Insider","Perf77 Trail77","Individual","Lifetime","Premium","0lMB0000000RIEuMAO","0c8B0000000GpaoIAC","Redeemed","0lVB0000000VSDdMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSsMAK","Points","Number of Transactions","NTO Insider","Perf76 Trail76","Individual","Lifetime","Premium","0lMB0000000RIEtMAO","0c8B0000000GpapIAC","Redeemed","0lVB0000000VSDcMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaStMAK","Points","Number of Transactions","NTO Insider","Perf75 Trail75","Individual","Lifetime","Premium","0lMB0000000RIEsMAO","0c8B0000000GpaqIAC","Redeemed","0lVB0000000VSDbMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSuMAK","Points","Number of Transactions","NTO Insider","Perf74 Trail74","Individual","Lifetime","Premium","0lMB0000000RIErMAO","0c8B0000000GparIAC","Redeemed","0lVB0000000VSDaMAO",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSvMAK","Points","Number of Transactions","NTO Insider","Perf73 Trail73","Individual","Lifetime","Premium","0lMB0000000RIEqMAO","0c8B0000000GpasIAC","Redeemed","0lVB0000000VSDZMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSwMAK","Points","Number of Transactions","NTO Insider","Perf72 Trail72","Individual","Lifetime","Premium","0lMB0000000RIEpMAO","0c8B0000000GpatIAC","Redeemed","0lVB0000000VSDYMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-07-31,2021-07-30,"0kDB0000000CaSxMAK","Points","Number of Transactions","NTO Insider","Perf195 Trail195","Individual","Lifetime","Premium","0lMB0000000RIEoMAO","0c8B0000000GpauIAC","Redeemed","0lVB0000000VSDXMA4",2021-05-18,10,2020-07-31,,"FixedValue","2XaB0000000KyjbKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaSyMAK","Points","Number of Transactions","NTO Insider","Q4Data109 Trail109","Individual","Lifetime","Premium","0lMB0000000RIJzMAO","0c8B0000000Gpa7IAC","Redeemed","0lVB0000000VSEgMAO",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaSzMAK","Points","Number of Transactions","NTO Insider","Q4Data108 Trail108","Individual","Lifetime","Premium","0lMB0000000RIJyMAO","0c8B0000000GpaVIAS","Redeemed","0lVB0000000VSEfMAO",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT0MAK","Points","Number of Transactions","NTO Insider","Q4Data89 Trail89","Individual","Lifetime","Premium","0lMB0000000RIJxMAO","0c8B0000000GpaUIAS","Redeemed","0lVB0000000VSEeMAO",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT1MAK","Points","Number of Transactions","NTO Insider","Q4Data88 Trail88","Individual","Lifetime","Premium","0lMB0000000RIJwMAO","0c8B0000000GpaTIAS","Redeemed","0lVB0000000VSEdMAO",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT2MAK","Points","Number of Transactions","NTO Insider","Q4Data87 Trail87","Individual","Lifetime","Premium","0lMB0000000RIJvMAO","0c8B0000000GpaSIAS","Redeemed","0lVB0000000VSEcMAO",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT3MAK","Points","Number of Transactions","NTO Insider","Q4Data86 Trail86","Individual","Lifetime","Premium","0lMB0000000RIJuMAO","0c8B0000000GpaRIAS","Redeemed","0lVB0000000VSEbMAO",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT4MAK","Points","Number of Transactions","NTO Insider","Q4Data85 Trail85","Individual","Lifetime","Premium","0lMB0000000RIJtMAO","0c8B0000000GpaQIAS","Redeemed","0lVB0000000VSEaMAO",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT5MAK","Points","Number of Transactions","NTO Insider","Q4Data84 Trail84","Individual","Lifetime","Elite","0lMB0000000RIJsMAO","0c8B0000000GpaPIAS","Redeemed","0lVB0000000VSEZMA4",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT6MAK","Points","Number of Transactions","NTO Insider","Q4Data83 Trail83","Individual","Lifetime","Premium","0lMB0000000RIJrMAO","0c8B0000000GpaOIAS","Redeemed","0lVB0000000VSEYMA4",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT7MAK","Points","Number of Transactions","NTO Insider","Q4Data82 Trail82","Individual","Lifetime","Premium","0lMB0000000RIJqMAO","0c8B0000000GpaNIAS","Redeemed","0lVB0000000VSEXMA4",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT8MAK","Points","Number of Transactions","NTO Insider","Q4Data81 Trail81","Individual","Lifetime","Premium","0lMB0000000RIJpMAO","0c8B0000000GpaMIAS","Redeemed","0lVB0000000VSEWMA4",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaT9MAK","Points","Number of Transactions","NTO Insider","Q4Data80 Trail80","Individual","Lifetime","Premium","0lMB0000000RIJoMAO","0c8B0000000GpaLIAS","Redeemed","0lVB0000000VSEVMA4",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
2020-08-30,2021-08-29,"0kDB0000000CaTAMA0","Points","Number of Transactions","NTO Insider","Q4Data79 Trail79","Individual","Lifetime","Premium","0lMB0000000RIJnMAO","0c8B0000000GpaKIAS","Redeemed","0lVB0000000VSEUMA4",2021-05-18,15,2020-08-30,,"FixedValue","2XaB0000000KyjcKAC",2021-11-01
