"Type","AgeBucket","FirstName","State","Channel","Stage","Gender","LastName","ChannelOrder","AgeBucketOrder","StageOrder","Age"
"Passive","18-25","Fields","Michigan","Website","Acquisition","NA","Mitchenson",1,2,1,22
"Promoter","36-50","Cathryn","Louisiana","Website","Acquisition","Male","Schohier",1,4,1,36
"Detractor","26-35","Nikola","Idaho","Website","Acquisition","Female","Vanni",1,3,1,34
"Passive","18-25","Lyon","Texas","Website","Acquisition","NA","Asche",1,2,1,19
"Detractor","36-50","Sammy","New York","Website","Acquisition","Female","Kunath",1,4,1,37
"Promoter","36-50","Jenica","Georgia","Website","Acquisition","Male","Noades",1,4,1,36
"Passive","26-35","Hortense","California","Website","Acquisition","Male","Ferrierio",1,3,1,30
"Detractor","26-35","Lorianna","California","Website","Acquisition","Female","Cissen",1,3,1,33
"Promoter","36-50","Harbert","Texas","Website","Acquisition","NA","Borrie",1,4,1,50
"Detractor","18-25","Claybourne","Wisconsin","Website","Acquisition","Female","Rames",1,2,1,20
"Passive","NA","Wells","Virginia","Website","Acquisition","NA","Messent",1,5,1,67
"Promoter","18-25","Cobbie","Pennsylvania","Website","Acquisition","Male","Hassur",1,2,1,25
"Passive","18-25","Windham","Pennsylvania","Website","Acquisition","Female","Cantero",1,2,1,22
"Detractor","18-25","Amelina","Texas","Website","Acquisition","NA","Cowl",1,2,1,18
"Promoter","26-35","Farlay","Massachusetts","Website","Acquisition","Male","McGannon",1,3,1,26
"Detractor","26-35","Jereme","New York","Website","Acquisition","NA","Sargant",1,3,1,32
"Passive","NA","Wilie","Washington","Website","Acquisition","Male","Storr",1,5,1,77
"Detractor","26-35","Germana","Ohio","Website","Acquisition","Female","Robbert",1,3,1,31
"Passive","36-50","Ernestus","Florida","Website","Acquisition","NA","Gillion",1,4,1,50
"Promoter","36-50","Oralia","Kentucky","Website","Acquisition","Male","Tussaine",1,4,1,38
"Detractor","NA","Reine","California","Website","Acquisition","Female","Canton",1,5,1,10
"Passive","26-35","Gray","West Virginia","Website","Acquisition","NA","Cummins",1,3,1,34
"Detractor","18-25","Taryn","North Carolina","Website","Acquisition","Male","Bamborough",1,2,1,23
"Promoter","26-35","Ky","California","Website","Acquisition","Female","Abreheart",1,3,1,35
"Promoter","18-25","Werner","Texas","Website","Acquisition","Male","Eisikowitz",1,2,1,24
"Passive","0-17","Jillene","Louisiana","Website","Acquisition","NA","Reynish",1,1,1,14
"Detractor","26-35","Travus","Georgia","Website","Acquisition","Female","Naisbet",1,3,1,27
"Detractor","0-17","Angy","Georgia","Website","Acquisition","NA","Shuard",1,1,1,11
"Promoter","36-50","Christophorus","Minnesota","Website","Acquisition","Male","Brantl",1,4,1,50
"Passive","36-50","Gabriela","Massachusetts","Website","Acquisition","Female","Longthorne",1,4,1,45
"Detractor","36-50","Alessandro","Kentucky","Website","Acquisition","NA","Thuillier",1,4,1,39
"Promoter","NA","Rubetta","Ohio","Website","Acquisition","Female","Soonhouse",1,5,1,18
"Passive","18-25","Orin","Florida","Website","Acquisition","Male","Conrath",1,2,1,19
"Detractor","18-25","Carlyn","Minnesota","Website","Acquisition","NA","Pickover",1,2,1,20
"Promoter","26-35","Gale","Kentucky","Website","Acquisition","Male","Loisi",1,3,1,32
"Passive","36-50","Gris","New York","Website","Acquisition","Female","Cawdell",1,4,1,38
"Detractor","26-35","Boone","Washington","Website","Acquisition","NA","Chiverstone",1,3,1,35
"Passive","0-17","Clayborne","Mississippi","Website","Acquisition","Female","Adkin",1,1,1,10
"Promoter","0-17","Crosby","New York","Website","Acquisition","Male","Jakeman",1,1,1,10
"Detractor","36-50","Vina","California","Website","Acquisition","NA","Poncet",1,4,1,47
"Detractor","18-25","Doroteya","Mississippi","Website","Acquisition","Male","Beringer",1,2,1,21
"Passive","26-35","Willie","Kentucky","Website","Acquisition","Female","Penke",1,3,1,26
"Promoter","36-50","Richmound","Colorado","Website","Acquisition","Male","Marking",1,4,1,48
"Detractor","26-35","Morrie","Missouri","Website","Acquisition","Female","Breeton",1,3,1,32
"Passive","18-25","Wilone","Texas","Website","Acquisition","NA","Kohn",1,2,1,22
"Promoter","18-25","Marthe","California","Website","Acquisition","Male","Fendlow",1,2,1,25
"Detractor","26-35","Edita","Florida","Website","Acquisition","NA","Liddle",1,3,1,27
"Promoter","26-35","Lancelot","Ohio","Website","Acquisition","Female","Elkins",1,3,1,31
"Detractor","36-50","Alexei","Texas","Website","Acquisition","Female","Llewelly",1,4,1,40
"Passive","NA","Victoria","Arizona","Website","Acquisition","Male","Edie",1,5,1,33
"Passive","36-50","Kirbie","Hawaii","Website","Acquisition","NA","Tideswell",1,4,1,47
"Detractor","18-25","Emlyn","New York","Website","Acquisition","Female","Edginton",1,2,1,19
"Promoter","18-25","Jonell","California","Website","Acquisition","Male","Clack",1,2,1,21
"Passive","18-25","Christian","California","Website","Acquisition","NA","Trubshawe",1,2,1,20
"Promoter","36-50","Joelle","Mississippi","Website","Acquisition","NA","Willshear",1,4,1,50
"Detractor","26-35","Afton","Alabama","Website","Acquisition","Female","Satterley",1,3,1,30
"Passive","18-25","Gustie","Iowa","Website","Acquisition","Male","Draaisma",1,2,1,19
"Detractor","36-50","Devonne","New York","Website","Acquisition","Male","Prue",1,4,1,37
"Detractor","26-35","Leesa","New York","Website","Acquisition","NA","Banasevich",1,3,1,30
"Promoter","0-17","Bibby","Arkansas","Website","Acquisition","Female","Warre",1,1,1,15
"Passive","0-17","Greg","Ohio","Website","Acquisition","NA","Hostan",1,1,1,10
"Promoter","26-35","Sloane","Florida","Website","Acquisition","Female","Fausch",1,3,1,28
"Detractor","26-35","Claybourne","North Carolina","Website","Acquisition","Male","Scoggin",1,3,1,28
"Passive","18-25","Pattin","Pennsylvania","Website","Acquisition","Female","Seal",1,2,1,20
"Detractor","26-35","Wylie","Florida","Website","Acquisition","NA","Glasscock",1,3,1,33
"Promoter","18-25","Hedi","California","Website","Acquisition","Male","Pigot",1,2,1,19
"Passive","26-35","Karel","District of Columbia","Website","Acquisition","Male","Ceyssen",1,3,1,28
"Detractor","18-25","Audre","Wisconsin","Website","Acquisition","Female","Issard",1,2,1,18
"Promoter","36-50","Giffy","Georgia","Website","Acquisition","NA","Bartels-Ellis",1,4,1,46
"Passive","18-25","My","Washington","Website","Acquisition","Female","Scarsbrooke",1,2,1,19
"Detractor","26-35","Reider","California","Website","Acquisition","NA","Booty",1,3,1,28
"Promoter","26-35","Hilly","Colorado","Website","Acquisition","Male","Bumphries",1,3,1,32
"Detractor","18-25","Maggee","Ohio","Website","Acquisition","Male","Brayshaw",1,2,1,25
"Passive","36-50","Jenica","California","Website","Acquisition","NA","Lamb",1,4,1,49
"Promoter","18-25","Ambrose","Georgia","Website","Acquisition","Female","Denley",1,2,1,20
"Detractor","26-35","Agnese","Michigan","Website","Acquisition","NA","Swetmore",1,3,1,32
"Passive","NA","Petra","Kansas","Website","Acquisition","Male","Lafayette",1,5,1,55
"Detractor","0-17","Lucio","Minnesota","Website","Acquisition","Female","Blenkinship",1,1,1,10
"Promoter","36-50","Shayna","California","Website","Acquisition","Female","Sings",1,4,1,37
"Detractor","18-25","Kev","Massachusetts","Website","Acquisition","NA","Rohan",1,2,1,23
"Passive","26-35","Margery","Nevada","Website","Acquisition","Male","Blethyn",1,3,1,35
"Promoter","26-35","Bryn","Ohio","Website","Acquisition","NA","Matiewe",1,3,1,27
"Passive","0-17","Melva","California","Website","Acquisition","Female","Leversha",1,1,1,10
"Detractor","36-50","Griffith","New York","Website","Acquisition","Male","Heber",1,4,1,50
"Promoter","36-50","Evan","New Jersey","Website","Acquisition","Female","Philipeau",1,4,1,46
"Detractor","26-35","Jonis","Virginia","Website","Acquisition","NA","Leyland",1,3,1,30
"Passive","36-50","Clayson","North Carolina","Website","Acquisition","Male","Danat",1,4,1,49
"Promoter","NA","Doti","Wisconsin","Website","Acquisition","NA","Shevlin",1,5,1,53
"Detractor","36-50","Levin","Alabama","Website","Acquisition","Male","Shaves",1,4,1,48
"Passive","18-25","Kara","Florida","Website","Acquisition","Female","Baptista",1,2,1,25
"Detractor","18-25","Lenka","Colorado","Website","Acquisition","Female","Collingridge",1,2,1,20
"Promoter","18-25","Nadiya","Nebraska","Website","Acquisition","Male","Heyns",1,2,1,24
"Detractor","26-35","Glynnis","Ohio","Website","Acquisition","NA","Molan",1,3,1,28
"Passive","26-35","Kippy","Washington","Website","Acquisition","Male","But",1,3,1,35
"Promoter","36-50","Starlene","Maryland","Website","Acquisition","Female","Dabnor",1,4,1,48
"Passive","NA","Nichols","Texas","Website","Acquisition","NA","Epsley",1,5,1,14
"Detractor","26-35","Gavin","Colorado","Website","Acquisition","NA","Wile",1,3,1,30
"Detractor","18-25","Rabi","North Carolina","Website","Acquisition","Male","Eckert",1,2,1,21
"Passive","36-50","Dre","Kentucky","Website","Acquisition","Female","Colebrook",1,4,1,42
"Promoter","18-25","Carry","Arizona","Website","Acquisition","NA","Bretelle",1,2,1,22
"Detractor","26-35","Shelbi","Kansas","Website","Acquisition","Male","Zaniolini",1,3,1,27
"Promoter","36-50","Nester","Florida","Website","Acquisition","Female","Caseri",1,4,1,40
"Passive","18-25","Manuel","California","Website","Acquisition","Female","Fernyhough",1,2,1,22
"Detractor","NA","Avigdor","California","Website","Acquisition","Male","Alwin",1,5,1,78
"Promoter","0-17","Calley","Tennessee","Website","Acquisition","NA","O'Tuohy",1,1,1,11
"Passive","18-25","Kelsey","Massachusetts","Website","Acquisition","NA","Cardon",1,2,1,18
"Detractor","26-35","Devon","Minnesota","Website","Acquisition","Female","Hefford",1,3,1,35
"Promoter","26-35","Willa","Tennessee","Website","Acquisition","Male","Angric",1,3,1,32
"Passive","0-17","Rorke","Texas","Website","Acquisition","Female","Houlaghan",1,1,1,11
"Detractor","18-25","Sibby","Indiana","Website","Acquisition","Male","Innocent",1,2,1,20
"Detractor","36-50","Rainer","Florida","Website","Acquisition","NA","Batters",1,4,1,45
"Promoter","26-35","Goldy","North Carolina","Website","Acquisition","Male","Poulney",1,3,1,28
"Passive","18-25","Ham","Texas","Website","Acquisition","Female","Addams",1,2,1,21
"Detractor","36-50","Tamiko","California","Website","Acquisition","NA","Ceschi",1,4,1,42
"Promoter","18-25","Romy","Washington","Website","Acquisition","Male","Toomer",1,2,1,25
"Passive","26-35","Dominick","New York","Website","Acquisition","NA","Busch",1,3,1,33
"Detractor","26-35","Lydon","Kansas","Website","Acquisition","Female","Rushton",1,3,1,32
"Promoter","36-50","Abigael","New York","Website","Acquisition","NA","Casina",1,4,1,43
"Passive","18-25","Jori","Arizona","Website","Acquisition","Male","Strase",1,2,1,19
"Detractor","26-35","Shadow","District of Columbia","Website","Acquisition","Female","Kaindl",1,3,1,35
"Detractor","18-25","Fredek","Texas","Website","Acquisition","Male","Dragge",1,2,1,20
"Promoter","18-25","Nanine","Washington","Website","Acquisition","NA","Penburton",1,2,1,25
"Passive","0-17","Ara","Tennessee","Website","Acquisition","Female","Gridon",1,1,1,10
"Detractor","36-50","Charmine","Texas","Website","Acquisition","Female","Bellinger",1,4,1,48
"Passive","36-50","Tallie","Connecticut","Website","Acquisition","NA","McCullock",1,4,1,48
"Promoter","36-50","Somerset","Georgia","Website","Acquisition","Male","Spikeings",1,4,1,38
"Detractor","0-17","Adey","Texas","Website","Acquisition","NA","MacEnelly",1,1,1,15
"Promoter","NA","Arlan","New York","Website","Acquisition","Female","Sarney",1,5,1,75
"Detractor","18-25","Ellery","California","Website","Acquisition","Male","Buckeridge",1,2,1,20
"Passive","26-35","Levy","Texas","App","Acquisition","NA","Grigs",2,3,1,34
"Passive","NA","Ginny","Georgia","App","Acquisition","Male","Jago",2,5,1,75
"Promoter","18-25","Dag","Virginia","App","Acquisition","Female","Santi",2,2,1,22
"Detractor","26-35","Emmit","Arizona","App","Acquisition","Female","Norvell",2,3,1,28
"Detractor","26-35","Camilla","Florida","App","Acquisition","Male","Gutsell",2,3,1,35
"Passive","18-25","Jennie","Florida","App","Acquisition","NA","Rotherham",2,2,1,22
"Promoter","36-50","Brendan","Texas","App","Acquisition","Female","Eite",2,4,1,50
"Passive","18-25","Stavros","North Carolina","App","Acquisition","NA","Janicek",2,2,1,18
"Detractor","36-50","Germayne","Kentucky","App","Acquisition","Male","Matuszinski",2,4,1,37
"Promoter","26-35","Willi","New York","App","Acquisition","NA","Sessions",2,3,1,27
"Detractor","26-35","Alessandra","Arizona","App","Acquisition","Male","Byrne",2,3,1,30
"Passive","0-17","Suzette","Idaho","App","Acquisition","Female","Du Fray",2,1,1,12
"Detractor","26-35","Gerhardine","Florida","App","Acquisition","Male","Denson",2,3,1,30
"Promoter","26-35","Susann","Florida","App","Acquisition","Female","Stoute",2,3,1,33
"Passive","26-35","Edyth","Florida","App","Acquisition","NA","Dunning",2,3,1,26
"Detractor","18-25","Brenda","West Virginia","App","Acquisition","Female","Bassick",2,2,1,20
"Promoter","36-50","Reggis","Mississippi","App","Acquisition","Male","Cartledge",2,4,1,48
"Passive","18-25","Woodie","Washington","App","Acquisition","NA","Milan",2,2,1,20
"Promoter","26-35","Ingunna","Georgia","App","Acquisition","NA","Burgum",2,3,1,34
"Detractor","26-35","Jarid","Alabama","App","Acquisition","Male","Pottle",2,3,1,28
"Passive","36-50","Patsy","California","App","Acquisition","Female","Moens",2,4,1,39
"Detractor","18-25","Boonie","Florida","App","Acquisition","Female","Wilber",2,2,1,24
"Detractor","36-50","Arny","New York","App","Acquisition","Male","Johannes",2,4,1,47
"Passive","36-50","Kelsey","Florida","App","Acquisition","NA","Bottlestone",2,4,1,38
"Promoter","0-17","Junie","New York","App","Acquisition","NA","Schubert",2,1,1,17
"Promoter","36-50","Kris","Indiana","App","Acquisition","Male","Braisher",2,4,1,43
"Detractor","26-35","Marwin","Ohio","App","Acquisition","Female","Keach",2,3,1,33
"Passive","NA","Zorah","California","App","Acquisition","Female","Rexworthy",2,5,1,66
"Detractor","26-35","Sherie","North Carolina","App","Acquisition","Male","Giveen",2,3,1,29
"Promoter","18-25","Berke","Ohio","App","Acquisition","NA","Pendre",2,2,1,20
"Detractor","18-25","Felecia","Oregon","App","Acquisition","NA","Roll",2,2,1,18
"Passive","26-35","Gilberto","Wisconsin","App","Acquisition","Male","Hayesman",2,3,1,26
"Promoter","26-35","Paquito","Texas","App","Acquisition","Female","Enefer",2,3,1,26
"Detractor","26-35","Augustina","Texas","App","Acquisition","Male","Kidwell",2,3,1,26
"Passive","18-25","Stanton","Missouri","App","Acquisition","Female","Labdon",2,2,1,20
"Promoter","36-50","Minerva","Alabama","App","Acquisition","NA","Drinkhall",2,4,1,50
"Detractor","18-25","Mayne","Kentucky","App","Acquisition","Male","Whiteman",2,2,1,22
"Passive","36-50","Debra","Minnesota","App","Acquisition","NA","Vaisey",2,4,1,42
"Promoter","18-25","Rudolph","California","App","Acquisition","Female","Spinozzi",2,2,1,25
"Detractor","36-50","Alyse","Pennsylvania","App","Acquisition","Male","Somerled",2,4,1,49
"Passive","0-17","Geraldine","Virginia","App","Acquisition","NA","Venton",2,1,1,10
"Promoter","18-25","Averill","North Carolina","App","Acquisition","Female","Skipsey",2,2,1,24
"Detractor","26-35","Lothario","District of Columbia","App","Acquisition","Female","Gandrich",2,3,1,28
"Detractor","NA","Laney","Tennessee","App","Acquisition","Male","Esberger",2,5,1,66
"Passive","18-25","Thekla","South Dakota","App","Acquisition","NA","Pennazzi",2,2,1,24
"Promoter","36-50","Inger","Texas","App","Acquisition","NA","Gouda",2,4,1,47
"Passive","NA","Roth","Texas","App","Acquisition","Female","Sigward",2,5,1,67
"Detractor","0-17","Dag","Florida","App","Acquisition","Male","Tewkesberry",2,1,1,10
"Promoter","0-17","Ginelle","Iowa","App","Acquisition","Female","Annes",2,1,1,12
"Detractor","18-25","Rollins","New York","App","Acquisition","Male","Greenhill",2,2,1,19
"Passive","18-25","Gayleen","Ohio","App","Acquisition","NA","Ipwell",2,2,1,18
"Detractor","36-50","Lauretta","North Carolina","App","Acquisition","Female","Kindred",2,4,1,48
"Promoter","18-25","Jan","California","App","Acquisition","NA","Kelloch",2,2,1,25
"Passive","0-17","Gregoire","Idaho","App","Acquisition","Male","Atkyns",2,1,1,10
"Detractor","26-35","Maurita","Texas","App","Acquisition","Female","Oxbie",2,3,1,30
"Promoter","NA","Gearard","Mississippi","App","Acquisition","NA","Holburn",2,5,1,79
"Passive","36-50","Clovis","Tennessee","App","Acquisition","Male","Readett",2,4,1,37
"Detractor","26-35","Hailey","Pennsylvania","App","Acquisition","Male","Sieve",2,3,1,28
"Promoter","36-50","Dame","Pennsylvania","App","Acquisition","Female","Drummer",2,4,1,37
"Detractor","18-25","Dougy","Nevada","App","Acquisition","NA","De Micoli",2,2,1,19
"Passive","26-35","Anthony","Minnesota","App","Acquisition","NA","McDonough",2,3,1,34
"Promoter","26-35","Kimmie","Mississippi","App","Acquisition","Male","Le Franc",2,3,1,30
"Detractor","36-50","Ganny","District of Columbia","App","Acquisition","Female","Lawtie",2,4,1,36
"Passive","18-25","Viola","Florida","App","Acquisition","NA","Sprakes",2,2,1,19
"Detractor","26-35","Charmane","Connecticut","App","Acquisition","Male","Chesterman",2,3,1,29
"Passive","26-35","Darren","Ohio","App","Acquisition","Female","MacKaig",2,3,1,27
"Promoter","18-25","Nanice","Missouri","App","Acquisition","Female","Shale",2,2,1,18
"Detractor","26-35","Hilario","Texas","App","Acquisition","Male","Deporte",2,3,1,34
"Promoter","26-35","Vernon","Michigan","App","Acquisition","NA","McCorrie",2,3,1,34
"Detractor","18-25","Teodorico","New York","App","Acquisition","NA","Crebo",2,2,1,21
"Passive","36-50","Alwyn","Kentucky","App","Acquisition","Male","Pretswell",2,4,1,39
"Promoter","36-50","Baillie","Illinois","App","Acquisition","Female","Oulett",2,4,1,40
"Detractor","18-25","Theodor","Ohio","App","Acquisition","Male","Folland",2,2,1,25
"Passive","18-25","Tiphani","Wisconsin","App","Acquisition","Female","Hundey",2,2,1,20
"Detractor","26-35","Leonora","Texas","App","Acquisition","NA","Veque",2,3,1,27
"Promoter","18-25","Davida","Texas","App","Acquisition","Male","Baker",2,2,1,22
"Passive","18-25","Mirabelle","New York","App","Acquisition","Female","Gallichiccio",2,2,1,22
"Detractor","26-35","Jorge","Georgia","App","Acquisition","NA","Gamell",2,3,1,35
"Passive","NA","Harris","Florida","App","Acquisition","Male","Krout",2,5,1,40
"Promoter","36-50","Dell","New York","App","Acquisition","NA","Isacoff",2,4,1,49
"Detractor","36-50","Karia","West Virginia","App","Acquisition","Female","Whines",2,4,1,50
"Passive","18-25","Dylan","Arizona","App","Acquisition","Female","Oliver-Paull",2,2,1,24
"Detractor","18-25","Karlotta","Oregon","App","Acquisition","NA","Streat",2,2,1,25
"Promoter","26-35","Zachariah","Nevada","App","Acquisition","Male","Clemmitt",2,3,1,34
"Detractor","0-17","Margret","Ohio","App","Acquisition","NA","Brickdale",2,1,1,11
"Promoter","36-50","Lida","Tennessee","App","Acquisition","Male","Stede",2,4,1,43
"Passive","0-17","Carie","West Virginia","App","Acquisition","Female","Kraft",2,1,1,10
"Detractor","36-50","Wilow","West Virginia","App","Acquisition","Male","Wenzel",2,4,1,37
"Promoter","0-17","Della","Florida","App","Acquisition","Female","Simonetti",2,1,1,13
"Passive","26-35","Guglielmo","Florida","App","Acquisition","NA","Withey",2,3,1,28
"Detractor","26-35","Kristoffer","Texas","App","Acquisition","Male","Christy",2,3,1,29
"Passive","36-50","Lucretia","Louisiana","App","Acquisition","Female","Britch",2,4,1,50
"Detractor","26-35","Aloysia","Florida","App","Acquisition","NA","Kleiser",2,3,1,29
"Promoter","26-35","Cati","Massachusetts","App","Acquisition","Male","Ondrus",2,3,1,27
"Passive","18-25","Tiffani","Texas","App","Acquisition","NA","Yearron",2,2,1,19
"Promoter","NA","Patrizia","Illinois","App","Acquisition","Female","Cannaway",2,5,1,10
"Detractor","26-35","Othello","Tennessee","App","Acquisition","Male","Lodevick",2,3,1,29
"Detractor","18-25","Kermie","Colorado","App","Acquisition","NA","Cavy",2,2,1,18
"Promoter","36-50","Eduardo","Florida","Call Center","Acquisition","Female","Dobrovsky",3,4,1,39
"Passive","0-17","Milicent","Texas","Call Center","Acquisition","NA","Norsister",3,1,1,10
"Detractor","36-50","Laurianne","California","Call Center","Acquisition","Female","Gully",3,4,1,36
"Promoter","26-35","Seward","New Jersey","Call Center","Acquisition","Male","Trendle",3,3,1,33
"Passive","36-50","Loretta","Pennsylvania","Call Center","Acquisition","Male","Tefft",3,4,1,40
"Detractor","18-25","Friedrick","Nevada","Call Center","Acquisition","Female","Barrowclough",3,2,1,18
"Passive","18-25","Ollie","Ohio","Call Center","Acquisition","NA","Deverose",3,2,1,25
"Promoter","18-25","Anjanette","Connecticut","Call Center","Acquisition","NA","O'Glassane",3,2,1,23
"Detractor","26-35","Karel","South Carolina","Call Center","Acquisition","Female","O'Flannery",3,3,1,30
"Passive","26-35","Mariette","Ohio","Call Center","Acquisition","Male","Skalls",3,3,1,35
"Detractor","26-35","Garret","Virginia","Call Center","Acquisition","Female","Neame",3,3,1,33
"Promoter","36-50","Lewiss","Minnesota","Call Center","Acquisition","NA","Dowsing",3,4,1,43
"Detractor","26-35","Barnebas","Ohio","Call Center","Acquisition","Male","MacCafferky",3,3,1,35
"Promoter","18-25","Kingsley","Wisconsin","Call Center","Acquisition","Female","Loffel",3,2,1,23
"Passive","18-25","Tonya","Colorado","Call Center","Acquisition","Male","Brandolini",3,2,1,21
"Detractor","18-25","Emogene","Kansas","Call Center","Acquisition","NA","Tarren",3,2,1,19
"Passive","NA","Dierdre","Ohio","Call Center","Acquisition","Male","Idill",3,5,1,50
"Promoter","26-35","Sharleen","Wisconsin","Call Center","Acquisition","Female","Viegas",3,3,1,32
