LastModifiedDate,SurveyVersion_SurveyId,SurveySubject_Survey_Description,SurveySubject_Participant_LoyaltyProgramMember_MemberTenureBucket,SurveyQuestion_QuestionName,Datatype,Name,SurveySubject_SubjectId_CompositeKey,CreatedById,SurveySubject_SurveyId,SurveySubject_Participant_LoyaltyMemberId,SurveyResponse_Status,SurveySubject_LoyaltyProgramTier_LoyaltyProgram_Name,FirstResponseValue,Status,SurveyResponse_Name,SurveyQuestion_QuestionType,IsDeleted,DateTimeValue,SurveySubject_SurveyInvitation_ParticipantId,ChoiceValue,SurveySubject_SubjectEntityType,NPS_Response_Bucket,CreatedDate,Id,SurveySubject_Participant_LoyaltyProgramMember_MembershipNumber,SurveySubject_Participant_LoyaltyProgramMember_MemberName,InvitationId,SurveySubject_Name,SurveySubject_Id,Description,SurveyResponse_CompletionDateTime,ResponseId,IsTrueOrFalse,SurveySubject_SubjectId,CR_Computed_Dummy,OwnerId,DateValue,SurveyQuestion_Name,SurveySubject_LoyaltyProgramTier_Name,SurveyVersion_Name,SurveySubject_LoyaltyProgramTier_LoyaltyProgramCurrency_NQP_Currency,SurveySubject_LoyaltyProgramTier_LoyaltyProgramCurrency_QP_Currency,SurveySubject_Participant_LoyaltyProgramMember_EnrollmentChannel,LastProcessedDate,SurveySubject_LoyaltyProgramTier_LoyaltyTierGroup_Name,Rank,QuestionChoiceId,SurveySubject_Survey_SurveyType,SystemModstamp,SurveySubject_Survey_Name,SurveySubject_Participant_LoyaltyProgramMember_MemberType,QuestionId,SurveyVersionId,LastModifiedById,SurveySubject_Participant_LoyaltyProgramMember_IsReferral,ResponseShortText,ResponseValue,SurveyVersion_VersionNumber,QuestionChoice_MaxValueString,NumberValue,QuestionChoice_MaxValue,Scale
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKIIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Katelyn Amoroso,NPS,FALSE,,003B000000HtVKIIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AWgKAM,,,0KiB00000000XNbKAM,surveyLyInv_org4_jan_pma_1_180,0VkB0000000PKvkKAG,,2020-11-05,0MyB0000000D9MHKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt2KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,3,3,1,10,3,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKHIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Maia Amoruso,NPS,FALSE,,003B000000HtVKHIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AWmKAM,,,0KiB00000000XNaKAM,surveyLyInv_org4_jan_pma_1_179,0VkB0000000PKvjKAG,,2020-12-05,0MyB0000000D9MIKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt2KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,3,3,1,10,3,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJQIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Mallory Anania,NPS,FALSE,,003B000000HtVJQIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AWsKAM,,,0KiB00000000XMjKAM,surveyLyInv_org4_jan_pma_1_126,0VkB0000000PKusKAG,,2021-01-05,0MyB0000000D9MJKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt2KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,3,3,1,10,3,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJMIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Charley Anastacio,NPS,FALSE,,003B000000HtVJMIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AWyKAM,,,0KiB00000000XMfKAM,surveyLyInv_org4_jan_pma_1_122,0VkB0000000PKuoKAG,,2021-02-05,0MyB0000000D9MKKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dszKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,4,4,1,10,4,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJPIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Esme Ananias,NPS,FALSE,,003B000000HtVJPIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AX4KAM,,,0KiB00000000XMiKAM,surveyLyInv_org4_jan_pma_1_125,0VkB0000000PKurKAG,,2020-03-05,0MyB0000000D9MLKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dsqKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,2,2,1,10,2,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJNIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Madilynn Anast,NPS,FALSE,,003B000000HtVJNIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AXAKA2,,,0KiB00000000XMgKAM,surveyLyInv_org4_jan_pma_1_123,0VkB0000000PKupKAG,,2020-04-05,0MyB0000000D9MMKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt2KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,3,3,1,10,3,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJOIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Skyla Anasagasti,NPS,FALSE,,003B000000HtVJOIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AXGKA2,,,0KiB00000000XMhKAM,surveyLyInv_org4_jan_pma_1_124,0VkB0000000PKuqKAG,,2020-05-05,0MyB0000000D9MNKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dsxKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,6,6,1,10,6,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJLIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Allyson Anastas,NPS,FALSE,,003B000000HtVJLIA3,,LoyaltyProgram,Detractors,2021-01-18,0KrB00000005AXMKA2,,,0KiB00000000XMeKAM,surveyLyInv_org4_jan_pma_1_121,0VkB0000000PKunKAG,,2020-06-05,0MyB0000000D9MOKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt9KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,10,10,1,10,10,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJKIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Hanna Anastasi,NPS,FALSE,,003B000000HtVJKIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AXSKA2,,,0KiB00000000XMdKAM,surveyLyInv_org4_jan_pma_1_120,0VkB0000000PKumKAG,,2020-07-05,0MyB0000000D9MPKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt2KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,3,3,1,10,3,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJJIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Shiloh Anastasia,NPS,FALSE,,003B000000HtVJJIA3,,LoyaltyProgram,Passives,2021-01-18,0KrB00000005AXYKA2,,,0KiB00000000XMcKAM,surveyLyInv_org4_jan_pma_1_119,0VkB0000000PKulKAG,,2020-08-05,0MyB0000000D9MQKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt1KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,8,8,1,10,8,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJGIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Maryam Anastos,NPS,FALSE,,003B000000HtVJGIA3,,LoyaltyProgram,Passives,2021-01-18,0KrB00000005AXeKAM,,,0KiB00000000XMZKA2,surveyLyInv_org4_jan_pma_1_116,0VkB0000000PKuiKAG,,2020-09-05,0MyB0000000D9MRKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt1KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,8,8,1,10,8,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJHIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Macy Anastasio,NPS,FALSE,,003B000000HtVJHIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AXkKAM,,,0KiB00000000XMaKAM,surveyLyInv_org4_jan_pma_1_117,0VkB0000000PKujKAG,,2020-10-05,0MyB0000000D9MSKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dszKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,4,4,1,10,4,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJFIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Ivanna Anauo,NPS,FALSE,,003B000000HtVJFIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AXqKAM,,,0KiB00000000XMYKA2,surveyLyInv_org4_jan_pma_1_115,0VkB0000000PKuhKAG,,2020-11-05,0MyB0000000D9MTKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dsqKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,2,2,1,10,2,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJEIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Ashlynn Anawalt,NPS,FALSE,,003B000000HtVJEIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AXwKAM,,,0KiB00000000XMXKA2,surveyLyInv_org4_jan_pma_1_114,0VkB0000000PKugKAG,,2020-12-05,0MyB0000000D9MUKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dsqKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,2,2,1,10,2,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJIIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Henley Anastasiades,NPS,FALSE,,003B000000HtVJIIA3,,LoyaltyProgram,Detractors,2021-01-18,0KrB00000005AY2KAM,,,0KiB00000000XMbKAM,surveyLyInv_org4_jan_pma_1_118,0VkB0000000PKukKAG,,2021-01-05,0MyB0000000D9MVKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dssKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,9,9,1,10,9,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJDIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Lorelai Anawaty,NPS,FALSE,,003B000000HtVJDIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AY8KAM,,,0KiB00000000XMWKA2,surveyLyInv_org4_jan_pma_1_113,0VkB0000000PKufKAG,,2021-02-05,0MyB0000000D9MWKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dsqKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,2,2,1,10,2,10,5
