LoyaltyProgramMember_Contact_Name,LoyaltyProgramMember_ProgramId,LoyaltyTierId,LoyaltyTier_LoyaltyTierGroup_Name,LoyaltyProgramMember_MemberName,LoyaltyProgramMember_EnrollmentDate,LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_MobilePhone,LoyaltyProgramMember_IsReferral,LoyaltyProgramMember_MemberStatus,Name,LoyaltyMemberId,LoyaltyProgramMember_Account_Name,LoyaltyProgramMember_MembershipEndDate,LoyaltyMemberCurrency_LoyaltyProgramMember_AccountContact_Id,LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_Birthdate,LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_Birthdate,LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_MobilePhone,LoyaltyProgramMember_MemberTenureBucket,LoyaltyProgramMember_Referrer_Account_Name,ReasonForChange,LoyaltyProgramMember_Contact_MobilePhone,LoyaltyProgramMember_EnrollmentChannel,LoyaltyProgramMember_TransactionJournal_SecondAccrualDate,LoyaltyProgramMember_MembershipLastRenewalDate,LoyaltyTier_Name,LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_Name,LoyaltyProgramMember_Contact_Birthdate,LoyaltyProgramMember_LeadOrContactName,LoyaltyProgramMember_Referrer_Contact_Name,LastProcessedDate,LoyaltyTierGroupId,TierExpirationDate,LoyaltyProgramMember_LeadOrContactId,LoyaltyMemberCurrency_LoyaltyProgramCurrency_QP_Currency,LoyaltyMemberCurrency_LoyaltyProgramCurrency_NQP_Currency,LoyaltyProgramMember_LoyaltyProgram_Name,LoyaltyProgramMember_MembershipNumber,LoyaltyProgramMember_TransactionJournal_FirstAccrualDate,LoyaltyProgramMember_MemberType,LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_Name,LoyaltyProgramMember_AccountContact_Id,Id,LoyaltyProgramMember_ReferredById,EffectiveDate,LoyaltyTier_SequenceNumber
Debbra Emard,0lpB00000004CexIAE,0lgB00000004CdsIAE,Status Tier Group,Debbra Emard,2020-06-04,,No,Active,Silver,0lMB00000004GNiMAM,,,,,,,4.6-9 months,,manual tier change,,Email,,,Silver,Debbra Emard,,Debbra Emard,,2021-03-03,0ltB00000004CbZIAU,2021-11-07,003B000000HtW7HIAV,Number of Transactions,Alpoints,Customer Loyalty Program,2457578,,Individual,,,0lyB00000004HbZIAU,,2020-11-07,4
Debbra Emard,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Debbra Emard,2020-06-04,,No,Active,Gold,0lMB00000004GNiMAM,,,,,,,4.6-9 months,,,,Email,,,Gold,Debbra Emard,,Debbra Emard,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtW7HIAV,Number of Transactions,Alpoints,Customer Loyalty Program,2457578,,Individual,,,0lyB00000004HbaIAE,,,1
Billi Towber,0lpB00000004CeyIAE,0lgB00000004CduIAE,Status Tier Group,Billi Towber,2020-01-18,,No,Active,Silver,0lMB00000004GNeMAM,,,,,,,6.1-2 years,,,,Social,,,Silver,Billi Towber,,Billi Towber,,2021-03-03,0ltB00000004CbbIAE,,003B000000HtW7DIAV,Number of Transactions,Alpoints,Distributor Loyalty Program,9734528,2020-06-05,Individual,,,0lyB00000004HbbIAE,,,1
Billi Towber,0lpB00000004CeyIAE,0lgB00000004CdqIAE,,Billi Towber,2020-01-18,,No,Active,Silver,0lMB00000004GNeMAM,,,,,,,6.1-2 years,,,,Social,,,Silver,Billi Towber,,Billi Towber,,2021-03-03,0ltB00000004CbcIAE,,003B000000HtW7DIAV,Number of Transactions,Alpoints,Distributor Loyalty Program,9734528,2020-06-05,Individual,,,0lyB00000004HbcIAE,,,1
Merrill Thorn,0lpB00000004CexIAE,0lgB00000004CdsIAE,Status Tier Group,Merrill Thorn,2020-08-04,,No,Active,Silver,0lMB00000004GNfMAM,,,,,,,3.3-6 months,,manual tier change,,Email,,,Silver,Merrill Thorn,,Merrill Thorn,,2021-03-03,0ltB00000004CbZIAU,2021-11-07,003B000000HtW7EIAV,Number of Transactions,Alpoints,Customer Loyalty Program,2039582,,Individual,,,0lyB00000004HbdIAE,,2020-11-07,4
Merrill Thorn,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Merrill Thorn,2020-08-04,,No,Active,Silver,0lMB00000004GNfMAM,,,,,,,3.3-6 months,,,,Email,,,Silver,Merrill Thorn,,Merrill Thorn,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtW7EIAV,Number of Transactions,Alpoints,Customer Loyalty Program,2039582,,Individual,,,0lyB00000004HbeIAE,,,1
Leona Mattie,0lpB00000004CexIAE,0lgB00000004CdvIAE,Status Tier Group,Leona Mattie,2020-07-04,,No,Active,Silver,0lMB00000004GNgMAM,,,,,,,4.6-9 months,,manual tier change,,Web,,,Silver,Leona Mattie,,Leona Mattie,,2021-03-03,0ltB00000004CbZIAU,2021-11-07,003B000000HtW7FIAV,Number of Transactions,Alpoints,Customer Loyalty Program,2957573,,Individual,,,0lyB00000004HbfIAE,,2020-11-07,5
Leona Mattie,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Leona Mattie,2020-07-04,,No,Active,Silver,0lMB00000004GNgMAM,,,,,,,4.6-9 months,,,,Web,,,Silver,Leona Mattie,,Leona Mattie,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtW7FIAV,Number of Transactions,Alpoints,Customer Loyalty Program,2957573,,Individual,,,0lyB00000004HbgIAE,,,1
Cory Mcmicheal,0lpB00000004CexIAE,0lgB00000004CdvIAE,Status Tier Group,Cory Mcmicheal,2020-05-04,,No,Active,Silver,0lMB00000004GNhMAM,,,,,,,4.6-9 months,,manual tier change,,CallCenter,,,Silver,Cory Mcmicheal,,Cory Mcmicheal,,2021-03-03,0ltB00000004CbZIAU,2021-11-07,003B000000HtW7GIAV,Number of Transactions,Alpoints,Customer Loyalty Program,6588392,,Individual,,,0lyB00000004HbhIAE,,2020-11-07,5
Cory Mcmicheal,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Cory Mcmicheal,2020-05-04,,No,Active,Silver,0lMB00000004GNhMAM,,,,,,,4.6-9 months,,,,CallCenter,,,Silver,Cory Mcmicheal,,Cory Mcmicheal,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtW7GIAV,Number of Transactions,Alpoints,Customer Loyalty Program,6588392,,Individual,,,0lyB00000004HbiIAE,,,1
Wyatt Arendall,0lpB00000004CexIAE,0lgB00000004CdvIAE,Status Tier Group,Wyatt Arendall,2020-01-04,,No,Active,Platinum,0lMB00000004GNjMAM,,,,,,,6.1-2 years,,Upgrade,,Social,,,Platinum,Wyatt Arendall,,Wyatt Arendall,,2021-03-03,0ltB00000004CbZIAU,2021-12-09,003B000000HtW7IIAV,Number of Transactions,Alpoints,Customer Loyalty Program,2945712,2020-05-19,Individual,,,0lyB00000004HbjIAE,,2020-12-10,5
Wyatt Arendall,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Wyatt Arendall,2020-01-04,,No,Active,Silver,0lMB00000004GNjMAM,,,,,,,6.1-2 years,,,,Social,,,Silver,Wyatt Arendall,,Wyatt Arendall,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtW7IIAV,Number of Transactions,Alpoints,Customer Loyalty Program,2945712,2020-05-19,Individual,,,0lyB00000004HbkIAE,,,1
Jody Koening,0lpB00000004CexIAE,0lgB00000004CdsIAE,Status Tier Group,Jody Koening,2019-12-05,,No,Active,Gold,0lMB00000004GNkMAM,,,,,,,6.1-2 years,,Upgrade,,Email,,,Gold,Jody Koening,,Jody Koening,,2021-03-03,0ltB00000004CbZIAU,2021-12-09,003B000000HtW7JIAV,Number of Transactions,Alpoints,Customer Loyalty Program,349685,2020-04-28,Individual,,,0lyB00000004HblIAE,,2020-12-10,4
Jody Koening,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Jody Koening,2019-12-05,,No,Active,Silver,0lMB00000004GNkMAM,,,,,,,6.1-2 years,,,,Email,,,Silver,Jody Koening,,Jody Koening,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtW7JIAV,Number of Transactions,Alpoints,Customer Loyalty Program,349685,2020-04-28,Individual,,,0lyB00000004HbmIAE,,,1
Sierra Amin,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Sierra Amin,2021-08-07,,No,Active,Silver,0lMB00000004FsvMAE,,,,,,,9.NA,,,,Email,2022-07-18,2022-08-07,Silver,Sierra Amin,,Sierra Amin,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVIDIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_a,2022-01-08,Individual,,,0lyB00000004HbnIAE,,,1
Sierra Amin,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Sierra Amin,2021-08-07,,No,Active,Silver,0lMB00000004FsvMAE,,,,,,,9.NA,,,,Email,2022-07-18,2022-08-07,Silver,Sierra Amin,,Sierra Amin,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVIDIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_a,2022-01-08,Individual,,,0lyB00000004HboIAE,,,1
Kathryn Amini,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Kathryn Amini,2020-12-09,,No,Active,Silver,0lMB00000004FvKMAU,,,,,,,2.1-3 months,,,,Web,2022-02-24,2021-12-09,Silver,Kathryn Amini,,Kathryn Amini,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKcIAN,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_b,2021-05-31,Individual,,,0lyB00000004HbpIAE,,,1
Kathryn Amini,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Kathryn Amini,2020-12-09,,No,Active,Silver,0lMB00000004FvKMAU,,,,,,,2.1-3 months,,,,Web,2022-02-24,2021-12-09,Silver,Kathryn Amini,,Kathryn Amini,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKcIAN,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_b,2021-05-31,Individual,,,0lyB00000004HbqIAE,,,1
Rosemary Aminov,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Rosemary Aminov,2020-12-05,,No,Active,Silver,0lMB00000004FvJMAU,,,,,,,2.1-3 months,,,,Email,2022-01-14,2021-12-05,Silver,Rosemary Aminov,,Rosemary Aminov,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKbIAN,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_c,2021-04-27,Individual,,,0lyB00000004HbrIAE,,,1
Rosemary Aminov,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Rosemary Aminov,2020-12-05,,No,Active,Silver,0lMB00000004FvJMAU,,,,,,,2.1-3 months,,,,Email,2022-01-14,2021-12-05,Silver,Rosemary Aminov,,Rosemary Aminov,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKbIAN,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_c,2021-04-27,Individual,,,0lyB00000004HbsIAE,,,1
Jolene Amiot,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Jolene Amiot,2020-12-10,,No,Active,Silver,0lMB00000004FvIMAU,,,,,,,2.1-3 months,,,,Social,2021-10-28,2021-12-10,Silver,Jolene Amiot,,Jolene Amiot,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKaIAN,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_d,2021-06-15,Individual,,,0lyB00000004HbtIAE,,,1
Jolene Amiot,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Jolene Amiot,2020-12-10,,No,Active,Gold,0lMB00000004FvIMAU,,,,,,,2.1-3 months,,,,Social,2021-10-28,2021-12-10,Gold,Jolene Amiot,,Jolene Amiot,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKaIAN,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_d,2021-06-15,Individual,,,0lyB00000004HbuIAE,,,1
Alondra Amir,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Alondra Amir,2020-07-05,,No,Active,Silver,0lMB00000004FvHMAU,,,,,,,4.6-9 months,,,,CallCenter,,2021-07-05,Silver,Alondra Amir,,Alondra Amir,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKZIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_e,2020-12-10,Individual,,,0lyB00000004HbvIAE,,,1
Alondra Amir,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Alondra Amir,2020-07-05,,No,Active,Silver,0lMB00000004FvHMAU,,,,,,,4.6-9 months,,,,CallCenter,,2021-07-05,Silver,Alondra Amir,,Alondra Amir,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKZIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_e,2020-12-10,Individual,,,0lyB00000004HbwIAE,,,1
Elisa Amirault,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Elisa Amirault,2020-03-11,,No,Active,Silver,0lMB00000004FvGMAU,,,,,,,5.9-12 months,,,,Email,2021-02-25,2021-03-11,Silver,Elisa Amirault,,Elisa Amirault,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKYIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_f,2020-08-19,Individual,,,0lyB00000004HbxIAE,,,1
Elisa Amirault,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Elisa Amirault,2020-03-11,,No,Active,Silver,0lMB00000004FvGMAU,,,,,,,5.9-12 months,,,,Email,2021-02-25,2021-03-11,Silver,Elisa Amirault,,Elisa Amirault,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKYIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_f,2020-08-19,Individual,,,0lyB00000004HbyIAE,,,1
Helena Amiri,0lpB00000004CexIAE,0lgB00000004CdxIAE,Status Tier Group,Helena Amiri,2020-04-04,,No,Active,Silver,0lMB00000004FvFMAU,,,,,,,5.9-12 months,,happy customer,,Web,2020-11-17,2021-04-04,Silver,Helena Amiri,,Helena Amiri,,2021-03-03,0ltB00000004CbZIAU,2021-10-22,003B000000HtVKXIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_g,2020-08-22,Individual,,,0lyB00000004HbzIAE,,2020-10-22,2
Helena Amiri,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Helena Amiri,2020-04-04,,No,Active,Silver,0lMB00000004FvFMAU,,,,,,,5.9-12 months,,,,Web,2020-11-17,2021-04-04,Silver,Helena Amiri,,Helena Amiri,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKXIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_g,2020-08-22,Individual,,,0lyB00000004Hc0IAE,,,1
Charleigh Amirian,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Charleigh Amirian,2021-05-12,,No,Active,Silver,0lMB00000004FvEMAU,,,,,,,9.NA,,,,Email,2022-07-23,2022-05-12,Silver,Charleigh Amirian,,Charleigh Amirian,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKWIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_h,2021-10-20,Individual,,,0lyB00000004Hc1IAE,,,1
Charleigh Amirian,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Charleigh Amirian,2021-05-12,,No,Active,Silver,0lMB00000004FvEMAU,,,,,,,9.NA,,,,Email,2022-07-23,2022-05-12,Silver,Charleigh Amirian,,Charleigh Amirian,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKWIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_h,2021-10-20,Individual,,,0lyB00000004Hc2IAE,,,1
Cadence Amonette,0lpB00000004CexIAE,0lgB00000004CdyIAE,Status Tier Group,Cadence Amonette,2020-05-04,,No,Active,Platinum,0lMB00000004FvDMAU,,,,,,,4.6-9 months,,happy customer,,Social,2021-08-06,2021-05-04,Platinum,Cadence Amonette,,Cadence Amonette,,2021-03-03,0ltB00000004CbZIAU,2021-10-22,003B000000HtVKVIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_i,2020-10-17,Individual,,,0lyB00000004Hc3IAE,,2020-10-22,3
Cadence Amonette,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Cadence Amonette,2020-05-04,,No,Active,Silver,0lMB00000004FvDMAU,,,,,,,4.6-9 months,,,,Social,2021-08-06,2021-05-04,Silver,Cadence Amonette,,Cadence Amonette,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKVIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_i,2020-10-17,Individual,,,0lyB00000004Hc4IAE,,,1
Matilda Amons,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Matilda Amons,2020-04-05,,No,Active,Gold,0lMB00000004FvCMAU,,,,,,,5.9-12 months,,,,CallCenter,2021-04-17,2021-04-05,Gold,Matilda Amons,,Matilda Amons,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKUIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_j,2020-10-21,Individual,,,0lyB00000004Hc5IAE,,,1
Matilda Amons,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Matilda Amons,2020-04-05,,No,Active,Silver,0lMB00000004FvCMAU,,,,,,,5.9-12 months,,,,CallCenter,2021-04-17,2021-04-05,Silver,Matilda Amons,,Matilda Amons,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKUIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_j,2020-10-21,Individual,,,0lyB00000004Hc6IAE,,,1
Sylvia Amor,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Sylvia Amor,2020-06-13,,No,Active,Silver,0lMB00000004FvBMAU,,,,,,,4.6-9 months,,,,Email,2020-12-16,2021-06-13,Silver,Sylvia Amor,,Sylvia Amor,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKTIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_ba,2020-10-30,Individual,,,0lyB00000004Hc7IAE,,,1
Sylvia Amor,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Sylvia Amor,2020-06-13,,No,Active,Silver,0lMB00000004FvBMAU,,,,,,,4.6-9 months,,,,Email,2020-12-16,2021-06-13,Silver,Sylvia Amor,,Sylvia Amor,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKTIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_ba,2020-10-30,Individual,,,0lyB00000004Hc8IAE,,,1
Myra Amore,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Myra Amore,2020-09-24,,No,Active,Silver,0lMB00000004FvAMAU,,,,,,,3.3-6 months,,,,Web,2021-06-02,2021-09-24,Silver,Myra Amore,,Myra Amore,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKSIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_bb,2021-02-28,Individual,,,0lyB00000004Hc9IAE,,,1
Myra Amore,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Myra Amore,2020-09-24,,No,Active,Silver,0lMB00000004FvAMAU,,,,,,,3.3-6 months,,,,Web,2021-06-02,2021-09-24,Silver,Myra Amore,,Myra Amore,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKSIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_bb,2021-02-28,Individual,,,0lyB00000004HcAIAU,,,1
Fernanda Amorello,0lpB00000004CexIAE,0lgB00000004CdwIAE,Status Tier Group,Fernanda Amorello,2020-06-24,,No,Active,Silver,0lMB00000004Fv9MAE,,,,,,,4.6-9 months,,,,Email,,2021-06-24,Silver,Fernanda Amorello,,Fernanda Amorello,,2021-03-03,0ltB00000004CbZIAU,,003B000000HtVKRIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_bc,2020-11-07,Individual,,,0lyB00000004HcBIAU,,,1
Fernanda Amorello,0lpB00000004CexIAE,0lgB00000004CdtIAE,,Fernanda Amorello,2020-06-24,,No,Active,Silver,0lMB00000004Fv9MAE,,,,,,,4.6-9 months,,,,Email,,2021-06-24,Silver,Fernanda Amorello,,Fernanda Amorello,,2021-03-03,0ltB00000004CbaIAE,,003B000000HtVKRIA3,Number of Transactions,Alpoints,Customer Loyalty Program,IndivAiK_UIDbabedjci_b_bc,2020-11-07,Individual,,,0lyB00000004HcCIAU,,,1
