"UserName","LastProcessedDate","Photo","Manager","CloseDate","Role","UserExternalId","QuotaAttainment","Quota","PipelineForecast","ClosedWonForecast","ClosedWon","CommitForecast"
"Brenda Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36k/T","Acme Dispatcher","2022-02-03","Customer Service Manager","User.029",80,300000,365780,321820,257456,450752
"Bill West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36h/T","Acme Dispatcher","2022-07-22","West Sales","User.021",85,500000,587253,526618,447625,813777
"Quentin Engineer","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37b/T","Acme Dispatcher","2022-06-26","Director of Engineering","User.023",40,200000,228608,291368,116547,183773
"James Wu","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37d/T","Acme Dispatcher","2022-03-17","Omega, Inc. Customer User","User.024",60,300000,356466,342242,205345,228199
"Wendy West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36Z/T","Jennifer Lee","2022-10-05","West Sales","User.022",108,300000,356484,302300,326484,595840
"Yvette Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37H/T","Acme Dispatcher","2022-05-18","Acme Partners Partner User","User.118",55,400000,453363,456011,250806,408296
"Jay Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36m/T","Acme Dispatcher","2022-08-22","Customer Service Manager","User.030",55,300000,356515,372460,204853,322641
"Cindy Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36V/T","Wanda Wilson","2022-05-29","Central Sales","User.016",85,400000,463722,428358,364104,662666
"Alf Operations","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37Y/T","Samantha Dispatcher","2022-11-18","VP of Customer Service","User.013",70,300000,345240,328933,230253,398927
"Andrea Admin","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36j/T","Acme Dispatcher","2022-08-02","Director of Human Resources","User.005",90,500000,619812,501809,451628,819025
"Paul Partner","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36d/T","Chet Callaghan","2022-03-22","Acme Partners Partner Executive","User.059",95,200000,222125,203292,193127,351741
"Julia Holland","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIF/T","Wanda Wilson","2022-09-29","Central CSR","W_User.6",90,500000,585705,501472,451325,815702
"Tammy Baxter","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37z/T","Acme Dispatcher","2022-12-15","AUser Customer Person Account","User.056",60,300000,387018,339880,203928,221290
"Mark Metz","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37h/T","Acme Dispatcher","2022-06-08","Advanced Communications Customer User","User.100",108,300000,333357,310981,335859,620060
"Lauren Bailey","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37v/T","Acme Dispatcher","2022-08-20","Omega, Inc. Customer Manager","User.075",70,200000,226690,229501,160651,273406
"Chris Plus","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37l/T","Acme Dispatcher","2022-04-09","Team Lead","User.044",40,300000,375291,397300,158920,238543
"Courtney Bennett","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIZ/T","Wanda Wilson","2022-01-24","Central CSR","W_User.8",80,300000,333893,334528,267622,469000
"Ely East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36e/T","Dustin Good","2022-02-18","East Sales","User.020",85,400000,461365,414246,352109,629089
"Kasey Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36T/T","Wanda Wilson","2022-11-02","Central Sales","User.015",70,200000,220339,224846,157392,269351
"Vanessa Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36c/T","Cindy Central","2022-04-11","RVP Central","User.000",105,300000,388087,297901,312796,569735
"Daryl Distributor","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38V/T","Acme Dispatcher","2022-12-18","Zenith Distributors Partner User","User.120",55,200000,229882,234244,128834,208742
"Chet Callaghan","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c378/T","Elliot Executive","2022-01-11","Director of Channel Sales","User.002",60,500000,590788,558935,335361,387312
"Olivia Order","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37D/T","Wanda Wilson","2022-07-10","Central Sales","User.058",40,400000,460175,577340,230936,346869
"Joseph Hartman","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/005/T","John Smith","2022-11-15","East CSM","W_User.M.19",80,500000,575668,531448,425158,756297
"Sarah Phillips","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37w/T","Acme Dispatcher","2022-06-19","Acme Partners Partner Executive","User.053",55,400000,452641,449851,247418,400576
"Ted Data","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36t/T","Acme Dispatcher","2022-08-26","Director of Finance","User.006",95,300000,350821,287243,272881,491220
"Linda Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36n/T","Acme Dispatcher","2022-03-25","Customer Service Agent","User.032",80,500000,555124,558548,446838,782442
"William Martinez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIy/T","Ely East","2022-10-14","East CSR","W_User.16",108,200000,220668,207190,223765,409908
"Miguel Jensen","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIt/T","John Smith","2022-02-16","East CSR","W_User.13",40,400000,487784,582533,233013,361771
"Richard Hayden","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/005/T","Michelle Chung","2022-05-20","West CSM","W_User.M.18",60,200000,228388,217408,130445,157970
"Valerie East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36Y/T","Ely East","2022-09-17","RVP East","User.012",90,200000,250772,207111,186400,336312
"Vince West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36a/T","Jennifer Lee","2022-12-17","RVP West","User.011",70,200000,245581,222190,155533,261545
"Elliot Executive","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36b/T","Samantha Dispatcher","2022-11-29","VP of Sales","User.007",55,300000,353353,375476,206512,336023
"Kimberly Brooks","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIP/T","Wanda Wilson","2022-04-21","Central CSR","W_User.9",70,500000,631820,598489,418942,728842
"Acme Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37F/T","Wanda Wilson","2022-05-26","Central CSR","W_User.10",55,500000,571009,569196,313058,504303
"Sean Silver","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36W/T","Acme Dispatcher","2022-09-29","Pinnacle Partners Partner User","User.035",105,400000,465899,390161,409669,748201
"Jonathan Perkins","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIj/T","John Smith","2022-02-14","East CSR","W_User.15",85,200000,228413,217002,184452,329168
"Andrea Bowden","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37e/T","Acme Dispatcher","2022-01-19","Displaytech Customer User","User.028",60,300000,351860,338365,203019,215253
"Wes Chopra","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38W/T","Acme Dispatcher","2022-08-30","Green Fields Media Customer User","User.112",90,400000,444064,401744,361570,657016
"Richard Elliott","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ3/T","John Smith","2022-03-15","East CSR","W_User.17",80,300000,356053,334703,267762,472057
"Ted Training","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c381/T","Acme Dispatcher","2022-07-06","Team Lead","User.057",70,500000,609327,561833,393283,687456
"Helen Roberts","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Z/T","Acme Dispatcher","2022-06-09","Director of Human Resources","User.168",40,300000,347204,422505,169002,254146
"Mark Watson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Y/T",,"2022-10-06","CEO","User.102",108,300000,383273,308316,332981,602126
"Steven Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37Z/T","Acme Dispatcher","2022-12-10","VP of Customer Service","User.018",105,200000,248018,194713,204449,374023
"Michelle Chung","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38X/T",,"2022-09-23","CEO","User.165",60,300000,349741,319578,191747,225139
"Tim Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c377/T","Acme Dispatcher","2022-07-11","Customer Service Agent","User.031",85,300000,377580,303559,258025,458603
"Jamie Green","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36U/T","Acme Dispatcher","2022-03-28","Summit Resellers Partner User","User.033",60,200000,242755,210198,126119,149706
"Barry Brown","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36g/T","Acme Dispatcher","2022-05-21","Meridian Partners Partner User","User.034",95,400000,500729,393474,373800,691005
"Acme Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37F/T","Paul Partner","2022-10-11","Acme Partners Partner Manager","User.116",40,300000,364853,378975,151590,233207
"Gordon Reeves","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36u/T","Acme Dispatcher","2022-02-27","Business Development Director","User.003",55,300000,383890,341371,187754,293980
"Gabriel Anderson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHmv/T","Wanda Wilson","2022-08-15","Central CSM","W_User.M.20",85,500000,629543,541515,460288,846043
"Vance Channel","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36f/T","Acme Dispatcher","2022-07-02","Director of Channel Sales","User.037",55,200000,256560,250638,137851,219517
"Zach Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37I/T","Acme Dispatcher","2022-11-25","Acme Partners Partner User","User.119",80,300000,388998,324074,259259,461005
"Tammy Brooks","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJD/T","Jennifer Lee","2022-04-06","West CSR","W_User.5",108,200000,255134,202373,218563,400956
"Xavier Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37G/T","Acme Dispatcher","2022-01-10","Acme Partners Partner User","User.117",105,300000,351549,296687,311521,563706
"Samantha Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38b/T",,"2022-10-16","CEO","User.166",70,200000,252894,230034,161024,279108
"Tim Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c377/T","Acme Dispatcher","2022-02-14","Customer Service Agent","User.031",55,500000,569546,582753,320514,510927
"Jennifer Lee","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJN/T","Michelle Chung","2022-04-16","West CSR","W_User.4",40,300000,342612,396680,158672,247190
"Mark Kingston","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37f/T","Acme Dispatcher","2022-09-07","Omega, Inc. Customer Executive","User.026",60,500000,633549,521687,313012,423068
"Tammy Baxter","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37z/T","Acme Dispatcher","2022-12-21","AUser Customer Person Account","User.056",90,200000,226704,203948,183553,338724
"Kimberly Brooks","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIP/T","Wanda Wilson","2022-05-13","Central CSR","W_User.9",70,300000,356672,351480,246036,427929
"Elliot Executive","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36b/T","Samantha Dispatcher","2022-11-24","VP of Sales","User.007",95,500000,626432,487068,462715,846339
"Andrea Bowden","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37e/T","Acme Dispatcher","2022-08-22","Displaytech Customer User","User.028",60,400000,451643,404445,242667,319131
"Andrea Admin","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36j/T","Acme Dispatcher","2022-03-06","Director of Human Resources","User.005",85,200000,223302,207927,176738,319679
"Social Hub","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c380/T",,"2022-01-05","CEO","User.068",105,300000,360814,299308,314273,575143
"Gabriel Anderson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHmv/T","Wanda Wilson","2022-07-05","Central CSM","W_User.M.20",85,400000,480826,436912,371375,662174
"Jennifer Perez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJJ/T","Michelle Chung","2022-07-03","West CSR","W_User.1",95,400000,515701,390068,370565,680698
"Bill West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36h/T","Acme Dispatcher","2022-02-15","West Sales","User.021",40,200000,237029,271785,108714,164406
"Courtney Bennett","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIZ/T","Wanda Wilson","2022-11-07","Central CSR","W_User.8",80,300000,341576,327181,261745,468782
"Cindy Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36V/T","Wanda Wilson","2022-10-19","Central Sales","User.016",85,500000,589325,539609,458668,837222
"Ely East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36e/T","Dustin Good","2022-05-08","East Sales","User.020",70,500000,575378,541361,378953,659171
"Joseph Hartman","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/005/T","John Smith","2022-01-14","East CSM","W_User.M.19",85,300000,372782,321371,273165,504386
"Vance Channel","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36f/T","Acme Dispatcher","2022-06-10","Director of Channel Sales","User.037",90,400000,448683,410039,369035,677705
"Chris Plus","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37l/T","Acme Dispatcher","2022-12-11","Team Lead","User.044",80,400000,510106,449721,359777,632788
"Kimberly Nixon","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIK/T","Wanda Wilson","2022-09-22","Central CSR","W_User.7",60,400000,494132,401982,241189,321025
"Wendy West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36Z/T","Jennifer Lee","2022-04-20","West Sales","User.022",55,500000,646283,567262,311994,497998
"Ted Training","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c381/T","Acme Dispatcher","2022-07-04","Team Lead","User.057",60,500000,556955,543703,326222,385281
"Jamie Green","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36U/T","Acme Dispatcher","2022-03-24","Summit Resellers Partner User","User.033",55,200000,253344,222549,122402,200651
"Taylor Gonzalez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIU/T","Cindy Central","2022-08-20","Central CSR","W_User.11",60,400000,450891,462467,277480,289535
"Vince West","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36a/T","Jennifer Lee","2022-05-29","RVP West","User.011",95,300000,347455,286684,272350,499364
"Jonathan Perkins","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIj/T","John Smith","2022-08-08","East CSR","W_User.15",85,200000,249786,206774,175758,321574
"Vanessa Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36c/T","Cindy Central","2022-09-15","RVP Central","User.000",70,500000,639435,578763,405134,703144
"Neil Patel","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37q/T","Acme Dispatcher","2022-07-14","Social Media Manager","User.065",80,400000,451321,441994,353595,622907
"Samantha Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38b/T",,"2022-02-19","CEO","User.166",40,400000,472753,509858,203943,308151
"Acme Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37F/T","Wanda Wilson","2022-01-29","Central CSR","W_User.10",90,200000,242439,209731,188758,348913
"Karen Perez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIe/T","John Smith","2022-06-25","East CSR","W_User.12",108,300000,366041,306735,331274,605304
"Quentin Engineer","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37b/T","Acme Dispatcher","2022-12-15","Director of Engineering","User.023",60,400000,476391,442857,265714,282254
"Jennifer Adams","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ8/T","Michelle Chung","2022-11-04","West CSR","W_User.3",55,500000,635630,585905,322248,514544
"Xavier Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37G/T","Acme Dispatcher","2022-10-15","Acme Partners Partner User","User.117",108,300000,343683,308433,333108,601767
"Bob Hodges","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c382/T","Acme Dispatcher","2022-03-12","Omega, Inc. Customer Executive","User.061",55,200000,241773,227347,125041,195802
"Daryl Distributor","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38V/T","Acme Dispatcher","2022-04-13","Zenith Distributors Partner User","User.120",105,400000,444160,390171,409680,749172
"Dustin Good","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIo/T","John Smith","2022-02-07","East CSR","W_User.14",95,500000,644010,502732,477595,867026
"Helen Roberts","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Z/T","Acme Dispatcher","2022-01-22","Director of Human Resources","User.168",80,200000,230532,223216,178573,315817
"Gordon Reeves","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36u/T","Acme Dispatcher","2022-08-23","Business Development Director","User.003",105,300000,343441,299273,314237,579410
"Richard Hayden","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/005/T","Michelle Chung","2022-04-21","West CSM","W_User.M.18",108,500000,612113,510627,551477,1002811
"Wes Chopra","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38W/T","Acme Dispatcher","2022-05-16","Green Fields Media Customer User","User.112",70,400000,449229,471946,330362,548717
"Steven Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37Z/T","Acme Dispatcher","2022-10-09","VP of Customer Service","User.018",60,200000,226380,227132,136279,162870
"Mark Watson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38Y/T",,"2022-06-13","CEO","User.102",55,400000,496561,465947,256271,421357
"William Martinez","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIy/T","Ely East","2022-12-18","East CSR","W_User.16",40,300000,382661,396830,158732,251595
"Ricky East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36X/T","Dustin Good","2022-03-24","East Sales","User.019",55,200000,229621,246011,135306,212001
"Chet Callaghan","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c378/T","Elliot Executive","2022-09-09","Director of Channel Sales","User.002",60,400000,483216,418288,250973,314182
"Sean Silver","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36W/T","Acme Dispatcher","2022-07-26","Pinnacle Partners Partner User","User.035",85,500000,608985,521079,442917,816801
"James Wu","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37d/T","Acme Dispatcher","2022-11-27","Omega, Inc. Customer User","User.024",90,400000,452265,401823,361641,660053
"Olivia Order","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37D/T","Wanda Wilson","2022-10-10","Central Sales","User.058",40,300000,364192,435060,174024,268434
"Linda Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36n/T","Acme Dispatcher","2022-06-07","Customer Service Agent","User.032",55,500000,638347,561335,308734,494701
"Acme Dispatcher","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37F/T","Paul Partner","2022-08-13","Acme Partners Partner Manager","User.116",40,300000,355301,406860,162744,254366
"Ted Data","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36t/T","Acme Dispatcher","2022-03-18","Director of Finance","User.006",108,300000,387959,304115,328444,596360
"Michelle Chung","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38X/T",,"2022-12-09","CEO","User.165",70,400000,489086,478174,334722,583069
"Alf Operations","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37Y/T","Samantha Dispatcher","2022-04-28","VP of Customer Service","User.013",85,500000,613338,500765,425650,785684
"Valerie East","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36Y/T","Ely East","2022-02-06","RVP East","User.012",60,300000,377942,308663,185198,246111
"Wanda Wilson","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHS2/T",,"2022-01-08","CEO","User.001",40,400000,441867,575078,230031,367171
"John Smith","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c38R/T",,"2022-11-14","CEO","User.163",95,300000,330736,311084,295530,532176
"Miguel Jensen","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIt/T","John Smith","2022-05-07","East CSR","W_User.13",60,400000,497570,410017,246010,289369
"Sarah Phillips","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37w/T","Acme Dispatcher","2022-07-31","Acme Partners Partner Executive","User.053",55,200000,247677,245182,134850,217284
"Richard Elliott","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJ3/T","John Smith","2022-10-03","East CSR","W_User.17",90,200000,250327,209367,188430,340044
"Zach Acme","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37I/T","Acme Dispatcher","2022-01-07","Acme Partners Partner User","User.119",80,200000,244383,221849,177479,316456
"Lauren Bailey","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37v/T","Acme Dispatcher","2022-07-24","Omega, Inc. Customer Manager","User.075",105,300000,332763,292722,307358,563420
"Kasey Central","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36T/T","Wanda Wilson","2022-06-17","Central Sales","User.015",70,400000,480893,444323,311026,520614
"Julia Holland","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHIF/T","Wanda Wilson","2022-04-16","Central CSR","W_User.6",90,400000,497384,416999,375299,687562
"Sue Marketing","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37a/T","Acme Dispatcher","2022-09-15","VP of Marketing","User.017",95,400000,454177,402266,382153,692858
"Tammy Brooks","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000FHJD/T","Jennifer Lee","2022-11-06","West CSR","W_User.5",60,400000,478377,406002,243601,287768
"Jay Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36m/T","Acme Dispatcher","2022-12-05","Customer Service Manager","User.030",70,400000,477327,443616,310531,540251
"Steve Ishikawa","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c37g/T","Acme Dispatcher","2022-03-13","Vand Enterprises, Inc. Customer User","User.036",90,300000,376054,307181,276463,509949
"Brenda Service","2022-01-28","https://risetupdemoorg--c.documentforce.com/profilephoto/729B0000000c36k/T","Acme Dispatcher","2022-05-09","Customer Service Manager","User.029",40,400000,468677,598035,239214,367972
