"Article_ArticleVersion_VersionNumber","Case_Status","IsSharedByEmail","Case_Type","ArticleVersionNumber","Article_ArticleVersion_DataCategory_DataCategoryName","CreatedById","Article_ArticleVersion_IsVisibleInPkb","KnowledgeArticleId","Article_ArticleVersion_IsVisibleInCsp","Article_ArticleVersion_Title","User_Name","Article_User_Name","Article_ArticleVersion_IsVisibleInPrm","Case_Product_Family_KB__c","LastProcessedDate","CaseId","Article_CreatedById","Case_Reason","Article_ArticleVersion_IsVisibleInApp","Article_ArticleVersion_PublishStatus","isAttachedByOwner","CreatedDate","Article_ArticleVersion_DataCategory_DataCategoryGroupName","Id","User_Id","Case_Type_of_Support__c","Case_ED_Outcome__c"
,"Escalated","false","Product Support","1.0",,"005B0000003JLICIA4",,"a4CB00000000En1MAE",,,"Jennifer Barton",,,"Cell Phones","2022-09-09","500B00000045wXCIAY","005B0000003JK1iIAG","General Question",,,"false","2022-08-23",,"a4HB000000004frMAA","005B0000003JLICIA4","Basic",67.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI3IAO",,"a4CB00000000En2MAE",,,"Susan Pena",,,"DVD Players","2022-09-09","500B000000355lTIAQ","005B0000003JK1iIAG","Documentation",,,"false","2022-08-21",,"a4HB000000004fsMAA","005B0000003JLI3IAO","Silver",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLIGIA4",,"a4CB00000000En3MAE",,,"Nicole Gill",,,"Headphones","2022-09-09","500B000000355lUIAQ","005B0000003JK1iIAG","Hardware Question",,,"false","2022-08-07",,"a4HB000000004ftMAA","005B0000003JLIGIA4","Platinum",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI5IAO",,"a4CB00000000En4MAE",,,"Crystal Rodriguez",,,"Video Games","2022-09-09","500B00000045wXHIAY","005B0000003JK1iIAG","General Question",,,"false","2022-07-30",,"a4HB000000004fuMAA","005B0000003JLI5IAO","Free",66.2
,"Closed","false","Product Support","1.0",,"005B0000003JLIJIA4",,"a4CB00000000En5MAE",,,"Vincent Parrish",,,"DVD Players","2022-09-09","500B0000002uCTAIA2","005B0000003JK1iIAG","Documentation",,,"false","2022-08-18",,"a4HB000000004fvMAA","005B0000003JLIJIA4","Silver",81.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLI7IAO","true","a4CB00000000En6MAE","true","Movies","Jane Nelson",,"true","DVD Players","2022-09-09","500B0000002uCTBIA2","005B0000003JK1iIAG","Unknown Failure","true","Online","false","2022-07-26",,"a4HB000000004fwMAA","005B0000003JLI7IAO","Silver",51.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLIJIA4","true","a4CB00000000En7MAE","true","Beauty","Vincent Parrish",,"true","Video Games","2022-09-09","500B000000358V0IAI","005B0000003JK1iIAG","Documentation","true","Online","false","2022-08-29",,"a4HB000000004fxMAA","005B0000003JLIJIA4","Free",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLICIA4","true","a4CB00000000En8MAE","true","Electronics","Jennifer Barton",,"true","Computers","2022-09-09","500B00000045wXKIAY","005B0000003JK1iIAG","Feature Question","true","Online","false","2022-08-05",,"a4HB000000004fyMAA","005B0000003JLICIA4","Basic",51.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLIEIA4","true","a4CB00000000En9MAE","true","Automotive","Melody Moore",,"true","Tablets","2022-09-09","500B00000045wXMIAY","005B0000003JK1iIAG","Software Question","true","Online","false","2022-07-23",,"a4HB000000004fzMAA","005B0000003JLIEIA4","Silver",51.6
"1.0","On Hold","false","Product Support","1.0",,"005B0000003JLI7IAO","true","a4CB00000000EnAMAU","true","Garden","Jane Nelson",,"true","DVD Players","2022-09-09","500B000000355lmIAA","005B0000003JK1iIAG","Software Question","true","Online","false","2022-07-20",,"a4HB000000004g0MAA","005B0000003JLI7IAO","Basic",51.6
"1.0","Waiting on Customer","false","Product Support","1.0",,"005B0000003JLI8IAO","true","a4CB00000000EnBMAU","true","Shoes","Nathaniel Castillo",,"true","Home Audio","2022-09-09","500B000000358V8IAI","005B0000003JK1iIAG","Feature Question","true","Online","false","2022-07-29",,"a4HB000000004g1MAA","005B0000003JLI8IAO","Platinum",68.1
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLIHIA4","true","a4CB00000000EnCMAU","true","Books","Katie Adams",,"true","Cables","2022-09-09","500B0000002uCTaIAM","005B0000003JK1iIAG","Feature Question","true","Online","false","2022-08-19",,"a4HB000000004g2MAA","005B0000003JLIHIA4","Basic",51.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLI8IAO","true","a4CB00000000EnDMAU","true","Kids","Nathaniel Castillo",,"true","Cables","2022-09-09","500B000000358VIIAY","005B0000003JK1iIAG","Software Question","true","Online","false","2022-08-17",,"a4HB000000004g3MAA","005B0000003JLI8IAO","Basic",51.6
"1.0","On Hold","true","Product Support","1.0",,"005B0000003JLI8IAO","true","a4CB00000000EnEMAU","true","Beauty","Nathaniel Castillo",,"true","Cell Phones","2022-09-09","500B0000002uCToIAM","005B0000003JK1iIAG","Feature Question","true","Online","false","2022-08-05",,"a4HB000000004g4MAA","005B0000003JLI8IAO","Basic",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000EnFMAU",,,"Katie Adams",,,"Headphones","2022-09-09","500B00000045wXVIAY","005B0000003JK1iIAG","Software Question",,,"false","2022-07-27",,"a4HB000000004g5MAA","005B0000003JLIHIA4","Silver",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000EnGMAU",,,"Katie Adams",,,"Headphones","2022-09-09","500B0000002uCTqIAM","005B0000003JK1iIAG","Software Question",,,"false","2022-08-19",,"a4HB000000004g6MAA","005B0000003JLIHIA4","Silver",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI6IAO",,"a4CB00000000EnHMAU",,,"William Edwards",,,"Tablets","2022-09-09","500B0000002uCTtIAM","005B0000003JK1iIAG","Software Question",,,"false","2022-08-19",,"a4HB000000004g7MAA","005B0000003JLI6IAO","Silver",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLICIA4",,"a4CB00000000EnIMAU",,,"Jennifer Barton",,,"TVs","2022-09-09","500B0000002uCTvIAM","005B0000003JK1iIAG","Feature Question",,,"false","2022-08-03",,"a4HB000000004g8MAA","005B0000003JLICIA4","Silver",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI7IAO",,"a4CB00000000EnJMAU",,,"Jane Nelson",,,"Video Games","2022-09-09","500B00000045wXXIAY","005B0000003JK1iIAG","Software Question",,,"false","2022-08-03",,"a4HB000000004g9MAA","005B0000003JLI7IAO","Free",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI3IAO",,"a4CB00000000EnKMAU",,,"Susan Pena",,,"DVD Players","2022-09-09","500B00000045wXZIAY","005B0000003JK1iIAG","Software Question",,,"false","2022-08-03",,"a4HB000000004gAMAQ","005B0000003JLI3IAO","Basic",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLIDIA4","true","a4CB00000000EnLMAU","true","Music","Tammy Foley",,"true","Home Audio","2022-09-09","500B00000033733IAA","005B0000003JK1iIAG","Software Question","true","Online","false","2022-08-11",,"a4HB000000004gBMAQ","005B0000003JLIDIA4","Platinum",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLI8IAO","true","a4CB00000000EnMMAU","true","Kids","Nathaniel Castillo",,"true","Tablets","2022-09-09","500B00000045wXbIAI","005B0000003JK1iIAG","Software Question","true","Online","false","2022-08-13",,"a4HB000000004gCMAQ","005B0000003JLI8IAO","Silver",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLIIIA4","true","a4CB00000000EnNMAU","true","Home","Marissa White",,"true","Cables","2022-09-09","500B00000033737IAA","005B0000003JK1iIAG","Software Question","true","Online","false","2022-08-10",,"a4HB000000004gDMAQ","005B0000003JLIIIA4","Basic",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLIIIA4",,"a4CB00000000EnOMAU",,,"Marissa White",,,"Cameras","2022-09-09","500B000000358VSIAY","005B0000003JK1iIAG","Software Question",,,"false","2022-08-17",,"a4HB000000004gEMAQ","005B0000003JLIIIA4","Platinum",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLI7IAO",,"a4CB00000000EnPMAU",,,"Jane Nelson",,,"Home Audio","2022-09-09","500B000000355mJIAQ","005B0000003JK1iIAG","Software Question",,,"false","2022-07-23",,"a4HB000000004gFMAQ","005B0000003JLI7IAO","Platinum",81.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI7IAO",,"a4CB00000000EnQMAU",,,"Jane Nelson",,,"TVs","2022-09-09","500B0000003373AIAQ","005B0000003JK1iIAG","Feature Question",,,"false","2022-08-17",,"a4HB000000004gGMAQ","005B0000003JLI7IAO","Silver",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI6IAO",,"a4CB00000000EnRMAU",,,"William Edwards",,,"Video Games","2022-09-09","500B000000355mMIAQ","005B0000003JK1iIAG","Software Question",,,"false","2022-08-25",,"a4HB000000004gHMAQ","005B0000003JLI6IAO","Free",66.2
"1.0","Waiting on Customer","true","Product Support","1.0",,"005B0000003JLIAIA4","true","a4CB00000000EnSMAU","true","Industrial","Danielle Wright",,"true","Cables","2022-09-09","500B00000045wXdIAI","005B0000003JK1iIAG","Software Question","true","Online","false","2022-08-03",,"a4HB000000004gIMAQ","005B0000003JLIAIA4","Basic",51.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLIFIA4","true","a4CB00000000EnTMAU","true","Health","Allison Medina",,"true","Cell Phones","2022-09-09","500B00000045wXeIAI","005B0000003JK1iIAG","Software Question","true","Online","false","2022-07-21",,"a4HB000000004gJMAQ","005B0000003JLIFIA4","Basic",51.6
"1.0","New","false","Product Support","1.0",,"005B0000003JLI8IAO","true","a4CB00000000Ek0MAE","true","Jewelery","Nathaniel Castillo",,"true","Cell Phones","2022-09-09","500B00000045wSNIAY","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-08-23",,"a4HB000000004cqMAA","005B0000003JLI8IAO","Basic",74.4
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLI4IAO","true","a4CB00000000Ek1MAE","true","Shoes","Zachary Fisher",,"true","Cell Phones","2022-09-09","500B00000045wSOIAY","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-07-21",,"a4HB000000004crMAA","005B0000003JLI4IAO","Basic",81.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI8IAO",,"a4CB00000000Ek2MAE",,,"Nathaniel Castillo",,,"Headphones","2022-09-09","500B00000045wSPIAY","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-04",,"a4HB000000004csMAA","005B0000003JLI8IAO","Silver",81.6
,"Working","true","Product Support","1.0",,"005B0000003JLIBIA4",,"a4CB00000000Ek3MAE",,,"Katie Cole",,,"Home Audio","2022-09-09","500B000000355fKIAQ","005B0000003JK1iIAG","Hardware Question",,,"false","2022-09-03",,"a4HB000000004ctMAA","005B0000003JLIBIA4","Free",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000EoPMAU",,,"Katie Adams",,,"TVs","2022-09-09","500B00000045wZYIAY","005B0000003JK1iIAG","General Question",,,"false","2022-08-18",,"a4HB000000004hFMAQ","005B0000003JLIHIA4","Basic",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLIGIA4",,"a4CB00000000EoQMAU",,,"Nicole Gill",,,"Cameras","2022-09-09","500B0000003374ZIAQ","005B0000003JK1iIAG","Documentation",,,"false","2022-08-13",,"a4HB000000004hGMAQ","005B0000003JLIGIA4","Silver",51.6
,"Response Received","true","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000EoRMAU",,,"Katie Adams",,,"Home Audio","2022-09-09","500B000000355odIAA","005B0000003JK1iIAG","General Question",,,"false","2022-08-12",,"a4HB000000004hHMAQ","005B0000003JLIHIA4","Basic",81.6
"1.0","New","false","Product Support","1.0",,"005B0000003JLI9IAO","true","a4CB00000000EoSMAU","true","Industrial","Matthew Wong",,"true","TVs","2022-09-09","500B0000002uCXAIA2","005B0000003JK1iIAG","Unknown Failure","true","Online","false","2022-07-12",,"a4HB000000004hIMAQ","005B0000003JLI9IAO","Basic",51.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLIJIA4","true","a4CB00000000EoTMAU","true","Industrial","Vincent Parrish",,"true","Video Games","2022-09-09","500B0000002uCXEIA2","005B0000003JK1iIAG","Hardware Question","true","Online","false","2022-08-07",,"a4HB000000004hJMAQ","005B0000003JLIJIA4","Silver",80.2
,"Closed","false","Product Support","1.0",,"005B0000003JLI5IAO",,"a4CB00000000EoUMAU",,,"Crystal Rodriguez",,,"Cameras","2022-09-09","500B000000355ohIAA","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-25",,"a4HB000000004hKMAQ","005B0000003JLI5IAO","Silver",51.6
"1.0","On Hold","false","Product Support","1.0",,"005B0000003JLI4IAO","true","a4CB00000000EoVMAU","true","Grocery","Zachary Fisher",,"true","Cameras","2022-09-09","500B000000355oiIAA","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-08-01",,"a4HB000000004hLMAQ","005B0000003JLI4IAO","Silver",81.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLI8IAO","true","a4CB00000000EoWMAU","true","Baby","Nathaniel Castillo",,"true","Cameras","2022-09-09","500B000000358XYIAY","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-07-20",,"a4HB000000004hMMAQ","005B0000003JLI8IAO","Silver",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLI3IAO","true","a4CB00000000EoXMAU","true","Home","Susan Pena",,"true","Cell Phones","2022-09-09","500B0000002uCXLIA2","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-08-13",,"a4HB000000004hNMAQ","005B0000003JLI3IAO","Basic",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLICIA4","true","a4CB00000000EoYMAU","true","Health","Jennifer Barton",,"true","DVD Players","2022-09-09","500B0000002uCXOIA2","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-09-02",,"a4HB000000004hOMAQ","005B0000003JLICIA4","Basic",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI9IAO",,"a4CB00000000Ek4MAE",,,"Matthew Wong",,,"Home Audio","2022-09-09","500B0000002uCLdIAM","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-02",,"a4HB000000004cuMAA","005B0000003JLI9IAO","Free",81.6
,"Closed","false","Product Support","1.0",,"005B0000003JLIDIA4",,"a4CB00000000Ek5MAE",,,"Tammy Foley",,,"Video Games","2022-09-09","500B00000045wSTIAY","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-12",,"a4HB000000004cvMAA","005B0000003JLIDIA4","Free",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLIIIA4",,"a4CB00000000Ek6MAE",,,"Marissa White",,,"Cameras","2022-09-09","500B00000045wSYIAY","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-22",,"a4HB000000004cwMAA","005B0000003JLIIIA4","Silver",51.6
,"Closed","false","Product Support","1.0",,"005B0000003JLIEIA4",,"a4CB00000000Ek7MAE",,,"Melody Moore",,,"Home Audio","2022-09-09","500B00000045wSaIAI","005B0000003JK1iIAG","Late Delivery",,,"false","2022-09-04",,"a4HB000000004cxMAA","005B0000003JLIEIA4","Free",51.6
"1.0","Closed","true","Product Support","1.0",,"005B0000003JLIHIA4","true","a4CB00000000Ek8MAE","true","Games","Katie Adams",,"true","Cell Phones","2022-09-09","500B00000045wSdIAI","005B0000003JK1iIAG","Item Damaged","true","Online","false","2022-07-26",,"a4HB000000004cyMAA","005B0000003JLIHIA4","Basic",81.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI6IAO",,"a4CB00000000Ek9MAE",,,"William Edwards",,,"Cables","2022-09-09","500B00000045wSeIAI","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-18",,"a4HB000000004czMAA","005B0000003JLI6IAO","Silver",67.3
,"Closed","true","Product Support","1.0",,"005B0000003JLIHIA4",,"a4CB00000000EkAMAU",,,"Katie Adams",,,"Home Audio","2022-09-09","500B00000045wShIAI","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-07",,"a4HB000000004d0MAA","005B0000003JLIHIA4","Free",81.6
"1.0","Closed","false","Product Support","1.0",,"005B0000003JLIDIA4","true","a4CB00000000EkBMAU","true","Clothing","Tammy Foley",,"true","TVs","2022-09-09","500B00000045wSjIAI","005B0000003JK1iIAG","Late Delivery","true","Online","false","2022-07-31",,"a4HB000000004d1MAA","005B0000003JLIDIA4","Free",51.6
"1.0","Escalated","true","Product Support","1.0",,"005B0000003JLIGIA4","true","a4CB00000000EkCMAU","true","Home","Nicole Gill",,"true","TVs","2022-09-09","500B00000045wSkIAI","005B0000003JK1iIAG","Hardware Question","true","Online","false","2022-09-07",,"a4HB000000004d2MAA","005B0000003JLIGIA4","Free",81.6
,"Closed","true","Product Support","1.0",,"005B0000003JLI9IAO",,"a4CB00000000EkDMAU",,,"Matthew Wong",,,"Computers","2022-09-09","500B00000045wSmIAI","005B0000003JK1iIAG","Late Delivery",,,"false","2022-07-30",,"a4HB000000004d3MAA","005B0000003JLI9IAO","Platinum",51.6
,"Closed","true","Product Support","1.0",,"005B0000003JLIEIA4",,"a4CB00000000EkEMAU",,,"Melody Moore",,,"DVD Players","2022-09-09","500B00000045wSoIAI","005B0000003JK1iIAG","Late Delivery",,,"false","2022-07-31",,"a4HB000000004d4MAA","005B0000003JLIEIA4","Silver",81.6
,"Closed","false","Product Support","1.0",,"005B0000003JLICIA4",,"a4CB00000000EkFMAU",,,"Jennifer Barton",,,"DVD Players","2022-09-09","500B000000336yfIAA","005B0000003JK1iIAG","Late Delivery",,,"false","2022-08-18",,"a4HB000000004d5MAA","005B0000003JLICIA4","Silver",51.6
