"Task_Subtype","ActivityDate","Account_Name","AssignedTo_Name"
"Task","2020-04-11","Advanced Communications","Sam Ennis"
"Task","2020-04-20","Ohana, Inc.","Ely East"
"Task","2020-04-24","Ohana, Inc.","Tim Service"
"Task","2020-03-31","Advanced Communications","Sam Ennis"
"Task","2020-03-30","Advanced Communications","Sam Ennis"
"Task","2020-04-20","Advanced Communications","Brenda Service"
"Task","2020-04-16","Allied Technologies","Linda Service"
"Task","2020-04-05","Allied Technologies","Bill West"
"Task","2020-04-15","Allied Technologies","Sue Marketing"
"Task","2020-03-25","Allied Technologies","Ely East"
"Task","2020-04-21","Allied Technologies","Sam Ennis"
"Task","2020-04-09","Allied Technologies","Ely East"
"Task","2020-04-11","Advanced Communications","Kasey Central"
"Task","2020-05-17","Advanced Communications","Sue Marketing"
"Task","2020-04-26","Allied Technologies","Bill West"
"Task","2020-04-23","Allied Technologies","Ely East"
"Task","2020-05-05","Allied Technologies","Cindy Central"
"Task","2020-05-19","Ohana, Inc.","Ricky East"
"Task","2020-04-08","Advanced Communications","Bill West"
"Task","2020-05-17","Allied Technologies","Alf Operations"
"Task","2020-05-15","Advanced Communications","Kasey Central"
"Task","2020-04-14","Allied Technologies","Elliot Executive"
"Task","2020-04-26","Advanced Communications","Sam Ennis"
"Task","2020-04-19","Ohana, Inc.","Cindy Central"
"Task","2020-05-17","Advanced Communications","Paul Partner"
"Task","2020-05-22","Advanced Communications","Cindy Central"
"Task","2020-05-25","Allied Technologies","Cindy Central"
"Task","2020-04-22","Allied Technologies","Sam Ennis"
"Task","2020-05-26","Advanced Communications","Cindy Central"
"Task","2020-04-19","Allied Technologies","Ely East"
"Task","2020-05-20","Advanced Communications","Wendy West"
"Task","2020-05-06","Advanced Communications","Cindy Central"
"Task","2020-04-30","Advanced Communications","Bill West"
"Task","2020-05-13","Advanced Communications","Sue Marketing"
"Task","2020-05-10","Advanced Communications","Ted Training"
"Task","2020-05-08","Allied Technologies","Sue Marketing"
"Task","2020-04-30","Advanced Communications","Ely East"
"Task","2020-05-16","Advanced Communications","Sam Ennis"
"Task","2020-05-21","Allied Technologies","Sam Ennis"
"Task","2020-05-10","Advanced Communications","Bill West"
"Task","2020-04-15","Allied Technologies","Ely East"
"Task","2020-05-15","Advanced Communications","Wendy West"
"Task","2020-05-15","Ohana, Inc.","Cindy Central"
"Task","2020-05-26","Ohana, Inc.","Wendy West"
"Task","2020-05-19","Allied Technologies","Sam Ennis"
"Task","2020-04-26","Allied Technologies","Paul Partner"
"Task","2020-05-22","Advanced Communications","Sam Ennis"
"Task","2020-05-17","Allied Technologies","Ricky East"
"Task","2020-05-09","Ohana, Inc.","Cindy Central"
"Task","2020-05-19","Allied Technologies","Kasey Central"
"Task","2020-04-17","Ohana, Inc.","Daryl Distributor"
"Task","2020-04-11","Advanced Communications","Kasey Central"
"Task","2020-04-14","Advanced Communications","Ricky East"
"Task","2020-05-25","Advanced Communications","Ricky East"
"Task","2020-05-07","Advanced Communications","Cindy Central"
"Task","2020-05-23","Ohana, Inc.","Wendy West"
"Task","2020-04-10","Allied Technologies","Cindy Central"
"Task","2020-05-01","Allied Technologies","Sam Ennis"
"Task","2020-05-08","Allied Technologies","Sam Ennis"
"Task","2020-04-25","Allied Technologies","Kasey Central"
"Task","2020-04-12","Advanced Communications","Bill West"
"Task","2020-05-15","Allied Technologies","Wendy West"
"Task","2020-04-07","Ohana, Inc.","Ely East"
"Task","2020-04-29","Advanced Communications","Ely East"
"Task","2020-05-09","Advanced Communications","Bill West"
"Task","2020-04-27","Advanced Communications","Wendy West"
"Task","2020-04-13","Advanced Communications","Ricky East"
"Task","2020-04-09","Allied Technologies","Bill West"
"Task","2020-05-09","Ohana, Inc.","Kasey Central"
"Task","2020-04-15","Advanced Communications","Ricky East"
"Task","2020-04-16","Advanced Communications","Cindy Central"
"Task","2019-10-19","24-7 Financial.com","Meagan Blevins"
"Call","2019-10-19","24-7 Financial.com","Meagan Blevins"
"Event","2019-10-14","24-7 Financial.com","Meagan Blevins"
"Event","2019-10-10","24-7 Financial.com","Meagan Blevins"
"Event","2020-05-22","Ohana, Inc.","Sam Ennis"
"Event","2020-05-27","Advanced Communications","Sam Ennis"
"Event","2020-05-28","Ohana, Inc.","Sam Ennis"
"Event","2020-04-21","Advanced Communications","Sam Ennis"
"Event","2020-04-13","Allied Technologies","Vance Channel"
"Event","2020-04-15","Advanced Communications","Cindy Central"
"Event","2020-04-19","Allied Technologies","Sue Marketing"
"Event","2020-04-30","Allied Technologies","Linda Service"
"Event","2020-05-02","Advanced Communications","Sam Ennis"
"Event","2020-05-04","Advanced Communications","Cindy Central"
"Event","2020-04-19","Ohana, Inc.","Bill West"
"Event","2020-05-21","Advanced Communications","Cindy Central"
"Event","2020-05-08","Allied Technologies","Bill West"
"Event","2020-05-13","Allied Technologies","Wendy West"
"Event","2020-05-13","Ohana, Inc.","Sam Ennis"
"Event","2020-04-11","Advanced Communications","Ricky East"
"Event","2020-05-05","Allied Technologies","Tim Service"
"Event","2020-05-23","Advanced Communications","Sam Ennis"
"Event","2020-05-08","Allied Technologies","Wendy West"
"Event","2020-04-26","Allied Technologies","Sam Ennis"
"Event","2020-04-16","Ohana, Inc.","Ely East"
"Event","2020-04-26","Allied Technologies","Bill West"
"Event","2020-04-30","Allied Technologies","Cindy Central"
"Event","2020-05-18","Advanced Communications","Vance Channel"
"Event","2020-05-07","Allied Technologies","Kasey Central"
"Event","2020-04-30","Allied Technologies","Cindy Central"
"Event","2020-05-05","Allied Technologies","Sam Ennis"
"Event","2020-05-03","Allied Technologies","Helen Roberts"
"Event","2020-04-15","Advanced Communications","Sam Ennis"
"Event","2020-05-24","Allied Technologies","Sam Ennis"
"Event","2020-04-21","Advanced Communications","Wendy West"
"Event","2020-05-10","Allied Technologies","Kasey Central"
"Event","2020-05-19","Ohana, Inc.","Kasey Central"
"Event","2020-05-24","Advanced Communications","Sam Ennis"
"Event","2020-05-05","Ohana, Inc.","Sam Ennis"
"Event","2020-04-25","Allied Technologies","Wendy West"
"Event","2020-05-04","Ohana, Inc.","Bill West"
"Event","2020-04-16","Allied Technologies","Ely East"
"Event","2020-04-08","Allied Technologies","Cindy Central"
"Event","2020-05-02","Allied Technologies","Paul Partner"
"Event","2020-04-13","Advanced Communications","Wendy West"
"Event","2020-04-07","Advanced Communications","Wendy West"
"Event","2020-04-14","Allied Technologies","Sam Ennis"
"Event","2020-04-10","Allied Technologies","Wendy West"
"Event","2020-04-17","Allied Technologies","Ricky East"
"Event","2020-05-15","Ohana, Inc.","Kasey Central"
"Event","2020-05-15","Allied Technologies","Cindy Central"
"Event","2020-04-18","Advanced Communications","Ricky East"
"Event","2020-04-19","Advanced Communications","Sam Ennis"
"Event","2020-05-21","Advanced Communications","Sam Ennis"
"Event","2020-05-20","Advanced Communications","Sam Ennis"
"Event","2020-04-12","Advanced Communications","Wendy West"
"Event","2020-04-13","Ohana, Inc.","Bill West"
"Event","2020-04-17","Advanced Communications","Kasey Central"
"Event","2020-04-30","Advanced Communications","Sam Ennis"
"Event","2020-04-24","Allied Technologies","Cindy Central"
"Event","2020-05-24","Advanced Communications","Sam Ennis"
"Event","2020-04-30","Advanced Communications","Elliot Executive"
"Event","2020-04-24","Advanced Communications","Ricky East"
"Event","2020-04-22","Ohana, Inc.","Sam Ennis"
"Event","2020-05-12","Advanced Communications","Sam Ennis"
"Event","2020-05-23","Advanced Communications","Bill West"
"Event","2020-04-14","Advanced Communications","Ely East"
"Event","2020-05-17","Allied Technologies","Wendy West"
"Event","2020-05-22","Advanced Communications","Ely East"
"Event","2020-05-04","Allied Technologies","Sam Ennis"
"Event","2020-04-24","Allied Technologies","Ricky East"
"Event","2020-05-07","Advanced Communications","Tim Service"
"Event","2020-04-17","Advanced Communications","Kasey Central"
"Event","2020-05-19","Advanced Communications","Wendy West"
"Event","2020-05-18","Advanced Communications","Sue Marketing"
"Event","2020-05-01","Ohana, Inc.","Sam Ennis"
"Event","2020-04-24","Allied Technologies","Ely East"
"Event","2020-05-23","Allied Technologies","Sue Marketing"
"Event","2020-05-13","Advanced Communications","Quentin Engineer"
"Event","2020-04-20","Advanced Communications","Sam Ennis"
"Event","2020-04-29","Ohana, Inc.","Valerie East"
"Event","2020-05-02","Advanced Communications","Cindy Central"
"Event","2020-05-07","Advanced Communications","Sam Ennis"
"Event","2020-05-04","Advanced Communications","Sam Ennis"
"Event","2020-05-25","Advanced Communications","Sam Ennis"
"Event","2020-05-13","Ohana, Inc.","Kasey Central"
"Event","2020-05-22","Ohana, Inc.","Kasey Central"
"Event","2020-05-19","Allied Technologies","Wendy West"
"Event","2020-04-26","Advanced Communications","Kasey Central"
"Event","2020-04-24","Advanced Communications","Sam Ennis"
"Event","2020-04-29","Advanced Communications","Sam Ennis"
"Event","2020-04-30","Allied Technologies","Bill West"
"Event","2020-05-15","Allied Technologies","Sam Ennis"
"Event","2020-05-16","Allied Technologies","Kasey Central"
"Event","2020-04-11","Ohana, Inc.","Vance Channel"
"Event","2020-04-08","Ohana, Inc.","Sam Ennis"
"Event","2020-05-12","Advanced Communications","Kasey Central"
"Event","2020-05-18","Allied Technologies","Bill West"
"Event","2020-05-15","Advanced Communications","Sam Ennis"
