"Client_Name","Is_Converted","Campaign_Name","Lead_Source_formula_formula","Close_Date","Lead_Status","Forecast_Category_bucket","Action_Framework_Opportunity_ID","Zip_Code","Opportunity_ID","Opportunity_Name","Account_ID","Lead_Score_bucket","Lead_Stage","Forecast_Category","Appointment_Set","Opportunity_Owner","Opportunity_Stage","Lead_Source_formula","B2B_Opportunity_Name","Lead_Source","Region","Created_Date","Location","Next_Steps","Time_in_Status","Lead_Score","Opportunity_Amount","Count_of_Calls","Count_of_Tasks","Days_Open","Count_of_Events","Days_Since_Last_Activity","Total_Activities","Count_of_Emails"
"Bob Warkentine 15","Yes","Annual Customer Conference","00Q5w00001zd9ZgEAI","2020-04-03","1 - New","5 - Omitted","006Dp000004HJc0IAG","90834","0065w000022R1ZSAA0","Bob Warkentine 15","0015w00002DLYB7AAP","Winning","5 - Unqualified","Omitted","True","Cindy Central","1 - Qualification","00Q5w00001qNTPJEA4","Metapa 233","Event","Cypress","2020-07-01","Long Beach","Presentation went well. Follow up meeting scheduled for Tueday.",49,72,8330,4,0,132,1,79,5,0
"Stacy McNeil 16","No","Telemarketing Campaign","00Q5w00001zd9ZgEAI","2020-02-01","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91208","0065w000022R1ZSAA0","Stacy McNeil 16","0015w00002DLYAFAA5","Losing","5 - Unqualified","Omitted","True","Brian Norris","6 - Closed Lost","00Q5w00001qNTPJEA4","Emulex Corp. / Bothell Facility Corp. 240","Cold Call","Glendale","2020-06-07","Glendale","Initial introduction call went well. Still need to confirm budget and timing.",223,12,45800,0,2,156,0,25,3,1
"Mike Garcia 17","No","None","00Q5w00001zd9ZgEAI","2020-07-15","4 - Qualifed","3 - Commit","006Dp000004HJc0IAG","90755","0065w000022R1ZSAA0","Mike Garcia 17","0015w00002DLYAPAA5","Losing","3 - Qualified","Commit","True","Crystal Stevens","4 - Negotiation","00Q5w00001qNTPJEA4","Payment Plus 28","Social Media","Cypress","2020-11-05","Long Beach","Weekly check-ins to collaborate on a go-forward plan.",180,33,80600,0,1,5,2,151,8,5
"Andy Peterson 18","No","Twitter Inbound Campaign","00Q5w00001zd9ZgEAI","2020-05-14","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","91393","0065w000022R1ZSAA0","Andy Peterson 18","0015w00002DLYAHAA5","Winning","1 - New","Pipeline","False","Brandy Mullins","2 - Discovery","00Q5w00001qNTPJEA4","Connections for Business 39","Social Media","Glendale","2020-01-25","Glendale","Price negiotations and expecting signed agreement soon.",48,64,149000,1,1,290,1,66,5,2
"Steve Sutherland 19","No","Referral Campaign","00Q5w00001zd9ZgEAI","2020-09-14","5 - Nurture","4 - Closed","006Dp000004HJc0IAG","90835","0065w000022R1ZSAA0","Steve Sutherland 19","0015w00002DLYB8AAP","Losing","4 - Converted","Closed","True","Robin Montgomery","5 - Closed Won","00Q5w00001qNTPJEA4","Connections for Business 43","Referral","Cypress","2020-10-18","Long Beach","Presentation went well. Follow up meeting scheduled for Tueday.",115,2,5440,2,2,23,1,33,6,1
"Robert Weiss 20","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2020-03-10","3 - Working","2 - Best Case","006Dp000004HJc0IAG","92234","0065w000022R1ZSAA0","Robert Weiss 20","0015w00002DLYATAA5","Losing","2 - Working","Best Case","False","Crystal Stevens","3 - Proposal/Quote","00Q5w00001qNTPJEA4","Connections for Business 44","Website","Coachella Valley","2020-05-25","Cathedral City","Initial introduction call went well. Still need to confirm budget and timing.",196,23,25400,0,1,169,4,94,7,2
"Duncan Macintosh 21","No","None","00Q5w00001zd9ZgEAI","2020-10-09","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91722","0065w000022R1ZSAA0","Duncan Macintosh 21","0015w00002DLYALAA5","Winning","5 - Unqualified","Omitted","False","Mary Powers","6 - Closed Lost","00Q5w00001qNTPJEA4","Connections for Business 45","Social Media","Covina Hills","2020-04-04","Covina Hills","Validated interest level. Plan to give a call on Thursday.",124,67,135000,0,0,220,2,43,4,2
"Deanna Collins 22","Yes","None","00Q5w00001zd9ZgEAI","2020-11-10","1 - New","5 - Omitted","006Dp000004HJc0IAG","92201","0065w000022R1ZSAA0","Deanna Collins 22","0015w00002DLYAGAA5","Losing","5 - Unqualified","Omitted","True","Brandy Mullins","1 - Qualification","00Q5w00001qNTPJEA4","Connections for Business 51","Event","Coachella Valley","2020-03-28","Indio","Send email with more information and capture decision criteria.",177,44,10900,2,1,227,3,78,7,1
"Nicole Grace 23","No","None","00Q5w00001zd9ZgEAI","2020-08-01","1 - New","5 - Omitted","006Dp000004HJc0IAG","91604","0065w000022R1ZSAA0","Nicole Grace 23","0015w00002DLYBAAA5","Losing","5 - Unqualified","Omitted","True","Brian Norris","1 - Qualification","00Q5w00001qNTPJEA4","Connections for Business 53","Website","Hollywood Hills","2020-08-15","Hollywood Hills","Price negiotations and expecting signed agreement soon.",98,20,108000,4,1,87,0,133,7,2
"Lance Gonzales 24","No","None","00Q5w00001zd9ZgEAI","2019-11-07","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","91604","0065w000022R1ZSAA0","Lance Gonzales 24","0015w00002DLYAMAA5","Winning","1 - New","Pipeline","False","Ricky East","2 - Discovery","00Q5w00001qNTPJEA4","Connections for Business 58","Cold Call","Hollywood Hills","2020-02-24","Hollywood Hills","Weekly check-ins to collaborate on a go-forward plan.",11,76,3170,2,6,260,4,139,15,3
"Anne Frost 25","No","Annual Customer Conference","00Q5w00001zd9ZgEAI","2020-02-22","5 - Nurture","4 - Closed","006Dp000004HJc0IAG","91226","0065w000022R1ZSAA0","Anne Frost 25","0015w00002DLYAIAA5","Losing","4 - Converted","Closed","True","Kaitlyn Guerrero","5 - Closed Won","00Q5w00001qNTPJEA4","Greenleaf Produce 98","Event","Glendale","2019-12-20","Glendale","Weekly check-ins to collaborate on a go-forward plan.",182,10,99400,1,2,326,0,58,4,1
"Kari Rende 26","No","None","00Q5w00001zd9ZgEAI","2020-10-08","3 - Working","2 - Best Case","006Dp000004HJc0IAG","91749","0065w000022R1ZSAA0","Kari Rende 26","0015w00002DLYB3AAP","Losing","2 - Working","Best Case","False","Cindy Central","3 - Proposal/Quote","00Q5w00001qNTPJEA4","Greenleaf Produce 106","Social Media","San Gabriel Valley","2020-11-10","City of Industry","Presentation went well. Follow up meeting scheduled for Tueday.",96,10,118000,0,2,0,1,40,7,4
"Mark Smith 27","No","None","00Q5w00001zd9ZgEAI","2019-11-19","1 - New","5 - Omitted","006Dp000004HJc0IAG","90805","0065w000022R1ZSAA0","Mark Smith 27","0015w00002DLYAQAA5","Losing","5 - Unqualified","Omitted","False","Travis Coleman","1 - Qualification","00Q5w00001qNTPJEA4","Greenleaf Produce 115","Referral","Cypress","2020-08-11","Long Beach","Send email with more information and capture decision criteria.",112,39,4830,0,0,91,4,40,6,2
"Peter Houston 28","Yes","Twitter Inbound Campaign","00Q5w00001zd9ZgEAI","2020-06-19","4 - Qualifed","3 - Commit","006Dp000004HJc0IAG","91203","0065w000022R1ZSAA0","Peter Houston 28","0015w00002DLYAlAAP","Winning","3 - Qualified","Commit","False","Mary Powers","4 - Negotiation","00Q5w00001qNTPJEA4","Punch Networks Corporation 133","Social Media","Glendale","2020-10-22","Glendale","Initial introduction call went well. Still need to confirm budget and timing.",79,58,92300,1,1,19,1,73,3,0
"Benjamin Young 29","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2020-07-09","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91204","0065w000022R1ZSAA0","Benjamin Young 29","0015w00002DLYB9AAP","Losing","5 - Unqualified","Omitted","True","Brandy Mullins","6 - Closed Lost","00Q5w00001qNTPJEA4","Centerfield Technology Inc 156","Website","Glendale","2019-11-25","Glendale","Validated interest level. Plan to give a call on Thursday.",75,9,3290,1,1,351,0,1,4,2
"Mike Welch 30","No","Referral Campaign","00Q5w00001zd9ZgEAI","2019-11-27","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","90847","0065w000022R1ZSAA0","Mike Welch 30","0015w00002DLYACAA5","Losing","1 - New","Pipeline","False","Cindy Central","2 - Discovery","00Q5w00001qNTPJEA4","Education Interface 165","Referral","Cypress","2020-04-17","Long Beach","Price negiotations and expecting signed agreement soon.",140,26,143000,1,2,207,2,145,6,1
"Heath Axworth 31","No","Referral Campaign","00Q5w00001zd9ZgEAI","2020-03-24","1 - New","5 - Omitted","006Dp000004HJc0IAG","91006","0065w000022R1ZSAA0","Heath Axworth 31","0015w00002DLYAKAA5","Winning","5 - Unqualified","Omitted","False","Brian Norris","1 - Qualification","00Q5w00001qNTPJEA4","North Hills Signal Processing Corp 179","Referral","San Gabriel Valley","2019-12-12","Arcadia","Price negiotations and expecting signed agreement soon.",11,59,98400,0,1,334,0,98,1,0
"Tammy Baxter 32","No","None","00Q5w00001zd9ZgEAI","2020-04-30","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91746","0065w000022R1ZSAA0","Tammy Baxter 32","0015w00002DLYAAAA5","Losing","5 - Unqualified","Omitted","True","Rebecca Gonzalez","6 - Closed Lost","00Q5w00001qNTPJEA4","North Hills Signal Processing Corp 180","Social Media","San Gabriel Valley","2020-08-25","City of Industry","Send email with more information and capture decision criteria.",167,22,9600,2,2,77,1,147,9,4
"Anne Frost 33","No","Twitter Inbound Campaign","00Q5w00001zd9ZgEAI","2020-01-13","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","91732","0065w000022R1ZSAA0","Anne Frost 33","0015w00002DLYAIAA5","Losing","1 - New","Pipeline","True","Brian Norris","2 - Discovery","00Q5w00001qNTPJEA4","Dimension Data Premier - CO 214","Social Media","San Gabriel Valley","2020-11-05","City of Industry","Initial introduction call went well. Still need to confirm budget and timing.",191,30,102000,0,2,5,0,47,3,1
"Nicole Grace 34","No","Twitter Inbound Campaign","00Q5w00001zd9ZgEAI","2020-05-03","3 - Working","2 - Best Case","006Dp000004HJc0IAG","90806","0065w000022R1ZSAA0","Nicole Grace 34","0015w00002DLYBAAA5","Winning","2 - Working","Best Case","False","Brian Norris","3 - Proposal/Quote","00Q5w00001qNTPJEA4","MHM Services 221","Social Media","Cypress","2020-01-19","Long Beach","Weekly check-ins to collaborate on a go-forward plan.",174,62,29200,2,1,296,1,12,4,0
"Mike Welch 35","Yes","Annual Customer Conference","00Q5w00001zd9ZgEAI","2019-12-07","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","92203","0065w000022R1ZSAA0","Mike Welch 35","0015w00002DLYACAA5","Losing","5 - Unqualified","Omitted","True","Mary Powers","6 - Closed Lost","00Q5w00001qNTPJEA4","Dominion Digital 240","Event","Coachella Valley","2020-10-11","Indio","Validated interest level. Plan to give a call on Thursday.",116,26,62800,1,4,30,0,70,6,1
"Heath Axworth 36","No","Telemarketing Campaign","00Q5w00001zd9ZgEAI","2020-10-19","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91201","0065w000022R1ZSAA0","Heath Axworth 36","0015w00002DLYAKAA5","Losing","5 - Unqualified","Omitted","True","Ricky East","6 - Closed Lost","00Q5w00001qNTPJEA4","Dominion Digital 246","Cold Call","Glendale","2020-06-08","Glendale","Presentation went well. Follow up meeting scheduled for Tueday.",225,41,7000,2,1,155,0,45,4,1
"Russell Hartman 37","No","Twitter Inbound Campaign","00Q5w00001zd9ZgEAI","2020-04-06","5 - Nurture","4 - Closed","006Dp000004HJc0IAG","91501","0065w000022R1ZSAA0","Russell Hartman 37","0015w00002DLYABAA5","Losing","4 - Converted","Closed","False","Mary Powers","5 - Closed Won","00Q5w00001qNTPJEA4","Hisco 24","Social Media","Glendale","2020-03-07","Glendale","Weekly check-ins to collaborate on a go-forward plan.",142,9,142000,5,0,248,1,57,7,1
"Robert Weiss 38","No","Referral Campaign","00Q5w00001zd9ZgEAI","2019-12-28","4 - Qualifed","3 - Commit","006Dp000004HJc0IAG","90046","0065w000022R1ZSAA0","Robert Weiss 38","0015w00002DLYATAA5","Winning","3 - Qualified","Commit","True","Brandy Mullins","4 - Negotiation","00Q5w00001qNTPJEA4","PMRealty Advisors 29","Referral","Hollywood Hills","2020-05-22","Hollywood Hills","Send email with more information and capture decision criteria.",112,50,52200,2,6,172,2,129,13,3
"Duncan Macintosh 39","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2020-01-01","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","91201","0065w000022R1ZSAA0","Duncan Macintosh 39","0015w00002DLYALAA5","Losing","1 - New","Pipeline","False","Brian Norris","2 - Discovery","00Q5w00001qNTPJEA4","Gas Equipment Company 78","Website","Glendale","2020-06-20","Glendale","Initial introduction call went well. Still need to confirm budget and timing.",35,38,3640,2,2,143,1,142,7,2
"Andy Peterson 40","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2020-08-26","5 - Nurture","4 - Closed","006Dp000004HJc0IAG","91066","0065w000022R1ZSAA0","Andy Peterson 40","0015w00002DLYAHAA5","Losing","4 - Converted","Closed","False","Wendy West","5 - Closed Won","00Q5w00001qNTPJEA4","Gas Equipment Company 94","Website","San Gabriel Valley","2020-07-04","Arcadia","Presentation went well. Follow up meeting scheduled for Tueday.",217,1,125000,2,1,129,3,94,6,0
"Mina Passini 41","No","None","00Q5w00001zd9ZgEAI","2020-11-01","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91745","0065w000022R1ZSAA0","Mina Passini 41","0015w00002DLYAEAA5","Losing","5 - Unqualified","Omitted","True","Crystal Stevens","6 - Closed Lost","00Q5w00001qNTPJEA4","Gas Equipment Company 96","Social Media","San Gabriel Valley","2020-07-13","City of Industry","Price negiotations and expecting signed agreement soon.",17,48,17000,0,0,120,2,38,6,4
"Robert Janzen 42","Yes","Twitter Inbound Campaign","00Q5w00001zd9ZgEAI","2020-08-12","1 - New","5 - Omitted","006Dp000004HJc0IAG","90814","0065w000022R1ZSAA0","Robert Janzen 42","0015w00002DLYAJAA5","Losing","5 - Unqualified","Omitted","False","Brian Norris","1 - Qualification","00Q5w00001qNTPJEA4","Gas Equipment Company 103","Social Media","Cypress","2020-11-09","Long Beach","Validated interest level. Plan to give a call on Thursday.",202,26,8560,0,2,1,1,6,5,2
"Benjamin Young 43","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2020-06-23","1 - New","5 - Omitted","006Dp000004HJc0IAG","90716","0065w000022R1ZSAA0","Benjamin Young 43","0015w00002DLYB9AAP","Losing","5 - Unqualified","Omitted","True","Robin Montgomery","1 - Qualification","00Q5w00001qNTPJEA4","Gas Equipment Company 104","Website","Cypress","2020-08-29","Long Beach","Validated interest level. Plan to give a call on Thursday.",141,18,141000,5,2,73,0,84,9,2
"Steve Sutherland 44","No","None","00Q5w00001zd9ZgEAI","2020-02-10","3 - Working","2 - Best Case","006Dp000004HJc0IAG","90804","0065w000022R1ZSAA0","Steve Sutherland 44","0015w00002DLYB8AAP","Winning","2 - Working","Best Case","False","Cindy Central","3 - Proposal/Quote","00Q5w00001qNTPJEA4","Millennium Hotels & Resorts 107","Cold Call","Cypress","2020-04-24","Long Beach","Presentation went well. Follow up meeting scheduled for Tueday.",130,80,18800,1,1,200,2,49,5,1
"Jon Allegri 45","No","None","00Q5w00001zd9ZgEAI","2019-11-17","1 - New","5 - Omitted","006Dp000004HJc0IAG","90603","0065w000022R1ZSAA0","Jon Allegri 45","0015w00002DLYB4AAP","Losing","5 - Unqualified","Omitted","False","Robin Montgomery","1 - Qualification","00Q5w00001qNTPJEA4","Atofina Petrochemicals   Port Arthur 141","Event","Whittier","2020-02-27","Whittier","Price negiotations and expecting signed agreement soon.",28,23,132000,0,1,257,2,129,4,1
"Lance Gonzales 46","No","None","00Q5w00001zd9ZgEAI","2020-05-06","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91224","0065w000022R1ZSAA0","Lance Gonzales 46","0015w00002DLYAMAA5","Losing","5 - Unqualified","Omitted","False","Travis Coleman","6 - Closed Lost","00Q5w00001qNTPJEA4","The Stop & Shop Supermarket Company 167","Referral","Glendale","2020-09-04","Glendale","Weekly check-ins to collaborate on a go-forward plan.",91,11,2160,0,1,67,1,73,3,1
"Kari Rende 47","No","None","00Q5w00001zd9ZgEAI","2020-07-13","5 - Nurture","4 - Closed","006Dp000004HJc0IAG","91789","0065w000022R1ZSAA0","Kari Rende 47","0015w00002DLYB3AAP","Winning","4 - Converted","Closed","True","Crystal Stevens","5 - Closed Won","00Q5w00001qNTPJEA4","The Stop & Shop Supermarket Company 174","Website","San Gabriel Valley","2020-09-03","City of Industry","Initial introduction call went well. Still need to confirm budget and timing.",20,71,84000,0,1,68,1,43,2,0
"Troy Bullock 48","Yes","Referral Campaign","00Q5w00001zd9ZgEAI","2020-06-30","1 - New","5 - Omitted","006Dp000004HJc0IAG","91207","0065w000022R1ZSAA0","Troy Bullock 48","0015w00002DLYB1AAP","Losing","5 - Unqualified","Omitted","False","Robin Montgomery","1 - Qualification","00Q5w00001qNTPJEA4","Rofin-Sinar Technologies 187","Referral","Glendale","2020-05-25","Glendale","Send email with more information and capture decision criteria.",2,36,93500,1,5,169,2,118,10,2
"Niki Sullivan 49","No","Telemarketing Campaign","00Q5w00001zd9ZgEAI","2020-04-02","6 - Unqualified","5 - Omitted","006Dp000004HJc0IAG","91723","0065w000022R1ZSAA0","Niki Sullivan 49","0015w00002DLYB5AAP","Losing","5 - Unqualified","Omitted","True","Crystal Stevens","6 - Closed Lost","00Q5w00001qNTPJEA4","iPrint.com 195","Cold Call","Covina Hills","2019-11-04","Covina Hills","Send email with more information and capture decision criteria.",154,29,139000,1,2,372,0,5,4,1
"Chip Colli 50","No","Annual Customer Conference","00Q5w00001zd9ZgEAI","2020-01-23","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","90608","0065w000022R1ZSAA0","Chip Colli 50","0015w00002DLYB6AAP","Losing","1 - New","Pipeline","False","Brandy Mullins","2 - Discovery","00Q5w00001qNTPJEA4","Quality Resource Assoc 204","Event","Whittier","2020-06-11","Whittier","Validated interest level. Plan to give a call on Thursday.",45,30,7230,2,2,152,1,51,6,1
"Gabe Hoskins 51","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2019-12-24","4 - Qualifed","3 - Commit","006Dp000004HJc0IAG","90815","0065w000022R1ZSAA0","Gabe Hoskins 51","0015w00002DLYANAA5","Winning","3 - Qualified","Commit","True","Mary Powers","4 - Negotiation","00Q5w00001qNTPJEA4","Quality Resource Assoc 207","Website","Cypress","2020-09-11","Long Beach","Presentation went well. Follow up meeting scheduled for Tueday.",221,89,16000,2,2,60,3,128,9,2
"Stacy McNeil 52","No","Referral Campaign","00Q5w00001zd9ZgEAI","2020-03-05","2 - Contacted","1 - Pipeline","006Dp000004HJc0IAG","91006","0065w000022R1ZSAA0","Stacy McNeil 52","0015w00002DLYAFAA5","Losing","1 - New","Pipeline","True","Robin Montgomery","2 - Discovery","00Q5w00001qNTPJEA4","Product Development Consulting 215","Referral","San Gabriel Valley","2020-02-10","Arcadia","Price negiotations and expecting signed agreement soon.",61,21,110000,4,0,274,2,10,6,0
"Robert Simpson 53","No","Twitter Inbound Campaign","00Q5w00001zd9ZgEAI","2020-09-08","1 - New","5 - Omitted","006Dp000004HJc0IAG","91203","0065w000022R1ZSAA0","Robert Simpson 53","0015w00002DLYAOAA5","Losing","5 - Unqualified","Omitted","True","Brian Norris","1 - Qualification","00Q5w00001qNTPJEA4","Product Development Consulting 217","Social Media","Glendale","2020-03-15","Glendale","Initial introduction call went well. Still need to confirm budget and timing.",131,33,6510,2,0,240,1,89,5,2
"Larry Baxter 54","No","Web-to-Lead Campaign","00Q5w00001zd9ZgEAI","2020-07-11","3 - Working","2 - Best Case","006Dp000004HJc0IAG","90831","0065w000022R1ZSAA0","Larry Baxter 54","0015w00002DLYA9AAP","Winning","2 - Working","Best Case","False","Brian Norris","3 - Proposal/Quote","00Q5w00001qNTPJEA4","Product Development Consulting 222","Website","Cypress","2020-10-01","Long Beach","Weekly check-ins to collaborate on a go-forward plan.",204,74,121000,1,1,40,0,35,6,4
