"SA_ParentRecordId_AccountId_Name","User_User_Username","SA_ServiceTerritoryId_Name","SA_ProductRequired_Product2Id","User_User_Id","SA_ServiceTerritoryId_State","SA_ParentRecordId_Priority","SA_Status","User_User_SmallPhotoUrl","User_IsCapacityBased","User_User_Name","ServiceResourceId","SA_ParentRecordId_CaseId","ServiceAppointmentId","User_Description","SA_CreatedDate","SA_StatusCategory","SA_ParentRecordId_WorkTypeId_Name","SA_ProductRequired_ProductName","CreatedDate","SA_EarliestStartTime","SA_ProductConsumed_ProductName","Id","SA_Id","SA_ParentRecordId_CreatedDate","User_Id","User_User_Email","ActualTravelTime","EstimatedTravelTime"
"Ohana, Inc.","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzlVQAQ","Field Service Lightning User","2021-01-11","Scheduled","Field Connect",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iIojQAE","08p2X000000pzlVQAQ","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",15,25
"UlyssesNet","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzldQAA","Field Service Lightning User","2021-01-11","Scheduled","Reclamation",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iIopQAE","08p2X000000pzldQAA","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",30,11
"Ohana, Inc.","rclark.wb8wmuppcmjy.4g8fglbhrqpy@summer20-sd.sdo","*San Francisco","01t2X0000071XyFQAU","0052X00000AcWf6QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glza/T","FALSE","Ralph Clark","0Hn2X000000cXJhSAM",,"08p2X000000pzpOQAQ","Field Service Lightning User","2021-01-11","Scheduled","Battery Replacement","Battery, Low Capacity","2020-07-28 00:41:59","2020-06-24",,"03r2X000000iIqKQAU","08p2X000000pzpOQAQ","2020-07-28 00:41:59","0Hn2X000000cXJhSAM","ralph@example.com",45,6
,"agonzale.zysykqqnmut6.exiejicw5f23@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbfQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyO/T","FALSE","Anita Gonzalez","0Hn2X000000cXJwSAM",,"08p2X000000pzoAQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqLQAU","08p2X000000pzoAQAQ",,"0Hn2X000000cXJwSAM","agonzale@example.com",60,0
,"mmayo.bmycdiailc3w.h0vrux3pkheg@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbbQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyK/T","FALSE","Mark Mayo","0Hn2X000000cXJxSAM",,"08p2X000000pzoBQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqMQAU","08p2X000000pzoBQAQ",,"0Hn2X000000cXJxSAM","mmayo@example.com",60,0
,"rperez.ecx2tvfxbg6k.mitonfrqyn54@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbeQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyN/T","FALSE","Russell Perez","0Hn2X000000cXJySAM",,"08p2X000000pzoCQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqNQAU","08p2X000000pzoCQAQ",,"0Hn2X000000cXJySAM","rperez@example.com",30,0
,"tle.pxe9qgogv94c.mymed20xebzu@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbcQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyL/T","FALSE","Tina Le","0Hn2X000000cXJzSAM",,"08p2X000000pzoEQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqOQAU","08p2X000000pzoEQAQ",,"0Hn2X000000cXJzSAM","tle@example.com",30,0
,"rperez.ecx2tvfxbg6k.mitonfrqyn54@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbeQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyN/T","FALSE","Russell Perez","0Hn2X000000cXJySAM",,"08p2X000000pzoFQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqPQAU","08p2X000000pzoFQAQ",,"0Hn2X000000cXJySAM","rperez@example.com",30,0
,"cruiz.mrsttdjzuwoc.5dlq8lhnoyu0@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbaQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyJ/T","FALSE","Connie Ruiz","0Hn2X000000cXK0SAM",,"08p2X000000pzoGQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqQQAU","08p2X000000pzoGQAQ",,"0Hn2X000000cXK0SAM","cruiz@example.com",30,0
,"cruiz.mrsttdjzuwoc.5dlq8lhnoyu0@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbaQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyJ/T","FALSE","Connie Ruiz","0Hn2X000000cXK0SAM",,"08p2X000000pzoIQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqRQAU","08p2X000000pzoIQAQ",,"0Hn2X000000cXK0SAM","cruiz@example.com",30,0
,"cruiz.mrsttdjzuwoc.5dlq8lhnoyu0@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbaQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyJ/T","FALSE","Connie Ruiz","0Hn2X000000cXK0SAM",,"08p2X000000pzoHQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqSQAU","08p2X000000pzoHQAQ",,"0Hn2X000000cXK0SAM","cruiz@example.com",30,0
,"tle.pxe9qgogv94c.mymed20xebzu@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbcQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyL/T","FALSE","Tina Le","0Hn2X000000cXJzSAM",,"08p2X000000pzoJQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqTQAU","08p2X000000pzoJQAQ",,"0Hn2X000000cXJzSAM","tle@example.com",30,0
,"agonzale.zysykqqnmut6.exiejicw5f23@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbfQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyO/T","FALSE","Anita Gonzalez","0Hn2X000000cXJwSAM",,"08p2X000000pzoDQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqUQAU","08p2X000000pzoDQAQ",,"0Hn2X000000cXJwSAM","agonzale@example.com",30,0
,"mmayo.bmycdiailc3w.h0vrux3pkheg@summer20-sd.sdo","San Francisco Training Center",,"0052X00000AcWbbQAF","CA",,"Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glyK/T","FALSE","Mark Mayo","0Hn2X000000cXJxSAM",,"08p2X000000pzoKQAQ","Lightning Scheduler User","2021-01-11","Scheduled",,,"2020-07-28 00:41:59","2020-01-09",,"03r2X000000iIqVQAU","08p2X000000pzoKQAQ",,"0Hn2X000000cXJxSAM","mmayo@example.com",30,0
"Larry Baxter","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfGQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzk/T","FALSE","Jim Matthews","0Hn2X000000cXJmSAM",,"08p2X000000pzYkQAI","Field Service Lightning User","2021-01-01","Completed","Corrective Maintenance",,"2020-07-28 02:36:01","2021-03-02","Large Turbine","03r2X000000iJEoQAM","08p2X000000pzYkQAI","2020-07-28 00:41:59","0Hn2X000000cXJmSAM","jim@example.com",30,19
"Ohana Systems","areed@summer20-sd.sdo","*San Francisco","01t2X0000071XyFQAU","0052X00000AcWf7QAF","CA","Low","Dispatched","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzb/T","FALSE","Alan Reed","0Hn2X000000cXJaSAM","5002X00002kb2n4QAA","08p2X000000qN31QAE","Field Service Lightning User","2021-01-14","Dispatched","Battery Replacement","Battery, Low Capacity","2020-07-31 01:39:07","2021-01-14",,"03r2X000000iQNgQAM","08p2X000000qN31QAE","2020-07-31 01:37:30","0Hn2X000000cXJaSAM","sdhaese@salesforce.com",15,9
"Ohana, Inc.","areed@summer20-sd.sdo","*San Francisco",,"0052X00000AcWf7QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzb/T","FALSE","Alan Reed","0Hn2X000000cXJaSAM",,"08p2X000000qNinQAE","Field Service Lightning User","2021-01-14","Scheduled","Battery Replacement (no added Products)",,"2020-07-31 03:28:27","2021-01-14",,"03r2X000000iQvCQAU","08p2X000000qNinQAE","2020-07-31 03:27:48","0Hn2X000000cXJaSAM","sdhaese@salesforce.com",30,0
"Ohana, Inc.","areed@summer20-sd.sdo","*San Francisco",,"0052X00000AcWf7QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzb/T","FALSE","Alan Reed","0Hn2X000000cXJaSAM",,"08p2X000000qNixQAE","Field Service Lightning User","2021-01-14","Scheduled","Battery Replacement (no added Products)",,"2020-07-31 03:40:52","2021-01-14",,"03r2X000000iQvHQAU","08p2X000000qNixQAE","2020-07-31 03:27:48","0Hn2X000000cXJaSAM","sdhaese@salesforce.com",45,0
"Ohana Systems","areed@summer20-sd.sdo","*San Francisco",,"0052X00000AcWf7QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzb/T","FALSE","Alan Reed","0Hn2X000000cXJaSAM",,"08p2X000000qNncQAE","Field Service Lightning User","2021-01-14","Scheduled","Battery Replacement (no added Products)",,"2020-07-31 06:29:44","2021-01-14",,"03r2X000000iQzjQAE","08p2X000000qNncQAE","2020-07-31 06:28:47","0Hn2X000000cXJaSAM","sdhaese@salesforce.com",60,0
"Ohana, Inc.","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfGQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzk/T","FALSE","Jim Matthews","0Hn2X000000cXJmSAM",,"08p2X000000pzfbQAA","Field Service Lightning User","2021-01-01","Completed","Part Swap",,"2020-09-28 13:46:07","2021-02-21","Product B","03r7R000000sXwfQAE","08p2X000000pzfbQAA","2020-07-28 00:41:59","0Hn2X000000cXJmSAM","jim@example.com",60,3
"Biospan, LLC.","lsmith.x5fzy5qfinkn.qwfn1agwfk37@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfIQAV","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzm/T","FALSE","Lamar Smith","0Hn2X000000cXJnSAM",,"08p2X000000pzfoQAA","Field Service Lightning User","2021-01-11","Scheduled","Installation",,"2020-09-28 13:46:07","2021-03-03","Product C","03r7R000000sXwgQAE","08p2X000000pzfoQAA","2020-07-28 00:41:59","0Hn2X000000cXJnSAM","calbanese@example.com",30,38
"Peter Houston","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfGQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzk/T","FALSE","Jim Matthews","0Hn2X000000cXJmSAM",,"08p2X000000pzfqQAA","Field Service Lightning User","2021-01-01","Completed","Maintenance",,"2020-09-28 13:46:07","2021-02-22","Large Turbine","03r7R000000sXwhQAE","08p2X000000pzfqQAA","2020-07-28 00:41:59","0Hn2X000000cXJmSAM","jim@example.com",30,4
"Ohana Systems","lsmith.x5fzy5qfinkn.qwfn1agwfk37@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfIQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzm/T","FALSE","Lamar Smith","0Hn2X000000cXJnSAM",,"08p2X000000pzfXQAQ","Field Service Lightning User","2020-12-12","Completed","Rebuild",,"2020-09-28 13:46:07","2021-01-31","Installation Services","03r7R000000sXwiQAE","08p2X000000pzfXQAQ","2020-07-28 00:41:59","0Hn2X000000cXJnSAM","calbanese@example.com",30,28
"Jon Allegri","james.clifton.rn02fiqpyqkf.yoa7vwhqfhdh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfEQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzi/T","FALSE","James Clifton","0Hn2X000000cXJkSAM",,"08p2X000000pziEQAQ","Field Service Lightning User","2021-01-01","Completed","Site Survey",,"2020-09-28 13:46:07","2021-02-23","Large Turbine","03r7R000000sXwjQAE","08p2X000000pziEQAQ","2020-07-28 00:41:59","0Hn2X000000cXJkSAM","james@example.com",30,15
"Gabe Hoskins","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfLQAV","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzp/T","FALSE","Pam Lawison","0Hn2X000000cXJrSAM",,"08p2X000000pzfZQAQ","Field Service Lightning User","2021-01-11","Scheduled","Installation",,"2020-09-28 13:46:07","2021-03-04","Product C","03r7R000000sXwkQAE","08p2X000000pzfZQAQ","2020-07-28 00:41:59","0Hn2X000000cXJrSAM","pam@example.com",30,18
"Mike Garcia","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfLQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzp/T","FALSE","Pam Lawison","0Hn2X000000cXJrSAM",,"08p2X000000pzevQAA","Field Service Lightning User","2021-01-01","Completed","Site Survey",,"2020-09-28 13:46:07","2021-02-22","Starter Kit","03r7R000000sXwlQAE","08p2X000000pzevQAA","2020-07-28 00:41:59","0Hn2X000000cXJrSAM","pam@example.com",30,14
"Employnet","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfGQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzk/T","FALSE","Jim Matthews","0Hn2X000000cXJmSAM",,"08p2X000000pzcVQAQ","Field Service Lightning User","2021-01-01","Completed","Maintenance",,"2020-09-28 13:46:07","2021-02-20","Battery, Low Capacity","03r7R000000sXwmQAE","08p2X000000pzcVQAQ","2020-07-28 00:41:59","0Hn2X000000cXJmSAM","jim@example.com",30,32
"Ohana, Inc.","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfLQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzp/T","FALSE","Pam Lawison","0Hn2X000000cXJrSAM",,"08p2X000000pzexQAA","Field Service Lightning User","2021-01-01","Completed","Field Inspection",,"2020-09-28 13:46:07","2021-02-22","Battery, Low Capacity","03r7R000000sXwnQAE","08p2X000000pzexQAA","2020-07-28 00:41:59","0Hn2X000000cXJrSAM","pam@example.com",30,4
"Datanet, Inc.","lsmith.x5fzy5qfinkn.qwfn1agwfk37@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfIQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzm/T","FALSE","Lamar Smith","0Hn2X000000cXJnSAM",,"08p2X000000pzfpQAA","Field Service Lightning User","2021-01-01","Completed","Field Connect",,"2020-09-28 13:46:07","2021-02-21","Mounting System","03r7R000000sXwoQAE","08p2X000000pzfpQAA","2020-07-28 00:41:59","0Hn2X000000cXJnSAM","calbanese@example.com",30,17
"Advanced Communications","madams.ud4zdgivzlsz.ycfb3qhpksa3@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfJQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzn/T","FALSE","Mary Adams","0Hn2X000000cXJpSAM",,"08p2X000000pzd9QAA","Field Service Lightning User","2021-01-01","Completed","Part Swap",,"2020-09-28 13:46:07","2021-02-23","Power Inverter","03r7R000000sXwpQAE","08p2X000000pzd9QAA","2020-07-28 00:41:59","0Hn2X000000cXJpSAM","mary@example.com",30,6
"Kari Rende","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfLQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzp/T","FALSE","Pam Lawison","0Hn2X000000cXJrSAM",,"08p2X000000pzcUQAQ","Field Service Lightning User","2021-01-01","Completed","Site Survey",,"2020-09-28 13:46:07","2021-02-23","Fuses (Set of 4)","03r7R000000sXwqQAE","08p2X000000pzcUQAQ","2020-07-28 00:41:59","0Hn2X000000cXJrSAM","pam@example.com",15,5
"Mina Passini","pmorrison.uktxnke4gyfy.ffg7sh3fmbtl@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfMQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzq/T","FALSE","Paul Morrison","0Hn2X000000cXJsSAM",,"08p2X000000pzfeQAA","Field Service Lightning User","2021-01-01","Completed","Part Swap",,"2020-09-28 13:46:07","2021-02-22","Product A","03r7R000000sXwrQAE","08p2X000000pzfeQAA","2020-07-28 00:41:59","0Hn2X000000cXJsSAM","paul@example.com",30,8
"Associated Supply Co.","mwood.fnyz6gf3zfmp.dwllsqauhrix@summer20-sd.sdo","Los Angeles","01t2X0000071XyEQAU","0052X00000AcWfKQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzo/T","FALSE","Melissa Wood","0Hn2X000000cXJqSAM",,"08p2X000000pzfcQAA","Field Service Lightning User","2020-12-12","Completed","Break-Fix","Connector Cables","2020-09-28 13:46:07","2021-02-02","Power Inverter","03r7R000000sXwsQAE","08p2X000000pzfcQAA","2020-07-28 00:41:59","0Hn2X000000cXJqSAM","melissa@example.com",45,8
"Ohana, Inc.","madams.ud4zdgivzlsz.ycfb3qhpksa3@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfJQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzn/T","FALSE","Mary Adams","0Hn2X000000cXJpSAM",,"08p2X000000pzfdQAA","Field Service Lightning User","2021-01-01","Completed","Site Survey",,"2020-09-28 13:46:07","2021-02-22","Fuses (Set of 4)","03r7R000000sXwtQAE","08p2X000000pzfdQAA","2020-07-28 00:41:59","0Hn2X000000cXJpSAM","mary@example.com",60,10
"Ohana, Inc.","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfGQAV","CA","Low","Completed","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzk/T","FALSE","Jim Matthews","0Hn2X000000cXJmSAM",,"08p2X000000pzfgQAA","Field Service Lightning User","2020-12-12","Completed","Design",,"2020-09-28 13:46:07","2021-02-02","Power Inverter","03r7R000000sXwuQAE","08p2X000000pzfgQAA","2020-07-28 00:41:59","0Hn2X000000cXJmSAM","jim@example.com",60,17
