"OWNERUNIQUEUSERNAME","ISHIGHPRIORITY","OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","CREATEDDATE","OWNERCITY","STATUS","DESCRIPTION","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","DUEDATE","TYPE","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","ACCOUNTBALANCEBUCKET","CALLTYPE","SUBJECT","OWNEREMAIL"
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-28","High","2018-09-14","San Francisco","Completed","-","Manager","Call","0011U00000KuFXTQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-28","Call","20190829135125753975","Income","Client Retention","Call","Aquila Mejia","Inexperienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-15","High","2019-06-20","San Francisco","Completed","-","Manager","Call","0011U00000KuFXUQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-15","Call","20190829135125753975","Income","Client Retention","Call","Britanni Garcia","Moderately Experienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Lunch Meeting","sunil.dixit@example.com"
"Brenda Banker","true","0051U000005KhW6QAK","Household","Customer","NY","2019-07-31","High","2018-06-07","New York","Completed","-","Manager","Call","0011U00000KuFXVQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-31","Other","20190829135125753975","Income","Prospecting","Call","Abel Sanchez","Experienced","2019-08-29","Retired","Mark Garet","2. Between 50k and 250k","Event","Discussion","mark.garet@example.com"
"Brenda Banker","true","0051U000005JQyrQAG","Household","Customer","IL","2019-08-17","High","2018-11-19","Chicago","Completed","-","Manager","Call","0011U00000KuFXXQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-17","Other","20190829135125753975","Aggressive Growth","Client Retention","Call","Brenda Graham","Inexperienced","2019-08-29","High Net Worth Families","Allen Advisor","2. Between 50k and 250k","Event","Sync Up","allen.advisor@example.com"
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-24","High","2019-02-11","Chicago","Completed","-","Manager","Call","0011U00000KuFXYQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-24","Meeting","20190829135125753975","Balanced Growth","Service","Call","Elizabeth Avila","Moderately Inexperienced","2019-08-29","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Sync Up","allen.advisor@example.com"
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-13","High","2019-01-02","Chicago","Completed","-","Manager","Call","0011U00000KuFXaQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-13","Call","20190829135125753975","Aggressive Growth","Onboarding","Call","Lucius Fry","Experienced","2019-08-29","Retired","Allen Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","allen.advisor@example.com"
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-01","High","2019-02-14","Chicago","Completed","-","Manager","Call","0011U00000KuFXbQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-01","Other","20190829135125753975","Balanced Growth","Onboarding","Call","Kato Vega","Inexperienced","2019-08-29","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Lunch Meeting","allen.advisor@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-27","High","2019-05-16","Florida","Completed","-","Manager","Call","0011U00000KuFXcQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-27","Email","20190829135125753975","Growth","Client Retention","Call","Travis Jacobson","Experienced","2019-08-29","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Discussion","ryan.dobson@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Individual","Customer","NY","2019-08-27","High","2019-08-26","New York","Completed","-","Manager","Call","0011U00000KuFXdQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-27","Call","20190829135125753975","Aggressive Growth","Client Retention","Call","Penelope Solis","Experienced","2019-08-29","Mass Market","Mark Garet","2. Between 50k and 250k","Event","Send Birthday Gift","mark.garet@example.com"
"Brenda Banker","true","0051U000005JQyrQAG","Household","Customer","IL","2019-08-10","High","2018-08-17","Chicago","Completed","-","Manager","Call","0011U00000KuFXfQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-10","Meeting","20190829135125753975","Income","Client Retention","Call","Xanthus Wilkins","Moderately Experienced","2019-08-29","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Sync Up","allen.advisor@example.com"
"Chelsea Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2019-07-30","High","2018-07-22","Florida","Completed","-","Manager","Call","0011U00000KuFXgQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-30","Meeting","20190829135125753975","Growth","Prospecting","Call","Palmer Macdonald","Moderately Experienced","2019-08-29","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-10","High","2018-05-10","Florida","Completed","-","Manager","Call","0011U00000KuFXhQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-10","Call","20190829135125753975","Growth","Service","Call","Brett Beard","Moderately Inexperienced","2019-08-29","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Discussion","ryan.dobson@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-08-03","High","2019-06-23","San Francisco","Completed","-","Manager","Call","0011U00000KuFXiQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-03","Call","20190829135125753975","Growth","Prospecting","Call","Ocean Mccullough","Experienced","2019-08-29","High Net Worth Families","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com"
"Chelsea Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-18","High","2018-07-15","Florida","Completed","-","Manager","Call","0011U00000KuFXkQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-18","Call","20190829135125753975","Aggressive Growth","Prospecting","Call","Idola Le","Moderately Experienced","2019-08-29","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Discussion","ryan.dobson@example.com"
"Mark Garet","true","0051U000005JQyrQAG","Individual","Customer","IL","2019-08-13","High","2018-10-07","Chicago","Completed","-","Manager","Call","0011U00000KuFXlQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-13","Other","20190829135125753975","Income","Prospecting","Call","Wade Greer","Experienced","2019-08-29","Mass Market","Allen Advisor","1. Less than 50k","Event","Sync Up","allen.advisor@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2019-08-22","High","2018-11-22","Florida","Completed","-","Manager","Call","0011U00000KuFXmQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-22","Call","20190829135125753975","Growth","Service","Call","Ferris King","Inexperienced","2019-08-29","Retired","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com"
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-17","High","2018-07-20","New York","Completed","-","Manager","Call","0011U00000KuFXnQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-17","Meeting","20190829135125753975","Income","Client Retention","Call","TaShya Perez","Moderately Inexperienced","2019-08-29","Retired","Mark Garet","1. Less than 50k","Event","Summit","mark.garet@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Individual","Customer","FL","2019-07-31","High","2018-12-19","Florida","Completed","-","Manager","Call","0011U00000KuFXqQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-31","Email","20190829135125753975","Aggressive Growth","Service","Call","Ryder Velez","Moderately Experienced","2019-08-29","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Discussion","ryan.dobson@example.com"
"Chelsea Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2019-08-18","High","2019-06-30","Florida","Completed","-","Manager","Call","0011U00000KuFXtQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-18","Meeting","20190829135125753975","Growth","Service","Call","Blaze Pennington","Moderately Inexperienced","2019-08-29","Affluent Professionals","Chelsea Advisor","1. Less than 50k","Event","Evaluate Refinancing Loan","ryan.dobson@example.com"
"Allen Advisor","true","0051U000005L6eJQAS","Individual","Customer","FL","2019-08-10","High","2018-09-15","Florida","Completed","-","Manager","Call","0011U00000KuFXvQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-10","Call","20190829135125753975","Income","Onboarding","Call","Odysseus Grimes","Moderately Inexperienced","2019-08-29","High Net Worth Families","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com"
"Mark Garet","true","0051U000005KhW6QAK","Individual","Customer","NY","2019-08-19","High","2019-02-17","New York","Completed","-","Manager","Call","0011U00000KuFXwQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-19","Other","20190829135125753975","Income","Prospecting","Call","Genevieve Bauer","Inexperienced","2019-08-29","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Quarterly Earnings Summary","mark.garet@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-08-10","High","2018-12-14","San Francisco","Completed","-","Manager","Call","0011U00000KuFXxQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-10","Meeting","20190829135125753975","Income","Service","Call","Lael Rutledge","Moderately Experienced","2019-08-29","Mass Market","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com"
"Allen Advisor","true","0051U000005JQyrQAG","Household","Customer","IL","2019-08-20","High","2018-05-01","Chicago","Completed","-","Manager","Call","0011U00000KuFY0QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-20","Email","20190829135125753975","Aggressive Growth","Prospecting","Call","Orla Weeks","Moderately Inexperienced","2019-08-29","Retired","Allen Advisor","2. Between 50k and 250k","Event","Discussion","allen.advisor@example.com"
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-25","High","2019-03-14","New York","Completed","-","Manager","Call","0011U00000KuFY1QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-25","Other","20190829135125753975","Growth","Onboarding","Call","Yoko Marshall","Moderately Inexperienced","2019-08-29","Millennials","Mark Garet","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","mark.garet@example.com"
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-19","High","2018-05-21","New York","Completed","-","Manager","Call","0011U00000KuFY2QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-19","Email","20190829135125753975","Growth","Prospecting","Call","Odysseus Ortiz","Inexperienced","2019-08-29","Affluent Professionals","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2019-08-23","High","2018-11-21","San Francisco","Completed","-","Manager","Call","0011U00000KuFY3QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-23","Call","20190829135125753975","Growth","Client Retention","Call","Amos May","Inexperienced","2019-08-29","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com"
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-23","High","2019-03-17","San Francisco","Completed","-","Manager","Call","0011U00000KuFY4QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-23","Other","20190829135125753975","Aggressive Growth","Client Retention","Call","Marny Ford","Experienced","2019-08-29","High Net Worth Families","Brenda Banker","2. Between 50k and 250k","Event","Discussion","sunil.dixit@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Individual","Customer","FL","2019-08-09","High","2018-03-31","Florida","Completed","-","Manager","Call","0011U00000KuFY5QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-09","Email","20190829135125753975","Growth","Onboarding","Call","Declan Leblanc","Moderately Inexperienced","2019-08-29","Retired","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com"
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-08","High","2019-05-01","Chicago","Completed","-","Manager","Call","0011U00000KuFY7QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-08","Meeting","20190829135125753975","Income","Prospecting","Call","Brielle Lynn","Inexperienced","2019-08-29","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Lunch Meeting","allen.advisor@example.com"
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-07-31","High","2018-07-21","New York","Completed","-","Manager","Call","0011U00000KuFY8QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-31","Other","20190829135125753975","Aggressive Growth","Onboarding","Call","Ava Bean","Moderately Experienced","2019-08-29","Affluent Professionals","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com"
"Chelsea Advisor","true","0051U000005KhW6QAK","Household","Customer","NY","2019-08-11","High","2018-06-28","New York","Completed","-","Manager","Call","0011U00000KuFY9QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-11","Other","20190829135125753975","Aggressive Growth","Onboarding","Call","Ruby Vargas","Experienced","2019-08-29","Retired","Mark Garet","1. Less than 50k","Event","Send Birthday Gift","mark.garet@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2019-08-03","High","2019-02-03","Florida","Completed","-","Manager","Call","0011U00000KuFYBQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-03","Meeting","20190829135125753975","Income","Service","Call","Lynn Davidson","Moderately Inexperienced","2019-08-29","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Send Birthday Gift","ryan.dobson@example.com"
"Brenda Banker","true","0051U000005L6eJQAS","Household","Customer","FL","2019-08-25","High","2018-06-09","Florida","Completed","-","Manager","Call","0011U00000KuFYCQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-25","Other","20190829135125753975","Balanced Growth","Service","Call","Evangeline Christian","Moderately Inexperienced","2019-08-29","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Send Birthday Gift","ryan.dobson@example.com"
"Allen Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-11","High","2019-02-23","Chicago","Completed","-","Manager","Call","0011U00000KuFYDQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-11","Other","20190829135125753975","Balanced Growth","Client Retention","Call","Ulysses Hale","Inexperienced","2019-08-29","Retired","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com"
"Brenda Banker","true","0051U000005KhW6QAK","Household","Customer","NY","2019-08-12","High","2019-03-09","New York","Completed","-","Manager","Call","0011U00000KuFYFQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-12","Other","20190829135125753975","Growth","Prospecting","Call","Chloe Knox","Experienced","2019-08-29","Retired","Mark Garet","1. Less than 50k","Event","Quarterly Earnings Summary","mark.garet@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Individual","Customer","CA","2019-08-19","High","2018-03-31","San Francisco","Completed","-","Manager","Call","0011U00000KuFYIQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-19","Call","20190829135125753975","Growth","Client Retention","Call","Rigel Joyner","Moderately Inexperienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com"
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-10","High","2019-05-06","San Francisco","Completed","-","Manager","Call","0011U00000KuFYJQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-10","Other","20190829135125753975","Income","Service","Call","Constance Henson","Experienced","2019-08-29","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com"
"Chelsea Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2019-08-22","High","2018-05-22","Chicago","Completed","-","Manager","Call","0011U00000KuFYKQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-22","Meeting","20190829135125753975","Aggressive Growth","Onboarding","Call","Cathleen Mcconnell","Moderately Inexperienced","2019-08-29","Affluent Professionals","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com"
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2019-08-09","High","2019-03-06","San Francisco","Completed","-","Manager","Call","0011U00000KuFYMQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-09","Call","20190829135125753975","Aggressive Growth","Prospecting","Call","Ainsley Cotton","Experienced","2019-08-29","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Summit","sunil.dixit@example.com"
"Allen Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2019-08-16","High","2019-04-18","New York","Completed","-","Manager","Call","0011U00000KuFYNQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-16","Call","20190829135125753975","Aggressive Growth","Service","Call","Raphael Snider","Inexperienced","2019-08-29","Affluent Professionals","Mark Garet","2. Between 50k and 250k","Event","Lunch Meeting","mark.garet@example.com"
