"Opportunity.IsWon","Campaign.Status","Parent.IsActive","Campaign.StartDate","Model.IsActive","Parent.Description","Opportunity.StageName","Campaign.UltimateParent.Name","Campaign.UltimateParent.UltimateParentId","Parent.Status","Campaign.IsActive","Contact.AccountId","Model.DeveloperName","Campaign.Description","Campaign.Type","Account.BillingCountry","Campaign.EndDate","Parent.StartDate","Opportunity.AccountId","Campaign.Name","Parent.RecordType.Name","Opportunity.ForecastCategoryName","ContactId","Parent.RecordTypeId","Parent.EndDate","CampaignId","OpportunityId","Parent.Type","ModelId","Opportunity.Name","Campaign.RecordTypeId","Opportunity.CloseDate","Parent.Name","Contact.Name","Campaign.UltimateParent.ParentCampaign.Name","Campaign.UltimateParent.CampaignParents","Model.MasterLabel","Campaign.ParentId","Account.Name","Campaign.RecordType.Name","Model.ModelType","Campaign.BudgetedCost","Parent.NumberOfContacts","Campaign.NumberOfLeads","Parent.NumberSent","Campaign.ActualCost","Campaign.NumberOfResponses","Parent.ExpectedResponse","Campaign.NumberSent","Parent.NumberOfConvertedLeads","Campaign.NumberOfContacts","Influence","Campaign.NumberOfOpportunities","Campaign.ExpectedResponse","Parent.NumberOfOpportunities","Parent.NumberOfResponses","RevenueShare","Parent.ActualCost","Parent.NumberOfLeads","Campaign.NumberOfWonOpportunities","Parent.NumberOfWonOpportunities","Campaign.NumberOfConvertedLeads","Parent.BudgetedCost","Opportunity.Amount"
"false","Completed","true","2020-04-10","true","Annual plan for all marketing campaigns at the company.","Negotiation","Invitation to Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9BlAAJ","b2bmaLastTouchModel","Campaign designed to drive attendance at our Annual Customer Event.","Email","USA","2020-05-10","2020-04-30","001f400000Pf9BlAAJ","Invitation to Annual Customer Conference","Parent Campaign","Commit","003f400000OSTsBAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN2AAI","006f400000CKzkIAAT","Multi-Channel","03Vf4000000XnOsEAK","Harmon Consulting - New Business - 40K","012f4000001BWl2AAG","2020-06-25","*Annual Marketing Plan","Bradley Harmon","*Annual Marketing Plan","701f40000011dN2AAI","Last Touch Model","701f40000011dNEAAY","Harmon Consulting","Child Campaign",4,10000,0,95,0,15000,166,0,15000,0,85,20,5,5,0,0,8000,0,0,0,0,0,0,40000
"false","Planned","true","2020-07-24","true","Annual plan for all marketing campaigns at the company.","Negotiation","Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9BlAAJ","b2bmaLastTouchModel","Our annual event to bring our customers together, educate and engage them, and drive additional business.","Event","USA","2020-08-23","2020-04-30","001f400000Pf9BlAAJ","Annual Customer Conference","Parent Campaign","Commit","003f400000OSTsBAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN3AAI","006f400000CKzkIAAT","Multi-Channel","03Vf4000000XnOsEAK","Harmon Consulting - New Business - 40K","012f4000001BWl2AAG","2020-06-25","*Annual Marketing Plan","Bradley Harmon","*Annual Marketing Plan","701f40000011dN3AAI","Last Touch Model","701f40000011dNHAAY","Harmon Consulting","Child Campaign",4,65000,0,22,0,54000,107,0,100000,0,92,20,7,0,0,0,8000,0,0,3,0,1,0,40000
"false","Completed","true","2020-01-26","true","Annual plan for all marketing campaigns at the company.","Negotiation","New Customer Campaign","701f40000011dNIAAY","In Progress","true","001f400000Pf9BlAAJ","b2bmaLastTouchModel","C- and VP-level lunch with special guest speaker to raise awareness and drive deeper customer engagement.","Event","USA","2020-02-25","2020-04-30","001f400000Pf9BlAAJ","New Customer Campaign","Parent Campaign","Commit","003f400000OSTsBAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN7AAI","006f400000CKzkIAAT","Multi-Channel","03Vf4000000XnOsEAK","Harmon Consulting - New Business - 40K","012f4000001BWl2AAG","2020-06-25","*Annual Marketing Plan","Bradley Harmon","*Annual Marketing Plan","701f40000011dN7AAI","Last Touch Model","701f40000011dNHAAY","Harmon Consulting","Child Campaign",4,15500,0,16,0,15300,30,0,0,0,17,20,5,0,0,0,8000,0,0,1,0,0,0,40000
"false","Planned","true","2020-08-03","true","Annual plan for all marketing campaigns at the company.","Negotiation","Regional Field Marketing","701f40000011dNIAAY","In Progress","true","001f400000Pf9BlAAJ","b2bmaLastTouchModel","Focused, regional events for targeted accounts and opportunities. Includes dinners, networking events, golf outings and professional sports games.","Event","USA","2020-09-02","2020-04-30","001f400000Pf9BlAAJ","Regional Field Marketing","Parent Campaign","Commit","003f400000OSTsBAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN9AAI","006f400000CKzkIAAT","Multi-Channel","03Vf4000000XnOsEAK","Harmon Consulting - New Business - 40K","012f4000001BWl2AAG","2020-06-25","*Annual Marketing Plan","Bradley Harmon","*Annual Marketing Plan","701f40000011dN9AAI","Last Touch Model","701f40000011dNHAAY","Harmon Consulting","Child Campaign",4,36000,0,41,0,31400,32,0,0,0,10,20,7,0,0,0,8000,0,0,1,0,0,0,40000
"false","Completed","true","2020-04-10","true","Annual plan for all marketing campaigns at the company.","Negotiation","Invitation to Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9BlAAJ","b2bmaFirstTouchModel","Campaign designed to drive attendance at our Annual Customer Event.","Email","USA","2020-05-10","2020-04-30","001f400000Pf9BlAAJ","Invitation to Annual Customer Conference","Parent Campaign","Commit","003f400000OSTsBAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN2AAI","006f400000CKzkIAAT","Multi-Channel","03Vf4000000XnOrEAK","Harmon Consulting - New Business - 40K","012f4000001BWl2AAG","2020-06-25","*Annual Marketing Plan","Bradley Harmon","*Annual Marketing Plan","701f40000011dN2AAI","First Touch Model","701f40000011dNEAAY","Harmon Consulting","Child Campaign",3,10000,0,95,0,15000,166,0,15000,0,85,20,5,5,0,0,8000,0,0,0,0,0,0,40000
"false","Planned","true","2020-07-24","true","Annual plan for all marketing campaigns at the company.","Negotiation","Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9BlAAJ","b2bmaFirstTouchModel","Our annual event to bring our customers together, educate and engage them, and drive additional business.","Event","USA","2020-08-23","2020-04-30","001f400000Pf9BlAAJ","Annual Customer Conference","Parent Campaign","Commit","003f400000OSTsBAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN3AAI","006f400000CKzkIAAT","Multi-Channel","03Vf4000000XnOrEAK","Harmon Consulting - New Business - 40K","012f4000001BWl2AAG","2020-06-25","*Annual Marketing Plan","Bradley Harmon","*Annual Marketing Plan","701f40000011dN3AAI","First Touch Model","701f40000011dNHAAY","Harmon Consulting","Child Campaign",3,65000,0,22,0,54000,107,0,100000,0,92,20,7,0,0,0,8000,0,0,3,0,1,0,40000
"false","Planned","true","2020-06-04","true","Annual plan for all marketing campaigns at the company.","Negotiation","Twitter Inbound Campaign","701f40000011dNIAAY","In Progress","true","001f400000Pf9BlAAJ","b2bmaFirstTouchModel","Engage customers who tweet our company's official Twitter handle.","Social Media","USA","2020-07-04","2020-04-30","001f400000Pf9BlAAJ","Twitter Inbound Campaign","Parent Campaign","Commit","003f400000OSTsBAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN6AAI","006f400000CKzkIAAT","Multi-Channel","03Vf4000000XnOrEAK","Harmon Consulting - New Business - 40K","012f4000001BWl2AAG","2020-06-25","*Annual Marketing Plan","Bradley Harmon","*Annual Marketing Plan","701f40000011dN6AAI","First Touch Model","701f40000011dNGAAY","Harmon Consulting","Child Campaign",3,12000,0,0,0,11400,26,0,0,0,41,20,5,0,0,0,8000,0,0,1,0,0,0,40000
"false","Planned","true","2020-08-03","true","Annual plan for all marketing campaigns at the company.","Negotiation","Regional Field Marketing","701f40000011dNIAAY","In Progress","true","001f400000Pf9BlAAJ","b2bmaFirstTouchModel","Focused, regional events for targeted accounts and opportunities. Includes dinners, networking events, golf outings and professional sports games.","Event","USA","2020-09-02","2020-04-30","001f400000Pf9BlAAJ","Regional Field Marketing","Parent Campaign","Commit","003f400000OSTsBAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN9AAI","006f400000CKzkIAAT","Multi-Channel","03Vf4000000XnOrEAK","Harmon Consulting - New Business - 40K","012f4000001BWl2AAG","2020-06-25","*Annual Marketing Plan","Bradley Harmon","*Annual Marketing Plan","701f40000011dN9AAI","First Touch Model","701f40000011dNHAAY","Harmon Consulting","Child Campaign",3,36000,0,41,0,31400,32,0,0,0,10,20,7,0,0,0,8000,0,0,1,0,0,0,40000
"false","Planned","true","2020-07-24","true","Annual plan for all marketing campaigns at the company.","Proposal/Quote","Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9AlAAJ","primaryModel","Our annual event to bring our customers together, educate and engage them, and drive additional business.","Event",,"2020-08-23","2020-04-30","001f400000Pf9BIAAZ","Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTqSAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN3AAI","006f400000CKzj3AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","James Wu","*Annual Marketing Plan","701f40000011dN3AAI","Salesforce Model","701f40000011dNHAAY","Newton Farms","Child Campaign",1,65000,0,22,0,54000,107,0,100000,0,92,0,7,0,0,0,0,0,0,3,0,1,0,325
"false","Planned","true","2020-07-24","true","Annual plan for all marketing campaigns at the company.","Proposal/Quote","Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9AlAAJ","primaryModel","Our annual event to bring our customers together, educate and engage them, and drive additional business.","Event",,"2020-08-23","2020-04-30","001f400000Pf9BIAAZ","Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTqUAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN3AAI","006f400000CKzj3AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","Mark Kingston","*Annual Marketing Plan","701f40000011dN3AAI","Salesforce Model","701f40000011dNHAAY","Newton Farms","Child Campaign",1,65000,0,22,0,54000,107,0,100000,0,92,0,7,0,0,0,0,0,0,3,0,1,0,325
"false","Completed","true","2020-04-10","true","Annual plan for all marketing campaigns at the company.","Proposal/Quote","Invitation to Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9ArAAJ","primaryModel","Campaign designed to drive attendance at our Annual Customer Event.","Email",,"2020-05-10","2020-04-30","001f400000Pf9BIAAZ","Invitation to Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTrKAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN2AAI","006f400000CKzj3AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","Keith Lopez","*Annual Marketing Plan","701f40000011dN2AAI","Salesforce Model","701f40000011dNEAAY","Newton Farms","Child Campaign",1,10000,0,95,0,15000,166,0,15000,0,85,0,5,5,0,0,0,0,0,0,0,0,0,325
"false","In Progress","true","2020-04-22","true","Annual plan for all marketing campaigns at the company.","Proposal/Quote","Referral Program Launch","701f40000011dNIAAY","In Progress","true","001f400000Pf9ArAAJ","primaryModel","Email campaign encouraging referrals from current customers by providing discounts and incentives.","Email",,"2020-05-22","2020-04-30","001f400000Pf9BIAAZ","Referral Program Launch","Parent Campaign","Best Case","003f400000OSTrKAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dNAAAY","006f400000CKzj3AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","Keith Lopez","*Annual Marketing Plan","701f40000011dNAAAY","Salesforce Model","701f40000011dNEAAY","Newton Farms","Child Campaign",1,35000,0,56,0,33000,55,0,18575,0,10,0,12,0,0,0,0,0,0,5,0,9,0,325
"false","In Progress","true","2020-04-30","true","Annual plan for all marketing campaigns at the company.","Proposal/Quote","Google Adwords","701f40000011dNIAAY","In Progress","true","001f400000Pf9ArAAJ","primaryModel","Google AdWords campaign to drive new leads to our public website.","Web Marketing",,"2020-05-30","2020-04-30","001f400000Pf9BIAAZ","Google Adwords","Parent Campaign","Best Case","003f400000OSTrKAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN4AAI","006f400000CKzj3AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","Keith Lopez","*Annual Marketing Plan","701f40000011dN4AAI","Salesforce Model","701f40000011dNFAAY","Newton Farms","Child Campaign",1,10000,0,58,0,8300,51,0,100,0,10,0,6,0,0,0,0,0,0,2,0,9,0,325
"false","Planned","true","2020-06-04","true","Annual plan for all marketing campaigns at the company.","Proposal/Quote","Twitter Inbound Campaign","701f40000011dNIAAY","In Progress","true","001f400000Pf9ArAAJ","primaryModel","Engage customers who tweet our company's official Twitter handle.","Social Media",,"2020-07-04","2020-04-30","001f400000Pf9BIAAZ","Twitter Inbound Campaign","Parent Campaign","Best Case","003f400000OSTrKAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN6AAI","006f400000CKzj3AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","Keith Lopez","*Annual Marketing Plan","701f40000011dN6AAI","Salesforce Model","701f40000011dNGAAY","Newton Farms","Child Campaign",1,12000,0,0,0,11400,26,0,0,0,41,0,5,0,0,0,0,0,0,1,0,0,0,325
"false","Planned","true","2020-07-24","true","Annual plan for all marketing campaigns at the company.","Proposal/Quote","Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9ArAAJ","primaryModel","Our annual event to bring our customers together, educate and engage them, and drive additional business.","Event",,"2020-08-23","2020-04-30","001f400000Pf9BIAAZ","Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTrKAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN3AAI","006f400000CKzj3AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","Keith Lopez","*Annual Marketing Plan","701f40000011dN3AAI","Salesforce Model","701f40000011dNHAAY","Newton Farms","Child Campaign",1,65000,0,22,0,54000,107,0,100000,0,92,0,7,0,0,0,0,0,0,3,0,1,0,325
"false","Planned","true","2020-07-24","true","Annual plan for all marketing campaigns at the company.","Discovery","Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9AlAAJ","primaryModel","Our annual event to bring our customers together, educate and engage them, and drive additional business.","Event",,"2020-08-23","2020-04-30","001f400000Pf9BIAAZ","Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTqSAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN3AAI","006f400000CKzj2AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","James Wu","*Annual Marketing Plan","701f40000011dN3AAI","Salesforce Model","701f40000011dNHAAY","Newton Farms","Child Campaign",1,65000,0,22,0,54000,107,0,100000,0,92,0,7,0,0,0,0,0,0,3,0,1,0,500
"false","Completed","true","2020-04-10","true","Annual plan for all marketing campaigns at the company.","Discovery","Invitation to Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9AlAAJ","primaryModel","Campaign designed to drive attendance at our Annual Customer Event.","Email",,"2020-05-10","2020-04-30","001f400000Pf9BIAAZ","Invitation to Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTqjAAH","012f4000001BWl3AAG","2020-05-30","701f40000011dN2AAI","006f400000CKzj2AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","Bob Hodges","*Annual Marketing Plan","701f40000011dN2AAI","Salesforce Model","701f40000011dNEAAY","Newton Farms","Child Campaign",1,10000,0,95,0,15000,166,0,15000,0,85,0,5,5,0,0,0,0,0,0,0,0,0,500
"false","Planned","true","2020-06-04","true","Annual plan for all marketing campaigns at the company.","Discovery","Twitter Inbound Campaign","701f40000011dNIAAY","In Progress","true","001f400000Pf9AlAAJ","primaryModel","Engage customers who tweet our company's official Twitter handle.","Social Media",,"2020-07-04","2020-04-30","001f400000Pf9BIAAZ","Twitter Inbound Campaign","Parent Campaign","Best Case","003f400000OSTqjAAH","012f4000001BWl3AAG","2020-05-30","701f40000011dN6AAI","006f400000CKzj2AAD","Multi-Channel","03Vf4000000XnOuEAK","Newtown Farms - Add-On Business - <1k","012f4000001BWl2AAG","2020-05-22","*Annual Marketing Plan","Bob Hodges","*Annual Marketing Plan","701f40000011dN6AAI","Salesforce Model","701f40000011dNGAAY","Newton Farms","Child Campaign",1,12000,0,0,0,11400,26,0,0,0,41,0,5,0,0,0,0,0,0,1,0,0,0,500
