"LastModifiedDate","Company","Account.Type","Opportunity.Description","Opportunity.IsWon","Opportunity.RecordTypeId","Name","Industry","ConvertedOpportunityId","Opportunity.StageName","Contact.PhotoUrl","Account.CreatedDate","CurrentDate","Status","ConvertedAccountId","IsConverted","Contact.AccountId","Opportunity.Id","Opportunity.IsClosed","LeadSource","Account.BillingCountry","CreatedDate","Account.OwnerId","Country","StatusSortOrder.ApiName","Id","Opportunity.AccountId","ConvertedDate","Rating","Opportunity.ForecastCategoryName","Contact.Id","Account.Industry","ConvertedContactId","Account.Id","OwnerId","Opportunity.ForecastCategory","StatusSortOrder.Id","Account.AccountSource","Opportunity.Name","Opportunity.CloseDate","Account.BillingState","IsUnreadByOwner","Contact.Name","Opportunity.CreatedDate","Opportunity.OwnerId","Account.LastModifiedDate","Account.Name","Opportunity.LeadSource","StatusSortOrder.SortOrder","ChangeDurationField","Account.AnnualRevenue","OpportunityAge","Account.NumberOfEmployees","LeadAge","Opportunity.Amount"
"2018-08-24T22:12:40.000Z","Ferguson",,,,,"Yolanda Ashworth","Biotechnology",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53bMAA",,,"Warm",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Meredith Construction",,,,,"Lorraine Boettcher","Chemicals",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53cMAA",,,"Hot",,,,,,"00GB00000037NZLMA2",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2019-03-10T00:24:38.000Z","TMC, Inc.",,,,,"Keli Chance","Communications",,,,,"2020-07-27T17:25:13.544Z","Contacted",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA",,"00QB0000005d53dMAA",,,"Hot",,,,,,"005B0000004ie0yIAA",,,,,,,"true",,,,,,,,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Universe Design",,,,,"Rosa Abelin","Engineering",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53eMAA",,,"Warm",,,,,,"005B0000004hsWAIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Griffin Automotive Glass",,,,,"Kathryn Grisham","Healthcare & Life Sciences",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53fMAA",,,"Warm",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Border States Electric Supply",,,,,"Garrett Lavoie","Electronics",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53gMAA",,,"Cool",,,,,,"005B0000004hsW6IAI",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Printingforless.Com",,,,,"Stacy Mcewan","Insurance",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53hMAA",,,"Hot",,,,,,"005B0000004hsW8IAI",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Richland Yellowstone Mfg",,,,,"Summer Nitz","Government",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Referral",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53iMAA",,,"Cool",,,,,,"005B0000004hsWAIAY",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Pillar Storage",,,,,"Star Orvis","Government",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53jMAA",,,"Warm",,,,,,"005B0000004hsWGIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Plum Creek Timber Co Inc",,,,,"Lionel Nolen","Entertainment",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53kMAA",,,"Warm",,,,,,"005B0000004hsWHIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","West Seeds",,,,,"Louis Yu","Hospitality",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53lMAA",,,"Warm",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Vip Svc Inc",,,,,"Brittney Tannehill","Environmental",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53mMAA",,,"Warm",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","McGriff, Seibels & Williams, Inc.",,,,,"Beth Hillhouse","Finance",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Cold Call",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53nMAA",,,"Cool",,,,,,"005B0000004hsWAIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Command Alkon, Inc.",,,,,"Jennifer Presswood","Food & Beverage",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53oMAA",,,"Warm",,,,,,"005B0000004hsWGIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Pacific Gas & Electric",,,,,"Leigh Andrew","Healthcare & Life Sciences",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53pMAA",,,"Cool",,,,,,"005B0000004hsWJIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-09-24T17:14:10.000Z","Wilson Logistics",,,"false","012B0000000ATFWIA4","Genaro Brassfield","Insurance","006B0000004W6irIAC","Qualification",,"2018-09-24T17:14:06.000Z","2020-07-27T17:25:13.544Z","Converted","001B000000oahsvIAA","true","001B000000oahsvIAA","006B0000004W6irIAC","false","Social Media","USA","2018-08-24T22:12:40.000Z","005B0000004hsWAIAY","USA","Converted","00QB0000005d53qMAA","001B000000oahsvIAA","2018-09-24","Hot","Pipeline","003B000000Dt54nIAB","Insurance","003B000000Dt54nIAB","001B000000oahsvIAA","005B0000004hsWAIAY","Pipeline","01JB000000AL5ifMAD","Social Media","Wilson Logistics-","2018-09-30","PA","false","Genaro Brassfield","2018-09-24T17:14:08.000Z","005B0000004hsWAIAY","2018-09-24T17:14:11.000Z","Wilson Logistics","Social Media",4,702.8,70000000,702,1400,30,
"2018-08-24T22:12:40.000Z","Blue Star Storage",,,,,"Jamie Genest","Consulting",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53rMAA",,,"Hot",,,,,,"00GB00000037NZLMA2",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Hagadone Investment Co",,,,,"Carolyn Gridley","Machinery",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53sMAA",,,"Warm",,,,,,"005B0000004hsW8IAI",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Evergreen Builders Supply",,,,,"Jody Maxfield","Hospitality",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53tMAA",,,"Hot",,,,,,"005B0000004hsWHIAY",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Simplex Grinnell",,,,,"Vanessa Mccaffery","Insurance",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53uMAA",,,"Hot",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Paige Press",,,,,"Lakeisha Pletcher","Communications",,,,,"2020-07-27T17:25:13.544Z","New",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","New","00QB0000005d53vMAA",,,"Warm",,,,,,"00GB00000037NZLMA2",,"01JB000000AL5idMAD",,,,,"false",,,,,,,1,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Montana Rockworks Llp",,,,,"Jeramy Rodman","Environmental",,,,,"2020-07-27T17:25:13.544Z","Contacted",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA",,"00QB0000005d53wMAA",,,"Warm",,,,,,"005B0000004hsW6IAI",,,,,,,"false",,,,,,,,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Sodexho Food",,,,,"Charlene Reiber","Government",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Website",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53yMAA",,,"Cool",,,,,,"005B0000004hsWCIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Wittichen Supply Company",,,,,"Rhett Bissett","Government",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d53zMAA",,,"Warm",,,,,,"005B0000004hsWGIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Montola Growers Inc",,,,,"Reagan Topps","Communications",,,,,"2020-07-27T17:25:13.544Z","Contacted",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA",,"00QB0000005d540MAA",,,"Hot",,,,,,"00GB00000037NZLMA2",,,,,,,"false",,,,,,,,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Garlick Helicopters Inc",,,,,"Juliana Silvis","Consulting",,,,,"2020-07-27T17:25:13.544Z","Contacted",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA",,"00QB0000005d541MAA",,,"Warm",,,,,,"005B0000004hsWHIAY",,,,,,,"false",,,,,,,,702.8,,0,,702,
"2019-03-10T00:24:57.000Z","The Robins and Morton Group",,,,,"Julia Robins","Media",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d542MAA",,,"Hot",,,,,,"005B0000004ie0yIAA",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Ebsco Industries Inc",,,,,"Jarrett Breedlove","Agriculture",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d543MAA",,,"Cool",,,,,,"005B0000004hsWGIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","SunGard Asset Management Systems",,,,,"Dewey Wein","Energy",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d544MAA",,,"Warm",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Ebsco Industries Inc",,,,,"Elisabeth Reardon","Apparel",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d545MAA",,,"Warm",,,,,,"005B0000004hsW9IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Southern Research Institute / Drug Discovery Division",,,,,"Katherine Slayden","Consulting",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d546MAA",,,"Warm",,,,,,"005B0000004hsW9IAI",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Southern Management",,,,,"Lynette Plaster","Transportation",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d547MAA",,,"Hot",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Thompson Power Systems Inc",,,,,"Edith Mcintire","Banking",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d548MAA",,,"Warm",,,,,,"00GB00000037NZLMA2",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Winter Sports Inc",,,,,"Charla Lecroy","Biotechnology",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d549MAA",,,"Hot",,,,,,"005B0000004hsWHIAY",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Discovery Ski Corp",,,,,"Bradford Lawhon","Chemicals",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54AMAQ",,,"Cool",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Great Western Petroleum",,,,,"Shannon Steptoe","Communications",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54BMAQ",,,"Warm",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Novco Parts Plus",,,,,"Brennan Towles","Engineering",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54CMAQ",,,"Warm",,,,,,"005B0000004hsW6IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Red Lodge Mountain",,,,,"Darwin Munk","Healthcare & Life Sciences",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54DMAQ",,,"Warm",,,,,,"005B0000004hsWGIAY",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Taylor Brothers Inc","Enterprise",,,,"Hollie Everhart","Electronics",,,,"2018-08-24T22:12:40.000Z","2020-07-27T17:25:13.544Z","Converted","001B000000mBLVgIAO","true","001B000000mBLVgIAO",,,"Marketing Event","USA","2018-08-24T22:12:40.000Z","005B0000004hsWCIAY","USA","Converted","00QB0000005d54EMAQ",,"2009-01-22","-N/A",,"003B000000DS5smIAD","Communications","003B000000DS5smIAD","001B000000mBLVgIAO","005B0000004ofP3IAI",,"01JB000000AL5ifMAD","Marketing Event",,,"NY","false","Hollie Everhart",,,"2018-09-20T03:32:21.000Z","Kissee Racine",,4,702.8,210000000,0,2400,0,
"2018-08-24T22:12:40.000Z","S & S Canopies & Camper Mfg",,,,,"Tisha Goetz","Insurance",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54FMAQ",,,"Warm",,,,,,"005B0000004hsY0IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Air Controls Co Inc",,,,,"Debra Boehme","Government",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54GMAQ",,,"Cool",,,,,,"005B0000004hsaWIAQ",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Williams Plumbing & Heating",,,,,"Mellissa Harwood","Government",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54HMAQ",,,"Warm",,,,,,"005B0000004hsWJIAY",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Glasgow Stockyards",,,,,"Jennie Lively","Entertainment",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54IMAQ",,,"Hot",,,,,,"005B0000004hsW8IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","American Silkscreen",,,,,"Eddie Kerry","Media",,,,,"2020-07-27T17:25:13.544Z","Contacted",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA",,"00QB0000005d54JMAQ",,,"Cool",,,,,,"005B0000004hsY0IAI",,,,,,,"true",,,,,,,,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Eternal Word Television Network Inc.",,,,,"Celina Lincoln","Transportation",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54KMAQ",,,"Warm",,,,,,"005B0000004hsWHIAY",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Glenn & Wright Inc",,,,,"Florence Wrobel","Agriculture",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54LMAQ",,,"Warm",,,,,,"005B0000004hsW6IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Glenn & Wright Inc",,,,,"Maxwell Carone","Energy",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54MMAQ",,,"Warm",,,,,,"005B0000004hsW9IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Wynfrey Hotel",,,,,"Darwin Ashford","Apparel",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54NMAQ",,,"Warm",,,,,,"00GB00000037NZLMA2",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Kent Corporation",,,,,"Gene Blankenship","Biotechnology",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54OMAQ",,,"Cool",,,,,,"005B0000004hsWHIAY",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Birmingham Race Course",,,,,"Susanna Yocum","Chemicals",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Marketing Event",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54PMAQ",,,"Hot",,,,,,"005B0000004hsWCIAY",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Altec Industries Inc",,,,,"Dante Marcellus","Communications",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54QMAQ",,,"Hot",,,,,,"005B0000004hsWAIAY",,"01JB000000AL5ieMAD",,,,,"false",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Altec Industries Inc",,,,,"Hunter Oles","Engineering",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Website",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54RMAQ",,,"Warm",,,,,,"005B0000004hsWGIAY",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
"2018-08-24T22:12:40.000Z","Altec Industries Inc",,,,,"Bettina Swarts","Insurance",,,,,"2020-07-27T17:25:13.544Z","Working",,"false",,,,"Social Media",,"2018-08-24T22:12:40.000Z",,"USA","Working","00QB0000005d54SMAQ",,,"Hot",,,,,,"005B0000004hsW9IAI",,"01JB000000AL5ieMAD",,,,,"true",,,,,,,2,702.8,,0,,702,
