"OWNERUNIQUEUSERNAME","OWNERID","PRIMARYCONTACTGENDER","OWNERSTATE","AGEBUCKET","SERVICEMODEL","INVESTMENTOBJECTIVES","CREATEDDATE","OWNERCITY","STATUS","MARKETINGSEGMENT","RELATIONSHIPSTARTDATE","RECORDTYPENAME","OWNERROLENAME","BALANCEBUCKET","BILLINGSTREET","OWNERSMALLPHOTOURL","ID","INVESTMENTEXPERIENCE","BILLINGCITY","ANALYTICSDEMO_BATCH_ID_C","BILLINGSTATE","CLIENTCATEGORYCUSTOM","LastProcessedDate","LASTINTERACTION","NEXTREVIEW","PRIMARYCONTACTEMAIL","OWNERNAME","NAME","BILLINGCOUNTRY","RATING","YEARSSINCECLIENTBUCKET","CUSTOMERSEGMENT","OWNEREMAIL","OWNERSHIP","YEARSTARTED","PRIMARYCONTACTAGE","DAYSSINCELASTINTERACTION","YEARSSINCECLIENT","PRIMARYCONTACTANNUALINCOME"
"Brenda Banker","0051U000005L4E9QAK","Male","CA","1. < 18","Tier 3","Aggressive Growth","2019-06-20","San Francisco","Active","Mass Market","2015-06-12","Person Account","Manager","2. Between 50k and 250k","3408 Thompson Skyway","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXMQA3","Moderately Inexperienced","Theresastad","20190823114923194298","CA","2 - Gold","2019-10-07","2019-07-07","2018-03-29","user-15@fsc-demo.com","Brenda Banker","Quinn Cummings","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Public",1935,17,46,2016,211580
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","4. 50-69","Tier 3","Aggressive Growth","2019-02-08","Florida","Active","Mass Market","2012-08-16","Household","Manager","1. Less than 50k","54537 Brandon Camp","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXNQA3","Moderately Inexperienced","Tracyland","20190823114923194298","CA","5 - Standard","2019-10-07","2019-04-08","2019-04-13","user-16@fsc-demo.com","Chelsea Advisor","Hasad Madden","USA","Cool","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Other",1905,53,136,2014,52738
"Allen Advisor","0051U000005JQyrQAG","Female","IL","4. 50-69","Tier 2","Aggressive Growth","2018-08-09","Chicago","Active","High Net Worth Families","2013-04-15","Individual","Manager","2. Between 50k and 250k","0816 Anthony Burgs","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXOQA3","Moderately Experienced","New Davidmouth","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-04-07","2019-07-13","user-17@fsc-demo.com","Allen Advisor","Alfreda Pierce","USA","Cool","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Other",1997,59,137,2013,245968
"Brenda Banker","0051U000005L4E9QAK","Female","CA","3. 30-49","Tier 1","Income","2019-07-08","San Francisco","Active","Mass Market","2015-07-22","Person Account","Manager","1. Less than 50k","12250 Valerie Walk","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXPQA3","Inexperienced","Riversmouth","20190823114923194298","CA","3 - Silver","2019-10-07","2019-08-05","2019-08-19","user-18@fsc-demo.com","Brenda Banker","Erich Grimes","USA","Warm","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Private",1910,49,17,2015,225144
"Brenda Banker","0051U000005L4E9QAK","Male","CA","3. 30-49","Tier 1","Balanced Growth","2018-04-08","San Francisco","Active","Affluent Professionals","2009-09-02","Individual","Manager","2. Between 50k and 250k","363 Stevens Spring","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXQQA3","Experienced","East Danielborough","20190823114923194298","NY","2 - Gold","2019-10-07","2019-06-28","2018-05-30","user-19@fsc-demo.com","Brenda Banker","Ebony Ramsey","USA","Hot","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Other",1880,36,55,2015,118334
"Mark Garet","0051U000005KhW6QAK","Male","NY","5. > 69","Tier 3","Income","2019-03-06","New York","Active","Mass Market","2013-04-19","Household","Manager","2. Between 50k and 250k","6314 Megan Spurs","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXRQA3","Moderately Inexperienced","Taylorport","20190823114923194298","CA","5 - Standard","2019-10-07","2019-07-26","2018-03-16","user-20@fsc-demo.com","Mark Garet","Sloane Holland","USA","Warm","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Public",2008,72,28,2019,221625
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","2. 18-29","Tier 3","Aggressive Growth","2018-06-08","Florida","Active","Millennials","2016-05-21","Person Account","Manager","1. Less than 50k","718 Stephenson Centers","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXSQA3","Moderately Inexperienced","Heatherside","20190823114923194298","CA","3 - Silver","2019-10-07","2019-03-19","2018-11-20","user-21@fsc-demo.com","Chelsea Advisor","Zeph Mcmahon","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Private",1964,26,157,2017,178211
"Allen Advisor","0051U000005JQyrQAG","Female","IL","4. 50-69","Tier 2","Balanced Growth","2018-12-06","Chicago","Active","Millennials","2011-09-11","Household","Manager","1. Less than 50k","31407 Diane Mission","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXTQA3","Moderately Inexperienced","Melissachester","20190823114923194298","CA","5 - Standard","2019-10-07","2019-03-07","2018-03-14","user-22@fsc-demo.com","Allen Advisor","Aquila Mejia","USA","Cool","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Public",1978,54,168,2016,149646
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 2","Balanced Growth","2018-03-20","Florida","Active","Millennials","2014-03-27","Individual","Manager","1. Less than 50k","22832 Bates Fort","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXUQA3","Inexperienced","Jomouth","20190823114923194298","NY","5 - Standard","2019-10-07","2018-07-22","2018-04-05","user-23@fsc-demo.com","Chelsea Advisor","Britanni Garcia","USA","Hot","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Public",2008,48,396,2017,51025
"Allen Advisor","0051U000005JQyrQAG","Female","IL","5. > 69","Tier 3","Growth","2019-02-24","Chicago","Onboarding","Millennials","2011-06-23","Household","Manager","1. Less than 50k","14171 Christopher Lodge","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXVQA3","Inexperienced","Ramosville","20190823114923194298","NY","3 - Silver","2019-10-07","2019-04-07","2018-06-06","user-24@fsc-demo.com","Allen Advisor","Abel Sanchez","USA","Warm","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Subsidiary",1890,71,138,2016,165627
"Allen Advisor","0051U000005JQyrQAG","Female","IL","3. 30-49","Tier 1","Income","2019-05-11","Chicago","Active","Mass Market","2010-11-12","Individual","Manager","1. Less than 50k","79248 Cindy Island","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXWQA3","Experienced","West Larry","20190823114923194298","NY","2 - Gold","2019-10-07","2019-07-16","2018-06-29","user-25@fsc-demo.com","Allen Advisor","Grant Cline","USA","Cool","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Private",1964,36,38,2012,148430
"Brenda Banker","0051U000005L4E9QAK","Female","CA","5. > 69","Tier 2","Growth","2018-04-06","San Francisco","Active","Mass Market","2015-01-03","Household","Manager","2. Between 50k and 250k","85445 Wilson Villages","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXXQA3","Inexperienced","East Carriefort","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-04-16","2018-08-21","user-26@fsc-demo.com","Brenda Banker","Brenda Graham","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Private",1996,73,128,2015,109389
"Allen Advisor","0051U000005JQyrQAG","Male","IL","2. 18-29","Tier 1","Aggressive Growth","2018-03-16","Chicago","Active","Mass Market","2017-05-20","Person Account","Manager","1. Less than 50k","5029 Evans Burg","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXYQA3","Moderately Experienced","Smithborough","20190823114923194298","CA","2 - Gold","2019-10-07","2019-02-16","2018-08-19","user-27@fsc-demo.com","Allen Advisor","Elizabeth Avila","USA","Hot","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Other",1945,25,187,2019,178168
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 2","Balanced Growth","2019-06-30","Florida","Onboarding","Retired","2017-11-29","Person Account","Manager","1. Less than 50k","2413 Lyons Heights","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXZQA3","Experienced","Toddside","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-08-08","2018-10-05","user-28@fsc-demo.com","Chelsea Advisor","Pamela Ayala","USA","Cool","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Public",2004,32,15,2019,227144
"Mark Garet","0051U000005KhW6QAK","Female","NY","4. 50-69","Tier 3","Balanced Growth","2019-07-01","New York","Active","Mass Market","2018-07-25","Person Account","Manager","2. Between 50k and 250k","972 Yates Inlet","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXaQAN","Inexperienced","Maciasside","20190823114923194298","NY","2 - Gold","2019-10-07","2019-08-18","2018-03-21","user-29@fsc-demo.com","Mark Garet","Lucius Fry","USA","Hot","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1913,63,4,2019,190988
"Mark Garet","0051U000005KhW6QAK","Female","NY","4. 50-69","Tier 2","Aggressive Growth","2018-03-18","New York","Prospect","Mass Market","2019-04-30","Individual","Manager","2. Between 50k and 250k","1123 Vance Divide","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXbQAN","Experienced","North Lindseybury","20190823114923194298","CA","3 - Silver","2019-10-07","2018-08-09","2018-10-02","user-30@fsc-demo.com","Mark Garet","Kato Vega","USA","Warm","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1948,58,378,2019,127223
"Brenda Banker","0051U000005L4E9QAK","Female","CA","3. 30-49","Tier 2","Income","2018-04-02","San Francisco","Active","Affluent Professionals","2012-02-14","Household","Manager","2. Between 50k and 250k","0724 Stephen Dale","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXcQAN","Experienced","Jameston","20190823114923194298","NY","3 - Silver","2019-10-07","2018-11-22","2019-02-23","user-31@fsc-demo.com","Brenda Banker","Travis Jacobson","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Private",1993,45,274,2013,152535
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 2","Growth","2018-11-02","New York","Active","Millennials","2017-03-26","Person Account","Manager","1. Less than 50k","7548 Jeffrey Highway","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXdQAN","Experienced","Haynesmouth","20190823114923194298","CA","5 - Standard","2019-10-07","2019-03-11","2019-07-12","user-32@fsc-demo.com","Mark Garet","Penelope Solis","USA","Hot","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1893,22,164,2017,91678
"Brenda Banker","0051U000005L4E9QAK","Female","CA","4. 50-69","Tier 1","Growth","2018-05-22","San Francisco","Active","High Net Worth Families","2012-10-27","Person Account","Manager","1. Less than 50k","2128 Jeffrey Garden","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXeQAN","Experienced","North Kimberly","20190823114923194298","CA","3 - Silver","2019-10-07","2019-07-22","2018-08-13","user-33@fsc-demo.com","Brenda Banker","Ramona Hamilton","USA","Warm","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Private",1989,57,32,2018,109791
"Brenda Banker","0051U000005L4E9QAK","Female","CA","4. 50-69","Tier 3","Balanced Growth","2019-05-18","San Francisco","Prospect","Millennials","2018-10-20","Individual","Manager","2. Between 50k and 250k","491 Nicole Falls","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXfQAN","Moderately Experienced","Port Bryan","20190823114923194298","CA","3 - Silver","2019-10-07","2019-07-10","2018-10-09","user-34@fsc-demo.com","Brenda Banker","Xanthus Wilkins","USA","Warm","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Private",1917,68,44,2019,146823
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","3. 30-49","Tier 2","Balanced Growth","2019-01-24","Florida","Prospect","Affluent Professionals","2017-07-17","Household","Manager","1. Less than 50k","8708 Crawford Prairie","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXgQAN","Moderately Inexperienced","Amyfurt","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-02-19","2018-09-10","user-35@fsc-demo.com","Chelsea Advisor","Palmer Macdonald","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Other",1959,48,184,2017,236403
"Mark Garet","0051U000005KhW6QAK","Male","NY","4. 50-69","Tier 1","Income","2018-10-21","New York","Active","High Net Worth Families","2015-06-26","Person Account","Manager","2. Between 50k and 250k","143 Olson Oval","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXhQAN","Experienced","Kaufmantown","20190823114923194298","NY","5 - Standard","2019-10-07","2019-02-20","2019-05-17","user-36@fsc-demo.com","Mark Garet","Brett Beard","USA","Hot","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Subsidiary",1947,50,184,2019,162184
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","2. 18-29","Tier 3","Growth","2018-11-02","Florida","Active","Retired","2017-08-09","Individual","Manager","2. Between 50k and 250k","106 Chase Walk","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXiQAN","Moderately Experienced","East Donnastad","20190823114923194298","CA","3 - Silver","2019-10-07","2018-11-24","2019-06-07","user-37@fsc-demo.com","Chelsea Advisor","Ocean Mccullough","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Subsidiary",1913,27,272,2018,173249
"Brenda Banker","0051U000005L4E9QAK","Female","CA","5. > 69","Tier 1","Aggressive Growth","2019-03-29","San Francisco","Active","High Net Worth Families","2013-06-07","Household","Manager","1. Less than 50k","163 Jesse Roads","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXjQAN","Inexperienced","New Marcus","20190823114923194298","CA","2 - Gold","2019-10-07","2019-05-03","2019-05-29","user-38@fsc-demo.com","Brenda Banker","Dorian Newton","USA","Hot","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Public",1957,75,111,2014,182497
"Mark Garet","0051U000005KhW6QAK","Female","NY","3. 30-49","Tier 1","Balanced Growth","2018-03-20","New York","Prospect","Mass Market","2012-05-16","Person Account","Manager","1. Less than 50k","742 Sandra Parkway","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXkQAN","Experienced","North Michael","20190823114923194298","NY","1 - Platinum","2019-10-07","2019-03-16","2019-05-25","user-39@fsc-demo.com","Mark Garet","Idola Le","USA","Cool","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Subsidiary",1915,39,159,2019,213684
"Brenda Banker","0051U000005L4E9QAK","Female","CA","2. 18-29","Tier 1","Income","2018-05-11","San Francisco","Active","Mass Market","2013-10-26","Household","Manager","2. Between 50k and 250k","5428 Michelle Walk","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXlQAN","Moderately Inexperienced","West Brandon","20190823114923194298","NY","3 - Silver","2019-10-07","2019-07-28","2018-06-11","user-40@fsc-demo.com","Brenda Banker","Wade Greer","USA","Warm","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Public",1899,26,26,2019,238513
"Mark Garet","0051U000005KhW6QAK","Male","NY","2. 18-29","Tier 3","Aggressive Growth","2018-03-14","New York","Active","High Net Worth Families","2018-01-30","Individual","Manager","2. Between 50k and 250k","479 Tamara Islands","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXmQAN","Inexperienced","Dylanport","20190823114923194298","NY","1 - Platinum","2019-10-07","2018-07-25","2018-03-24","user-41@fsc-demo.com","Mark Garet","Ferris King","USA","Warm","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Private",1979,27,393,2018,137981
"Brenda Banker","0051U000005L4E9QAK","Male","CA","3. 30-49","Tier 1","Balanced Growth","2018-07-19","San Francisco","Onboarding","Retired","2016-04-28","Individual","Manager","1. Less than 50k","4776 Debra Knoll","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXnQAN","Experienced","Pearsonborough","20190823114923194298","NY","5 - Standard","2019-10-07","2019-01-17","2019-01-08","user-42@fsc-demo.com","Brenda Banker","TaShya Perez","USA","Cool","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Private",1971,43,217,2017,110643
"Mark Garet","0051U000005KhW6QAK","Male","NY","3. 30-49","Tier 3","Aggressive Growth","2019-04-17","New York","Active","Mass Market","2019-07-14","Household","Manager","2. Between 50k and 250k","0367 Vargas Inlet","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXoQAN","Experienced","Lake Catherinehaven","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-08-05","2019-06-26","user-43@fsc-demo.com","Mark Garet","Meredith Lowe","USA","Cool","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Other",1909,37,17,2019,120570
