"HOUSEHOLD","OWNERTITLE","OWNERUNIQUEUSERNAME","OWNERID","OWNERSTATE","HOUSEHOLDCREATEDDATE","ACCOUNTCLIENTCATEGORYCUSTOM","ACCOUNTRELATIONSHIPSTARTDATE","LASTMODIFIEDDATE","ACCOUNTSERVICEMODEL","HELDAWAY","ACCOUNTBILLINGCITY","OWNERPHONE","CREATEDDATE","OWNERCITY","RECORDTYPENAME","OWNERROLENAME","ACCOUNTID","HOUSEHOLDNAME","OWNERSMALLPHOTOURL","ID","ACCOUNTYEARSSINCECLIENTBUCKET","ACCOUNTLASTINTERACTION","ACCOUNTAGEBUCKET","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","ACCOUNTNAME","ACCOUNTNEXTREVIEW","LastProcessedDate","PRIMARYOWNER","ACCOUNTCREATEDDATE","ACCOUNTMARKETINGSEGMENT","OWNERNAME","NAME","ACCOUNTBALANCEBUCKET","FINANCIALACCOUNTTYPE","ACCOUNTPRIMARYCONTACTGENDER","ACCOUNTBILLINGSTATE","ACCOUNTSTATUS","MANAGE","OWNEREMAIL","OWNERSHIP","DepositAndInvestmentBalanceAmount","LOANAMOUNT","BALANCEAMOUNT","INVESTMENTAMOUNT","ACCOUNTYEARSSINCECLIENT","ACCOUNTDAYSSINCELASTINTERACTION"
"0011U00000Kcp1KQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2018-03-14","3 - Silver","2013-02-05","2019-08-22","Tier 1","false","Wallacechester",,"2020-07-02","New York","Investment Account","Manager","0011U00000Kcp1MQAR","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000Kcp1MQAR-11","6. Greater than 15Y","2018-05-04T07:46:15","4. 50-69","2.01908231740307E+019","Aggressive Growth","Nigel Adams (Sample)","2018-05-26","2020-07-06","0051U000005KhW6QAK","2018-03-14","High Net Worth Families","Mark Garet","Nigel Adams (Sample) Mutual Fund11","1. Less than 50k","Mutual Fund","Female","CA","Onboarding","true","mark.garet@example.com","Trust",448254,4142,268617,179637,2014,476
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-06-16","3 - Silver","2016-01-15","2019-08-21","Tier 1","true","New Jocelynfurt",,"2020-07-03","Florida","Investment Account","Manager","0011U00000Kcp1OQAR","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000Kcp1OQAR-12","6. Greater than 15Y","2019-01-25T16:39:21","4. 50-69","2.01908231740307E+019","Aggressive Growth","Smith, Kohl and Company (Sample)","2019-02-02","2020-07-06","0051U000005L6eJQAS","2018-06-16","Retired","Chelsea Advisor","Smith, Kohl and Company (Sample) Fixed Annuity12","2. Between 50k and 250k","Fixed Annuity","Male","NY","Active","false","ryan.dobson@example.com","Trust",545758,3750,361916,183842,2016,210
,"NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-06-16","3 - Silver","2016-01-15","2019-08-23","Tier 1","true","New Jocelynfurt",,"2020-07-05","Florida","Investment Account","Manager","0011U00000Kcp1OQAR",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000Kcp1OQAR-13","6. Greater than 15Y","2019-01-25T16:39:21","4. 50-69","2.01908231740307E+019","Aggressive Growth","Smith, Kohl and Company (Sample)","2019-02-02","2020-07-06","0051U000005L6eJQAS","2018-06-16","Retired","Chelsea Advisor","Smith, Kohl and Company (Sample) Managed Account13","2. Between 50k and 250k","Managed Account","Male","NY","Active","false","ryan.dobson@example.com","Trust",591846,4262,341669,250177,2016,210
"0011U00000Kcp1PQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2019-06-01","2 - Gold","2014-05-11","2019-08-21","Tier 2","true","Clementsstad",,"2020-07-01","New York","Mutual Fund Investment","Manager","0011U00000Kcp1PQAR","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000Kcp1PQAR-14","6. Greater than 15Y","2019-08-13T13:06:29","4. 50-69","2.01908231740307E+019","Aggressive Growth","Symonds Household (Sample)","2018-08-29","2020-07-06","0051U000005KhW6QAK","2019-06-01","Retired","Mark Garet","Symonds Household (Sample) Mutual Fund14","2. Between 50k and 250k","Mutual Fund","Female","CA","Prospect","false","mark.garet@example.com","Joint",409157,4230,284609,124548,2015,10
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-07-22","3 - Silver","2016-04-04","2019-08-22","Tier 3","true","Virginiastad",,"2020-07-01","Florida","Investment Account","Manager","0011U00000Kss4jQAB","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000Kss4jQAB-15","6. Greater than 15Y","2019-02-09T21:38:38","2. 18-29","2.01908231740307E+019","Income","Jinni Boyd","2019-08-09","2020-07-06","0051U000005L6eJQAS","2018-07-22","Retired","Chelsea Advisor","Jinni Boyd Fixed Annuity15","2. Between 50k and 250k","Fixed Annuity","Female","CA","Active","false","ryan.dobson@example.com","Individual",459776,3199,263836,195940,2018,194
"0011U00000Kcp1KQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-07-22","3 - Silver","2016-04-04","2019-08-20","Tier 3","false","Virginiastad",,"2020-07-01","Florida","Investment Account","Manager","0011U00000Kss4jQAB","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000Kss4jQAB-16","6. Greater than 15Y","2019-02-09T21:38:38","2. 18-29","2.01908231740307E+019","Income","Jinni Boyd","2019-08-09","2020-07-06","0051U000005L6eJQAS","2018-07-22","Retired","Chelsea Advisor","Jinni Boyd Fixed Annuity16","2. Between 50k and 250k","Fixed Annuity","Female","CA","Active","true","ryan.dobson@example.com","Individual",435634,2924,315446,120188,2018,194
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-07-22","3 - Silver","2016-04-04","2019-08-20","Tier 3","false","Virginiastad",,"2020-07-01","Florida","Investment Account","Manager","0011U00000Kss4jQAB","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000Kss4jQAB-17","6. Greater than 15Y","2019-02-09T21:38:38","2. 18-29","2.01908231740307E+019","Income","Jinni Boyd","2019-08-09","2020-07-06","0051U000005L6eJQAS","2018-07-22","Retired","Chelsea Advisor","Jinni Boyd Brokerage17","2. Between 50k and 250k","Brokerage","Female","CA","Active","true","ryan.dobson@example.com","Trust",519870,4023,334880,184990,2018,194
,"Financial Advisor","Allen Advisor","0051U000005JQyrQAG","IL","2018-06-03","5 - Standard","2013-08-24","2019-08-19","Tier 2","true","Port Bethton",,"2020-07-01","Chicago","Savings Account","Manager","0011U00000KuFXFQA3",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","FinAcct.0011U00000KuFXFQA3-18","6. Greater than 15Y","2019-08-22T17:57:30","4. 50-69","2.01908231740307E+019","Income","Kristen Beasley","2019-05-12","2020-07-06","0051U000005JQyrQAG","2018-06-03","Millennials","Allen Advisor","Kristen Beasley Savings18","2. Between 50k and 250k","Savings","Male","CA","Active","false","allen.advisor@example.com","Trust",567160,3589,334435,232725,2018,0
"0011U00000Kcp1KQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-03-27","2 - Gold","2010-07-07","2019-08-22","Tier 2","true","Sethville",,"2020-07-04","Florida","Investment Account","Manager","0011U00000KuWpYQAV","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuWpYQAV-19","6. Greater than 15Y","2018-12-12T23:31:30","3. 30-49","2.01908231740307E+019","Growth","Fredericka Mccullough","2019-01-03","2020-07-06","0051U000005L6eJQAS","2018-03-27","Retired","Chelsea Advisor","Fredericka Mccullough Mutual Fund19","1. Less than 50k","Mutual Fund","Male","NY","Onboarding","false","ryan.dobson@example.com","Individual",560918,2726,372125,188793,2015,253
"0011U00000Kcp1KQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2018-03-27","2 - Gold","2010-07-07","2019-08-19","Tier 2","false","Sethville",,"2020-07-01","Florida","Mutual Fund Investment","Manager","0011U00000KuWpYQAV","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuWpYQAV-20","6. Greater than 15Y","2018-12-12T23:31:30","3. 30-49","2.01908231740307E+019","Growth","Fredericka Mccullough","2019-01-03","2020-07-06","0051U000005L6eJQAS","2018-03-27","Retired","Chelsea Advisor","Fredericka Mccullough Mutual Fund20","1. Less than 50k","Mutual Fund","Male","NY","Onboarding","true","ryan.dobson@example.com","Individual",436768,3964,275669,161099,2015,253
"0011U00000Kcp1KQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-03-14","5 - Standard","2014-04-01","2019-08-20","Tier 3","false","West Sherryside",,"2020-07-02","San Francisco","Bank Account","Manager","0011U00000KuFXHQA3","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXHQA3-21","6. Greater than 15Y","2018-03-25T00:06:34","2. 18-29","2.01908231740307E+019","Aggressive Growth","Hedley Church","2019-01-13","2020-07-06","0051U000005L4E9QAK","2018-03-14","Millennials","Brenda Banker","Hedley Church Checking21","1. Less than 50k","Checking","Female","NY","Active","true","sunil.dixit@example.com","Joint",518506,3490,282254,236252,2015,516
"0011U00000Kcp1KQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-06-15","5 - Standard","2010-04-15","2019-08-22","Tier 2","false","West Elizabeth",,"2020-07-04","San Francisco","Investment Account","Manager","0011U00000KuFXIQA3","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXIQA3-22","6. Greater than 15Y","2019-08-15T22:44:06","4. 50-69","2.01908231740307E+019","Growth","Wallace Summers","2019-04-02","2020-07-06","0051U000005L4E9QAK","2018-06-15","Mass Market","Brenda Banker","Wallace Summers Brokerage22","2. Between 50k and 250k","Brokerage","Female","NY","Active","true","sunil.dixit@example.com","Trust",522833,4116,303568,219265,2011,7
,"Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-04-20","2 - Gold","2010-06-04","2019-08-22","Tier 1","true","Morganstad",,"2020-07-04","San Francisco","Savings Account","Manager","0011U00000KuFXJQA3",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXJQA3-23","6. Greater than 15Y","2018-09-13T01:49:40","4. 50-69","2.01908231740307E+019","Balanced Growth","Zane Cervantes","2018-04-30","2020-07-06","0051U000005L4E9QAK","2018-04-20","Affluent Professionals","Brenda Banker","Zane Cervantes Savings23","2. Between 50k and 250k","Savings","Female","NY","Active","false","sunil.dixit@example.com","Individual",574320,2702,318475,255845,2010,344
,"NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-07-07","5 - Standard","2013-12-22","2019-08-23","Tier 1","true","Holdenhaven",,"2020-07-05","Florida","Investment Account","Manager","0011U00000KuFXKQA3",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFXKQA3-24","6. Greater than 15Y","2019-07-26T16:50:50","2. 18-29","2.01908231740307E+019","Balanced Growth","Carissa Mckee","2019-01-13","2020-07-06","0051U000005L6eJQAS","2019-07-07","Mass Market","Chelsea Advisor","Carissa Mckee Mutual Fund24","2. Between 50k and 250k","Mutual Fund","Female","CA","Active","false","ryan.dobson@example.com","Individual",554133,3900,393929,160204,2014,28
"0011U00000Kcp1KQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-07-07","5 - Standard","2013-12-22","2019-08-22","Tier 1","false","Holdenhaven",,"2020-07-04","Florida","Bank Account","Manager","0011U00000KuFXKQA3","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFXKQA3-25","6. Greater than 15Y","2019-07-26T16:50:50","2. 18-29","2.01908231740307E+019","Balanced Growth","Carissa Mckee","2019-01-13","2020-07-06","0051U000005L6eJQAS","2019-07-07","Mass Market","Chelsea Advisor","Carissa Mckee Checking25","2. Between 50k and 250k","Checking","Female","CA","Active","true","ryan.dobson@example.com","Trust",554157,3372,372516,181641,2014,28
,"NA","Mark Garet","0051U000005KhW6QAK","NY","2019-05-31","5 - Standard","2012-06-05","2019-08-22","Tier 1","false","East Jerryfort",,"2020-07-04","New York","Investment Account","Manager","0011U00000KuFXLQA3",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXLQA3-26","6. Greater than 15Y","2019-06-08T01:48:46","4. 50-69","2.01908231740307E+019","Aggressive Growth","Akeem Head","2019-03-11","2020-07-06","0051U000005KhW6QAK","2019-05-31","Mass Market","Mark Garet","Akeem Head Brokerage26","1. Less than 50k","Brokerage","Male","NY","Prospect","true","mark.garet@example.com","Joint",488293,2842,358729,129564,2013,76
"0011U00000Kcp1KQAR","NA","Mark Garet","0051U000005KhW6QAK","NY","2019-05-31","5 - Standard","2012-06-05","2019-08-22","Tier 1","false","East Jerryfort",,"2020-07-04","New York","Mutual Fund Investment","Manager","0011U00000KuFXLQA3","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","FinAcct.0011U00000KuFXLQA3-27","6. Greater than 15Y","2019-06-08T01:48:46","4. 50-69","2.01908231740307E+019","Aggressive Growth","Akeem Head","2019-03-11","2020-07-06","0051U000005KhW6QAK","2019-05-31","Mass Market","Mark Garet","Akeem Head Mutual Fund27","1. Less than 50k","Mutual Fund","Male","NY","Prospect","true","mark.garet@example.com","Individual",533120,3196,363405,169715,2013,76
"0011U00000Kcp1PQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-06-02","1 - Platinum","2016-08-08","2019-08-22","Tier 2","false","Hubbardfurt",,"2020-07-04","San Francisco","Mutual Fund Investment","Manager","0011U00000KuFXMQA3","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXMQA3-28","6. Greater than 15Y","2019-04-01T02:05:19","4. 50-69","2.01908231740307E+019","Growth","Quinn Cummings","2019-07-12","2020-07-06","0051U000005L4E9QAK","2018-06-02","High Net Worth Families","Brenda Banker","Quinn Cummings Mutual Fund28","2. Between 50k and 250k","Mutual Fund","Male","CA","Active","true","sunil.dixit@example.com","Individual",383394,3345,261802,121592,2019,144
"0011U00000Kcp1KQAR","Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-06-02","1 - Platinum","2016-08-08","2019-08-22","Tier 2","true","Hubbardfurt",,"2020-07-04","San Francisco","Bank Account","Manager","0011U00000KuFXMQA3","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXMQA3-29","6. Greater than 15Y","2019-04-01T02:05:19","4. 50-69","2.01908231740307E+019","Growth","Quinn Cummings","2019-07-12","2020-07-06","0051U000005L4E9QAK","2018-06-02","High Net Worth Families","Brenda Banker","Quinn Cummings Checking29","2. Between 50k and 250k","Checking","Male","CA","Active","false","sunil.dixit@example.com","Trust",592573,3993,335172,257401,2019,144
,"Personal Banker","Brenda Banker","0051U000005L4E9QAK","CA","2018-06-02","1 - Platinum","2016-08-08","2019-08-21","Tier 2","true","Hubbardfurt",,"2020-07-02","San Francisco","Mutual Fund Investment","Manager","0011U00000KuFXMQA3",,"https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","FinAcct.0011U00000KuFXMQA3-30","6. Greater than 15Y","2019-04-01T02:05:19","4. 50-69","2.01908231740307E+019","Growth","Quinn Cummings","2019-07-12","2020-07-06","0051U000005L4E9QAK","2018-06-02","High Net Worth Families","Brenda Banker","Quinn Cummings Mutual Fund30","2. Between 50k and 250k","Mutual Fund","Male","CA","Active","false","sunil.dixit@example.com","Joint",461472,2558,265319,196153,2019,144
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-04-29","5 - Standard","2011-03-03","2019-08-21","Tier 1","false","Alexandriafurt",,"2020-07-03","Florida","Investment Account","Manager","0011U00000KuFXNQA3","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFXNQA3-31","6. Greater than 15Y","2019-07-28T20:48:50","2. 18-29","2.01908231740307E+019","Income","Hasad Madden","2019-07-01","2020-07-06","0051U000005L6eJQAS","2019-04-29","Retired","Chelsea Advisor","Hasad Madden Managed Account31","2. Between 50k and 250k","Managed Account","Female","CA","Onboarding","true","ryan.dobson@example.com","Trust",465455,2845,304973,160482,2012,25
"0011U00000Kcp1KQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-04-29","5 - Standard","2011-03-03","2019-08-23","Tier 1","false","Alexandriafurt",,"2020-07-05","Florida","Investment Account","Manager","0011U00000KuFXNQA3","Adams Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFXNQA3-32","6. Greater than 15Y","2019-07-28T20:48:50","2. 18-29","2.01908231740307E+019","Income","Hasad Madden","2019-07-01","2020-07-06","0051U000005L6eJQAS","2019-04-29","Retired","Chelsea Advisor","Hasad Madden Managed Account32","2. Between 50k and 250k","Managed Account","Female","CA","Onboarding","true","ryan.dobson@example.com","Individual",409434,4335,257743,151691,2012,25
"0011U00000Kcp1PQAR","NA","Chelsea Advisor","0051U000005L6eJQAS","FL","2019-04-29","5 - Standard","2011-03-03","2019-08-21","Tier 1","false","Alexandriafurt",,"2020-07-03","Florida","Investment Account","Manager","0011U00000KuFXNQA3","Symonds Household (Sample)","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","FinAcct.0011U00000KuFXNQA3-33","6. Greater than 15Y","2019-07-28T20:48:50","2. 18-29","2.01908231740307E+019","Income","Hasad Madden","2019-07-01","2020-07-06","0051U000005L6eJQAS","2019-04-29","Retired","Chelsea Advisor","Hasad Madden Mutual Fund33","2. Between 50k and 250k","Mutual Fund","Female","CA","Onboarding","true","ryan.dobson@example.com","Trust",398619,2928,260539,138080,2012,25
