"FINANCIALACCOUNTNAME","ACCOUNTCLIENTCATEGORYCUSTOM","TRANSACTIONDATE","ACCOUNTSERVICEMODEL","HELDAWAY","FINANCIALACCOUNTID","ACCOUNTOWNERNAME","TRANSACTIONTYPE","ACCOUNTID","ACCOUNTYEARSSINCECLIENTBUCKET","ACCOUNTLASTINTERACTION","ACCOUNTAGEBUCKET","ANALYTICSDEMO_BATCH_ID_C","TRANSACTIONSTATUS","ACCOUNTINVESTMENTOBJECTIVES","ACCOUNTNAME","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","ACCOUNTBALANCEBUCKET","FEESTYPE","FINANCIALACCOUNTTYPE","ACCOUNTPRIMARYCONTACTGENDER","ACCOUNTBILLINGSTATE","BALANCEAMOUNT","FEES","AMOUNT"
"Brenna Porter Managed Account1985","1 - Platinum","2019-01-09","Tier 2",True,"FinAcct.0011U00000KuFnHQAV-1985","Chelsea Advisor","Credit","0011U00000KuFnHQAV","6. Greater than 15Y","2019-07-28T04:02:40","4. 50-69","20190829100511427864","A","Aggressive Growth","Brenna Porter","2019-10-07","Mass Market","2. Between 50k and 250k","Debit Card Transaction Fees","Managed Account","Male","CA",0,1,1000
"Brenna Porter Managed Account1985","1 - Platinum","2019-05-01","Tier 2",True,"FinAcct.0011U00000KuFnHQAV-1985","Chelsea Advisor","Debit","0011U00000KuFnHQAV","6. Greater than 15Y","2019-07-28T04:02:40","4. 50-69","20190829100511427864","B","Aggressive Growth","Brenna Porter","2019-10-07","Mass Market","2. Between 50k and 250k","Debit Card Transaction Fees","Managed Account","Male","CA",0,5,800
"Jasper Johnston Fixed Annuity1984","1 - Platinum","2018-07-20","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1984","Chelsea Advisor","Debit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","B","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Cashier's Check Fees","Fixed Annuity","Male","CA",0,3,100
"Jasper Johnston Fixed Annuity1984","1 - Platinum","2018-08-04","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1984","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Debit Card Transaction Fees","Fixed Annuity","Male","CA",0,5,800
"Jasper Johnston Fixed Annuity1984","1 - Platinum","2018-09-03","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1984","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","B","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Checking Account Fees","Fixed Annuity","Male","CA",0,1,1000
"Jasper Johnston Fixed Annuity1984","1 - Platinum","2018-11-17","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1984","Chelsea Advisor","Debit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","B","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Debit Card Transaction Fees","Fixed Annuity","Male","CA",0,1,500
"Jasper Johnston Fixed Annuity1984","1 - Platinum","2019-03-02","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1984","Chelsea Advisor","Debit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","B","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Cashier's Check Fees","Fixed Annuity","Male","CA",0,5,800
"Jasper Johnston Fixed Annuity1984","1 - Platinum","2019-05-31","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1984","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Card replacement Fees","Fixed Annuity","Male","CA",0,1,1000
"Jasper Johnston Mutual Fund1983","1 - Platinum","2018-07-25","Tier 2",True,"FinAcct.0011U00000KuFnGQAV-1983","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","B","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","ATM Fees(Out of network)","Mutual Fund","Male","CA",0,3,1000
"Jasper Johnston Mutual Fund1983","1 - Platinum","2018-11-14","Tier 2",True,"FinAcct.0011U00000KuFnGQAV-1983","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Card replacement Fees","Mutual Fund","Male","CA",0,1,100
"Jasper Johnston Mutual Fund1982","1 - Platinum","2018-03-22","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1982","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Debit Card Transaction Fees","Mutual Fund","Male","CA",0,1,800
"Jasper Johnston Mutual Fund1982","1 - Platinum","2018-04-06","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1982","Chelsea Advisor","Debit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Card replacement Fees","Mutual Fund","Male","CA",0,1,1000
"Jasper Johnston Mutual Fund1982","1 - Platinum","2018-10-18","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1982","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","B","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Card replacement Fees","Mutual Fund","Male","CA",0,5,800
"Jasper Johnston Mutual Fund1982","1 - Platinum","2018-11-02","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1982","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Checking Account Fees","Mutual Fund","Male","CA",0,5,800
"Jasper Johnston Mutual Fund1982","1 - Platinum","2019-05-16","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1982","Chelsea Advisor","Debit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","B","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","ATM Fees(Out of network)","Mutual Fund","Male","CA",0,3,100
"Jasper Johnston Mutual Fund1982","1 - Platinum","2019-07-15","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1982","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Debit Card Transaction Fees","Mutual Fund","Male","CA",0,5,800
"Jasper Johnston Mutual Fund1982","1 - Platinum","2019-07-30","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1982","Chelsea Advisor","Credit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Additional Checks Fees","Mutual Fund","Male","CA",0,5,1000
"Jasper Johnston Mutual Fund1982","1 - Platinum","2019-08-29","Tier 2",False,"FinAcct.0011U00000KuFnGQAV-1982","Chelsea Advisor","Debit","0011U00000KuFnGQAV","6. Greater than 15Y","2019-03-15T01:30:07","4. 50-69","20190829100511427864","A","Income","Jasper Johnston","2019-10-07","Mass Market","1. Less than 50k","Additional Checks Fees","Mutual Fund","Male","CA",0,5,1000
"Davis Blackwell Managed Account1981","3 - Silver","2018-10-03","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1981","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","A","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Additional Checks Fees","Managed Account","Female","NY",0,1,500
"Davis Blackwell Managed Account1981","3 - Silver","2018-10-18","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1981","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees","Managed Account","Female","NY",0,1,500
"Davis Blackwell Managed Account1981","3 - Silver","2019-01-01","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1981","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Debit Card Transaction Fees","Managed Account","Female","NY",0,5,100
"Davis Blackwell Managed Account1981","3 - Silver","2019-06-15","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1981","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","A","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Card replacement Fees","Managed Account","Female","NY",0,1,100
"Davis Blackwell Managed Account1981","3 - Silver","2019-07-15","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1981","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees(Out of network)","Managed Account","Female","NY",0,1,800
"Davis Blackwell Managed Account1981","3 - Silver","2019-08-29","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1981","Brenda Banker","Debit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees(Out of network)","Managed Account","Female","NY",0,1,800
"Davis Blackwell Mutual Fund1980","3 - Silver","2018-05-02","Tier 2",True,"FinAcct.0011U00000KuFnFQAV-1980","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Checking Account Fees","Mutual Fund","Female","NY",0,5,500
"Davis Blackwell Mutual Fund1980","3 - Silver","2018-06-27","Tier 2",True,"FinAcct.0011U00000KuFnFQAV-1980","Brenda Banker","Debit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Checking Account Fees","Mutual Fund","Female","NY",0,5,500
"Davis Blackwell Mutual Fund1980","3 - Silver","2019-04-03","Tier 2",True,"FinAcct.0011U00000KuFnFQAV-1980","Brenda Banker","Debit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","A","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Checking Account Fees","Mutual Fund","Female","NY",0,5,800
"Davis Blackwell Brokerage1979","3 - Silver","2018-08-04","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1979","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees(Out of network)","Brokerage","Female","NY",0,5,1000
"Davis Blackwell Brokerage1979","3 - Silver","2018-08-19","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1979","Brenda Banker","Debit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","A","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Debit Card Transaction Fees","Brokerage","Female","NY",0,3,800
"Davis Blackwell Brokerage1979","3 - Silver","2018-09-03","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1979","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees(Out of network)","Brokerage","Female","NY",0,3,100
"Davis Blackwell Brokerage1979","3 - Silver","2018-12-02","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1979","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees(Out of network)","Brokerage","Female","NY",0,3,100
"Davis Blackwell Brokerage1979","3 - Silver","2019-01-31","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1979","Brenda Banker","Debit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","A","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Card replacement Fees","Brokerage","Female","NY",0,5,500
"Davis Blackwell Brokerage1979","3 - Silver","2019-02-15","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1979","Brenda Banker","Credit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","B","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","ATM Fees","Brokerage","Female","NY",0,1,500
"Davis Blackwell Brokerage1979","3 - Silver","2019-03-02","Tier 2",False,"FinAcct.0011U00000KuFnFQAV-1979","Brenda Banker","Debit","0011U00000KuFnFQAV","6. Greater than 15Y","2019-01-07T01:10:32","4. 50-69","20190829100511427864","A","Aggressive Growth","Davis Blackwell","2019-10-07","High Net Worth Families","2. Between 50k and 250k","Checking Account Fees","Brokerage","Female","NY",0,3,1000
"Nigel Campos Managed Account1978","1 - Platinum","2018-03-22","Tier 1",False,"FinAcct.0011U00000KuFnEQAV-1978","Allen Advisor","Debit","0011U00000KuFnEQAV","6. Greater than 15Y","2019-07-24T19:08:06","4. 50-69","20190829100511427864","B","Growth","Nigel Campos","2019-10-07","Affluent Professionals","1. Less than 50k","Additional Checks Fees","Managed Account","Female","CA",0,1,1000
"Nigel Campos Managed Account1978","1 - Platinum","2018-04-06","Tier 1",False,"FinAcct.0011U00000KuFnEQAV-1978","Allen Advisor","Debit","0011U00000KuFnEQAV","6. Greater than 15Y","2019-07-24T19:08:06","4. 50-69","20190829100511427864","A","Growth","Nigel Campos","2019-10-07","Affluent Professionals","1. Less than 50k","ATM Fees","Managed Account","Female","CA",0,1,500
"Nigel Campos Managed Account1978","1 - Platinum","2018-04-21","Tier 1",False,"FinAcct.0011U00000KuFnEQAV-1978","Allen Advisor","Credit","0011U00000KuFnEQAV","6. Greater than 15Y","2019-07-24T19:08:06","4. 50-69","20190829100511427864","A","Growth","Nigel Campos","2019-10-07","Affluent Professionals","1. Less than 50k","Debit Card Transaction Fees","Managed Account","Female","CA",0,5,100
"Nigel Campos Managed Account1978","1 - Platinum","2018-08-19","Tier 1",False,"FinAcct.0011U00000KuFnEQAV-1978","Allen Advisor","Credit","0011U00000KuFnEQAV","6. Greater than 15Y","2019-07-24T19:08:06","4. 50-69","20190829100511427864","A","Growth","Nigel Campos","2019-10-07","Affluent Professionals","1. Less than 50k","Card replacement Fees","Managed Account","Female","CA",0,5,800
"Nigel Campos Managed Account1978","1 - Platinum","2019-02-15","Tier 1",False,"FinAcct.0011U00000KuFnEQAV-1978","Allen Advisor","Debit","0011U00000KuFnEQAV","6. Greater than 15Y","2019-07-24T19:08:06","4. 50-69","20190829100511427864","A","Growth","Nigel Campos","2019-10-07","Affluent Professionals","1. Less than 50k","Cashier's Check Fees","Managed Account","Female","CA",0,1,1000
"Nigel Campos Managed Account1978","1 - Platinum","2019-05-01","Tier 1",False,"FinAcct.0011U00000KuFnEQAV-1978","Allen Advisor","Debit","0011U00000KuFnEQAV","6. Greater than 15Y","2019-07-24T19:08:06","4. 50-69","20190829100511427864","B","Growth","Nigel Campos","2019-10-07","Affluent Professionals","1. Less than 50k","ATM Fees(Out of network)","Managed Account","Female","CA",0,3,800
"Nigel Campos Managed Account1978","1 - Platinum","2019-08-14","Tier 1",False,"FinAcct.0011U00000KuFnEQAV-1978","Allen Advisor","Debit","0011U00000KuFnEQAV","6. Greater than 15Y","2019-07-24T19:08:06","4. 50-69","20190829100511427864","A","Growth","Nigel Campos","2019-10-07","Affluent Professionals","1. Less than 50k","Card replacement Fees","Managed Account","Female","CA",0,1,1000
"Ross Buchanan Fixed Annuity1977","1 - Platinum","2018-04-04","Tier 3",True,"FinAcct.0011U00000KuFnDQAV-1977","Brenda Banker","Credit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","A","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","Cashier's Check Fees","Fixed Annuity","Male","TX",0,3,500
"Ross Buchanan Fixed Annuity1977","1 - Platinum","2018-10-17","Tier 3",True,"FinAcct.0011U00000KuFnDQAV-1977","Brenda Banker","Debit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","B","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","Cashier's Check Fees","Fixed Annuity","Male","TX",0,5,800
"Ross Buchanan Fixed Annuity1977","1 - Platinum","2019-02-06","Tier 3",True,"FinAcct.0011U00000KuFnDQAV-1977","Brenda Banker","Debit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","B","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","Checking Account Fees","Fixed Annuity","Male","TX",0,3,800
"Ross Buchanan Mutual Fund1976","1 - Platinum","2018-06-27","Tier 3",True,"FinAcct.0011U00000KuFnDQAV-1976","Brenda Banker","Debit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","A","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","ATM Fees","Mutual Fund","Male","TX",0,1,500
"Ross Buchanan Mutual Fund1976","1 - Platinum","2018-09-19","Tier 3",True,"FinAcct.0011U00000KuFnDQAV-1976","Brenda Banker","Credit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","B","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","Additional Checks Fees","Mutual Fund","Male","TX",0,3,100
"Ross Buchanan Mutual Fund1976","1 - Platinum","2019-01-09","Tier 3",True,"FinAcct.0011U00000KuFnDQAV-1976","Brenda Banker","Debit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","B","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","ATM Fees","Mutual Fund","Male","TX",0,1,500
"Ross Buchanan Fixed Annuity1975","1 - Platinum","2018-03-22","Tier 3",False,"FinAcct.0011U00000KuFnDQAV-1975","Brenda Banker","Credit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","A","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","ATM Fees","Fixed Annuity","Male","TX",0,5,100
"Ross Buchanan Fixed Annuity1975","1 - Platinum","2018-05-06","Tier 3",False,"FinAcct.0011U00000KuFnDQAV-1975","Brenda Banker","Debit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","A","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","Debit Card Transaction Fees","Fixed Annuity","Male","TX",0,3,1000
"Ross Buchanan Fixed Annuity1975","1 - Platinum","2018-06-05","Tier 3",False,"FinAcct.0011U00000KuFnDQAV-1975","Brenda Banker","Credit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","A","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","Cashier's Check Fees","Fixed Annuity","Male","TX",0,3,800
"Ross Buchanan Fixed Annuity1975","1 - Platinum","2018-11-02","Tier 3",False,"FinAcct.0011U00000KuFnDQAV-1975","Brenda Banker","Credit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","A","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","ATM Fees(Out of network)","Fixed Annuity","Male","TX",0,1,500
"Ross Buchanan Fixed Annuity1975","1 - Platinum","2018-12-17","Tier 3",False,"FinAcct.0011U00000KuFnDQAV-1975","Brenda Banker","Credit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","B","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","ATM Fees","Fixed Annuity","Male","TX",0,1,800
"Ross Buchanan Fixed Annuity1975","1 - Platinum","2019-07-15","Tier 3",False,"FinAcct.0011U00000KuFnDQAV-1975","Brenda Banker","Credit","0011U00000KuFnDQAV","6. Greater than 15Y","2019-07-23T16:56:48","5. > 69","20190829100511427864","A","Balanced Growth","Ross Buchanan","2019-10-07","Retired","2. Between 50k and 250k","ATM Fees(Out of network)","Fixed Annuity","Male","TX",0,1,1000
"Isaac Stafford Managed Account1974","3 - Silver","2018-06-27","Tier 1",True,"FinAcct.0011U00000KuFnCQAV-1974","Allen Advisor","Debit","0011U00000KuFnCQAV","6. Greater than 15Y","2019-03-10T12:37:48","4. 50-69","20190829100511427864","A","Aggressive Growth","Isaac Stafford","2019-10-07","Millennials","1. Less than 50k","Additional Checks Fees","Managed Account","Male","CA",0,5,1000
"Isaac Stafford Managed Account1974","3 - Silver","2018-12-12","Tier 1",True,"FinAcct.0011U00000KuFnCQAV-1974","Allen Advisor","Debit","0011U00000KuFnCQAV","6. Greater than 15Y","2019-03-10T12:37:48","4. 50-69","20190829100511427864","A","Aggressive Growth","Isaac Stafford","2019-10-07","Millennials","1. Less than 50k","ATM Fees","Managed Account","Male","CA",0,5,1000
