"OWNERUNIQUEUSERNAME","ISHIGHPRIORITY","OWNERID","ACCOUNTRECORDTYPENAME","ACCOUNTTYPE","OWNERSTATE","ACTIVITYDATE","PRIORITY","CREATEDDATE","OWNERCITY","STATUS","DESCRIPTION","OWNERROLENAME","EVENTSUBTYPE","ACCOUNTID","OWNERSMALLPHOTOURL","DUEDATE","TYPE","ANALYTICSDEMO_BATCH_ID_C","ACCOUNTINVESTMENTOBJECTIVES","REGARDING","TASKSUBTYPE","ACCOUNTNAME","ACCOUNTINVESTMENTEXPERIENCE","LastProcessedDate","ACCOUNTMARKETINGSEGMENT","OWNERNAME","ACCOUNTBALANCEBUCKET","CALLTYPE","SUBJECT","OWNEREMAIL","DueDays"
"Mark Garet","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-08","High","2019-03-17","Florida","Completed","-","Manager","Call","0011U00000KuFXJQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-01","Other","2.01908291351258E+019","Balanced Growth","Prospecting","Call","Zane Cervantes","Moderately Inexperienced","2020-07-06","Millennials","Chelsea Advisor","2. Between 50k and 250k","Event","Lunch Meeting","ryan.dobson@example.com",336
"Chelsea Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-29","High","2019-08-22","Chicago","Not Started","-","Manager","Call","0011U00000KuFXKQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-22","Email","2.01908291351258E+019","Balanced Growth","Service","Call","Carissa Mckee","Moderately Experienced","2020-07-06","Retired","Allen Advisor","1. Less than 50k","Event","Discussion","allen.advisor@example.com",315
"Brenda Banker","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-06-29","High","2020-01-26","Florida","In progress","-","Manager","Call","0011U00000KuFXLQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-22","Email","2.01908291351258E+019","Growth","Client Retention","Call","Akeem Head","Moderately Inexperienced","2020-07-06","Millennials","Chelsea Advisor","1. Less than 50k","Event","Quarterly Earnings Summary","ryan.dobson@example.com",315
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-07-02","High","2019-02-11","Florida","In progress","-","Manager","Call","0011U00000KuFXMQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-25","Meeting","2.01908291351258E+019","Balanced Growth","Service","Call","Quinn Cummings","Experienced","2020-07-06","Retired","Chelsea Advisor","1. Less than 50k","Event","Sync Up","ryan.dobson@example.com",312
"Chelsea Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-21","High","2019-08-13","Florida","Not Started","-","Manager","Call","0011U00000KuFXNQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-14","Other","2.01908291351258E+019","Income","Onboarding","Call","Hasad Madden","Experienced","2020-07-06","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Lunch Meeting","ryan.dobson@example.com",323
"Mark Garet","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-25","High","2019-11-13","Florida","Completed","-","Manager","Call","0011U00000KuFXOQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-18","Email","2.01908291351258E+019","Growth","Onboarding","Call","Alfreda Pierce","Experienced","2020-07-06","High Net Worth Families","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com",319
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-27","High","2019-12-13","San Francisco","Completed","-","Manager","Call","0011U00000KuFXPQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-20","Call","2.01908291351258E+019","Income","Prospecting","Call","Erich Grimes","Experienced","2020-07-06","Affluent Professionals","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",317
"Brenda Banker","true","0051U000005L6eJQAS","Household","Customer","FL","2020-07-01","High","2019-05-14","Florida","Event","-","Manager","Call","0011U00000KuFXSQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-24","Email","2.01908291351258E+019","Aggressive Growth","Prospecting","Call","Zeph Mcmahon","Experienced","2020-07-06","Millennials","Chelsea Advisor","1. Less than 50k","Event","Summit","ryan.dobson@example.com",313
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-07-05","High","2019-07-23","San Francisco","In progress","-","Manager","Call","0011U00000KuFXTQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-28","Call","2.01908291351258E+019","Income","Client Retention","Call","Aquila Mejia","Inexperienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",309
"Mark Garet","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-22","High","2020-04-27","San Francisco","Not Started","-","Manager","Call","0011U00000KuFXUQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-15","Call","2.01908291351258E+019","Income","Client Retention","Call","Britanni Garcia","Moderately Experienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Lunch Meeting","sunil.dixit@example.com",322
"Brenda Banker","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-07","High","2019-04-15","New York","In progress","-","Manager","Call","0011U00000KuFXVQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-31","Other","2.01908291351258E+019","Income","Prospecting","Call","Abel Sanchez","Experienced","2020-07-06","Retired","Mark Garet","2. Between 50k and 250k","Event","Discussion","mark.garet@example.com",337
"Brenda Banker","true","0051U000005JQyrQAG","Household","Customer","IL","2020-06-24","High","2019-09-27","Chicago","Completed","-","Manager","Call","0011U00000KuFXXQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-17","Other","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Brenda Graham","Inexperienced","2020-07-06","High Net Worth Families","Allen Advisor","2. Between 50k and 250k","Event","Sync Up","allen.advisor@example.com",320
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-07-01","High","2019-12-20","Chicago","Completed","-","Manager","Call","0011U00000KuFXYQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-24","Meeting","2.01908291351258E+019","Balanced Growth","Service","Call","Elizabeth Avila","Moderately Inexperienced","2020-07-06","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Sync Up","allen.advisor@example.com",313
"Mark Garet","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-20","High","2019-11-10","Chicago","In progress","-","Manager","Call","0011U00000KuFXaQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-13","Call","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Lucius Fry","Experienced","2020-07-06","Retired","Allen Advisor","2. Between 50k and 250k","Event","Quarterly Earnings Summary","allen.advisor@example.com",324
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-08","High","2019-12-23","Chicago","Not Started","-","Manager","Call","0011U00000KuFXbQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-01","Other","2.01908291351258E+019","Balanced Growth","Onboarding","Call","Kato Vega","Inexperienced","2020-07-06","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Lunch Meeting","allen.advisor@example.com",336
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-07-04","High","2020-03-23","Florida","Not Started","-","Manager","Call","0011U00000KuFXcQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-27","Email","2.01908291351258E+019","Growth","Client Retention","Call","Travis Jacobson","Experienced","2020-07-06","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Discussion","ryan.dobson@example.com",310
"Mark Garet","true","0051U000005KhW6QAK","Individual","Customer","NY","2020-07-04","High","2020-07-03","New York","In progress","-","Manager","Call","0011U00000KuFXdQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-27","Call","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Penelope Solis","Experienced","2020-07-06","Mass Market","Mark Garet","2. Between 50k and 250k","Event","Send Birthday Gift","mark.garet@example.com",310
"Brenda Banker","true","0051U000005JQyrQAG","Household","Customer","IL","2020-06-17","High","2019-06-25","Chicago","Not Started","-","Manager","Call","0011U00000KuFXfQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-10","Meeting","2.01908291351258E+019","Income","Client Retention","Call","Xanthus Wilkins","Moderately Experienced","2020-07-06","Affluent Professionals","Allen Advisor","2. Between 50k and 250k","Event","Sync Up","allen.advisor@example.com",327
"Chelsea Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-06","High","2019-05-30","Florida","Not Started","-","Manager","Call","0011U00000KuFXgQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-30","Meeting","2.01908291351258E+019","Growth","Prospecting","Call","Palmer Macdonald","Moderately Experienced","2020-07-06","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com",338
"Allen Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-17","High","2019-03-18","Florida","Not Started","-","Manager","Call","0011U00000KuFXhQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-10","Call","2.01908291351258E+019","Growth","Service","Call","Brett Beard","Moderately Inexperienced","2020-07-06","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Discussion","ryan.dobson@example.com",327
"Mark Garet","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-06-10","High","2020-04-30","San Francisco","Not Started","-","Manager","Call","0011U00000KuFXiQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-03","Call","2.01908291351258E+019","Growth","Prospecting","Call","Ocean Mccullough","Experienced","2020-07-06","High Net Worth Families","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com",334
"Chelsea Advisor","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-25","High","2019-05-23","Florida","Completed","-","Manager","Call","0011U00000KuFXkQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-18","Call","2.01908291351258E+019","Aggressive Growth","Prospecting","Call","Idola Le","Moderately Experienced","2020-07-06","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Discussion","ryan.dobson@example.com",319
"Mark Garet","true","0051U000005JQyrQAG","Individual","Customer","IL","2020-06-20","High","2019-08-15","Chicago","Event","-","Manager","Call","0011U00000KuFXlQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-13","Other","2.01908291351258E+019","Income","Prospecting","Call","Wade Greer","Experienced","2020-07-06","Mass Market","Allen Advisor","1. Less than 50k","Event","Sync Up","allen.advisor@example.com",324
"Allen Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-29","High","2019-09-30","Florida","In progress","-","Manager","Call","0011U00000KuFXmQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-22","Call","2.01908291351258E+019","Growth","Service","Call","Ferris King","Inexperienced","2020-07-06","Retired","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com",315
"Chelsea Advisor","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-24","High","2019-05-28","New York","Event","-","Manager","Call","0011U00000KuFXnQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-17","Meeting","2.01908291351258E+019","Income","Client Retention","Call","TaShya Perez","Moderately Inexperienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Summit","mark.garet@example.com",320
"Brenda Banker","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-06-07","High","2019-10-27","Florida","Event","-","Manager","Call","0011U00000KuFXqQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-07-31","Email","2.01908291351258E+019","Aggressive Growth","Service","Call","Ryder Velez","Moderately Experienced","2020-07-06","Affluent Professionals","Chelsea Advisor","2. Between 50k and 250k","Event","Discussion","ryan.dobson@example.com",337
"Chelsea Advisor","true","0051U000005L6eJQAS","Household","Customer","FL","2020-06-25","High","2020-05-07","Florida","Event","-","Manager","Call","0011U00000KuFXtQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-18","Meeting","2.01908291351258E+019","Growth","Service","Call","Blaze Pennington","Moderately Inexperienced","2020-07-06","Affluent Professionals","Chelsea Advisor","1. Less than 50k","Event","Evaluate Refinancing Loan","ryan.dobson@example.com",319
"Allen Advisor","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-06-17","High","2019-07-24","Florida","Event","-","Manager","Call","0011U00000KuFXvQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-10","Call","2.01908291351258E+019","Income","Onboarding","Call","Odysseus Grimes","Moderately Inexperienced","2020-07-06","High Net Worth Families","Chelsea Advisor","1. Less than 50k","Event","Lunch Meeting","ryan.dobson@example.com",327
"Mark Garet","true","0051U000005KhW6QAK","Individual","Customer","NY","2020-06-26","High","2019-12-26","New York","Event","-","Manager","Call","0011U00000KuFXwQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-19","Other","2.01908291351258E+019","Income","Prospecting","Call","Genevieve Bauer","Inexperienced","2020-07-06","High Net Worth Families","Mark Garet","1. Less than 50k","Event","Quarterly Earnings Summary","mark.garet@example.com",318
"Mark Garet","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-06-17","High","2019-10-22","San Francisco","Not Started","-","Manager","Call","0011U00000KuFXxQAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-10","Meeting","2.01908291351258E+019","Income","Service","Call","Lael Rutledge","Moderately Experienced","2020-07-06","Mass Market","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",327
"Allen Advisor","true","0051U000005JQyrQAG","Household","Customer","IL","2020-06-27","High","2019-03-09","Chicago","Not Started","-","Manager","Call","0011U00000KuFY0QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-20","Email","2.01908291351258E+019","Aggressive Growth","Prospecting","Call","Orla Weeks","Moderately Inexperienced","2020-07-06","Retired","Allen Advisor","2. Between 50k and 250k","Event","Discussion","allen.advisor@example.com",317
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-07-02","High","2020-01-20","New York","Not Started","-","Manager","Call","0011U00000KuFY1QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-25","Other","2.01908291351258E+019","Growth","Onboarding","Call","Yoko Marshall","Moderately Inexperienced","2020-07-06","Millennials","Mark Garet","2. Between 50k and 250k","Event","Evaluate Refinancing Loan","mark.garet@example.com",312
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-26","High","2019-03-29","New York","Completed","-","Manager","Call","0011U00000KuFY2QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-19","Email","2.01908291351258E+019","Growth","Prospecting","Call","Odysseus Ortiz","Inexperienced","2020-07-06","Affluent Professionals","Mark Garet","1. Less than 50k","Event","Evaluate Refinancing Loan","mark.garet@example.com",318
"Chelsea Advisor","true","0051U000005L4E9QAK","Household","Customer","CA","2020-06-30","High","2019-09-29","San Francisco","In progress","-","Manager","Call","0011U00000KuFY3QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-23","Call","2.01908291351258E+019","Growth","Client Retention","Call","Amos May","Inexperienced","2020-07-06","Affluent Professionals","Brenda Banker","2. Between 50k and 250k","Event","Sync Up","sunil.dixit@example.com",314
"Allen Advisor","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-30","High","2020-01-23","San Francisco","Event","-","Manager","Call","0011U00000KuFY4QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-23","Other","2.01908291351258E+019","Aggressive Growth","Client Retention","Call","Marny Ford","Experienced","2020-07-06","High Net Worth Families","Brenda Banker","2. Between 50k and 250k","Event","Discussion","sunil.dixit@example.com",314
"Brenda Banker","true","0051U000005L6eJQAS","Individual","Customer","FL","2020-06-16","High","2019-02-06","Florida","Completed","-","Manager","Call","0011U00000KuFY5QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-09","Email","2.01908291351258E+019","Growth","Onboarding","Call","Declan Leblanc","Moderately Inexperienced","2020-07-06","Retired","Chelsea Advisor","2. Between 50k and 250k","Event","Summit","ryan.dobson@example.com",328
"Brenda Banker","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-15","High","2020-03-08","Chicago","Event","-","Manager","Call","0011U00000KuFY7QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-08","Meeting","2.01908291351258E+019","Income","Prospecting","Call","Brielle Lynn","Inexperienced","2020-07-06","High Net Worth Families","Allen Advisor","1. Less than 50k","Event","Lunch Meeting","allen.advisor@example.com",329
"Brenda Banker","true","0051U000005KhW6QAK","Person Account","Customer","NY","2020-06-07","High","2019-05-29","New York","Completed","-","Manager","Call","0011U00000KuFY8QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-07-31","Other","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Ava Bean","Moderately Experienced","2020-07-06","Affluent Professionals","Mark Garet","2. Between 50k and 250k","Event","Quarterly Earnings Summary","mark.garet@example.com",337
"Chelsea Advisor","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-18","High","2019-05-06","New York","Not Started","-","Manager","Call","0011U00000KuFY9QAN","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-11","Other","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Ruby Vargas","Experienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Send Birthday Gift","mark.garet@example.com",326
"Brenda Banker","true","0051U000005L6eJQAS","Person Account","Customer","FL","2020-06-10","High","2019-12-12","Florida","Not Started","-","Manager","Call","0011U00000KuFYBQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-03","Meeting","2.01908291351258E+019","Income","Service","Call","Lynn Davidson","Moderately Inexperienced","2020-07-06","Mass Market","Chelsea Advisor","1. Less than 50k","Event","Send Birthday Gift","ryan.dobson@example.com",334
"Brenda Banker","true","0051U000005L6eJQAS","Household","Customer","FL","2020-07-02","High","2019-04-17","Florida","Not Started","-","Manager","Call","0011U00000KuFYCQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","2019-08-25","Other","2.01908291351258E+019","Balanced Growth","Service","Call","Evangeline Christian","Moderately Inexperienced","2020-07-06","High Net Worth Families","Chelsea Advisor","2. Between 50k and 250k","Event","Send Birthday Gift","ryan.dobson@example.com",312
"Allen Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-18","High","2020-01-01","Chicago","In progress","-","Manager","Call","0011U00000KuFYDQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-11","Other","2.01908291351258E+019","Balanced Growth","Client Retention","Call","Ulysses Hale","Inexperienced","2020-07-06","Retired","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com",326
"Brenda Banker","true","0051U000005KhW6QAK","Household","Customer","NY","2020-06-19","High","2020-01-15","New York","In progress","-","Manager","Call","0011U00000KuFYFQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","2019-08-12","Other","2.01908291351258E+019","Growth","Prospecting","Call","Chloe Knox","Experienced","2020-07-06","Retired","Mark Garet","1. Less than 50k","Event","Quarterly Earnings Summary","mark.garet@example.com",325
"Mark Garet","true","0051U000005L4E9QAK","Individual","Customer","CA","2020-06-26","High","2019-02-06","San Francisco","Completed","-","Manager","Call","0011U00000KuFYIQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-19","Call","2.01908291351258E+019","Growth","Client Retention","Call","Rigel Joyner","Moderately Inexperienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",318
"Brenda Banker","true","0051U000005L4E9QAK","Person Account","Customer","CA","2020-06-17","High","2020-03-13","San Francisco","Completed","-","Manager","Call","0011U00000KuFYJQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","2019-08-10","Other","2.01908291351258E+019","Income","Service","Call","Constance Henson","Experienced","2020-07-06","High Net Worth Families","Brenda Banker","1. Less than 50k","Event","Evaluate Refinancing Loan","sunil.dixit@example.com",327
"Chelsea Advisor","true","0051U000005JQyrQAG","Person Account","Customer","IL","2020-06-29","High","2019-03-30","Chicago","Completed","-","Manager","Call","0011U00000KuFYKQA3","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","2019-08-22","Meeting","2.01908291351258E+019","Aggressive Growth","Onboarding","Call","Cathleen Mcconnell","Moderately Inexperienced","2020-07-06","Affluent Professionals","Allen Advisor","1. Less than 50k","Event","Send Birthday Gift","allen.advisor@example.com",315
