"UniqueUserName","AccountId","Email","IsYearEndFiscal_Computed","UserRoleId","IsActive","Role.ParentRoleId","Role.RolePath","PostalCode","ContactId","MobilePhone","Name","CompanyName","Department","Phone","Street","Division","isDuplicate","IndividualId","Role.DeveloperName","SmallPhotoUrl","FirstName","EmployeeNumber","Title","City","FullPhotoUrl","Username","Alias","Role.Name","State","CreatedDate","Role.Roles","Country","Id","LastName","Fax","UserType","ManagerId"
"Kasey Central",,"agorain@salesforce.com","false",,"true",,,,,,"Kasey Central",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0E/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0E/F","kaseycentral@salesforce.com","SRep",,,"2019-12-25T06:18:10.000Z",,,"005B0000006PwWMIA0","Kasey Central",,"Standard",
"Valerie East",,"agorain@salesforce.com","false",,"true",,,,,,"Valerie East",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0O/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0O/F","valerieeast@salesforce.com","SRep",,,"2019-12-25T06:18:10.000Z",,,"005B0000006PwWNIA0","Valerie East",,"Standard",
"Ricky East",,"agorain@salesforce.com","false",,"true",,,,,,"Ricky East",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0J/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0J/F","rickyeast@salesforce.com","SRep",,,"2019-12-25T06:18:10.000Z",,,"005B0000006PwWOIA0","Ricky East",,"Standard",
"Bill East",,"agorain@salesforce.com","false","00EB0000000imMSMAY","true","00EB0000000fdvVMAQ","00EB0000000fdvVMAQ",,,,"Bill East",,,,,,,,"SalesRep","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzu/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzu/F","billeast@salesforce.com","SRep","SalesRep",,"2019-12-25T06:44:24.000Z","00EB0000000fdvVMAQ",,"005B0000006PwWYIA0","Bill East",,"Standard",
"Ely West",,"agorain@salesforce.com","false","00EB0000000imMSMAY","true","00EB0000000fdvVMAQ","00EB0000000fdvVMAQ",,,,"Ely West",,,,,,,,"SalesRep","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo09/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo09/F","elywest@salesforce.com","SRep","SalesRep",,"2019-12-25T06:44:24.000Z","00EB0000000fdvVMAQ",,"005B0000006PwWZIA0","Ely West",,"Standard",
"Integration User",,"noreply@salesforce.com","false","00EB0000000fdvaMAA","true","00EB0000000fdvVMAQ","00EB0000000fdvVMAQ",,,,"Integration User",,,,,,,,"Wave_Analytics_Integration","https://divyasharma--c.documentforce.com/profilephoto/005/T","Integration",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","integration@00db0000000ykaomag.com","integ","Wave Analytics Integration",,"2019-12-30T12:42:12.000Z","00EB0000000fdvVMAQ",,"005B0000006Q7xSIAS","User",,"Standard",
"Security User",,"noreply@salesforce.com","false",,"true",,,,,,"Security User",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/005/T","Security",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","insightssecurity@00db0000000ykaomag.com","sec",,,"2019-12-30T12:42:13.000Z",,,"005B0000006Q7xTIAS","User",,"Standard",
"Chenna Nalla",,"cnalla@salesforce.com","false","00EB0000000fdvVMAQ","true",,,,,"+91 6309036889","Chenna Nalla",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Chenna",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","cnalla@cgdemo.com","cnalla","CEO",,"2019-12-30T12:58:35.000Z",,,"005B0000006Q7xcIAC","Nalla",,"Standard",
"Test",,"noreply@salesforce.com","false","00EB0000000fdvVMAQ","false",,,,,,"Test",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T",,,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","cnalla@test.com","Test","CEO",,"2019-12-30T13:40:52.000Z",,,"005B0000006Q7xmIAC","Test",,"Standard",
"Demo User",,"divyasharma@salesforce.com","false","00EB0000000fdvVMAQ","true",,,,,,"Demo User",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Demo",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","demouser@cganalytics.com","user","CEO",,"2020-01-10T03:49:36.000Z",,,"005B0000006QWJqIAO","User",,"Standard",
"Piero Ponteggia",,"divyasharma@salesforce.com","false","00EB0000000fdvVMAQ","true",,,,,,"Piero Ponteggia",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Piero",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","pponteggia@cganalytics.demo","ppont","CEO",,"2020-01-10T09:20:40.000Z",,,"005B0000006QXTFIA4","Ponteggia",,"Standard",
"Usha Vikas Patri",,"upatri@salesforce.com","false","00EB0000000fdvVMAQ","true",,,,,,"Usha Vikas Patri",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Usha Vikas",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","upatri@cgdemo.com","upatri","CEO",,"2020-01-10T14:42:56.000Z",,,"005B0000006QZ4SIAW","Patri",,"Standard",
"Demo2 User",,"divyasharma@salesforce.com","false","00EB0000000fdvVMAQ","true",,,,,,"Demo2 User",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Demo2",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","demo2user@cganalytics.com","demo","CEO",,"2020-01-12T06:38:46.000Z",,,"005B0000006QevjIAC","User",,"Standard",
"RetailSurvey Site Guest User",,"industriesengineeringdevops@salesforce.com","false",,"true",,,,,,"RetailSurvey Site Guest User",,,,,,,,,"https://divyasharma--c.documentforce.com/profilephoto/005/T","RetailSurvey",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","retailsurvey@retailsurvey.force.com","guest",,,"2020-01-13T06:30:42.000Z",,,"005B0000006QgBVIA0","Site Guest User",,"Guest",
"Sandeep Marneni",,"smarneni@salesforce.com","false","00EB0000000fdvVMAQ","true",,,,,,"Sandeep Marneni",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Sandeep",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","smarneni@cgdemo.com","smarn","CEO",,"2020-01-16T11:15:43.000Z",,,"005B0000006QxfjIAC","Marneni",,"Standard",
"Sanchayan Bhowmik",,"sanchayan.bhowmik@salesforce.com","false","00EB0000000fdvVMAQ","true",,,,,,"Sanchayan Bhowmik",,,,,,,,"CEO","https://divyasharma--c.documentforce.com/profilephoto/005/T","Sanchayan",,,,"https://divyasharma--c.documentforce.com/profilephoto/005/F","sanchayan.bhowmik@cgdemo.com","sbhowmik","CEO",,"2020-04-13T17:11:24.000Z",,,"005B0000006dhpFIAQ","Bhowmik",,"Standard",
