"Article.ArticleVersion.IsVisibleInApp","Article.ArticleVersion.DataCategory.DataCategoryGroupName","Case.Type","Case.Type_of_Support__c","IsSharedByEmail","ArticleVersionNumber","Case.Reason","Article.ArticleVersion.Title","CreatedById","Article.ArticleVersion.PublishStatus","Article.User.Name","KnowledgeArticleId","Article.ArticleVersion.IsVisibleInPrm","Article.CreatedById","Article.ArticleVersion.IsVisibleInPkb","Case.Status","User.Name","Article.ArticleVersion.VersionNumber","Article.ArticleVersion.IsVisibleInCsp","CaseId","User.Id","Case.Product_Family_KB__c","Article.ArticleVersion.DataCategory.DataCategoryName","isAttachedByOwner","CreatedDate","Id","Case.ED_Outcome__c"
"true",,"Product Support","Basic","false","1.0","Item Damaged","Industrial","005B0000003JLI6IAO","Online",,"a4CB00000000EmMMAU","true","005B0000003JK1iIAG","true","Closed","William Edwards","1.0","true","500B0000003371YIAQ","005B0000003JLI6IAO","Cables",,"false","2020-01-29T17:04:05.000Z","a4HB000000004fCMAQ",66.8
,,"Product Support","Basic","true","1.0","Late Delivery",,"005B0000003JLIHIA4",,,"a4CB00000000EmNMAU",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B00000045wWBIAY","005B0000003JLIHIA4","DVD Players",,"false","2020-02-25T19:15:48.000Z","a4HB000000004fDMAQ",81.6
,,"Product Support","Basic","false","1.0","General Question",,"005B0000003JLICIA4",,,"a4CB00000000En1MAE",,"005B0000003JK1iIAG",,"Escalated","Jennifer Barton",,,"500B00000045wXCIAY","005B0000003JLICIA4","Cell Phones",,"false","2020-02-20T18:29:05.000Z","a4HB000000004frMAA",67.6
,,"Product Support","Silver","false","1.0","Documentation",,"005B0000003JLI3IAO",,,"a4CB00000000En2MAE",,"005B0000003JK1iIAG",,"Closed","Susan Pena",,,"500B000000355lTIAQ","005B0000003JLI3IAO","DVD Players",,"false","2020-02-18T22:38:37.000Z","a4HB000000004fsMAA",51.6
,,"Product Support","Platinum","true","1.0","Hardware Question",,"005B0000003JLIGIA4",,,"a4CB00000000En3MAE",,"005B0000003JK1iIAG",,"Closed","Nicole Gill",,,"500B000000355lUIAQ","005B0000003JLIGIA4","Headphones",,"false","2020-02-04T17:09:30.000Z","a4HB000000004ftMAA",51.6
,,"Product Support","Free","false","1.0","General Question",,"005B0000003JLI5IAO",,,"a4CB00000000En4MAE",,"005B0000003JK1iIAG",,"Closed","Crystal Rodriguez",,,"500B00000045wXHIAY","005B0000003JLI5IAO","Video Games",,"false","2020-01-27T22:32:32.000Z","a4HB000000004fuMAA",66.2
,,"Product Support","Silver","false","1.0","Documentation",,"005B0000003JLIJIA4",,,"a4CB00000000En5MAE",,"005B0000003JK1iIAG",,"Closed","Vincent Parrish",,,"500B0000002uCTAIA2","005B0000003JLIJIA4","DVD Players",,"false","2020-02-15T16:55:44.000Z","a4HB000000004fvMAA",81.6
"true",,"Product Support","Silver","true","1.0","Unknown Failure","Movies","005B0000003JLI7IAO","Online",,"a4CB00000000En6MAE","true","005B0000003JK1iIAG","true","Closed","Jane Nelson","1.0","true","500B0000002uCTBIA2","005B0000003JLI7IAO","DVD Players",,"false","2020-01-23T19:53:46.000Z","a4HB000000004fwMAA",51.6
"true",,"Product Support","Free","false","1.0","Documentation","Beauty","005B0000003JLIJIA4","Online",,"a4CB00000000En7MAE","true","005B0000003JK1iIAG","true","Closed","Vincent Parrish","1.0","true","500B000000358V0IAI","005B0000003JLIJIA4","Video Games",,"false","2020-02-26T23:58:29.000Z","a4HB000000004fxMAA",51.6
"true",,"Product Support","Basic","true","1.0","Feature Question","Electronics","005B0000003JLICIA4","Online",,"a4CB00000000En8MAE","true","005B0000003JK1iIAG","true","Closed","Jennifer Barton","1.0","true","500B00000045wXKIAY","005B0000003JLICIA4","Computers",,"false","2020-02-02T00:18:40.000Z","a4HB000000004fyMAA",51.6
"true",,"Product Support","Silver","false","1.0","Software Question","Automotive","005B0000003JLIEIA4","Online",,"a4CB00000000En9MAE","true","005B0000003JK1iIAG","true","Closed","Melody Moore","1.0","true","500B00000045wXMIAY","005B0000003JLIEIA4","Tablets",,"false","2020-01-20T22:47:21.000Z","a4HB000000004fzMAA",51.6
"true",,"Product Support","Basic","false","1.0","Software Question","Garden","005B0000003JLI7IAO","Online",,"a4CB00000000EnAMAU","true","005B0000003JK1iIAG","true","On Hold","Jane Nelson","1.0","true","500B000000355lmIAA","005B0000003JLI7IAO","DVD Players",,"false","2020-01-17T19:22:54.000Z","a4HB000000004g0MAA",51.6
"true",,"Product Support","Platinum","false","1.0","Feature Question","Shoes","005B0000003JLI8IAO","Online",,"a4CB00000000EnBMAU","true","005B0000003JK1iIAG","true","Waiting on Customer","Nathaniel Castillo","1.0","true","500B000000358V8IAI","005B0000003JLI8IAO","Home Audio",,"false","2020-01-26T20:19:23.000Z","a4HB000000004g1MAA",68.1
"true",,"Product Support","Basic","false","1.0","Feature Question","Books","005B0000003JLIHIA4","Online",,"a4CB00000000EnCMAU","true","005B0000003JK1iIAG","true","Closed","Katie Adams","1.0","true","500B0000002uCTaIAM","005B0000003JLIHIA4","Cables",,"false","2020-02-16T17:12:24.000Z","a4HB000000004g2MAA",51.6
"true",,"Product Support","Basic","false","1.0","Software Question","Kids","005B0000003JLI8IAO","Online",,"a4CB00000000EnDMAU","true","005B0000003JK1iIAG","true","Closed","Nathaniel Castillo","1.0","true","500B000000358VIIAY","005B0000003JLI8IAO","Cables",,"false","2020-02-14T22:23:41.000Z","a4HB000000004g3MAA",51.6
"true",,"Product Support","Basic","true","1.0","Feature Question","Beauty","005B0000003JLI8IAO","Online",,"a4CB00000000EnEMAU","true","005B0000003JK1iIAG","true","On Hold","Nathaniel Castillo","1.0","true","500B0000002uCToIAM","005B0000003JLI8IAO","Cell Phones",,"false","2020-02-02T21:38:11.000Z","a4HB000000004g4MAA",51.6
,,"Product Support","Silver","false","1.0","Software Question",,"005B0000003JLIHIA4",,,"a4CB00000000EnFMAU",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B00000045wXVIAY","005B0000003JLIHIA4","Headphones",,"false","2020-01-24T23:36:50.000Z","a4HB000000004g5MAA",51.6
,,"Product Support","Silver","false","1.0","Software Question",,"005B0000003JLIHIA4",,,"a4CB00000000EnGMAU",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B0000002uCTqIAM","005B0000003JLIHIA4","Headphones",,"false","2020-02-16T20:22:40.000Z","a4HB000000004g6MAA",51.6
,,"Product Support","Silver","false","1.0","Software Question",,"005B0000003JLI6IAO",,,"a4CB00000000EnHMAU",,"005B0000003JK1iIAG",,"Closed","William Edwards",,,"500B0000002uCTtIAM","005B0000003JLI6IAO","Tablets",,"false","2020-02-16T18:19:02.000Z","a4HB000000004g7MAA",51.6
,,"Product Support","Silver","true","1.0","Feature Question",,"005B0000003JLICIA4",,,"a4CB00000000EnIMAU",,"005B0000003JK1iIAG",,"Closed","Jennifer Barton",,,"500B0000002uCTvIAM","005B0000003JLICIA4","TVs",,"false","2020-01-31T21:55:41.000Z","a4HB000000004g8MAA",51.6
,,"Product Support","Free","false","1.0","Software Question",,"005B0000003JLI7IAO",,,"a4CB00000000EnJMAU",,"005B0000003JK1iIAG",,"Closed","Jane Nelson",,,"500B00000045wXXIAY","005B0000003JLI7IAO","Video Games",,"false","2020-01-31T23:30:34.000Z","a4HB000000004g9MAA",51.6
,,"Product Support","Basic","false","1.0","Software Question",,"005B0000003JLI3IAO",,,"a4CB00000000EnKMAU",,"005B0000003JK1iIAG",,"Closed","Susan Pena",,,"500B00000045wXZIAY","005B0000003JLI3IAO","DVD Players",,"false","2020-01-31T17:44:37.000Z","a4HB000000004gAMAQ",51.6
"true",,"Product Support","Platinum","true","1.0","Software Question","Music","005B0000003JLIDIA4","Online",,"a4CB00000000EnLMAU","true","005B0000003JK1iIAG","true","Closed","Tammy Foley","1.0","true","500B00000033733IAA","005B0000003JLIDIA4","Home Audio",,"false","2020-02-08T20:41:25.000Z","a4HB000000004gBMAQ",51.6
"true",,"Product Support","Silver","true","1.0","Software Question","Kids","005B0000003JLI8IAO","Online",,"a4CB00000000EnMMAU","true","005B0000003JK1iIAG","true","Closed","Nathaniel Castillo","1.0","true","500B00000045wXbIAI","005B0000003JLI8IAO","Tablets",,"false","2020-02-10T22:24:24.000Z","a4HB000000004gCMAQ",51.6
"true",,"Product Support","Basic","true","1.0","Software Question","Home","005B0000003JLIIIA4","Online",,"a4CB00000000EnNMAU","true","005B0000003JK1iIAG","true","Closed","Marissa White","1.0","true","500B00000033737IAA","005B0000003JLIIIA4","Cables",,"false","2020-02-07T19:46:56.000Z","a4HB000000004gDMAQ",51.6
,,"Product Support","Platinum","false","1.0","Software Question",,"005B0000003JLIIIA4",,,"a4CB00000000EnOMAU",,"005B0000003JK1iIAG",,"Closed","Marissa White",,,"500B000000358VSIAY","005B0000003JLIIIA4","Cameras",,"false","2020-02-14T22:09:02.000Z","a4HB000000004gEMAQ",51.6
,,"Product Support","Platinum","false","1.0","Software Question",,"005B0000003JLI7IAO",,,"a4CB00000000EnPMAU",,"005B0000003JK1iIAG",,"Closed","Jane Nelson",,,"500B000000355mJIAQ","005B0000003JLI7IAO","Home Audio",,"false","2020-01-20T19:06:01.000Z","a4HB000000004gFMAQ",81.6
,,"Product Support","Silver","true","1.0","Feature Question",,"005B0000003JLI7IAO",,,"a4CB00000000EnQMAU",,"005B0000003JK1iIAG",,"Closed","Jane Nelson",,,"500B0000003373AIAQ","005B0000003JLI7IAO","TVs",,"false","2020-02-14T16:16:52.000Z","a4HB000000004gGMAQ",51.6
,,"Product Support","Free","true","1.0","Software Question",,"005B0000003JLI6IAO",,,"a4CB00000000EnRMAU",,"005B0000003JK1iIAG",,"Closed","William Edwards",,,"500B000000355mMIAQ","005B0000003JLI6IAO","Video Games",,"false","2020-02-22T16:14:33.000Z","a4HB000000004gHMAQ",66.2
"true",,"Product Support","Basic","true","1.0","Software Question","Industrial","005B0000003JLIAIA4","Online",,"a4CB00000000EnSMAU","true","005B0000003JK1iIAG","true","Waiting on Customer","Danielle Wright","1.0","true","500B00000045wXdIAI","005B0000003JLIAIA4","Cables",,"false","2020-01-31T17:18:26.000Z","a4HB000000004gIMAQ",51.6
"true",,"Product Support","Basic","false","1.0","Software Question","Health","005B0000003JLIFIA4","Online",,"a4CB00000000EnTMAU","true","005B0000003JK1iIAG","true","Closed","Allison Medina","1.0","true","500B00000045wXeIAI","005B0000003JLIFIA4","Cell Phones",,"false","2020-01-18T16:05:41.000Z","a4HB000000004gJMAQ",51.6
"true",,"Product Support","Basic","false","1.0","Late Delivery","Jewelery","005B0000003JLI8IAO","Online",,"a4CB00000000Ek0MAE","true","005B0000003JK1iIAG","true","New","Nathaniel Castillo","1.0","true","500B00000045wSNIAY","005B0000003JLI8IAO","Cell Phones",,"false","2020-02-20T21:47:31.000Z","a4HB000000004cqMAA",74.4
"true",,"Product Support","Basic","true","1.0","Item Damaged","Shoes","005B0000003JLI4IAO","Online",,"a4CB00000000Ek1MAE","true","005B0000003JK1iIAG","true","Closed","Zachary Fisher","1.0","true","500B00000045wSOIAY","005B0000003JLI4IAO","Cell Phones",,"false","2020-01-18T23:46:34.000Z","a4HB000000004crMAA",81.6
,,"Product Support","Silver","true","1.0","Late Delivery",,"005B0000003JLI8IAO",,,"a4CB00000000Ek2MAE",,"005B0000003JK1iIAG",,"Closed","Nathaniel Castillo",,,"500B00000045wSPIAY","005B0000003JLI8IAO","Headphones",,"false","2020-02-01T22:47:26.000Z","a4HB000000004csMAA",81.6
,,"Product Support","Free","true","1.0","Hardware Question",,"005B0000003JLIBIA4",,,"a4CB00000000Ek3MAE",,"005B0000003JK1iIAG",,"Working","Katie Cole",,,"500B000000355fKIAQ","005B0000003JLIBIA4","Home Audio",,"false","2020-03-02T22:20:01.000Z","a4HB000000004ctMAA",51.6
,,"Product Support","Basic","false","1.0","General Question",,"005B0000003JLIHIA4",,,"a4CB00000000EoPMAU",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B00000045wZYIAY","005B0000003JLIHIA4","TVs",,"false","2020-02-15T20:36:10.000Z","a4HB000000004hFMAQ",51.6
,,"Product Support","Silver","true","1.0","Documentation",,"005B0000003JLIGIA4",,,"a4CB00000000EoQMAU",,"005B0000003JK1iIAG",,"Closed","Nicole Gill",,,"500B0000003374ZIAQ","005B0000003JLIGIA4","Cameras",,"false","2020-02-10T21:57:44.000Z","a4HB000000004hGMAQ",51.6
,,"Product Support","Basic","true","1.0","General Question",,"005B0000003JLIHIA4",,,"a4CB00000000EoRMAU",,"005B0000003JK1iIAG",,"Response Received","Katie Adams",,,"500B000000355odIAA","005B0000003JLIHIA4","Home Audio",,"false","2020-02-09T19:22:53.000Z","a4HB000000004hHMAQ",81.6
"true",,"Product Support","Basic","false","1.0","Unknown Failure","Industrial","005B0000003JLI9IAO","Online",,"a4CB00000000EoSMAU","true","005B0000003JK1iIAG","true","New","Matthew Wong","1.0","true","500B0000002uCXAIA2","005B0000003JLI9IAO","TVs",,"false","2020-01-09T00:58:28.000Z","a4HB000000004hIMAQ",51.6
"true",,"Product Support","Silver","false","1.0","Hardware Question","Industrial","005B0000003JLIJIA4","Online",,"a4CB00000000EoTMAU","true","005B0000003JK1iIAG","true","Closed","Vincent Parrish","1.0","true","500B0000002uCXEIA2","005B0000003JLIJIA4","Video Games",,"false","2020-02-04T00:09:23.000Z","a4HB000000004hJMAQ",80.2
,,"Product Support","Silver","false","1.0","Late Delivery",,"005B0000003JLI5IAO",,,"a4CB00000000EoUMAU",,"005B0000003JK1iIAG",,"Closed","Crystal Rodriguez",,,"500B000000355ohIAA","005B0000003JLI5IAO","Cameras",,"false","2020-02-22T18:23:22.000Z","a4HB000000004hKMAQ",51.6
"true",,"Product Support","Silver","false","1.0","Item Damaged","Grocery","005B0000003JLI4IAO","Online",,"a4CB00000000EoVMAU","true","005B0000003JK1iIAG","true","On Hold","Zachary Fisher","1.0","true","500B000000355oiIAA","005B0000003JLI4IAO","Cameras",,"false","2020-01-29T00:14:54.000Z","a4HB000000004hLMAQ",81.6
"true",,"Product Support","Silver","false","1.0","Item Damaged","Baby","005B0000003JLI8IAO","Online",,"a4CB00000000EoWMAU","true","005B0000003JK1iIAG","true","Closed","Nathaniel Castillo","1.0","true","500B000000358XYIAY","005B0000003JLI8IAO","Cameras",,"false","2020-01-17T21:41:09.000Z","a4HB000000004hMMAQ",51.6
"true",,"Product Support","Basic","true","1.0","Item Damaged","Home","005B0000003JLI3IAO","Online",,"a4CB00000000EoXMAU","true","005B0000003JK1iIAG","true","Closed","Susan Pena","1.0","true","500B0000002uCXLIA2","005B0000003JLI3IAO","Cell Phones",,"false","2020-02-10T00:23:57.000Z","a4HB000000004hNMAQ",51.6
"true",,"Product Support","Basic","true","1.0","Item Damaged","Health","005B0000003JLICIA4","Online",,"a4CB00000000EoYMAU","true","005B0000003JK1iIAG","true","Closed","Jennifer Barton","1.0","true","500B0000002uCXOIA2","005B0000003JLICIA4","DVD Players",,"false","2020-03-01T21:05:49.000Z","a4HB000000004hOMAQ",51.6
,,"Product Support","Free","true","1.0","Late Delivery",,"005B0000003JLI9IAO",,,"a4CB00000000Ek4MAE",,"005B0000003JK1iIAG",,"Closed","Matthew Wong",,,"500B0000002uCLdIAM","005B0000003JLI9IAO","Home Audio",,"false","2020-01-30T17:28:33.000Z","a4HB000000004cuMAA",81.6
,,"Product Support","Free","false","1.0","Late Delivery",,"005B0000003JLIDIA4",,,"a4CB00000000Ek5MAE",,"005B0000003JK1iIAG",,"Closed","Tammy Foley",,,"500B00000045wSTIAY","005B0000003JLIDIA4","Video Games",,"false","2020-02-09T21:32:42.000Z","a4HB000000004cvMAA",51.6
,,"Product Support","Silver","true","1.0","Late Delivery",,"005B0000003JLIIIA4",,,"a4CB00000000Ek6MAE",,"005B0000003JK1iIAG",,"Closed","Marissa White",,,"500B00000045wSYIAY","005B0000003JLIIIA4","Cameras",,"false","2020-02-19T16:35:39.000Z","a4HB000000004cwMAA",51.6
,,"Product Support","Free","false","1.0","Late Delivery",,"005B0000003JLIEIA4",,,"a4CB00000000Ek7MAE",,"005B0000003JK1iIAG",,"Closed","Melody Moore",,,"500B00000045wSaIAI","005B0000003JLIEIA4","Home Audio",,"false","2020-03-03T22:12:59.000Z","a4HB000000004cxMAA",51.6
"true",,"Product Support","Basic","true","1.0","Item Damaged","Games","005B0000003JLIHIA4","Online",,"a4CB00000000Ek8MAE","true","005B0000003JK1iIAG","true","Closed","Katie Adams","1.0","true","500B00000045wSdIAI","005B0000003JLIHIA4","Cell Phones",,"false","2020-01-23T17:33:28.000Z","a4HB000000004cyMAA",81.6
,,"Product Support","Silver","true","1.0","Late Delivery",,"005B0000003JLI6IAO",,,"a4CB00000000Ek9MAE",,"005B0000003JK1iIAG",,"Closed","William Edwards",,,"500B00000045wSeIAI","005B0000003JLI6IAO","Cables",,"false","2020-02-15T18:41:25.000Z","a4HB000000004czMAA",67.3
,,"Product Support","Free","true","1.0","Late Delivery",,"005B0000003JLIHIA4",,,"a4CB00000000EkAMAU",,"005B0000003JK1iIAG",,"Closed","Katie Adams",,,"500B00000045wShIAI","005B0000003JLIHIA4","Home Audio",,"false","2020-02-04T21:59:19.000Z","a4HB000000004d0MAA",81.6
"true",,"Product Support","Free","false","1.0","Late Delivery","Clothing","005B0000003JLIDIA4","Online",,"a4CB00000000EkBMAU","true","005B0000003JK1iIAG","true","Closed","Tammy Foley","1.0","true","500B00000045wSjIAI","005B0000003JLIDIA4","TVs",,"false","2020-01-28T18:14:39.000Z","a4HB000000004d1MAA",51.6
"true",,"Product Support","Free","true","1.0","Hardware Question","Home","005B0000003JLIGIA4","Online",,"a4CB00000000EkCMAU","true","005B0000003JK1iIAG","true","Escalated","Nicole Gill","1.0","true","500B00000045wSkIAI","005B0000003JLIGIA4","TVs",,"false","2020-03-06T22:59:04.000Z","a4HB000000004d2MAA",81.6
,,"Product Support","Platinum","true","1.0","Late Delivery",,"005B0000003JLI9IAO",,,"a4CB00000000EkDMAU",,"005B0000003JK1iIAG",,"Closed","Matthew Wong",,,"500B00000045wSmIAI","005B0000003JLI9IAO","Computers",,"false","2020-01-27T21:27:10.000Z","a4HB000000004d3MAA",51.6
