UserRole.Name,External_Id__c,FirstName,LastName,Alias,Email,TimeZoneSidKey,Profile.Name,LocaleSidKey,LanguageLocaleKey,EmailEncodingKey,UserPermissionsSFContentUser,Username,IsActive
Central CSR,W_Services_User.9,Laura,Gonzalez,lgonzale,lgonzale@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,lgonzale@ea.scratch.{TIMESTAMP},false
West CSR,W_Services_User.3,Brenda,Johnson,bjohnson,bjohnson@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,bjohnson@ea.scratch.{TIMESTAMP},false
East CSR,W_Services_User.15,Kevin,Compton,kcompton,kcompton@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,kcompton@ea.scratch.{TIMESTAMP},false
Central CSR,W_Services_User.6,Abigail,French,afrench,afrench@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,afrench@ea.scratch.{TIMESTAMP},false
East CSR,W_Services_User.12,Alyssa,Nixon,anixon,anixon@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,anixon@ea.scratch.{TIMESTAMP},false
East CSR,W_Services_User.14,Scott,Allen,sallen,sallen@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,sallen@ea.scratch.{TIMESTAMP},false
Central CSR,W_Services_User.7,Kimberly,English,kenglish,kenglish@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,kenglish@ea.scratch.{TIMESTAMP},false
Central CSR,W_Services_User.8,Vanessa,Meza,vmeza,vmeza@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,vmeza@ea.scratch.{TIMESTAMP},false
West CSM,W_Services_User.M.18,John,Robertson,jroberts,jroberts@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,jroberts@ea.scratch.{TIMESTAMP},false
East CSM,W_Services_User.M.19,Eric,Tucker,etucker,etucker@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,etucker@ea.scratch.{TIMESTAMP},false
Central CSM,W_Services_User.M.20,Tyler,Burns,tburns,tburns@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,tburns@ea.scratch.{TIMESTAMP},false
