"Status","Owner","LeadSource","IsConverted","Rating","Amount_Slot","CreatedDate","Slot","Name","LeadActivities","ConvertedOppAmount","LeadNumber"
"Nurturing","Qianwen Dong","Purchased List","false","Hot","0","2020-03-21","From 16 to 25","Mouse",19,0,41
"Nurturing - Contacted","G M","Employee Referral","false","Warm","0","2020-02-13","From 5 to 10","Cowell",10,0,42
"Converted","R CSEG","Other","true","Cold","From 25K to 50K","2020-01-07","From 5 to 10","Beethoven",7,50000,43
"Qualified","Deepu CSEG","Advertisement","false","Warm","0","2020-08-08","From 11 to 15","West",15,0,44
"Working  - Contacted","R CSEG","Other","false","Hot","0","2020-05-17","From 16 to 25","Washington",20,0,45
"Nurturing","Qianwen Dong","Other","false","Warm","0","2020-09-19","From 5 to 10","Columbus",6,0,46
"Working","G M","Employee Referral","false","Hot","0","2020-10-17","From 5 to 10","Bieber",10,0,47
"Converted","R CSEG","Other","true","Cold","From 25K to 50K","2020-07-11","From 5 to 10","Aniston",6,34000,48
"Qualified","G M","Advertisement","false","Warm","0","2020-07-16","From 16 to 25","Putin",16,0,49
"Converted","R CSEG","Other","true","Hot","From 100K to 150K","2020-02-02","From 16 to 25","Trumpy",20,107000,50
"Working","Qianwen Dong","Employee Referral","false","Warm","0","2020-04-06","From 5 to 10","Donna",9,0,51
"Working  - Contacted","G M","Trade Show","false","Warm","0","2020-03-02","From 11 to 15","Murray",12,0,52
"Nurturing - Contacted","R CSEG","Other","false","Cold","0","2020-06-24","From 5 to 10","Williams",7,0,53
"Nurturing","G M","Advertisement","false","Warm","0","2020-10-14","From 11 to 15","Buffett",14,0,54
"Converted","Deepu CSEG","Other","true","Hot","From 50K to 100K","2020-11-21","From 16 to 25","Carroll",22,79000,55
"New","R CSEG","Employee Referral","false","Warm","0","2020-05-14","From 5 to 10","Elizabeth",10,0,56
"Qualified","Qianwen Dong","Employee Referral","false","Hot","0","2020-01-31","From 11 to 15","Darwin",14,0,57
"Converted","R CSEG","Purchased List","true","Cold","From 25K to 50K","2020-09-24","0","Einstein",0,36000,58
"Nurturing - Contacted","G M","Other","false","Warm","0","2020-12-25","From 5 to 10","Ford",5,0,59
"Working  - Contacted","Deepu CSEG","Other","false","Warm","0","2020-08-16","From 16 to 25","Gates",22,0,60
"New","R CSEG","Employee Referral","false","Hot","0","2020-07-14","From 11 to 15","Jobs",13,0,61
"Converted","G M","Purchased List","true","Warm","From 10K to 25K","2020-09-15","From 11 to 15","vanGogh",14,10000,62
"Qualified","Qianwen Dong","Advertisement","false","Hot","0","2020-03-15","From 16 to 25","Hitler",22,0,63
"Nurturing - Contacted","R CSEG","Advertisement","false","Cold","0","2020-06-13","From 5 to 10","Jefferson",10,0,64
"Working","R CSEG","Other","false","Warm","0","2020-10-19","From 5 to 10","Kubrik",7,0,65
"Converted","G M","Other","true","Warm","From 25K to 50K","2020-04-03","From 11 to 15","Lindbergh",12,50000,66
"Working  - Contacted","Deepu CSEG","Trade Show","false","Hot","0","2020-01-21","From 5 to 10","Love",6,0,67
"Qualified","Qianwen Dong","Employee Referral","false","Warm","0","2020-11-07","From 11 to 15","Cobain",15,0,68
"Working","R CSEG","Other","false","Cold","0","2020-02-09","From 5 to 10","Amadeus",5,0,69
"New","G M","Advertisement","false","Hot","0","2020-12-04","From 16 to 25","Newton",22,0,70
"Nurturing - Contacted","R CSEG","Employee Referral","false","Cold","0","2020-05-17","From 5 to 10","Orwell",7,0,71
"Nurturing","Qianwen Dong","Purchased List","false","Warm","0","2020-08-07","From 5 to 10","Warhol",9,0,72
"Working  - Contacted","R CSEG","Employee Referral","false","Warm","0","2020-08-31","From 5 to 10","Welles",5,0,73
"Nurturing","Deepu CSEG","Other","false","Warm","0","2020-04-12","From 11 to 15","DaVinci",15,0,74
"Converted","R CSEG","Other","true","Hot","From 10K to 25K","2020-06-24","From 11 to 15","Disney",13,19000,75
"Nurturing - Contacted","G M","Other","false","Warm","0","2020-07-22","From 16 to 25","Lincoln",23,0,76
"Converted","R CSEG","Employee Referral","true","Cold","From 50K to 100K","2020-12-01","From 5 to 10","Shakespeare",6,82000,77
"Qualified","Qianwen Dong","Other","false","Warm","0","2020-03-14","From 11 to 15","LutherKing",14,0,78
"Converted","R CSEG","Advertisement","true","Hot","From 5K to 10K","2020-11-22","From 16 to 25","Fknnedy",25,37500,79
"Working  - Contacted","Deepu CSEG","Other","false","Warm","0","2020-09-04","From 5 to 10","Diana",5,0,80
"Working","G M","Purchased List","false","Hot","0","2020-10-25","From 16 to 25","Theresa",19,0,81
"Converted","R CSEG","Employee Referral","true","Cold","From 5K to 10K","2020-05-14","From 5 to 10","Edison",10,9300,82
"Nurturing - Contacted","G M","Employee Referral","false","Warm","0","2020-01-15","From 11 to 15","Franklin",12,0,83
"Working","Qianwen Dong","Advertisement","false","Warm","0","2020-02-06","From 5 to 10","Armstrong",8,0,84
"Nurturing","R CSEG","Trade Show","false","Cold","0","2020-10-29","0","Leon",0,0,85
"Converted","G M","Advertisement","true","Hot","From 10K to 25K","2020-05-08","From 11 to 15","Presley",13,15000,86
"New","R CSEG","Employee Referral","false","Warm","0","2020-11-16","From 5 to 10","Ali",8,0,87
"Working  - Contacted","Qianwen Dong","Other","false","Warm","0","2020-03-29","From 16 to 25","Monroe",16,0,88
"Qualified","Deepu CSEG","Other","false","Hot","0","2020-01-30","From 5 to 10","Picasso",8,0,89
"Nurturing","G M","Other","false","Cold","0","2020-09-15","From 5 to 10","Dickens",7,0,90
"Qualified","R CSEG","Employee Referral","false","Hot","0","2020-08-14","From 16 to 25","Patra",18,0,91
"Converted","G M","Other","true","Warm","From 25K to 50K","2020-02-05","From 11 to 15","Lennon",15,30000,92
"Nurturing - Contacted","R CSEG","Advertisement","false","Warm","0","2020-12-30","From 5 to 10","Jordan",10,0,93
"Working","Qianwen Dong","Purchased List","false","Hot","0","2020-07-02","From 16 to 25","Twain",20,0,94
"Converted","R CSEG","Other","true","Cold","From 25K to 50K","2020-04-18","From 5 to 10","Kidman",5,47000,95
"Working  - Contacted","G M","Other","false","Warm","0","2020-06-01","From 11 to 15","Obama",15,0,96
"Nurturing","Deepu CSEG","Employee Referral","false","Warm","0","2020-08-22","From 11 to 15","Pattison",11,0,97
"Nurturing - Contacted","R CSEG","Advertisement","false","Hot","0","2020-11-15","From 11 to 15","Heffner",12,0,98
"Converted","Qianwen Dong","Other","true","Cold","From 100K to 150K","2020-04-03","From 5 to 10","Rowling",5,105000,99
"Qualified","R CSEG","Employee Referral","false","Warm","0","2020-07-09","From 5 to 10","Clinton",6,0,100
"New","R CSEG","Other","false","Warm","0","2020-06-22","From 11 to 15","Taylor",14,0,101
"Converted","G M","Purchased List","true","Hot","From 10K to 25K","2020-12-14","From 16 to 25","Cruise",25,16000,102
"Qualified","Deepu CSEG","Employee Referral","false","Warm","0","2020-10-05","From 5 to 10","Eastwood",7,0,103
"Working","R CSEG","Advertisement","false","Cold","0","2020-02-23","From 5 to 10","Hitchcock",5,0,104
"Nurturing","Qianwen Dong","Other","false","Warm","0","2020-01-08","From 16 to 25","Hawking",23,0,105
"New","R CSEG","Trade Show","false","Hot","0","2020-03-22","From 11 to 15","Hanks",11,0,106
"Nurturing - Contacted","G M","Employee Referral","false","Warm","0","2020-09-26","From 11 to 15","Winfrey",14,0,107
"Working  - Contacted","R CSEG","Other","false","Cold","0","2020-05-26","From 5 to 10","Once",5,0,108
"Working","G M","Employee Referral","false","Hot","0","2020-06-18","From 5 to 10","Clinton",6,0,109
"Converted","Qianwen Dong","Other","true","Warm","From 50K to 100K","2020-07-21","From 5 to 10","Suess",9,79000,110
"Converted","R CSEG","Other","true","Warm","From 5K to 10K","2020-10-31","From 5 to 10","Charles",5,19800,111
"Qualified","Deepu CSEG","Purchased List","false","Hot","0","2020-03-09","From 16 to 25","Connery",22,0,112
"Nurturing - Contacted","G M","Advertisement","false","Cold","0","2020-01-14","0","Roberts",0,0,113
"Nurturing","R CSEG","Employee Referral","false","Warm","0","2020-09-02","From 11 to 15","Le",13,0,114
"Working  - Contacted","G M","Advertisement","false","Hot","0","2020-11-26","From 16 to 25","Streep",25,0,115
"Qualified","Qianwen Dong","Trade Show","false","Warm","0","2020-12-17","From 11 to 15","Keller",15,0,116
"New","Deepu CSEG","Employee Referral","false","Warm","0","2020-05-28","From 5 to 10","Williams",10,0,117
"Working  - Contacted","R CSEG","Other","false","Cold","0","2020-04-07","From 5 to 10","Martin",5,0,118
"Converted","G M","Other","true","Warm","From 25K to 50K","2020-08-06","From 16 to 25","Astaire",16,29000,119
"Working","R CSEG","Other","false","Hot","0","2020-02-26","From 11 to 15","Goldberg",14,0,120
"Converted","Qianwen Dong","Other","true","Warm","From 10K to 25K","2020-11-24","From 11 to 15","Austen",11,12500,121
"Nurturing","G M","Advertisement","false","Cold","0","2020-01-01","From 5 to 10","Hope",10,0,122
"Working  - Contacted","Deepu CSEG","Employee Referral","false","Warm","0","2020-12-06","From 5 to 10","Bose DK",7,0,123
"Qualified","R CSEG","Employee Referral","false","Hot","0","2020-04-01","From 16 to 25","Andy Smith (Sample)",25,0,124
"Nurturing - Contacted","R CSEG","Other","false","Warm","0","2020-06-12","From 11 to 15","Neil Symonds",14,0,125
"Converted","G M","Other","true","Hot","From 25K to 50K","2020-09-18","From 16 to 25","Abraham Johnson",24,27000,126
"Working","Qianwen Dong","Purchased List","false","Cold","0","2020-05-12","From 5 to 10","Adam Richman (Sample)",5,0,127
"New","R CSEG","Employee Referral","false","Warm","0","2020-02-21","From 5 to 10","Mandela",5,0,128
"Converted","R CSEG","Advertisement","true","Warm","From 50K to 100K","2020-10-04","From 11 to 15","Depp",11,52000,129
"Working  - Contacted","Deepu CSEG","Other","false","Hot","0","2020-08-06","From 11 to 15","Mario Kitchenside",15,0,130
"Nurturing - Contacted","R CSEG","Purchased List","false","Warm","0","2020-07-23","From 5 to 10","Ignace Carwithim",8,0,131
"Nurturing","Qianwen Dong","Employee Referral","false","Hot","0","2020-03-21","From 16 to 25","Mord Pasterfield",16,0,132
"Working","R CSEG","Advertisement","false","Warm","0","2020-01-31","From 16 to 25","Wyatan Podd",21,0,133
"Converted","G M","Trade Show","true","Cold","From 25K to 50K","2020-03-13","From 5 to 10","Brade Sillett",6,30000,134
"Nurturing - Contacted","R CSEG","Other","false","Warm","0","2020-02-28","From 11 to 15","Yves Ortet",15,0,135
"Converted","G M","Other","true","Hot","From 10K to 25K","2020-08-05","From 5 to 10","Nedi Oakman",10,21000,136
"Working  - Contacted","Qianwen Dong","Employee Referral","false","Cold","0","2020-10-22","From 5 to 10","Sven Bowling",7,0,137
"Qualified","Deepu CSEG","Advertisement","false","Warm","0","2020-09-12","From 5 to 10","Easter Karpe",10,0,138
"Qualified","R CSEG","Other","false","Warm","0","2020-11-10","From 5 to 10","Olenolin Calafate",7,0,139
"Converted","R CSEG","Employee Referral","true","Hot","From 100K to 150K","2020-06-02","From 11 to 15","Corly Sawdon",13,129000,140
"Qualified","G M","Purchased List","false","Warm","0","2020-12-08","From 11 to 15","Shay Eason",14,0,141
"Working","G M","Other","false","Cold","0","2020-07-01","0","Heda Grimshaw",0,0,142
"Nurturing","Qianwen Dong","Employee Referral","false","Warm","0","2020-04-19","From 5 to 10","Harlie Carden",7,0,143
"New","R CSEG","Other","false","Hot","0","2020-05-22","From 16 to 25","Mireielle Rolston",22,0,144
"Working  - Contacted","G M","Other","false","Warm","0","2020-12-27","From 11 to 15","Ivor Ludman",12,0,145
"Converted","Deepu CSEG","Advertisement","true","Cold","From 25K to 50K","2020-04-22","From 5 to 10","Callida Loughan",10,34000,146
"Nurturing","R CSEG","Other","false","Hot","0","2020-07-17","From 16 to 25","Demott Puve",22,0,147
"Nurturing - Contacted","R CSEG","Employee Referral","false","Warm","0","2020-02-04","From 16 to 25","Harmon Huetson",17,0,148
"Qualified","Qianwen Dong","Other","false","Warm","0","2020-08-22","From 5 to 10","Caitlin Marder",6,0,149
"Converted","G M","Trade Show","true","Cold","From 5K to 10K","2020-10-05","From 5 to 10","Caresa Sheere",5,69300,150
"New","R CSEG","Other","false","Warm","0","2020-03-05","From 11 to 15","Pepi Becerra",13,0,151
"Working","Deepu CSEG","Advertisement","false","Hot","0","2020-01-11","From 16 to 25","Enrica Colafate",22,0,152
"Nurturing - Contacted","R CSEG","Purchased List","false","Warm","0","2020-06-29","From 5 to 10","Vincenty Eckhard",7,0,153
"Working  - Contacted","G M","Employee Referral","false","Hot","0","2020-09-24","From 5 to 10","Jenny Emlin",9,0,154
"Converted","R CSEG","Advertisement","true","Cold","From 25K to 50K","2020-11-19","From 5 to 10","Nonie Lamerton",9,33000,155
"Qualified","G M","Employee Referral","false","Hot","0","2020-05-20","From 16 to 25","Genna Lepard",19,0,156
"Converted","Qianwen Dong","Other","true","Warm","From 10K to 25K","2020-11-18","From 11 to 15","Julianna Sergeant",12,13000,157
"Nurturing","R CSEG","Other","false","Warm","0","2020-02-05","From 11 to 15","Min Mussared",15,0,158
"Nurturing - Contacted","Qianwen Dong","Other","false","Warm","0","2020-06-17","From 5 to 10","Emilia Kenny",5,0,159
"Working  - Contacted","R CSEG","Employee Referral","false","Hot","0","2020-04-25","From 11 to 15","Shannan Colleer",15,0,160
"Converted","Deepu CSEG","Employee Referral","true","Cold","From 50K to 100K","2020-09-16","From 5 to 10","Harley Werrit",10,75000,161
"New","R CSEG","Purchased List","false","Warm","0","2020-12-17","From 11 to 15","Joseito Zanetti",14,0,162
"Working","G M","Advertisement","false","Hot","0","2020-01-30","From 16 to 25","Clari Gladdish",17,0,163
"Converted","R CSEG","Other","true","Cold","From 5K to 10K","2020-05-22","From 5 to 10","Percy Mattheissen",8,77000,164
"Qualified","Qianwen Dong","Other","false","Warm","0","2020-08-29","From 5 to 10","Lea Pester",10,0,165
"Nurturing","Deepu CSEG","Trade Show","false","Warm","0","2020-03-04","From 16 to 25","Farrell Maldin",19,0,166
"Working","R CSEG","Advertisement","false","Warm","0","2020-07-07","From 11 to 15","Laurene Bathurst",12,0,167
"Working  - Contacted","G M","Other","false","Hot","0","2020-10-27","From 11 to 15","Kiley Leathe",11,0,168
"Qualified","R CSEG","Other","false","Warm","0","2020-01-30","From 5 to 10","Mayne Maha",10,0,169
"Nurturing - Contacted","G M","Employee Referral","false","Cold","0","2020-12-07","0","Dyna Schooley",0,0,170
"Converted","Qianwen Dong","Employee Referral","true","Warm","From 10K to 25K","2020-08-18","From 11 to 15","Marcellus Disman",11,13000,171
"Converted","R CSEG","Purchased List","true","Hot","From 50K to 100K","2020-09-20","From 16 to 25","Law Tapton",24,75000,172
"Working  - Contacted","Deepu CSEG","Employee Referral","false","Warm","0","2020-04-15","From 5 to 10","Lorine Collinson",5,0,173
"Working","R CSEG","Other","false","Hot","0","2020-11-26","From 11 to 15","Ermin Munford",11,0,174
"Qualified","Qianwen Dong","Advertisement","false","Warm","0","2020-06-29","From 11 to 15","Alvina Alywen",15,0,175
"Nurturing","R CSEG","Other","false","Cold","0","2020-07-07","From 5 to 10","Catherine Womersley",8,0,176
"New","G M","Advertisement","false","Warm","0","2020-02-28","From 5 to 10","Warden Quarmby",8,0,177
"Nurturing - Contacted","G M","Employee Referral","false","Hot","0","2020-10-24","From 16 to 25","Rachael Le Huquet",16,0,178
"Working  - Contacted","R CSEG","Other","false","Warm","0","2020-05-02","From 16 to 25","Alyssa Bransden",21,0,179
"Converted","G M","Other","true","Cold","From 100K to 150K","2020-03-10","From 5 to 10","Shelton Gresswell",9,141000,180
"Nurturing - Contacted","Deepu CSEG","Trade Show","false","Hot","0","2020-03-08","From 5 to 10","Cristina Ead",6,0,181
"Qualified","R CSEG","Other","false","Warm","0","2020-05-19","From 5 to 10","Alexine Ford",6,0,182
"Nurturing","G M","Employee Referral","false","Cold","0","2020-07-23","From 5 to 10","Elianora Jedrychowski",8,0,183
"Converted","Qianwen Dong","Employee Referral","true","Warm","From 25K to 50K","2020-01-05","From 11 to 15","Pennie Cookley",14,50000,184
"Working","R CSEG","Other","false","Hot","0","2020-11-03","From 16 to 25","Zechariah Torri",21,0,185
"New","R CSEG","Purchased List","false","Warm","0","2020-12-06","From 5 to 10","Danita Hubbart",8,0,186
"Nurturing - Contacted","Qianwen Dong","Other","false","Hot","0","2020-10-25","From 11 to 15","Sylvester Chittem",13,0,187
"Working  - Contacted","G M","Advertisement","false","Warm","0","2020-02-07","From 11 to 15","Pavel Waterland",15,0,188
"Converted","R CSEG","Advertisement","true","Cold","From 10K to 25K","2020-06-22","From 5 to 10","Nicki Hayden",6,20000,189
"Converted","Deepu CSEG","Employee Referral","true","Warm","From 25K to 50K","2020-04-08","From 11 to 15","Jobina Clutterbuck",13,34000,190
"Converted","R CSEG","Employee Referral","true","Hot","From 25K to 50K","2020-09-02","From 16 to 25","Aldwin Barrabeale",22,39000,191
"Nurturing","G M","Other","false","Cold","0","2020-08-19","From 5 to 10","Jada Heavens",8,0,192
"Working","R CSEG","Other","false","Warm","0","2020-02-25","From 5 to 10","Olivier Ellerker",10,0,193
"Qualified","Qianwen Dong","Advertisement","false","Hot","0","2020-11-03","From 5 to 10","Eustace Gibbe",5,0,194
"Converted","G M","Purchased List","true","Warm","From 5K to 10K","2020-10-28","From 16 to 25","Aurlie Muxworthy",21,11000,195
"Working  - Contacted","R CSEG","Employee Referral","false","Warm","0","2020-06-19","From 11 to 15","Adrien Filtness",11,0,196
"New","Deepu CSEG","Other","false","Cold","0","2020-12-07","0","Timofei O'Sheilds",0,0,197
"Nurturing","G M","Other","false","Hot","0","2020-08-26","From 11 to 15","Doroteya Kenion",11,0,198
"Nurturing - Contacted","Qianwen Dong","Employee Referral","false","Warm","0","2020-04-21","From 5 to 10","Venita Lowdyane",5,0,199
"Converted","R CSEG","Advertisement","true","Warm","From 10K to 25K","2020-09-11","From 11 to 15","Salomo Keaveney",14,16500,200
"Working","R CSEG","Purchased List","false","Hot","0","2020-07-22","From 16 to 25","Saunder Shatliffe",17,0,201
"Working  - Contacted","Deepu CSEG","Other","false","Warm","0","2020-05-30","From 5 to 10","Papagena Muddle",5,0,202
"Qualified","G M","Employee Referral","false","Cold","0","2020-03-22","From 5 to 10","Dov Cash",6,0,203
"Qualified","Qianwen Dong","Other","false","Warm","0","2020-01-03","From 11 to 15","Niki Grigorkin",12,0,204
"Converted","R CSEG","Other","true","Hot","From 50K to 100K","2020-01-10","From 16 to 25","Osbert Rabier",16,95000,205
"Nurturing - Contacted","R CSEG","Trade Show","false","Warm","0","2020-10-15","From 5 to 10","Hollyanne Cromblehome",7,0,206
"Qualified","G M","Employee Referral","false","Cold","0","2020-11-27","From 5 to 10","Legra Wiffler",8,0,207
"Nurturing","R CSEG","Other","false","Warm","0","2020-04-11","From 16 to 25","Halie Southerell",25,0,208
"Working","Qianwen Dong","Advertisement","false","Hot","0","2020-05-15","From 16 to 25","Myles Osgar",16,0,209
"New","R CSEG","Other","false","Warm","0","2020-07-13","From 5 to 10","Milicent Sandeman",10,0,210
"Working  - Contacted","G M","Purchased List","false","Cold","0","2020-09-10","From 5 to 10","Theo Chesman",6,0,211
"Nurturing - Contacted","Deepu CSEG","Advertisement","false","Warm","0","2020-08-07","From 11 to 15","Gustav Cranmere",11,0,212
"Converted","G M","Employee Referral","true","Hot","From 25K to 50K","2020-12-26","From 11 to 15","Ginevra Fraczek",11,26000,213
"Qualified","R CSEG","Other","false","Warm","0","2020-02-27","From 5 to 10","Nicko Keilloh",6,0,214
"Working  - Contacted","R CSEG","Other","false","Hot","0","2020-06-25","From 16 to 25","Drucill Leinster",18,0,215
"Working","Deepu CSEG","Employee Referral","false","Cold","0","2020-03-06","From 5 to 10","Thorny Hodcroft",10,0,216
"Nurturing - Contacted","G M","Trade Show","false","Warm","0","2020-01-23","From 11 to 15","Emmy Mc Elory",11,0,217
"Nurturing","R CSEG","Advertisement","false","Hot","0","2020-04-15","From 5 to 10","Christie Mathis",9,0,218
"Converted","Qianwen Dong","Employee Referral","true","Warm","From 25K to 50K","2020-02-23","From 11 to 15","Godiva Arkil",13,31000,219
"Converted","Qianwen Dong","Other","true","Warm","From 100K to 150K","2020-08-03","From 16 to 25","Auberta Annott",24,112000,220
"Converted","R CSEG","Other","true","Cold","From 5K to 10K","2020-05-23","From 5 to 10","Kassie Dade",5,59800,221
"Qualified","G M","Employee Referral","false","Warm","0","2020-07-15","From 5 to 10","Yolanthe Carbett",7,0,222
"Converted","R CSEG","Other","true","Hot","From 10K to 25K","2020-03-07","From 11 to 15","Jo ann Schimoni",11,14500,223
"Working","Deepu CSEG","Purchased List","false","Warm","0","2020-06-14","From 11 to 15","Ingemar Wincer",11,0,224
"Nurturing - Contacted","G M","Employee Referral","false","Cold","0","2020-12-12","0","Martie Spradbery",0,0,225
"Working  - Contacted","Qianwen Dong","Other","false","Hot","0","2020-10-03","From 16 to 25","Frasier Peploe",20,0,226
"New","R CSEG","Advertisement","false","Warm","0","2020-09-19","From 5 to 10","Raffaello Dunning",5,0,227
"Converted","R CSEG","Employee Referral","true","Warm","From 25K to 50K","2020-11-11","From 5 to 10","Joycelin Thrustle",7,27000,228
"Working  - Contacted","G M","Advertisement","false","Cold","0","2020-06-30","From 5 to 10","Donella Colvine",7,0,229
"Nurturing","Qianwen Dong","Other","false","Warm","0","2020-01-13","From 11 to 15","Clyde Dunridge",15,0,230
"Converted","R CSEG","Trade Show","true","Hot","From 50K to 100K","2020-02-26","From 16 to 25","Fern Glowach",19,81000,231
"Working","R CSEG","Other","false","Hot","0","2020-10-31","From 11 to 15","Jerrold Siely",15,0,232
"Nurturing","Deepu CSEG","Employee Referral","false","Warm","0","2020-12-10","From 11 to 15","Putnam Le Noir",14,0,233
"Nurturing - Contacted","G M","Advertisement","false","Cold","0","2020-03-16","From 5 to 10","Judye Ramirez",6,0,234
"Converted","Qianwen Dong","Other","true","Warm","From 10K to 25K","2020-08-14","From 5 to 10","Lillis Wathell",9,14500,235
"Working  - Contacted","G M","Purchased List","false","Hot","0","2020-07-09","From 5 to 10","Gus Mead",9,0,236
"Qualified","R CSEG","Employee Referral","false","Warm","0","2020-09-12","From 16 to 25","Kirk Sleightholm",21,0,237
"New","R CSEG","Other","false","Warm","0","2020-11-04","From 11 to 15","Normand Carvilla",14,0,238
"Converted","Deepu CSEG","Other","true","Hot","From 50K to 100K","2020-04-06","From 16 to 25","Bert Oda",18,57000,239
"Qualified","R CSEG","Advertisement","false","Warm","0","2020-05-06","From 5 to 10","Blithe Lavielle",6,0,240
"Nurturing - Contacted","G M","Other","false","Cold","0","2020-01-24","From 5 to 10","Bridie O'Boyle",9,0,241
"Nurturing","R CSEG","Purchased List","false","Warm","0","2020-02-08","From 11 to 15","Jami Pallant",13,0,242
"New","Qianwen Dong","Employee Referral","false","Hot","0","2020-08-21","From 11 to 15","Giustino Beseke",14,0,243
"Converted","G M","Other","true","Warm","From 25K to 50K","2020-04-10","From 5 to 10","Tiffie Gruszecki",5,50000,244
"Working  - Contacted","R CSEG","Advertisement","false","Cold","0","2020-11-14","From 5 to 10","Babara Kann",6,0,245
"Working","Deepu CSEG","Other","false","Hot","0","2020-10-20","From 16 to 25","Lila Rzehor",22,0,246
"Qualified","R CSEG","Trade Show","false","Warm","0","2020-12-20","From 11 to 15","Langston Andriessen",11,0,247
