"MembershipEndDate","TransactionJournal_Last_Transaction_Activity_Date","MemberTier_TierGroup_Program_Name","MemberTier_EffectiveDate","MemberTier_LoyaltyMemberId","MemberTier_LoyaltyTierId","MemberTenure","MemberTier_Id","MemberTier_CreatedDate","ProgramId","LoyaltyProgramMember_MembershipNumber","Program_Name","Contact_MailingCity1","Id","Contact_MailingCity","Referred_Member_Count","Contact_City_State","MemberTier_TierGroup_Name","Contact_Birthdate","Account_Name","Latest_NPS_Scoring_NPS_Response_Bucket","Contact_MailingState1","isTrainingData","Account_BillingCity","Contact_Name","MemberTier_TierGroup_Program_Id","MemberTier_TierGroup_SelectedTierGroup_Flag","LastActivityDate","InactivityFlag","LeadOrContactId","AccountId","MemberCurrency_Name","MemberTier_Name","ReferredById","Contact_MailingState","Account_BillingState","Contact_Account_Name","EnrollmentChannel","MemberTier_TierGroup_Program_OwnerId","IsAReferral","MemberTier_TierGroup_Program_Status","MemberName","Contact_Account_Id","MemberTier_LoyaltyTierGroupId","MemberTier_TierGroup_Id","ContactId","MemberTier_TierGroup_LoyaltyProgramId","EnrollmentDate","Latest_NPS_NPS_Response_Bucket","AccountContactId","LeadOrContactName","MemberTier_TierExpirationDate","MemberType","MemberStatus","Latest_NPS_Scoring_NumberValue","Transactions_Redemption_Transactions_Previous_Period","Latest_CSAT_NumberValue","Transactions_DaysBetweenCurrentTransactions","Transactions_Accrual_Transactions_Current_Period","Overall_CSAT_Scoring_CSAT","Latest_CSAT_Scoring_NumberValue","Transactions_Transactions_all","Overall_NPS_Count","Overall_CSAT_CSAT","Transactions_Transaction_Amount_all","MemberCurrency_Ledger_Previous_Accrued_Points","Member_Count","Transactions_Transaction_Amount_Current_Period","Transactions_Redemption_Transactions_Current_Period","DaysSinceLastActivity","Latest_NPS","Transactions_DaysBetweenPreviousTransactions","Overall_NPS_NPS_Response_Number","MemberCurrency_Ledger_Previous_Expired_Points","Latest_CSAT","Overall_CSAT_Count","MemberCurrency_Ledger_Previous_Redeemed_Points","Months_in_Tier","Latest_CSAT_Scoring_QuestionChoice_MaxValue","Overall_NPS_Scoring_Count","Membership_Duration_days","Latest_CSAT_QuestionChoice_MaxValue","Transactions_Accrual_Transactions_Previous_Period","Current_Transaction_Frequency","CSAT","MemberCurrency_Ledger_Current_Accrued_Points","Overall_CSAT_Scoring_Count","MemberCurrency_Ledger_Current_Redeemed_Points","Latest_NPS_NumberValue","MemberCurrency_Ledger_Current_Expired_Points","NPS","Previous_Transaction_Frequency","Transactions_Transaction_Amount_Previous_Period","MemberCurrency_PointsBalance","Scale","Engagement_Score","InactivityScore","Overall_NPS_Scoring_NPS_Response_Number","Contact_Age"
,,"NTO Insider","2021-08-17","0lMB0000000RIERMA4","0lgB0000000TNJCIA4","2.1-3 months","0lyB0000000RJAvIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_139","NTO Insider","New York","0lMB0000000RIERMA4","New York",,"New York - NY","Status Tier Group",,,"Promoters","NY","false",,"Q4Data338 Trail338","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8uIAD",,"Points","Silver",,"NY",,,"Web","005B0000006txQYIAY","false","Active","Q4Data338 Trail338",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8uIAD","0lpB0000000PBdwIAG","2021-08-17","Promoters","003B000000IXi8uIAD","Q4Data338 Trail338",,"Individual","Active",9,,9,,,4.5,9,,1,4.5,,,1,,,,9,,1,,4.5,1,,2,10,1,70,10,,0,4.5,,1,,9,,1,0,,0,5,99.91,0.09,1,
,"2021-10-25T00:00:00.000Z","NTO Insider","2020-11-25","0lMB0000000RIESMA4","0lgB0000000TNJCIA4","5.9-12 months","0lyB0000000RJAxIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_140","NTO Insider","New York","0lMB0000000RIESMA4","New York",,"New York - NY","Status Tier Group",,,"Passives","NY","false",,"Q4Data339 Trail339","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8vIAD",,"Points","Silver",,"NY",,,"POS","005B0000006txQYIAY","false","Active","Q4Data339 Trail339",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8vIAD","0lpB0000000PBdwIAG","2020-11-25","Passives","003B000000IXi8vIAD","Q4Data339 Trail339",,"Individual","Active",7,0,10,262,5,5,10,5,1,5,3451,0,1,3451,0,1,7,0,0,0,5,1,0,11,10,1,335,10,0,52.4,5,8298,1,0,7,0,0,0,0,14353,5,99.79,0.21,0,
,,"NTO Insider","2021-05-17","0lMB0000000RIETMA4","0lgB0000000TNJCIA4","3.3-6 months","0lyB0000000RJAzIAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_141","NTO Insider","San Francisco","0lMB0000000RIETMA4","San Francisco",,"San Francisco - CA","Status Tier Group",,,"Passives","CA","false",,"Q4Data340 Trail340","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8wIAD",,"Points","Silver",,"CA",,,"CallCenter","005B0000006txQYIAY","false","Active","Q4Data340 Trail340",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8wIAD","0lpB0000000PBdwIAG","2021-05-17","Passives","003B000000IXi8wIAD","Q4Data340 Trail340",,"Individual","Active",8,,7,,,3.5,7,,1,3.5,,,1,,,,8,,0,,3.5,1,,5,10,1,162,10,,0,3.5,,1,,8,,0,0,,0,5,99.91,0.09,0,
,,"NTO Insider","2021-06-22","0lMB0000000RIEUMA4","0lgB0000000TNJCIA4","3.3-6 months","0lyB0000000RJB1IAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_142","NTO Insider","New Jersey","0lMB0000000RIEUMA4","New Jersey",,"New Jersey - NJ","Status Tier Group",,,"Promoters","NJ","false",,"Q4Data341 Trail341","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8xIAD",,"Points","Silver",,"NJ",,,"Social","005B0000006txQYIAY","false","Active","Q4Data341 Trail341",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8xIAD","0lpB0000000PBdwIAG","2021-06-22","Promoters","003B000000IXi8xIAD","Q4Data341 Trail341",,"Individual","Active",10,,5,,,2.5,5,,1,2.5,,,1,,,,10,,1,,2.5,1,,4,10,1,126,10,,0,2.5,,1,,10,,1,0,,0,5,99.91,0.09,1,
,"2021-12-05T00:00:00.000Z","NTO Insider","2020-11-28","0lMB0000000RIEVMA4","0lgB0000000TNJCIA4","5.9-12 months","0lyB0000000RJB3IAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_143","NTO Insider","San Francisco","0lMB0000000RIEVMA4","San Francisco",,"San Francisco - CA","Status Tier Group",,,"Passives","CA","false",,"Q4Data342 Trail342","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8yIAD",,"Points","Silver",,"CA",,,"Email","005B0000006txQYIAY","false","Active","Q4Data342 Trail342",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8yIAD","0lpB0000000PBdwIAG","2020-11-28","Passives","003B000000IXi8yIAD","Q4Data342 Trail342",,"Individual","Active",8,0,10,47,3,5,10,5,1,5,3610,1108,1,2080,0,-39,8,0,0,0,5,1,0,11,10,1,332,10,1,15.67,5,5139,1,0,8,0,0,0,636,12941,5,99.38,0.62,0,
,,"NTO Insider","2021-07-29","0lMB0000000RIEWMA4","0lgB0000000TNJCIA4","2.1-3 months","0lyB0000000RJB5IAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_146","NTO Insider","Toronto","0lMB0000000RIEWMA4","Toronto",,"Toronto - Ontario","Status Tier Group",,,"Passives","Ontario","false",,"Q4Data343 Trail343","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXi8zIAD",,"Points","Silver",,"Ontario",,,"Email","005B0000006txQYIAY","false","Active","Q4Data343 Trail343",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXi8zIAD","0lpB0000000PBdwIAG","2021-07-29","Passives","003B000000IXi8zIAD","Q4Data343 Trail343",,"Individual","Active",7,,5,,,2.5,5,,1,2.5,,,1,,,,7,,0,,2.5,1,,3,10,1,89,10,,0,2.5,,1,,7,,0,0,,0,5,99.91,0.09,0,
,,"NTO Insider","2021-07-20","0lMB0000000RIEXMA4","0lgB0000000TNJCIA4","3.3-6 months","0lyB0000000RJB7IAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_147","NTO Insider","San Francisco","0lMB0000000RIEXMA4","San Francisco",,"San Francisco - CA","Status Tier Group",,,"Detractors","CA","false",,"Perf178 Trail178","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXhuMIAT",,"Points","Silver",,"CA",,,"Web","005B0000006txQYIAY","false","Active","Perf178 Trail178",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXhuMIAT","0lpB0000000PBdwIAG","2021-07-20","Detractors","003B000000IXhuMIAT","Perf178 Trail178",,"Individual","Active",6,,5,,,2.5,5,,1,2.5,,,1,,,,6,,-1,,2.5,1,,3,10,1,98,10,,0,2.5,,1,,6,,-1,0,,0,5,99.91,0.09,-1,
,"2021-08-03T00:00:00.000Z","NTO Insider","2021-03-08","0lMB0000000RIEYMA4","0lgB0000000TNJCIA4","4.6-9 months","0lyB0000000RJB9IAO","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_148","NTO Insider","New Jersey","0lMB0000000RIEYMA4","New Jersey",,"New Jersey - NJ","Status Tier Group",,,"Passives","NJ","false",,"Perf179 Trail179","0lpB0000000PBdwIAG","Yes",,"true","003B000000IXhuNIAT",,"Points","Silver",,"NJ",,,"POS","005B0000006txQYIAY","false","Active","Perf179 Trail179",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXhuNIAT","0lpB0000000PBdwIAG","2021-03-08","Passives","003B000000IXhuNIAT","Perf179 Trail179",,"Individual","Active",8,0,7,83,2,3.5,7,3,1,3.5,1946,953,1,1676,0,84,8,0,0,0,3.5,1,0,7,10,1,232,10,1,41.5,3.5,48019,1,0,8,0,0,0,270,8084,5,1.21,98.79,0,
,"2021-12-20T00:00:00.000Z","NTO Insider","2020-07-06","0lMB0000000RIEZMA4","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJBBIA4","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_149","NTO Insider","San Francisco","0lMB0000000RIEZMA4","San Francisco",,"San Francisco - CA","Status Tier Group",,,"Promoters","CA","false",,"Perf180 Trail180","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXhuOIAT",,"Points","Silver",,"CA",,,"CallCenter","005B0000006txQYIAY","false","Active","Perf180 Trail180",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXhuOIAT","0lpB0000000PBdwIAG","2020-07-06","Promoters","003B000000IXhuOIAT","Perf180 Trail180",,"Individual","Active",10,0,5,202,4,2.5,5,6,1,2.5,3623,1383,1,2170,1,-54,10,0,1,0,2.5,1,0,15,10,1,477,10,1,40.4,2.5,5863,1,2384,10,0,1,0,1183,12740,5,99.62,0.38,1,
,"2021-09-28T00:00:00.000Z","NTO Insider","2020-06-25","0lMB0000000RIEaMAO","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJBDIA4","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_150","NTO Insider","Toronto","0lMB0000000RIEaMAO","Toronto",,"Toronto - Ontario","Status Tier Group",,,"Promoters","Ontario","false",,"Perf181 Trail181","0lpB0000000PBdwIAG","Yes",,"true","003B000000IXhuPIAT",,"Points","Silver",,"Ontario",,,"Social","005B0000006txQYIAY","false","Active","Perf181 Trail181",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXhuPIAT","0lpB0000000PBdwIAG","2020-06-25","Promoters","003B000000IXhuPIAT","Perf181 Trail181",,"Individual","Active",10,0,6,227,5,3,6,6,1,3,3750,1582,1,3053,1,28,10,0,1,0,3,1,0,16,10,1,488,10,1,37.83,3,9029,1,1483,10,0,1,0,697,12984,5,69.37,30.63,1,
,"2021-12-09T00:00:00.000Z","NTO Insider","2020-06-16","0lMB0000000RIEbMAO","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJBFIA4","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_151","NTO Insider","Toronto","0lMB0000000RIEbMAO","Toronto",,"Toronto - Ontario","Status Tier Group",,,"Passives","Ontario","false",,"Perf182 Trail182","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXhuQIAT",,"Points","Silver",,"Ontario",,,"Email","005B0000006txQYIAY","false","Active","Perf182 Trail182",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXhuQIAT","0lpB0000000PBdwIAG","2020-06-16","Passives","003B000000IXhuQIAT","Perf182 Trail182",,"Individual","Active",7,0,10,145,4,5,10,6,1,5,5443,1431,1,3868,1,-43,7,0,0,0,5,1,0,16,10,1,497,10,1,29,5,6802,1,2386,7,0,0,0,1027,12105,5,99.8,0.2,0,
,"2021-07-27T00:00:00.000Z","NTO Insider","2020-08-25","0lMB0000000RIEcMAO","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJBHIA4","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_152","NTO Insider","Toronto","0lMB0000000RIEcMAO","Toronto",,"Toronto - Ontario","Status Tier Group",,,"Detractors","Ontario","false",,"Perf183 Trail183","0lpB0000000PBdwIAG","Yes",,"true","003B000000IXhuRIAT",,"Points","Silver",,"Ontario",,,"Web","005B0000006txQYIAY","false","Active","Perf183 Trail183",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXhuRIAT","0lpB0000000PBdwIAG","2020-08-25","Detractors","003B000000IXhuRIAT","Perf183 Trail183",,"Individual","Active",6,0,9,206,5,4.5,9,6,1,4.5,5888,749,1,4840,1,91,6,0,-1,0,4.5,1,0,14,10,1,427,10,1,34.33,4.5,10018,1,2141,6,0,-1,0,1048,13178,5,3.1,96.9,-1,
,"2021-11-22T00:00:00.000Z","NTO Insider","2020-01-16","0lMB0000000RIEdMAO","0lgB0000000TNJCIA4","6.1-2 years","0lyB0000000RJBJIA4","2021-03-03T12:41:16.000Z","0lpB0000000PBdwIAG","IndivAiK_153","NTO Insider","New York City","0lMB0000000RIEdMAO","New York City",,"New York City - NY","Status Tier Group",,,"Detractors","NY","false",,"Perf184 Trail184","0lpB0000000PBdwIAG","Yes",,"false","003B000000IXhuSIAT",,"Points","Silver",,"NY",,,"POS","005B0000006txQYIAY","false","Active","Perf184 Trail184",,"0ltB0000000PBbqIAG","0ltB0000000PBbqIAG","003B000000IXhuSIAT","0lpB0000000PBdwIAG","2020-01-16","Detractors","003B000000IXhuSIAT","Perf184 Trail184",,"Individual","Active",6,0,7,238,4,3.5,7,6,1,3.5,7874,0,1,5477,1,-26,6,0,-1,0,3.5,1,0,21,10,1,649,10,0,47.6,3.5,49916,1,2118,6,0,-1,0,0,13664,5,99.33,0.67,-1,
