"Members.Account.BillingCity","Members.Contact.Name","Members.MemberStatus","Promotion.MarketSegment5.Segment5","Members.Contact.Birthdate","Members.MemberCurrency.ProgramCurrency.Id","Promotion.MarketSegment5.Name","Members.Contact.Id","Program.Name","Partner_Overlap.Partner_Overlap","Members.MemberCurrency.Name","Members.ContactId","Members.Transaction.PartnerId","Member.prog.Name","Members.Transaction.JournalType.Name","Promotion.StartDate","Promotion.Start_Day","Members.Contact.AccountId","Id","Product_Overlap.Product_Overlap","Member_Segment.Market_Segment_1","Member_Segment.Market_Segment_2","Members.Transaction.ActivityDate_Flag","Members.Transaction.ProductId","Promotion.EndDate","Promotion.Name","Member_Segment.Membership_Number","Members.Transaction.MemberId","Members.Account.Name","Members.MemberCurrency.ProgramCurrency.IsActive","Promotion.EnrollmentEndDate","Member_Segment.Loyalty_Program","Members.Transaction.Status","Members.Transaction.Id","Members.MemberCurrency.LoyaltyMemberId","Member_Segment.Hobby","StartDate_Flag","Members.AccountId","EndDate","Members.Transaction.PaymentMethod","Members.Transaction.ProductCategoryId","Members.Account.BillingState","Members.Account.Id","Members.EnrollmentDate","Members.MemberCurrency.ProgramCurrency.Name","Promotion.MarketSegment3.Segment3","Members.Transaction.ReferredMemberId","Members.MemberType","Members.MemberCurrency.LoyaltyProgramCurrencyId","Members.ProgramId","Name","Promotion.EnrollmentStartDate","StartDate","Promotion.IsEnrollmentRequired","Promotion.MarketSegment2.Segment2","Members.MemberCurrency.ProgramCurrency.LoyaltyTierGroupId","Member.MembershipNumber","Members.Program.Id","ProductCategory_Overlap.ProductCategory_Overlap","Member.Id","Promotion.ProgramCurrency.Name","Promotion.MarketSegment1.Segment1","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor2","Members.Contact.MailingCity","Members.Transaction.ActivityDate","Promotion.FulfillmentAction","Members.Contact.MailingCountry","Promotion.LoyaltyPromotionType","Members.MemberCurrency.Id","Members.MemberCurrency.ProgramCurrency.LoyaltyProgramId","Members.Program.Name","FulfillmentAction","Member.ProgramId","PromotionCurrency.Name","Members.Contact.MailingState","Members.EnrollmentChannel","Members.Account.BillingCountry","Members.Transaction.RelatedJournalId","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor1","Members.Id","Members.MemberCurrency.ProgramCurrency.CurrencyType","Promotion.End_Date_Week_Month","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement","Members.Transaction.StartDate","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor","Program.Id","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement1","LoyaltyProgramCurrencyId","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement2","Members.Transaction.LoyaltyProgramId","Members.Program.Status","Members.MembershipNumber","Members.ReferredById","Members.Transaction.Last_Transaction_Activity_Date","LoyaltyProgramId","Promotion.Start_Date_Week_Month","Promotion.MarketSegment4.Segment4","isTraining","Members.Member_State_City","Members.Tier.EffectiveDate","Members.Tier.Name","Members.Transaction.Current_ActivityDate","Promotion.Product_or_ProdCategory_Count","Members.Transaction.Accrual_Transactions_Current_Period","Members.Month_In_Tier","Promotion.Partner_Count","Maximize_Promotion_Influenced_Revenue_Prediction_1_prediction","Promotion.Total_Avg_Partner_Transaction_Amount","Promotion.MaximumRewardValue","Members.MemberCurrency.Ledger.Journal.Accrual_Transaction_Amount","Members.MemberCurrency.Ledger.Journal.Accrual_Transactions_Current_Period","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor_impact","Promotion.Product_Category_Count","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement_impact2","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement_impact1","Members.Transaction.Accrual_Transaction_Amount","Members.MemberCurrency.Ledger.Journal.DaysBetweenCurrentTransactions","Members.Transaction.Transaction_Count","Members.Journal.Transaction_Amount_Current_Period","Members.Journal.Accrual_Transactions_Current_Period","Members.Journal.Transaction_Amount_all","Members.Average_NQP_Accrued","Members.Transaction.DaysBetweenCurrentTransactions","Members.DaysSinceLastTransaction","Members.Transaction.Transaction_Amount_Current_Period","Members.Age","Promotion.Enrollment_Duration","Members.Membership_Duration","Members.MemberCurrency.Ledger.Points","Promotion.TotalRewardPoints","Promotion.Total_Avg_Product_Transaction_Amount","Members.MemberCurrency.Ledger.Journal.Transactions_all","Members.MemberCurrency.Ledger.Journal.Transaction_Amount_Current_Period","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor_impact1","Members.Avg_Transaction_Amount_all","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor_impact2","Members.Transaction.Transaction_Amount_all","Promotion.Product_Count","Members.MemberCurrency.Ledger.Promotion_Revenue","Promotion.Total_Avg_Product_or_ProdCategory_Transaction_Amount","Members.Journal.DaysBetweenCurrentTransactions","Members.Journal.Transaction_Count","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement_impact","Promotion.Duration","Product_Overlap.UNIQUE_Product_or_Prod_Category_ID","Members.MemberCurrency.PointsBalance","Promotion.Total_Avg_Product_Category_Transaction_Amount","Members.MemberCurrency.Ledger.Current_Expired_Points","Members.Journal.Accrual_Transaction_Amount","Members.Transaction.Transactions_all","Members.MemberCurrency.Ledger.Current_Accrued_Points","Members.Transaction.TransactionAmount","Members.MemberCurrency.Ledger.Journal.Transaction_Count","Members.Journal.Transactions_all","Members.MemberCurrency.Ledger.Journal.Transaction_Amount_all"
,"Q4Data400 Trail400","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi7qIAD","NTO Insider",,"Points","003B000000IXi7qIAD","0ldB0000000TNI1IAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoKIAR","0c8B000000000YtIAI",,"Millionaire Gen Z",,"Current","01tB0000000Zo3qIAC","2021-12-08","Promo90","IndivAiK_024","0lMB0000000RIFjMAO",,"true",,"NTO Insider","Processed","0lVB0000001itI7MAI","0lMB0000000RIFjMAO","Gymnastics","Future Promotions",,"2021-12-08",,,,,"2021-03-29","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_024","0lpB0000000PBdwIAG",,"0lMB0000000RIFjMAO","Points","Ultra High Net Worth Millenials","Current_Accrued_Points:2558,Month_In_Tier:7","New York City","2021-01-06T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcXBIA0","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NY","CallCenter",,,"Transaction_Amount_all:2794","0lMB0000000RIFjMAO","NonQualifying","49 - 12",,,"Average_NQP_Accrued:0,Market Segment 1:Millionaire Gen Z","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_024",,"2021-10-24T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NY - New York City","2021-03-29","Silver","2021-01-06T00:00:00.000Z",4,0,7,4,856.44,3511,1000,2858,0,-396.28,4,,,974,-89,1,1884,1,2794,0,0,16,974,,,225,2558,10,,3,2858,-354.62,931,332.8,974,0,910,,-89,3,,7,,0,3549,0,2794,1,2558,974,3,3,2858
,"User6 Q4DataUser6","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXhzcIAD","NTO Insider",,"Points","003B000000IXhzcIAD",,"NTO Insider",,"2021-12-01","Wednesday","001B000001M3lDXIAZ","0c8B000000000YtIAI",,"Ultra High Net Worth Gen X",,,,"2021-12-08","Promo90","IndivAiK_042",,,"true",,"NTO Insider",,,"0lMB0000000RIF4MAO","Surfing","Future Promotions",,"2021-12-08",,,,,"2021-10-21","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_042","0lpB0000000PBdwIAG",,"0lMB0000000RIF4MAO","Points","Ultra High Net Worth Millenials","Enrollment Channel:Web,Avg_Transaction_Amount_all:0","San Francisco",,"CreditPoints","USA","Standard","0lzB0000000XcVCIA0","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","CA","Web",,,"Membership_Duration:19,Avg_Transaction_Amount_all:0","0lMB0000000RIF4MAO","NonQualifying","49 - 12",,,"Average_NQP_Accrued:0,Avg_Transaction_Amount_all:0","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,,"Active","IndivAiK_042",,,"0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","CA - San Francisco","2021-10-21","Silver",,4,,1,4,-242.54,3511,1000,,,-503.62,4,,,,,,,,,0,,,,,,19,,10,,,,-462.72,0,-352.06,,0,,,,,,7,,0,3549,,,,,,,,
,"Adeline Allocco","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXhuqIAD","NTO Insider","High","Points","003B000000IXhuqIAD","0ldB0000000TNHyIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoLIAR","0c8B000000000YtIAI","High",,,"Others","01tB0000000Zo4FIAS","2021-12-08","Promo90",,"0lMB0000000RIF0MAO",,"true",,,"Processed","0lVB0000001irkfMAA","0lMB0000000RIF0MAO",,"Future Promotions",,"2021-12-08",,,,,"2020-01-01","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"123456","0lpB0000000PBdwIAG","High","0lMB0000000RIF0MAO","Points","Ultra High Net Worth Millenials","Accrual_Transactions_Current_Period:1","Toronto","2021-11-08T00:00:00.000Z","CreditPoints","Canada","Standard","0lzB0000000XcV0IAK","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","Ontario","CallCenter",,,"DaysBetweenCurrentTransactions:-323,Enrollment Channel:CallCenter","0lMB0000000RIF0MAO","NonQualifying","49 - 12",,,"DaysBetweenCurrentTransactions:-323,Current_Accrued_Points:7676","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","123456",,"2021-11-08T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","Ontario - Toronto","2020-01-01","Silver",,4,1,22,4,321.61,3511,1000,8078,3,-623.37,4,,,675,-390,1,2893,1,3568,2559,0,1,0,,,678,19566,10,,11,6053,205.93,714,154.52,675,0,831,,-323,6,,7,1,13932,3549,0,3568,1,7676,675,13,5,8078
,"Perf76 Trail76","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXhujIAD","NTO Insider",,"Points","003B000000IXhujIAD","0ldB0000000TNHzIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoMIAR","0c8B000000000YtIAI",,"Affluent Millenials",,"Current","01tB0000000Zo4EIAS","2021-12-08","Promo90","IndivAiK_050","0lMB0000000RIEtMAO",,"true",,"NTO Insider","Processed","0lVB0000001irkiMAA","0lMB0000000RIEtMAO","Fishing","Future Promotions",,"2021-12-08",,,,,"2020-04-14","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_050","0lpB0000000PBdwIAG",,"0lMB0000000RIEtMAO","Points","Ultra High Net Worth Millenials","Avg_Transaction_Amount_all:858","New York City","2021-06-16T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcUfIAK","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NY","Social",,,"Accrual_Transactions_Current_Period:1,Name:Silver","0lMB0000000RIEtMAO","NonQualifying","49 - 12",,,"Accrual_Transactions_Current_Period:1","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_050",,"2021-12-08T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NY - New York City","2020-04-14","Silver","2021-06-16T00:00:00.000Z",4,0,19,4,877.58,3511,1000,8751,3,154.52,4,,,904,-529,1,4729,1,5150,2876,-88,-29,904,,,574,20658,10,,11,7488,-150.79,858,103.78,904,0,958,,-360,7,,7,,13489,3549,0,5150,1,8627,904,13,6,8751
,"Q4Data341 Trail341","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi8xIAD","NTO Insider",,"Points","003B000000IXi8xIAD",,"NTO Insider",,"2021-12-01","Wednesday","001B000001M3lDXIAZ","0c8B000000000YtIAI",,"Ultra High Net Worth Gen X",,,,"2021-12-08","Promo90","IndivAiK_142",,,"true",,"NTO Insider",,,"0lMB0000000RIEUMA4","Surfing","Future Promotions",,"2021-12-08",,,,,"2021-06-22","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_142","0lpB0000000PBdwIAG",,"0lMB0000000RIEUMA4","Points","Ultra High Net Worth Millenials","Average_NQP_Accrued:0,Month_In_Tier:5","New Jersey",,"CreditPoints","USA","Standard","0lzB0000000XcTSIA0","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NJ","Social",,,"Membership_Duration:140,Avg_Transaction_Amount_all:0","0lMB0000000RIEUMA4","NonQualifying","49 - 12",,,"Average_NQP_Accrued:0,Avg_Transaction_Amount_all:0","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,,"Active","IndivAiK_142",,,"0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NJ - New Jersey","2021-06-22","Silver",,4,,5,4,-53.84,3511,1000,,,-503.62,4,,,,,,,,,0,,,,,,140,,10,,,,-462.72,0,321.28,,0,,,,,,7,,0,3549,,,,,,,,
,"Cnt-RTE-_UIDaiajbieh_b_fh","Active",,,"0lcB0000000PBAjIAO",,"003B000000JOoiSIAT","NTO Insider",,"Points","003B000000JOoiSIAT",,"NTO Insider","Accrual","2021-12-01","Wednesday","001B000001NQ2j3IAD","0c8B000000000YtIAI",,,,"Current",,"2021-12-08","Promo90",,"0lMB0000000GwEfMAK",,"true",,,"Processed","0lVB0000000VxsRMAS","0lMB0000000GwEfMAK",,"Future Promotions",,"2021-12-08",,,,,"2020-07-29","Points","Mass Affluent Millenials",,"Group","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"GRPNTO_WC_EDc_UIDaiajbieh_b_ed","0lpB0000000PBdwIAG",,"0lMB0000000GwEfMAK","Points","Ultra High Net Worth Millenials","Average_NQP_Accrued:0,Avg_Transaction_Amount_all:0",,"2021-08-09T00:00:00.000Z","CreditPoints",,"Standard","0lzB0000000H654IAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points",,"POS",,"0lVB0000001is0uMAA","Accrual_Transactions_Current_Period:0,Avg_Transaction_Amount_all:0","0lMB0000000GwEfMAK","NonQualifying","49 - 12",,,"Avg_Transaction_Amount_all:0,DaysSinceLastTransaction:92","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","GRPNTO_WC_EDc_UIDaiajbieh_b_ed",,"2021-08-09T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false"," - ",,,"2021-08-09T00:00:00.000Z",4,0,,4,209.92,3511,1000,,0,-859.04,4,,,,-137,1,,0,,0,0,92,,,,468,946,10,,5,,598.91,0,-503.62,,0,0,,-133,4,,7,,221,3549,0,,1,685,,5,4,
,"Cnt-RTE-_UIDaiajbieh_b_he","Active",,,"0lcB0000000PBAjIAO",,"003B000000JOoijIAD","NTO Insider",,"Points","003B000000JOoijIAD",,"NTO Insider","Accrual","2021-12-01","Wednesday","001B000001NQ2j6IAD","0c8B000000000YtIAI",,,,"Others",,"2021-12-08","Promo90",,"0lMB0000000GwDyMAK",,"true",,,"Processed","0lVB0000000Vxs4MAC","0lMB0000000GwDyMAK",,"Future Promotions",,"2021-12-08",,,,,"2020-06-22","Points","Mass Affluent Millenials",,"Group","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"GRPNTO_WC_EDc_UIDaiajbieh_b_a","0lpB0000000PBdwIAG",,"0lMB0000000GwDyMAK","Points","Ultra High Net Worth Millenials","Accrual_Transactions_Current_Period:1",,"2021-11-24T00:00:00.000Z","CreditPoints",,"Standard","0lzB0000000H64NIAS","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points",,"POS",,"0lVB0000001iruSMAQ","Accrual_Transactions_Current_Period:1,Avg_Transaction_Amount_all:0","0lMB0000000GwDyMAK","NonQualifying","49 - 12",,,"DaysBetweenCurrentTransactions:-176,Enrollment Channel:POS","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","GRPNTO_WC_EDc_UIDaiajbieh_b_a",,"2021-11-24T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false"," - ",,,,4,1,,4,561.15,3511,1000,,1,-462.93,4,,,,-176,1,0,1,,1196,0,-15,0,,,505,1659,10,,6,0,259.78,0,154.52,,0,0,,-176,6,,7,,215,3549,0,,1,1196,,6,6,
,"Perf49 Trail49","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXhtvIAD","NTO Insider",,"Points","003B000000IXhtvIAD","0ldB0000000TNHwIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoMIAR","0c8B000000000YtIAI",,"Affluent Gen X",,"Current","01tB0000000Zo4FIAS","2021-12-08","Promo90","IndivAiK_475","0lMB0000000RILyMAO",,"true",,"NTO Insider","Processed","0lVB0000001irnnMAA","0lMB0000000RILyMAO","Weightlifting","Future Promotions",,"2021-12-08",,,,,"2021-02-14","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_475","0lpB0000000PBdwIAG",,"0lMB0000000RILyMAO","Points","Ultra High Net Worth Millenials","Avg_Transaction_Amount_all:839","New York City","2021-04-23T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcpuIAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NY","Web",,,"Current_Accrued_Points:12684","0lMB0000000RILyMAO","NonQualifying","49 - 12",,,"Average_NQP_Accrued:0,Hobby:Weightlifting","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_475",,"2021-08-18T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NY - New York City","2021-02-14","Silver","2021-04-23T00:00:00.000Z",4,0,9,4,234.7,3511,1000,9721,0,-300.51,4,,,748,-371,1,5875,0,5875,0,-6,83,748,,,268,19516,10,,11,9721,-130.7,839,103.78,748,0,447,,-292,8,,7,,13216,3549,0,5875,1,12684,748,13,7,9721
,"Q4Data198 Trail198","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi3zIAD","NTO Insider","High","Points","003B000000IXi3zIAD","0ldB0000000TNHsIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoMIAR","0c8B000000000YtIAI",,"Affluent Gen Z",,"Others","01tB0000000Zo3wIAC","2021-12-08","Promo90","IndivAiK_456","0lMB0000000RILgMAO",,"true",,"NTO Insider","Processed","0lVB0000001irnaMAA","0lMB0000000RILgMAO","Weightlifting","Future Promotions",,"2021-12-08",,,,,"2020-10-19","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_456","0lpB0000000PBdwIAG",,"0lMB0000000RILgMAO","Points","Ultra High Net Worth Millenials","Member_State_City:CA - San Francisco,Hobby:Weightlifting","San Francisco","2021-10-11T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000Xcp2IAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","CA","POS",,,"Current_Accrued_Points:5236,DaysSinceLastTransaction:12","0lMB0000000RILgMAO","NonQualifying","49 - 12",,,"Membership_Duration:386,Month_In_Tier:13","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_456",,"2021-10-28T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","CA - San Francisco","2020-10-19","Silver",,4,1,13,4,547.12,3511,1000,7031,3,-254.87,4,,,904,-473,1,2862,1,3766,1745,0,12,0,,,386,19887,10,,9,4319,-229,753,163.23,904,0,672,,-337,6,,7,,11732,3549,0,3766,1,5236,904,11,5,7031
,"Data15 User15","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi02IAD","NTO Insider","High","Points","003B000000IXi02IAD","0ldB0000000TNHuIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoLIAR","0c8B000000000YtIAI",,"Millionaire Gen X",,"Others","01tB0000000Zo3yIAC","2021-12-08","Promo90","IndivAiK_425","0lMB0000000RILBMA4",,"true",,"NTO Insider","Processed","0lVB0000001itENMAY","0lMB0000000RILBMA4","Cricket","Future Promotions",,"2021-12-08",,,,,"2021-03-20","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_425","0lpB0000000PBdwIAG",,"0lMB0000000RILBMA4","Points","Ultra High Net Worth Millenials","Accrual_Transactions_Current_Period:1,Name:Silver","New Jersey","2021-10-23T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcnXIAS","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NJ","Web",,,"Accrual_Transactions_Current_Period:1","0lMB0000000RILBMA4","NonQualifying","49 - 12",,,"Transaction_Amount_all:3201","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_425",,"2021-10-23T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NJ - New Jersey","2021-03-20","Silver",,4,1,8,4,695.87,3511,1000,5518,2,-354.62,4,,,745,-24,1,2456,1,3201,994,0,17,0,,,234,5270,10,,6,4028,154.52,800,-150.79,745,0,668,,-94,4,,7,,410,3549,0,3201,1,1987,745,6,4,5518
,"Q4Data49 Trail49","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi2rIAD","NTO Insider","High","Points","003B000000IXi2rIAD","0ldB0000000TNHtIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoMIAR","0c8B000000000YtIAI","High","Ultra High Net Worth Gen Z",,"Current","01tB0000000Zo4CIAS","2021-12-08","Promo90","IndivAiK_402","0lMB0000000RIKnMAO",,"true",,"NTO Insider","Processed","0lVB0000001irn0MAA","0lMB0000000RIKnMAO","Cricket","Future Promotions",,"2021-12-08",,,,,"2020-09-23","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_402","0lpB0000000PBdwIAG","High","0lMB0000000RIKnMAO","Points","Ultra High Net Worth Millenials","Transactions_all:7,Accrual_Transaction_Amount:7795","New York City","2021-04-13T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcmNIAS","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NY","Email",,,"DaysSinceLastTransaction:-22,Accrual_Transaction_Amount:7795","0lMB0000000RIKnMAO","NonQualifying","49 - 12",,,"Membership_Duration:412,Market Segment 1:Ultra High Net Worth Gen Z","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_402",,"2021-12-01T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NY - New York City","2020-09-23","Silver","2021-04-13T00:00:00.000Z",4,0,14,4,998.53,3511,1000,13609,3,647.75,4,,,974,-910,1,5911,2,7795,3718,-143,-22,974,,,412,24430,10,,14,12052,-642.33,1114,-172.65,974,0,1365,,-419,8,,7,1,14739,3549,0,7795,1,11155,974,16,7,13609
,"Data12 User12","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXhztIAD","NTO Insider",,"Points","003B000000IXhztIAD","0ldB0000000TNHsIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoLIAR","0c8B000000000YtIAI",,"Millionaire Gen Z",,"Others","01tB0000000Zo3wIAC","2021-12-08","Promo90","IndivAiK_365","0lMB0000000RIKCMA4",,"true",,"NTO Insider","Processed","0lVB0000001irmIMAQ","0lMB0000000RIKCMA4","Race walking","Future Promotions",,"2021-12-08",,,,,"2020-05-01","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_365","0lpB0000000PBdwIAG",,"0lMB0000000RIKCMA4","Points","Ultra High Net Worth Millenials","Member_State_City:NJ - New Jersey,Avg_Transaction_Amount_all:1327","New Jersey","2021-12-01T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XckaIAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NJ","CallCenter",,,"Transaction_Amount_all:6637","0lMB0000000RIKCMA4","NonQualifying","49 - 12",,,"Transactions_all:5,Avg_Transaction_Amount_all:1327","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_365",,"2021-12-01T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NJ - New Jersey","2020-05-01","Silver",,4,1,18,4,2260.6,3511,1000,8990,2,477.77,4,,,1588,-284,1,5049,1,6637,3274,0,-22,0,,,557,17077,10,,7,5814,395.04,1327,265.25,1588,0,1428,,-220,6,,7,,10917,3549,0,6637,1,6547,1588,9,5,8990
